free	gratuit
also	pereu
negative	negatiu
burial	enterrament
around	entorn
dignity	dignitat
also	maitot
fog	nèbia
touch	tochar
toward	vèr
air	ària
road	straa
community	comunitat
peacock	pavon
kill	massar
tree	arbe
beautiful	bèll
abolition	abolicion
different	diferent
ignorance	ignorància
vigorous	vigorós
fresh	fresc
multicultural	pluricultural
happen	escaire
flight	fugida
greenish	verdós
utility	utilitat
garlic	alh
bandage	pensament
snake	sèrp
ribbon	riban
light	lusor
ten	dètz
loving	amorós
-ation	-acion
paramilitary	paramilitar
church	glèisa
generous	generós
absurdly	absurdament
abusive	abusiu
nationalism	nacionalisme
bake	fornejar
weakness	feblesa
slowly	lentament
decentralize	descentralizar
ambition	ambicion
link	ligam
immunity	immunitat
privatize	privatizar
why	perqué
abandon	abandounar
crown	courouno
wrap up	emballar
fact	fach
inside	dedins
water	aiguo
tomorrow	demán
sincerely	sinceramen
how	coumo
long time	longtèms
fall	toumbar
mortal	mortau
river	fleuvo
master	mèstre
young	jouine
sadness	tristesso
charming	charman
boy	garçoun
lord	signour
rule	reglamen
together	ensèm
snowy	nevós
doctor	douctour
make	rèndre
circus	circ
payment	pagamen
like	aimar
without	sènso
next day	lendeman
fall asleep	endourmir
happy	urous
unhappy	malurous
unhappy	malurós
time	tèms
water	aigo
madam	madamo
shade	oumbro
poet	poèto
eternity	eternitat
presence	presènço
above all	soubretout
leave	laissar
butterfly	parpalhon
thought	pensamen
serenely	tranquilamen
worry	enquietar
reenter	rintrar
clarity	clarta
feminine	femenin
republic	rèpublico
happiness	bonur
fall	autouno
portrait	pourtrèt
piece	counsèu
quality	qualita
pearl	pèrla
never	jamai
charity	caritat
boat	batèu
mallow	mauga
countryside	campagno
fig tree	figuièr
lamb	anhèl
shepherd	pastre
sheep	moutoun
mystery	mistèri
virginity	virginitat
de mai en mai	de mai en mai
party	fèsta
fifth	cinquiesme
cause	talador
peace	patz
thistle	cardon
marsh	sanha
market	mercat
warm	caud
small	pitit
starboard	poja
saving	estalvi
creation	creacion
condition	condicion
Slovak	eslovac
healing	garison
cucumber	cocombre
generation	generacion
dark	fosc
England	Anglatèrra
worm	vèrm
physical	fisic
kill	tuar
Chinese	chinés
intelligently	intelligentament
favor	favorir
city	viala
sociological	sociologic
lyric	liric
water closet	water
yesterday	ièr
soon	lèu
rent	cens
voice	votz
eight	uèch
six	sièis
Switzerland	Soïssa
toy	joguet
motive	motiu
mystical	mistic
common vole	rat griule
rat miralhièr	rat miralhièr
rat calhòl	rat calhòl
rat talpenc	rat talpenc
Belarusian	bielorús
rat	rat-vibre
rat trompeta	rat trompeta
rat teuladièr	rat teuladièr
rat talpièr	rat talpièr
rat esquiròl	rat esquiròl
rat dormeire	rat dormeire
hither	ençà
suck	sucar
rat de camp	rat de camp
rat bufon	rat bufon
rat de vinha	rat de vinha
rata d'aiga	rata d'aiga
kid	cabrit
independentist	independentista
Zoroaster	Zoroastre
communication	comunicacion
legislative	legislatiu
attend	assistir
expert	expèrt
react	reagir
again	enquera
accusation	acusacion
confess	confessar
duration	durada
Britain	Bretanha
mount	enforcar
valve	tampa
forge	farga
skittle	quilha
turning	virada
funnel	embut
hat	chapèu
statute	estatut
singer	cantador
prepare	aparelhar
run aground	encalhar
pasture	devesa
no one	degun
ninety	nonanta
soak	trempar
August	aost
multinational	multinacional
pebble	còdol
altar	autar
handful	ponhada
originally	originàriament
raven	còrb
accentuate	accentuar
guide	guidar
pas encara	pas encara
demonetized	picalhon
ring	piquar
forbid	proïbir
rust	rovilh
rust	rovilhar
castle	bastilha
perfected	perfièch
God	Diu
hatch	escotilha
spy	espionar
defraud	fraudar
crow	gralha
separatism	separatisme
sixth	seisen
hospital	espital
sign	senh
hurdy-gurdy	sonsaina
parchment	pergamin
grape	rasim
stork	cigonha
soap	sabon
dove	colomb
Tinca tinca	tenca
mouthpiece	embocadura
distribution	distribucion
reaping	segada
face	chara
variation	variacion
iron	fèrre
determination	determinacion
participation	participacion
theorbo	teorba
in favor of	a favor de
lead	aduire
brine	salmoira
forward	endavant
domination	dominacion
penetration	penetracion
Pompeii	Pompéia
spoon	culhièr
Hungary	Ongria
foam	escuma
Australian	australian
communism	comunisme
Luxembourg	Luxemborg
Monaco	Mónegue
jam	confitura
one	òm
pond	estanh
strawberry	majofa
dark	escur
eyelid	parpalhòl
cherry	cerièra
stem	tija
barley	òrdi
Poland	Polonha
Netherlands	Païses Basses
sodium	sòdi
free	liure
wheel	arròda
ostrich	estruci
bird	ausèth
honeycomb	bresca
this	aqueste
crocodile	crocodil
cabinet	gabinet
misery	misèria
liberty	libertat
lightning	liuç
Asian	asiatic
riches	riquesa
profane	profan
mirror	miralh
dust	posca
favor	afavorir
blackberry	rome
please	per favor
telephone	telefòn
academy	acadèmia
entity	entitat
Persia	Pèrsia
spice	especiar
tourist	torista
exactly	exactament
completely	plenament
administrative	administratiu
positive	positiu
egg	uòu
wisdom	saviesa
marquisate	marquesat
Septimania	Septimània
right	drech
defensive	defensiu
day	diada
goat	craba
sciéncia	sciéncia-ficcion
Artemisia	artemisa
will	volontat
shake	tremblar
humiliate	umiliar
paper	papièr
piece	conselh
miserable	chaitiu
message	messatge
oil	òli
educational	educatiu
old	vièlh
South America	America del Sud
neck	còl
sweet	doç
death	mòrt
year	annada
spring	hont
Mozambique	Mozambic
flea	piuse
brain	cervèl
oxygen	oxigèn
hydrogen	idrogèn
louse	pesolh
desert	desèrt
wheel	ròda
cheek	gauta
July	julh
vendetta	vendeta
certainty	certesa
thornbush	espin
mole	darbon
fable	faula
everywhere	pertot
de eths	deths
warming	escalfament
car	veitura
cleaning	netejada
Bosnia and Herzegovina	Bòsnia e Ercegovina
Denmark	Danemarc
decorative	decoratiu
Papaver rhoeas	pabol
Papaver rhoeas	andèr
Papaver rhoeas	pàpol
Papaver rhoeas	andèrre
spring	primavèra
insignia	escudet
common reed	rausèl
wayfaring-tree	reba
Viburnum lantana	tassina
Buxus sempervirens	quilheta
Buxus sempervirens	tasseca
Buxus sempervirens	topinon
Buxus sempervirens	cabreta
Colchicum autumnale	safran tua-chin
Toulouse	sagèl mari
Colchicum autumnale	safran dels prats
baggage	bagatge
Peru	Peró
little by little	pauc a pauc
more or less	mai o mens
village	Artigas
medicine	medecina
mammoth	mamot
Celtic	celtic
Phaseolus vulgaris	mongeta
Eryngium campestre	penche de lop
Dipsacus fullonum	penchenilha
Xanthium strumarium	penhuca
Toulouse	nap del diable
molybdenum	molibdèn
carbon	carbòni
airport	aeropòrt
wasp	vèspa
thickness	espessor
hostile	ostil
our	nòstre
fable	fabla
Coccinella septempunctata	peperin
Centranthus ruber	embriac
Phaseolus vulgaris	quincarlòta
girl	dròlla
dròlla	drolleta
filha	filheta
library	bibliotèca
throat	gargamèla
midday	miègjorn
watch	relòtge
honey	mèu
lizard	angròla
antimony	antimòni
husband	espós
farm	bòria
blind	òrb
absence	abséncia
Centranthus ruber	lillac d'Espanha
Centranthus ruber	lillac de Nòstra-Dama
Syringa vulgaris	lillac
Philadelphus	lillac d'Espanh
Centranthus ruber	lillac blanc
Centranthus ruber	pan cogon
Jasminum fruticans	gensemin salvatge
Jasminum fruticans	gensemin
Jasminum fruticans	escarilhas
bush jasmine	jaussemin
Jasminum fruticans	gensemil
boron	bòr
polonium	polòni
phosphorus	fosfòr
iodine	iòde
marmot	marmòta
rhenium	rèni
plutonium	plutòni
boy	dròlle
forest	forèst
big	gròs
Prunus spinosa	jargàs
Prunus spinosa	jarrugàs
Prunus spinosa	espin negre
Prunus spinosa	boisson negre
Prunus spinosa	agranhonièr
climb up	grimpar
children	mainada
rough	rugós
nonsense	bestiesa
capstan	cabestran
bracelet	braçalet
Peter	Pèire
poor	praube
regularly	regularament
entire	sancèr
candle	candèla
miner	minaire
Mephistopheles	Mefistofeles
capsize	capvirar
cleat	pèstel
eddy	remolin
hustle and bustle	rambalh
hawser	aucièra
helmsman	timonièr
hurricane	aurassa
lash	matafion
aspect	aspècte
port	òrsa
porthole	fenestreta
propeller	eliç
sink	sonsir
stay	pièja
storm	auratge
swell	èrsa
tide	maréa
turret	torrèla
yard	vèrga
heretic	eretic
poet	poèta
undress	denudar
left	senèstre
priest	prèire
chlorine	clòr
Bucharest	Bucarèst
dishwasher	vaisseladoira
dishwasher	lavavaissèla
dishwasher	lavavaishèra
washing machine	lavadoira
washing machine	lavalinge
washing machine	lavadera
washing machine	lavaharda
lutherie	laüteria
lutherie	laütariá
lute	laüt
honeysuckle	caprifuèlh
action	accion
bronchoscopy	bronquioscopia
avoid	defugir
pact	pache
headhair	cabel
fiction	ficcion
collaborate	collaborar
scythe	dalha
position	posicion
spleen	mèlsa
one-eyed	bòrni
defeat	desfacha
throw	ronçar
stethoscope	estetoscòpi
adoration	adoracion
declaration	declaracion
observation	observacion
ablution	ablucion
coffin	ataüt
coffin	ataüc
abdication	abdicacion
exhibition	exposicion
opposition	oposicion
duty	obligacion
yarn	fiau
especially	especialament
sadden	entristesir
documentation	documentacion
microscope	microscòpi
loss	pèrda
introverted	introvertit
need	besonh
Senecio vulgaris	sirincon
separation	separacion
exception	excepcion
elimination	eliminacion
perfection	perfeccion
distinction	distincion
Sonchus oleraceus	lachairon
Sonchus oleraceus	lachasson
Sonchus oleraceus	lachenca
Sonchus oleraceus	lacheta
Lactuca sativa	lachuc
Lactuca sativa	lachuga
Lactuca sativa	lachuga lombarda
Lactuca sativa	lachugard
Valerianella locusta	grasseta
Valerianella locusta	graisseta
Beta vulgaris	bledaraba
Solanum tuberosum	bocinhòla
Solanum tuberosum	entrefega
Solanum tuberosum	perilha
Helianthus tuberosus	tartifla
Helianthus tuberosus	tartifle
Solanum lycopersicum	tomaquet
Solanum lycopersicum	estomaguet
Solanum lycopersicum	estomaquet
tortoise	tartuga
tranquility	tranquillitat
finely	finament
jealous	envejós
serenity	serenitat
eighty	ueitanta
eighty	ochanta
fourteen	catòrze
sixty	seissanta
clown	palhassa
apricot	albricòt
birth	naissença
nationally	nacionalament
bedevil	endemoniar
continue	contunhar
surprise	suspresa
researcher	cercaire
spherical	esferic
then	puèi
hemisphere	emisfèri
explanation	explicacion
pole	pòl
north	nòrd
east	èst
west	oèst
similar	parièr
so	aital
atmosphere	atmosfèra
complex	complèx
shady	ombrós
sphere	esfèra
waitress	goja
downpour	marcejada
evasive	evasiu
completion	acabament
docility	docilitat
civil union	union civila
Gascony	Gasconha
impurity	impuretat
passport	passapòrt
vain	vanitós
North Macedonia	Macedònia del Nòrd
coast	còsta
generally	generalament
ring	anèl
trophy	trofèu
internationally	internacionalament
development	desvolopament
always	totjorn
health	santat
effect	efièch
force	fòrça
disease	malautiá
helium	èli
concert	concèrt
currently	actualament
workbench	taulièr
third	tresen
first	primièr
description	descripcion
second	segond
fourth	quatren
fifth	cinquen
Auvèrnhe Ròse Aups	Auvèrnhe Ròse Aups
Borgonha Franca Comtat	Borgonha Franca Comtat
Mayotte	Maiòta
Corsica	Corsega
Guadeloupe	Guadalope
Réunion	Reünion
Pyrenees	Pirenèus
Savoy	Savòia
territory	territòri
teach	ensenhar
education	ensenhament
dialect	dialècte
alas	ailàs
publicly	publicament
however	pasmens
prayer	pregària
absurdity	absurditat
relation	relacion
imprisonment	encarceracion
-tion	-cion
prisoner	presonièr
prison	preson
observer	observaire
choice	eleccion
citizen	ciutadan
meanwhile	mentretant
government	govèrn
mainly	principalament
publication	publicacion
normalization	normalizacion
highlight	soslinhar
zero	zèro
electorate	electorat
ambassador	ambaissador
Pakistan	Paquistan
wait	espèra
diet	dièta
production	produccion
flood	inondacion
storm	tempèsta
provision	provesiment
famine	famina
additionally	a mai
too	tròp
violence	violéncia
Hong Kong	hongkongués
absolutely	absoludament
revolt	susmauta
twentieth	vinten
role	ròtle
about	aperaquí
increase	aument
cap d'estat	cap d'estat
caps d'estat	caps d'estat
destruction	destruccion
German	alemand
improve	amelhorar
Aquitanian	aquitan
architect	arquitècte
atom	atòm
Austrian	austrian
humility	umilitat
welcome	benvenguda
arrondissement	arrondiment
armpit	aissèla
border	frontièra
Venezuelan	veneçolan
support	sosten
manage	reüssir
serious	grèu
announce	anonciar
huge	enòrme
strong	fòrt
American	estatsunidenc
voluntarily	volontàriament
business	entrepresa
heir	eiretièr
hundred	centenat
cooperation	cooperacion
Yemen	Iemèn
October	octòbre
Melissa officinalis	abelhana
Artemisia	arcemisa
Sanguisorba minor	armentala
Sanguisorba minor	armentèla
Artemisia	bròine
Melissa officinalis	citronèla
èrba d'abelha	èrba d'abelha
maternal	mairau
grandmother	mairana
independentism	independentisme
search engine	cercador
whole	entièr
founder	fondador
only	sonque
New Zealand	Nòva Zelanda
weekly	setmanièr
grandmother	mairbona
cattle	mairam
stepmother	mairastra
link	restacar
minority	minoritat
exodus	exòde
magnesium	magnèsi
chromium	cròme
nickel	niquèl
selenium	selèni
bromine	bròme
zirconium	zircòni
evolution	evolucion
infection	infeccion
prize	prèmi
award	decernir
European	europèu
confiscation	confiscacion
impose	impausar
linguistic	lingüistic
linguistics	lingüistica
promote	promòure
chemistry	quimia
chemical	quimic
indigenous	indigèna
height	nautor
hill	puèg
replace	remplaçar
Armenian	armèni
extradition	extradicion
rape	viòl
partially	parcialament
Occitan movement	occitanisme
specific	especific
take place	aver luòc
begin	entamenar
ecologically	ecologicament
organization	organizacion
strategic	estrategic
presentation	presentacion
halyard	drissa
sheet	òrsapop
boat	batèl
per eths	peths
terrify	esglasiar
terrifying	esglasiant
internal	intèrn
system	sistèma
transformation	transformacion
Decticus albifrons	sautapochinchin
Decticus albifrons	sautarèla
Locusta migratoria	sautarèl
Decticus albifrons	terrasson
Tyrolichus casei	sautaire
Tyrolichus casei	artison
Formica rufa	sicona
Colias hyale	sofrat
Decticus albifrons	sautaguirauda
Decticus albifrons	sautagrip
Decticus albifrons	sautaboc
Decticus albifrons	sautabernat
sauma de Bigòrra	sauma de Bigòrra
Bigorre	Bigòrra
livestock	elevatge
South Korea	Corèa del Sud
Korea	Corèa
North Korea	Corèa del Nòrd
hamlet	Arquisat
morphological	morfologic
village	Artigas de Bordèu
stick	broqueta
discovery	descobèrta
homosexual	omosexual
celebration	celebracion
wedding	nòça
negotiation	negociacion
bewitched	embrouchado
Antirrhinum majus	pantoflèta
Antirrhinum majus	cacalacà
Antirrhinum majus	canís
Antirrhinum majus	èrba de cordon
farm	bòrda
attic	soulè
potato field	pataniè
drought	secaresso
once	un còp
space	espaci
due to	pr'amor
broadcast	difusar
since	dempuèi
Anthriscus cerefolium	cerfuèlh
Lathyrus odoratus	cese d'audor
Lupinus	cese de lop
Lupinus	gairoton
Lathyrus sativus	bilhon
Lupinus	coa de rat
August	Agoust
kid	bourdegas
streetwise	degourdit
puddle	sampa
chunk	tròç
like no other	coumo pas un
mischievous	despieitous
troop	escabòt
European Union	Union Europèa
uproot	arrincar
abdomen	abdomèn
sculptor	esculptor
exchange	escambi
ess	èssa
fall	casuda
zone	zòna
growth	creissença
propose	prepausar
major	màger
psychosis	psicòsi
prolong	esperlongar
Sambucus ebulus	èvol
Sambucus ebulus	èusses
Quercus ilex	eusina
Quercus ilex	eusin
Quercus ilex	euse
Sambucus ebulus	èules
Sambucus ebulus	èule
Sambucus ebulus	èul
Sambucus ebulus	èufe
Sambucus ebulus	èu
open	dobèrt
weekend	dimenjada
Anthericum liliago	liri salvatge
Lilium martagon	liri roge
Pancratium maritimum	liri de mar
Phormium tenax	liri de Nòva Zelanda
Phormium tenax	fòrmi
hospitalize	espitalizar
pardon	graciar
patience	paciéncia
lagoon	lòna
Niger	Nigèr
confinement	confinament
pee	pishar
Podarcis muralis	servantina
Podarcis muralis	serpoleta
reactive	reactiu
sojourn	sojorn
matrimony	matrimòni
opinion	vejaire
half	mièg
Podarcis muralis	sanglarina
Salamandra salamandra	salimanda
Salamandra salamandra	talabrena
Eublepharis macularius	tarenta
Emys orbicularis	tartuga de palús
marsh	palús
Salamandra salamandra	alabrena
Zygaena fausta	zigèna
Coccinella septempunctata	volàguiraud
Coccinella septempunctata	perdigoleta
Coccinella septempunctata	peperon
Coccinella septempunctata	catarineta
Coccinella septempunctata	pimparèla
Coccinella septempunctata	galineta
Lygus lineolaris	guiraud pudent
Lygus lineolaris	bernat pudent
common ash	cantaridièr
common ash	cantarilhièr
tool	esplech
injection	injeccion
disinfectant	desinfectant
hostility	ostilitat
abrasive	abrasiu
improvement	amelhorament
maybe	benlèu
baseball	beisbòl
boxing	bòxa
Belgian	bèlga
Castilian	castelhan
cemetery	cementèri
beer	bièrra
covered	cobèrt
collaboration	collaboracion
corruption	corrupcion
chromosome	cromosòma
còp d'estat	còp d'estat
còps d'estat	còps d'estat
biblical	biblic
preface	prefaci
archaeological	arqueologic
annual	annadièr
gospel	evangèli
color blind	daltonian
decoration	decoracion
decline	declin
disappointment	decepcion
dancer	dançaire
dolphin	dalfin
demon	demòni
we	nosates
you	vosati
you	vosates
insect	insècte
unlucky	desfortunat
cradle	breçar
authentic	autentic
difficultly	dificilament
difference	diferéncia
phallic	fallic
testimony	testimoniatge
incomprehensible	incompreensible
sparrow hawk	esparvèr
gudgeon	trauguen
honeysuckle	vitauguèra
fall	caijuda
adolescent	jovenòt
test	espròva
distraction	distraccion
divorce	divòrci
conservation	conservacion
docile	docil
sweetness	doçor
hardness	duretat
age	atge
militarization	militarizacion
education	educacion
equality	egalitat
helicopter	elicoptèr
one thousand	milièr
especially	mai que mai
above all	subretot
police	policièr
above all	sustot
hold	deténer
launch	lançament
bury	entutar
independence	independéncia
a l'encòp	a l'encòp
entitle	entitolar
advisor	conselhièr
strange	estranh
dissection	disseccion
inherit	eiretar
inherit	eretar
heresy	eretgia
heretic	erètge
merlon	merlet
ef	èfa
em	èma
ar	èrra
double-u	ve dobla
wye	i grèga
zee	izèda
Slovene	eslovèn
specialization	especializacion
foamy	escumós
school	escòla
skeleton	esquelèt
skeleton	ossamenta
summer	estivenc
euphoric	euforic
eunuch	eunuc
obviously	evidentament
integration	integracion
substitution	substitucion
common foxglove	dedalièra
common foxglove	èrba desenfladura
common foxglove	petairòl
common foxglove	petairòla
common foxglove	espetairal
common cowslip	bragas de cocut
common cowslip	èrba de cocut
common cowslip	bragas de coguòl
common cowslip	aurelha d'ors
nettle-leaved bellflower	campanèla
nettle-leaved bellflower	campaneta
essence	esséncia
Roman chamomile	camòmilha salvatja
Roman chamomile	camòmilha romana
Roman chamomile	camòmilha pudenta
statistical	estatistic
statistics	estatistica
stimulation	estimulacion
vibration	vibracion
ethnic	etnic
excel	excellir
excellence	excelléncia
existence	existéncia
exuberance	exuberància
armful	braçat
systematic	sistematic
prolixity	prolixitat
phalanx	falanja
rib	costèla
engineer	engenhaire
engineering	engenhariá
orphan	orfanèl
friction	friccion
reticence	reticéncia
originality	originalitat
originally	originalament
tourism	torisme
touristic	toristic
horizontal	orizontal
fennel	fenolh
fermentation	fermentacion
eternal	etèrn
coherent	coerent
incorrect	incorrècte
incorrectly	incorrèctament
correct	corrècte
correctly	corrèctament
feline	felin
philanthropist	filantròp
seal	sagèl
philosophical	filosofic
philosopher	filosòf
week	semmana
spin around	tornejar
superstition	supersticion
prostitution	prostitucion
exaggeration	exageracion
transition	transicion
fetus	fètus
parachute	paracasudas
paradox	paradòxa
privatization	privatizacion
dose	dòsi
work	òbra
tool	aisina
flute	flaüta
dream	somniar
body	còs
Montpellier cistus	moge negre
Montpellier cistus	moja negra
grey-leaved cistus	moja blanca
grey-leaved cistus	moge blanc
Cistus populifolius	moge de Narbona
Cistus populifolius	moja de Narbona
laurel-leaved cistus	moja de montanha
laurel-leaved cistus	amoge
Phoenicean juniper	morven
Phoenicean juniper	morvís
Phoenicean juniper	cade endormit
Phoenicean juniper	cade morvís
Phoenicean juniper	cade sorbin
wise	sagaç
sailor	marinièr
theological	teologic
etymological	etimologic
warrior	guerrièr
Mediterranean sea holly	cardon blu
canyon	congost
neurosis	neuròsi
ramsons	alh bord
mole	bouffo
finally	anfin
how	enquin
jacket	bèsto
evil	maishant
marvelous	meravilhós
invention	invencion
invention	tròba
seasickness	mau de mar
something	quauquarren
something	quaucòm
Le Tousquirat	Tousquirat
Couserans	Coseran
Couserans	Coserans
foundation	fondament
phoneme	fonèma
fear	crentar
fornication	fornicacion
phosphorescent	fosforescent
fossilize	fossilizar
football	fotbòl
footballer	fotbolaire
reduction	reduccion
melanoma	melanòma
aroma	aròma
ravage	ravatge
damage	domau
bewitch	embroishir
disenchant	desembroishir
sorcerer	broish
pencil	gredon
inherent	inerent
priest	ritou
dangerous	dangeirós
either	tanpauc
diabetes	diabèti
hate	òdi
ice	gèl
diabetes	diabèta
grandfather	grand paire
boy	gojat
girl	gojata
sacrilege	sacrilègi
well-read	letrat
bluestocking	letruda
child	mainat
Minorca	Menòrca
Lozère	Meiruèis
indocility	indocilitat
indocile	indocil
reaction	reaccion
reactivity	reactivitat
Pyrenean	pirenenc
Pyrenean	pirenèu
Périgord	Peirigòrd
Périgord	Perigòrd
Périgord	Peiregòrd
Périgueux	Peiriguers
Périgueux	Periguers
Périgueux	Peireguers
fish	peish
like a duck takes to water	coma un peis dins l'aiga
same	medish
go without saying	anar-se'n tot medish
kiss	potoar
kiss	potonar
rocket	husada
rocket	fusada
then	lavetz
then	alavetz
with	damb
aïoli	alhòli
hawthorn	aubespin
blueberry	abajon
heifer	anolha
asleep	adromit
work	tribalhar
dew	aiganha
blow	bohar
news	navèra
forge	hargar
within	laguens
this year	augan
journal	jornau
below	devath
moisture	bagnaduro
urge	aver hami
always	tostemps
soldier	sordat
naval	navau
guard	goarda
garbure	garbura
echo	resson
mobile phone	pegaurelha
low	baish
roost	ajocar
reaping	dalhatge
pitiable	pietadós
tuft	flòta
historian	istorian
ode	òda
brevity	brevitat
knife	cotèth
deadly	matader
fire	huec
fire	fòc
fed	neurit
feed	neurir
feed	noirir
descend	devarar
descent	descenta
imprisoned	presoèr
imprisoned	presonèr
prison	preison
prisoner	preisonièr
edible	minjader
food	neuritud
food	noiriment
food	noiridura
food	alimentacion
eye	uelh
redden	rogesir
reddened	rogesit
sniffing	niflament
sniffing	niflal
handkerchief	mochana
someone	quauqu'un
competently	competentament
Darnaudguilhem	Darnaudguilhem
admiration	admiracion
delectation	delectacion
knickers	pita culòta
then	puei
majority	majoritat
seventeen	dietz set
dètz	dètz-e-sèt
dètz	dètz-e-uèit
pregnancy	grossessa
pregnancy	emprenhament
pregnancy	prenhesa
boy	goiat
give birth	acoijar
give birth	ajaire
per l'ora	per l'ora
ten	dietz
among	demest
truly	vertadierament
truly	vertadièrament
poor	desfavorisat
dangerous	dangierós
perilous	perilhós
perilous	perilhat
risk	perilhar
clothes	abilhament
horsetail	abrelle
opening	acarral
burning passion	afògament
ravine	barrenc
hoe	aissada
agreement	convengut
stony	calhavós
greasy	graissós
wrist	ponhet
squash	cocorda
pasture	codèrc
quince	codonh
freezing	conglaç
fear	crenhença
fearful	crenhent
scared	paurós
unswathe	desmalholar
swathe	malholar
jujube	dindola
track	dralha
straight path	carrairòu
straight	carrairon
deep	prigond
look	gachar
graze	pàisser
moor	èrm
wasteland	bosiga
terrain	terrenh
flake	flòc
cook	còser
anchovy	anchòia
beehive	abelhièr
abound	abausir
whiten	ablanquir
break	abrascar
depth	prigondor
far	luènh
cradle	brèç
hollow	cròi
fail	falhir
childhood	enfança
leave	comjat
hazard	azard
occasion	escasença
happen	escàser
happen	escàder
clearing	clarièra
choice	chausida
choice	causida
unemployment	caumatge
marrow	mesolha
corner	cunh
hay	estolha
thatch	cluèg
harvest	meisson
telescope	telescòpi
stack	molon
testicle	colhon
part	talhon
cloth	pelha
skirt	gonèla
holly	agreu
choose	chausir
kneel	agenolhar
cathedral	catedrala
apparatus	aparelh
after	aprèp
Bagnères-de-Luchon	Banhères de Luishon
engage	engatjar
humiliation	umiliacion
sickle	fauç
sprout	brostilha
shove	butassar
hairy	cabelut
foggy	brumós
Roumanille	Roumaniho
kingdom	reiaume
fief	fèu
encounter	rescontre
encounter	rescontrar
late	tardiu
troubadour	trobairitz
outside	travès
handle	margue
plural	plurau
rain	ploja
Gothic	gotic
gyrfalcon	girfalc
juniper	genibre
mount	acavalar
strike	acip
pile	aclap
crest	acrin
reception	acuèlh
address	adreiça
send	adralhar
attack	agarrir
Agen	agenés
sorrel	agrelha
dull	agrepir
pleasant	agradiu
adjoin	ajúnher
join	júnher
immediately	aitanlèu
so much	aitant
blacksmith	faure
fever	fèbre
almost	gaireben
castle	castèu
chatelaine	chastelan
despite	en despiech de
spite	despiech
spite	despièit
spite	despièch
hear	auvir
company	en companhia de
company	companhiá
squire	escudièr
stone	acalhaudar
transport	acaminar
fief	acasar
bramble	romec
treat harshly	rudejar
sack	sacatjar
Mireille	Mirèio
Mistralian	mistralenc
Maurras	Maurràs
félibre	felibre
mountainous	montanhós
tournament	torneg
maybe	saique
memory	sovenença
homage	omenatge
rhinoceros	rinocèros
hamlet	Norjat
Norgeat	Nourjat
Ariège	Arièjo
papacy	papautat
office	canonicat
navel	embonilh
manger	manjadoira
disenchant	desendemoniar
Provençal spread	anchoiada
spiderweb	telaranha
modification	modificacion
Great Britain	Grand Bretanha
Lafourcade	Laforcada
voila	òp
since	dempuei
joke	colhonar
office	bureu
office	burèu
armchair	fautuelh
armchair	fautuèlh
difficult	malaisat
something	quauquaren
cheek	jauta
review	far lo punt
afternoon	après-miegjorn
afternoon	après-miègjorn
midday	miegjorn
accustomedly	d'acostumat
interrogation	interrogatòri
killer	tuaire
murderous	murtrièr
not yet	pas enquera
plumbing	tudelariá
pipe	tudèl
idea	idèia
idea	idèa
six	sieis
cleaning	netiatge
with	emb
toy	juguet
pleasure	plaser
displeasure	desplaser
new	nuòu
Iberian	iberic
loyalty	leialtat
flee	prendre la fugida
dodge	eschivar
open	drubir
body	despolha
sip	bevetar
understand	comprener
understand	compréner
take	préner
take	prener
flee	prener la fugida
medical examiner	Franquenstein
telephone call	còp de fiau
change	chamjar
memory lapse	cròs de memòria
hole	cròs
given name	pitit nom
please	si vos platz
relieve	solatjar
frustration	frustracion
suffering	sufrença
go sour	virar vinagre
friendly	aimablament
post	poteu
bike	vèlo
velocipede	velocipède
maybe	benleu
welcoming	aculhent
bike	becana
mount	enforchar
thing	chausa
quite a few	pas mau de
fortunately	urosadament
complain	planher
report	signalar
sixth	sèxt
Samothrace	Samotràcia
about to	prest de
chance	asard
at random	per asard
goodbye	adiussiatz
goodbye	adissiatz
home	fogier
day after	endoman
rag	fuelha de chaul
leaf	fuelha
nothing at all	ren dau tot
calendar	calendier
randomly	a l'asard
pilgrim	pelegrin
pilgrim	romieu
pilgrim	romiu
pilgrimage	romivatge
cemetery	cementeri
interrogate	interrojar
sadness	tristum
herd	tropèth
herd	tropèu
Gascon	Gascona
livestock	amontanhar
transhumance	amontanhatge
Zeus	Zèus
ewe	goelha
ewe	oelha
Béziers	besierenc
Béziers	bederrés
Hispania Baetica	Betica
Bathsheba	Betsabèa
lie	mentaria
now	aurá
Soninke	Soninké
jinn	dgenné
laugh	risolar
blame	repròche
evil	maufasent
Saturday	dissabde
police station	comissariat
Brassica	chaul
Marseillais	marselhes
Marseillais	marselhés
Moroccan	marrocan
Arles	arletenc
Arles	arlatenc
Phocaean	focenc
Phocaean	focèu
Massiliote	massaliòta
nape	cagasson
soothe	apasimar
saucepan	caçairòla
try	eissaiar
butterfly	parpalhòu
Protestant	parpalhòt
crop	parpalh
yellowish	rosselard
potion	liquossiana
swallow	engolar
snore	ronflar
postcard	carta postala
low-wage earner	paucganha
dim	pèc
blueberry	anajon
yellow	auriò
marmot	dormilhosa
somnolent	dormilhós
close	pròche
lighter	batifòc
ham	cambajon
nowhere	enlòc
Jewish	josieu
carnivore	carinvòr
carnivore	carnivòr
danger	perilh
owl	cavèca
blind	cèc
wife	molhèr
