finger	палец
family	радзіна
homeland	радзіма
net	мярэжа
scab	кароста
chaff	палова
happy	вясёлы
sad	сумны
furrow	баразна
hunger	голад
crow	воран
frost	мароз
darkness	морак
linen	палатно
cold	холад
watch	стораж
angle	вугал
ready	гатовы
belly	чэрава
rare	рэдкі
garlic	часнок
peas	гарох
rye	жыта
deep	глыбокі
bad	ліхі
bad	кепскі
crooked	крывы
hold	трымаць
blow	дзьмуць
vomit	ванітаваць
scratch	чухаць
fruits	садавіна
seed	насенне
of course	вядома
seeing	пабачэнне
goodbye	да пабачэння
калі́ ла́ска	калі ласка
sorry	выбачайце
pardon	прабачэнне
help	дапамога
equal	роўны
morning	раніца
greet	вітаць
travel	падарожжа
side	старана
empty	парожні
heat	цяпло
sew	шыць
helicopter	верталёт
tie	вязаць
dig	рыць
how much	колькі
main	галоўны
thimble	напарстак
happy	радасны
sick	хворы
blind	сляпы
variegated	пярэсты
donkey	асёл
camel	вярблюд
fart	пярдзець
werewolf	ваўкалак
grey	шэры
inner	унутраны
grey	сівы
world	сусвет
woodpecker	жаўна
in front of	перад
nail	гвозд
canoe	човен
eyebrow	брыво
shin	галёнка
voice	голас
shoulder	плячо
bile	жоўць
oral	вусны
falcon	сокал
boar	вяпрук
piglet	парсюк
chamois	сарна
guest	госць
ambassador	пасол
shame	сорам
graveyard	могілкі
only	толькі
lightning	маланка
captivity	палон
freedom	свабода
lie	ілгаць
truth	праўда
wedding	вяселле
hip	сцягно
bad	благі
instrumental	паміж
anvil	кавадла
ugly	брыдкі
ancient	даўні
strange	чужы
enemy	варожы
nail	цвік
tight	шчыльны
genitive	супраць
genitive	побач
better	лепшы
immortal	бессмяротны
mortal	смяротны
cruel	жорсткі
burn	джгаць
presence	пры
jaw	сківіца
village	сяло
hall	сені
number	лічба
reason	розум
mankind	чалавецтва
preposition	прыназоўнік
noun	назоўнік
lizard	яшчарка
caterpillar	вусень
belly	улонне
mushroom	грыб
genitive case	шмат
few	няшмат
quantity	колькасць
quality	якасць
perish	згінуць
passion	жарсць
fresh	свежы
present	прысутны
presence	прысутнасць
predominance	перавага
orthography	правапіс
joy	радасць
sincere	шчыры
knot	вузел
area	плошча
in order to	каб
apartment	кватэра
fence	агароджа
environment	асяроддзе
waterfall	вадаспад
danger	небяспека
treason	здрада
majority	большасць
minority	меншасць
down with	далоў
reason	прычына
ring	пярсцёнак
priest	святар
meeting	нарада
rook	ладдзя
cinnamon	карычневы
wet	вільготны
judge	суддзя
contemporary	сучасны
flat	плоскі
international	міжнародны
national	народны
independent	незалежны
dependent	залежны
pink	ружовы
orange	аранжавы
violet	фіялетавы
turquoise	бірузовы
magenta	баграны
banner	сцяг
sight	зрок
brave	харобры
useful	карысны
utility	карыснасць
what	які
bat	нетапыр
necktie	гальштук
artist	мастак
tin	волава
hoof	капыт
rhinoceros	насарог
straw	салома
nostril	наздра
ear	колас
malt	солад
threshold	парог
willow	вярба
razor	брытва
mill	млын
spindle	верацяно
prisoner	вязень
sieve	рэшата
eyelid	павека
stripe	паласа
log	палена
rib	рабро
oath	прысяга
sin	грэх
cherry	чарэшня
wizard	чараўнік
retina	сятчатка
cart	калёсы
health	здароўе
happiness	шчасце
cheek	шчака
honor	чэсць
forehead	чало
magpie	сарока
grave	магіла
brother-in-law	дзевер
duty	доўг
mosquito	камар
coal	вугаль
fox	ліса
shield	шчыт
sled runner	полаз
pepper	перац
bridle	вуздэчка
cucumber	агурок
verb	дзеяслоў
declension	скланенне
adjective	прыметнік
linguistics	мовазнаўства
nominative	назоўны
native	родны
dative	давальны
accusative	вінавальны
instrumental	творны
local	месны
adverb	прыслоўе
conjunction	злучнік
pronoun	займеннік
harvest	жніво
dwarf	карлік
interjection	выклічнік
eyelash	вейка
wrist	запясце
plural	множны
sole	адзіны
triangle	трохвугольнік
comparison	параўнанне
compare	параўнаць
rust	іржа
peninsula	паўвостраў
turtle	чарапаха
liver	вантроба
speed	скорасць
-ness	-осць
-ish	-ны
-ness	-ата
-al	-лівы
wealth	багацце
rat	пацук
-kind	-ства
seek	шукаць
murder	забойства
impression	уражанне
stubborn	упарты
power	улада
onion	цыбуля
promise	абяцаць
adolescent	падлетак
lentil	сачавіца
dot	кропка
surprising	дзіўны
impatient	нецярплівы
grateful	удзячны
brotherhood	брацтва
dignity	годнасць
significance	значэнне
sense	пачуццё
mean	значыць
impressive	уражальны
talkative	гаваркі
disgusting	гідкі
disgust	агіда
beet	бурак
bark	брахня
lazy	лянівы
torture	катаваць
teacher	настаўнік
kind	ветлівы
expressive	выразны
vacuum cleaner	пыласос
intentional	наўмысны
victim	ахвяра
humble	сціплы
marvel	цуд
platypus	качканос
yes-no question	ці
one-eyed	аднавокі
monkey	малпа
armpit	падпаха
lead	свінец
hope	надзея
despise	пагарджаць
today	сягоння
enough	дастаткова
sufficient	дастатковы
society	грамадства
participle	дзеепрыметнік
do	дзеяць
rape	згвалтаваць
rape	гвалтаваць
millennium	тысячагоддзе
woodlouse	макрыца
silk	шоўк
needle	іголка
needle	ігла
invention	вынаходства
hornet	шэршань
evidence	пасведчанне
ashtray	попельніца
witness	сведка
trough	жолаб
alga	водарасць
give birth	нарадзіць
for example	напрыклад
stallion	жарабец
clock	гадзіннік
coffin	труна
oyster	вустрыца
descendant	нашчадак
among	сярод
beryllium	берылій
generous	шчодры
whistle	свісток
huge	вялізны
bridegroom	жаніх
oxygen	кісларод
problem	праблема
tenderness	пяшчота
natural	прыродны
relative	адносны
question mark	пытальнік
rotten	гнілы
cockchafer	хрушч
gallows	шыбеніца
sunflower	сланечнік
spleen	селязёнка
pitch	дзёгаць
speed	быстрыня
coal	вугольчык
whip	пуга
saw	піла
seal	цюлень
olden	даўніна
virtue	цнота
government	урад
exceptional	вынятковы
exception	вынятак
honor	гонар
consequence	наступства
outer	знадворны
fortress	крэпасць
grown	дарослы
seal	пячаць
broom	мятла
etymology	этымалогія
beautiful	выдатны
ugly	пачварны
handsome man	прыгажун
fit	гожы
buyer	пакупнік
by the way	дарэчы
first time	упершыню
skeleton	шкілет
for the time being	пакуль
childhood	дзяцінства
future	будучыня
past	мінулае
present	сапраўднае
water spring	жарало
crazy	шалёны
well	калодзеж
clothing	адзежа
character	нораў
might	моц
lot	жэрабя
fiber	валакно
abscess	верад
chin	падбародак
woman	кабета
testament	запавет
wart	бародаўка
mistake	памылка
basis	аснова
basic	асноватворны
арла́н	арлан-белахвост
белагало́вы	белагаловы арлан
пустальга́	пустальга звычайная
трусі́ны	трусіны сыч
сава́	пячорная сава
little owl	сіпель
mallard	крыжанка
Anser erythropus	піскулька
ле́бедзь	лебедзь-шыпун
ле́бедзь	лебедзь-клікун
stork	бацян
чо́рны	чорны дзяцел
woodpecker	дзяцел
beak	дзюба
common wood pigeon	вяхір
stock dove	клінтух
ла́стаўка	вясковая ластаўка
блакі́тніца	белая блакітніца
azure tit	князёк
сіні́ца	белая сініца
Eurasian bullfinch	снягір
палявы́	палявы верабей
oat	авёс
narrow	цесны
rainbow	вясёлка
magnesium	магній
gift	падарунак
lighter	запальнічка
cigarette	цыгарэта
noose	пятля
thief	злодзей
dam	плаціна
famous	вядомы
shy	сарамлівы
glove	пальчатка
honest	сумленны
opportunity	магчымасць
genitive	замест
worst	найгоршы
best	найлепшы
worse	горшы
luxury	раскоша
stalk	сцябло
citizenship	грамадзянства
courage	мужнасць
straight	прамы
drone	труцень
log	бервяно
crowd	натоўп
synagogue	сінагога
Ісу́с Хрысто́с	Ісус Хрыстос
Jesus	Ісус
loud	голасны
loud	зычны
mystery	таямніца
result	вынік
victory	перамога
habit	звычай
reward	нагарода
success	поспех
clumsy	нязграбны
commodity	тавар
regret	шкадаваць
be late	спазніцца
disappoint	расчараваць
impartial	бесстаронні
dissuade	адгаварыць
encourage	заахвоціць
foreign	чужаземны
foreigner	іншаземец
extraordinary	незвычайны
coincidence	збежнасць
ordinary	звычайны
indispensable	неабходны
proverb	прыказка
require	патрабаваць
vain	ганарлівы
precious	каштоўны
labor	працоўны
cooperation	супрацоўніцтва
brave	адважны
bravery	адвага
rule	правіла
universal	усеагульны
fat	тлусты
stick	кій
poison	атрута
poisonous	атрутны
innocent	цнатлівы
great-grandfather	прадзед
Proto-Slavic	праславянскі
great-grandmother	прабабуля
Christmas	каляды
event	падзея
subject	дзейнік
envy	зайздрасць
brace	калаўрот
millimeter	міліметр
milli-	мілі-
millimeter	мілімэтар
meter	мэтар
mirror	люстэрка
cunning	хітры
certain	пэўны
nice	мілы
behaviour	паводзіны
slow	марудны
rope	вяроўка
nonsense	глупства
absurd	бязглузды
soundness	слушнасць
insufficient	недастатковы
hunter	паляўнічы
art	паляўніцтвазнаўства
all	усё
almighty	усёмагутны
powerful	магутны
latitude	шырата
longitude	даўгата
greet	прывітаць
excuse	выбачыць
mute	нямы
essential	істотны
shooting star	знічка
swift	борзды
somewhere	дзесьці
somewhere	кудысьці
everywhere	усюды
never	ніколі
always	заўсёды
always	заўжды
zealous	заўзяты
spark	іскра
smell	нюхаць
scratch	драпаць
smell	пахнуць
influential	уплывовы
tight	тугі
tight	пруткі
sober	цвярозы
half-light	змрок
twilight	змрочны
naked	нагі
goalkeeper	варатар
kilogram	кілаграм
kilo-	кіла-
kilometer	кіламетр
postponement	адклад
pressing	неадкладны
economy	гаспадарка
zealous	заложны
hostage	заложнік
pronounce	вымавіць
sieve	сіта
small sieve	падсітак
anonymous	безназоўны
referendum	рэферэндум
ray	прамень
onomastics	анамастыка
astronomy	астраномія
worker	працаўнік
Hussite	гусіт
astronomer	астраном
democrat	дэмакрат
wolverine	расамаха
musical	музычны
cradle	калыска
музы́чны	музычны інструмент
fossil	выкапень
hill	пагорак
feminine	жаночы
cauldron	кацёл
level	узровень
husband	свякроў
holster	кабура
abyss	бездань
youth	моладзь
tractor driver	трактарыст
tractor driver	трактарыстка
tractor	трактар
fire	пажар
place	пажарышча
timid	палахлівы
calf	лытка
shirt	кашуля
revenge	помста
stomach	страўнік
synonym	сінонім
weaving	ткацтва
fishing rod	вуда
oppressive weather	спякотны
scarecrow	пудзіла
spirit	прывід
building	будаванне
intention	намер
shelter	прытулак
ladle	чарпак
quiver	калчан
prestigious	прэстыжны
inevitable	непазбежны
reliable	надзейны
perspicacious	праніклівы
sedentary	аселы
previous	мінулы
nomadic	вандроўны
next	будучы
incontrovertible	неабвержны
ablaze	полымны
immediate	непасрэдны
locksmith	слесар
landscape	краявід
reed	трыснёг
deplorable	жаласны
innocent	нявінны
guilty	вінаваты
hepatic	пячоначны
borrow	пазычаць
borrow	пазычыць
distinguishable	адрозны
disobedience	непаслушэнства
obedience	паслушэнства
obedient	паслушны
moustache	вусік
obedient	пакорлівы
obedient	паслухмяны
disdainful	пагардлівы
disdain	пагарда
inconceivable	непасціжны
unreliable	ненадзейны
transparent	празрысты
equilateral	роўнабочны
conceivable	магчымы
shovel	рыдлёўка
maggot	апарыш
suck	ссаць
push	штурхаць
probably	напэўна
probable	верагодны
truthseeker	праўдашукальнік
seeker	шукальнік
exactly	сапраўды
concrete	сапраўдны
experience	выпрабаванне
suitable	прыдатны
monochrome	аднакаляровы
monogamy	аднашлюбнасць
marriage	шлюб
dawn	світанне
auricular	вушны
verbal	слоўны
inaudible	нячутны
audible	чутны
feel	пачуць
extreme	гранічны
boundary	граніца
humorist	гумарыст
wound	самастрэл
shoot	страляць
shoot	стрэліць
shot	стрэл
rifle	стрэльба
exclamation mark	клічнік
talkative	гаварлівы
taciturn	маўклівы
be silent	маўчаць
monogamous	аднашлюбны
mason	муляр
fridge	халадзільнік
competition	спаборніцтва
profession	фах
illness	хвароба
hair salon	цырульня
dagger	кінжал
pregnant	цяжарны
load	цяжар
drawback	недахоп
then	затым
why	чаму
epistemology	эпістэмалогія
pillowcase	навалачка
ellipse	эліпс
inn	карчма
floor	падлога
Easter	Вялікдзень
nape	патыліца
whirlwind	віхура
jihad	джыхад
tsarina	царыца
narwhal	аднарог
democrat	дэмакратка
dendrochronology	дэндрахраналогія
sedge	чарот
peony	півоня
densely matted hair	каўтун
spectacle	відовішча
workers of the world, unite	пралетарыі ўсіх краін, яднайцеся
potter	ганчар
not any	ніякі
masculine	мужчынскі
human	чалавечы
antidote	проціяддзе
suicide	самагубства
human	людскі
-ish	-скі
brushwood	хвораст
post	слуп
wonder	дзіва
news	навіны
vodka	гарэлка
interpreter	тлумач
measles	адзёр
sable	собаль
at least	прынамсі
aftergrass	атава
great martyr	велікамучанік
great martyress	велікамучаніца
protomartyr	першамучанік
protomartyress	першамучаніца
juniper	ядловец
umbrella	парасон
traffic light	святлафор
unite	яднаць
girl	дзяўчына
virus	вірус
toad	рапуха
letter	літара
sound	гук
coronavirus	каранавірус
what for	навошта
hotel	гасцініца
station	станцыя
airplane	самалёт
village	вёска
tomato	памідор
surname	прозвішча
у	Бялград
artichoke	артышок
robot	робат
restaurant	рэстаран
hotel	гатэль
па	па-англійску
па	па-ангельску
English	ангельскі
police	паліцыя
militia	міліцыя
nice	файна
congratulations	віншую
exactly	менавіта
similar	падобны
next	наступны
nice	файны
American	амерыканскі
African	афрыканскі
marketplace	рынак
glass	шклянка
rug	кілім
Asian	азіяцкі
wondrous	цудоўны
brush	шчотка
plate	талерка
fork	відэлец
passport	пашпарт
flint	крэмень
Macedonian	македонскі
cinnamon	карыца
calm	пакой
washing tub	карыта
Russian	расейскі
Russian	расійскі
Arabic	арабскі
Israeli	ізраільскі
Latin	лацінскі
railway	чыгунка
plum	сліва
vision	бачанне
television	тэлебачанне
president	прэзідэнт
substance	рэчыва
plant	расліна
tobacco	тытунь
rest	адпачынак
beginning	пачатак
textbook	падручнік
reference book	даведнік
seldom	рэдка
advertising	рэклама
Thai	тайскі
shade	цень
Soviet	савецкі
union	саюз
scissors	нажніцы
Lithuanian	літоўскі
Latvian	латышскі
Hungarian	угорскі
Turkish	турэцкі
Slovak	славацкі
Finnish	фінскі
Slovene	славенскі
Montenegrin	чарнагорскі
Serbian	сербскі
French	французскі
Greek	грэцкі
Rumanian	румынскі
Upper Sorbian	верхнелужыцкі
Lower Sorbian	ніжнелужыцкі
Catalan	каталонскі
Basque	баскскі
Estonian	эстонскі
Kashubian	кашубскі
Slovincian	славінскі
Portuguese	партугальскі
Dutch	галандскі
Norwegian	нарвежскі
Vietnamese	в'етнамскі
Persian	персідскі
Lao	лаоскі
Tagalog	тагальскі
Mongolian	мангольскі
Japanese	японскі
Korean	карэйскі
Chinese	кітайскі
Scottish Gaelic	шатландскі
Kazakh	казахскі
Uzbek	узбекскі
Kyrgyz	кіргіскі
Tajik	таджыкскі
Turkmen	туркменскі
Manx	мэнскі
Welsh	валійскі
Burmese	бірманскі
Livonian	ліўскі
Cornish	корнскі
Luxembourgish	люксембургскі
Frisian	фрызскі
Khmer	кхмерскі
Malay	малайскі
Indonesian	інданезійскі
information	інфармацыя
circus	цырк
theater	тэатр
movie	кіно
ancient	старажытны
Palestine	Палестына
misfortune	бяда
lord	спадар
lady	пані
lady	спадарыня
pie	пірог
pine	сасна
television	тэлевізар
stable	хлеў
sheet	аркуш
shop	магазін
sheepskin coat	кажух
lodging for the night	начлег
enterprise	прадпрыемства
machine	машына
car	аўтамабіль
bicycle	ровар
end	канец
briefcase	партфель
briefcase	партфэль
letter	пісьмо
game	ігра
stirrup	стрэмя
tea	гарбата
computer	камп'ютар
ice cream	марожанае
tradition	традыцыя
telephone	тэлефон
minute	хвіля
university	універсітэт
education	адукацыя
education	асвета
conjugation	спражэнне
threat	пагроза
pronunciation	вымова
answer	адказ
candy	цукерка
abdomen	бруха
whore	прастытутка
representative	прадстаўнік
carrier	носьбіт
am	ёсць
monk	манах
centre	цэнтр
test	тэст
sheep	авечка
sheep	аўца
lung	лёгкае
production	вытворчасць
printer	прынтар
moustache	вус
saliva	сліна
wire	дрот
disgrace	ганьба
floor	паверх
valley	даліна
drop	кропля
kiss	пацалунак
soldier	салдат
liquid	вадкі
lonely	самотны
tender	пяшчотны
envious	зайздросны
jealous	раўнівы
café	кавярня
count	рахунак
improve	паляпшаць
improve	палепшыць
worsen	пагаршаць
worsen	пагоршыць
bookseller	букініст
thunderstorm	навальніца
butterfly	матыль
foal	жарабя
goat	казёл
insect	насякомае
kitten	кацяня
marmoset	малпачка
horseradish	хрэн
peach	персік
exact	дакладны
стрые́чны брат	стрыечны
Kurbyko	Курбыка
religion	рэлігія
traitor	здраднік
party	партыя
throw	кінуць
inhabitant	жыхар
ordinal number	нумар
clay	гліна
chalk	крэйда
brother-in-law	швагер
father-in-law	цесць
granddaughter	унучка
amber	янтар
Slav	славянін
medicine	лекі
turn	чарга
vyshyvanka	вышыванка
Australian	аўстралійскі
rice	рыс
program	праграма
kind	гатунак
belt	рэмень
table	табліца
button	гузік
twin	блізнюк
infant	немаўля
child	рабёнак
firm	фірма
factory	фабрыка
bogatyr	багатыр
snowflake	сняжынка
Indian	індыйскі
shallow	мелкі
minister	міністар
classification	класіфікацыя
such	такі
politics	палітыка
radio station	радыёстанцыя
ermine	гарнастай
interview	інтэрв'ю
Cyrillic	кірыліца
Ivanov	Іваноў
Borisov	Барысаў
Bykov	Быкаў
novelty	навіна
federation	федэрацыя
wife	цешча
lie down	легчы
stink	смярдзець
serve	служыць
tiger	тыгр
newspaper	газэта
crocodile	кракадзіл
chocolate	шакалад
chief	правадыр
head	кіраўнік
guard	берагчы
guard	зберагчы
flow	цячы
gnaw	грызці
creep	паўзці
sweep	месці
fall	пасці
grow	расці
rooster	певень
boy	рабяты
shake	трэсці
sit	сесці
put	класці
put	пакласці
relax	адпачываць
put	ставіць
put	паставіць
row	грэбці
bloom	цвісці
cut	стрыгчы
rub	церці
drag	валачы
crime	злачынства
run	бегчы
go in	увайсці
fuck	выебаць
lie	лгаць
lie	салгаць
tear	ірваць
play	іграць
adverbial participle	дзеепрыслоўе
rumple	мяць
bend	гнуць
polecat	тхор
airport	аэрапорт
million	мільён
call	зваць
call	пазваць
slug	слімак
pity	шкада
Taraškievica	тарашкевіца
article	артыкул
ring	персцень
father	баця
beautiful girl	прыгажуня
ginger	імбір
put	дзець
Tikhanovsky	Ціханоўскі
personal	асабісты
arrest	арышт
palate	паднябенне
legislation	заканадаўства
signboard	шыльда
noodles	локшына
a little	крыху
Christ	Хрыстос
Christian	хрысціянін
device	прыстасаванне
quantitative	колькасны
qualitative	якасны
confessor	спавядальнік
monument	помнік
prison	турма
prison	цямніца
hatred	нянавісць
hate	ненавідзець
smile	усміхацца
smile	усміхнуцца
must	мусіць
Jew	жыд
Moon	Месяц
fellow traveller	спадарожнік
rally	мітынг
some	якісьці
compatriot	суайчыннік
homeland	айчына
answer	адказваць
answer	адказаць
KGB	КДБ
visa	віза
suitcase	валіза
suitcase	чамадан
purse	кашалёк
constitution	канстытуцыя
dance	танцаваць
imminent	няўхільны
irreplaceable	незаменны
unanimous	аднагалосны
part	удзел
participant	удзельнік
accomplice	саўдзельнік
milk	даіць
water	паіць
East Slavic	усходнеславянскі
throne	пасад
throne	прастол
continent	кантынент
decision	рашэнне
ancient	старадаўні
agreement	пагадненне
mediocre	пасрэдны
medium	сярэдні
defensive	ахоўны
ineffable	невымоўны
offensive	наступальны
starlet	зорачка
poker	качарга
sock	шкарпэтка
dormitory	інтэрнат
horror	жах
skyscraper	небасяг
choice	выбар
strike	забастоўка
circumstance	акалічнасць
hermit	пустэльнік
meeting	сустрэча
win	перамагчы
fear	баяцца
avenue	праспект
riot	паўстанне
crisis	крызіс
workshop	майстэрня
atelier	атэлье
revolution	рэвалюцыя
dictator	дыктатар
dictatorship	дыктатура
office	офіс
doubt	сумнеў
doubt	сумнявацца
respectful	шаноўны
gentlemen	спадарства
dress	сукенка
video	відэа
player	гулец
empire	імперыя
crown	карона
driver	кіроўца
chairperson	старшыня
motor	рухавік
paintbrush	пэндзаль
renewal	узнаўленне
inauguration	інаўгурацыя
trait	рыса
leader	водца
region	рэгіён
district	раён
cinema	кінатэатр
and	ды
leader	лідар
Belarusian	беларускамоўны
language	моўны
Kremlin	Крэмль
force	сіла
rest	рэшта
cover	коўдра
friendship	сяброўства
Зела́ндыя	Новая Зеландыя
advisor	дарадца
killer	забойца
island	выспа
descend	сыходзіць
descend	сысці
moment	момант
case	выпадак
list	спіс
microphone	мікрафон
porcupine	дзікабраз
pregnancy	цяжарнасць
Vyachorka	Вячорка
biology	біялогія
velvet	аксаміт
asteroid	астэроід
anniversary	юбілей
nightmare	кашмар
muscle	цягліца
pressure	ціск
hobby	хобі
shape	кшталт
corn	збожжа
physics	фізіка
text	тэкст
atmosphere	атмасфера
giant	волат
trade	гандаль
portrait	партрэт
lark	жаваранак
fellow citizen	суграмадзянін
windmill	вятрак
mathematics	матэматыка
scarf	шалік
date	фінік
data	даныя
bachelor	халасцяк
binoculars	бінокль
towel	ручнік
tablecloth	абрус
population	насельніцтва
resident	насельнік
drawer	шуфляда
Minsker	мянчук
experience	дослед
room	прастора
connection	сувязь
order	парадак
artisan	рамеснік
craft	рамяство
correlation	суадносіны
relationship	адносіны
book	кніжка
exercise book	сшытак
eraser	гумка
criminal	злачынец
Shushkevich	Шушкевіч
Statkevich	Статкевіч
gate	вароты
pig	свіння
Tarashkevich	Тарашкевіч
kolkhoz	калгас
Makarevich	Макарэвіч
mistletoe	амела
Middle Ages	сярэднявечча
document	падпісаць
Protasevich	Пратасевіч
masturbate	мастурбаваць
masturbation	мастурбацыя
all	ўсё
tourist	турыст
photograph	фатаграфія
Latushka	Латушка
late	позні
lower	ніжні
upper	верхні
extreme	крайні
winter	зімні
summer	летні
cold	зімны
pole	шост
Babaryka	Бабарыка
Kazura	Казура
Sadovsky	Садоўскі
Talochko	Талочка
Shabunya	Шабуня
Tikhonovich	Ціхановіч
Khraptovich	Храптовіч
Zhukovich	Жуковіч
Zaborsky	Заборскі
Yaskevich	Яскевіч
Yakimovich	Якімовіч
Danilovich	Даніловіч
Yelyashevich	Ельяшэвіч
Filipovich	Філіповіч
Zenovich	Зяновіч
Judzicki	Юдзіцкі
Yurevich	Юрэвіч
Ivashkevich	Івашкевіч
Naydyuk	Найдзюк
Neudakh	Неўдах
Abukhovich	Абуховіч
Atrakhovich	Атраховіч
Oleynikov	Алейнікаў
Kolesnikov	Калеснікаў
Putin	Пуцін
thicket	хмыз
darkness	мрок
column	стоўб
sight	зорак
Kalinowski	Каліноўскі
Romanchuk	Раманчук
Zakharenko	Захаранка
Kruk	Крук
Grabowski	Грабоўскі
Chornyak	Чарняк
Nowicki	Навіцкі
Nikiforenko	Нікіфарэнка
Melnik	Мельнік
Tsepkalo	Цапкала
fighter	змагар
linguist	лінгвіст
hard to reach	цяжкадаступны
clothing	адзенне
light	святло
reading	чытанне
cowshed	абора
cowshed	кароўнік
valkyrie	валькірыя
pottery workshop	ганчарня
addition	дадатак
lawyer	заканазнавец
imitation	імітацыя
colony	калонія
sprightly	бадзёры
speech therapy	лагапедыя
cell phone	мабільнік
drug	наркотык
horse-drawn carriage	падвода
radicalism	радыкалізм
sacrament	сакрамант
taxonomy	таксаномія
reciprocity	узаемнасць
formalism	фармалізм
pinewood	хвойнік
cricket	цвыркун
nigella	чарнушка
hexagon	шасцівугольнік
bastion	бастыён
venereology	венералогія
corset	гарсэт
sufficiency	дастатак
ginseng	жэньшэнь
event	здарэнне
inhaler	інгалятар
communism	камунізм
lexicology	лексікалогія
prayer book	малітвеннік
skyscraper	небаскроб
purchase	пакупка
rosary	ружанец
decapitation	абезгалоўліванне
Македо́нія	Паўночная Македонія
subscription	абанемент
circumcision	абразанне
agrochemistry	аграхімія
subtraction	адніманне
allergology	алергалогія
Americanism	амерыканізм
annexation	анексіраванне
conception	апладненне
architrave	архітраў
acetone	ацэтон
occupation	акупацыя
migration	міграцыя
hockey	хакей
varenik	варэнік
touch	кранаць
touch	крануць
tape recorder	магнітафон
peasant	хамуйла
