daughter	day
thirst	uhaw
eggplant	talong
collard	kulis
mosquito coil	katol
end	tapos
soap	sabon
fence	koral
wrest	ilog
sorghum	batat
repeat	sumay
solve	solbad
Philippine flying lemur	kagwang
clean up	hipos
slow	hinay
wring	kumot
why	ngano
animal	kibol
anger	atal
kitchen	kusina
strangler fig	baliti
decimal point	desimal
surname	Murillo
Colon Street	Colon
Spanish	Cortez
plant	mesetas
Sinugboanong	Sinugboanong Binisaya
direct	tanos
garbage collector	basurera
stop	tuang
maybe	tingali
Calayan rail	kalayan
title	Princess
come to a close	pupos
click one's tongue	takla
clinic	klinik
stab	luba
tobacco	likin
charge	hamag
lateral	dalingding
pig out	kasba
stab	tsak
your	nimo
knife	kutsilyo
idler	tambay
chew	usap
airport	tugpahanan
trick	tikas
run	lansar
rubber	chinese
directory	direktori
threaten	huga
peanut	bobot
nature	bagad
helmsman	timonero
bird	langgam
Bohol	Boholano
type	lumpia
transfer	translacion
Jew's harp	kubing
laundryman	labandero
laundrywoman	labandera
straight razor	labaha
committee	komite
silver	pilak
Charie	Charing
Syzygium cumini	lumboy
fart	utot
sausage	longganisa
go past	lahos
ant	holmigas
photographer	retratista
take	tablaw
closed	sirado
surname	Colina
Tañon Strait	Pescador
constellation	Batik
small change	sensilyo
twelve	kinse
airplane	dyet
garlic	lasuna
garlic	ahos
oaf	boyoyoy
cobweb	lawa-lawa
vampire	bampira
tryst	iring-iring
rainy	uwan-uwan
daily	adlaw-adlaw
Mary	Santa Maria
trough	pasong
trough	pasongan
abattoir	ihawan
expose	katol-katol
meatball	bola-bola
province	Laguna
flower	buwak
goat	kanding
hygiene	kandingon
mistress	kerida
mistress	kabit
hang	kab-it
date	petsa
drug addict	adis-adis
to each his own	ija ija, aho aho
achiote	atsuete
volcano	bolkan
mattress	kutson
pattern	patern
dirt	tagiptip
Proto-Western Malayo-Polynesian	kuting
bedbug	dugho
rabbit	koneho
oaf	karaho
annoyance	pastilan
milk	letse
devil	letseng yawa
untidy	bulingit
words	espeling
index	tudlo
teacher	magtutudlo
genus	kandingkanding
woodlouse	baboybaboy
taro	binignit
Corypha	landang
relative	paryente
genera	sagingsaging
shrimp	pasayan
adipose tissue	tambok
krill	hipon
star	bituon
airplane	eroplano
grown up	dako
coquettish	tiguwang igat
number	tiguwang
penis	kinatawo
man	tawo
born on	natawo
confused	nalilibog
buang	irong buang
sweet potato	kamote
tree	kahoy
Manihot esculenta	kamoteng kahoy
young	galay
kerosene	lamparilya
hand	kamot
crumpled	kum-ot
incontinence	ihi-ihi
erection	utog
tomato	tamatis
naked	burlis
leek	sibuyas dahon
onion	sibuyas bombay
naked	nagbold
cooking pot	kaldero
wild	ihas
wild pig	baboy ihas
fish	isdaa
alum	tawas
Jatropha curcas	tubatuba
motorcycle	habalhabal
foot	tiil
coitus	iyot
coitus	hilawas
body	lawas
coitus	kayat
penis	gibuhi
penis	binuhi
raise	nagbuhi
mouse	ilaga
skink	tabili
mosquito	lamok
sea urchin	tuyom
raw	hilaw
tuyom	swaki
dust	abog
vagabond	sagoy
ouch	aguy
ouch	agay
toad	kokak
cry	tuktugaok
genitalia	lagay
discrete	pulong
rainbow	bangaw
carousel	tyubibo
blanket	habol
war	gubat
high tide	taob
toy	pusil-pusil
gunfight	gubatgubat
diverse	lainlain
set aside	gilain
segregate	gilain-lain
attachment	sumpay
vertical	sumbol
rubber band	lastiko
dried	kyamoy
fire	sunog
store	tindahan
countryside	kabukiran
neck	liog
gated community	killage
sparkler	binggala
tuber	lagutmon
hiccup	sid-ok
city	siyudad
calf	bagtak
bamboo	lipak
strabismus	manokon
wall	bungbong
whisper	hunghong
gin	hinebra
athlete's foot	pangagod
cloud	panganod
chipped	pangag
diastema	laghang
grandparent	apohan
parent-in-law	ugangan
stepmother	ina-ina
stepfather	ama-ama
female	inahan
male	amahan
godfather	maninoy
godmother	maninay
son	igso
carry	kugos
godchild	kinugos
uncle	tiyo
uncle	uyoan
aunt	tiya
aunt	iyaan
cousin	ig-agaw
godchild	anakon
king cobra	banakon
lean	dahilig
horn	sungay
great-grandchild	apo-sa-sungay
staff	sungkod
great-great-grandchild	apo-sa-sungkod
knee	tuhod
grandchild	saumag
grandchild	hinulaw
parent	ginikanan
origin	gigikanan
godmother	komare
juvenile	buriring
prostitute	burikat
prostitute	buring
evil	sungayan
spine	tunok
spiny	tunokon
spread	bikangkang
slaughter	ihaw
stare	hinuktok
knock	tuktok
key	yabe
key	yawe
tomorrow	ugma
future	kaugmaon
Chiroptera	kwaknit
neighbour	silingan
pickpocket	mangunguot
snatcher	esnatser
luck	buynas
lucky	debuynas
comb	sudlay
nymph	kuyamad
thunder	dugdog
pan	pan burikat
boyfriend	uyab
fencing	pinsing
dandruff	kaspa
lousy	kutoon
cause	kaspaon
masturbate	jakol
masturbate	ul-ol
ejaculate	gawasan
pins and needles	binhod
cheiloschisis	bungi
thrust	sungayon
carry	sung-ay
pimples	bugason
fleas	pulgason
dog	libon
dog	libonon
dense	kalibonan
grass	sagbot
grass	kasagbotan
puppy	itoy
sperm	tuhos
sperm	semilya
candy	karmelitos
ripe	hinog
ripest	kinahinogan
earthquake	linog
pimp	bugaw
dirt	hugaw
messy	hugawan
chilly	tugnaw
honey	dugos
fighting	nag-away
germ	kagaw
sleep	tulog
sleeptalk	gidaman
rice	lugaw
rice	lugawan
rice	pospas
snack	meryinda
chocolate	sampurado
tabliya	sikwate
cocoa	tabliya
Corvus	uwak
prayer	pangadye
admire	dayeg
pearl	mutya
top	kasing
heart	kasingkasing
damned	giatay
buttonquail	buntog
sole	bugtong
protuberance	bugdo
potbellied	bilbilon
rice	sud-an
tear	luha
hag	bruha
barang	mamamarang
madam	mamasang
cadaver	patay
scythe	garab
very	pwerte
body hair	balhibo
hairy	balhiboon
hairy	balbon
hairy	buhokon
facial	bangas
bearded	bangason
moustachio'd	bungoton
damned	ataya
damned	atala
crumbs	atak-atak
maniac	manyak
maniac	manyakis
friend	amega
homosexual	bayot
rogue	salbahis
impregnate	paangkan
given	angkan
midwife	paanakan
midwife	paanak
footbag	takyan
takyan	takyanon
kick the can	kurikit
red	dunggab
hide and seek	polis dunggab
calamondin	limonsito
earwax	atuli
booger	kugmo
cheilitis	lamlam
stye	binggit
tiki	matag tiki
carbuncle	kabahong
chickenpox	hangga
leper	sanglahon
boogers	kugmohon
rheum	mutaon
common cold	sip-on
sniveler	sip-onon
mudskipper	tambasakan
dunce	bugo
stupid	bugoon
flirtatious	bigaon
nosebleed	sunggo
vagina	tahong
chickenpox	hanggaon
invert	balihon
grate	kagod
sweat	asin-asin
grasshopper	apanapan
sibling	igsoon
black garden ant	sulom
praying mantis	bayingbaying
beetle	bakukang
stinkbug	indayinday
father	tatay
leisurely	inday-inday
gayish	bayoton
butch	lakin-on
lesbianish	tomboyon
poorly	alimuot
wriggler	nguyonguyo
wasp	lampinig
bumblebee	buyog
honeybee	putyokan
caterpillar	til-as
sawdust	ginabas
move	sibog
upper	simod
mouth	tambaloslos
glare	suwaw
toy	luthang
eyelash	pilok
eyebrow	kilay
smegma	tiktik
emaciated	wangkig
pinworm	kigwa
worm	ulod
earthworm	watiwati
pinworms	kigwahon
damp	umog
sharp	hapdos
sickle	sanggot
humanlike	engkanto
casket	lungon
hearse	purlon
well	tabay
well	atabay
excrement	igit
buttocks	lubot
constipation	tubol
armpit	ilok
carol	daygon
tickling	gilok
namesake	sangay
pull	labnot
jump	layat
riddle	tigmo
cockroach	ipos
cowry	sigay
nimbus	dag-om
charcoal	uling
cut	samad
fondle	ugay
truant	bugoy
lump	hubag
tight	huot
snoring	hagok
rotten	bugok
collect	kinhas
shellfish	kinhason
skid	dakin-as
social climber	katkat
ascend	kalatkat
distant	layo
wall	balungbong
conversation	kulukabildo
flashlight	ispat
naughty	sipat
fiber	lanot
Syzygium cumini	lomboy
bald	pahak
seaweed	guso
barges	sabat amen
novena	mananabtan
funeral	lubong
cemetery	menteryo
cemetery	sementeryo
cemetery	sam-ang
grave	lubnganan
mausoleum	musoleyo
flat	sapyot
cripple	kimpang
thrust	kiyod
hunchback	buktot
arm	bukton
buttfuck	lubton
pant	hangak
jerk	hanggaw
deserted	mingaw
yearn	mingawon
homesick	gimingaw
water	agwas
sensual	lawasnon
divine	langitnon
earthly	yutan-on
landed	yutaan
estate	kayutaan
heavens	kalangitan
outer space	kawanangan
expanse	wanang
menfolk	kalalakin-an
womenfolk	kababayin-an
birds	kalanggaman
herd	kahayopan
carry	alsa
instigator	lawgaw
instigative	lawgawa
beat	batil
decline	bahara
clawhand	isprakol
clubhand	singkaw
amputee	pungkol
speechless	naamang
sit	bilangkad
mouthy	babaon
comparative	aslom
mole	awom
power	gahom
powerful	gamhanan
cheater	tikasan
asthma	hubak
talisman	habak
asthmatic	hubakon
motorcycle	motorsiklo
loud	aryat
loud	bigatla
thrifty	tihik
thrifty	madaginoton
bargain	baratilyo
wind	panuhot
ginamos	sinawsinaw
luster	sinaw
economize	daginot
bend over	tuwad
pour out	huwad
spring	tubod
dragonfly	alindanaw
drizzle	alindahaw
drizzle	talisik
drizzle	taligsik
drizzle	talithi
sun shower	uwan init
drizzle	salisi
spray	salibo
motion sickness	gidagat
ocean	lawod
motion sickness	dagaton
fisherman	mananagat
seas	kadagatan
forest	kakahoyan
forest	lasang
forest	kalasangan
timberland	batangan
number	tigulang
mature	guwang
older	maguwang
older	magulang
string beans	batong
Malabar spinach	agbati
Ipomoea aquatica	tangkong
ogress	tirang
ogre	tirong
bamboo	tirongan
roasted	litson
roasted	lechon
spit	inasal
electricity	kuryente
ingredient	sagol
mixed	sinagol
saksak	saksak-sinagol
calabur tree	mansanitas
prostitute	pampam
brothel	pampaman
male	macho dancer
wagon	karomata
heads or tails	hantak
ant	hantik
tick	hagtik
cracking	hagtak
knocking	hagtok
thumping	hagtob
chirping	piyak
chirping	iyak
chirping	yapyap
banging	tingkagol
kerosene	tingkarol
bite	pinaakan
bonfire	daob
fumigate	paasohan
fool around	pangabit
philandering	pagpangabit
extended	babalu
horselike	kabayoon
chin	suwangon
chin	suwang
extended	yakmo
axe	wasay
bruxism	kagot
wamble	barag
Amazon	amasona
large	baganining
ghost	kalag
haunted	gikalag
All Souls’ Day	kalagkalag
roasted	san-aw
lazy	kimay
wily	guwatsinanggo
wily	watsinanggo
nose-pick	hingugmo
pacifier	tsupon
Christmas	krismas
mermaid	kataw
wok	kalaha
box	kahon
errand boy	mutsatso
servant	mutsatsa
servant	katabang
uncircumcised	pisot
bearing	bering
dustpan	daspan
dustpan	tungki
calculator	kalkulador
free-range	binuhian
sugar	kalamay
palm	kinugay
crystallize	kugay
surprise	punyeta
pig	baktin
haunted	taw-an
loincloth	bahag
sea cucumber	bahagbahag
millipede	trentren
centipede	uhipan
centipede	alupahan
centipede	bagabaga
centipede	ulahipan
centipede	uluhipan
katydid	amamangloy
katydid	mangliw
scab	kugan
rip	tastas
monster	mangtas
ransack	ransak
ape	aliwas
ruthless	mabangis
ferocious	mapintas
dwarf	unano
rent out	paabang
spiral	ensomada
spiral	ensaymada
splash	pisik
floodwater	tubig baha
muscovado	piaya
widower	biyudo
widow	biyuda
debauchery	higal
friends	kahigalaan
nauseate	bidli
tamarind	sambag
Citrus maxima	buongon
Pithecellobium dulce	kamansili
papaya	kapayas
crybaby	kapayason
white popinac	biyatilis
white popinac	ipilipil
breadnut	kamansi
star apple	kaymito
lanzones	buwahan
Philippine	ipil
Impatiens balsamina	kalamantigi
Impatiens balsamina	kamantigi
genus	kalatsutsi
firecracker	pabuto
Cucurbita	kalabasa
Luffa aegyptiaca	sikwa
stuffy	ping-ot
tail	ikog
babayeng	babayeng ikogan
taillike	ikog-ikog
shame	ulaw
shyly	ulaw-ulaw
fragrance	humot
very	humota
very	pinakahumot
hermit crab	umang
peas	gisantes
promiscuous	wangwang
siren	wawaw
mud flat	hunasan
naked	hukas
wash	hugas
expired	hupas
subside	hubas
relieve	huwas
sugar palm	kaong
sugar palm	ibyok
fantail	bangkiyod
jellyfish	bukya
squid	nukos
octopus	kugita
anchovy	bolinaw
intelligent	utok bolinaw
sheep	karnero
lamb	kordero
fellatio	tsupa
coitus	torjak
coitus	jerjer
whale	balyena
dolphin	dolpin
dolphin	lumod
towel	toalya
handshake	lamano
haze	anago
pen shell	talab
go Dutch	KKB
money	bawon
beauty products	kikay
toiletries	kikay kit
village	baylehan
outdoor	diskoral
discotheque	diskohan
chicken	betamax
squat	tungko
squat	pungko
squat	puk-ong
squat	tuk-ong
squat	gak-ang
squat	iskwat
heartwood	bahi
squatter	iskwater
cause	kaspahon
poisonous	makahilo
blinding	makabuta
Oriental darter	kasili
deafening	makabungol
soup	sabaw
cracked	gutang
cracked	gutangon
vulva	bisong
shake out	pagpag
pedicab	trisikad
pedicab	traysikad
motorized	traysikol
coconut	bagol
unhusked	bukong
cranium	bagolbagol
grumble	bagulbol
soak	humol
shorts	purol
pants	karsones
pants	kalsunis
Bermuda shorts	puruntong
sulk	buod
crotch	pundiyo
button	butones
razor blade	gilit
toothpaste	kulgit
refrigerator	ripridyiritor
refrigerator	pridyidir
freezer	prisir
basket	bokag
mechanic	mekaniko
basketball court	basketan
tennis court	tenisan
basketball court	basketbolan
leaflet	udlot
cowlick	alimpulo
leech	alimatok
sausage	soriso
lunch	paniudto
midday	udto
meal	pamahaw
supper	panihapon
drunkard	palahubog
drunkard	palainom
lecherous	palaiyot
meanwhile	mintras
meanwhile	mintras tanto
lend	tigpatanto
lend	tigpautang
loan	pautang
agent nouns	tig-
incomplete	kuwang
foreigner	langyaw
chamomile	mansanilya
cooking oil	mantika
fry	mantikaan
frying	minantikaan
clothesline	hayhayan
fan	paypay
laundry	hinayhay
dirty	bulingon
unwashed	labhanan
wash	labhan
rinse	waswas
washed	linabhan
batlet	palopalo
banana cue	pinaypay
tiny	gagmatoy
piffling	ginagmay
sauté	ginamay
dermatophytosis	bun-i
vegetable	edibol
bran	tahop
boiled	kan-on
food	kan-onon
edible	makaon
food	pagkaon
potable	mainom
beverage	ibnonon
beverage	ilimnon
millet	humay
consume	tagay
surname	Hernando
caress	hapuhap
town	lunsod
story	estorya
idler	estambay
hold	sustener
form	hulma
mold	hulmahan
gunpowder	pulbora
physically	imal
city hall	munisipyo
municipality	munisipalidad
city	dakbayan
capital	puhunan
shop	tindera
shop	tindero
trader	manindahay
trader	mamaligyaay
seller	tigbaligya
caprice	kapritso
slipper	tsinelas
twang	eslang
twang	slangards
throbbing	ngutngot
throbbing	ngulngol
awesome	wayuk
awesome	kuyaw
dread	kuyawan
ejaculate	gulaan
plagiocephaly	pihing
bald	hakpa
handful	hakop
irritating	ngilo
playhouse	balay-balay
mosquito net	moskitero
pillow	unlan
overweight	tambokikoy
back	bukubuko
fat	tambokon
photographer	maniniyot
film	siyot
issue	isyu
crater lake	Danao
hacienda	asyenda
percent	porsento
pillow	tanday
instance	pangala
birthmark	lihi
scratch	kakha
way of life	panimuyo
stick	kuhit
disgusting	luod
sulky	luoran
sulk	pangluod
grossed out	lud-anon
kneel	luhod
make	panguros
MSG	yam-is
clean	mangatuli
delousing	hinguto
grass	kawayan
bamboo	kawayanan
spurt	sirit-sirit
firewood	sugnod
kitchen	halingan
singot	bungag singot
thumb	kumagko
fishing	sapang
marriage	matrimonya
nunlike	madrehon
candidate	madrehonon
nun	mongha
monk	monghe
sniffle	hingos
glutton	hakog
tango	tanggo
protuberance	tunggoy
rattail	tunggoytunggoy
witchlike	balbal
instance	buyboy
amount	datahan
carfare	plete
seethe	surok ang dugo
seethe	surok
cell phone	selpon
neighborhood	kasilinganan
neighboring	silinganang
journalist	tigbalita
drive	drayb
driver	drayber
affluent	adunahan
younger	manghod
youngest	kinamanghoran
eldest	kinamagwangan
eldest	kinamaguwangan
candle	kandila
common	ordinaryo
slap	sagpa
side	pinasagpa
rallyist	raliyesta
hostile	engkwentro
passenger	pasahero
surroundings	palibot
around	libot
transportation	kasakay
ride	sakay
sacayan	sakayan
vehicle	sakyanan
stop	sakayanan
stop	naoganan
come down	naog
uphill	tungason
uphill	sakaon
vampiric	ekek
tag	ungo-ungo
hammer	martilyo
nail	lansang
celery	apyo
reveille	dayana
dawn	awrora
bandurria	bandurya
vehicle	bosina
voter	botante
candlepower	buhiyas
brusque	brusko
delirium	deliryo
decide	desidir
decided	desidido
duchess	dukesa
madam	donya
staircase	eskalira
defense	depensa
fussy	pilian
loud	bilatra
washcloth	labakara
collar	kwelyo
make do	mantinir
massage	masahe
traditional	hilot
buttocks	kibot
buttocks	kigol
sacrum	kugongkugong
serves you right	mirisi
serves you right	mayra
brake	preno
member	estroberi
produce	presko
prestigious	prestihiyoso
first cousin	igtagsa
second cousin	igtagurha
each	tagsa
by	tagurha
tandem	duruha
religious	relihiyoso
malicious	malisyoso
henpecked	manandis
terrace	asotiya
pavement	saydwok
vagabond	bagamundo
immigrant	dumuduong
foreigner	dayo
transient	lumalabay
go by	labay
wander	duong
balcony	balkonahe
boxer	boksidor
boxer	boksiyador
fast	puasa
fasting	pagpuasa
boxer	bakser
boxer	boksingero
fight	sumbagay
punch	sumbag
receiver	nasumbagan
butt	kulata
beaten up	kulatado
attend to	akatar
anchor	angkla
archdiocese	artsidiyosesis
embalm	balsamar
blessed	benditado
consecrated	konsagrado
advantage	bentaha
have	nakabentaha
exploitive	bentahoso
bain-marie	banyomariya
ostrich	abestrus
unkempt	kalkag
defecate	libang
soil oneself	nakalibang
diarrhea	kalibang
gastroenteritis	suka-kalibang
gastroenteritis	gastroenteraytis
boss	harihari
realm	gingharian
queen	rayna
prince	prinsipe
princess	prinsesa
boundary	mohon
odor	angso
rancid	ransiyo
ranch	ranso
ranch	bakahan
loins	pus-on
eat	kinamot
spoiled	pan-os
lie	bakak
lie	butbot
boastful	buriton
false	estorbot
guffaw	bahakhak
blink	kipat
show off	pasikat
boast	hulab
false	palso
bolo	sundang
grater	kudkoran
grate	kudkod
chapel	kapilya
belfry	kampanaryo
tired	kapoy
bothersome	hasol
curtain	kortina
dried	buwad
dried	bulad
dry	uga
almost	uga-uga
variegated	kabang
pumice	lugod
dagger	baraw
philosopher	pilosopo
iring	iring sungkaban
stealing	sungkaban
steal	sungkab
break in	lungkab
cyst	burot
drool	tabisay
afterbirth	inunlan
kapok	duldol
translucent	sihag
success	kalamposan
dirt	dalikdik
accomplish	lampos
solve	sulbad
move	bahis
Piper nigrum	paminta
escabeche	eskabetse
pitcher	pitsel
fry	prito
frying	pinirito
chicken	gisado
sauté	gisal
sautéed	ginisal
bend	bawog
hunched	bako
shake	kurog
dread	kahadlok
fearful	hadlokan
fearful	taslakan
convulse	kirig
have	nangamote
fatherless	nalumos sa sabaw
homosexual	berde og dugo
shame	bagag nawong
mafia	mapya
partisan	mapyador
accusation	pasangil
accusation	akusasyon
accusation	alegasyon
defendant	akusado
plain	yano
involve	lambigit
involvement	kalambigitan
strategy	opensa
scribble	kuriskuris
run around	dagan-dagan
cockscomb	tapay
cockscomb	tapaytapay
bet	kristo
contest	sabong
venue	sabongan
beef	balbakuwa
venue	tigbakayan
prohibited	tigbakay
dispatch	tigbak
moonfish	bilongbilong
eclipse	bakunawa
yard	tugkaran
stand	tugkad
rumor	hungihong
backbite	libak
backbiter	libakera
backbiter	libakero
gossip	tsismis
male	tsismoso
female	tsismosa
game	dampa
game	apirapir
game	pogs
game	bato lata
hopscotch	bikobiko
hopscotch	biksbiks
it	lupa-langit
race	tsinelasay
tag	dakopdakop
nape	tangkugo
police force	kapolisan
prisoner	piniriso
prisoner	priso
cell	prisohan
clinic	tambalanan
healer	tambalan
healer	mananambal
healer	manambalan
medicine	tambal
God forbid	simbako
expression	susmaryosep
except	pwera
except	puyra
chewing louse	bunhok
butterfly	kabakaba
vegetable	utanon
corpse	minatay
fond	hinganta
ika-5	ikalima
placer	ikaduha
vacationer	bakasyonista
furlough	bakasyon
virtue	birtud
dry	ting-init
foment	sulsol
wink	kihat
wink	kidhat
blink	kipat-kipat
underarm	anghit
burning	angtod
burning	antod
tickle	gitik
agua	agwa oksinada
almanac	almanake
high society	alta sosyidad
society	sosyidad
capacity	kapasidad
casserole	kaserola
briefs	brip
suspect	suspetsado
suspect	suspek
suspicious	suspetsoso
coconut	babad
winged	pak-an
applause	pakpak
winglike	pako-pako
otorrhea	buog
suffering	buogon
persevere	porsigir
prophet	propeta
necklace	kuwintas
bracelet	punseras
door	pwerta
rusty	tayaon
cloth	lampin
disposable	dayaper
determined	porsigido
pliers	playis
pliers	alikate
chopping board	tadtaran
chop	tadtad
protagonist	estaring
tumble	tambling
well-dressed	espoting
perform	balitok
perform	baktambling
match	posporo
hit	pawo
enamored	inlab
temporarily	akting
buttstroke	bastrok
hustler	haslir
floor	plorwaks
volleyball	balibol
exam	eksam
examination	eksaminasyon
hope	paglaom
hope	laom
merrymaking	hapihapi
hunting knife	hanting
headband	hidban
injection	indyeksyon
classmate	klasmet
classmate	klasmeyt
ammonia	amonya
scrutineer	watser
toothbrush	tutbras
toothpick	totpik
sidecar	saydkar
side bet	saydbit
tight-fitting	piting
revision	rebisyon
zipper	siper
zip up	paniper
promote	promot
outing	awting
audit	awdit
auditor	awditor
auditorium	awditoryum
big-timer	bigtaymer
bigtime	bigtaym
supervisor	bisor
supervisor	superbisor
dead ball	dedbol
police	detektib
diphtheria	dipterya
impact	impak
interval	interbal
take-home	bringhouse
temp	kaswal
cowboy	kawboy
cataract	katarak
eyeglasses	anteyohos
lovesick	labsik
native	bisdak
hunky dory	payts
avenue	abenyu
jalousie	dyelosi
smuggler	esmagler
score	eskor
step	esteping
gorilla	gorilya
act	dribol
pyjama	padyama
coat of arms	eskudo
diarrhea	purigit
diarrhea	puririt
last	kinalasan
kickback	kikbak
marcottage	markot
technicolor	teknikolor
confection	tsokoleyt
chocolate	tsokolate
thumbtack	tamtaks
instead	imbes
inaugurate	inagurar
cadet	kadete
mangrove	pagatpat
tropical	bakhaw
mangrove	bakhawan
mangrove	pagatpatan
swamp	kanipaan
scabies	kurikong
eternal	kondenar
manicurist	manikurista
manicurist	manikyurista
television	telebisyon
explain	eksplikar
empress	emperatris
hippodrome	hipodromo
bed	katre
plastic	palanggana
paragraph	parapo
paragraph	paragrap
sideburns	patilya
potshot	patotsada
first	permiro
beer	bagaso
desert	disyerto
humanoid	dewende
overtime	obertaym
time	taym
feast	kumbira
invite	kombida
invulnerable	kublan
callus	kubal
callous	kubalan
callous	kubalon
evaporated milk	ebaporada
ram	dumbol
jump ball	dyambol
aspiration	pangindahay
chain	talikala
chain	kadena
environment	kalikopan
fever	kalentura
fever	hilanat
have	hilantan
come down with	kahilantanon
pop in	dalikyat
crayon	krayola
crayon	krayon
overtake	obertik
fake	orig
stick	bunal
wood	puspos
sexual	sekswal
immoral	malaw-ay
under	abaho
under	ilawom
deep	lawom
deep	lalom
deep	laglom
nightmare	urom
pull out	kuot
amount	kantidad
election	piniliay
confiscate	konpiskar
confiscate	kompiskar
roasted	inagos
requirement	rekisito
experience	kasinatian
former	kanhi
plenty	daghan
country	nasod
national	nasodnon
road	karsada
mansion	mansyon
cationic	martayolet
mothball	naptalina
person	trainor
abrasion	pangos
exact	eleksyona
surrender	surender
pubic hair	bulbolon
crush	tusod
eve	bisperas
exact	eksakto
exact	insakto
school	tunghaan
school	eskuylahan
school	eskwelahan
high school	hayskol
university	unibersidad
college	kaleds
go	eskwela
go	eskuyla
appear	tungha
elementary school	elementarya
high school	sekondarya
MSG	bitsin
thin	bihon
cellophane noodle	tanghon
thin	miswa
type	lumpya
flaky	hopya
flaky	hopia
wholesale	pakyaw
whistle	taghoy
darkness	kangitngit
immaculateness	kaputli
whiteness	kaputi
contemporary	kadungan
playmate	kadula
Chinese cabbage	petsay
dish	bam-i
electricity	dagitab
electric	dagitabnon
bonsai	bonsay
feng shui	punsoy
citizen	tagilungsod
townsman	katagilungsod
government	katungdanan
flaky	otap
ring	rosquillos
confection	masareal
crispy	tagaktak
thin	salbaro
dish	budbod
dish	budbod pilit
dish	budbod kabog
regional	budbod muron
dish	budbod balanghoy
cassava	balanghoy
sticky	pilit
semicircle	baobao
type	elorde
layered	caycay
tough	binangkal
rope	pinisi
defeat	kapildihan
victory	kadaogan
endeavor	paningkamot
money	sukli
convenient	hamugaway
spokesperson	tigpamaba
victim	biktima
weapon	hinagiban
sheath	sagiban
sheath	sakob
sheath	sakoban
mugger	tulisan
robber	kawatan
time	higayon
robs	holdaper
burglar	manglungkabay
newspaper	mantalaan
bridge	taytayan
bridge	taytay
bridge	tulay
gangplank	damyo
beam bridge	latayanan
page	panid
cordial	kinasingkasing
day-old	bahal
fermented	bahalina
eggnog	kinutil
preparation	amahong
preparation	ginamos
gigantic	agta
floating	santilmo
comic	kataw-anan
laughter	katawa
giggle	agik-ik
butterflied	pinikas
provincial	probinsyano
burn down	ugdaw
rice paddy	darohan
traffic jam	trapik
traffic	trapiko
congested	trapika
life	kinabuhi
peep	baklad
peeper	mamusohay
straight	pamayotay
pierce	tuslok
press	tuplok
stupid	uplok
malfunction	kagar
activity	aktibidad
pillion	angkas
wheel	ligid
roll around	ligid-ligid
rash	katolkatol
hardship	kalisod
bedfellow	kadulog
soldier	sundalo
book	lukat
blow	huyop
sip	suyop
blow	tayhop
dying	himatyon
embrace	gakos
gouge	lugit
paint	pintal
tempt	tintal
hand net	sibot
cord	higot
enrage	pungot
elude	ikyas
escape	eskapo
kick	patid
beat	patid-patiran
gay	binayot
clean	limpyo
neat-freak	limpyado
lash out	ingkre
cinema	sinehan
death	kamatayon
firewood	binugha
axe	bugha
downstairs	silong
cooked	linuto
barbecue	sinugba
grill	sugba
boiling	linung-ag
cook	lung-ag
deny	himakak
beloved	hinigugma
broken	buak
open	hawanan
clear	hawan
Channa striata	halwan
interrupt	sakgaw
I don't know	ambot
person	puwag lubot
hardheaded	gahig ulo
province	Zambales
beggar	makililimos
deflate	hiyos
evacuate	bakwit
touch	hilabot
meddling	hilabtanon
drop dead	yatap
fly	lupad
fly	lupad-lupad
float	lutaw
float	lutaw-lutaw
fishnet	pukot
dimple	kandiis
aid	tabang
aid	hinabang
helpful	matinabangon
broom	silhig
hard	silhig tukog
soft	silhig lanot
rice	tinughong
regret	mahay
condition	kahimtang
condition	pagkabutang
orderly	himutang
marriage	kaminyoon
married	minyo
married	kasado
affianced	minyoonon
affianced	kaslonon
pretend	kasal-kasal
married couple	kinasal
moth	anunugba
egg	initlogan
common-law	kaipon
join	ipon
bowl	panaksan
saucer	platito
ladle	kutsaron
ladle	luwag
swallow	lamoy
ignorant	igno
come across	kaplag
disturb	tugaw
strong	lig-on
world	kalibotan
cause	hinungdan
clarity	katin-awan
performance	pasundayag
by chance	sulagma
youth	kabatan-onan
mosquito	namok
cicada	gangis
aphid	piyangaw
aphid	tiyangaw
woolly	dugosdugos
spider	tambayawan
powderpost beetle	agay-ay
katydid	mangloy
locust	dulon
bark beetle	bulod
room	lawak
waist	hawak
writer	tigsuwat
letter	suwat
knee pit	lukonlukon
area	dapidapi
paradise	paraiso
heel	tikod
pit of the stomach	kutokuto
force	lugos
successful	malamposon
definition	depinisyon
act	destabilisasyon
give	hatag
complete	kompleto
list	listahan
place	listahanan
submit	sumiter
taclobo	taklobo
candied	bukayo
dry	bukarilyo
snack	pinasugbo
snack	ampaw
biscuit	galyeta
rice cake	puto maya
steamed	puto balanghoy
absolve	abswelto
toasted	biskotso
cake	polboron
ginger	luy-a
long	sili espada
cultivar	kulikot
Capsicum annuum	atsal
radish	labanos
plant	mustasa
leek	sibuyas dahonan
Momordica charantia	paliya
Lagenaria siceraria	bantiyong
Lagenaria siceraria	upo
Lagenaria siceraria	tambaliyong
Job's tears	adlay
bamboo shoot	dabong
carrot	sanahorya
edible	singkamas
radish	rabanos
lemongrass	tangad
lemongrass	tanglad
