father	اب
sign	نشان
slipper	پاپوش
skull	جمجمه
happy	سرخوش
lazy	تنبل
delicate	نازک
moment	لحظه
nappy	پوشک
baby	نی‌نی
Mary	مریم
prophet	نبی
ambassador	سفیر
female circumcision	ختنه زنان
rich	پولدار
weight	وزن
download	دانلود کردن
illness	بیماری
alphabet	الفبا
petal	گلبرگ
spokesperson	سخنگو
last night	دیشب
royal	دربار
inshallah	ان‌شاءالله
руспӣ	روسپی
prostitution	روسپی‌گری
vocabulary	واژگان
glass	لیوان
newborn	نوزاد
crown	تاج
power station	نیروگاه
up	بالا
arrangement	قرار
quick	چابک
contaminate	آلودن
mobile	تلفن همراه
companion	همراه
faggot	کونی
system	سیستم
minaret	مناره
chain	سلسله
mosquito	پشه
akhund	آخوند
monkey	میمون
mammal	پستاندار
lady	بانو
lighter	فندک
ZWNJ	مهبانگ
maybe	شاید
Greenland	گرینلند
album	آلبوم
hatchet	تبر
عَکس	عکس گرفتن
رژیم	رژیم گرفتن
دوش	دوش گرفتن
تصمیم	تصمیم گرفتن
beaten	کوفته
positive	مثبت
Gilaki	گیلکی
peanut	بادام زمینی
thread	رشته
possibility	امکان
user	کاربر
fun	شوخی
register	دفتر
زبان	زبان مادری
danger	خطر
dangerous	خطرناک
Persian cat	گربه ایرانی
end	انجام
sufficient	کافی
dance	رقصیدن
drunkenness	سکر
drunkenness	مستی
return	برگشت
return	برگشتن
executioner	دژخیم
آئین	آئین
weave	بافتن
gouge	جبر
creator	خالق
believer	مؤمن
speech	سخنرانی
thunder	رعد
unmerciful	جبار
despotic	جابر
embryo	جنین
jurist	فقیه
bra	کرست
bra	سوتین
knickers	شورت
smoke	دود
ZWNJ	جمهوری‌خواه
گل	گل سرخ
prayer rug	جانماز
porter	دربان
murder	کشتگی
مارخور	مارخور
servant	بنده
conscience	وجدان
star	نجم
injury	آسیب
clergyman	روحانی
request	درخواست
sign	نشانه
rubbish	خاکروبه
opinion	رأی
lazy	کون‌گشاد
اصلاح	اصلاح‌طلبان
اصول	اصول‌گرایان
اصلاح	اصلاح‌طلب
fundamentalist	اصول‌گرا
foundation	بنیاد
cool	باحال
stiff	سیخ
skill	پیشه
independent	مستقل
amen	آمین
night	شو
profit	سود
certificate	گواهی‌نامه
driver's license	گواهی‌نامه رانندگی
helicopter	بالگرد
helicopter	هلی‌کوپتر
sexual	جنسی
Aaron	هارون
colleague	همکار
دستور	دستور زبان
message	پیغام
New Year	حاجی فیروز
point	نکته
sheep	دنبلان
air-conditioner	کولر
bridegroom	داماد
bean	لوبیا
pine tree	کاج
geometry	هندسه
chandelier	لوستر
fenugreek	شنبلیله
wheat	گندم
knowledge	عرفان
traitorous	بی‌وفا
buy	خریدن
strait	تنگه
testicle	بیضه
ankle	مچ پا
patriot	میهن‌پرست
میهن	میهن‌پرستی
wide	گشاد
escape	فرار
فرار	فرار مغزها
premarital	زنا
search	جستجو
scissors	قیچی
use	استفاده
pull	کشیدن
نفس	نفس کشیدن
سیگار	سیگار کشیدن
sack	کیسه
airbag	کیسه هوا
forecast	پیش‌بینی
interest	بهره
congratulation	تبریک
message	پیام
barren	بیابان
fornicating	زناء
kilometre	کیلومتر
ZWNJ	بین‌المللی
tiredness	خستگی
note	یادداشت
body	بدن
middle	میان
custom	عادت
trick	حیله
naked	پتی
funeral	جنازه
civilisation	تمدن
diarrhoea	اسهال
پس	پس‌فردا
day before yesterday	پریروز
مجازات	مجازات مرگ
committee	کمیته
report	گزارش
kind	مهربان
hookah	قلیان
insurance	بیمه
teacher	آموزگار
suitcase	چمدان
pilot	خلبان
innocent	منزه
peace	صلح
faith	ایمان
competition	مسابقه
elbow	آرنج
kilo	کیلو
chewing gum	آدامس
crescent	هلال
نرم	نرم نرمک
curve	پیچ
پیچ	پیچ‌گوشتی
blood vessel	رگ
careful	مواظب
ivy	پیچک
coloured	رنگین
mascara	ریمل
intention	قصد
censuring	عزر
pussy	قس
whore	قر
Simurgh	سیمرغ
homeland	میهن
little boy	پسرک
world	گیتی
pleasure	لذت
trait	ویژگی
leek	تره‌فرنگی
knight	شهسوار
miracle	معجزه
myth	اسطوره
تبریک	تبریک گفتن
unclean	پلید
comfort	راحت
miser	خسیس
Siamak	سیامک
کشتی	کشتی نوح
colourless	بی‌رنگ
dawn	سپیده
canal	کانال
canal	آب‌راه
barbat	بربط
lute	لوت
set free	آزاد کردن
accept	پذیرفتن
اسلام	اسلام‌گرایان
Islamist	اسلام‌گرا
اسلام	اسلام‌گرایی
feminism	فمینیسم
mayor	شهردار
اعتراض	اعتراض کردن
oppressed	مستضعفان
war veteran	جانبازان
war veteran	جانباز
take place	صورت گرفتن
chick	جوجه
skyscraper	آسمانخراش
chin	چانه
جناب	جناب عالی
athletic	پهلوان
road	جاده
director	مدیر
height	ارتفاع
broad bean	باقلا
narrow	باریک
louse	شپش
rotate	چرخیدن
truthful	راستگو
crowd	جمع
silence	سکوت
institute	بنگاه
jackal	شغال
muscle	ماهیچه
muscle	عضله
river	رودخانه
CD	سی‌دی
majority	اکثریت
pussy	پیشی
supporter	طرفدار
hertz	هرتز
ox	برزگاو
marker	ماژیک
lord	خواجه
freedom of speech	آزادی بیان
beech	آلش
hornbeam	ممرز
song	ترانه
believe	باور کردن
founder	بنیان‌گذار
United Nations	سازمان ملل
curse	نفرین
weapon	اسلحه
year	امسال
Mahmoud	محمود
spring onion	پیازچه
theatre	تئاتر
sick	مریض
gift	هدیه
سقط	سقط جنین
passport	گذرنامه
nonsense	چرت و پرت
fine	جریمه
sucking	مک
Bosnia	بوسنی
استفاده	استفاده کردن
bowl	کاسه
yes	آری
ancient	باستانی
wage	مزد
secret	راز
dream	رویا
insomnia	بی‌خوابی
ZWNJ	گل‌فروش
flower shop	گل‌فروشی
هفت	هفت‌سین
samanu	سمنو
ceasefire	آتش‌بس
بی	بی‌بی‌سی
صلیب	صلیب سرخ
cross	صلیب
army	ارتش
Gaza	غزه
Palestinian Territories	سرزمین‌های فلسطینی
strong	نیرومند
bloody	خونین
rocket	راکت
east	شرق
racism	نژادپرستی
racist	نژادپرست
answer	پاسخ
historian	تاریخدان
Holocaust	هولوکاست
anti-Semitism	یهودستیزی
racial	نژادی
podcast	پادکست
fencing	شمشیربازی
World Cup	جام جهانی
destiny	سرنوشت
take pleasure	لذت بردن
insolence	اهانت
alif	الف
kamancheh	کمانچه
page	صفحه
صفحه	صفحه‌کلید
dictation	دیکته
tap	شیر آب
beggar	گدا
crystal	بلور
wood	چوب
contemporary	معاصر
fear	بیم
sunrise	طلوع
expert	کارشناس
шуро	شورا
security	امنیت
acme	اوج
pupil	شاگرد
belief	باور
sorrow	اندوه
box	صندوق
cashier	صندوقدار
fireworks	آتش‌بازی
ice skating	پاتیناژ
شورا	شورای امنیت
grenade	نارنجک
Seville orange	نارنج
belt	کمربند
Zionism	صهیونیسم
ҷамоат	جماعت
pearl	مروارید
little girl	دخترک
bookshop	کتاب‌فروشی
small	صندوقچه
tool	آلت
fortress	قلعه
Hegira	هجرت
ruined	خراب
whistle	سوت
Quran	قاری
остар	آستر
former	اولی
pictographic	عکسی
иззат	عزت
gate	قاپو
hall	سرای
wounded	خسته
Ehsan	احسان
creation	ایجاد
transformation	تبدیل
instruction	تعلیم
zeal	غیرت
greed	حرص
fortuneteller	کاهن
hammer	چکش
hostility	خصومت
hostile	خصمانه
truthful	صادق
Slav	اسلاو
happy	سعید
lesson	عبرت
luminous	نورانی
violet	بنفشه
eternal	جاودان
rival	حریف
bringing	آور
honest	امین
homosexuality	هم‌جنس‌گرایی
heterosexuality	دگرجنس‌گرایی
bucket	دول
place	محل
victory	فتح
port	بندری
index	نمایه
سامانه	سامانه خورشیدی
ғазол	غزال
threat	تهدید
area	مساحت
fat	چربی
heartbroken	المزده
crime	گنه
trembling	لرزان
dawn	پگاه
flame	شعله
pimple	دلم
for the sake of	بخاطر
preacher	خاطب
threshold	آستانه
microwave oven	تندپز
invitation	دعوت
individual	فرد
curious	کنجکاو
spirit	فروهر
governor	والی
preserved	قرمه
erasing	عفو
nape	سیلی
ceiling	سقف
surface	سطح
yearling	جدر
pharaoh	فرعون
garbage	آشغال
splendor	جلوه
Assyria	آشور
affliction	بلا
transport	حمل
boll	وش
Krishna	کرشن
marble	مرمر
good news	مژده
calendar	تقویم
decade	دهه
phrase	عبارت
fox	روباه
vector	بردار
derivative	مشتق
integral	انتگرال
limit	حد
tap	ضرب
division	تقسیم
scalar product	ضرب داخلی
power	توان
scalar product	ضرب اسکالر
for	درباره
laugh	خندیدن
grass	سبزه
root	ریشه
forest	بیشه
universe	کائنات
some	بعضی
snapping	بشکن
snapping	بشگن
annoyance	اذیت
God	ماشاءالله
rope	ارغمچین
river	نهر
salty	نمکین
sand	ریگ
sandy	ریگستان
palm	مخ
ready	آماده
frog	غوک
clay	رس
evil	شر
friendliness	رفق
assembling	تجمع
even	حتی
abjad	ابجد
news	اخبار
politeness	ادب
permission	اذن
soil	ارض
red	احمر
storm	بوراب
roof	بام
pray	دعا کردن
friendly	دوستانه
pigeon	کفتر
wencher	دخترباز
melody	نغمه
there is	هست
stop	ایست
safety	ایمنی
geology	ژئولوژی
geophysics	ژئوفیزیک
trip	مسافرت
geopolitics	ژئوپلیتیک
condition	وضع
recommendation	سفارش
manner	نهج
cut	قطع
criticism	انتقاد
brightness	فروغ
society	اجتماع
union	وصل
infant	طفل
rook	زاغ
cook	سر اشپز
martin	چلچله
pole	خاده
rotten	ازخ
circle	چپر
runner	چاپار
opium	افیون
carpenter	درگر
tribute	باژ
revenue	باژبان
revenue	باژدار
Pleiades	ثریا
plain	دشت
food	زیجک
scrambled egg	خاگینه
know	شناختن
exaltation	افراشتگی
omnipotence	پروردگار
vital	جانه
pun	جناس
eternal	جاود
course	روانی
ladder	زینه
mulct	دیت
chin	زنخ
magazine	مجله
preface	مقدمه
break	کوفتن
nuptials	سور
reed	نای
Ararat	آرارات
worthy	سزیدن
adorn	پیراستن
sight	تماشا
damage	زیان
under	تحت
lose	باختن
forge	کوره
Caucasus	قفقاز
investigation	تحقیق
inquiry	پژوهش
knowledge	معرفت
farrier	نعلبند
افق	افق رویداد
event	رویداد
learning	تعلم
result	نتیجه
formal language	زبان صوری
pronoun	ضمیر
floor	طبقه
as usual	طبق معمول
عدد	عدد صحیح
digit	رقم
denominator	مخرج
bedsheet	چادر شب
poverty	فقر
perineal	عجانی
قابل	قابل تردید
escape velocity	سرعت گری
coffeehouse	قهوه‌خانه
teahouse	چایخانه
blessed	همایون
difference	تفاوت
bullet	گلوله
سیاه‌چاله	سیاه‌چاله فضایی
visa	روادید
crab	خرچنگ
دستگیر	دستگیر کردن
zebra	گورخر
گرایش	گرایش جنسی
inclination	گرایش
تمایل	تمایل جنسی
inclination	تمایل
cultivated	آبادان
virility	رجولیت
chalk	کرس
sheriff	کلانتر
ignorant	بی‌خبر
maternal	مادری
napkin	پیش‌انداز
cry	غو
concert	کنسرت
swamp	باطلاق
bubble	بل
information	اطلاعات
quick-witted	زبل
dispersion	تفرق
difference	تفاضل
grief	سوگ
shoulder	کتف
mutual understanding	تفاهم
ejaculation	انزال
cement	آخیز
انزال	انزال کردن
fill up	انباشتن
rotate	گشتن
millstone	آس
rotate	گردیدن
count	شمردن
rot	گندیدن
throw	انداختن
end	انجامیدن
cost	ارزیدن
kindle	افروختن
exercise	ورزیدن
فارسی	فارسی دری
restriction	قید
elementary	مقدماتی
nimble	جلد
sick	بیمار
noise	غوغا
lazy	لس
coquettish	لوند
unripe	غوره
پوهنتون	پوهنتون
blade	تیغ
soliton	سولیتون
literature	ادبیات
beloved	دلچسپ
Sanskrit	سانسکریت
pride	غرور
tray	سینی
smell	بوی
kettle	کتل
data	داده‌ها
Devanagari	دوناگری
database	پایگاه داده‌ها
data management	مدیریت داده‌ها
computational linguistics	زبان‌شناسی محاسباتی
information science	اطلاع‌رسانی
yeast	مخمر
earthquake	زمین‌لرزه
seismology	زلزله‌شناسی
tsunami	سونامی
object	شیء
object	مفعول
شکست	شکست دادن
aftershock	پس‌لرزه
bay	خلیج
jujube	سنجد
command	دستور
connection	اتصال
Austria	نمسا
earring	منگوش
anus	مقعد
cover	پوشش
corner	گوشه
God	خدای
هیچ	هیچ‌وقت
sheet	ورقه
rod	قضیب
borax	بوره
cotton	پنبه
speaking	منطق
Russian	روس
passive	مجهول
active	معلوم
علم	علم منطق
راست	راست کردن
astronomy	نجوم
example	نمونه
hydrology	هیدرولوژی
جمهوری	جمهوری عربی مصر
cloud	ابرک
collar	جیب
fold	گمارا
people	قوم
time	زمان
kettle	خاژغان
pass	گذشتن
humanism	اومانیسم
marine biology	بیولوژی دریا
mace	گرز
rope	تیلا
hill	تل
enough	بس
steam	وشم
tailor	درزی
mathematics	ریاضیات
lunch	چاش
breakfast	چاشت
Eden	عدن
brass	پرنگ
kind	سان
fever	تب
heat	تفت
interpreter	تیلماچی
hunt	شکار
troll	ترول
hell	دوزخ
تجدید	تجدید نظر کردن
watermelon	تربز
edit	ویرایش
age	زمانه
top	چکاد
eagle	شهباز
stand	برخاستن
hatred	کین
hatred	کینه
order	سفارش دادن
agitate	آشفتن
value	ارزش
complicity	همدستی در جرم
collaboration	همدستی
abet	همدستی کردن
son	پور
strain	تنجیدن
old woman	پاراو
nightingale	هزاردستان
space	فضا
ox	گوازه
ox	گاوزنه
heaven	گرزمان
acid	دژند
hot	دژن
sad	دژم
bed	یاتاق
traitor	خائن
scribe	دبیر
beardless	ریدک
east	خاور
face	پیکر
boundary	سامان
Wikimedia	ویکی‌مدیا
filled	انبارده
fill	انباردن
attack	تک
attack	تکیدن
handle	دسته
assistant	دستیار
sampling	چاشنی
nurse	دایه
jewel	جوهر
nightly	شبی
beet	پازو
leech	زالو
policeman	پاسبان
city	شارستان
judge	داور
county	شهرستان
leech	زروک
saguaro	ساگوارو
description	توصیف
time	هنگام
for	بری
tarantula	رتیل
leaf	ورق
Maghreb	مغرب
gate	درب
glass	آبگینه
computation	محاسبه
sow	کاشتن
Merv	مرو
Mohsen	محسن
they	آنان
ashamed	شرمنده
necessarily	باید
first	نخست
pomposity	دنیدن
extraordinary	فوق‌العاده
motion	حرکت
standard	درفش
qualified	قابل
boat	ناو
cell	یاخته
speaker	گوینده
compound	آمیخته
clinic	درمانگاه
gain	ورز
autumn	خزان
myriad	بیور
rain	بارش
return	بازگشت
image	تصویر
height	قد
pick up	برداشتن
front	پیش
تمیز	تمیز کردن
necessary	بایستن
cut	بریدن
acceptance	قبول
۱	هفده
طلب	طلب کردن
foreign	بیگانه
that	آنچه
absent	غایب
steal	دزدیدن
five hundred	پانصد
way	هنجار
astronomical	نجومی
domed	گنبد
دس	دس خوش
خیلی	خیلی مخلصیم
kantar	قنطار
entry	سرسرا
difficult	صعب
circle	دایره
calculator	ماشین حساب
information theory	نظریه اطلاعات
nature	طبیعت
such as	چنین
patience	شکیبائی
number	عدد
where	کجا
rest	استراحت
then	پس
able	توانستن
for	برای
rear	دنبال
front	جلو
hard-working	پرکار
intelligent	باهوش
old	قدیمی
willow	بید
snout	پوزه
geodesy	ژئودزی
serious	جدی
concept	مفهوم
نگاه	نگاه کردن
collection	مجموعه
maize	بلال
empty	تهی
copy	رونوشت
pyjamas	پیژامه
equation	معادله
whelp	توله
foal	توله‌خر
transitive verb	فعل متعدی
ladder	نردبان
pregnant	باردار
thirtieth	سیم
action	ژیرش
no	نه خیر
be able	تونستن
be able to	تونسن
know	دونسن
know	دونستن
bring	اوردن
sit down	نشستن
more	بیشتر
root	سرچشمه
champion	قهرمان
fill	آکندن
maternal uncle	خالو
Icelandic	ایسلندی
open	گشودن
gather	چیدن
sentence	جمله
اصفهان	اصفهان
father-in-law	پدرزن
father-in-law	پدرشوهر
cousin	پسرخاله
cousin	پسردائی
cousin	پسرعمو
cousin	پسرعمه
maternal uncle	دایی
cousin	دخترخاله
cousin	دختردائی
cousin	دخترعمو
cousin	دخترعمه
مادر	مادرزن
مادر	مادرشوهر
stepfather	ناپدری
stepmother	نامادری
let	گذاشتن
breathing	تنفس
galoshe	گالش
beginner	مبتدی
beginner	تازه‌کار
dough	خمیر
speak	دراییدن
reap	درودن
musketeer	برق انداز
look	نگریستن
Soviet	شوروی
guesthouse	سپنج
گام	گام زدن
Avesta	نسک
drink	آشامیدن
article	مقاله
lampshade	آباژور
wisdom	دانایی
necessity	حاجت
divan	دیوان
commerce	تجارت
broth	خوردی
food	خوراک
wedding	عروسی
call	ندا
پوست	پوست ختنه‌گاه
glans penis	ختنه‌گاه
mother	والده
partner	شریک
grin	پوزخند
moat	خندق
monk	راهب
victory	ظفر
useful	سودمند
useful	مفید
solar	خورشیدی
باد	باد خورشیدی
باد	باد ستاره‌ای
stellar	ستاره‌ای
potato	کچالو
clarity	وضوح
فیلتر	فیلترشکن
coyote	کایوت
coyote	کایوتی
laughing	خنده
ambulance	آمبولانس
madness	جنون
dirty	کثیف
eclipse	گرفت
meeting	انجمن
open	وا
Ahmadinejad	احمدی‌نژاد
annoy	آزردن
asexuality	بی‌جنس‌گرایی
bisexuality	دوجنس‌گرایی
bride	عروس
preposition	حرف اضافه
hang	آویختن
blow	وزیدن
hide	نهفتن
caress	نواختن
flee	گریختن
melt	گداختن
explain	فهماندن
explain	فهموندن
deceive	فریفتن
take	ستدن
dry	خشکاندن
dry	خشکوندن
chew	جویدن
آشنا	آشنا شدن
آغاز	آغاز کردن
کوچک	کوچک شدن
یاد	یاد رفتن
توضیح	توضیح دادن
alternative	شق
erection	نعوظ
depth	ژرفی
واحد	واحد نجومی
scattered	پریشان
website	وبگاه
disheveled	ژولیدن
راست	راست گفتن
شکایت	شکایت کردن
شناسایی	شناسایی کردن
strong	ستنبه
fermion	فرمیون
kilogram	کیلوگرم
gluon	گلئون
کوارک	کوارک سر
کوارک	کوارک ته
کوارک	کوارک مفتون
کوارک	کوارک شگفت
کوارک	کوارک پایین
کوارک	کوارک بالا
feasible	شدنی
بلد	بلد بودن
کوارک‌ها	کوارک‌های سر
کوارک‌ها	کوارک‌های بالا
کوارک‌ها	کوارک‌های پایین
کوارک‌ها	کوارک‌های شگفت
کوارک‌ها	کوارک‌های مفتون
کوارک‌ها	کوارک‌های ته
nudity	برهنگی
به	به خاطر سپردن
به	به فراموشی سپردن
دروغ	دروغ بافتن
گزاف	گزاف گفتن
extravagant	گزاف
حشری	حشری شدن
مجازات	مجازات کردن
مداخله	مداخله کردن
таҷруба	تجربه
beloved	دلچسب
قوس	قوس و قزح
call to prayer	اذان
evident	پیدا
spectrum	طیف
disc	دیسک
flood	سیل
مرغ	مرغ مگس‌خوار
hamburger	همبرگر
cheeseburger	چیزبرگر
raspberry	تمشک
احتیاج	احتیاج داشتن
American	آمریکایی
Indian	هندی
Tajik	تاجیکی
reminiscence	خاطره
pornography	پورنوگرافی
health	بهبود
Nastaliq	نستعلیق
sinful	فاسق
amenable	ترخان
verb	کارواژه
sheath	نیام
I need a doctor	دکتر می‌خواهم
I'm blind	کورم
I'm blind	کور هستم
I'm a Muslim	مسلمانم
I'm a Muslim	مسلمان هستم
I'm a Christian	مسیحی هستم
George	جورج
sparrow	ترغای
baker	چرکچی
brave	یرکلی
iron	تمر
mountain	تاغ
crier	جارچی
barley	آرپا
back	ارخا
apricot	اروق
hat	برک
I'm gay	گی هستم
injustice	بیدادی
mix	آمیختن
seat	نشیمن
hall	سالن
living room	پذیرائی
mobile	موبایل
spiritual	روحی
dismiss	هلیدن
psychology	روان‌شناسی
banquet	بزم
cherry	بالو
lot	بخش
فارسی	فارسی بلد نیستم
hunter	صیاد
expert	خبره
computer science	انفورماتیک
virtual	مجازی
good luck	موفق باشی
good luck	موفق باشید
سلام	سلام علیکم
trick	کلک
dragonfly	سنجاقک
difference	فرق
before	ق.ظ
after	ب.ظ
handwriting	دستخط
zipper	زیپ
آئین	آیین
فارسی	فارسی‌زبان
silent	ساکت
barber shop	سلمانی
elegant	لطیف
religious	مذهبی
obvious	مشخص
southern	جنوبی
west	غرب
western	غربی
northern	شمالی
NASA	ناسا
normal	نرمال
addicted	معتاد
heroin	هروئین
جناب	جناب آقای
سرکار	سرکار خانم
Excellency	جناب
flat	صاف
Tehrani	تهرانی
motherly	مادرانه
manly	مردانه
fatherly	پدرانه
boy	پسرانه
hanging	آویزان
Mirza	میرزا
now	نون
noise	غلغله
booty	یغما
perplexed	حیران
laughing	خندان
complaining	نالان
coagulate	ماسیدن
embargo	تحریم
اسم	اسم شما چیست
آب	آب حیات
-ist	پرست
food	خوال
proper noun	اسم خاص
عید	عید مبارک
including	شامل
bottle	کوزه
store	کربه
ornithology	پرنده‌شناسی
syndrome	سندرم
Canadian	کانادایی
Cyprus	قبرس
Aegean Sea	دریای اژه
cud	نشخوار
I have a cold	سرما خوردم
north	آپا
Basque	باسکی
hearing aid	سمعک
polyandry	چندشوهری
caesium	سزیم
schizophrenia	روان‌گسیختگی
schizophrenia	اسکیزوفرنی
schizophrenia	شیزوفرنی
Armageddon	آرماگدون
also	نیز
also	همچنین
Armin	آرمین
tattoo	خال‌کوبی
salad	سالاد
length	درازا
war	وغا
on purpose	دانسته
American Samoa	ساموآی آمریکا
on purpose	از قصد
Google	گوگل
Ahura Mazda	اهورامزدا
Hagia Sophia	ایاصوفیه
actinium	اکتینیم
hydrogen	هیدروژن
helium	هلیم
sound	آوا
lithium	لیتیم
gravitation	گرانش
ew	ایش
heifer	پرو
quantum	کوانتم
desert	صحرا
biochemistry	زیست‌شیمی
Darfur	دارفور
Sudan	سودان
Kashmir	کشمیر
شاخ	شاخ آفریقا
ninja	نینجا
endogamy	درون‌همسری
exogamy	برون‌همسری
atheism	بی‌خدایی
maidservant	دده
treasury	خزینه
side	ضلع
window	کلکین
if	ار
life	زندگانی
speech	سخن
speech	گفتار
detail	جزئیات
conjunction	حرف ربط
entourage	دوستان
end	خاتمه
final	نهایی
immigration	مهاجرت
final	فینال
final	نهائی
literary criticism	نقد ادبی
go	شاویدن
fast	سریع
earthquake engineering	مهندسی زلزله
excrement	ککه
character	منش
character	سیرت
formal	صوری
Kamasutra	کاما سوترا
Taj Mahal	تاج‌محل
Myanmar	میانمار
Bashkir	باشقیری
درس	درس خواندن
operation	عملیات
Sinbad	سندباد
point	نقطه
Mazandarani	مازندرانی
Mazandaran	مازندران
random	شانسی
neurotransmitter	انتقال‌دهنده عصبی
conservation law	قانون بقاء
example	مثال
law of conservation of energy	قانون بقاء انرژی
entropy	آنتروپی
gravitation	جاذبه
positron	پوزیترون
king	پادشاه
Aryan	آریایی
where do you live	کجا زندگی می‌کنید
I love you	عاشقتم
I love you	دوستت دارم
I'm not religious	مذهبی نیستم
religion	کیش
speech	کلام
invention	اختراع
just	عادل
just	دادگر
qasida	قصیده
trial	محاکمه
pump	پمپ
elastic	الاستیک
elastic	ارتجاعی
approximately	تقریباً
absolute	مطلق
matrimony	زوجیت
اطاعت	اطاعت کردن
Zeeshan	زشان
نامه	نامه دبیریه
هام	هام دبیریه
photocopy	فوتوکپی
ink	مرکب
plaque	پلاک
Persian	ادبیات فارسی
saliva	بزاق
Korean Peninsula	شبه‌جزیره کره
plastic	پلاستیک
подишоҳӣ	پادشاهی
Renaissance	رنسانس
classical	کلاسیک
hidden	نهان
tension	تنش
rating	درجه‌بندی
tag	برچسب
classification	رده‌بندی
grimace	شکلک
elitism	نخبه‌گرایی
elitist	نخبه‌گرا
fiber	فیبر
hydraulics	هیدرولیک
English literature	ادبیات انگلیسی
loader	لودر
grader	گریدر
literary	اصطلاح ادبی
Philippines	فیلیپین
unpleasant	ناخوشایند
topology	توپولوژی
infiltration	نفوذ
translation	برگردان
hunter	شکارچی
discharge	دبی
caravanserai	کاروانسرای
caravanserai	کاروان‌سرا
patient	مریضی
brave	شجاع
clever	زرنگ
intercourse	آمیزش
آمیزش	آمیزش جنسی
agreeable	موافق
anal	مقعدی
آمیزش جنسی	آمیزش جنسی دهانی
oral	دهانی
آمیزش جنسی	آمیزش جنسی گروهی
آمیزش جنسی	آمیزش جنسی مقعدی
masturbation	خودارضایی
coitus	جماع
virginity	باکرگی
virginity	بکارت
خواهش	خواهش می‌کنم
sad	دلگیر
sadness	دلگیری
observation	مشاهده
cost	هزینه
governor-general	استاندار
native	بومی
narghile	نارگیله
musical instrument	ساز
guitarist	گیتاریست
akhirah	آخرت
lost	مفقود
مفقود	مفقود کردن
simplicity	سادگی
continuous	استمراری
stay	موندن
traditional	نقلی
old	پیشین
incomplete	ناقص
provoke	انگیختن
rest	آسودن
آواز	آواز خواندن
nudist	برهنه‌گرا
nudism	برهنه‌گرایی
manliness	مردانگی
cannibalism	همنوع‌خواری
thinker	متفکر
Waziristan	وزیرستان
frighten	ترساندن
boil	جوشاندن
boil	جوشوندن
stick	چسبوندن
stick	چسباندن
stick	چسبیدن
come	اومدن
burst	ترکیدن
rise	خاستن
innovation	نوآوری
pre-ejaculate	مذی
feed	خوراندن
feed	خوروندن
I want to know	می‌خوام بدونم
حس	حس کردن
emotion	هیجان
real	معتبر
Arsham	آرشام
masculinity	نری
استمنا	استمنا کردن
musician	نوازنده
گرایش‌ها	گرایش‌های جنسی
heterosexual	دگرجنس‌گرا
bisexual	دوجنس‌گرا
انرژی	انرژی تاریک
unencumbered	فارغ
Cannabis	شاه‌دانه
spill	ریزاندن
زیر	زیر بغل
bat	خفاش
night blind	شب‌کور
buffalo	گاومیش
road	سرک
I don't know	نمی‌دونم
I don't know	نمی‌دانم
proof	اثبات
cough	سرفه
cough	سرفیدن
sneeze	عطسه
عطسه	عطسه کردن
جنگ‌ها	جنگ‌های سرد
breathe	بردمیدن
sift	بیختن
warrior	جنگجو
وا	وا کردن
liar	دروغگو
Buddhism	بودیسم
Buddhist	بودیست
wrestler	کشتی‌گیر
pervasive	فراگیر
somoni	سامانی
belief	اعتقاد
do you believe in God	به خدا اعتقاد دارید
do you believe in God	به خدا اعتقاد داری
moist	مرطوب
مرطوب	مرطوب کردن
chair	چوکی
Kabuli	کابلی
wise	فرزانه
fuck	فاک
nocturnal	شبانه
width	گشادی
خوش	خوش آمدن
Petrosyan	پتروسیان
Robert	روبرت
Richard	ریچارد
Thomas	توماس
Benjamin	بنجامین
Rachel	ریچل
Joseph	جوزف
Arthur	آرتور
Angela	آنجلا
Angela	آنگلا
Ricardo	ریکاردو
pit	چاله
spatial	فضایی
سیاه	سیاه‌چاله
سیاه‌چاله‌ها	سیاه‌چاله‌های فضایی
سیاه‌چاله‌ها	سیاه‌چاله‌ها
spacetime	فضازمان
old man	پیرمرد
пирзан	پیرزن
diurnal	روزانه
astronomy	ستاره‌شناسی
caracal	سیاه‌گوش
felid	گربه‌سان
zone	منطقه
instinct	غریزه
existential	وجودی
exist	وجود داشتن
به	به وجود آمدن
به	به وجود آوردن
به	به وجود اومدن
پا	پا به عرصه وجود گذاشتن
source	منبع
butter	مسکه
lust	شهوت
addiction	اعتیاد
disagreement	مخالفت
opponent	مخالف
sensuality	شهوانی
rosegarden	گلزار
generosity	مروت
eloquent	فصیح
guiltless	بی‌تقصیر
neutrality	بی‌طرفی
disloyalty	بی‌وفایی
fearless	بی‌باک
violent	شدید
buttocks	سرین
سورخ	سوراخ کون
crime	جنایت
reward	مکافات
سه	سه کاف
عاشق	عاشق بودن
theory	نظریه
نهنگ	نهنگ عنبر
نهنگ	نهنگ آبی
bottlenose dolphin	دلفین پوزه‌بطری
magpie	زاغی
confession	اعتراف
خورشید	خورشید کاذب
evasive	گریزان
femininity	زنانگی
bigness	بزرگی
combativeness	جنگجویی
jaguar	جگوار
خرس	خرس خاکستری
خرس	خرس قطبی
polar	قطبی
خرس	خرس پاندا
خرس	خرس قهوه‌ای
خرس	خرس سیاه
خرس سیاه	خرس سیاه آمریکایی
خرس سیاه	خرس سیاه آسیایی
خرس	خرس عینکی
