August	august
compensate	hüvitama
compensation	hüvitus
yell	hüüdma
exclamation mark	hüüumärk
shout	hüüd
interjection	hüüdsõna
beanstalk	oavars
observatory	observatoorium
eau de Cologne	odekolonn
harmless	ohutu
temple	oim
unconscious	oimetu
vomit	oksendama
suppose	oletama
olive	oliiv
olive tree	oliivipuu
olive oil	oliiviõli
oil	õli
funny	naljakas
substance	ollus
squirrel	orav
omelette	omlett
organization	organisatsioon
slavery	orjus
slave	orjaturg
market place	turg
oval	ovaal
oval	ovaalne
search	otsima
arrive	saabuma
sexy	seksikas
onion	sibul
smother	summutama
death	surm
drive	sõitma
heart	süda
heart attack	südameatakk
heart-shaped	südamekujuline
bosom friend	südamesõber
myocardial infarction	südameinfarkt
give birth	sünnitama
look	vaade
raspberry	vaarikas
raspberry	vaarikamahl
raspberry	vaarikamoos
raspberry	vaarikapõõsas
bush	põõsas
sex	seksuaalpartner
stand	seisma
explain	seletama
clear	selge
explain	selgitama
explanation	selgitus
onion	sibulakoor
anyway	siiski
silk	siid
silkworm	siidiuss
onion dome	sibulakuppel
arc	kaar
caries	kaaries
cabriolet	kaarik
arched	kaarjas
rutabaga	kaalikas
with	kaasa
eight hundred	kaheksasada
eight thousand	kaheksa tuhat
dowry	kaasavara
two thousand	kaks tuhat
two hundred	kakssada
struggle	kaklus
corporal	kapral
captain	kapten
watering can	kastekann
bent grass	kastehein
castanet	kastanjett
use	kasutama
user	kasutaja
greenhouse	kasvuhoone
growth	kasv
grow	kasvama
faraway	kauge
distance	kaugus
pod	kaun
treacherous	kaval
someone	keegi
toilet	kemmerg
who	kes
June	kesakuu
middle	keskmine
fasten	kinnitama
cluster	kobar
bourgeoisie	kodanlus
burgher	kodanlane
bourgeois	kodanlik
citizen	kodanik
clack	kobisema
clatter	kobistama
brothel	lõbumaja
simple	lihtne
guinea pig	merisiga
amen	aamen
where	kust
land	õueaiamaa
seed	seeme
crap	pask
Miriam	Mirjam
announcement	kuulutus
Isaac	Iisak
perineum	lahkliha
childbirth	sünnitus
frog	konn
flower	lill
Tasmania	Tasmaania
border	piir
age limit	vanusepiir
foam	vaht
toenail	varbaküüs
currency	valuuta
spirit	vaim
curvaceous	kurvikas
skull	pealuu
field	põld
red fox	rebane
eat	sööma
river	jõgi
interpreter	tõlk
Raymond	Raimo
Aurelia	Auli
Ilmar	Ilmo
walk	kõndima
Tibet	Tiibet
why	miks
very	väga
hope	lootma
moor	raba
robin	punarind
beaver	kobras
newspaper	ajaleht
widow	lesk
section	esi
fugue	fuuga
parrot	papagoi
shed	sara
cross	rist
tomato	tomat
keel	leedu keel
Father Christmas	Jõuluvana
hurricane	orkaan
meter	meeter
pasture	koppel
Jonathan	Joonatan
style	laad
head cheese	sült
male	veis
garnet	granaat
divan	diivan
profound	sisukas
narrow	kitsas
sura	suura
harp	harf
pink	roosa
cheese	juust
singular	ainsus
bug	bugi
cleaver	lihakirves
strawberry	maasikas
Baltic Sea	Balti meri
Gulf of Riga	Liivi laht
Gulf of Riga	Riia laht
rain	vihm
scythe	vikat
long	kaua
yolk	rebu
comparative	-m
Eden	Eeden
execute	hukkama
fish	kalastama
kill	tapma
strait	väin
bite	purema
Joshua	Joosua
lion	lõvi
see	nägema
do	tegema
galaxy	galaktika
Mary Magdalene	Maarja Magdaleena
must	must auk
celestial object	taevakeha
bolide	boliid
Solar System	Päikesesüsteem
Sun	Päike
sunspot	päikeseplekk
fixed star	kinnistäht
neutron star	neutrontäht
supergiant	ülihiid
valge	valge kääbus
supernova	supernoova
nutation	nutatsioon
precession	pretsessioon
astronoomiline	astronoomiline ühik
light year	valgusaasta
zenith	seniit
tropic	pöörijoon
polar circle	polaarjoon
twist	kääne
solar wind	päikesetuul
telescope	teleskoop
terminator	terminaator
cosmology	kosmoloogia
astronomy	astronoomia
orbit	orbiit
right ascension	otsetõus
parallax	parallaks
escape velocity	paokiirus
day	ööpäev
amoeba	amööb
subspecies	alamliik
phylum	hõimkond
atom	aatom
anatomy	anatoomia
medicine	meditsiin
biochemistry	biokeemia
evolution	evolutsioon
genetics	geneetika
histology	histoloogia
doctor	tohter
literature	kirjandus
culture	kultuur
tradition	traditsioon
moral	moraal
India	India ookean
Jäämeri	Lõuna-Jäämeri
Jäämeri	Põhja-Jäämeri
ookean	Vaikne ookean
shore	kallas
Titus	Tiitus
scorpion	skorpion
chaos	kaos
fathom	süld
centromere	tsentromeer
water rail	ruik
Moses	Mooses
rod	varras
diesel	diisel
goodbye	head aega
goodbye	nägemist
servant	sulane
stork	toonekurg
architect	arhitekt
genre	žanr
tare	taara
Reuben	Ruuben
linguistics	keeleteadus
wart	soolatüügas
how are you	kuidas läheb
fucker	nussija
cool	vilu
important	tähtis
die	täring
piece	tükk
Turkish	türgi
turquoise	türkiis
daughter	tütar
badger	mäger
game	mäng
mare	mära
poisonous	mürgine
wall	müür
neighbour	naaber
European mink	naarits
orchestra	orkester
common clothes moth	riidekoi
stapes	jalus
function	funktsioon
physical	füüsiline
physics	füüsika
physicist	füüsik
drink	jooma
drink	jook
wet	niisutama
poetry	luule
trophy	trofee
hip	puus
although	kuid
Adah	Aada
cherry	kirss
goiter	struuma
ceramist	keraamik
journalist	ajakirjanik
Elisabeth	Liisi
velvet	samet
flying saucer	lendav taldrik
thyme	liivatee
noise	kära
anticonstitutionally	põhiseadusevastaselt
mammal	imetaja
south	lõuna
spiral	spiraal
photographer	fotograaf
pepper	pipar
lignin	ligniin
garbage	rämps
taupe	pruunikashall
Baltic-Finnic	läänemeresoome
thyroid gland	kilpnääre
goiter	hõõtsik
tend	kippuma
countless	loendamatu
recent	äsjane
recent	hiljutine
directive	käskkiri
regulation	määrus
decision	otsus
delayed	viivitunud
acquire	omandama
authority	võim
parlance	kõneviis
parameter	parameeter
gift	kinkima
rarity	haruldus
you are what you eat	oled see, mida sööd
request	tellimus
wastegate	piirdeklapp
intercooler	vahejahuti
plenum chamber	rõhukamber
silencer	summuti
catalytic converter	katalüüsneutralisaator
joint	liide
intake system	sisselaskesüsteem
intake manifold	sisselasketorustik
air filter	õhufilter
intake silencer	sisselaskesummuti
speed limiter	kiiruspiirik
exhaust system	väljalaskesüsteem
theater	teater
rhombus	romb
spider	ämblik
ulna	küünarluu
fibula	pindluu
skull	kolju
mandible	alalõualuu
occipital bone	kuklaluu
vomer bone	sahkluu
sphenoid bone	kiilluu
sphenoid bone	põhiluu
ethmoid bone	sõelluu
frontal bone	otsmikuluu
maxilla	ülalõualuu
palatine bone	suulaeluu
inferior nasal concha	alumine ninakarbik
nasal bone	ninaluu
lacrimal bone	pisaraluu
cheekbone	sarnaluu
temporal bone	oimuluu
parietal bone	kiiruluu
hyoid bone	keeleluu
hammer	vasar
anvil	alasi
human trafficking	inimkaubandus
Finnish	soome
philosopher	filosoof
lemon	sidrun
adjective	adjektiiv
woodpecker	rähn
Eurasian blackbird	musträstas
bicycle	jalgratas
spleen	põrn
lime	paas
nod	nikutus
proverb	vanasõna
at once	kohe
sure	kindel
come	tulema
stalk	vars
speech	kõne
pipe	tobi
oneself	ise
thank you	aitäh
body part	kehaosa
bookshop	raamatupood
whey	vadak
already	juba
rectangle	ristkülik
over	üle
derivative	tuletis
something	miski
porridge	puder
meal	söök
institution	asutus
allium	lauk
bishop	piiskop
breakfast	hommikueine
loaf	päts
quite	päris
apron	põll
bladder	põis
ace	äss
skull	kolp
cling	liibuma
return	naasma
lame	nõme
betray	reetma
convince	veenma
conscience	süüme
forehead	laup
criminal	roimar
pagan	taig
emperor	keiser
speculator	spekulant
-ly	-lik
São Tomé	São Tomé ja Príncipe
rare	harv
since	alates
pot	pott
egg tooth	munahammas
Syria	Süüria
Turkey	Türgi
Iran	Iraan
Slovakia	Slovakkia
Northern Ireland	Põhja-Iirimaa
Qur'an	koraan
Falkland Islands	Falklandi saared
Greenland	Gröönimaa
cookbook	kokaraamat
hug	kallistus
gull	kajakas
kala	-r
smart	tark
chin	lõug
dude	kutt
boil	keema
North Korea	Põhja-Korea
South Korea	Lõuna-Korea
good evening	tere õhtust
humorous	humoorikas
drunkard	joodik
sugar	suhkur
time	kord
candidature	kandidatuur
trade	amet
war	sõda
airforce	õhujõud
coffeemaker	kohvimasin
yard	õu
resin	vaik
deity	jumalus
compound	ühend
balustrade	balustraad
exchange student	vahetusõpilane
biographer	biograaf
light	valgus
Japan	Jaapan
Kuwait	Kuveit
Israel	Iisrael
Poland	Poola
Yemen	Jeemen
Ethiopia	Etioopia
Tunisia	Tuneesia
Seychelles	Seišellid
Mozambique	Mosambiik
Swaziland	Svaasimaa
Saint Vincent and the Grenadines	Saint Vincent ja Grenadiinid
reflection	kajastus
creative	loov
acceleration	kiirendus
many	palju
sultanate	sultanaat
viper	rästik
boar	kult
cook	kokk
action	tegu
piano	klaver
illusion	näiline
hotel	otell
aircraft	õhusõiduk
twin	kaksik
ovum	munarakk
thought	mõte
whale	vaal
looseness	kobedus
old-fashioned	vanamoodne
tadpole	kulles
toad	kärnkonn
Elizabeth	Eliisabet
old-fashioned	moest läinud
dandruff	kõõm
historical	Margareeta
adjective	omadussõna
sometimes	vahel
near	juures
hammock	võrkkiik
Mulgimaa	mulk
Libya	Liibüa
Lebanon	Liibanon
Saudi Arabia	Saudi Araabia
Estonia	Eesti Vabariik
Soome	Soome Vabariik
Latvia	Läti Vabariik
Christmas Island	Jõulusaar
Lithuania	Leedu Vabariik
Kingdom of Sweden	Rootsi Kuningriik
Russian Federation	Venemaa Föderatsioon
freedom of speech	sõnavabadus
constitution	põhiseadus
police state	politseiriik
justice	õiglus
midnight	kesköö
Valentine's Day	sõbrapäev
postman	postimees
laptop computer	sülearvuti
mother tongue	emakeel
weekend	nädalalõpp
foreign country	välismaa
mall	kaubanduskeskus
economy	majandus
ring	sõrmus
homosexuality	homoseksuaalsus
homophobia	homofoobia
bisexuality	biseksuaalsus
homosexual	homoseksuaal
bisexual	biseksuaal
phobia	foobia
nyctophobia	nüktofoobia
psychology	psühholoogia
arachnophobia	arahnofoobia
claustrophobia	klaustrofoobia
acrophobia	akrofoobia
aerophobia	aerofoobia
marriage	abielu
prime minister	peaminister
television	televisioon
radio	raadio
possible	võimalik
absolute	absoluutne
alcoholic	alkohoolne
diacritical	diakriitiline
fair	erapooletu
phonetic	foneetiline
physiological	füsioloogiline
physical	füüsikaline
clear	ilmne
stiff	jäik
nasty	jälk
pale	kahvatu
wavy	laineline
short	lühik
masculine	maskuliin
better	parem
oak	tammine
strong	tugev
acceptable	vastuvõetav
refrigerator	külmkapp
bathroom	vannituba
living room	elutuba
kitchen	köök
sewing machine	õmblusmasin
apple juice	õunamahl
thank	tänama
noble	aadel
address	aadress
macaw	aara
treasure chest	aardelaegas
Asian	aasialane
atomic bomb	aatomipomm
spouse	abikaasa
aberration	aberratsioon
scoliosis	skolioos
operation	operatsioon
singer	laulja
fireman	tuletõrjuja
acquaintance	tuttav
clothing	riietumine
writer	kirjanik
teacher	õpetaja
teaching	õpetamine
learn	õppima
pupil	õpilane
learning	õppimine
knowledge	teadmine
forget	unustama
verb	tegusõna
substantive	substantiiv
airport	lennujaam
nightshirt	öösärk
chamber pot	ööpott
owl	öökull
hawk	kull
penguin	pingviin
partridge	põldpüü
wigeon	viupart
nightingale	ööbik
waxwing	siidisaba
common eider	hahk
horsefly	parm
Mary	Maarja
sound card	helikaart
keyboard	sõrmistik
network	võrgukaart
Daniel	Taaniel
David	Taavet
David	Taavo
Peter	Peetrus
beauty salon	ilusalong
ship	laev
airship	õhulaev
passenger	reisija
advertisement	reklaam
breakfast	hommikusöök
lunch	lõunasöök
dinner	õhtusöök
sandwich	võileib
horsepower	hobujõud
destructive	põleng
tere	tere hommikust
moment	nats
Michael	Miikael
Mihkel	Mikk
Mattias	Madi
Mattias	Madis
Mattias	Maido
Mattias	Mait
fairy	Juta
just	justament
Jaan	Janar
Jaan	Janno
John the Baptist	Ristija Johannes
Maria	Maris
Maarja	Malle
Mark	Margus
account	arve
Sirje	Sirli
Ruth	Rutt
Rachel	Raahel
Elisabeth	Liis
Catherine	Kadi
Catherine	Kaia
Catherine	Kaidi
echo	Kajar
back-formation	Viljar
Catherine	Riin
Catherine	Riinu
Catherine	Triin
Catherine	Triinu
Andrew	Andrus
James	Jaakobus
rainbow	vikerkaar
slush	lörts
hit	lööma
society	ühiskond
trademark	kaubamärk
trade	kaubandus
cohort	kohort
demography	demograafia
demography	rahvastikuteadus
hydrology	hüdroloogia
vacuum cleaner	tolmuimeja
line	liin
tram	tramm
William	Villu
Henry	Endrik
Henry	Enn
Henry	Heigo
Henry	Heiki
Henry	Heiti
Charlemagne	Karl Suur
Christina	Kersti
horrible	jube
Caledonia	Kaledoonia
crab	krabi
Arthur	Ardo
Rihard	Riho
Laurence	Laur
Aurelia	Reeli
Reeli	Reelika
Aurelia	Reili
Catherine	Katre
Catherine	Katriin
Circe	Kirke
Aivar	Aivo
Timothy	Timoteos
Solomon	Saalomon
Valdo	Valdeko
Voldemar	Vallo
finger	sõrm
director	lavastaja
Meeme	Neeme
lake	Endla
Rudolph	Ruudi
Elijah	Eelija
Asa	Aasa
Caroline	Karoliine
Livonia	Liivi
Silvia	Silvi
sailor	madrus
lieutenant	leitnant
Samuel	Saamuel
Inna	Innar
god	Uku
Lydia	Lüüdia
Sophia	Viiu
disciple	jünger
pawnbroker	lombard
Monica	Moonika
Gustav	Kusta
Gustav	Kustas
Magnus	Maanus
narcolepsy	narkolepsia
transliteration	Juri
comitative	-ga
fat	paks
in case	korral
air	õhk
tweet	siuts
bead	helmes
tail	händ
aunt	tädi
small	väike
palm	peo
fallow	kesa
hippopotamus	jõehobu
shark	haikala
thank you	tänan
boom	buum
Kingdom of Norway	Norra Kuningriik
Taani	Taani Kuningriik
Island	Islandi Vabariik
Republic of Korea	Korea Vabariik
Democratic People's Republic of Korea	Korea Rahvademokraatlik Vabariik
Hiina	Hiina Vabariik
into	sisse
dune	luide
borough	alev
short	lühike
dead	surnud
hungry	näljane
slow	aeglane
useful	kasulik
friendly	sõbralik
happy	õnnelik
fantastic	fantastiline
poor	vaene
tall	kõrge
young	noor
angry	vihane
tired	väsinud
completely	täiesti
Estonian	eesti keel
Czech	tšehhi keel
Russian	vene keel
Turkish	türgi keel
Welsh	kõmri keel
Greek	kreeka keel
Finnish	soome keel
Latvian	läti keel
araabia	araabia keel
Albanian	albaania keel
Japanese	jaapani keel
Hindi	hindi keel
Danish	taani keel
Swedish	rootsi keel
Norwegian	norra keel
Icelandic	islandi keel
Korean	korea keel
English	inglise keel
Scots	šoti keel
Cherokee	tšerokii keel
Northern Sami	põhjasaami keel
radiation	kiirgusoht
radiation	kiirgus
asexuality	aseksuaalsus
heterosexuality	heteroseksuaalsus
sexual orientation	seksuaalne orientatsioon
sexual orientation	seksuaalne suundumus
heterosexual	heteroseksuaal
asexual	aseksuaal
senate	senat
restaurant	restoran
fruit	puuvili
orientation	orientatsioon
sexual	suguküpsus
sexual intercourse	suguühe
amulet	amulett
racoon	pesukaru
army	armee
epilepsy	langetõbi
I'm not religious	ma pole usklik
Lutheran	luterlane
forecaster	sünoptik
true	õige
shirt	särk
bedside	öölaud
teapot	teekann
constitutional	õigusriik
sister	õde
married man	abielumees
wedding party	pulmapidu
party	pidu
sexual	seksuaalne
chance	võimalus
typewriter	kirjutusmasin
envelope	ümbrik
dinner table	söögilaud
spectacles	prillid
scarf	sall
button	nööp
paper	paber
glue	liim
sleep	magama
travel	reisima
cry	nutma
understand	mõistma
aru	aru saama
think	mõtlema
try	üritama
mobile phone	mobiiltelefon
more	rohkem
certainly	kindlasti
cordial	südamlik
foreign	võõras
teach	õpetama
toothbrush	hambahari
necklace	kaelakee
socialism	sotsialism
wristwatch	käekell
kingdom	kuningriik
republic	vabariik
people's republic	rahvavabariik
school uniform	koolivorm
children	lastehaigla
flower	õis
aeroplane	lennuk
air ticket	lennupilet
Christmas	jõuluöö
Christadelphian	kristadelflane
random	juhuslik
psychologist	psühholoog
thinking	mõtlemine
behaviour	käitumine
psychiatrist	psühhiaater
doctor	arst
olive	õlikaste
harbour	sadam
railway station	rongijaam
Soviet	nõukogude
Estonia	Eesti kroon
worry	muretsema
look	vaatama
wash	pesema
scare	hirmuma
ask	küsima
fall in love	armuma
say	ütlema
delete	kustutama
visit	külastama
girl	tüdruk
ei	ei ole
honesty	ausus
killing	tapp
overture	avamäng
pure	ehe
neurology	neuroloogia
falling star	langev täht
victory	võit
homonym	homonüüm
quality	kvaliteet
size	mõõt
foundation	sihtasutus
history	ajalugu
because	sellepärast
Czechoslovakia	Tšehhoslovakkia
joy	rõõm
family	perekond
dictionary	sõnastik
US dollar	Ameerika Ühendriikide dollar
rocking chair	kiiktool
Asperger syndrome	Aspergeri sündroom
bra	rinnahoidja
Sunday school	pühapäevakool
good night	head ööd
ice cream maker	jäätisemasin
chicken	kanamuna
no	mitte
bookmark	järjehoidja
news	uudised
vernacular	kõnekeel
pumpkin	kõrvits
question	küsimus
question mark	küsimärk
side	külg
handbag	käekott
handling	käsitlus
favorite	lemmik
poker	pokker
griffin	greif
condition	tingimus
we	meie
burbot	luts
out	väljas
nuclear war	tuumasõda
nuclear bomb	tuumapomm
fuel	kütus
inn	võõrastemaja
maa	Uus-Meremaa
geography	geograafia
embarrassing	piinlik
council	nõukogu
ionosphere	ionosfäär
hamburger	burks
chewing gum	näts
tip	ots
heavy	raske
trousers	püks
too	-gi
gravestone	hauakivi
dentist	hambaarst
scientist	teadlane
slaughter	tapatalgud
truck	veoauto
salve	salv
lilac	sirel
chimney	korsten
headache	peavalu
fire	tulekahju
picture	pilt
cupboard	kapp
lutefisk	libekala
sky	taevas
crankcase	karter
Somalia	Somaalia
plant	taim
rabbi	rabi
length	välde
infrastructure	taristu
infrastructure	infrastruktuur
directive	juhind
directive	direktiiv
mainstreaming	peavoolustamine
toolbar	tööriistariba
toolkit	tööriistakomplekt
timer	taimer
nincompoop	tolvan
motet	motett
lord	saks
dance	tants
sign	märk
sod	mätas
rat	rott
slang	släng
fog	udu
Lutheran	luteri
myth	müüt
nonsense	möga
roar	möire
champagne	šampus
cozy	õdus
glutton	õgard
hollow	õõnes
edema	ödeem
carrion	raibe
overcoat	palitu
sludgy	lögane
nightlife	ööelu
barf	öökima
bureau	büroo
nightclub	ööklubi
pheasant	faasan
phantom	fantoom
pheromone	feromoon
ferrite	ferriit
flute	flööt
dragon	draakon
dolphin	delfiin
democrat	demokraat
democratic	demokraatlik
diameter	diameeter
doctrine	doktriin
jazz	džäss
jeep	džiip
Algiers	Alžiir
pike	haug
lampblack	tahm
they	nemad
sole	tald
ticket	pilet
profit	kasu
rib	roie
like	nagu
major general	kindralmajor
second lieutenant	nooremleitnant
lieutenant colonel	kolonelleitnant
open	avatud
closed	suletud
growl	urr
deck chair	rannatool
euthanasia	eutanaasia
rainbow flag	vikerkaarelipp
Low Countries	Madalmaad
mix	segu
judiciary	kohtupidamine
honor	austama
parem	parem varblane peos kui tuvi katusel
et cetera	jne
saliva	sülg
semen	seemnevedelik
query	päring
build	ehitama
minul	minul on küsimus
mul	mul on küsimus
socialist	sotsialistlik
penis	peenis
salty	soolane
son	poeg
example	näide
weekday	nädalapäev
weekend	nädalavahetus
testicle	munand
scrotum	munandikott
hymen	hüümen
hymen	neitsinahk
sweat	higi
ejaculation	seemnepurse
foreskin	eesnahk
anus	pärak
spherical	sfääriline
sphere	sfäär
turtle	kilpkonn
politics	poliitika
ma	ma armastan sind
politician	poliitik
nudity	alastus
chaotic	kaootiline
oral sex	suuseks
synonym	sünonüüm
antonym	antonüüm
ma	ma vihkan sind
hate	vihkama
copulation	paaritumine
sexual	seksinälg
tattoo	tätoveering
tattoo artist	tätoveerija
tattoo	tätoveerima
Estonian	eestikeelne
pornography	pornograafia
pornographic	pornograafiline
leaf	leht
fuck	nikkuma
historian	ajaloolane
penetrate	läbistama
synonymous	sünonüümne
antonymous	antonüümne
liberate	vabastama
shit	sittuma
defecate	roojama
defecation	roojamine
dirty	sitane
rabbit	küülik
follow	järgnema
vagina	vagiina
psychoanalysis	psühhoanalüüs
masturbate	masturbeerima
kiss	suudlus
violent	vägivaldne
violence	vägivald
circumcision	ümberlõikamine
laugh	naerma
penis	suguti
addiction	sõltuvus
addict	sõltlane
societal	ühiskondlik
economics	ökonoomika
hairy	karvane
run	jooks
like	meeldima
muscular	lihaseline
angelic	ingellik
taguma	pihku taguma
safe sex	turvaseks
enneaegne	enneaegne seemnepurse
premature	enneaegne
erotic	erootiline
erotica	erootika
group sex	grupiseks
salacity	iharus
salacious	ihar
mons veneris	häbemekink
cybersex	küberseks
prelude	eelmäng
strength	tugevus
want	tahtma
spiderweb	ämblikuvõrk
arachnid	ämblikulaadne
masturbation	masturbeerimine
friendship	sõprus
unicorn	ükssarvik
difference	erinevus
Estonian SSR	Eesti Nõukogude Sotsialistlik Vabariik
pensioner	pensionär
kas	kas sa oled usklik
kas	kas sa usud jumalasse
false	väärjumal
black swan	mustluik
pet	lemmikloom
signify	tähendama
faith	usk
freedom	vabadus
soil	muld
education	haridus
ethnicity	rahvus
cornflower	rukkilill
tiny	pisike
especially	eriti
go	minema
well	hästi
fill	täitma
wish	soov
storey	korrus
clean up	koristama
be able	võima
race	kihutama
nanosecond	nanosekund
watermelon	arbuus
submarine	allveelaev
aquarium	akvaarium
ape	ahv
anchor	ankur
fall	sadama
do	küll
praise	kiitma
blackboard	tahvel
notebook	vihik
vivid	ergas
donkey	eesel
baby	imik
giggle	itsitama
shake	vibutama
glass	klaas
after	järel
soon	varsti
chew	närima
comfort	mõnu
rope	nöör
doll	nukk
rhinoceros	ninasarvik
stay	jääma
clean	puhas
target	märklaud
beehive	mesitaru
bring	tooma
push	lükkama
pick	korjama
some	mõni
erection	erektsioon
accompany	saatma
jump	hüppama
furrow	vagu
bloody	verine
spotted	kirju
sometimes	mõnikord
wheelchair	ratastool
panic disorder	paanikahäire
orange juice	apelsinimahl
death	poomissurm
pineapple	ananass
textbook	õpik
childish	lapsik
candle	küünal
Christmas	jõulukuusk
historical	ajalooline
consonant gradation	astmevaheldus
nominal	käändsõna
plural	mitmus
pronoun	asesõna
conjunction	sidesõna
adposition	kaassõna
preposition	eessõna
postposition	tagasõna
adverb	määrsõna
voice	tegumood
personal	isikuline
impersonal	umbisikuline
conditional	tingiv
imperative	käskiv
order	käskima
indirect	kaudne
present	olevik
past	minevik
affirmative	jaatav
negative	eitav
deny	eitama
affirm	jaatama
bed	peenar
closed	umb-
nominative	nimetav
genitive	omastav
partitive	osastav
illative	sisseütlev
inessive	seesütlev
elative	seestütlev
allative	alaleütlev
adessive	alalütlev
ablative	alaltütlev
abessive	ilmaütlev
comitative	kaasaütlev
translative	saav
terminative	rajav
essive	olev
square	ruut
turn	pöörama
accusative	sihitav
feel like	viitsima
infinitive	tegevusnimi
participle	kesksõna
sõda	Külm sõda
lysergic acid	lüsergiinhape
vegetable	aiamaa
suicide	enesetapp
brother	vennas
partridge	püü
WC	veetsee
suit	ülikond
negro	neeger
hug	kallistama
embrace	embama
ladder	redel
weak	väeti
holder	hoidja
alarm	häire
hit	löök
census	rahvaloendus
count	loendus
count	loendama
ventilation	õhutussüsteem
system	süsteem
encyclopedia	entsüklopeedia
reference book	teatmeteos
wait	ootama
will	tahe
arse	pepu
fruit	tõru
acorn	tammetõru
throat	kõri
brain	ajukasvaja
enjoyer	nautija
measuring	mõõteriist
place	ruum
give	andma
grape	viinamari
joke	nali
keyboard	klaviatuur
tender	õrn
software	tarkvara
discussion	arutelu
calling	kutse
fresh	värske
sad	kurb
benevolent	lahke
hard-working	virk
corner	nurk
weak	nõrk
place	paik
salary	palk
heavy	ränk
lazy	laisk
place	koht
hero	sangar
relatively	suht
pay	tasu
oscillator	ostsillaator
pressure	surve
pencil	pliiats
fine	tubli
color	värv
association	ühendus
north	põhi
sir	härra
ma'am	proua
population	rahvaarv
bay	laht
city hall	raekoda
cathedral	katedraal
face	nägu
next	järgmine
degree	kraad
beginning	algus
ending	lõpp
vacation	puhkus
nice	kena
neck	kael
straight	sirge
relative	sugulane
strange	imelik
single	vallaline
song	laul
begin	algama
bride	pruut
page	lehekülg
entertaining	lõbus
happy	rõõmus
poem	luuletus
athletic	sportlik
sing	laulma
cheap	odav
boot	saabas
take	võtma
can	purk
rustling	kohin
belly	kõht
girl	plika
gap	vahe
frail	nõder
member	liige
thin	õhuke
steal	varastama
deceive	petma
leave	jätma
pure	eht
fucker	nikkuja
fucker	nikkur
fuck	nussima
fuck	keppima
geology	geoloogia
biography	biograafia
biography	elulugu
mycology	mükoloogia
mycology	seeneteadus
biophysics	biofüüsika
phytochemistry	fütokeemia
phytochemistry	taimekeemia
phytochemistry	taimebiokeemia
molecular biology	molekulaarbioloogia
biogeography	biogeograafia
immunology	immunoloogia
hydrobiology	hüdrobioloogia
planktology	planktoloogia
planktology	hõljumiteadus
planktology	planktonoloogia
hydrobotany	hüdrobotaanika
cytology	rakubioloogia
cytology	tsütoloogia
chronobiology	kronobioloogia
lichenology	lihhenoloogia
lichenology	samblikuteadus
histology	koeõpetus
copernicium	koperniitsium
ferry	praam
color	värvus
crime	kuritöö
at first	esmalt
North Carolina	Põhja-Carolina
South Dakota	Lõuna-Dakota
North Dakota	Põhja-Dakota
West Virginia	Lääne-Virginia
faux pas	fopaa
bookworm	raamatukoi
stubborn	tõrges
partisan	siss
stallion	täkk
gelding	ruun
stallion	sugutäkk
French	prantsuse
footwear	jalanõu
conspiracy	vandenõu
world	maailm
handrail	käsipuu
human	inimlik
iceberg	jäämägi
board game	lauamäng
evening dress	õhtukleit
rifle	vintpüss
danger	oht
beach	mererand
storm	torm
peat	turvas
swimmer	ujuja
fertile	viljakas
infertile	viljatu
buy	ostma
watermill	vesiveski
koht	-ti
collection	varamu
strange	veider
ask for	paluma
sandpit	liivakast
phone sex	telefoniseks
cat litter	kassiliiv
detergent	pesuvahend
bookshelf	raamaturiiul
animal	lojus
rented	üürikorter
doorbell	uksekell
bus stop	bussipeatus
teacup	teetass
organic	mahepiim
dog food	koeratoit
red wine	punane vein
sand	liiv
hourglass	liivakell
wall clock	seinakell
cry	kisama
gluttonous	ablas
business	sott
cord	pael
wasp	herilane
clamour	lärm
cheek	põsk
sprat	kilu
respect	austus
enemy	vaenlane
hostility	vaen
monkey	pärdik
such	nii
here	siia
after	pärast
only	ainult
ever	kunagi
front	eest
anything	midagi
how	kuidas
back	tagasi
simply	lihtsalt
please	palun
onto	peale
sorry	vabandust
ballet	ballett
tale	lugu
artificial	kunst-
barrel	tünn
demonstrative pronoun	näitav asesõna
roll	rull
cyber-	küber-
cybernetics	küberneetika
wound	haav
grammar	grammatika
Namibia	Namiibia
by	mööda
prolative	-itsi
vehicle	sõiduk
vehicle	sõiduriist
taste	maitse
hunter	kütt
hunter	jahimees
row	sõudma
which	kumb
apricot	aprikoos
also	kah
Åland	Ahvenamaa
-less	-tu
unhappy	õnnetu
key	võti
chest	laegas
mandible	alalõug
kind	liik
by-	alam-
underwater	allvee-
Arabia	Araabia
watermelon	vesimelon
love letter	armastuskiri
discuss	arutlema
discussion	arutlus
calculate	arvutama
causative	-tama
asexual	aseksuaalne
alternation	vaheldus
alternate	vaheldama
bisexual	biseksuaalne
stop	peatus
stop	peatama
dessert	magustoit
sweeten	magustama
nutrient	toitaine
fore-	eel-
in front	ees-
lively	elav
vinyl record	vinüülplaat
vinyl	vinüül
self-	enese-
self	enese
different	erinev
differ	erinema
first	esik-
first	esma-
first	esmas-
foretell	ette kuulutama
declare	kuulutama
black-and-white	mustvalge
mould	hallitama
comb	harjama
till	harima
style sheet	laadileht
creator	looja
create	looma
heterosexual	heteroseksuaalne
sweat	higistama
shrew	karihiir
horse	hobu
strength	jõud
warn	hoiatama
hold	hoidma
depot	hoidla
deposit	hoius
