one	on
fabrication	fabriko
latitude	latitudo
comet	kometo
academy	akademio
prison	karcero
turnip	napo
wave	ondego
harpoon	harpuno
celery	celerio
terrace	teraso
cupola	kupolo
magma	magmo
asteroid	asteroido
atmosphere	atmosfero
church	eklezio
visit	vizito
theory	teorio
breeze	brizo
glacial	glacia
nebula	nebulozo
acorn	glano
sunlight	sunlumo
spot	makulo
binary star	duopla stelo
duopla	duopla steli
slave	sklavo
axe	hakilo
administrator	administranto
toy	ludilo
rod	spiso
felt	felto
brook	rivereto
obelisk	obelisko
boomerang	bumerango
hairless	senhara
fatalist	fatalisto
flask	flakono
virgin	virgulo
-less	sen-
blame	kulpo
illusion	iluziono
tropic	tropiko
cosmos	kosmo
alcove	alkovo
alcohol	alkoholo
elder	sambuko
egoist	egoisto
electrolysis	elektrolizo
fibula	fibulo
isothermal	izoterma
isotropic	izotropa
parsnip	pastinako
astrolabe	astrolabo
eclipse	eklipso
ecliptic	ekliptiko
pulsar	pulsaro
alligator	aligatoro
anagram	anagramo
aphasia	afazio
fluent	fluanto
anecdote	anekdoto
sociology	sociologio
isotherm	izotermo
isobar	izobaro
blouse	bluzo
inert	inerta
category	kategorio
pronoun	pronomo
anthology	antologio
parasite	parazito
dragon	drako
city	civito
baron	barono
straight	rekta
hazard	hazardo
accusing	akuzanta
accuser	akuzanto
accusation	akuzato
accused	akuzito
burn	brulo
fin	floso
front	fronto
recipe	recepto
rains	pluvas
auxiliary	helpanta
assistant	helpanto
darling	karulo
cotton	kotono
beast	bestio
posto	posto-kontori
employo	employo-agenterii
incendio	incendio-domi
letro	letro-portisti
dormo	dormo-chambri
adopted	adoptita
frukto	frukto-vendisti
karno	karno-vendisti
magnesia	magnezio
soaked	trempita
draughts	dami
stalactite	stalaktito
stalagmite	stalagmito
isomer	izomero
cytoplasm	citoplasmo
telescope	teleskopo
ketone	ketono
pavane	pavano
use	uzo
use	uzado
morphology	morfologio
fortuitous	hazarda
glacier	glaciero
exterior	exterajo
celestial	cielala
coloured	koloroza
melon	melono
ability	habileso
permission	darfo
opaque	opaka
strained	tensita
trigger	destensilo
indicate	indikar
execution	exekuto
feasible	exekutebla
declension	deklinado
partisan	samideano
curium	kuriumo
citron	cedrato
proton	protono
rainbow	cielarko
rainbow	pluvarko
bohrium	borio
briefs	kalsono
biochemistry	biokemio
chloride	klorido
blaspheme	blasfemar
octane	oktano
crazy	fola
message	mesajo
chief	chefo
fatal	fatala
gentian	genciano
sow	semar
attentively	atencoze
fix	fixigar
horseshoe	kavalofero
horseshoe	hufofero
iron ore	fer-erco
fer	fer-erci
periscope	periskopo
vassal	vasalo
ancestral	ancestrala
magnetic	magnetala
penstroke	plumostroko
antibody	antikorpo
deafen	surdigar
political	politikala
settle	quitigar
flame	flamo
blaze	flamifar
intransitive	netransitiva
seashell	konko
steel	stalo
polar	polara
asterisk	steleto
pole star	polo-stelo
polo	polo-steli
asterisk	asterisko
enzyme	enzimo
polar	polala
lactase	laktazo
aurora	auroro
omit	omisar
pectin	pektino
glycogen	glikogeno
anatomy	anatomio
membrane	membrano
stomach	stomako
saponin	saponino
discipline	diciplinar
human	homala
name	nomizar
elect	elektar
hexagon	hexagono
sulfide	sulfido
pollen	poleno
equality	egaleso
price	preco
polite	polita
misty	nubizar
disgrace	deshonoro
disgrace	desfavorizar
password	pasovorto
geology	geologio
hydrology	hidrologio
hydrologist	hidrologo
mycology	mikologio
caliph	kalifo
eighteen	dek ed ok
mosque	moskeo
organic	organika
organ	organa
equation	equaciono
centrifuge	centrifugilo
calamite	kalamito
cardioid	kardioido
pedagogy	pedagogio
lunar	lunala
solar	sunala
ashamed	shamanta
abashed	shamigita
shame	shamigar
present	prizentar
tavern	taverno
message	sendajo
telegram	telegramo
conjunction	konjunciono
get	obtenar
complicate	komplikar
algebra	algebro
vitamin	vitamino
vacuole	vakuolo
jasper	jaspo
kayak	kayako
keratin	keratino
spear	lanceto
nectar	nektaro
ambassador	ambasadisto
snail	heliko
iguana	iguano
salmon	salmono
lemma	lemo
factor	faktoro
cybernetics	cibernetiko
neuron	neurono
cell	celulo
poverty	povreso
geometric	geometriala
microscope	mikroskopo
mucilage	mucilajo
trapeze	trapezo
nomad	nomado
fight	kombatar
invest	kolokar
nail	klovagar
nail	klovo
poison	toxiko
toxic	toxika
toxin	toxino
vaporize	vaporigar
delighted	joyoza
intervention	interveno
chromosome	kromosomo
heliometer	heliometro
hermit	ermito
fish	fishosto
fish	fish-osti
flow	fluar
otter	lutro
actress	aktorino
forest	arborizar
vector	vektoro
sacrifice	sakrifiko
gallant	galanta
complaisant	komplezema
indulgent	indulgema
arbalest	arbalesto
electroscope	elektroskopo
gentile	jentila
synthetic	sintezala
zygoma	zigomato
assegai	zagayo
weighty	pezoza
baseline	bazolineo
basal	bazala
automatically	automatale
incorrect	nekorekta
sumac	sumako
falcon	falkono
organist	orgenisto
pagoda	pagodo
courageous	kurajoza
yeasty	hefala
hectowatt	hektowato
paronym	paronimo
hellebore	heleboro
mitre	mitro
geoid	geoido
unstable	nestabila
stable	stabila
reappear	riaparar
magician	magiisto
nicotine	nikotino
geomancy	geomancio
emu	emuo
oak	querko
korko	korko-querki
petiole	petiolo
formal	formala
mathematical	matematikala
archduke	arkiduko
rectangle	rektangulo
photon	fotono
amphora	amforo
peduncle	pedunklo
phalarope	falaropo
youth	yuneso
willow	saliko
cabaret	kabareto
sine	sinuso
geotropic	geotropa
gerontology	gerontologio
radius	radiuso
echidna	ekidno
heleboro	heleboro nigra
nigra	nigra heleboro
nigra	nigra helebori
acoustics	akustiko
heleboro	heleboro verda
verda	verda heleboro
verda	verda helebori
graveyard	tombeyo
graveyard	enterigeyo
geotaxis	geotaktismo
heliostat	heliostato
helioscope	helioskopo
heliotropic	heliotropa
heliophobe	heliofobo
heliophobic	heliofoba
reproduce	heliograbar
reproduce	heliografar
headless	senkapa
helicoid	helicoido
humpbacked	giboza
hump	gibozeso
heliophyte	heliofilo
salience	centreso
hailstone	greluno
generator	generatoro
lapwing	vanelo
trihedron	triedro
pistol	pistolo
tribunal	tribunalo
conflict	konflikto
accommodation	lojeyo
unfaithful	desfidela
cliff	klifo
lawn mower	gazonotondilo
humpback	gibozo
humpback	gibiero
python	pitono
chameleon	kameleono
cobra	kobro
baroscope	baroskopo
spiral	spiralo
morpheme	morfemo
homonym	homonimo
face	edro
answer	repliko
classically	klasike
classic	klasika
stand	stativo
tripod	tripedo
ocarina	okarino
oleander	rozlauro
gymnasium	gimnastikeyo
volcanic	volkanala
objectivity	objektaleso
retort	retorto
archipelago	insularo
gynandrous	ginandra
female	homino
giant	giganta
nuclear	nuklea
atomic	atomala
gynecologist	ginekologo
anaconda	anakondo
touch	tushar
slackness	laxeso
patriarch	patriarko
razor	razilo
phial	fialo
purple	purpuro
ionize	ionizar
cholerine	kolerino
gynodioecious	ginodioika
zoological	zoologiala
adurol	adurolo
accordion	akordeono
valve	valvo
cracker	bisquito
basket	korbo
halogen	halogeno
thermotropism	termotropismo
robot	roboto
tannin	tanino
marjoram	majorano
prepuce	prepuco
explode	explozigar
explode	explozar
preside	prezidar
violently	violentoze
deviation	deviaceso
gum	jenjivo
bracelet	braceleto
amnion	amniono
translucent	translucida
fibrin	fibrino
obsidian	obsidiano
alkaloid	alkaloido
musket	musketo
firearm	pafarmo
skeleton	skeleto
exoskeleton	exoskeleto
scallop	petonklo
histamine	histamino
quinine	quinino
reproduce	riproduktar
glacial	glaciala
glacial	glaciatra
glacial	glaciera
glacial	glacierala
adrenaline	adrenalino
pliers	pinco
pincers	tenalio
dune	duno
thorax	torako
bladder	veziko
asparagine	asparagino
trident	tridento
abdomen	abdomino
helminthology	helmintologio
smoothness	glateso
sleek	glatigar
helpful	helpema
auxiliary	helpiva
auxiliary	helpivo
helper	helpero
helper	helpisto
auxiliary	helpilo
auxiliary verb	helpoverbo
mollusc	molusko
annelid	anelido
hematology	hematologio
hematologist	hematologo
hematite	hematito
arteritis	arteriito
artery	arterio
smooth	glata
fjord	fyordo
sardine	sardino
hit	frapo
strike	striko
hit	frapar
alkene	alkeno
xanthine	xantino
firing	pafado
strychnine	striknino
Helvetian	Helveto
occident	ocidento
west	westo
greenish	verdatra
yak	yako
aristocrat	aristokrato
anemone	anemono
yew	taxuso
herring	haringo
pike	ezoko
perch	perko
cod	moruo
gluten	gluteno
tench	tencho
diploid	diploida
solenoid	solenoido
gamete	gameto
genome	genomo
ethnography	etnografio
ethnology	etnologio
crayfish	kankro
aerosol	aerosolo
leotard	malyoto
gudgeon	gobio
rhizome	rizomo
homeless	senhema
zeolite	zeolito
hallux	haluxo
saffron	safrano
aerial	aerala
terrestrial	terala
heartwood	durameno
glaze	glaco
hornbeam	karpino
arolla pine	cembro
tarragon	estragono
herb	herboro
nomenclature	nomenklaturo
guild	gildo
exotic	exotika
glenoid	glenoido
propeller	helico
egotist	egotisto
narrow	streta
carotene	karotino
chisel	cizelo
epiphany	epifanio
calf	bovyuno
chick	hanyuno
ballistics	balistiko
schist	skisto
heroin	heroeno
hen	hanino
rooster	hanulo
hyssop	hisopo
bar	barar
antique	antiqua
meristem	meristemo
heteroblastic	heteroblastika
hourglass	sablo-horlojo
sablo	sablo-horloji
protocol	protokolo
student	studento
tungsten	wolframo
hovel	domacho
baroness	baronino
baron	baronulo
I love you	me amas vu
rockslide	rok-krulo
rok	rok-kruli
rockslide	rok-krulado
rok	rok-kruladi
protist	protisto
nucleolus	nukleolo
nectarine	nektarino
basin	baseno
partisan	partisano
partisan	partizano
globalism	globalismo
translator	tradukisto
resin	rezino
melanin	melanino
circular	cirkla
circular	cirklala
circular	cirklatra
dragoon	dragono
parachute	parafalo
molecule	molekulo
molecular	molekulala
peptide	peptido
disquietude	desquieteso
disquietude	netranquileso
pentagram	pentagramo
stake	paliso
stake	paliseto
neoprene	neopreno
Sanskrit	Sanskrito
cyanide	cianido
methadone	metadono
nitride	nitrido
pathology	patologio
nucleus	nukleo
endocarp	endokarpo
epicarp	epikarpo
mesocarp	mezokarpo
pericarp	perikarpo
atomic bomb	atom-bombo
atom	atom-bombi
parasitic	parazitala
parasitic	parazitatra
diatribe	diatribo
atomala	atomala nukleo
abundant	abundanta
atomala	atomala nuklei
flour	farino
weight	pezo
turpentine	terpentino
tonsil	tonsilo
demonology	demonologio
torrential	torentala
torrential	torentatra
gondola	gondolo
gondolier	gondolisto
ambidextrous	ambidextra
scythe	falchilo
cartography	kartografio
tact	takto
wheelbarrow	brueto
islander	insulano
Indonesia	Indonezia
banker	bankisto
weakly	feble
evening	vesperfesto
aviary	uceleyo
granddaughter	nepotino
grandson	nepotulo
fermion	fermiono
hadron	hadrono
found	fondar
acephalocyst	acefalokisto
harpsichord	klavikordo
lepton	leptono
therapy	terapio
hypnosis	hipnoto
hypnosis	hipnotigo
hypnotize	hipnotigar
hypnotist	hipnotero
hypnotist	hipnotiganto
hypnotist	hipnotisto
hypnotic	hipnota
hypnotic	hipnotala
spruce	abieto
graphic	grafiko
unnatural	nenaturala
gladiator	gladiatoro
ischemia	iskemio
police chief	policestro
atoll	atolo
hearth	herdo
-ize	-izar
cuirass	kuraso
cut	pecigar
deliver	livrar
twin	jemelo
influence	influo
motor	motoro
morphine	morfino
solar wind	sunala vento
sunala	sunala venti
daydream	revar
enemy	enemiko
transgender	transgenra
magnetize	magnetizar
melanoma	melanomo
digestion	digesto
plantation	plantacerio
safe	sekura
interaction	interago
Amerika	Nord-Amerika
flute	fluto
trefoil	trifolio
consul	konsulo
bat	kiroptero
coin	moneto
adjectival	adjektiva
discussion	diskuto
nivegoza	nivegoza tempesto
indulgence	induljenco
industrial	industriala
indulgent	indulgar
indulgent	indulganta
indulgence	indulgemeso
discussion	diskutado
columbarium	kolumbario
tactics	taktiko
pull	imprimoprobar
snow	nivegoza
nivegoza	nivegoza tempesti
unenergetic	senenergia
energetic	energioza
energetic	energiala
typographic	imprimala
printing	imprimuro
pull	imprimoproburo
plastid	plastido
coincidence	koincido
usurper	uzurpero
usurper	uzurpinto
usurper	uzurpanto
privacy	privateso
infinitive	infinitiva
infinitive	infinitivala
verb	verboformo
decaying	kaduka
vigorous	vigoroza
roll up	volvar
fragmentary	fragmentala
fragment	fragmentigar
unknown	nekonocata
knowledge	konoco
known	konocata
visage	vizajo
disposition	dispozeso
dispose	dispozar
posture	pozeso
monumental	monumentala
monumental	monumentatra
plural	plurala
excavation	kavajo
excavation	exkavuro
excavation	exkavo
exhume	ekterigar
excavation	exkavado
inter	enterigar
exhume	dessepultar
dig	exkavadar
grave	sepulteyo
bill	fakturo
drinking	drinko
responsible	responsanta
cactus	kaktuso
rest	restajo
inflamed	inflamesar
inflammation	inflameso
inflammation	inflamuro
drinkable	drinkebla
undrinkable	nedrinkebla
bar	drinkeyo
cytology	citologio
debit	debeto
mantelet	manteleto
ignorance	nesavo
replacement	remplaso
replacement	remplasigo
calamity	kalamitato
catastrophe	katastrofo
when	audale
disorganization	desorganizeso
disorganize	desorganizar
word play	vortoludo
reiteration	riitero
chaos	kaoso
sponge	sponjo
sponge	sponjago
spongy	sponjatra
sponge	sponjagar
wipe	vishar
commercial	komercala
trade	komercar
recognize	rikonocar
identification	identifiko
identifiable	identifikebla
identification	identifikilo
identify	identifikar
replace	remplasigar
substitute	remplasanto
superpose	surpozar
transpose	transpozar
affixing	adpozo
affix	adpozar
sledgehammer	martelego
strand	torono
portion	porciono
organization	organizeso
disorganization	desorganizo
heatstroke	kalenturo
fever	febro
febrile	febrala
febrile	febratra
febrile	febroza
fever	febrar
hierarchy	hierarkio
position	poziciono
fight	kombato
generous	jeneroza
generosity	jenerozeso
distortion	distordo
assembly	asemblo
assemble	asemblar
tropical	tropikala
planet	planeto
soubrette	subreto
appropriate	-ala
-ful	-oza
dangerousness	danjerozo
unsafe	nesekura
safety	sekureso
poison	venenagar
poison	venenizar
venomous	venenoza
load	kargajo
antitoxin	antitoxino
load	kargar
disburden	deskargar
release	liberigar
freedom	libereso
bisulfide	bisulfido
magnanimity	grandanmeso
debate	debatar
discuss	diskutar
labarum	labaro
frivolity	frivoleso
obstacle	obstaklo
bayonet	bayoneto
blunderbuss	funelofusilo
hopper	funelego
pour	funelagar
diligence	diligenteso
indolent	indolenta
acting	agado
passiveness	pasiveso
dam	aquobarilo
reply	respondar
fountain	fonteno
holy	santaquuyo
dusty	polvoza
dyspepsia	dispepsio
orbital	orbitala
lagoon	laguno
beach	plajo
vicereine	vicerejino
protuberance	saliajo
protuberant	salianta
neuralgia	nevralgio
devastated	devastita
osseous	ostala
rhizoid	rizoido
siren	sireno
acoustic	akustikala
maxim	maxim-multa-kaze
fontal	fontala
source	fontolinguo
English	fontolingui
bilingual	bilingua
bilingualism	bilingueso
paper	lampiono
lampas	lampaso
ingestion	ingesto
ingestion	ingestado
ingestible	ingestebla
into	aden
ingest	ingestar
uncultivated	nekultivita
cultivated	kultivita
cultivate	kultivar
quality	qualeso
cheesy	fromajala
cheesy	fromajoza
cheesy	fromajatra
milky	laktatra
milky	laktea
dairy	lakterio
glade	lakuno
lacunose	lakunoza
excrement	exkremento
feces	feko
bull	bovulo
bovine	bovala
beef	bovokarno
woolen	lanala
Hungary	Hungaria
lamprey	lampredo
crustacean	krustaceo
cheesery	fromajiferio
break wind	flatuar
flatus	flatuo
flatulent	flatuoza
flatulent	flatuema
budget	budjeto
landgrave	landgravo
bigamy	bigameso
present	prezenta
femur	femuro
proposal	propoziciono
theology	teologio
theologian	teologiisto
space	spaco
spaceship	spaconavo
interspace	interspaco
spatial	spacala
spacious	spacoza
narrowly	strete
strait	stretajo
narrowness	streteso
width	larjeso
curtail	mikrigar
German	Germaniana
German	Germaniano
theologic	teologiala
dogma	dogmato
dogmatic	dogmatala
doctrine	doktrino
doctrinal	doktrinala
rash	temerara
rashness	temerareso
bimanous	bimanua
manipulate	manuagar
at	samatempe
poem	poemo
mitotic	mitosala
mitosis	mitoso
clever	habila
unskilled	nehabila
anabiosis	anabioso
centipede	skolopendro
millipede	miriapodo
silent	silencar
silent	silencoza
chatterbox	babilemo
noiseless	silencema
muffle	silencigar
silenced	silencigita
chat	babilado
magpie	pigo
amoebic	amebala
bite	mordar
refraction	refrakto
despite	malgre
fraud	fraudo
abbreviation	abreviuro
average	averajo
inject	injektar
inject	injektizar
guttural	guturala
throat	guturo
tendency	tendenco
tend	tendencar
controversy	polemiko
controversy	kontroverso
dispute	kontroversar
engage	polemikar
injection	injektado
gossip	babilar
palaver	babiladar
blather	babilachar
sunbeam	sunoradio
latex	latexo
injection	injektajo
Albanian	Albaniano
Albanian	Albaniana
lascar	laskaro
extent	vasteso
intelligence	inteligenteso
punishment	puniso
punished	punisita
punish	punisar
punished	punisesar
feeble	febla
weakness	febleso
weak	debila
strength	forteso
tightened	klemita
debility	debileso
flageolet	flajoleto
mysterious	misterioza
quasar	quazaro
keyword	klefovorto
accretion disk	kreskodisko
onyx	onixo
stone	petro
enter	enirar
risk	risko
its	olua
jet	sprico
monstrous	monstratra
create	krear
haiku	haiko
spacetime	spacotempo
galaxy	galaxio
click	kliktar
welcome	bonveno
website	retoloko
construction	konstruktado
academic	akademiala
personal	personala
government	guvernado
subrogation	subrogo
healthcare	sanesoflego
surgery	kirurgio
experience	experienco
please	voluntez
support	suporto
give	donacar
link	ligilo
hyperlink	hiperligilo
hyperlink	hiperligar
woods	bosko
spade	spado
painful	dolora
-ee	-ario
terrible	timenda
Carthage	Kartago
inhabitant	habitanto
important	importanto
thinker	pensanto
expressive	expresiva
preach	predikar
flower head	floreto
divide	dividar
exist	existar
solve	solvar
print	imprimar
weave	texar
flow	adfluar
pursue	persequar
lie	mentiar
bull	tauro
people	populo
herbarium	herbario
nigra	nigra trui
marble	marmora
aquarium	aquario
verbose	prolixa
urchin	bubulo
perception	percepto
aureola	aureolo
all	omni
spiritually	spiritale
vomit	vomar
external	extera
fine	tenua
druidism	druidismo
jaguar	jaguaro
suit	trefo
emblem	emblemo
stock	brutaro
dollar	dolaro
caracal	karakalo
spontaneous	spontana
complex	komplexa
beefsteak	bifsteko
owl	strigo
female	ursino
synthesis	sintezo
flap	klapo
tourist	turisto
change	kambio
gorilla	gorilo
flake	floko
seem	semblar
psyche	psiko
rage	furio
Christmas	Kristnasko
prow	pruo
tick	zeko
curve	kurvo
had to	mustis
liver	hepato
lawyer	advokato
rhino	rinocero
philosophy	filozofio
roe deer	kapreolo
drop	guto
democracy	demokratio
etymology	etimologio
pin	pinglo
demonstrate	demonstrar
nape	nuko
fictional	fiktiva
nervous	nerva
timbal	timbalo
shed	hangaro
party	festar
appearance	semblo
sphere	sfero
wrestle	luktar
rake	rastar
gape	gapar
overcome	vinkar
sit	sidar
convex	konvexa
spontaneously	spontane
infix	infixo
scrape	gratar
red	redigar
related	parenta
popular	populara
prostrate	prosternar
mammoth	mamuto
chapel	kapelo
computer	komputero
statistics	statistiko
philosopher	filozofo
fraudster	fraudanto
invade	invadar
beheading	senkapigo
science center	ciencocentro
experimental	experimentala
different	diferanta
artwork	artoverko
work	verko
illustration	ilustruro
field	feldo
engineering	injeniorarto
fusion	fuziono
protium	protio
representation	reprezenturo
3-dimensional	3-dimensiona
4-dimensional	4-dimensiona
spit	sputar
communicate	komunikar
favor	favorar
contest	kontestar
contract	kontraktar
contaminate	kontaminar
walk	promenar
box	boxar
dissolve	dissolvar
throw	jetar
shout	klamar
thank	dankar
capture	kaptar
welcome	bonvenigar
scrape	skrapar
halt	haltar
frisk	friskar
fast	fastar
augment	augmentar
herder	pastoro
artist	artisto
idyll	idilio
decoupling	deskuplo
decouple	deskuplar
weak interaction	debilinterago
muon	muono
tauon	tauono
particle	partikulo
antiparticle	antipartikulo
neutron	neutrono
positron	antielektrono
phase	fazo
phase transition	fazotransito
quark	quarko
antiquark	antiquarko
annihilate	nihiligar
burst	erupto
electroweak	elektrodebila
unification	unigado
unification	unigo
cosmic	kosmala
nuclear	nukleala
galactic	galaxiala
annihilation	nihiligo
axion	axiono
decadence	dekado
vacuum decay	vakuodekado
describe	deskriptar
review	recenso
be	voluntar
protection	protekto
crossing	krucumo
case	kazo
practice	praktiko
panorama	panoramo
dash	streko
side	latero
normal	normala
insane	dementa
real	reala
puzzled	perplexa
exquisite	bonega
communism	komunismo
occupant	okupanto
possessor	posedanto
agate	agato
plumage	plumaro
spice	spico
orchestra	orkestro
competition	konkurso
ecosystem	ekosistemo
metallic	metala
loft	granario
humour	humuro
substance	substanco
inorganic	neorganika
coat of arms	blazono
distinguished	distingita
abstractly	abstrakte
cloud	nubeto
auxiliary language	helpolinguo
brutish	brutala
fax	faxar
club	klubo
chess	shakoludo
difficult	desfacila
trajectory	trajektorio
caffeine	kafeino
competent	kompetenta
painful	doloriganta
corruption	korupto
contraction	kontrakto
remember	memorar
navigate	navigar
English	Angliana
English	Angla
English	Angliano
attach	atachar
attached	atachita
attachment	atachuro
goodness	boneso
improve	bonigar
winnow	fanar
damp	humida
condense	kondensar
solstice	solstico
burlesque	burleska
past	pasinta
past	pasinto
mixed-up	konfuza
ideal	idealo
delay	tardigar
tunnel	tunelo
Vatican	Vatikano
infection	infekto
darling	amorato
curious	kurioza
hurting	doloranta
learned	lernita
cold	kataro
perfect	perfekta
congratulate	gratular
enthusiasm	entuziasmo
silhouette	silueto
raw	kruda
adjourn	ajornar
four-dimensional	quardimensiona
search	sercho
intrigue	intrigar
important	importanta
acclimatise	aklimatar
decade	yardeko
baggage	bagajo
leap	springar
fable	fablo
diphthong	diftongo
reserved	rezervita
napalm	napalmo
tractor	traktoro
hysteria	histerio
label	etiketo
architect	arkitekto
apathy	apatio
municipality	komono
page	pagino
republic	republiko
diopter	dioptrio
corrupt	koruptar
conflict	konfliktar
confiscate	konfiskar
confide	konfidar
mobilize	mobilizar
inhibit	inhibar
incarcerate	enkarcerigar
disrupt	disruptar
provost	prevosto
support	suportar
bell	klosho
poplar	poplo
hook	hoketo
ideology	ideologio
frame	kadro
nightmare	koshmaro
sarcophagus	sarkofago
cocaine	kokaino
bar	tabuleto
microphone	mikrofono
villosity	vilo
permanently	permanante
defend	defensar
corset	korseto
picnic	pikniko
collar	kolumo
slipper	pantoflo
thicket	arbustaro
scenario	cenaro
escape	eskapar
earthworm	lombriko
erode	erodar
telepathy	telepatio
mullein	verbasko
draft	klado
abdicate	abdikar
abduct	abduktar
abolish	abolisar
abbot	abado
abbot	abadulo
abbess	abadino
abbotship	abadeso
abbatial	abadala
abbey	abadeyo
abbatial	abadeyala
knock	abatar
abscess	abceso
abscess	abceseskar
drown	dronar
intend	intencar
gong	tamtamo
merry	gaya
borough	burgo
perspective	perspektivo
languish	langorar
forgive	pardonar
octagon	oktogono
hectare	hektaro
Thuringia	Turingia
disarrange	desaranjar
arrange	aranjar
attack	atakar
dissident	disidento
sperm whale	kashaloto
surprise	surprizar
antique	antiquajo
exorcise	exorcisar
circumscribe	cirkumskribar
go around	cirkumirar
circumpolar	cirkumpola
marshal	marshalo
biosphere	biosfero
hemisphere	misfero
garrison	garnizonigar
biophysics	biofiziko
go wrong	misirar
bumblebee	burdono
correct	korektigar
combine	kombinar
layer	markotar
nibble	manjetar
wolf	volfo
depilate	senpiligar
promise	promisar
misjudge	misjudikar
misconceive	miskonceptar
misuse	misuzar
near	proxim
fool	mistifikar
hardware store	komerco di metalaji
irrational	neracionala
rational	racionala
anthropoid	antropoida
US	Usana
US	Usano
Appalachian	Apalacha
archangel	arkianjelo
remora	remoro
diffract	difraktar
mouthful	bokedo
arteriole	arterieto
exclusively	exkluzive
ampere	ampero
detective	detektivo
aeroplane	aviono
airship	aeronavo
plane	aviacilo
exposition	expozo
expressive	expresoza
expressive	expresema
resistant	rezistiva
resistant	rezistema
rigidity	rigideso
validity	valideso
reserve	rezervar
protect	protektar
include	inkluzar
included	inkluzita
preposition	prepoziciono
foreseeable	previdebla
motivate	motivizar
motivation	motivizo
mountainous	montoza
stenotype	stenotipo
stupidity	stulteso
stability	stabileso
subdue	submisar
submission	submiso
subjection	submiseso
succumb	sukombar
viscount	viskomto
viscosity	viskozeso
apparition	viziono
virology	virologio
medical	medikala
beggar	mendikero
beg	mendikar
metallic	metalala
complexity	komplexeso
blackhead	komedono
brutality	brutaleso
crenelle	krenelo
relativity	relativeso
reciprocity	reciprokeso
regularity	regulozeso
constancy	konstanteso
uniformity	uniformeso
monotony	monotoneso
monodromic	monodroma
monstrosity	monstreso
monstrosity	monstrajo
malachite	malakito
magical	magiala
sorcerer	sorcero
sorcerer	sorcisto
brocade	brokato
curiosity	kuriozeso
cowardly	deskurajoza
cowardice	deskurajo
courage	kurajo
cloudy	nuboza
unclouded	sennuba
cloudy	nubatra
obesity	obezeso
oblivion	oblivieso
cowardice	senkurajeso
pumice	pumico
innovation	noviguro
innovate	novigar
innovation	novigo
innovation	novigado
novelty	novajo
newness	noveso
nominal	nomala
nominal	nominala
capability	kapableso
incapability	nekapableso
impotency	nepotenteso
potency	potenteso
nervous	nervala
nervous	nervoza
nervous	nervika
ocarinist	okarinisto
stranglehold	okupesko
octant	oktanto
cause	senkauza
irrational	desracionala
disloyal	desloyala
context	kuntexto
rosacea	kuperoso
magmatic	magmoza
magmatic	magmala
nudity	nudeso
nudity	nudajo
rotation	rotaco
embryo	embriono
embryonic	embrionala
nudist	nudisto
disease	maladeso
warehouse	magazino
infallible	infalibla
infallibility	infalibleso
infirmity	infirmeso
hesitant	hezitema
hesitate	hezitar
hesitant	hezitanta
inflammable	inflamebla
ablaze	fairoza
ablaze	flamoza
falsity	falseso
fustian	fusteno
fumarole	fumarolo
smoke	fumizar
nuclear	nukleara
eighth	okimo
eighth	okima
abolition	aboliseso
abolition	aboliso
kingship	rejeso
muteness	muteso
dilapidation	kadukeso
ruination	ruineso
calmness	kalmeso
camaraderie	kamaradeso
chalice	kalico
wrapper	envelopilo
bedcover	litokovrilo
calender	kalandrar
gunpowder	kanonopulvero
powder	pulvero
polynuclear	polinuklea
binuclear	binuklea
electric	elektrala
electrically	elektrale
brake	frenagar
chills	fremiso
shudder	fremisar
shudder	fremisigar
fraction	fraciono
fractional	fracionala
porous	poroza
porosity	porozeso
polish	polisar
polishable	polisebla
potion	pociono
poinsettia	poinsetio
stuffing	polstero
polygamy	poligameso
platform	platformo
trinuclear	trinuklea
mobilizable	mobilizebla
greenfinch	verdrono
ventilator	ventilatoro
infusion	infuzo
infusion	infuzuro
induce	induktar
induction	indukto
armature	armaturo
armament	armizeso
armament	armizo
aromatic	aromoza
aromatic	aromatoza
arrogant	arogema
arrogance	arogemeso
suavity	komplezemeso
obsequious	komplezachema
exaggerate	exajerar
exaggeration	exajero
decor	dekoro
decorate	dekorar
fortress	fortreso
fortification	fortifiko
fortify	fortifikar
biconvex	bikonvexa
terracotta	terakoto
biped	bipeda
bitterness	bitreso
sweetness	dolceso
disgust	repugneso
falsification	falsigo
abrasive	abraziva
steepness	eskarpeso
abruptness	abrupteso
steep	eskarpa
inclination	inklineso
incline	inklinar
inclined	inklinita
innateness	inateso
innate	inata
congenital	kongenitala
conglomerate	konglomerato
ciliate	cilioza
ciliary	ciliala
cilice	cilico
camisole	kamizolo
precocious	prekoca
precarious	prekara
revocable	revokebla
prayer	pregotexto
prayer	prego-texto
antedate	predatizar
primrose	primrozo
precursor	prekursoro
promotion	promoco
meagerness	magreso
thin	sengrasa
fleshless	senkarna
fleshy	karna
fleshy	karnoza
ceramic	ceramikala
tisane	tizano
thymus	timuso
transformation	transformeso
transfiguration	transfigureso
odd	nepara
certainty	certeso
transistor	transistoro
tranquility	tranquileso
colonize	koloniigar
colonization	koloniigo
colonizer	koloniigisto
disturbed	destranquila
unquiet	netranquila
polyform	poliformo
dress	kuafar
make	kudigar
make	kudizar
tie	kunligar
blend	kunfuzar
convivial	kunvivebla
coupling	kupleso
callous	kaloza
