kiss	sun
wing	suwiwi
window	cendhéla
front	ngarep
write	nulis
sea	ꦠꦱꦶꦏ꧀
same	ꦥꦝ
same	ꦱꦩꦶ
month	ꦱꦱꦶ
bone	ꦧꦭꦸꦁ
leader	ꦥꦿꦩꦸꦏ
throw	sawat
paradise	ꦏꦪꦔꦤ꧀
young	ꦩꦸꦝ
meet	ketemu
watermelon	ꦱꦼꦩꦔ꧀ꦏ
grammar	ꦥꦫꦩꦱꦱ꧀ꦠꦿ
cut	ngethok
deaf	budheg
ascend	mundhak
full	wareg
limit	wates
furious	wengis
hump	wungkuk
trade	ꦢꦒꦁ
honey	ꦩꦢꦸ
face	ꦩꦸꦏ
mix	nyampur
ascend	pènèk
royal	ꦏꦿꦠꦺꦴꦤ꧀
body	ꦱꦫꦶꦫ
succeed	ꦱꦶꦢ
more	luwih
rope	ꦠꦭꦶ
incense	ꦢꦸꦥ
incense	ᬤᬸᬧ
mountain	ꦒꦶꦫꦶ
witness	ꦱꦼꦏ꧀ꦱꦶ
road	ꦩꦂꦒ
ꦩꦂꦒ	ꦩꦼꦂꦒ
ꦩꦂꦒ	ꦩꦼꦂꦒꦶ
respect	ꦱꦼꦩ꧀ꦧꦃ
full moon	ꦥꦸꦂꦤꦩ
sun	ꦱꦸꦂꦪ
moon	ꦕꦤ꧀ꦢꦿ
year	ꦮꦂꦱ
failure	ꦥꦸꦱ
train	ꦱꦼꦥꦸꦂ
ceremony	ꦲꦸꦥꦕꦫ
letter	ꦲꦏ꧀ꦱꦫ
scholar	ꦥꦤ꧀ꦝꦶꦠ
letter	ꦱꦸꦫꦠ꧀
world	ꦗꦒꦠ꧀
little finger	ꦗꦼꦤ꧀ꦛꦶꦏ꧀
wedding	ꦮꦶꦮꦲ
arrow	ꦥꦤꦃ
tin	ꦠꦶꦩꦃ
cotton	ꦏꦥꦱ꧀
umbrella	ꦥꦪꦸꦁ
worm	ꦕꦕꦶꦁ
knife	ꦭꦢꦶꦁ
father	ꦧꦥ
pond	ꦧ꧀ꦭꦸꦩ꧀ꦧꦁ
bulbul	ꦕꦸꦕꦏ꧀
bébék	ꦧꦺꦧꦺꦏ꧀
chest	ꦝꦝ
shore	ꦝꦫꦠ꧀
opium	ꦕꦤ꧀ꦢꦸ
stay	sipeng
I	ꦏꦸꦭ
