at	pie
most gaseous	visgāzveidīgāk
most ethnographic	visetnogrāfiskāk
most philosophical	visfilozofiskāk
most physical	visfizikālāk
most physical	visfiziskāk
most phonetic	visfonētiskāk
longest	visgarāk
medical	medicīniski
medical	medicīniskais
medical	medicīniskāks
more blackish	iemelnāks
more medicinal	medicīniskāk
more metaphysical	metafiziskāk
more left	kreisāk
more right-wing	labējāk
greater	lieliskāk
slower	lēnāk
more mathematical	matemātiskāk
smaller	mazāk
more mechanical	mehāniskāk
more blackish	melnīgāk
quieter	klusāk
more blackish	iemelnāk
more effective	iedarbīgāk
more bluish	iezilganāk
more yellowish	iedzeltenāk
more greenish	iezaļganāk
more reddish	iesarkanāk
more graying	iesirmāk
more pinkish	iesārtāk
more irrational	iracionālāk
hotter	karstāk
more medical	medicīniskākais
more blackish	iemelnākais
most blackish	visiemelnākais
most medical	vismedicīniskākais
most medical	vismedicīniskāk
most metaphysical	vismetafiziskāk
most left	viskreisāk
most right-wing	vislabējāk
most grateful	vislieliskāk
most mathematical	vismatemātiskāk
smallest	vismazāk
most mechanical	vismehāniskāk
quietest	visklusāk
most blackish	vismelnīgāk
most effective	visiedarbīgāk
most blackish	visiemelnāk
most bluish	visiezilganāk
most yellowish	visiedzeltenāk
most greenish	visiezaļganāk
most reddish	visiesarkanāk
most grayish	visiesirmāk
most pinkish	visiesārtāk
most irrational	visiracionālāk
hottest	viskarstāk
kind	mīļi
soft	mīksti
soft	miksti
soft	mīksni
moral	morālais
dear	mīlais
soft	mīkstais
soft	mikstais
soft	mīksnais
more moral	morālāks
dearer	mīļāks
dearer	mīlāks
softer	mīkstāks
softer	mikstāks
softer	mīksnāks
more moral	morālāk
dearer	mīļāk
dearer	mīlāk
soft	mīkstāk
soft	mikstāk
soft	mīksnāk
foggier	mākonāk
darker blue	mēļāk
more moral	morālākais
dearer	mīļākais
dearer	mīlākais
softer	mīkstākais
softer	mikstākais
softer	mīksnākais
most moral	vismorālākais
dearest	vismīļākais
dearest	vismīlākais
softest	vismīkstākais
softest	vismikstākais
softest	vismīksnākais
most moral	vismorālāk
dearest	vismīļāk
dearest	vismīlāk
softest	vismīkstāk
softest	vismikstāk
softest	vismīksnāk
foggiest	vismākonāk
darkest blue	vismēļāk
complete	pilnīgais
rough	rupji
complete	pilnīgi
civic	pilsoniski
thick	resni
thin	rēdi
civic	pilsoniskais
thin	plānais
thick	resnais
thin	retais
thin	rēdais
fuller	pilnīgāks
more civic	pilsoniskāks
thinner	plānāks
thicker	resnāks
thinner	retāks
thinner	rēdāks
rougher	rupjāk
fuller	pilnīgāk
more civic	pilsoniskāk
thinner	plānāk
thicker	resnāk
thinner	retāk
wilder	niknāk
more polar	polārāk
more talkative	runīgāk
more normal	normālāk
more abnormal	nenormālāk
more reddish	rudāk
more pinkish	rozīgāk
rosier	rožaināk
more orangish	oranžīgāk
more rational	racionālāk
more psychiatric	psihiatriskāk
more grayish	pelēcīgāk
fuller	pilnāk
thinner	rēdāk
fuller	pillāk
fuller	pilnīgākais
more civil	pilsoniskākais
thinner	plānākais
thicker	resnākais
thinner	retākais
thinner	rēdākais
fullest	vispilnīgākais
fullest	vispilsoniskākais
thinnest	visplānākais
thickest	visresnākais
thinnest	visretākais
thinnest	visrēdākais
roughest	visrupjāk
fullest	vispilnīgāk
most civic	vispilsoniskāk
thinnest	visplānāk
thickest	visresnāk
thinnest	visretāk
most polar	vispolārāk
wildest	visniknāk
most talkative	visrunīgāk
most normal	visnormālāk
most abnormal	visnenormālāk
most reddish	visrudāk
most pinkish	visrozīgāk
rosiest	visrožaināk
most orangish	visoranžīgāk
most rational	visracionālāk
most psychiatric	vispsihiatriskāk
most grayish	vispelēcīgāk
fullest	vispilnāk
thinnest	visrēdāk
fullest	vispillāk
warmer	siltāk
colder	saltāk
coldest	vissaltāk
warmest	vissiltāk
snow-white	sniegbalts
wintry	ziemīgs
snowy	sniegaini
winterly	ziemīgi
snow-white	sniegbalti
sexy	seksīgi
slim	slaidi
slim	slaiki
slippery	slideni
slippery	slidi
snowy	sniegainais
snowy	sniegbaltais
lazy	slinkais
winterly	ziemīgais
sexy	seksīgais
slim	slaidais
slim	slaikais
slippery	slidenais
slippery	slidais
thinner	tievāk
thinner	tievākais
thinnest	vistievākais
snowier	sniegaināks
more snow-white	sniegbaltāks
lazier	slinkāks
lazier	slinkāk
lazier	slinkākais
laziest	visslinkākais
laziest	visslinkāk
wintrier	ziemīgāks
wintrier	ziemīgāk
wintrier	ziemīgākais
wintriest	visziemīgākais
wintriest	visziemīgāk
Kurdish	kurdisks
Kurd	kurdiete
Kurdish way	kurdiski
Kurdish	kurdiskais
more Kurdish	kurdiskāks
more Kurdish way	kurdiskāk
more Kurdish	kurdiskākais
most Kurdish	viskurdiskākais
most Kurdish way	viskurdiskāk
more snow-white	sniegbaltāk
more snow-white	sniegbaltākais
most snow-white	vissniegbaltākais
sexier	seksīgākais
sexier	seksīgāks
tiny	sīki
tiny	sīkais
tinier	sīkāks
tinier	sīkāk
tinier	sīkākais
tiniest	vissīkākais
tiniest	vissīkāk
slimmer	slaidāks
slimmer	slaikāks
slipperier	slidenāks
slipperier	slidāks
snowier	sniegainākais
slimmer	slaidākais
slimmer	slaikākais
slipperier	slidenākais
slipperier	slidākais
snowier	sniegaināk
sexier	seksīgāk
slimmer	slaidāk
slimmer	slaikāk
slipperier	slidenāk
slipperier	slidāk
shallower	seklāk
sicker	slimāk
grayer	sirmāk
sicklier	slimīgāk
worse	sliktāk
more ancient	senāk
more reddish brown	sarkanbrūnāk
snowiest	vissniegainākais
sexiest	visseksīgākais
slimmest	visslaidākais
slimmest	visslaikākais
slipperiest	visslidenākais
slipperiest	visslidākais
snowiest	vissniegaināk
sexiest	visseksīgāk
slimmest	visslaidāk
slimmest	visslaikāk
slipperiest	visslidenāk
slipperiest	visslidāk
shallowest	visseklāk
sickest	visslimāk
grayest	vissirmāk
most sickly	visslimīgāk
worst	vissliktāk
most ancient	vissenāk
most reddish brown	vissarkanbrūnāk
strong	stipri
strong	stiprais
stronger	stiprāks
stronger	stiprāk
stronger	stiprākais
strongest	visstiprākais
strongest	visstiprāk
carpet	paklājs
secret	slepens
secret	slepenība
typical	vasarīgs
typical	rudenīgs
typical	pavasarīgs
famous person	slavenība
fame	slāve
people	melīgs
falsehood	melīgums
stomatological	stomatoloģiski
stomatological	stomatoloģiskais
more diligent	uzcītīgāk
more theological	teoloģiskāk
emptier	tukšāk
more sociological	socioloģiskāk
more hard-working	strādīgāk
more silvery	sudrabaināk
more silvery	sidrabaināk
most diligent	visuzcītīgāk
most theological	visteoloģiskāk
most empty	vistukšāk
most sociological	vissocioloģiskāk
most hard-working	visstrādīgāk
most silvery	vissudrabaināk
most	vissidrabaināk
number	pulksten
time period	vējains
scale	zvīņa
fish	zvīņains
bloody	asiņains
weak	vāji
weak	vājais
weaker	vājāks
more scientific	zinātniskāk
more greenish	zaļganāk
more bluish	zilganāk
more golden	zeltaināk
cooler	vēsāk
weaker	vājāk
weaker	vājākais
weakest	visvājākais
most scientific	viszinātniskāk
most greenish	viszaļganāk
most bluish	viszilganāk
most golden	viszeltaināk
coolest	visvēsāk
weakest	visvājāk
more ethical	ētiskāks
city	lielpilsēta
more evil	ļaunāk
more chemical	ķīmiskāk
more morose	īgnāk
shorter	īsāk
more geographic	ģeogrāfiskāk
more ethical	ētiskāk
more industrious	čaklāk
more industrious	čeklāk
more ethical	ētiskākais
most ethical	visētiskākais
most evil	visļaunāk
most chemical	visķīmiskāk
most morose	visīgnāk
shortest	visīsāk
most geographic	visģeogrāfiskāk
most ethical	visētiskāk
most industrious	visčaklāk
most industrious	visčeklāk
valuable	vērtīgi
valuable	vērtīgais
more valuable	vērtīgāks
more valuable	vērtīgāk
more valuable	vērtīgākais
most valuable	visvērtīgākais
most valuable	visvērtīgāk
medical	ārstnieciski
medical	ārstnieciskais
more medical	ārstnieciskāks
more medical	ārstnieciskāk
more medical	ārstnieciskākais
most medical	visārstnieciskākais
most medical	visārstnieciskāk
liquid	šķidri
liquid	šķidrais
more liquid	šķidrāks
more liquid	šķidrāk
more liquid	šķidrākais
most liquid	visšķidrākais
most liquid	visšķidrāk
free	svabadi
free	svabadais
freer	svabadāks
freer	svabadāk
freer	svabadākais
freest	vissvabadākais
freest	vissvabadāk
fat	tukli
fat	tuklais
fatter	tuklāks
fatter	tuklāk
fatter	tuklākais
fattest	vistuklākais
fattest	vistuklāk
old	vecais
older	vecāks
people	vecāki
older	vecākais
oldest	visvecākais
coarser	rupāks
coarser	rupākais
coarser	rupāk
coarsest	visrupākais
coarsest	visrupāk
rough	raupjš
beautiful	daiļš
goose bump	raups
roach	rauds
beauty	skaistums
beautiful	skaistulis
beautiful woman	skaistule
beautiful	daili
beauty	daiļums
coarse	rupjvīle
rupja vīle	rupja vīle
fine	smalkvīle
smalka vīle	smalka vīle
rasp	skrāpjvīle
rasp	skrāpvīle
skrāpju vīle	skrāpju vīle
pretty	glīts
prettiness	glītums
pretty	glīšs
education	izglītība
ugly	neglīts
ugliness	neglītums
beautiful woman	daiļava
youthful	jaunavīgs
clitoris	klitors
tickler	kuteklis
virginity	jaunavība
young	jaunava
constellation	zvaigznājs
constellation	Jaunava
constellation	Lauva
constellation	Vēzis
constellation	Dvīņi
towel	dvielis
twin	dvīnis
twin	dvīne
constellation	Vērsis
constellation	Auns
constellation	Zivis
constellation	Ūdensvīrs
merman	ūdensvīrs
constellation	Strēlnieks
rifleman	strēlnieks
infantryman	strēlniece
constellation	Skorpions
scorpion	skorpions
constellation	Svari
male roe deer	stirnāzis
constellation	Mežāzis
male roe deer	mežāzis
male roe deer	stirnuāzis
stirnu āzis	stirnu āzis
clock	pulkstens
clock	stundenis
clock	stundenieks
arrow	strēle
quickness	straujums
rapid	straujtece
Highness	augstība
river	lejtece
lejas tece	lejas tece
to	āran
look	lūk
famously	slaveni
famous	slavenais
more famous	slavenāks
more famously	slavenāk
more famous	slavenākais
most famous	visslavenākais
most famously	visslavenāk
secretly	slepeni
secret	slepenais
more secret	slepenāks
more secretly	slepenāk
more secret	slepenākais
most secret	visslepenākais
most secretly	visslepenāk
summerly	vasarīgi
summer	vasarīgais
more summer	vasarīgāks
more summer	vasarīgāk
more summer	vasarīgākais
most summer	visvasarīgākais
most summerly	visvasarīgāk
spring	pavasarīgi
typical	pavasarīgais
more typical	pavasarīgāks
more typical	pavasarīgāk
more typical	pavasarīgākais
most typical	vispavasarīgākais
most typical	vispavasarīgāk
autumnal	rudenīgi
autumnal	rudenīgais
more autumnal	rudenīgāks
more autumnal	rudenīgāk
more autumnal	rudenīgākais
most autumnal	visrudenīgākais
most autumnal	visrudenīgāk
lying	melīgi
lying	melīgais
more lying	melīgāks
more lying	melīgāk
more lying	melīgākais
most lying	vismelīgākais
most lying	vismelīgāk
windy	vējaini
windy	vējainais
windier	vējaināks
windier	vējaināk
windier	vējainākais
windiest	visvējainākais
windiest	visvējaināk
bloody	asiņaini
bloody	asiņainais
bloodier	asiņaināks
bloodier	asiņaināk
bloodier	asiņainākais
bloodiest	visasiņainākais
bloodiest	visasiņaināk
scaly	zvīņaini
scaly	zvīņainais
scalier	zvīņaināks
scalier	zvīņaināk
scalier	zvīņainākais
scaliest	viszvīņainākais
scaliest	viszvīņaināk
pretty	glīti
pretty	glītais
prettier	glītāks
prettier	glītāk
prettier	glītākais
prettiest	visglītākais
prettiest	visglītāk
people	sapņains
moonlight	mēnesnīca
mēness gaisma	mēness gaisma
cheerful	jautrs
playful	draisks
boastfulness	lielība
people	dzīvespriecīgs
happiness	dzīvesprieks
joy	prieks
dzīves prieks	dzīves prieks
cheerfulness	jautrība
playfulness	draiskums
playful	draiskulis
playful	draiskule
people	draiskulīgs
playfulness	draiskulība
joy	prieka
backpack	mugursoma
traveling bag	ceļasoma
suitcase	čemodāns
suitcase	koferis
bottle	pudele
thermos bottle	termospudele
termosa pudele	termosa pudele
thermos	termoss
bottle	budele
bottle	butele
cheap	lēts
cheapness	lētums
action	garlaicīgs
boredom	garlaicība
boredom	garlaiks
boringness	garlaicīgums
happiness	laime
sharp-eyed	acīgs
secretly	slepus
secretly	slepstu
secretly	slepstus
secretly	slepšu
secretly	slepšus
secretly	slēpu
sky	mākoņains
dewy	rasains
definite	ārējs
people	rātns
obedient	rātens
obedience	rātnība
obedience	rātnums
people	nerātns
naughtiness	nerātnība
naughty	nerātnis
naughty	nerātne
naughty	nerātni
elbow	elkonis
down	lejā
down	lejup
valley	ieleja
arrow	bulta
cheerful	jautri
cheerful	jautrais
more cheerful	jautrāks
more cheerful	jautrākais
most cheerful	visjautrākais
flexible	lokans
most cheerful	visjautrāk
playful	draiski
playful	draiskais
more playful	draiskāks
more playful	draiskāk
more playful	draiskākais
most playful	visdraiskākais
most playful	visdraiskāk
dreamy	sapņaini
dreamy	sapņainais
dreamier	sapņaināks
dreamier	sapņaināk
dreamier	sapņainākais
dreamiest	vissapņainākais
dreamiest	vissapņaināk
ugly	neglīti
ugly	neglītais
uglier	neglītāks
uglier way	neglītāk
uglier	neglītākais
ugliest	visneglītākais
ugliest way	visneglītāk
youthful	jaunavīgi
youthful	jaunavīgais
more youthful	jaunavīgāks
more youthful	jaunavīgāk
more youthful	jaunavīgākais
most youthful	visjaunavīgākais
most youthful	visjaunavīgāk
external	ārēji
external	ārējais
more external	ārējāks
more external	ārējāk
more external	ārējākais
most external	visārējākais
most external	visārējāk
flexibility	lokanība
flexibility	lokanums
obedient	rātni
obedient	rātnais
more obedient	rātnāks
more obedient	rātnāk
more obedient	rātnākais
most obedient	visrātnākais
jovial	dzīvespriecīgi
jovial	dzīvespriecīgais
more jovial	dzīvespriecīgāks
more jovial	dzīvespriecīgāk
more jovial	dzīvespriecīgākais
most jovial	visdzīvespriecīgākais
most jovial	visdzīvespriecīgāk
boring	garlaicīgi
boring	garlaicīgais
more boring	garlaicīgāks
more boring	garlaicīgāk
more boring	garlaicīgākais
most boring	visgarlaicīgākais
most boring	visgarlaicīgāk
playful	draiskulīgi
playful	draiskulīgais
more playful	draiskulīgāks
more playful	draiskulīgāk
more playful	draiskulīgākais
most playful	visdraiskulīgākais
most playful	visdraiskulīgāk
cloudy	mākoņaini
cloudy	mākoņainais
cloudier	mākoņaināks
cloudier	mākoņaināk
cloudier	mākoņainākais
cloudiest	vismākoņainākais
cloudiest	vismākoņaināk
dewy	rasaini
dewy	rasainais
dewier	rasaināks
dewier	rasaināk
dewier	rasainākais
dewiest	visrasainākais
dewiest	visrasaināk
Kurdistan	Kurdistāna
flexible	lokani
flexible	lokanais
more flexible	lokanāks
more flexible	lokanāk
more flexible	lokanākais
most flexible	vislokanākais
most flexible	vislokanāk
naughty	nerātnais
naughtier	nerātnāks
naughtier	nerātnāk
naughtier	nerātnākais
naughtiest	visnerātnākais
naughtiest	visnerātnāk
sharp-eyed	acīgi
sharp-eyed	acīgais
more sharp-eyed	acīgāks
more sharp-eyed	acīgāk
more sharp-eyed	acīgākais
most sharp-eyed	visacīgākais
most sharp-eyed	visacīgāk
cheap	lēti
cheap	lētais
cheaper	lētāks
cheaper	lētāk
cheaper	lētākais
cheapest	vislētākais
cheapest	vislētāk
smooth	gluds
smoothness	gludums
rough	negluds
roughness	negludums
coarseness	rupjums
roughness	raupjums
character	rupjība
cloudiness	mākoņainums
sunniness	saulainums
sunniness	saulainība
cloudiness	mākoņainība
fogginess	miglainums
strange	dīvains
strangeness	dīvainums
strangeness	dīvainība
fruitfulness	rasma
fruitfulness	rasme
fruitful	rasmīgs
fruitfulness	rasmīgums
rapid	krāce
joy	prieca
Antarctica	Antarktīda
continental	kontinentāls
fruitful	rasmīgi
fruitful	rasmīgais
more fruitful	rasmīgāks
more fruitful	rasmīgāk
more fruitful	rasmīgākais
most fruitful	visrasmīgākais
most fruitful	visrasmīgāk
obedient	rāteni
obedient	rātenais
more obedient	rātenāks
more obedient	rātenāk
more obedient	rātenākais
most obedient	visrātenākais
most obedient	visrātenāk
reddish	raudi
crying	raudam
brownish	raudais
more brownish	raudāks
more brownish	raudāk
more brownish	raudākais
most brownish	visraudākais
most brownish	visraudāk
beautiful	dailais
more beautiful	dailāks
more beautiful	dailāk
more beautiful	dailākais
most beautiful	visdailākais
most beautiful	visdailāk
strange	dīvaini
strange	dīvainais
stranger	dīvaināks
stranger	dīvaināk
stranger	dīvainākais
strangest	visdīvainākais
strangest	visdīvaināk
rough	raupji
rough	raupjais
rougher	raupjāks
rougher	raupjāk
rougher	raupjākais
roughest	visraupjākais
roughest	visraupjāk
beautiful	daiļi
beautiful	daiļais
more beautiful	daiļāks
more beautiful	daiļāk
more beautiful	daiļākais
most beautiful	visdaiļākais
most beautiful	visdaiļāk
smooth	gludi
smooth	gludais
smoother	gludāks
smoother	gludāk
smoother	gludākais
smoothest	visgludākais
smoothest	visgludāk
rough	negludi
rough	negludais
rougher	negludāks
rougher	negludāk
rougher	negludākais
roughest	visnegludākais
roughest	visnegludāk
Republic of Latvia	Latvijas Republika
smooth	gluži
smooth	glužais
smoother	glužāks
smoother	glužāk
smoother	glužākais
smoothest	visglužākais
smoothest	visglužāk
pretty	glīši
pretty	glīšais
prettier	glīšāks
prettier	glīšāk
prettier	glīšākais
prettiest	visglīšākais
prettiest	visglīšāk
flexible	lokais
more flexible	lokāks
more flexible	lokāk
more flexible	lokākais
most flexible	vislokākais
most flexible	vislokāk
continental	kontinentāli
continental	kontinentālais
more continental	kontinentālāks
more continental	kontinentālākais
most continental	viskontinentālākais
most continental	viskontinentālāk
Eurasia	Eirāzija
Oceania	Okeānija
place	kalnains
smooth	glužs
people	dzīvs
cutting object	truls
blunt	truļš
dullness	trulums
fishing	zveja
fishing	zvejasvieta
zvejas vieta	zvejas vieta
fisherman	zvejnieks
fisherwoman	zvejniece
fishing	zvejniecība
law	likums
legal	likumīgs
legality	likumīgums
legality	likumība
bill	likumprojekts
likuma projekts	likuma projekts
Arctic	arktisks
Antarctic	antarktisks
river	augštece
augšas tece	augšas tece
woody	mežains
state	mežainums
top	augša
up	augšā
up	augšup
up	sauļup
down	zemup
up	kalnup
translated	tulkots
translated	tulkotais
translatable	tulkojams
translated	tulkojis
translated	tulkojušais
translatable	tulkojamais
translation	tulkošana
machine translation	mašīntulkošana
translator	tulks
woody	mežaini
woody	mežainais
woodier	mežaināks
woodier	mežaināk
woodier	mežainākais
woodiest	vismežainākais
woodiest	vismežaināk
Arctic	arktiski
Arctic	arktiskais
more Arctic	arktiskāks
more artic	arktiskāk
more Arctic	arktiskākais
most Arctic	visarktiskākais
most Arctic	visarktiskāk
Antarctic	antarktiski
Antarctic	antarktiskais
mountainous	kalnaini
mountainous	kalnainais
more mountainous	kalnaināks
more mountainous	kalnaināk
more mountainous	kalnainākais
most mountainous	viskalnainākais
most mountainous	viskalnaināk
dull	truļi
blunt	truļais
blunter	truļāks
blunter	truļāk
blunter	truļākais
bluntest	vistruļākais
bluntest	vistruļāk
blunt	truli
blunt	trulais
blunter	trulāks
blunter	trulāk
blunter	trulākais
bluntest	vistrulākais
bluntest	vistrulāk
legal	likumīgi
legal	likumīgais
more legal	likumīgāks
more legal	likumīgāk
more legal	likumīgākais
most legal	vislikumīgākais
most legal	vislikumīgāk
sit	sēdēt
weep	raudāt
fool	duraks
certain card game	duraki
idiotic	idiotisks
imbecile	imbecils
moron	debils
people	muļķīgs
imbecility	imbecilitāte
debility	debilitāte
idiocy	idiotija
foolishness	muļķība
fool	muļķis
fool	muļķe
people	neprātīgs
people	miegains
sleepiness	miegainība
sleepiness	miegainums
talkative	mutīgs
oral	mutisks
written	rakstisks
folly	neprātība
folly	neprātīgums
fool	neprātis
fool	neprāte
apathy	apātija
folly	neprāts
written	rakstiski
written	rakstiskais
oral	mutiski
oral	mutiskais
chatty	pļāpīgi
chatty	pļāpīgais
chattier	pļāpīgāks
chattier	pļāpīgāk
chattier	pļāpīgākais
chattiest	vispļāpīgākais
chattiest	vispļāpīgāk
talkative	mutīgi
talkative	mutīgais
more talkative	mutīgāks
more talkative	mutīgāk
more talkative	mutīgākais
most talkative	vismutīgākais
most talkative	vismutīgāk
foolish	neprātīgi
foolish	neprātīgais
more foolish	neprātīgāks
more foolish	neprātīgāk
more foolish	neprātīgākais
most foolish	visneprātīgākais
most foolish	visneprātīgāk
idiotic	idiotiski
idiotic	idiotiskais
more idiotic	idiotiskāks
more idiotic	idiotiskāk
more idiotic	idiotiskākais
most idiotic	visidiotiskākais
most idiotic	visidiotiskāk
moronic	debilais
more moronic	debilāks
more moronic	debilāk
more moronic	debilākais
most moronic	visdebilākais
most moronic	visdebilāk
imbecil	imbecili
imbecil	imbecilais
more imbecile	imbecilāks
more imbecile	imbecilāk
more imbecil	imbecilākais
most imbecile	visimbecilākais
most imbecile	visimbecilāk
stupidly	muļķīgi
stupid	muļķīgais
stupider	muļķīgāks
stupider	muļķīgāk
stupider	muļķīgākais
stupidest	vismuļķīgākais
stupidest	vismuļķīgāk
apathetic	apātisks
loquacity	pļāpība
chatty	pļāpīgs
loquacity	pļāpīgums
loquacity	runība
loquacity	runīgums
loquacity	valodība
loquacity	valodīgums
living being	dzīvot
go	braukt
photograph	fotografēt
come	nākt
cover	klāt
sow	sēt
wind	tīt
sew	šūt
disappear	zust
tear	plēst
blow	pūst
jump	lēkt
eat	strēbt
push	stumt
like	patikt
stumble	klupt
begin	sākt
grow	augt
sink	stigt
open	atvērt
suspect	ģist
seem	šķist
apathetic	apātiski
apathetic	apātiskais
more apathetic	apātiskāks
more apathetic	apātiskāk
the apathetic	apātiskākais
most apathetic	visapātiskākais
most apathetic	visapātiskāk
living	dzīvais
more living	dzīvāks
more living	dzīvāk
more living	dzīvākais
most living	visdzīvākais
most living	visdzīvāk
be surly	īgt
forgetful person	aizmārša
forgetful	aizmāršīgs
forgetfulness	aizmāršība
forget	aizmirsīgs
forgetfulness	aizmirsība
oblivion	aizmirstība
suit	uzvalks
forget	piemirst
forget	aizmirstam
forget	aizmirstot
forgotten	aizmirsis
forget	aizmirsdams
forget	aizmirstošs
forgettable	aizmirstams
forgotten	aizmirsts
act	aizmiršana
forget	neaizmirst
stupid	dumais
stupider	dumāks
stupider	dumāk
stupider	dumākais
stupidest	visdumākais
stupidest	visdumāk
stupid	dumji
stupid	dumjais
more stupid	dumjāks
more stupid	dumjāk
more stupid	dumjākais
stupidest	visdumjākais
stupidest	visdumjāk
forget	aizmirsīgi
forget	aizmirsīgais
more forget	aizmirsīgāks
more forget	aizmirsīgāk
more forget	aizmirsīgākais
most forget	visaizmirsīgākais
most forget	visaizmirsīgāk
forgetful	aizmāršīgi
forgetful	aizmāršīgais
more forgetful	aizmāršīgāks
more forgetful	aizmāršīgāk
more forgetful	aizmāršīgākais
most forgetful	visaizmāršīgākais
most forgetful	visaizmāršīgāk
chatty person	pļāpa
chat	pļāpāt
chat	pļāpas
sister	māsa
lion	lauve
forget	mirst
stupid	dumjš
stupid	dums
stupidity	dumjība
stupidity	dumjums
change	mainīt
translate a little	patulkot
explain	iztulkot
perfective	pārtulkot
interpretation	iztulkojums
translation	pārtulkojums
us	mūs
in you	jūsos
in us	mūsos
in me	manī
him	viņu
to him	viņam
in him	viņā
to her	viņai
them	viņus
to them	viņiem
in them	viņos
to them	viņām
in them	viņās
of you	tevis
of	sevis
in	sevī
in you	tevī
to you	tevim
to me	manim
to	sevim
I	esmu
you	esat
I	biju
you	biji
we	bijām
you	bijāt
I	būšu
he	būs
we	būsim
you	būsit
you	būsiet
be	esiet
be	esot
be	esošs
inkwell	tintnīca
tool	daikts
work	darbarīks
darba rīks	darba rīks
instrument	rīks
be	esošais
been	bijis
been	bijušais
being	būdams
being	būšana
being	esamība
being	esība
existence	eksistence
situation	situācija
essential	būtisks
essence	būtība
being	būtne
position	stāvoklis
status	statuss
pregnancy	grūtniecība
pregnant woman	grūtniece
viewpoint	viedoklis
find	atrast
stupid	stulbs
stupid woman	stulbene
stupid man	stulbenis
stupidity	stulbums
stupidity	stulbība
tire	nogurt
tired	noguris
tiredness	nogurums
only	vienīgs
reindeer	ziemeļbriedis
exchange	apmaiņa
study	studējam
study	studējošs
study	studēdams
studied	studējis
can	studējams
studied	studēts
study	studējot
study	studēšana
interpret	iztulkojam
interpret	iztulkojošs
interpret	pārtulkojošs
interpreting	iztulkodams
interpreted	iztulkojis
translated	patulkojis
translated	pārtulkojis
interpretable	iztulkojams
translatable	patulkojams
translatable	pārtulkojams
interpreted	iztulkots
translated	patulkots
translated	pārtulkots
interpret	iztulkojot
interpretation	iztulkošana
translation	pārtulkošana
interpretation	interpretācija
forget	piemirstam
forget	piemirstošs
forget	piemirsdams
forgotten	piemirsis
forgettable	piemirstams
forgotten	piemirsts
forget	piemirstot
forget	nepiemirst
translate	netulkot
see	neredzēt
act	piemiršana
forget	neaizmirstam
forget	neaizmirstot
forget	neaizmirstošs
forget	neaizmirsdams
forgotten	neaizmirsis
unforgettable	neaizmirstams
forgotten	neaizmirsts
act	neaizmiršana
be	nebūt
I	neesmu
you	neesi
we	neesam
you	neesat
I	nebiju
you	nebiji
he	nebija
we	nebijām
you	nebijāt
I	nebūšu
you	nebūsi
he	nebūs
we	nebūsim
you	nebūsit
you	nebūsiet
do not be	neesiet
be	neesot
be	neesošs
been	nebijis
being	nebūdams
register	reģistrēt
register	nereģistrēt
interpret	neiztulkot
translate	nepatulkot
translate entirely	nepārtulkot
interpret	neiztulkojam
interpret	neiztulkojot
interpret	neiztulkojošs
mosquito	moskīts
mosquito	dzēlējods
stinger	dzēlējs
insect	dzelt
sting	dzelonis
metal	stieple
barbed wire	dzeloņstieple
barbed wire	dzeloņu stieple
thorn	ērkšķis
thorny	ērkšķains
thorniness	ērkšķainība
tick	ērce
suck	zīst
gooseberry	ērkšķoga
midge	miģele
blackfly	knislis
horsefly	dundurs
blackfly	knisis
blackfly	knausis
blackfly	knauslis
blackfly	knusis
thorn	ērkšis
thorn	ēršķis
interpret	neiztulkodams
translated	netulkojis
interpret	neiztulkojis
translated	nepatulkojis
translated	nepārtulkojis
translatable	netulkojams
interpretable	neiztulkojams
translatable	nepatulkojams
translatable	nepārtulkojams
translated	netulkots
interpret	neiztulkots
interpret	nepatulkots
interpret	nepārtulkots
translation	netulkošana
translation	neiztulkošana
plow	aršana
plow	nearam
plow	arošs
plow	nearošs
plow	ardams
plow	neardams
plowing	nearot
plowable	arams
plowable	nearams
plow	nearts
plow	nearšana
exchange	neapmainīt
swap	apmainām
swap	neapmainām
swap	apmainot
swap	neapmainot
swap	apmainošs
swap	neapmainošs
exchanged	apmainījis
exchanged	neapmainījis
swap	apmainīdams
swap	neapmainīdams
exchangeable	apmaināms
exchangeable	neapmaināms
exchanged	apmainīts
exchanged	neapmainīts
exchange	apmainīšana
exchange	neapmainīšana
till	saarts
perfective	saart
plow	arkls
two	divlemešu
plowshare	lemesis
five	pieclemešu
sniega arkls	sniega arkls
feudal land measure	arklis
replow	pārart
plowman	arājs
plowman	arējs
fill up	aizart
move close	pieart
till	noart
perfective	uzart
perfective	atart
cover	ieart
poison	ģifts
poisonous	indīgs
imperfective	indēt
poisonousness	indīgums
toxic	toksisks
toxicity	toksiskums
toxin	toksīns
intoxication	intoksikācija
poisoning	saindēšanās
overturn	izart
plow full	neaizart
till	neapart
plow open	neatart
plow in	neieart
plow out	neizart
plow completely	nenoart
plow a little	nepaart
plow again	nepārart
plow close by	nepieart
till	nesaart
till	neuzart
plow	aizaram
plow	neaizaram
till	aparam
till	neaparam
plow	ataram
plow	neataram
plow	iearam
plow	neiearam
plow	izaram
plow	neizaram
plow	noaram
plow	nenoaram
plow	paaram
plow	nepaaram
plow	pāraram
plow	nepāraram
plow	piearam
plow	nepiearam
till	saaram
till	nesaaram
till	uzaram
till	neuzaram
plowing full	aizarot
plowing full	neaizarot
