die	fa
trade	urhwebo
evening	urhatya
organization	uququzelelo
economy	uqoqosho
truth	uqobo
report	uqikelelo
robbery	uqhekezo
surgery	uqhaqho
development	uphuhliso
tour	ukhenketho
sunflower	ujongilanga
string	uhlohlo
kind	uhlobo
assault	uhlaselo
kraal	uhlanti
race	uhlanga
trip	uhambo
jump rope	ugqaphu
vaccination	ugonyo
hypochondria	ufuba
violence	udushe
fame	udumo
fatigue	udino
type	udidi
collection	udibaniso
orderliness	ucwangco
planning	ucwangciso
small	ucuntsu
excitement	uchulumanco
racism	ucalucalulo
calling	ubizo
plague	ubhubhane
cause	ubangwa
census	ubalo
economize	qoqosha
raise	qubula
complete	qukumbela
organize	ququzela
focus	qwalasela
confiscate	qwela
include	quka
focus	qondisa
certify	qinisela
ensure	qinisekisa
consider	qikelela
tighten	qinisa
plan	cwangcisa
go down	damba
alleviate	dambisa
discourage	dandaphisa
speak loudly	danduluka
weaken	dangalisa
speak slowly	cothisisa
insult	cukuceza
advance	cuphula
sacred	ngcwele
cheap	tshiphu
blue	blowu
modern	bumini
lukewarm	dikidiki
soft	fothofotho
crooked	khombonqa
bitter	krakra
crisp	kramkram
thin	krancukrancu
threadbare	kranyukranyu
smart	krelekrele
rude	krwada
ripening	krwala
soft	lafulafu
yellow	lubhelu
faint	lucinya
destitute	ludwayi
bent	lujiko
faint	luqhiza
lean	luqotho
sparse	lusali
tough	lushica
faint	luthuzula
hazy	luzizi
light	lwasulwasu
impeccable	maconini
obese	mafehlefehle
bleeding	magazana
stout	magidiva
rough	magqagala
sparse	magqagqa
wide	magwashu
ripening	magxwala
bloody	majajana
twisting	majikojiko
rheumatic	makhindilili
bright	makhwezikhwezi
sparse	malwangu
worsening	mandundu
desperate	mangxangxa
uncertain	manqumnqezi
pitiful	mantshiyane
ashamed	manyonywana
dirty	manyukunyuku
horrible	manyumnyezi
tired	maphikana
foremost	maqali
bright	maqaqawuli
cunning	maqhinga
twisting	maqhonga
lumpy	maqhubu
person	mashiyi
loathsome	masikizi
stony	matye
hairy	maxhonti
long	mbhoshonqa
thick	mboshololo
dented	mbuba
round	mbumbulu
wide	mcangalabe
brown	mdaka
withered	mfaca
spotted	mfakamfaka
soft	mfakaxa
withered	mfaxa
famished	mfebhemfebhe
soft	mfetyemfetye
sulky	mfingimfingi
soft	mfumanga
light	mfungumfungu
purple	mfusa
dirty	mfuxumfuxu
far away	mgama
hollow	mgobongqo
dusty	mgqubagqubane
ugly	mgwaxube
crisp	mkhuma
small	mncinane
dark	mngcumevu
soft	mpakumpaku
faded	mpatshampatsha
tawny	mpofu
beautiful	mpuluswa
missing	mpumpu
sloping	mqengqelezi
active	mqhathu
plump	mqhumqhum
subdued	msi
purple	msombo
innocent	msulwa
faded	mthuzula
straight	mtsetse
sour	muncu
slippery	mtyibilizi
dry	mvila
soft	mvungumvungu
lovely	myoli
sticky	ncangathi
little	ncini
red	nco
weak	ndongela
deep	ndongondongo
loose	ndyengelele
thick	ndyubululu
unripe	ngcaca
long	ngcaka
thin	ngcathalala
red	ngcitha
abstemious	ngcathu
brittle	ngcekengceke
lanky	ngcotshololo
hollowed	ngombonca
disciplined	ngqakamba
strong	ngqaqasana
thick	ngqeshemba
hard	ngqindilili
thick	ngqingqwa
harsh	ngqongqo
loose fitting	ngwabhungwabhu
tearful	nkenenkene
dirty	nkone
ugly	nkongolo
deep	nkontyo
tearful	nkozo
upright	nkqo
tall	nkwatyunkwatyu
wet	nqum
threadbare	ntsafuntsafu
bright white	ntshatha
cross	ntshingintshingi
weak	ntshunquntshunqu
withered	ntshwaxa
naked	ntswempu
viscous	ntubuntubu
soft	ntumntum
timid	nxwemnxwem
sodden	nyamfunyamfu
dirty	nyhibhilili
dirty	nyhukunyhuku
conscience	nyoshololo
thick	nzinzilili
deep	nzulu
high	phezulu
rough	rhabaxa
dirty	rhaphilili
dirty	rhaqalala
hot	shushu
free	simahla
sharp	tsolo
yellow	tyheli
thin	yacuyacu
train	qeqesha
elaborate	qhabalaka
contact	qhagamshelana
shine	qhakaza
bear fruit	qhama
guess	qaja
curse	qalekisa
create	qamba
shine	qaqamba
roll around	qengqeleka
fruit	isiqhamo
habit	isiqhelo
perfume	isiqholo
incense	isiqhumiso
limp	isiqhwala
half	isiqingatha
proof	isiqinisekiso
island	isiqithi
body	isiqu
end	isiphelo
solution	isiphumo
mirror	isipili
spinach	isipinatshi
police	isipolisa
ghost	isiporho
chapter	isiqendu
throat	umqala
back	umqalo
pillow	umqambelo
thorny	umqaqoba
criterion	umqathango
rooster	umqhagi
black	umqokolo
back	umqolo
cave	umqolomba
symbol	umqondiso
front	umphambili
barrel	umphanda
homepage	umphandle
breath	umphefumlo
top	umphezulu
cornbread	umphokoqo
lung	umphunga
beam	umqadi
time period	ilixa
wave	iliza
donation	ilizo
loner	ilolo
hump	ilunda
preparation	ilungiselelo
fever	icesina
alligator	icilikishe
dam	idamu
diamond	idayimani
desk	idesika
dictionary	idikshinari
address	idilesi
grape	idiliya
dinner	idinala
palace	ibhotwe
council	ibhunga
trunk	ibhuti
cluster	ibubu
rat	ibuzi
bed	ibhedi
barium	ibheriyam
tenant	ibhoda
bottle	ibhotile
butter	ibhotolo
bathtub	ibhafu
balloon	ibhaloni
banana	ibhanana
bank	ibhanki
bath	ibhavu
cinema	ibhayaskopho
Bible	iBhayibhile
butterfly	ibhabhathane
bathroom	ibhafrum
sin	isono
tribe	isizwana
generation	isizukulwana
recite	cengceleza
affect	chaphazela
interest	cacela
annoyed	caphuka
quote	caphula
quotation	isicatshulwa
request	isicelo
hailstorm	isichotho
fertilizer	isichumisi
detergent	isicoci
strategy	isicwangciso
degree	isidanga
dignity	isidima
headman	isibonda
benefit	isibonelelo
vision	isiboniso
duty	isibophelelo
servant	isicaka
servant	isicakazana
nausea	isicaphucaphu
aspect	ibakala
story	ibali
deputy	ibamba
parish	ibandla
claim	ibango
band	ibhanti
married woman	ibhinqa
pride	ibhongo
beetle	ibhungane
expression	ibinzana
side	icala
section	icandelo
dot	ichaphaza
drug	ichiza
earring	icuba
curve	igophe
hero	igorha
officer	igosa
leaf	igqabi
knobkierie	igqudu
caucus	igqugula
lawyer	igqwetha
refuge	igwiba
old person	iluphala
peanut	indongomane
grave	ingcwaba
chicken louse	ingolwane
newspaper article	inqaku
fist	inqindi
hut	inqugwala
deer	inxala
cut	inxeba
step	inyathelo
pear	ipere
cockroach	iphela
licence	iphephamvume
province	iphondo
dream	iphupho
blue buck	iphuthi
estate	ipulazi
hick	iqaba
office	iqashiso
group	iqela
padlock	iqhagi
proverb	iqhalo
small piece	iqhekeza
handkerchief	iqhiya
button	iqhosha
saw	isarha
tire	itayala
stool	ithafa
slope	ithambeko
luck	ithamsanqa
patriot	ithandazwe
ceremony	itheko
heifer	ithokazi
calf	ithole
interpreter	itoliki
onion	itswele
debt	ityala
chain	ityathanga
rich person	ityeba
bush	ityholo
smell	ivumba
model	umfuziselo
stokvel	umgalelo
distance	umgama
floor	umgangatho
line	umgca
mine	umgodi
bin	umgqomo
shepherd's tree	umgqomogqomo
assegai tree	umgxina
wetland	umgxobhozo
devil	umhendi
army	umkhosi
cold	umkhuhlane
cross	umnqamlezo
piece	umnqatha
carrot	umnqathe
anus	umnqundu
finger	umnwe
rope	umnxeba
door	umnyango
ancestor	umnyanya
basket	umnyazi
brand new	umnyonyovu
file	umqulu
goose	umrhanisi
diarrhea	umrhudo
fee	umrhumo
eyelash	umsebe
ditch	umsele
cholera	umsheko
earthworm	umsundulu
fart	umsuzo
ray	umtha
nerve	umthambo
content	umthamo
shrub	umthana
sneezewood	umthathi
law	umthetho
back	umthonyama
burden	umthwalo
pumpkin bean stew	umthwane
marriage	umtshato
broom	umtshayelo
cord	umtya
barrier	umvalo
exam	umviwo
reward	umvuzo
neck	umxhadi
instruction	umyalelo
message	umyalezo
garden	umyezo
liberation struggle	umzabalazo
struggle	umzamo
proverb	umzekeliso
example	umzekelo
drawing	umzobo
quail	isagwityi
separation	isahlukaniso
chapter	isahluko
finch	isahombe
building	isakhiwo
partridge	isakwatsha
directory	isalathiso
mat	isandlalo
savanna	isandle
ring	isangqa
speed	isantya
diviner	isanuse
ant	isaphompolo
expert	isazi
circle	isazinge
scientist	isazinzulu
ID	isazisi
announcement	isaziso
action	isenzeko
verb	isenzi
gift	isibabalo
math	isibalo
agreement	isibhambathiso
idiot	isibhanxa
noun	isibizo
rapist	isidlwengu
mealie	isidudla
gruel	isidudu
clan name	isiduko
anthill	isiduli
mud dauber	isidunguli
ideophone	isifanekisozwi
acronym	isifinyezo
heater	isifudumezi
paragraph	isigaba
vocabulary	isigama
event	isiganeko
million	isigidi
messenger	isigidimi
offender	isigilamkhuba
decision	isigqibo
patient	isigulana
illness	isigulo
permanent	isigxina
thug	isihange
joint	isihlomelo
language	isihlonipho
muscle	isihlunu
crowd	isihlwele
poetry	isihobe
hell	isihogo
scale	isikali
scissors	isikere
instrument	isikhaliso
mangrove	isikhangati
ship	isikhephe
sputum	isikhohlela
guide	isikhokelo
nail	isikhonkwane
station	isikhululo
cob	isikhwebu
parrot	isikhwenene
car	isikorokoro
weapon	isikrweqe
square	isikwere
lamentation	isililo
cripple	isilima
crop	isilimo
sage	isilumko
amendment	isilungiso
animal	isilwanyana
letter	isimamva
monkey	isimango
noun stem	isimaphambili
pronoun	isimelabizo
character	isimilo
dessert	isimuncumuncu
insect	isinambuzane
essay	isincoko
introduction	isingeniso
sorrow	isingqala
mortar	isingqusho
container	isingxobo
gender	isini
particle	isinkozo
waist	isinqa
important	isinxibamxhaka
bladder	isinyi
metal	isinyithi
purse	isipaji
clip	isipeliti
motion	isiphakamiso
blemish	isiphako
intersection	isiphambuka
heavy rain	isiphango
reckless person	isityhakala
scar	isiva
statement	isivakalisi
fancy clothing	isivatho
stopper	isivingco
contract	isivumelwano
crop	isivuno
hurricane	isivuthuvuthu
portion	isixa
village	isixeko
drowsiness	isiyezi
drug	isiyobisi
reason	isizathu
cannibal	idlabantu
ancestor	idlozi
village	idolophana
lighter	idosha
coat	idyasi
breastbone	igaga
contribution	igalelo
galleon	igaliyoni
gutter	igatha
artist	igcisa
drum	igubu
authority	igunya
hydrogen	ihayidrojini
prostitute	ihenyukazi
bush	ihlahla
dolphin	ihlengesi
bone	ihleza
leopard	ihlosi
weeping	ihluze
bar	ikantini
turkey	ikarukwini
cupboard	ikhabhathi
carbon	ikhabhoni
cardboard	ikhadbodi
credit card	ikhadi
calcium	ikhalsiyam
cabbage	ikhapetshu
kite	ikhayithi
café	ikhefi
pharmacy	ikhemesti
kitchen	ikhitshi
acne	ikhuphu
cricket	ikirikitsi
lead	ikogina
comma	ikoma
committee	ikomiti
capital city	ikomkhulu
copper	ikopolo
monster	ikrokro
male	ikunzi
village	ilali
lemon	ilamuni
following	ilandelayo
dowry	ilobola
township	ilokishi
lead	ilothe
chameleon	ilovane
kidney	ilinqe
license	ilayisensi
magnesium	imagneziyam
athlete	imbaleki
drought	imbalela
correspondence	imbalelwano
historian	imbalisi
influence	impembelelo
whistle	impempe
answer	impendulo
helichrysum	impepho
conflict	impikiswano
eland	impofu
faucet	impompi
success	impumelelo
nose	impumlo
lightning bird	impungulu
fox	impungutye
duiker	impunzi
flood	impuphuma
origin	imvelaphi
license	imvume
singer	imvumi
baby bottle	incanca
porcupine	incanda
nest	indlwana
witness	ingqina
elbow	ingqiniba
certain	ingqiniseko
prudence	ingqiqo
wheat	ingqolowa
clavicle	ingqosha
circle	ingqukuva
camel	inkamela
appearance	inkangeleko
stubbornness	inkani
tornado	inkanyamba
care	inkathalo
information	inkcazelo
explanation	inkcazo
culture	inkcubeko
information	inkcukacha
crook	inkewu
collection	inkitha
cruelty	inkohlakalo
head	inkolo
conference	inkomfa
foal	inkonyane
service	inkonzo
eyelid	inkophe
wasteland	inkqantosi
procedure	inkqubo
pipe	inqawa
lazy person	inqenerha
nut	inqoba
fighting	inqoza
gnu	inqu
principal	inqununu
cart	inqwela
wagon	inqwelo
airplane	inqwelo-moya
flea	intakumba
falcon	intambane
reporter	intatheli
tennis	intenetya
auction	intengiso
valley	intethe
valley	intili
sand	intlabathi
lifestyle	intlalo
welfare	intlalo-ntle
dough	intlama
meeting	intlanganiso
desert	intlango
fortune	intlantla
drunkard	inxila
diligence	inyameko
traditional healer	inyangi
truth	inyani
tear	inyembezi
calla	inyibiba
hip	inyonga
bile	inyongo
tree snake	inyushu
effort	inzame
quiet	inzolo
science	inzululwazi
advantage	inzuzo
dear	inzwakazi
part	ipaki
pole	ipala
parliament	ipalamente
peg	ipalana
porridge	ipapa
party	ipati
pineapple	ipayina
pick	ipeki
peach	ipesika
paint	ipeyinti
tight chest	iphika
post office	iposi
potassium	ipotaziyam
cricket	iqakamba
idea	iqhinga
rake	ireki
restaurant	irestyu
tax	irhafu
cotton	irhali
barley	irhasi
rose	irozi
protea	isadlunge
sulfur	isalfari
drunkard	iseli
sandwich	isengwitshi
slice	isilayi
silver	isilivere
soup	isuphu
pity	itarhu
technology	iteknoloji
taxi	iteksi
kraal	ithango
hope	ithemba
stuttering person	ithintitha
wander	bhadula
bake	bhaka
mad	bhanxeka
flicker	bhanyabhanya
knead	bhuca
rave	bhuda
blow	bhudla
smother	bhula
wallow	bhuqabhuqa
plead	bongoza
watch	bukela
bless	busisa
affirm	buyekeza
crumble	dilika
deal with	dilishana
necessary	dingeka
energetic	dlamka
frolic	dloba
push	dlokova
make	fumbatha
rise	funquka
lift	funqula
absorb	funxa
excess	gabadela
elope	gcagca
bask	gcakamela
fill out	gcwalisa
cut down	gebhula
throw	gibisa
cackle	gigitheka
take	godusa
draw back	goxa
burst	gqabhuka
radiate	gqatsa
complete	gqibezela
conspire	gqugula
invert	gqwetha
dig up	grumba
shroud	gubungela
rub	gudla
flush	gutyula
sentence	gwencela
rob	gwinta
visit	hambela
go	hambelana
rinse	hlambulula
rescue	hlangula
attack	hlasela
humiliate	hlazeka
renew	hlaziyeka
gossip	hleba
butcher	hlinza
comment	hlomla
bother	hlupha
peel	hluba
grow	hluma
hurt	hlungisa
decorate	hlwabisa
dance	jayiva
thicken	jiya
aim	jolisa
face	jongisa
look	jongeka
look	jongana
struggle	zabalaza
stir	zamisa
yawn	zamla
speak	zekelela
calm	zolisa
stalk	zungula
order	yaleza
conspire	yelenqa
delight	yolisa
put on	xwaya
brush	xubha
pluck	xhwitha
snatch	xhwila
take away	xhutha
jump	xhumaxhuma
leap	xhuma
rely	xhomekeka
slaughter	xhela
abuse	xhaphaza
lap	xhapha
overwork	xhamla
anxious	xhala
simmer	xhabha
tell	xelela
make dirty	xelegwisa
puzzled	xakeka
puzzle	xaka
valuable	xabiseka
valuable	xabana
vomit	tyekeza
cut	tyanda
plant	tyala
constrict	tyabula
expand	twezeka
spread	twabulula
hop	tsibatsiba
grate	tshweza
set	tshona
slide	tshitshilizela
impatient	tshiseka
change	tshintsha
sweep	tshayela
smoke	tshaya
choose	sungula
roll	songa
solve	sombulula
sit	singatha
rescue	sindisa
saw	sarha
answer	sabela
snore	rhona
crawl	rhubuluza
cough incessantly	rhogola
greedy	rhala
conscientious	rhabula
report	ripotha
limp	qhwalela
blink	qhwanyaza
grow	qhamuka
glorious	qaqawula
careful	qaphela
quench	qabula
rain	qabaqabaza
rinse	pulusha
approve	phumeza
develop	phuhlisa
escape	phapha
work	phangela
pack	pakisha
spread	nwenwa
celebrate	ntyiloza
speak vaguely	ntsonkotha
steal	ntshontsha
trick	ntlonta
reveal	ntama
sign	nqwala
slice	nqunqa
breastfeed	ncancisa
kiss	ncamisa
gulp	natha
crawl	nambuza
creep	nakekela
express	nabisa
gush	mpompoza
envy	monela
follow	landela
lost	lahleka
angry	kruquka
suspect	krokra
tear	krazuka
inflamed	krala
drizzle	khwitsha
start	khwezela
diligent	khuthala
defend	khusela
complete	khuphisana
download	khuphela
free	khululeka
rear	khulisa
trip	khuba
stumble	khubeka
lick	khotha
bark	khonkotha
point	khomba
believe	kholwa
satisfied	kholiseka
faith	khola
fool	khohlisa
snow	khithika
shine	khazimla
meet	khawulela
reach	khawula
trouble	khathaza
matter	khathaliseka
take care	khathalela
accompany	khapha
list	khankanya
seem	khangeleka
active	khalipha
here	apha
there	apho
yonder	phaya
temptation	ukuhendwa
employment	ukuqeshwa
radiation	ukugqatsa
God	uThixo
Jesus	uYesu
infection	ukusulela
witchcraft	ukuthakatha
election	ukukhetha
caring	ukukhathalela
swimming	ukudada
singing	ukucula
ending	ukuphela
dirtiness	ukungcola
crown	uchochoyi
stratum	ucamba
request	ingcelo
commencement	ingqalo
discipline	ingqeqesho
joy	ingcobo
trample	gqusha
chop	xabela
peck	xhola
cut	xoza
sit	ngcwala
annoy	chunuba
repair	xaxa
peel	xobula
covert	gqobhoka
lend	nqoma
go	nxula
cut	nqwema
pare	nqetha
go astray	gxaleka
curse	gcweka
stamp	ngqusha
suffer loss	xhwaleka
rich	isinhanha
crown	isithsaba
flea	idzedze
waste	inkcitho
bald head	inkqayi
trodden	ingqushu
axe	ingxabela
wood	isiqosho
hire	ingqesho
bag	ingxowa
medley	ingxube
expert	ingxothi
end	ingqibo
foam	igwebu
north	intla
emit	qhuma
hang	aneka
paw	inqina
today	namhlanje
corpse	isidumbu
fireplace	iziko
sky	isibhakabhaka
step	hlehla
puzzled	khohlwa
short	futshane
little	ncinci
few	mbalwa
so	njalo
frequently	rhoqo
ice	umkhenkce
because	kaloku
now	ngoku
hurt	khathazeka
worry	hlupheka
lest	hleze
outside	phandle
above	phezu
beyond	phesheya
sermon	intshumayelo
promise	thembisa
pail	ithunga
hiss	futha
ripe	vuthwa
voter	umvoti
say	tsho
this	obu
how	njani
smoke	umsi
race	dyarha
speak English	khumsha
axe	izembe
heart	iphaphu
last night	phezolo
scorpion	unomadudwane
increase	ongeza
Tuesday	uLwesibini
Sunday	iCawe
Monday	uMvulo
that over there	eliya
that over there	esiya
that over there	oluya
that over there	obuya
narrow	mxinwa
pomegranate	irharnate
peep	kroba
neck joint	inyholoba
document	uxwebhu
roar	umgqumo
weakness	intyafo
spread out	qhala
support	inkxaso
pea	i-ertyisi
English	isiNgesi
dead person	umfi
handle	isiphini
crowd	ingungane
hadada ibis	ing'ang'ane
abundance	indyebo
progeny	inzala
crush	graya
rub	dyibha
trot	qhuqha
God	NguThixo
saliva	amathe
I love you	ndiyakuthanda
eyelid	ukhophe
woman	ixhegokazi
kidney	intso
shoulder	iligxa
inhabitant	ummi
outshine	gqwesa
bruise	gruzuka
bruise	kruneka
bucket	i-emele
sow	hlwayela
strike	qhwitha
buck	inyamakazi
down	phantsi
roll	qengqa
then	ngoko
anger	ingqumbo
goose	urhanisi
slate	isileyiti
sledge	isileyi
dine	tyela
motorbike	isithuthuthu
persecute	tshutshisa
price	ixabiso
millipede	isongololo
soldier	isoldathi
sofa	isofa
towel	itawuli
factory	ishishini
possibly	mhlawumbi
round	ngqukuva
penetrate	tyhutyha
slip	tyibilika
watermelon	umxoxozi
swing	jiwula
jug	ijogo
divider	injoli
ink	i-inki
jam	ijam
what	ntoni
knot	iqhina
heap	ingqumba
billycan	ibhekile
lorry	ilori
pride	ikratshi
cabbage	ikhaphetshu
spinach	utyuthu
baker	umoji
mat	ukhuko
speech	intetho
enemy	utshaba
nephew	umtshana
tsotsi	utsotsi
progress	inkqubela
pot	ipotyi
postman	unoposi
bandit	isigebenga
hurl	gibisela
tin	igogogo
bellow	nxakama
wild cat	ingada
cake	ikeki
polish	ipholishi
switch	uswazi
scarcity	ukusweleka
supper	isopholo
chase	sukela
thread	umsonto
spinal cord	umnqonqo
butcherbird	inxanxadi
bicycle	ibhayisikile
south	umzantsi
dent	bothoza
error	isiphosiso
boat	isikhitshane
hero	ikroti
bar	ibhari
hotel	ihotele
sister	usisi
many	ninzi
wild berry	iqunube
pass	ipasi
Sunday	iCawa
murder	ukubulala
suicide	ukuzibulala
worship	qubuda
brightness	ubuqaqawuli
flatness	ubucwecwe
dried fruit	umqwayitho
heat	ubushushu
big toe	ubhontsi
tremble	ngcangcazela
lazy	nqena
hen	isikhukukazi
translate	guqulela
turmoil	ingxwabangxwaba
better	bhetele
right	ukunene
ounce	i-awunsi
pierce	gqobhoza
poor	hlwempuza
contest	umnyhadala
festival	umgcobo
kaross	umnweba
onus	imhemhe
especially	ngakumbi
truth	inene
grass warbler	unogqaza
happiness	inyhweba
tinkle	nqanqaza
crave	nqanqatheka
growl	gragrama
gap	isikhewu
muddle	gxobha
soon	kamsinyane
camp	ikampu
tractor	ugandaganda
sweetly	kamnandi
summit	incopho
clarification	ingcaciso
slant	kekela
and so on	njalo-njalo
outside	ngaphandle
beyond	ngaphaya
marksman	inkcani
bareness	uqhayi
mannerism	inkqwala
slip out	phuncula
cruel	khohlakala
complete darkness	thsu
unfortunately	ngelishwa
glutton	isirhofu
obtainable	qhothoza
serves you right	tshotsho
spoil	onakalisa
spit	tshica
kilt	umtsheke
bully	isikhwenkxe
orphan	inkedama
in time	ngexesha
church	icawa
donkey	i-esile
bittern	intsikizi
eaglet	ukhozana
squeak	tswitswiza
chirp	krikriza
have fun	onwabela
pleased	aneliseka
sad	dakumba
exactly	ncam
guitar	isiginkci
clumsy	bhutyubhutyu
peel off	bebulula
loosen	nyobulula
unravel	wulula
break	vitha
break	shwaqa
stretch	nwabulula
fast	ngamendu
kindheartedness	isisa
spray	tshiza
yoke	idyokhwe
perish	tshabalala
sprinkle	fefa
building site	isiza
opposition	inkcaso
brother-in-law	umkhwe
blunt	thuntubala
expert dancer	intshili
remnant	intsalela
drink	mhomha
mealie	umpha
push	tyhiliza
traverse	tyhutha
kaffir corn	amazimba
please	kholisa
rest	nyhamnyheka
mole	intuku
melon	intyabontyi
itch	hlohloza
shout	hlahlamba
chaff	umququ
ring	umsesane
lid	isiciko
examine	xilonga
tear	qwenga
meat	umqwayito
congress	ingqungquthela
writhe	penapena
quick grass	uqaqaqa
exterminate	gqogqa
disaster	isihelegu
rover	ihilihili
cover	isigqubuthelo
onionlike plant	igramza
oxhide	ingqongqo
miscellany	ingqokelela
fierce wrathful	isirhalarhume
fence	uthango
hedge	iheji
cotton plant	umqhaphu
tywaa	tywa
