Հայաստանի	Հայաստանի Հանրապետություն
Milky Way	Ծիր Կաթին
orbit	ուղեծիր
way	ուղի
darkness	մթություն
dark	մութ
Aromanian	առումիներեն
Provençal	պրովանսերեն
snail	խխունջ
Armenia	Հայք
brotherhood	եղբայրություն
union	միություն
weight	ծանրություն
vain	ունայն
vanity	ունայնություն
vanity of vanities	ունայնություն ունայնությանց
cold	ցուրտ
thief	գող
steal	գողանալ
Philistine	փղշտացի
receive	ընդունել
Ararat	Մասիս
sparrow	ճնճղուկ
Croatian	խորվաթերեն
Abkhazia	Աբխազիա
mountain	լեռնային
Օսիա	Հարավային Օսիա
Ossetia	Օսիա
Karabakh	Ղարաբաղ
respect	հարգանք
request	խնդրանք
supplicate	աղերսել
entreaty	աղերսանք
respect	հարգել
tasty	համով
delicious	համեղ
canned	պահածո
find	գտնել
find	գտածո
killer	մարդասպան
wiki	վիքի
tile	կղմինդր
birth	ծին
give birth	ծնել
be born	ծնվել
familiar	ծանոթ
notify	ծանուցել
notification	ծանուցում
know	ճանաչել
chew	ծամել
son	ուստր
ceiling	ձեղուն
twisted	ձառ
hair	ձար
cast	ձույլ
cast	ձուլել
բարի	բարի ախորժակ
dung	քակոր
abhor	գարշել
vow	ուխտ
tablecloth	սփռոց
sweat	քրտնել
sleep	քուն
burning	հանգչել
rope	ճոպան
million	միլիոն
gazillion	ծիծիլյոն
billion	միլիարդ
eighth	ութերորդ
ninth	իններորդ
tenth	տասներորդ
pimple	պզուկ
navel	պորտ
anatomy	կազմախոսություն
knucklebone	ճան
ոտքի	ոտքի մատ
price	գին
eel	օձաձուկ
foam	փրփուր
hammer	մուրճ
hammer	չագուչ
saw	սղոց
spade	բահ
adze	ուրագ
file	խարտոց
screwdriver	պտուտակահան
pliers	տափակաշուրթ
son of a whore	բոզի տղա
basket	զամբյուղ
early	շուտ
soon	շուտով
tendon	ջիլ
nerve	ջիղ
nerve	նյարդ
vital	կենսական
mode	կենցաղ
toast	կենաց
Serb	սերբ
I don't understand	չեմ հասկանում
object	օբյեկտ
layer	շերտ
pee-pee	պուպուլ
genitalia	ճուճուլ
Սերբիա	Սերբիա եւ Չեռնոգորիա
button	կոճկել
food	կեր
feed	կերակրել
your	քո
poison	թույն
hook	չանգալ
coming	եկ
my	իմ
you	Դուք
himself	ինքը
themselves	իրենք
who	ով
what	ինչ
which	որ
all	բոլոր
distinct	որոշ
other	այլ
other	ուրիշ
forest	անտառ
rope	պարան
skin	կաշի
bone	ոսկոր
fat	ճարպ
tail	ագի
kangaroo	ագեվազ
zelkova	ձելկվա
entrails	փորոտիք
spit	թքել
blow	փչել
breathe	շնչել
breath	շունչ
laugh	ծիծաղել
feel	զգալ
afraid	վախենալ
fear	վախ
die	մեռնել
die	մահանալ
die	զառ
killing	սպանություն
variant	տարբերակ
secret	գաղտնիք
secret	գաղտնի
different	տարբեր
hunt	որս
hit	հարվածել
blow	հարված
divide	բաժանել
fast	ծոմ
seasoning	համեմունք
also	նաեւ
also	նույնպես
same	նույն
extreme	չափազանց
chaos	քաոս
stab	խոցել
scratch	քորել
dig	փորել
swim	լողալ
bathe	լողանալ
step	քայլ
congratulation	շնորհավորանք
lie	խաբել
lie	ստել
lie	սուտ
sit	նստել
starling	սարյակ
turn	շրջվել
fall	ընկնել
fall	անկում
hold	բռնել
squeeze	սեղմել
morning	առավոտ
turnip	շաղգամ
beet	ճակնդեղ
beating	գան
beating	ծեծ
beat	ծեծել
clear	ջինջ
wipe	ջնջել
clean	մաքուր
clean	մաքրել
grief	մորմոք
sterile	ստերջ
posture	նիստ
beard	մորուք
flock	հորան
whole	ողջ
work	երկ
rub	շփել
wash	լվանալ
wash	լվացվել
wipe	սրբել
pull	ձգել
pull	քաշել
push	հրել
throw	նետել
tie	կապել
tie	կապ
get high	ուռել
freeze	սառչել
where	ուր
gunpowder	վառոդ
grave	գերեզման
cemetery	գերեզմանոց
smoke	ծուխ
set on fire	վառել
set on fire	այրել
shoot	կրակել
burn	վառվել
burn	այրվել
grey	մոխրագույն
scarlet	ալ
light	երկնագույն
rot	փտել
rot	նեխել
-y	-ոտ
dirty	կեղտոտ
dirt	կեղտ
spherical	կլոր
shame	ամոթ
բութ	բութ մատ
boring	ձանձրալի
pair	զույգ
odd	կենտ
smooth	ողորկ
dry	չոր
dry	չորացնել
dry up	չորանալ
right	ճիշտ
mistake	սխալ
close	մոտ
right	աջ
left	ձախ
in	մեջ
among	միջեւ
if	եթե
because	որովհետեւ
jungle	ջունգլի
Kyuregh	Կյուրեղ
Kyureghyan	Կյուրեղյան
essay	ակնարկ
flight	թռիչք
flight	փախուստ
կար	կար-չկար
լինում	լինում է, չի լինում
kite	ուրուր
kite	օդապարուկ
scratch	քերծել
flames	բոց
custom	մաքս
customs	մաքսատուն
device	սարք
equipment	սարքավորում
betrayal	դավաճանություն
traitor	դավաճան
betray	դավաճանել
fuck	քունել
advertisement	գովազդ
praise	գովել
angle	անկյուն
bodyguard	թիկնապահ
back	թիկունք
bitch	քած
coriander	գինձ
hammock	ցանցաճոճ
bell	զանգ
bell	զանգակ
bellflower	զանգակածաղիկ
ring	մատանի
ring	զանգել
phonecall	զանգահարել
visit	այցելություն
visit	այցելել
visit	այց
name	անվանել
coal	ածուխ
bituminous coal	քարածուխ
charcoal	փայտածուխ
lettuce	կաթնուկ
dessert	աղանդեր
salad	աղցան
starch	օսլա
snowball	ձնագնդիկ
robber	ավազակ
sunflower	արեւածաղիկ
lift	վերելակ
up	վեր
low	ցած
hoof	սմբակ
hoof	կճղակ
cabbage	քյալամ
going	ելք
zenith	զենիթ
nadir	նադիր
caravan	քարավան
column	սյուն
nomad	քոչվոր
melon	սեխ
melon	եմիշ
dogma	դոգմա
saddle	թամբ
bridle	սանձ
bridle	սանձել
release	արձակել
Assyrian	ասուրերեն
Akkadian	աքքադերեն
ink	թանաք
naked	տկլոր
naked	մերկ
temperature	ջերմաստիճան
degree	աստիճան
pedal	պեդալ
pedal	ոտնակ
agriculture	գյուղատնտեսություն
economy	տնտեսություն
sword	սուսեր
fencing	սուսերամարտ
fencer	սուսերամարտիկ
Georgia	Վիրք
Georgia	Ջորջիա
wig	կեղծամ
false	կեղծ
bleed	արյունահոսել
bleeding	արյունահոսություն
Istanbul	Կոստանդնուպոլիս
Constantinople	Պոլիս
each	յուրաքանչյուր
echo	արձագանք
echo	արձագանքել
cactus	կակտուս
prophet	մարգարե
prophecy	մարգարեություն
tent	վրան
colleague	գործընկեր
chin	կզակ
moustache	բեղ
swamp	ճահիճ
these	սրանք
put on	հագնել
put on	հագնվել
clover	երեքնուկ
bridge	կամուրջ
well	ջրհոր
furniture	կահույք
color	ներկել
pancreas	ենթաստամոքսային գեղձ
eyeball	ակնախնձոր
seal	ծովաշուն
scar	սպի
shinbone	ոլոք
rumination	որոճ
ruminate	որոճալ
Old Armenian	գրաբար
baklava	փախլավա
axiom	աքսիոմ
diocese	թեմ
embassy	դեսպանատուն
ambassador	դեսպան
chocolate	շոկոլադ
tribe	ցեղ
sect	աղանդ
Mormon	մորմոն
percent	տոկոս
rebel	ապստամբ
rebel	ապստամբել
rebellion	ապստամբություն
gum	լինդ
chewing gum	մաստակ
marijuana	մարիխուանա
atone	քավել
make a mountain out of a molehill	լվից ուղտ շինել
make	շինել
mayonnaise	մայոնեզ
swarm	պարս
school	վտառ
pack	ոհմակ
Greek	Եփեսոս
similar	նման
Inga	Ինգա
Agapi	Ագապի
Aida	Աիդա
Amalya	Ամալյա
Alvard	Ալվարդ
Ասիա	Կենտրոնական Ասիա
central	կենտրոնական
tundra	տունդրա
inkwell	կաղամար
squid	թանաքաձուկ
eyelash	թարթիչ
blink	թարթել
blink	ակնթարթ
fresh	հով
small	մանր
large	խոշոր
comb	սանր
comb	սանրել
comb	սանրվել
bat	չղջիկ
vacuum cleaner	փոշեծծիչ
vacuum cleaner	պիլասոս
vacuum	վակուում
teapot	թեյնիկ
teapot	չայնիկ
full	լիակազմ
full	լի
plenary	պլենար
ecclesiastical	եկեղեցական
vigour	ավյուն
listener	ունկնդիր
piece	հատ
grain	հատիկ
Venice	Վենետիկ
near	մերձ
cage	վանդակ
Darius	Դարեհ
Cyrus	Կյուրոս
satirist	երգիծաբան
satire	երգիծանք
nettle	եղինջ
Cyrillic alphabet	կիրիլիցա
squeeze	քամել
guerrilla	պարտիզան
raw	հում
raw material	հումք
soft	ամոք
kolkhoz	կոլխոզ
Soviet	սովետական
Pole	լեհ
centimetre	սանտիմետր
decimetre	դեցիմետր
millimetre	միլիմետր
instance	անգամ
last	վերջին
end	վերջ
speech	խոսք
bruise	կապտուկ
anointing	օծ
gilded	ոսկեզօծ
perfume	օծել
perfume	օծանելիք
botanical	բուսաբանական
botany	բուսաբանություն
eye	ակն
gem	թանկարժեք քար
precious	թանկարժեք
dear	թանկ
cheap	էժան
ash tree	հացի
seagull	որոր
Eurasian jay	ճայ
orphan	որբանալ
orphanhood	որբություն
sister-in-law	ներ
solve	լուծել
know	գիտեմ
lamb	գառ
New Delhi	Դելի
werewolf	մարդագայլ
clothing	զգեստ
otter	ջրասամույր
sable	սամույր
Muslim	մահմեդական
Islam	մահմեդականություն
Siberia	Սիբիր
Portuguese	պորտուգալերեն
Portuguese	պորտուգալացի
Portuguese	պորտուգալական
Carthage	Կարթագեն
European	եվրոպացի
European	եվրոպական
abroad	արտասահման
foreigner	արտասահմանցի
Mediterranean	միջերկրական
inter-	միջ-
international	միջազգային
organization	կազմակերպություն
rain	անձրեւել
consecrated	նշխար
czar	ցար
ring	ռինգ
demography	ժողովրդագրություն
nation	ժողովուրդ
tick	տիզ
lover	սիրած
lover	սիրեկան
gill	խռիկ
afar	հեռուստ
Assyria	Ասորեստան
Media	Մարաստան
աշխարհ	Մարաց աշխարհ
Mede	մար
Lycia	Լիկիա
Galatia	Գաղատիա
Caria	Կարիա
Paphlagonia	Պափլագոնիա
Thrace	Թրակիա
Pontus	Պոնտոս
Colchis	Կողքիս
Atropatene	Ատրպատական
Persis	Պարսք
Phrygia	Փռյուգիա
Pisidia	Պիսիդիա
Bosporus	Բյուզանդիոն
Sardis	Սարդես
Caucasian Albania	Աղվանք
particle	կ-
pimp	կավատ
armour	պահպանակ
keep	պահպանել
silence	լռություն
silent	լուռ
introduce	մտցնել
feed	կերցնել
faggot	գյոթվերան
chest	սնդուկ
district	մայլա
head	թաղապետ
lime	կիր
limestone	կրաքար
blanket	յորղան
blanket	վերմակ
ruby	հակինթ
okra	բամիա
pillow	բարձ
mandarin orange	մանդարին
thick	փարթամ
spite	ինադու
kiss	համբուրվել
desire	իղձ
wish	ցանկություն
willow	ուռի
Qur'an	Ղուրան
God	աստվածաշունչ
fishhook	կարթ
triangle	եռանկյուն
measure	չափել
geometry	երկրաչափություն
Odyssey	Ոդիսական
category	կատեգորիա
amphibian	երկկենցաղ
pump	պոմպ
diameter	տրամագիծ
radius	շառավիղ
radius	ճաճանչոսկր
ray	ճաճանչ
ray	ճառագայթ
beam	շող
forearm	նախաբազուկ
pre-	նախ-
circle	շրջանագիծ
circle	շրջան
around	շուրջ
calibre	տրամաչափ
limit	չափ
բոլոր	պրոլետարներ բոլոր երկրների, միացեք
unite	միանալ
join	միացնել
approach	մոտենալ
syllable	վանկ
vowel	ձայնավոր
consonant	բաղաձայն
logarithm	լոգարիթմ
algorithm	ալգորիթմ
page	էջ
hypotenuse	ներքնաձիգ
parallelogram	զուգահեռագիծ
parallel	զուգահեռ
equator	հասարակած
chronology	տոմար
ticket	տոմս
dictionary	բառգիրք
broad bean	բակլա
arithmetic	թվաբանություն
psychology	հոգեբանություն
measles	կարմրուկ
rubella	կարմրախտ
sick	հիվանդ
patience	համբերություն
chicken pox	ջրծաղիկ
influenza	գրիպ
common cold	մրսածություն
runny nose	հարբուխ
garden	բաղչա
new	թազա
fire	խարույկ
corpse	դի
daytime	ցերեկ
half	կես
halve	կիսել
today	այսօր
sunflower seed	սեմուշկա
proletarian	պրոլետար
capital city	Ցխինվալ
lilac	յասաման
Sukhumi	Սուխում
scientific	գիտական
musician	երաժիշտ
steward	տնտես
budget	բյուջե
volume	հատոր
ladies and gentlemen	տիկնայք եւ պարոնայք
lady	տիկին
Mrs.	տ-ն
Mr.	պ-ն
paron	պարոն
washing	լվացք
brother	ապեր
holmes	ապե
-ing	-մունք
feeling	զգացմունք
onomatopoeic	-յուն
պահոց	-ոց
vertebra	ող
spine	ողնաշար
row	շարք
mansard	մանսարդ
will	կամք
will	կտակ
bequeath	կտակել
testament	կտակարան
կտակարան	Հին կտակարան
կտակարան	Նոր կտակարան
given name	Գագո
given name	Գագ
journal	մատյան
letter	գիր
gambler	խաղամոլ
ardent	մոլի
homosexual	համասեռամոլ
sex	սեռ
homosexual	միասեռական
homosexuality	համասեռահակություն
homosexuality	հոմոսեքսուալիզմ
homosexuality	միասեռություն
flexible	ճկուն
flexibility	ճկունություն
massacre	ջարդ
necessary	անհրաժեշտ
sucking	խոճկոր
Hittite	խեթերեն
sucking	գոճի
cauliflower	ծաղկակաղամբ
cookie	պեչենի
carrot	ստեպղին
kiwi fruit	կիվի
mango	մանգո
phoenix	փյունիկ
Phoenicia	Փյունիկիա
weaver	ոստայնանկ
web	ոստայն
spiderweb	սարդոստայն
omelette	ձվածեղ
egg	հավկիթ
bud	բողբոջ
metabolism	նյութափոխանակություն
exchange	փոխանակություն
exchange	փոխանակել
aroma	բույր
car	ավտո
railroad car	վագոն
superlative degree	ամենա-
elative	-գույն
best	լավագույն
greatest	մեծագույն
particle	եղանակավորող բառ
before	առջեւ
nail	գամ
then	հետո
juice	հյութ
lobster	օմար
zephyr	զեփյուռ
till	ց-
hi	պրիվետ
thanks	մերսի
toward	դեպի
while	իսկ
why	ինչու
why	խի
whisky	վիսկի
zombie	զոմբի
chimney	ծխնելույզ
comet	գիսաստղ
hair	գես
male	եղջերու
reindeer	հյուսիսային եղջերու
moose	որմզդեղն
coffee	կոֆե
café	սրճարան
café	կաֆե
restaurant	ռեստորան
bathtub	վաննա
bathroom	լոգարան
bathhouse	բաղնիք
bathing	լոգանք
cold	սառն
brandy	կոնյակ
champagne	շամպայն
lemonade	լիմոնադ
sour	թթու
port wine	պորտվեյն
crocus	քրքմածաղիկ
saffron	քրքում
always	միշտ
masturbation	մաստուրբացիա
badminton	բադմինտոն
hockey	հոկեյ
American	ամերիկյան
American	ամերիկական
boxing	բոքս
onanism	օնանիզմ
masturbation	ձեռնաշարժություն
movement	շարժ
daisy	մարգարտածաղիկ
pearl	մարգարիտ
margarine	մարգարին
cry	բղավել
unleavened bread	բաղարջ
տնային	տնային աշխատանք
broom	ավել
dock	ավելուկ
superfluous	ավելորդ
more	առավել
more	եւս
than	քան
more	ավելի
add	հավելել
his	նրա
dandelion	խատուտիկ
ski	դահուկ
ice skate	չմուշկ
run	վազք
birthmark	խալ
golf	գոլֆ
sumo	սումո
wrestler	ըմբիշ
wrestling	ըմբշամարտ
table tennis	սեղանի թենիս
գիրքս	-ս
գիրքդ	-դ
ստացական	ստացական հոդ
UN	ՄԱԿ
ազգերի	Միավորված ազգերի կազմակերպություն
ice cream	մառոժնի
fin	լողակ
milking	կիթ
caviar	ձկնկիթ
caviar	խավիար
milk	կթել
սպիտակ	սպիտակ աքիս
ermine	կնգում
jackal	շնագայլ
jackal	շակալ
hyena	բորենի
mink	ջրաքիս
oyster	ոստրե
arctic fox	բեւեռային աղվես
polar	բեւեռային
thrush	կեռնեխ
blackbird	սեւ կեռնեխ
hoopoe	հոպոպ
roe deer	այծյամ
antelope	այծքաղ
oriole	պիրոլ
gazelle	վիթ
herd	նախիր
herd	բոլուկ
drove	երամակ
firefly	լուսատտիկ
firefly	կայծոռիկ
cub	կորյուն
young	ձագ
bear cub	քոթոթ
puppy	թուլա
puppy	լակոտ
colt	մտրուկ
colt	քուռակ
marshal	մարաջախտ
satellite	սպուտնիկ
polar bear	սպիտակ արջ
female	մատակ
mare	զամբիկ
Sahara	Սահարա
mule	ջորի
blackberry	մոշ
blackberry	մոշենի
berry	հատապտուղ
raspberry	ազնվամորի
Limpopo	Լիմպոպո
Dniester	Դնեստր
Kurdistan	Քրդստան
many	բազում
Indonesian	ինդոնեզերեն
Malay	մալայերեն
Pashto	աֆղաներեն
Pashto	փուշթու
Bengali	բենգալերեն
Balochi	բելուջերեն
Bactrian	բակտրերեն
Sogdian	սողդերեն
adverb	-բար
greedily	ագահաբար
adverb	-որեն
cunning	խորամանկ
slyly	խորամանկորեն
Gaulish	գալլերեն
Hebrew	եբրայեցի
yid	ջհուդ
Tat	թաթերեն
Talysh	թալիշերեն
Tagalog	տագալերեն
Tatar	թաթար
Mongol	մոնղոլ
Tocharian	թոխարերեն
ծով	Հարավ-Չինական ծով
Afghan	աֆղան
Bulgarian	բուլղարացի
Italian	իտալացի
Huang He	Հուանհե
Yangtze	Յանցզի
Seine	Սեն
Loir	Լուար
Punjab	Փենջաբ
kebab	քյաբաբ
spit	շամփուր
mineral water	հանքային ջուր
Vistula	Վիսլա
blog	բլոգ
Ancient Greek	հին հունարեն
Latvian	լատիշերեն
Welsh	վալլիերեն
Avestan	զենդերեն
Assyrian	ասորեստաներեն
Old English	անգլոսաքսոներեն
Old Prussian	հին պրուսերեն
Old Persian	հին պարսկերեն
Middle Persian	պահլավերեն
Middle Persian	միջին պարսկերեն
middle	միջին
Yagnobi	յաղնոբերեն
Uzbek	ուզբեկ
crisis	ճգնաժամ
Parthian	պարթեւերեն
Polabian	պոլաբերեն
Saka	սակերեն
Scythian	սկյութերեն
Swahili	սվահիլի
Sinhalese	սինհալերեն
holiday	տոն
feast	խնջույք
feast	քեֆ
effort	ճիգ
apostrophe	ապաթարց
orchid	խոլորձ
taxi	տաքսի
Eastern Armenian	արեւելահայերեն
Western Armenian	արեւմտահայերեն
pornography	պոռնոգրաֆիա
luck	ղսմաթ
Nazi	նացիստ
Nazi	ֆաշիստ
acrobat	ակրոբատ
Astrakhan	Աստրախան
Dagestan	Դաղստան
ծոց	Ֆիննական ծոց
Kamchatka	Կամչատկա
Դոնի	Դոնի Ռոստով
Sochi	Սոչի
Transcaucasia	Անդրկովկաս
trans-	անդր-
Կովկաս	Հարավային Կովկաս
Italian	իտալական
effendi	էֆենդի
Nagorno-Karabakh Republic	Լեռնային Ղարաբաղի Հանրապետություն
NKR	ԼՂՀ
medal	մեդալ
Roman	հռոմեացի
Christian	քրիստոնյա
mandrake	մանրագոր
kef	կայֆ
under	տակ
meadow	մարգագետին
fur	մորթի
honeymoon	մեղրամիս
consul	հյուպատոս
potter	կավագործ
potter	բրուտ
pocket	ջեբ
pocket	գրպան
drugstore	դեղատուն
fairy tale	հեքիաթ
balalaika	բալալայկա
quarantine	կարանտին
widow	այրի
upon	մակ-
adrenal gland	մակերիկամ
epididymis	մակամորձի
pizza	պիցցա
Winnie the Pooh	Վինի-Թուխ
Piglet	Պիտաչոկ
Piglet	Դնչիկ
bus	ավտոբուս
hearth	օջախ
pasha	փաշա
chick	ճուտ
world's oldest profession	հնագույն մասնագիտություն
riddle	հանելուկ
cigar	սիգար
card	քարտ
playing card	խաղաքարտ
map	քարտեզ
landowner	աղա
client	մուշտարի
axis	առանցք
bouquet	ծաղկեփունջ
Armenian genocide	Մեծ Եղեռն
tragic	եղերական
Holocaust	Հոլոքոստ
club	ակումբ
level	մակարդակ
Kuyumjian	Կույումջյան
belt	ղայիշ
belt	գոտի
frying pan	թավա
blind	քոռ
Jesuit	ճիզվիտ
shop	դուքան
cum	թոխում
servant	ծառա
lymph	ավիշ
թերակղզի	Արաբական թերակղզի
Arabic	արաբական
Syriac	ասորի
anteater	մրջնակեր
neck	պարանոց
swine flu	խոզագրիպ
oligarch	օլիգարխ
evening	երեկո
midnight	կեսգիշեր
almost	համարյա
almost	գրեթե
Czechoslovakia	Չեխոսլովակիա
fuck off	սիկտիր
սիկտիր	սիկտիր անել
սիկտիր	սիկտիր ըլնել
fuck off	սիկտիրվել
քաշել	սիկտիրը քաշել
naked	չփլախ
poor	աղքատ
jug	կուժ
capable	կարող
pain	ցավ
ache	ցավել
inhabited	շեն
pharaoh	փարավոն
battery	մարտկոց
argument	վեճ
argue	վիճել
family	ընտանիք
domestic	ընտանի
soap	սապոն
gloomy	մռայլ
being	գոյ
existence	գոյություն
գոյություն	գոյություն ունենալ
document	փաստաթուղթ
fact	փաստ
-logist	-բան
lawyer	փաստաբան
suffix	վերջածանց
affix	ածանց
prefix	նախածանց
Slav	սլավոն
Slavic	սլավոնական
patronymic	հայրանուն
necktie	փողկապ
bitter	կծու
bitter	մռու
bitter	դառն
chalk	կավիճ
sapphire	շափյուղա
crystal	բյուրեղ
earring	գինդ
աշտարակ	Բաբելոնյան աշտարակ
Noah	Նոյ
-th	-րդ
terrorist	ահաբեկիչ
Babylon	Բաբելոն
Lomavren	բոշայերեն
Bosha	բոշա
Romani	գնչուերեն
compel	ստիպել
force	ուժ
hurriedly	ստեպ
common	հասարակ
society	հասարակություն
sociology	սոցիոլոգիա
sociology	հասարակագիտություն
economics	տնտեսագիտություն
anthropology	մարդաբանություն
vegetable oil	ձեթ
olive tree	ձիթենի
olive	ձիթապտուղ
split	չաթլախ
draconian	դրակոնյան
a little	մի քիչ
dinosaur	դինոզավր
on	վրա
through	միջով
tram	տրամվայ
trolley bus	տրոլեյբուս
submarine	սուզանավ
dirigible	դիրիժաբլ
divorce	ապահարզան
divorce	ամուսնալուծություն
nuptial	հարսանյաց
festival	հանդես
nuptial	հարսանեկան
shop	կրպակ
end	թլիփ
circumcise	թլփատել
-less	-ատ
circumcision	թլփատություն
body	ջան
ladder	փիլաքյան
Teletubby	հեռուստացմփորիկ
tele-	հեռուստա-
television	հեռուստատեսություն
knitting needle	ճաղ
railing	ճաղաշար
hospital	հիվանդանոց
Vahram	Վահրամ
Vram	Վռամ
Baghramyan	Բաղրամյան
kiss	պաչ
kiss	պաչել
mosque	մզկիթ
minaret	մինարեթ
treasure	գանձ
Saint Petersburg	Լենինգրադ
Gandzak	Գանձակ
attaboy	մալադեց
attaboy	ապրես
Texas	Տեխաս
hippopotamus	բեգեմոտ
numerator	համարիչ
declaring	հայտարար
fraction	կոտորակ
Greek	հունական
inaccessible	անհասանելի
amoeba	ամեոբա
ծով	Կարիբյան ծով
Caribbean	կարիբյան
window	պատուհան
Kazakh	ղազախ
bathyscaphe	բատիսկաֆ
being	էակ
window	լուսամուտ
without	առանց
joy	խինդ
Tajik	տաջիկ
be able to	կարողանալ
ebb	տեղատվություն
Armenian	հայոց
Armenian	հայք
history	պատմություն
full stop	վերջակետ
Armenian	֊
hyphen	ենթամնա
hyphen	միության գծիկ
stroke	գծիկ
hyphen	դեֆիս
hyphen	միացման գծիկ
punctuation	կետադրություն
punctuation mark	կետադրական նշան
Proto-Indo-European	հնդեվրոպական նախալեզու
Indo-European	հնդեվրոպական
protolanguage	նախալեզու
Armenian	՟
honour	պատիվ
comma	ստորակետ
կետ	կետ-ստորակետ
․	միջակետ
Armenian	՝
Azeri	ազերի
Aramaean	արամեացի
little finger	ճկույթ
galaxy	գալակտիկա
chariot	մարտակառք
litter	զիբիլ
empty	թափել
box	յաշիկ
bucket	դույլ
garbage can	զիբիլի վեդրո
garbage can	զիբիլի յաշիկ
garbage can	զիբիլի աման
garbage can	աղբարկղ
garbage can	աղբաման
place	զիբիլանոց
sauce	սոուս
satsivi	սացիվի
stutter	կակազել
blow one's nose	խնչել
wrinkle	կնճիռ
Ob	Օբ
archaeology	հնագիտություն
theorem	թեորեմ
chrysanthemum	ոսկեծաղիկ
CIS	ԱՊՀ
Commonwealth of Independent States	Անկախ Պետությունների Համագործակցություն
state	պետություն
RA	ՀՀ
RF	ՌԴ
Ռուսաստանի	Ռուսաստանի Դաշնություն
federation	դաշնություն
UAE	ԱՄԷ
կոմիտե	ՊԱԿ
SSR	ՍՍՀ
AIDS	ՁԻԱՀ
ձեռքբերովի	ձեռքբերովի իմունային անբավարարության համախտանիշ
HIV	ՄԻԱՎ
մարդու	մարդու իմունային անբավարարության վիրուս
immune system	իմունային համակարգ
hakuna matata	լոխ լավ ա
goalkeeper	դարպասապահ
Khachik	Խաչիկ
Khachatryan	Խաչատրյան
ablaut	ձայնդարձ
հատուկ	հատուկ անուն
common noun	հասարակ անուն
singular	եզակի թիվ
singular	եզակի
plural	հոգնակի
plural	հոգնակի թիվ
closed	փակ
Bel	Բել
Yervand	Երվանդ
Nisibis	Մծբին
mummy	մումիա
Edessa	Եդեսիա
Հայք	Մեծ Հայք
Հայք	Փոքր Հայք
Alania	Ալանք
Cappadocia	Գամիրք
Ասիա	Փոքր Ասիա
district	գավառ
Gugark	Գուգարք
Sophene	Ծոփք
Georgians	վիրք
Moxoene	Մոկք
Agrippa	Ագրիպպաս
Apollo	Ապոլլոն
Եվրոպա	Արեւելյան Եվրոպա
Եվրոպա	Արեւմտյան Եվրոպա
Եվրոպա	Հյուսիսային Եվրոպա
Եվրոպա	Կենտրոնական Եվրոպա
Եվրոպա	Հարավային Եվրոպա
Balkans	Բալկաններ
lost	կորչել
lose	կորցնել
աչքիս	աչքիս վրա
press	արդուկել
press	հարթուկել
հարթուկել	հարթուկել մեկի գլուխը
iron	հարթուկ
rabiz	ռաբիզ
visa	վիզա
Kampuchea	Կամպուչիա
oasis	օազիս
now	այժմ
now	հիմա
cell phone	բջջային հեռախոս
Andrew	Անդրեաս
Timothy	Տիմոթեոս
Achilles	Աքիլլես
Tiberius	Տիբերիոս
Homer	Հոմերոս
Philip	Փիլիպպոս
Gayane	Գայանե
Helen	Հեղինե
Hripsime	Հռիփսիմե
Zaruhi	Զարուհի
Tigranuhi	Տիգրանուհի
Galilee	Գալիլեա
Caesarea	Կեսարիա
Samaria	Սամարիա
Good Samaritan	բարի սամարացի
Judah	Հուդա
top	գագաթ
alchemist	ալքիմիկոս
alchemy	ալքիմիա
ակն	ակն ընդ ական, ատամն ընդ ատաման
ակն	ակն ընդ ական
ataman	ատաման
principle	սկզբունք
beginning	սկիզբ
begin	սկսել
mediopassive voice	-վ-
lance	գեղարդ
dead	դիակ
outside	դուրս
sugar cane	շաքարեղեգ
throe	երկունք
lay	ածել
tin	թիթեղ
axis	լիսեռ
crowded	խուռն
grapheme	գրույթ
phoneme	հնչույթ
sound	հնչյուն
diphthong	երկբարբառ
lipstick	շրթներկ
lens	ոսպնյակ
bead	ուլունք
ear	ունկ
hoof	պճեղ
nasal	ռնգական
light	փայլակ
ninja	նինջա
sanitary napkin	միջադիր
liver	ջիգյար
ombudsman	օմբուդսմեն
bundle	խուրձ
lid	խուփ
inquiry	հարցում
question	հարցմունք
roaming	դեգերում
Bosphorus	Բոսֆոր
Dardanelles	Դարդանել
Մարմարա	Մարմարա ծով
Abyssinia	Հաբեշստան
թերակղզի	Բալկանյան թերակղզի
Ազովի	Ազովի ծով
swear	երդվել
curse	հայհոյել
promise	խոստում
deviation	խոտորում
divergence	դիվերգենցիա
rank	կոչում
motion	շարժում
dormouse	քնամուկ
field mouse	դաշտամուկ
Aytsemnik	Այծեմնիկ
frost	եղյամ
peppergrass	կոտեմ
base	հիմունք
metrology	չափագիտություն
բևեռ	Հարավային բեւեռ
բեւեռ	Հյուսիսային բեւեռ
ծով	Արալյան ծով
base	հիմք
ryegrass	որոմ
alarm clock	զարթուցիչ
histology	հյուսվածքաբանություն
motorcycle	մոտոցիկլետ
bike	մոտո
fable	առակ
position	պաշտոն
worship	պաշտամունք
boil	եփել
Vladimir	Վլադիմիր
dynasty	դինաստիա
Togarmah	Թորգոմ
grandson	ծոռ
Urmia	Կապուտան
Çoruh	Ճորոխ
լեռնաշխարհ	Հայկական լեռնաշխարհ
mountainous	լեռնաշխարհ
ulna	արմունկոսկր
Urartu	Ուրարտու
cook	խոհարար
Erik	Էրիկ
