he	on
opposites attract	protiklady se přitahují
opposite	protiklad
Ptolemy	Ptolemaios
syphilis	lues
Acropolis	Akropolis
repent	kát
we all make mistakes	i mistr tesař se někdy utne
partially	částečně
untangle	rozmotat
masturbation	masturbace
have sex	souložit
erection	erekce
coitus interruptus	přerušovaná soulož
masturbation	sebeukájení
skupinový sex	skupinový sex
orální sex	orální sex
whore	děvka
revmatoidní artritida	revmatoidní artritida
computer science	informatika
přímý marketing	přímý marketing
cattle	dobytek
real estate	nemovitost
generalissimo	generalissimus
loader	zavaděč
interdisciplinary	interdisciplinární
interdisciplinary	mezioborový
multidisciplinary	víceoborový
multidisciplinary	multidisciplinární
řídící znak	řídící znak
regulate	regulovat
liar	lhář
regulation	regulace
fencing	šerm
fencer	šermíř
poštovní schránka	poštovní schránka
zastávka na znamení	zastávka na znamení
federation	federace
confederation	konfederace
get off	vystoupit
disembark	vylodit
get on	nastoupit
počáteční stav	počáteční stav
koncový stav	koncový stav
degree of freedom	stupeň volnosti
breeder	chovatel
seesaw	houpačka
homeostasis	homeostáza
bound variable	vázaná proměnná
free variable	volná proměnná
dial	ciferník
sluneční hodiny	sluneční hodiny
control panel	řídící panel
vise	svěrák
clamp	svěrka
logarithm	logaritmus
component	komponenta
tuple	uspořádaná n-tice
neighboring	sousední
power transmission system	přenosová soustava
sedací nerv	sedací nerv
trough	koryto
Markovův řetězec	Markovův řetězec
Markovův proces	Markovův proces
Čebyševova nerovnost	Čebyševova nerovnost
populační průměr	populační
bijection	bijekce
surjection	surjekce
isomorphism	izomorfismus
homomorphism	homomorfismus
algebraic structure	algebraická struktura
tell	vyprávět
hello	čau
lobbyist	lobbista
Hercules	Herkules
safe	sejf
connecting rod	ojnice
bismuth	bismut
very	hodně
projection	promítání
consistent	konzistentní
consistent	bezesporný
consistency	bezespornost
consistency	konzistence
coherent	soudržný
coherence	soudržnost
political science	politologie
political scientist	politolog
psychologist	psycholog
psychiatrist	psychiatr
kognitivní psychologie	kognitivní psychologie
developmental psychology	vývojová psychologie
sociální psychologie	sociální psychologie
biological psychology	biologická psychologie
biological	biologický
srovnávací psychologie	srovnávací psychologie
personality psychology	psychologie osobnosti
positivism	pozitivismus
logický pozitivismus	logický pozitivismus
neopositivism	novopozitivismus
logical	logický
conciliatory	smířlivý
conciliatoriness	smířlivost
extroversion	extroverze
introversion	introverze
choleric person	cholerik
phlegmatic person	flegmatik
melancholic person	melancholik
feuilleton	fejeton
business card	vizitka
integrální počet	integrální počet
diferenciální počet	diferenciální počet
integral	integrál
derivative	derivace
differentiable	diferencovatelný
infinitesimální počet	infinitesimální počet
infinitezimální počet	infinitezimální počet
diferenciální rovnice	diferenciální rovnice
parciální derivace	parciální derivace
stumble	zakopnout
bankovní regulace	bankovní regulace
enforce	prosadit
deregulate	deregulovat
deregulation	deregulace
attract	přitáhnout
attractor	atraktor
podivný atraktor	podivný atraktor
strange	podivný
special	speciální
general	obecný
fázový prostor	fázový prostor
Foucaultovo kyvadlo	Foucaultovo kyvadlo
angular velocity	úhlová rychlost
basin	umyvadlo
neodymium	neodym
oxid uhličitý	oxid uhličitý
kysličník uhličitý	kysličník uhličitý
genetic	genetický
úplný svaz	úplný svaz
meet	průsek
arithmetic	aritmetický
informační věda	informační věda
informační věda	informační
Stalinist	stalinista
deadlock	uváznutí
uninteresting	nezajímavý
highlighter	zvýrazňovač
livelihood	obživa
bellows	měch
opening	otvor
strojní inženýrství	strojní inženýrství
electrical engineering	elektrotechnika
electrical engineering	elektrické inženýrství
electrical engineering	elektroinženýrství
chemical engineering	chemické inženýrství
genetic engineering	genetické inženýrství
genetic engineering	genové inženýrství
activism	aktivismus
activist	aktivista
activistic	aktivistický
ambiguous	mnohoznačný
unambiguous	jednoznačný
strojový kód	strojový kód
code	kód
mechanics	mechanika
mechanical	mechanický
strojový kód	strojový
electromechanical	elektromechanický
mechanic	mechanik
braincase	mozkovna
self-criticism	sebekritika
criticism	kritika
kritický bod	kritický bod
konstruktivní kritika	konstruktivní kritika
destruktivní kritika	destruktivní kritika
criticize	kritizovat
sector	sektor
sector	výseč
segment	úseč
village	Bory
small wheel	kolečko
religious studies	religionistika
theologian	teolog
theological	teologický
Czech studies	bohemistika
provazový žebřík	provazový žebřík
including	včetně
environmental science	environmentalistika
vázaný oscilátor	vázaný oscilátor
harmonický oscilátor	oscilátor
harmonický oscilátor	harmonický oscilátor
harmonic	harmonický
harmonické kmitání	kmitání
oscillate	kmitat
oscillate	oscilovat
frequency	kmitočet
frequency	četnost
harmonic oscillation	harmonické kmitání
machine learning	strojové učení
computer vision	počítačové vidění
bound	vázaný
loosely coupled	volně vázaný
tightly coupled	těsně vázaný
freely	volně
tightly	těsně
quantum mechanics	kvantová mechanika
quantization	kvantování
quantization	kvantizace
sampling	vzorkování
vzorkovací frekvence	vzorkovací frekvence
signal processing	zpracování signálu
signal	signál
regularity	pravidelnost
irregularity	nepravidelnost
humidity	vlhkost
cyberneticist	kybernetik
cybernetic	kybernetický
sura	súra
mow	kosit
very	velmi
if you trust before you try, you may repent before you die	důvěřuj, ale prověřuj
self-defense	sebeobrana
self-love	sebeláska
self-pity	sebelítost
personality disorder	porucha osobnosti
trestný čin	trestný čin
harden	kalit
utopené náklady	náklady
transakční náklady	transakční náklady
variabilní náklady	variabilní náklady
fixní náklady	fixní náklady
transaction	transakce
transaction	transakční
transakční analýza	transakční analýza
conspiracy	spiknutí
conspirator	spiklenec
ally	spojenec
allied	spojenecký
divide	rozdělit
criterion	kritérium
criterion	kriterium
glossary	glosář
glossary	slovník pojmů
glossary	slovníček pojmů
incarnation	vtělení
reincarnation	převtělení
physicalism	fyzikalismus
radiology	radiologie
misanthropy	misantropie
analytic philosophy	analytická filozofie
payslip	výplatní páska
ostenzivní definice	ostenzivní definice
definition by pointing	definice ukázáním
circular definition	definice kruhem
relapse	recidiva
incessant	neustálý
Highway Code	pravidla silničního provozu
prohibition	zákaz
undertake	podniknout
undertake	podnikat
entrepreneur	podnikatel
floor tile	dlaždice
tile	kachle
ceramic	keramický
social science	společenská věda
válečný vůz	válečný vůz
chronology	chronologie
entertainer	bavič
turquoise	tyrkys
turquoise	tyrkysový
rotten	shnilý
biometrics	biometrie
jewellery	bižuterie
drum	buben
wavelength	vlnová délka
gauze	gáza
cotton candy	cukrová vata
sugar	cukrový
treat	zacházet
treatment	zacházení
inadvertently	nechtěně
masochist	masochista
ulice	ul.
garbage man	popelář
stress	stres
touch	dotek
pacifism	pacifismus
quinine	chinin
morphine	morfium
kyselina acetylsalicylová	kyselina acetylsalicylová
antibiotic	antibiotický
several	několik
chest of drawers	komoda
euphemism	eufemismus
transliteration	transliterace
transcription	transkripce
phonetic alphabet	fonetická abeceda
mezinárodní fonetická abeceda	mezinárodní fonetická abeceda
typography	typografie
typesetting	sazba
Sisyphus	Sisyfos
kritický racionalismus	kritický racionalismus
arcade	arkáda
protactinium	protaktinium
Nashova rovnováha	Nashova rovnováha
Shapleyho hodnota	Shapleyho hodnota
Martian	Marťan
binary relation	binární relace
opponent	protihráč
anorexia	anorexie
eat	sníst
aritmetický výraz	aritmetický výraz
logický výraz	logický výraz
atomism	atomismus
atomism	atomizmus
extension	extenze
intension	intenze
evening star	večernice
intensional	intenzionální
extensional	extenzionální
intenzionální logika	intenzionální logika
semanticist	sémantik
syntactician	syntaktik
electronic mail	elektronická pošta
electronic	elektronický
phonology	fonologie
diskurzní analýza	diskurzní analýza
discourse analysis	analýza diskurzu
diskurzivní analýza	diskurzivní analýza
thematic map	tématická mapa
thematic map	tematická mapa
svěrací kazajka	svěrací kazajka
skim	listovat
řízený slovník	řízený slovník
znalostní báze	znalostní báze
base	báze
basal	bazální
circumscribe	opsat
inscribe	vepsat
fictitious	smyšlený
datový typ	datový typ
golfer	golfista
lunch	obědvat
ash	popel
round	kulatý
swell	otéct
derivative	derivát
finanční derivát	finanční derivát
hunt	lovit
wipe	utřít
New England	Nová Anglie
jižní Evropa	jižní Evropa
severní Evropa	severní Evropa
západní Evropa	západní Evropa
imperialist	imperialista
vyzváněcí melodie	vyzváněcí melodie
vyzváněcí tón	vyzváněcí tón
time bomb	časovaná bomba
formální jazyk	formální jazyk
formal	formální
informal	neformální
formality	formalita
ceremony	obřad
ceremonial	obřadný
index	indexovat
indexing	indexování
tranzitivní uzávěr	tranzitivní uzávěr
deduktivní uzávěr	deduktivní uzávěr
chlorine	chlor
emperor	císař
empress	císařovna
empire	císařství
duchy	vévodství
arch-	arci-
principality	knížectví
prince	kníže
princess	kněžna
duke	vévoda
duchess	vévodkyně
definition	vymezení
spell	hláskovat
spelling	hláskování
modální sloveso	modální sloveso
modal verb	způsobové sloveso
historiography	historiografie
historiography	dějepisectví
annotation	anotace
pine	sosna
knihovnictví	knihovnictví a informační věda
library science	knihovnictví
numerical	numerický
notice	všimnout
catharsis	katarze
cartilaginous	chrupavčitý
astmatický záchvat	astmatický záchvat
inhaler	inhalátor
bronchodilator	bronchodilatátor
bronchodilator	bronchodilatancium
serum	sérum
solvable	řešitelný
unsolvable	neřešitelný
solvability	řešitelnost
Baptist	baptista
provisional	prozatímní
burst	prasknout
hrudní dutina	hrudní dutina
hrudní koš	hrudní koš
affect	postihnout
treadmill	běžecký pás
stationary bicycle	rotoped
kosterní soustava	kosterní soustava
opěrná soustava	opěrná soustava
theophylline	theofylin
opaque	neprůhledný
transparence	průhlednost
opacity	neprůhlednost
swollen	oteklý
malaise	malátnost
drainage	odvodnění
abscess	absces
chronic obstructive pulmonary disease	chronická obstrukční plicní nemoc
COPD	CHOPN
GDR	NDR
chronic	chronický
acute	akutní
Chechen Republic	ČR
diferenciální diagnóza	diferenciální diagnóza
differential	diferenciální
aetiology	etiologie
determinist	determinista
allegedly	údajně
alleged	údajný
pharyngitis	faryngitida
gargle	kloktat
gargling	kloktání
whistle	pískat
whistling	pískání
atopy	atopie
atopic	atopický
adrenergic	adrenergní
cholinergic	cholinergní
anticholinergic	anticholinergní
mast cell	mastocyt
cromolyn	kromolyn
peptidergic	peptidergní
histamine	histamin
antihistamine	antihistaminikum
hay fever	senná rýma
lék	lék na předpis
volně prodejný lék	volně prodejný lék
nedocromil	nedokromil
allergen	alergen
hives	kopřivka
urticaria	urtikárie
itch	svědět
itchy	svědivý
allergic rhinitis	alergická rýma
allergic	alergický
spirometry	spirometrie
spirometer	spirometr
sinusitis	sinusitida
rhinitis	rinitida
immunotherapy	imunoterapie
emergency	pohotovost
anaphylaxis	anafylaxe
anaphylactic	anafylaktický
anafylaktický šok	anafylaktický šok
injekční stříkačka	injekční stříkačka
granulocyte	granulocyt
basophilic	bazofilní
basophil	bazofil
eosinophil	eosinofil
artemisia	pelyněk
ragweed	ambrózie
loratadine	loratadin
cetirizine	cetirizin
panther	panter
logotherapy	logoterapie
mind map	myšlenková mapa
flatterer	lichotník
flattery	pochlebování
flattery	lichocení
vividness	živost
imprecise	nepřesný
acetaminophen	acetaminofen
nesteroidní antiflogistikum	nesteroidní antiflogistikum
nesteroidní protizánětlivý lék	nesteroidní protizánětlivý lék
Reyeův syndrom	Reyeův syndrom
syndrome	syndrom
concept map	pojmová mapa
tame	zkrotit
taming	zkrocení
elucidate	ozřejmit
delivery	podání
hand	podat
palm	hrst
handball	házená
bibliographic	bibliografický
bibliographic database	bibliografická databáze
bourgeoisie	buržoazie
competitive	soutěžní
distance	dál
Marxism	marxismus
analytic	analytický
synthetic	syntetický
synthesis	syntéza
rhetorical	rétorický
sound mind	ve zdravém těle zdravý duch
healthy	zdravý
unhealthy	nezdravý
circumspect	obezřetný
circumspection	obezřetnost
Hammurabi	Chammurapi
Hammurabi	Chammurabi
bed sheet	prostěradlo
disease	choroba
imunoglobulin E	imunoglobulin E
Magdaléna	Magda
podnikatelský záměr	podnikatelský záměr
pluralist	pluralista
baby	mimino
appendix	dodatek
pranayama	pránajáma
plenipotentiary	zplnomocněnec
nausea	nevolnost
polygamy	mnohoženství
bloudivý nerv	bloudivý nerv
hlavový nerv	hlavový nerv
trojklaný nerv	trojklaný nerv
armpit	podpaží
podjazykový nerv	podjazykový nerv
mozkový nerv	mozkový nerv
čichový nerv	čichový nerv
zrakový nerv	zrakový nerv
okohybný nerv	okohybný nerv
kladkový nerv	kladkový nerv
odtahující nerv	odtahující nerv
lícní nerv	lícní nerv
přídatný nerv	přídatný nerv
jazykohltanový nerv	jazykohltanový nerv
předsíňohlemýžďový nerv	předsíňohlemýžďový nerv
sluchověrovnovážný nerv	sluchověrovnovážný nerv
peak flow meter	výdechoměr
otoscope	otoskop
otoscopy	otoskopie
eardrum	bubínek
incus	kovadlinka
malleus	kladívko
stapes	třmínek
paranasální dutina	paranasální dutina
paranazální dutina	paranazální dutina
vedlejší dutina	vedlejší dutina
vedlejší dutina nosní	vedlejší dutina nosní
charlatan	šarlatán
relic	relikvie
reasonable	rozumný
haste	spěch
hurry	spěchat
take part	účastnit
participation	účast
stitch	steh
totální válka	totální válka
mobilization	mobilizace
Silesian	slezština
Silesian	Slezan
nouveau riche	zbohatlík
tinderbox	křesadlo
tinder	troud
steel	ocílka
flint	pazourek
free	osvobodit
excellent	vynikající
nostalgia	nostalgie
nostalgic	nostalgický
solitaire	pasiáns
cover	krýt
incredible	neuvěřitelný
interpersonal	mezilidský
inhuman	nelidský
repentance	pokání
lullaby	ukolébavka
slide	skluzavka
slide	klouzačka
water slide	tobogán
slide	sesuv
uninitiated	nezasvěcený
dedicated	zasvěcený
cache	mezipaměť
mysterious	tajemný
mysterious	záhadný
secret	tajemství
Carpathian Ruthenia	Podkarpatská Rus
total order	úplné uspořádání
lineární uspořádání	lineární uspořádání
sincerity	upřímnost
insincerity	neupřímnost
diligence	píle
adoption	adopce
adoption	osvojení
phenomenology	fenomenologie
carnivorous	masožravý
insectivorous	hmyzožravý
herbivorous	býložravý
omnivorous	všežravý
explicable	vysvětlitelný
inexplicable	nevysvětlitelný
great power	velmoc
superpower	supervelmoc
expert	odborník
no.	č.
methodology	metodika
Aristotelian	aristotelský
platonic	platonický
reception	recepce
receive	obdržet
secretary	sekretářka
secretary	tajemník
unwritten	nepsaný
ease	pohoda
retain	ponechat
Venetian blind	žaluzie
philosopher	filosof
Anglo-Saxon	anglosaština
Old English	stará angličtina
Anglo-American	angloamerický
show off	předvádět
opposite	opačný
opposite	naproti
broker	zprostředkovatel
broker	makléř
adjutant	pobočník
marabou	marabu
hraniční přechod	hraniční přechod
bail	kauce
surroundings	okolí
broken	rozbitý
break	rozbít
heron	volavka
telephony	telefonie
chase	honba
viable	životaschopný
viability	životaschopnost
continuous	spojitý
continuity	spojitost
commission	provize
mediator	mediátor
slipper	pantofel
nájemní smlouva	nájemní smlouva
smluvní svoboda	smluvní svoboda
Solidarity	Solidarita
solidarity	solidarita
Avar	avarština
periodic	periodický
periodicity	periodicita
bliss	blaho
halo	svatozář
self-praise	samochvála
self-praise	sebechvála
braggart	chvastoun
brag	chvástat
amazing	úžasný
amazement	úžas
Cancer	Rak
ratio variable	poměrová veličina
prokinetic	prokinetikum
příušní žláza	příušní žláza
parotid gland	příušnice
satrap	satrapa
worsen	zhoršit
smysl	smysl pro humor
hug	obejmout
hug	objetí
false analogy	klamná analogie
sole	chodidlo
plane	platan
demonstrator	demonstrant
zavírací špendlík	zavírací špendlík
rusty	rezavý
unanimous	jednohlasný
injury	úraz
abrasion	odřenina
nechvalně známý	nechvalně známý
storno poplatek	storno poplatek
cancel	stornovat
stornovací poplatek	stornovací poplatek
cancellation	zrušení
cancel	zrušit
mass media	masmédia
mass media	hromadné sdělovací prostředky
mass media	masová média
discrepancy	rozpor
discrepancy	nesrovnalost
clairvoyant	jasnovidec
clairvoyance	jasnovidnost
clairvoyance	jasnovidectví
justify	ospravedlnit
justifiable	ospravedlnitelný
unjustifiable	neospravedlnitelný
worship	uctívat
exaggeration	přehánění
exaggerate	přehánět
a little	trocha
Noah	Noe
erroneous	chybný
receipt	účtenka
receipt	stvrzenka
phenological	fenologický
diacritic	diakritické znaménko
diacritical	diakritický
lust	chtíč
pohlavní styk	pohlavní styk
session	sese
sign	znaménko
birthmark	mateřské znaménko
suburban	předměstský
cycle	cyklus
limitní cyklus	limitní cyklus
basin of attraction	oblast přitažlivosti
monarch	monarcha
not	nikoli
Cuban	Kubánec
metr krychlový	metr krychlový
poznámkový blok	poznámkový blok
reminder	upomínka
reminder	připomínka
reminder	připomínač
back	hřbet
bookbinding	knižní vazba
landlord	pronajímatel
tenant	nájemce
caricature	karikovat
caricaturist	karikaturista
anywhere	kdekoliv
any	kterýkoliv
anyway	jakkoliv
accelerate	urychlit
particle accelerator	urychlovač částic
particle accelerator	urychlovač
vector field	vektorové pole
skalární pole	skalární pole
origin	původ
original	původní
timestamp	časové razítko
časová značka	časová značka
rubber stamp	razítko
cloaca	kloaka
disertační práce	disertační práce
doctoral dissertation	doktorská práce
doctorate	doktorát
score	skóre
eponym	eponymum
earthworm	žížala
suggest	navrhnout
suggestion	návrh
designer	návrhář
successor	následník
predecessor	předchůdce
side mirror	zpětné zrcátko
massacre	masakr
preface	předmluva
exaggerated	přehnaný
self-sufficient	soběstačný
self-sufficiency	soběstačnost
self-	sobě-
counterexample	protipříklad
begonia	begónie
gluttony	obžerství
sacrament	svátost
všední hřích	všední hřích
understandable	pochopitelný
comprehension	porozumění
understanding	pochopení
understanding	chápání
aldehyde	aldehyd
souvenir	suvenýr
winner	vítěz
breakfast	snídaně
shrug	pokrčit rameny
perception	vjem
field of view	zorné pole
glaucoma	glaukom
zelený zákal	zelený zákal
periferní vidění	periferní vidění
fiancé	snoubenec
fiancée	snoubenka
non-verbal	mimoslovní
unconstitutional	neústavní
fleeting	prchavý
volatility	prchavost
right ascension	rektascenze
universal	univerzální
universality	univerzálnost
prestige	prestiž
prestigious	prestižní
tropics	tropy
tropic	obratník
tropics	obratníky
tropical	tropický
spodní prádlo	spodní prádlo
panties	kalhotky
briefs	slipy
singlet	tílko
Italian	Vlach
extremist	extremista
invalidní vozík	invalidní vozík
office chair	kancelářská židle
office chair	ergonomická židle
psací stůl	psací stůl
barstool	barová židle
barstool	barová stolička
bar	barový
explicit	výslovný
pride	pýcha
poměrová proměnná	poměrový
wander	toulat
jeep	džíp
element	živel
pseudoscience	pavěda
pseudoscience	pseudověda
pseudoscientific	pavědecký
pseudoscientific	pseudovědecký
elixir of life	elixír života
do you speak English	mluvíte anglicky
slovní spojení	slovní spojení
phrase	sousloví
collocation	kolokace
phrasal verb	frázové sloveso
isosceles	rovnoramenný
equilateral	rovnostranný
kroužkový pořadač	kroužkový pořadač
hole punch	děrovačka
volume	svazek
pre-	přede-
prologue	prolog
exhibitionism	exhibicionismus
exhibitionism	exhibicionizmus
exposition	výklad
target audience	cílová skupina
Pooh	Pú
choose	zvolit
select	vybrat
picky	vybíravý
polyethylene	polyetylen
polyethylene	polyetylén
polyethylene	polyethylen
appliance	spotřebič
domácí spotřebič	domácí spotřebič
Persephone	Persefona
Morpheus	Morfeus
inference	usuzování
myth	báj
buggy	chybový
bugginess	chybovost
disorder	nepořádek
failure rate	poruchovost
failure rate	poruchový
lift	zvednout
gordický uzel	gordický uzel
chick	ptáče
úpal	přehřátí
sluneční skvrna	sluneční skvrna
skvrna	skvrna na slunci
stain	skvrna
maternity	porodnické oddělení
maternity hospital	porodnice
sunstroke	úpal
sunstroke	úžeh
drowning	tonoucí
drowning	utopení
compulsion	nutkání
optional	volitelný
dramatize	dramatizovat
Gollum	Glum
kategorický imperativ	kategorický imperativ
eugenics	eugenika
date	rande
impending	blížící
literary	literární
literární kritika	literární kritika
pair	pár
pelyněk pravý	pelyněk pravý
pelyněk černobýl	pelyněk černobýl
warp	osnova
baseline	účaří
music staff	notová osnova
extract	extrakt
extract	výtažek
tincture	tinktura
culture medium	živná půda
skyrocket	vyletět nahoru
mostly	většinou
interest rate	úroková sazba
interlace	prokládání
lombardní sazba	lombardní sazba
bullet	odrážka
bullet	odrážkový
odrážkový seznam	odrážkový seznam
číslovaný seznam	číslovaný seznam
anagram	přesmyčka
search engine	vyhledávač
být s to	být s to
schedule	harmonogram
sketch	skica
outline	obrys
ptačí perspektiva	ptačí perspektiva
perspective	perspektiva
adaptive	přizpůsobivý
adaptability	přizpůsobivost
being	bytost
existing	existující
zoophilia	zoofilie
zoophile	zoofil
pedophile	pedofil
pederasty	pederastie
cephalalgia	cefalea
atrocity	zvěrstvo
acclimatization	aklimatizace
acclimatize	aklimatizovat
acclimatized	aklimatizovaný
adaptation	adaptace
restless	neklidný
enlightenment	osvícení
enlighten	osvítit
countably	spočetně
uncountably	nespočetně
knowledge	poznání
differentiate	rozlišovat
cephalalgia	cefalgie
plant	rostlina
fig	fík
ficus	fíkus
necrophilia	nekrofilie
asterisk	hvězdička
dishware	nádobí
truth	pravdivost
reasonableness	rozumnost
due to	kvůli
alligator	aligátor
pétanque	petanque
jack	košonek
piglet	prasátko
in the interest of	v zájmu
Majesty	veličenstvo
calligraphy	kaligrafie
extraction	trhání
iron	železný
wooden	dřevěný
steel	ocelový
řidičský průkaz	řidičský průkaz
bezpečnostní pás	bezpečnostní pás
asbestos	azbest
anticoagulant	antikoagulant
thrombosis	trombóza
effect	efekt
draft	koncept
malic acid	kyselina jablečná
camera	fotoaparát
photo	fotka
face	obličej
facial	obličejový
facial cream	obličejový krém
generalize	zobecnit
onomastics	onomastika
Czech surname	Macourek
Czech surname	Zeman
Czech surname	Uhlíř
surname	Novák
all of a sudden	najednou
parallelism	rovnoběžnost
red sky	červánky
convention	úmluva
Jew	Židovka
determine	stanovit
on foot	pěšky
omelette	omeleta
mummy	mumie
assassination	atentát
assassin	atentátník
regarding	stran
structure	struktura
spectacle	podívaná
glass	skleněný
humility	pokora
theodicy	theodicea
lack	postrádat
dare	odvážit
discussion	diskuze
Czech surname	Vorlíček
Czech surname	Kučera
highlands	Horák
emery paper	šmirgl
plum	slíva
contrast	kontrast
com-	sou-
co-	spolu-
ethmoid sinus	čichová dutina
sphenoid sinus	klínová dutina
trigonometric function	goniometrická funkce
irrigation	zavlažování
nasal irrigation	vyplachování nosu
solný roztok	solný roztok
fyziologický roztok	fyziologický roztok
teapot	čajová konvice
teapot	čajník
tea plant	čajovník
Czech surname	Plášil
Roman	Říman
surname	Matoušek
Czech surname	Voříšek
campus	kampus
membrane	membrána
rhinosinusitis	rinosinusitida
deviated septum	deformovaná nosní přepážka
heretic	heretik
sulfonamide	sulfonamid
tuber	hlíza
mountain pass	průsmyk
příčný řez	příčný řez
laminární proudění	laminární proudění
turbulentní proudění	turbulentní proudění
café	kavárna
cybercafé	internetová kavárna
radiologist	radiolog
whipped cream	šlehačka
whip	šlehat
Turkish coffee	turecká káva
Turkish	turecký
dregs	sedlina
sediment	usazenina
Serbian	srbský
grind	mlít
mill	mlýn
miller	mlynář
ground	mletý
remnant	pozůstatek
recreation	rekreace
let	nechť
let	ať
wish	kéž
pastime	kratochvíle
eight	osmero
seven	sedmero
six	šestero
vandalism	vandalství
automaton	samohyb
kill two birds with one stone	zabít dvě mouchy jednou ranou
shit	srát
priority	priorita
prioritization	prioritizace
prioritization	priorizace
disposal	dispozice
appendicitis	apendicitida
appendicitis	zánět slepého střeva
unintentional	neúmyslný
slavishly	otrocky
slavish	otrocký
ústní voda	ústní voda
jingle bell	rolnička
pasákovi	pasák
suddenness	náhlost
steep	příkrý
steeply	příkře
steep	strmý
self-talk	samomluva
ecstasy	extáze
free will	svobodná vůle
carnival	karneval
obchodní bilance	obchodní bilance
amphetamine	amfetamin
esenciální aminokyselina	esenciální aminokyselina
endocrinology	endokrinologie
reflexní oblouk	reflexní oblouk
cerebral hemisphere	mozková hemisféra
normality	normálnost
normality	normalita
normal	normální
osobní vlak	osobní vlak
nákladní vlak	nákladní vlak
in person	osobně
tape recorder	magnetofon
answering machine	záznamník
telefonní záznamník	telefonní záznamník
hlasový záznamník	hlasový záznamník
accompanying	doprovodný
pagan	pohan
paganism	pohanství
voodoo	vúdú
nirvana	nirvána
physiognomy	fyziognomie
Romanian	Rumunka
current	aktuální
update	aktualizovat
Jiří	Jirka
-y	-ová
talk	hovořit
zubní lůžko	zubní lůžko
dry socket	suché lůžko
tooth	zubní
vector	vektorový
lexicology	lexikologie
diachronic	diachronní
synchronous	synchronní
metric	metrický
item	položka
lava	láva
korálový útes	korálový útes
Occamova břitva	Occamova břitva
savior	spasitel
terminologist	terminolog
terminological	terminologický
peel	loupat
clip	stříhat
throw the baby out with the bathwater	vylít vaničku i s dítětem
absolute value	absolutní hodnota
individual	jednotlivý
individual	individuální
individualism	individualismus
gastric	žaludeční
continuous variable	spojitá veličina
diskrétní veličina	diskrétní veličina
discreet	diskrétní
authentication	autentizace
metrological	metrologický
fyzikální veličina	fyzikální veličina
calibration	kalibrace
calibrate	kalibrovat
deviance	deviace
moralist	moralista
fascism	fašismus
extraordinary	mimořádný
regular	řádný
overlap	překrývat
homosexual	homosexuál
heterosexual	heterosexuál
hmotný bod	hmotný bod
corset	korzet
lordosis	hyperlordóza
kyphosis	hyperkyfóza
rickshaw	rikša
thumbtack	připínáček
French curve	křivítko
crown	korunovat
coronation	korunovace
graphite	tuha
erosion	eroze
teorie poznání	teorie poznání
epistemology	gnoseologie
epistemology	gnozeologie
figure skating	krasobruslení
figure skater	krasobruslař
skating	bruslení
agony	agonie
Pyrrhovo vítězství	Pyrrhovo vítězství
apple of discord	jablko sváru
exhibitionist	exhibicionista
imprecision	nepřesnost
cardinal point	světová strana
provisional solution	provizorium
metaphysics	metafyzika
genomics	genomika
-logy	-logie
-nomy	-nomie
taxonomy	taxonomie
blue cheese	niva
hygiene	hygiena
hygienic	hygienický
periodontics	parodontologie
headgear	pokrývka hlavy
orthodontics	ortodoncie
Muhammad	Mohamed
anchorage	kotviště
imam	imám
sophist	sofista
echo	ozvěna
monograph	monografie
crossword	křížovka
Rubikova kostka	Rubikova kostka
taboo	tabuizovat
objective	objektivní
subjective	subjektivní
objectivism	objektivismus
subjectivism	subjektivismus
-less	beze-
rare	vzácný
ušlechtilý kov	ušlechtilý kov
drahý kov	drahý kov
popular	populární
playful	hravý
playfulness	hravost
troublemaker	potížista
costume	kostým
cleaner	uklízečka
psychopathology	psychopatologie
tradition	tradice
traditional	tradiční
traditionally	tradičně
příčestí minulé	příčestí
optimist	optimista
pessimist	pesimista
embed	zapustit
vestavěný systém	vestavěný systém
report card	vysvědčení
antebellum	předválečný
defined	definovaný
undefined	nedefinovaný
line	čára
courtesan	kurtizána
imminent	bezprostřední
partial	částečný
relativní četnost	relativní
absolutely	naprosto
part	součást
cluster	shlukový
cluster analysis	shluková analýza
narrative	narativní
narrative	vyprávěcí
narrative	narace
dramatic	dramatický
dramaturgy	dramaturgie
dramaturge	dramaturg
defragmentation	defragmentace
tear down	strhnout
shredder	skartovač
shredder	skartovačka
stripper	striptér
stripper	striptérka
strip	pruh
total	totální
total	úhrn
publicist	publicista
gill	žábry
macro	makro
phloem	lýko
backpack	batoh
numerology	numerologie
aggression	agrese
equip	vybavit
fakir	fakír
i.e.	tzn.
epicenter	epicentrum
creator deity	Makemake
nucleus	nukleus
grain	obilí
careful	starostlivý
caldera	kaldera
prolong	prodloužit
type-founder	písmolijec
thrombocyte	trombocyt
million	milion
meiosis	meióza
mitosis	mitóza
self-image	sebeobraz
self-acceptance	sebepřijetí
drawer	šuplík
drawer	šuple
ziskový	lukrativní
type foundry	písmolijna
division	členění
word order	slovosled
dysgraphia	dysgrafie
comparison	stupňování
positive	pozitiv
inflect	ohýbat
interpreter	tlumočník
interpreting	tlumočení
interpret	tlumočit
tuning	ladění
tuning fork	ladička
applaud	tleskat
applause	potlesk
majorette	mažoretka
add	sčítat
subtract	odčítat
add	sečíst
add	přidat
remove	odebrat
delete	smazat
single-word	jednoslovný
multi-word	víceslovný
