horse	march
nobleman	uchelwr
solemn oath	briduw
fine	camlwrw
chancellor	canghellor
commote	cwmwd
halfpenny	dimei
regimental	byddinol
hammer	gordd
fine	dirwy
medieval tref	rhandir
real estate	marwdy
heriot	ebediw
patrimony	dadannudd
gift	dawnbwyd
lagniappe	gwarthal
nobleman	gwrda
costly	prid
tref	taeogtref
sovereign	teyrn
bread	enllyn
cheese	enllyn gwyn
morning-gift	cowyll
fee	gobr
fee	daered
certainty	dilysdod
compensation	wynebwerth
gift	cyfarwys
servant	gwas
right	rhaith
throwboard	tawlfwrdd
throw	tawl
by	erbyn
cotillage	cyfar
shaft	paladr
spear penny	ceiniog baladr
shaftless	dibaladr
hate	casáu
brought forward	twnc
proximity	wnc
throat	llwnc
point	pwnc
snort	rhwnc
nearness	ymwnc
that	wnco
closeness	wng
there	wncw
surety	gorfodog
coot	cwtiar
rail	rhegen
grebe	gwyach
difficult	anodd
door	dôr
scorch	deifio
kindle	cynnau
firewood	cynnud
firebrand	tewyn
hold	gafael
tongs	gefel
ardor	aidd
hearth	aelwyd
boiling	ias
lean-to	pentis
hearing	clyw
hear	clywed
eat	bwyta
saint	santes
lichen	cenna
soot	huddygl
Twitter	Twitter
leap	llam
poppy	pabi
blessed	bendigedig
snail	malwod
carrots	moronen
lick	llyfu
friend	ffrind
idol	eilun
smith	gof
yuck	ych a fi
gone	mynededig
going	mynedadwy
tomorrow	yfory
wonderful	grêt
with	gyda
great	gwych
buy	prynu
buy	brynu
buy	mhrynu
buy	phrynu
o gwbl	ddim
more	fwy
large	fawr
sad	drist
sad	nhrist
sadder	dristach
sadder	nhristach
sadder	thristach
earlier	gynharach
earlier	nghynharach
earlier	chynharach
thicker	dewach
thicker	nhewach
thicker	thewach
white	ngwen
white	ngwyn
land	nhir
land	tiroedd
lands	diroedd
lands	nhiroedd
lands	thiroedd
dragon	nraig
dragon	dreigiau
dragons	ddreigiau
dragons	nreigiau
London	Lundain
Mars	Fawrth
afternoon	brynhawn
afternoon	mhrynhawn
afternoon	phrynhawn
afternoon	prynhawnau
afternoons	brynhawnau
afternoons	mhrynhawnau
afternoons	phrynhawnau
day	ddydd
day	nydd
egg	wyau
eggs	hwyau
copulate	gnuchio
copulate	nghnuchio
copulate	chnuchio
earliest	tristaf
saddest	dristaf
saddest	nhristaf
saddest	thristaf
smallest	lleiaf
smallest	leiaf
cork	corc
story	stori
OK	ocê
fail	pallu
rook	ydfran
starling	drudwen
connection	cysylltiad
travel	teithio
be able to	gallu
Wiktionary	Wiciadur
understand	deall
believe	credu
tasteless	diflas
boring	ddiflas
boring	niflas
boring	diflased
boring	ddiflased
boring	niflased
boring	diflasach
boring	ddiflasach
boring	niflasach
boring	diflasaf
boring	ddiflasaf
boring	niflasaf
excited	cyffrous
exciting	gyffrous
exciting	nghyffrous
exciting	chyffrous
world	myd
opinion	marn
film	ffilm
King Arthur	Brenin Arthur
book	lyfr
books	lyfrau
castle	gastell
castle	nghastell
castle	chastell
your	'ch
castles	gestyll
castles	nghestyll
castles	chestyll
apples	hafalau
interesting	diddorol
boring	ddiddorol
interesting	niddorol
plastic	plastig
plastic	blastig
plastic	mhlastig
plastic	phlastig
because	oherwydd
cause	hachosi
stone	garreg
stone	ngharreg
stone	charreg
funny	doniol
funny	ddoniol
funny	noniol
funny	donioled
funny	ddonioled
funny	nonioled
funny	doniolach
funnier	ddoniolach
funnier	noniolach
funny	doniolaf
funniest	ddoniolaf
funniest	noniolaf
mathematics	fathemateg
school	hysgol
school	ysgolion
schools	hysgolion
yellow	felyn
green	wyrdd
green	ngwyrdd
black	ddu
red	goch
red	nghoch
green	werdd
green	ngwerdd
purple	borffor
purple	mhorffor
purple	phorffor
oranges	horennau
pink	binc
pink	mhinc
pink	phinc
happy	hapused
happy	hapusaf
happy	hapusach
gray	llwyd
gray	lwyd
mornings	foreau
mornings	moreau
headteacher	brifathro
headteacher	mhrifathro
headteacher	phrifathro
headmistress	brifathrawes
headmistress	mhrifathrawes
headmistress	phrifathrawes
headmistresses	brifathrawesau
headmistresses	mhrifathrawesau
headmistresses	phrifathrawesau
headmasters	brifathrawon
headmasters	mhrifathrawon
headmasters	phrifathrawon
sing	nghanu
sing	chanu
program	rhaglen
programs	raglenni
program	raglen
learn	dysgu
breast	mron
chocolate	siocled
Shrewsbury	Amwythig
Shrewsbury	Hamwythig
rain	nglaw
train	drenau
train	nhrenau
train	threnau
train	drên
train	nhrên
train	thrên
Shrewsbury	Yr Amwythig
Swansea	Habertawe
library	lyfrgell
libraries	lyfrgelloedd
cells	gelloedd
cells	nghelloedd
cells	chelloedd
table	fwrdd
table	mwrdd
tables	fyrddau
tables	myrddau
owl	dylluan
owl	nhylluan
owl	thylluan
owls	dylluanod
owls	nhylluanod
owls	thylluanod
owl	gwdihŵ
owl	wdihŵ
owl	ngwdihŵ
owls	wdihŵiaid
owls	ngwdihŵiaid
owls	wdihŵs
owls	ngwdihŵs
room	ystafelloedd
room	hystafell
rooms	hystafelloedd
twenty	hugain
garage	garej
garage	ngarej
garages	ngarejis
here's	dyma
hail	cenllysg
mobile phone	ffôn symudol
phone	ffonio
walk	ngherdded
run	redeg
see	ngweld
restaurant	fwyty
restaurant	mwyty
restaurants	fwytai
restaurants	mwytai
water	ddŵr
water	nŵr
waters	ddyfroedd
waters	nyfroedd
house	dŷ
house	nhŷ
toilet	dŷ bach
toilet	nhŷ bach
toilet	thŷ bach
California	Galiffornia
California	Nghaliffornia
California	Chaliffornia
toilets	dai bach
toilets	nhai bach
toilets	thai bach
WC	lle chwech
toilet	doiled
toilet	nhoiled
toilet	thoiled
toilets	doiledau
toilets	nhoiledau
toilets	thoiledau
toilets	doiledi
toilets	nhoiledi
toilets	thoiledi
great	gwychach
great	gwychaf
great	wyched
great	ngwyched
greater	wychach
greater	ngwychach
greatest	wychaf
greatest	ngwychaf
Vale of Glamorgan	Bro Morgannwg
Vale of Glamorgan	Fro Morgannwg
Vale of Glamorgan	Mro Morgannwg
new	newydded
new	newyddach
new	newyddaf
shoe	pedoli
shit	gachu
shit	nghachu
shit	chachu
food	bwyd
with	gydag
with	efo
with	hefo
stupid	dwp
stupid	nhwp
stupid	thwp
stupid	twped
stupid	twpach
stupid	twpaf
stupid	dwped
stupid	nhwped
stupid	thwped
stupidest	dwpaf
stupidest	nhwpaf
stupidest	thwpaf
stupider	dwpach
stupider	nhwpach
stupider	thwpach
skin	nghroen
skin	chroen
skins	grwyn
skins	nghrwyn
skins	chrwyn
database	data-bas
database	ddata-bas
database	nata-bas
databases	ddata-basau
databases	nata-basau
nautical mile	fôr-filltir
nautical miles	for-filltiroedd
seas	foroedd
watch	gwylio
twice	dwywaith
sometimes	weithiau
once	unwaith
double	dwbl
double	ddwbwl
double	nwbwl
double	ddwbl
double	nwbl
third	trydydd
third	drydydd
third	nhrydydd
third	thrydydd
third	drydedd
third	nhrydedd
third	thrydedd
thrice	teirgwaith
thrice	deirgwaith
thrice	theirgwaith
triple	triphlyg
triple	driphlyg
triple	nhriphlyg
triple	thriphlyg
first	cyntaf
first	gyntaf
first	nghyntaf
first	chyntaf
fourth	pedwerydd
fourth	bedwerydd
fourth	mhedwerydd
fourth	phedwerydd
quadruple	pedwarplyg
quadruple	bedwarplyg
quadruple	mhedwarplyg
quadruple	phedwarplyg
zeroth	serofed
fifth	pumed
sixth	chweched
seventh	seithfed
eighth	wythfed
eighth	hwythfed
ninth	nawfed
please	os gwelwch yn dda
mae'n ddrwg gen i	mae'n ddrwg gen i
mae'n ddrwg gyda fi	mae'n ddrwg gyda fi
bad	ddrwg
bad	nrwg
bad	cynddrwg
bad	gwaeth
worse	ngwaeth
worst	waethaf
worst	ngwaethaf
that	honno
that	hynny
fat	tewaf
yonder	acw
as big	cymaint
tenth	degfed
-th	-fed
horns	gyrn
horns	nghyrn
horns	chyrn
horn	nghorn
horn	chorn
hard	galeted
hard	nghaleted
hard	chaleted
harder	galetach
harder	chaletach
harder	nghaletach
hardest	nghaletaf
hardest	galetaf
hardest	chaletaf
eleven	unarddeg
twelve	deuddeg
thirteen	tri ar ddeg
eleventh	unfed ar ddeg
twelfth	deuddegfed
thirteenth	trydydd ar ddeg
undeg dwy	undeg dwy
eleven	hunarddeg
twelve	ddeuddeg
twelve	neuddeg
twelfth	ddeuddegfed
twelfth	neuddegfed
woolen	gwlanog
wool	gwlân
grey	llwydo
dusk	llwydnos
palish	llwydaidd
dulse	delysg
different	gwahanol
long time	achau
assert	taeru
barn	ysgubor
set	machlud
senatorial	seneddol
member	aelod
know	gwybod
know	wybod
know	ngwybod
supper	swper
benefit	budd
niece	nith
senate	senedd
count	rhifo
counter	rhifydd
numerical	rhifol
farm holding	tyddyn
something	rhywbeth
something	rywbeth
someone	rhywun
somewhere	rhywle
somehow	rhywsut
someone	rywun
somehow	rywsut
milk	laeth
rain	lawio
rain	nglawio
calculator	cyfrifiannell
calculator	gyfrifiannell
calculator	nghyfrifiannell
calculator	chyfrifiannell
calculators	gyfrifiannellau
calculators	nghyfrifiannellau
calculators	chyfrifiannellau
club	clwb
youth	ieuenctid
leave	gadael
town	nhref
town	thref
opinions	farnau
opinions	marnau
areas	hardaloedd
people	bobl
people	mhobl
peoples	pobloedd
peoples	bobloedd
peoples	mhobloedd
peoples	phobloedd
people	phobl
enough	ddigon
course	cwrs
course	gwrs
course	chwrs
course	nghwrs
courses	gyrsiau
courses	nghyrsiau
courses	chyrsiau
of course	wrth gwrs
celebrate	dathlu
celebrate	ddathlu
celebrate	nathlu
spend	gwario
o'clock	o'r gloch
absence	absen
Celtic mythology	Rhiannon
aluminium	alwminiwm
cousin	cyfnither
rabbit	cwningen
hamster	bochdew
cheek	boch
he-ass	asyn
goat	gafr
shirt	crys
dress	ffrog
skirt	sgert
quiet	tawel
sound	swnt
sound	sŵn
dydw i ddim yn siarad Cymraeg	dydw i ddim yn siarad Cymraeg
dydw i ddim yn siarad y Saesneg	dydw i ddim yn siarad y Saesneg
muscle	cyhyr
muscular	cyhyrog
glasses	sbectol
get dressed	gwisgo
goal	gôl
play	chwarae
swim	nofio
sunbathe	torheulo
fair	ffair
cream	hufen
ice cream	hufen iâ
volume	cyfrol
short	cwta
toe	bys troed
cheek	grudd
throat	ceg
forehead	talcen
chin	gên
elbow	penelin
sandwich	brechdan
pear	gellyg
grapes	grawnwin
past	wedi
wash	golchi
wash	ymolchi
smile	gwenu
swallow	gwennol
want	eisiau
football	pêl-droed
need	angen
e.g.	e.e.
ti'n iawn	ti'n iawn
I need water	dw i angen dŵr
for example	er enghraifft
wyt ti'n iawn	wyt ti'n iawn
I was born in ...	ces i fy ngeni yn ...
thank you very much	diolch yn fawr
thank you very much	diolch yn fawr iawn
ble wyt ti'n byw	ble wyt ti'n byw
example	enghraifft
porridge	uwd
part	rhan
present	cyflwynydd
anger	llid
twelve	un deg dau
thirteen	un deg tri
eleven	un deg un
eleven	un ar ddeg
how are you	sut wyt ti
how are you	sut dach chi
dw i'n iawn	dw i'n iawn
gift	anrheg
curse	rheg
married	priod
tidy	taclus
tidy	tacluso
cook	coginio
dw i angen	dw i angen ...
doctor	meddyg
doctor	meddyges
I need a doctor	dw i angen meddyg
dry	sychu
weather	tywydd
yesterday	ddoe
jolly	llawen
colour	lliw
surname	cyfenw
material	defnydd
password	cyfrinair
secret	cyfrin
coop	cwb
alder	gwernog
liquid	hylif
edible	bwytadwy
sell	gwerthu
age	oed
parent	rhiant
electricity	trydan
commentate	sylwebu
knot	cwlwm
knot	clymu
start	dechrau
end	gorffen
visit	ymweld
hover	hofran
lock	cloi
decide	penderfynu
question	cwestiwn
voice	llais
mud	llaid
damp	llaith
this year	eleni
soup	cawl
porch	cyntedd
cupboard	cwpwrdd
close	mwll
hazelnut	cnau cyll
hazel copse	prysgyll
dress	gwisg
willow	helyg
say	dweud
zone	parth
interest	diddordeb
attention	sylw
coefficient	cyfernod
kiss	cusanu
kiss	cusan
copyright	hawlfraint
weight	pwys
gallon	galwyn
hillock	twyn
smoke	ysmygu
draw	darlunio
valley	dyffryn
suburb	maestref
village	pentref
desert	anialwch
concert	cyngerdd
send	anfon
immediate family	tylwyth
overnight	dros nos
over	dros
gyda'r nos	gyda'r nos
cyclist	seiclwr
adverb	adferf
breakfast	brecwast
my name is	... ydw i
who are you	pwy wyt ti
who are you	pwy dach chi
lounge	lolfa
comfortable	cyfforddus
relax	ymlacio
I need an interpreter	dw i angen cyfieithydd
I need a lawyer	dw i angen cyfreithiwr
lawyer	cyfreithiwr
lawyer	cyfreithwraig
raining cats and dogs	bwrw hen wragedd â ffyn
law	cyfraith
chat	sgwrsio
newt	madfall ddŵr
chameleon	madfall symudliw
iridescence	symudliw
visitor	ymwelwr
journey	taith
admission	mynediad
organic	organig
purple	piws
purple	glasgoch
pouch	cwd
scrotum	ceillgwd
penis	pidyn
tremble	crynu
literary	llenyddol
practise	llenydda
literature	llenyddiaeth
literature	llên
curtain	llen
heather	gruga
use	arfer
as usual	fel arfer
eager	awyddus
desirous	chwannog
eager	awchus
eagerness	awydd
eagerness	awch
banana	ffrwchnedd
below	isod
join	ymuno
safe	diogel
meet	cyfarfod
public	cyhoeddus
offer	cynnig
lift	lifft
use	defnyddio
strengthening	cadarnhaol
appropriate	priodol
connection	cyswllt
conjunction	cysylltair
hyphen	cysylltnod
exclamation mark	ebychnod
question mark	gofynnod
punctuation mark	atalnod
full stop	atalnod llawn
apostrophe	collnod
apostrophe	sillgoll
bracket	cromfach
quotation mark	dyfynnod
careful	gofalus
cease	peidio
contempt	dirmyg
disdain	dirmygu
contemptuous	dirmygus
direct	cyfeirio
joke	jôc
sexual	rhywiol
suggestion	awgrym
suggestive	awgrymog
suggest	awgrymu
suggestive	awgrymiadol
version	fersiwn
conscious	ymwybod
conscious	ymwybodol
touch	cyffwrdd
pancake	crempog
dw i'n meddwl	dw i'n meddwl
i'r dim	i'r dim
psaltery	saltring
nabla	nabl
window	ffenestr
restaurant	tŷ bwyta
coffee shop	siop goffi
consent	bodd
day after	trannoeth
fifth cousin	gorchaw
sphere	pêl
bat	ystlum
needle	nodwydd
real	go iawn
burning	llosg
horizon	gorwel
more	rhagor
decent	go lew
daring	beiddgar
succeed	llwyddo
sacrifice	aberth
loan	echwyn
seek	erchi
wound	archoll
preparation	arlwy
take	cymryd
change	cyfnewid
blackbird	mwyeilch
blackbird	adar duon
chestnut tree	castanwydd
vat	cerwyn
expect	disgwyl
roe deer	iwrch
myriad	myrddiwn
i chi	iwch
i chi	ichwi
slope	rhiw
upbraid	edliw
grandson	ŵyr
agent noun	-wr
injure	niweidio
race	ciwdod
sure	siwr
day	diwrnod
pray	gweddïwr
last night	neithiwr
unbent	diwyr
heather	ehöeg
foggy	niwlog
mist	niwlen
think	tybio
dyer	lliwydd
diligent	diwyd
hurdle	clwyd
path	llwybr
fall	cwymp
fierce	chwyrn
breath	chwyth
blow	chwythu
Wye	Gwy
anger	gŵyth
swelling	chwydd
darkness	gwyll
enjoy	mwynhau
complain	cwyno
whiten	gwynnu
snore	chwyrnu
information	gwybodaeth
licence	trwydded
driver's license	trwydded yrru
cry	wylo
beautiful	llywy
blood	gwyar
candle	cannwyll
chain	cadwyn
dear	annwyl
firewood	tanwydd
net	rhwyd
wax	cwyr
principle	egwyddor
alphabet	gwyddor
poison	gwenwyn
intense	dwys
spell	swyn
sense	synnwyr
paradise	paradwys
bilingual	dwyieithog
sand	tywod
together	cy-
Gwynedd	Gwyndyd
wealthy	cyfoethog
Gaul	Gâl
until	hyd oni
periphrastic preterite	ddaru
be able to	medru
ought	dylu
fail	methu
fail	ffili
like	leicio
ideal	delfryd
homewards	adref
opening	agoriad
key	allwedd
illegal	anghyfreithlon
false	anghywir
spirit	ysbryd
spiritual	ysbrydol
inspire	ysbrydoli
want	bod am
through	drwy
fall	syrthio
vessel	llestr
cairn	carnedd
pile	pentwr
overhead	uwchben
era	cyfnod
hole	twll
Earth	daear
bury	claddu
mixture	cymysgedd
ash	lludw
burn	llosgi
fresh	ffres
condition	cyflwr
destroy	difetha
commotion	stŵr
injure	anafu
rush	rhuthro
stop	stopio
prevent	atal
refuse	gwrthod
sit	eistedd
send	danfon
keep	cadw
meaning	ystyr
arrive	cyrraedd
consume	ysu
contain	cynnwys
consider	ystyried
helicopter	hofrennydd
prefix	rhagddodiad
suffix	olddodiad
proof	prawf
pod	coden
doubt	amau
incite	annog
battle	brwydr
army	byddin
behave	ymddwyn
lettuce	letys
raw	amrwd
cabbage	bresych
original	gwreiddiol
throughout	ledled
majority	mwyafrif
rot	pydru
rot	braenu
rot	pydredd
hope	gobaith
spin	nyddu
thread	edau
material	deunydd
bring forth	cynhyrchu
produce	cynnyrch
saddle	cyfrwy
saddle	cyfrwyo
sergeant	rhingyll
help	cymorth
assistance	cynhorthwy
copy	copïo
tip	blaen
box	blwch
return	dychwelyd
weigh	pwyso
keyboard	bysellfwrdd
key	bysell
shovel	rhaw
shovel	rhofio
ring	modrwy
crew	criw
ceremony	seremoni
spokesperson	llefarydd
fleet	fflyd
formal	ffurfiol
informal	anffurfiol
follow	dilyn
prosecution	canlyn
order	trefn
comprehend	amgyffred
soil	pridd
mole	gwadd
education	addysg
educate	addysgu
bittern	adar y bwn
around	am-
lane	beidr
healthy	iach
verbal noun	berfenw
nameless	dienw
nickname	ffugenw
nickname	llysenw
pronoun	rhagenw
metonymy	trawsenw
time	adeg
cowslips	Mair
thrift	clustog Fair
Greece	Groeg
spider	corryn
lead	plwm
warning	rhybudd
meal	saig
how many	sawl
feeling	nwyf
bearded	barfog
arrow	saeth
Hungarian language	Hwngareg
colour	colur
candidiasis	gân
Brythonic	Brythoneg
eating disorder	anhwylder bwyta
disorder	anhwylder
Digitalis purpurea	ffion
fawn	elain
hare	ceinach
tail	cynffon
miss	misio
mackerel	macrell
thick	trwchus
web	gwe
network	rhwydwaith
weave	gwau
gossamer	gwawn
Affrig	Affrica
geography	daearyddiaeth
New Year	calennig
Julian calendar	Hen Galan
gravestone	carreg fedd
parallel	paralel
easy	hawdd
late	hwyr
correct	cywir
wake	deffro
ready	parod
sheath	gwain
tube	tiwb
lead	arwain
beget	cenhedlu
uterus	croth
about	oddeutu
several	amryw
variability	amrywedd
variation	amrywiad
variety	amrywiaeth
vary	amrywio
sundry	amrywiol
observe	sylwi
proportionate	cyfartalog
proportion	cyfartaledd
equal	cyfartal
remarkable	hynod
birth	genedigaeth
relation	cyfathrach
couple	cysylltu
vulva	fwlfa
stand	sefyll
form	ffurf
form	ffurfio
locate	lleoli
fat	braster
fatty	brasterog
profit	elw
profit	elwa
mound	mwnt
alike	tebyg
mucus	mwcws
inner	mewnol
as	megis
gland	chwarren
fluid	gwlych
wet	gwlychu
crossword	croesair
crossroads	croesffordd
crusade	croesgad
crucify	croeshoelio
crucifixion	croeshoeliad
nail	hoelio
cross-question	croesholi
intersect	croestorri
cross	croesi
cover	gorchudd
cover	gorchuddio
tear	rhwyg
tear	rhwygo
tear	deigryn
practise	ymarfer
lively	brwysg
drunk	meddw
activity	gweithgaredd
ride	marchogaeth
compulsion	rheidrwydd
tradition	traddodiad
traditional	traddodiadol
virgin	gwyryf
empty	gwag
belief	coel
superstition	ofergoel
believe	coelio
vanity	gwagedd
vanity	oferedd
doorpost	cilbost
keel	cilbren
turn over	cildroi
molar	cilddant
hollow	cildwrn
glance	ciledrych
nook	cilfach
crescent	cilgant
half smile	cilwen
frown	cilwg
scowl	gwg
hippopotamus	afonfarch
hippopotamus	dyfrfarch
function	swyddogaeth
point	pwynt
viewpoint	safbwynt
biology	bioleg
biological	biolegol
biologist	biolegydd
ant	morgrug
following	canlynol
able	galluog
enable	galluogi
menses	mislif
menstrual	mislifol
shave	siafio
gathering	crynhoad
end	terfyn
ending	terfyniad
end	terfynu
final	terfynol
compass	cwmpas
compass	cwmpawd
key	goriad
baboon	babŵn
wrist	arddwrn
joint	cymal
stave	cledr
glove	maneg
intended	darpar
provide	darparu
sensation	ymdeimlad
feeling	teimlad
feel	teimlo
fusion	ymasiad
bues	bûm
customer	cwsmeres
company	cymdeithas
rope	rhaff
pan	padell
dish	dysgl
bowl	powlen
blond	penfelyn
loose	llaes
toil	llafur
-like	-aidd
academic	academaidd
male	gwrywaidd
heavenly	nefolaidd
abathochroal	abathocroalaidd
angelic	angylaidd
female	benywaidd
Islamic	Islamaidd
regular	rheolaidd
Dutch	Iseldiraidd
economic	economaidd
velvety	melfedaidd
acidic	asidaidd
waxy	cwyraidd
aloof	oeraidd
symbolic	symbolaidd
civilized	gwaraidd
uncivilized	anwaraidd
rustic	gwladaidd
prudish	mursennaidd
spherical	sfferaidd
servile	taeogaidd
cabbagy	bresychaidd
parish	plwyf
wandering	crwydr
principal	prif
writing	ysgrifen
kiln	odyn
wander	crwydro
custard	cwstard
oven	popty
diviner	dewin
choice	dewis
choice	dewisiad
whisky	chwisgi
whistle	chwisl
ill	gwaelu
miserable	gwael
sickness	gwaeledd
knitting needle	gwaell
mast	hwylbren
elect	ethol
spit	poer
sword	cleddyf
loaf	torth
olive	olif
at the moment	ar hyn o bryd
Welsh single-reed wind instrument	pibgorn
empire	ymerodraeth
republic	gweriniaeth
people	gwerin
monarchy	archdeyrniaeth
kingdom	teyrnas
moth	gwyfyn
quarrel	ymryson
marriage	priodas
plough	aradr
website	gwefan
article	erthygl
agriculture	amaethyddiaeth
chisel	cŷn
plant	plannu
crop	cnwd
fundamental	sylfaenol
development	datblygiad
influence	dylanwad
purpose	pwrpas
swarm	haid
pocket	poced
famous	enwog
brave	gwrol
warrior	rhyfelwr
patriot	gwladgarwr
lover	carwr
partial	pleidiol
quality	ansawdd
continue	parhau
mountainous	mynyddig
sight	golwg
soft	meddal
patriotic	gwladgarol
charming	swynol
brook	ffrwd
oppress	treisio
violent	treisiol
oppressor	treisiwr
ever	erioed
jog	loncian
jogger	lonciwr
hinder	lluddias
hideous	erchyll
melodious	perseiniol
charming	cyfareddol
charm	cyfaredd
charm	hudo
charm	swyno
base	bôn
prevent	rhwystro
driver's license	trwyddedau yrru
pepper	pupur
fifteen	pymtheg
whale	morfil
jewellery	gemwaith
mammal	mamal
present	cyflwyno
experience	profiad
lodging	llety
fourteen	pedwar ar ddeg
fifteenth	pymthegfed
-ship	-aeth
capital	cyfalaf
sin	pechod
pear	pêr
icicle	pibonwy
-ed	-edig
badger	moch daear
mammoth	mamoth
badger	daearfoch
maiden	rhiain
young	llwdn
pheasant	ffesant
cottage	bwthyn
razorbill	llurs
banjo	banjô
objectionable	cythraul
ragamuffin	caridým
expensive	drud
rabbit	cwning
conifer	conwydd
brick	brics
pomegranate	grawnafal
daybreak	cyfddydd
New England	Lloegr Newydd
news	newyddion
nape	gwar
power	pŵer
power	pweru
nuclear power	pŵer niwclear
nuclear	niwclear
washing machine	peiriant golchi
refrigerator	oergell
temperature	tymheredd
onion	wynwyn
bodybuild	corfflunio
warm	cynnes
quinoa	cwinoa
state	talaith
outhouse	gody
leek	cennin
daffodil	cennin Pedr
garlic	garlleg
strengthen	cadarnhau
chimpanzee	tsimpansî
force	goresgyniad
overcome	goresgynnu
coffee mill	melin goffi
coffee bar	bar coffi
coffeehouse	tafarn goffi
collegiate	colegaidd
barm	burum
cockfight	gêm geiliog
audible	clywedog
audible	clywadwy
praise	moliant
glue	glud
rhinoceros	rhinoseros
Jesus Christ	Iesu Grist
forty	deugain
gather	cynnull
shepherd	bugail
hide	cuddio
wretchedness	trueni
pupil	disgybl
descend	disgyn
forever	am byth
grapefruit	grawnffrwyth
toy	tegan
bacon	bacwn
you know	'sti
dewlap	tagell
Danish	Daneg
fluorine	fflworin
helium	heliwm
vinegar	finegr
lithium	lithiwm
Welsh	Gethin
Welsh	Osian
Welsh	Jac
audible	hyglyw
oak	derw
birch	bedw
chip	ysglodyn
down	lawr
floor	llawr
third-person singular preterite	-odd
iron	smwddio
nurse	nyrs
policeman	heddwas
neat	twt
grammar	ieithadur
perhaps	efallai
male	achan
prize	gwobr
priest	offeiriad
German	Almaenwr
Portuguese	Portiwgaleg
low	isel
neighbour	cymydog
list	rhestr
how	shwd
what time	faint o'r gloch
heel	sawdl
high heels	sodlau uchel
hillock	crug
oak tree	dâr
armpit	cesail
squid	ystifflog
squid	môr-lawes
squid	pibwr inc
squid	twyllwr du
ankle	pigwrn
moth	pry'r gannwyll
blackberrying	mwyara
fast	cyflym
dolphin	dolffin
inherit	etifeddu
ivy	iorwg
ivy	eiddew
hogweed	efwr
elder	ysgaw
centre	canolfan
drive	gyr
Caesar	Cesar
second-person plural imperfect	-ech
treasure	amguedd
Faroe Islands	Hynysoedd Ffaro
fine	braf
bike	beic
shaking	sigl
boat	cwch
recognize	adnabod
know	nabod
sock	hosan
tell	adrodd
protect	amddiffyn
greet	annerch
save	arbed
-able	-adwy
plow	aredig
pour	arllwys
rot	pwd
spar	sbar
vote	pleidleisio
flee	ffoi
find	ffeindio
freeze	rhewi
free	rhyddhau
roebuck	caeriwrch
Turkey	Twrci
pain	poen
pub	tafarn
pub landlord	tafarnwr
pub landlady	tafarnwraig
vegetables	llysiau
farm	fferm
funnel	twmffat
funnel	twndish
starve	llwgu
gimlet	gimbill
hunger	newyn
bitter	chwerw
intranet	mewnrwyd
earl	iarll
ochre	ocr
shield	tarian
soot	parddu
receipt	taleb
scream	sgrech
scream	sgrechian
shilling	swllt
excess	gormod
digital	digidol
everyone	pawb
undo	dat-
bow	bwa
department	dybarth
desire	dyheu
harper	telynor
vicar	ficer
injury	anaf
wake	dihuno
arrest	dalfa
fall	cwympo
microwave	meicrodon
choke	tagu
eyelid	amrant
blessing	bendith
gout	gowt
gout	troedwst
pain	aeled
conjunctivitis	llid yr amrant
supernaturalism	aranianoliaeth
ladybug	buwch goch gota
punishment	cosb
cape	penrhyn
yogurt	iogwrt
buttock	bontin
worries	pryderau
weekend	penwythnos
separate	neilltuo
scarf	sgarff
belt	gwregys
bless	bendithio
goldfish	pysgod aur
advantage	mantais
supermarket	archfarchnad
surface area	arwynebedd
preparation	armerth
bonfire	coelcerth
unit	uned
again	eil-
again	ail-
idea	amcan
frequent	aml
obvious	amlwg
god	dduw
man	ddyn
marine	morol
verse	pennill
physiology	ffisioleg
account	cyfrif
accountant	cyfrifydd
teller	cyfrifwr
accountancy	cyfrifeg
census	cyfrifiad
computation	cyfrifiant
responsible	cyfrifol
ledger	cyfriflyfr
textbook	gwerslyfr
estimate	amcangyfrif
guidance	arweiniad
guide	arweinydd
magazine	cylchgrawn
politician	gwleidydd
politics	gwleidyddiaeth
political	gwleidyddol
growth	cynnydd
growth	twf
grow	tyfu
rubbish	sbwriel
junk	sothach
waste	gwastraff
increase	cynyddu
collect	tyrru
amass	pentyrru
divide	rhannu
Santa Claus	Siôn Corn
quiz	cwis
examine	arholi
examination	arholiad
reception	derbynfa
reception	derbyniad
acceptable	derbyniol
recipient	derbyniwr
receipt	derbynneb
receiver	derbynnydd
rag	clwt
rag	cadach
rag	cerpyn
machine	peiriant
engineering	peirianneg
engineering	peirianyddiaeth
mechanical	peiriannol
machinery	peirianwaith
respirator	peiriant anadlu
breathe	anadlu
search engine	peiriant chwilio
vending machine	peiriant gwerthu
value	gwerth
argument	dadl
argue	dadlau
controversial	dadleuol
advise	cynghori
greet	cyfarch
host	llu
edge	ymyl
pavement	pafin
double	dyblu
record	cofnodi
record	cofnod
log in	mewngofnodi
log off	allgofnodi
ankle	ffêr
site	safle
chance	cyfle
break	egwyl
blow	ergyd
claim	hawlio
known	hysbys
line	llinell
clear	clirio
header	peniad
goalkeeper	golwr
victory	buddugoliaeth
league	cynghrair
govern	rheoli
rule	rheol
ruler	rheolwr
pull	tynnu
tightness	tyndra
tight	tyn
grandstand	eisteddle
add	ychwanegu
additional	ychwanegol
score	sgôr
conference	cynhadledd
those	rheina
