where	on
meteorite	meteorit
methyl	metil
over here	deçà
aerology	aerologia
aeronomy	aeronomia
primate	primat
yak	iac
Marxism	marxisme
carpet	bancal
succinct	succint
anaerobic	anaerobi
reset	reiniciar
andropause	andropausa
anemoscope	anemoscopi
mace	maça
Anglo-	anglo-
lose heart	desmaiar
transuranic	transurànic
cyto-	cito-
thermo-	termo-
cryo-	crio-
phono-	fono-
horitzó	horitzó d'esdeveniments
microprocessor	microprocessador
thigh	cuixa
buttock	natja
pisiform	pisiforme
arthro-	artro-
bacteriology	bacteriologia
bromatology	bromatologia
magic	màgia
Buddhist	budista
osteoid	osteoide
wedge	cuny
sexism	sexisme
indirect	indirecte
crackling	crepitant
audiometry	audiometria
moneybox	guardiola
bulrush	balca
californium	californi
sarcasm	sorna
edaphology	edafologia
rheology	reologia
Zionism	sionisme
echocardiography	ecocardiografia
linguist	lingüista
mastectomy	mastectomia
vasectomy	vasectomia
prostatectomy	prostatectomia
work	feiner
process	processar
mastopathy	mastopatia
myelopathy	mielopatia
idiopathy	idiopatia
coat	cota
seasonal	estacional
rapier	estoc
stage	escenificar
colony	colònia
herd	arment
announcement	esquela
arthroscope	artroscopi
receptionist	recepcionista
day	jorn
hear	audir
freezer	congelador
-graphy	-grafia
arthritis	artritis
creationist	creacionista
broncho-	bronco-
influenza	influença
indicative	indicatiu
scientifically	científicament
scientific	científic
biocide	biocida
catalogue	catalogar
velocitat d'escapament	velocitat d'escapament
speed	velocitat
stalactite	estalactita
stalagmite	estalagmita
carburet	carburar
contract	contracte
mesopause	mesopausa
stratopause	estratopausa
free time	oci
-ery	-eria
bistort	bistorta
Urdu	urdú
black hole	forat negre
black	negre
feasible	factible
minotaur	minotaure
misology	misologia
smell	flaire
raisin	pansa
necrology	necrologia
graphite	grafit
caducous	caduc
etesian	etesi
troubadour	trobador
ancestor	ancestre
find	trobar
pillory	picota
tap dance	claqué
paremiology	paremiologia
red poppy	ababolera
Aalenian	aalenià
abaca	abacà
uncontrollable	incontrolable
draw	taules
abacus	àbac
àbac neperià	àbac neperià
àbac màgic	àbac màgic
rectory	rectoria
planets	planetes
Tanzanian	tanzana
platypus	ornitorinc
schizophrenia	esquizofrènia
escape	fuita
astrophysics	astrofísica
sweet potato	moniatera
cataclysm	cataclisme
preu unitari	preu unitari
tract	tracte
escort	escorta
quinquennial	quinquennal
peachtree	presseguer
embarrassed	fer el préssec
Friday	divendres
Saturday	dissabte
improve	millorar
preu just	preu just
Libra	Balança
preu per	preu per preu, sabates grosses
adjustable	ajustable
amnion	amni
row	filera
natural price	preu de cost
root	arrel
no tenir preu	no tenir preu
a preu fet	a preu fet
-sphere	-sfera
air	atmo-
intense	intens
alphabetical	alfabètic
atmospheric	atmosfèric
thermopause	termopausa
amble	amblar
animal	bèstia
stratotype	estratotip
estrat tipus	estrat tipus
type	tipus
stratum	estrat
bèstia negre	bèstia negra
ampersand	i comercial
commerce	comerç
afflict	afligir
stratus	estratus
strato-	estrato-
adiabatic	adiabàtic
reflexive pronoun	mateix
thorax	tòrax
margrave	marquès
margrave	marcgravi
lattice	arnot
orchestra	orquestra
right	dret
cherry	cirerer
Gemini	Bessons
breakfast	esmorzar
Dada	dadà
question	qüestió
droplet	goteta
faster	dejunador
fast	dejunat
fasting	dejú
fast	dejunar
feldspar	feldspat
root	arran
ejaculation	ejaculació
population	població
beer	cervesa
aquiline	aguilenc
aquiline	aquilí
falguera femella	falguera femella
fern	falguera aquilina
falguera mascle	falguera mascle
fern	falguera
flock	ramat
pathologist	patologista
psyche	psique
juggler	malabarista
masculine	masculí
feminine	femení
masculinity	masculinitat
femininity	feminitat
vesícula seminal	vesícula seminal
vesícula aerífer	vesícula aerífera
vesícula de	vesícula de Polli
vesícula natatori	vesícula natatòria
vesícula vitel·lí	vesícula vitel·lina
gall bladder	vesícula biliar
hedge	tanca viva
incubus	íncube
succubus	súcube
d'acord	d'acord
necklace	collaret
corkscrew	llevataps
nit	llémena
often	sovint
sock	calça
predecessor	antecessor
priest	sacerdot
impossibly	impossiblement
horribly	horriblement
adorably	adorablement
quantity	quantitat
retching	arcada
electrical shop	lampisteria
rain	ploure a bots i barrals
chromolithography	cromolitografia
chronophotography	cronofotografia
chronologist	cronologista
Tajik	tadjik
Catalan	papalló
paloma blanc	paloma blanca
mushroom	palometa
caterpillar	eruga
servant	criat
hole	cocó
congress	congrés
apiary	apiari
screw thread	rosca
caricaturesque	caricaturesc
public works	obra pública
public	públic
personify	personificar
Dutch	neerlandès
French	francès
German	alemany
Albanian	albanès
Old English	anglès antic
Middle English	anglès mitjà
Cornish	còrnic
Baltic-Finnic	finès
Middle French	francès mitjà
Old French	francès antic
Scottish Gaelic	gaèlic escocès
Irish	gaèlic irlandès
Galician	gallec
Georgian	georgià
unconstitutional	inconstitucional
Gothic	gòtic
Ancient Greek	grec antic
Modern Greek	grec modern
Hawaiian	hawaià
Hungarian	hongarès
Icelandic	islandès
Indonesian	indonesi
Italian	italià
Macedonian	macedònic
Maltese	maltès
Nahuatl	nàhuatl
Frisian	frisó
Latvian	letó
Danish	danès
Breton	bretó
Neapolitan	napolità
Nepali	nepalès
Norwegian	noruec
Old Persian	persa antic
Polish	polonès
Portuguese	portuguès
Occitan	occità
Quechuan	quítxua
Samoan	samoà
Sanskrit	sànscrit
Sicilian	sicilià
Ukrainian	ucraïnès
Chinese	xinès
Wolof	wòlof
americium	americi
bohrium	bohri
darmstadtium	darmstadti
dubnium	dubni
gadolinium	gadolini
meitnerium	meitneri
praseodymium	praseodimi
seaborgium	seaborgi
ratify	ratificar
Lucius	Luci
boulevard	bulevard
freeze	gelar
revenge	revenjar-se
revenge	revenja
cucumber	cogombre
cucumber	cogombrera
cucumber field	cogombrar
gherkin	cogombret
squirting cucumber	cogombre amarg
bitter	amarg
wild	salvatge
squirting cucumber	cogombre salvatge
fantastic	fantàstic
surreal	surrealista
taikonaut	taikonauta
pimple	buba
bubo	bubó
impartial	imparcial
bubonic	bubònic
branch	sucursal
skirmish	escaramussar
skirmish	escaramussa
prepare	aprestar
pirouette	pirueta
rarely	rarament
smile	somrís
smile	somriure
smiling	somrient
spell	lletrejar
spice	espècia
mental image	espècie
espècie químic	espècie química
chemical	químic
statue	estàtua
yawn	badallar
yawn	badall
unavailable	indisponible
Balkanization	balcanització
Balkanize	balcanitzar
-ize	-itzar
Balkans	Balcans
Dionysus	Dionís
Dionysian	dionisíac
Apollonian	apol·lini
Apollo	Apol·lo
pinya	manilles
Epirus	epirota
triumvirate	triumvirat
Flanders	Flandes
wood	flandes
François	Francés
Frenchmen	francesos
Frisia	Frísia
interstate	interestatal
God	Déu
god	déu
Goddess	Dea
Goddess	Deessa
goddess	deessa
-ess	-essa
love	amor
divinity	deïtat
Goidelic	goidèlic
Irish	gaèlic
Germany	Alemània
allemande	alemanya
High German	alt alemany
Low German	baix alemany
Olympiad	olimpíada
pulsar	púlsar
Brittania	Bretanya
epiphonema	epifonema
Finnish	finlandès
willowherb	epilobi
color blindness	daltonisme
-ese	-ès
Irish	irlandès
Scottish	escocès
scotia	escòcia
Scotland	Escòcia
Anglia	Ànglia
Scottish English	anglès escocès
real	ral
Catalan	IEC
Valencian	AVL
spin	filar
Manx	gaèlic manx
-ous	-ós
Kartvelian	kartvelià
Greece	Grècia
Eurocommunist	eurocomunista
Koine Greek	grec koiné
Medieval Greek	grec medieval
koine	koiné
Hawaii	Hawai
justly	justament
distaff	filosa
Macedonius	Macedoni
Macedonian	macedonià
Macedonia	Macedònia
phonologist	fonologista
secondary school	liceu
gastrotomy	gastrotomia
spike	espiga
Serbo-Croatian	serbocroat
Serbia	Sèrbia
Bosnian	bosnià
radiator	radiador
user	usuari
place	merder
infertile	infecund
militarism	militarisme
China	Xina
pattern	xiné
Confucianism	confucianisme
Malay	malai
Malaya	Malaia
Mexican	mexicà
Welsh	gal·lès
Wales	Gal·les
Welshwoman	gal·lesa
Welshmen	gal·lesos
Welshwomen	gal·leses
abortive	avortiu
ballad	balada
tachometer	compta-revolucions
tachometer	comptavoltes
-age	-atge
count	comptatge
odometer	comptaquilòmetres
kilometre	quilòmetre
pull down	abatre
kilometre	kilòmetre
count	comptar
etymologist	etimologista
formidably	formidablement
acid	àcid
incomprehensible	incomprensible
unimaginable	inimaginable
resignation	renúncia
theater	teatre
religion	religió
religious	religiós
alchemy	alquímia
alchemical	alquímic
alien	aliè
galleon	galió
travel	viatjar
foreland	avantpaís
cowardice	covardia
mastography	mastografia
anarchic	anàrquic
anarchically	anàrquicament
anarchism	anarquisme
foreign	foraster
per què	per què
grant	becar
geminate	geminar
odalisque	odalisca
labyrinth	laberint
span	forc
-tomy	-tomia
widowed	vidu
build	bastir
building	bastiment
coach	autocar
Druze	drus
ginger	gingebre
you	vostès
helicopter	helicòpter
road	camí
footpath	sendera
footpath	viarany
flag	abanderar
arboreal	arbori
unjustifiable	injustificable
platform	andana
banana	plàtan
skeleton	esquelet
success	èxit
melon	meló
fruit	taronja
divorce	divorci
trench	trinxera
pneumatic	neumàtic
pneumatic	pneumàtic
debatable	discutible
tibia	tíbia
blackness	negror
Damascus	Damasc
anthracosis	antracosi
orography	orografia
fess	truncat
ovoid	ovoide
waistcoat	armilla
pyramid	piràmide
bat	ratapinyada
wolf	llop
bowsprit	bauprès
dollar	dòlar
mouse	ratolí
gee up	arri
Berber	berber
ichthyology	ictiologia
Daedalus	Dèdal
handlebar	manillar
submarine	submarí
enzyme	enzim
mesh	malla
abstract	abstracte
inverted	invers
Ligustrum vulgare	olivella
multidisciplinary	pluridisciplinari
bacterium	bacteri
candle	espelma
hydro-	hidro-
agnosia	agnosie
ointment	pomada
unconstitutional	anticonstitucional
impulse	impuls
renown	renom
consensus	consens
pestiferous	pestilencial
pluviometry	pluviometria
trumpeter	trompetista
frog	batraci
bestiary	bestiari
biblist	biblista
rugby	rugbi
numerary	numerari
melt down	refondre
relax	relaxar
resurrect	ressuscitar
Picard	picard
cogitate	cogitar
hut	caseta
subculture	subcultura
bacillus	bacil
transliterate	transliterar
Iberian ibex	herc
painted comber	serrana
flat	pla
humanitarianism	humanitarisme
chalazion	calazi
marsh marigold	calta
presentiment	pressentiment
adjoining	contigu
-path	-pata
druggist	droguer
genitive	genitiu
cure	guarir
decorate	guarnir
hero	heroi
establish	establir
model	maqueta
spinal	espinal
glove	guant
journey	viatge
carline	carlina
warlike	guerrer
mannequin	maniquí
helmet	casc
Kyrgyz	kirguís
brick	bric
water polo	waterpolo
legislator	legislador
poetaster	poetastre
belly	ventresca
cherub	angelet
tabloid	tabloide
swan	cigne
royal	reial
zitherist	citarista
citrine	citrina
recount	recompte
glacier	glacera
crimson	carmesí
totalitarianism	totalitarisme
turmeric	cúrcuma
weak	feble
flame	flama
lung	pulmó
hunt	caça
treasure	tresor
subconscious	subconscient
monarchy	monarquia
iamb	iambe
angel	angelot
sustain	sostenir
lantern	fanal
-ide	-ur
barely any	gaire
extrapolate	extrapolar
business	empresarial
meet	encontre
Aztec	asteca
ca eivissenc	ca eivissenc
Ibizan	eivissenc
pacifism	pacifisme
people	poble
shelf	estant
highest	summe
birdcatcher	ocellaire
earthly	terrenal
trick	treta
carriage	carruatge
cannon	canó
revolver	revòlver
howitzer	obús
mortar	morter
behind	rere
assure	assegurar
freeze	glaçar
triumph	triomf
pointing	apuntador
sound	adret
except	excepte
pilgrimage	pelegrinatge
juggling	malabarisme
ambidextrous	ambidextre
society	societat
archer	arquer
kangaroo	cangur
logarithm	logaritme
cough	tossir
handkerchief	mocador
apostrophe	apòstrof
Telugu	telugu
accelerador de partícules	accelerador de partícules
twist	tòrcer
hit	tustar
hit	trucar
plait	trenar
tremble	tremolar
sweet	dolç
taste	tastar
taut	tibar
close	tancar
bar	barrar
pathogenic	patogen
thought	pensada
allodium	alou
descent	baixada
erudite	erudit
fly	moscam
relive	reviure
dream	somiar
simplify	simplificar
remedy	remei
yttrium	itri
loot	saquejar
gnaw	rosegar
grumble	rondinar
chew	mastegar
revive	reviscolar
stir	remenar
raise	recaptar
limp	ranquejar
soak	rabejar
stutter	quequejar
image	imatge
hang	penjar
collaborate	col·laborar
clean	netejar
mix	mesclar
fortify	fortificar
Montblanc	Montblanc
fry	fregir
fail	fracassar
failure	fracàs
whistle	xiular
disembowel	esventrar
rip	estripar
sneeze	esternudar
save	estalviar
tear	esquinçar
dust	espolsar
denim	vaquer
ash	freixe
appropriate	indicat
sweat	suar
scare	espaventar
spit	escopir
squash	esclafar
scale	escata
rock	roquer
coconut palm	cocoter
knock down	ensorrar
rehearse	assajar
guess	endevinar
fill	emplenar
swallow	empassar
duty	deure
sort	destriar
crying	plor
vent solar	vent solar
vent estel·lar	vent estel·lar
stellar	estel·lar
jackass	somer
Roussillon	Perpinyà
mince	capolar
corner	caire
submerge	cabussar
flagellum	flagel
demonym	-enc
mix	barrejar
lawn	herbei
tonight	anit
alliteration	al·literació
stop	aturar
besiege	assetjar
noun	substantiu
nom propi	nom propi
indefatigable	infatigable
jackal	xacal
spore	espora
feminist	feminista
inform	assabentar
chip	asclar
anchor	ancorar
presentation	presentació
transmission	transmissió
cerebellum	cerebel
opportunity	ocasió
publication	publicació
look	aspecte
essential	essencial
realization	realització
construction	construcció
address	adreçar
institution	institució
transformation	transformació
inspiration	inspiració
tradition	tradició
diversity	diversitat
Italianization	italianització
relation	relació
direction	direcció
generation	generació
innovation	innovació
invasion	invasió
delegation	delegació
condition	condició
expulsion	expulsió
violence	violència
indifference	indiferència
conclusion	conclusió
personally	personalment
in the end	finalment
fundamentally	fonamentalment
position	posició
tendency	tendència
bourgeoisie	burgesia
abdication	abdicació
petition	petició
introduction	introducció
application	aplicació
jurisdiction	jurisdicció
election	elecció
symbol	símbol
quality	qualitat
attention	atenció
definitive	definitiu
discussion	discussió
assimilation	assimilació
mission	missió
song	cançó
movement	moviment
strategy	estratègia
confusion	confusió
adaptation	adaptació
reality	realitat
school	col·legi
each one	cadascun
activity	activitat
memory	memòria
spirituality	espiritualitat
interest	interès
dynamize	dinamitzar
efficiency	eficàcia
translate	traduir
devotion	devoció
writer	escriptor
suspension	suspensió
creation	creació
administration	administració
transcribe	transcriure
valer la pena	valer la pena
clearly	clarament
usually	normalment
light up	il·lustrar
capacity	capacitat
confidence	confiança
message	missatge
transmit	transmetre
poetic	poètic
finance	finançar
hymn	himne
importance	importància
production	producció
modernization	modernització
last	darrer
pleasure	plaer
satisfaction	satisfacció
sensation	sensació
sensibility	sensibilitat
easily	fàcilment
fox	guineu
fundamental	fonamental
religiosity	religiositat
naturally	naturalment
link	lligar
organizer	organitzador
organize	organitzar
frequent	freqüent
essentially	essencialment
access	accés
alphabetically	alfabèticament
analyze	analitzar
strictly	estrictament
metaphor	metàfora
representation	representació
coincidence	coincidència
alphabetize	alfabetitzar
threaten	amenaçar
distance	distància
slow	alentir
breathe	alenar
traditionally	tradicionalment
authority	autoritat
perfection	perfecció
characterize	caracteritzar
consolidation	consolidació
parallel	paral·lel
responsibility	responsabilitat
nobility	noblesa
circumstance	circumstància
political	polític
possibility	possibilitat
existence	existència
editing	edició
linguistically	lingüísticament
presence	presència
set alight	abrandar
give water	abeurar
passion	passió
become	esdevenir
embrace	abraçada
kick	coça
henpecked husband	calçasses
lower	abaixar
ridicule	ridiculitzar
glory	glòria
linguistic	lingüístic
systematic	sistemàtic
level	nivell
then	doncs
zoological	zoològic
courage	coratge
relative	relatiu
circulation	difusió
initially	inicialment
lexical	lèxic
orthographical	ortogràfic
morphological	morfològic
solution	solució
correction	correcció
redaction	redacció
patriotic	patriòtic
differentiation	diferenciació
identity	identitat
tenir en compte	tenir en compte
revolution	revolució
partially	parcialment
completely	completament
anonymous	anònim
encyclopedic	enciclopèdic
character	caràcter
romantic	romàntic
pointlessly	inútilment
allow	permetre
really	efectivament
teaching	ensenyament
partícula subatòmica	partícula subatòmica
element químic	element químic
biotite	biotita
active	actiu
indisputable	indiscutible
volume	volum
less	menys
més o menys	més o menys
name	anomenar
minimum	mínim
above all	sobretot
directly	directament
abundance	còpia
per exemple	per exemple
native	natiu
activism	activisme
injure	ferir
permission	permissió
series	sèrie
period	període
celebratory	celebratiu
existential	existencial
orientació sexual	orientació sexual
poker	pòquer
debt	deute
better	millor
combination	combinació
chess	escacs
humble	humil
passage	passatge
Christian	cristià
archive	arxivar
Renaissance	Renaixença
change	canvi
quality	qualitatiu
punt de vista	punt de vista
intellectual	intel·lectual
satire	sàtira
Italianize	italianitzar
literary	literari
excessive	excessiu
obligation	obligació
only	exclusivament
First World War	Primera Guerra Mundial
unitat astronòmica	unitat astronòmica
astronomic	astronòmic
participation	participació
immediately	immediatament
diving duck	morell
interacció fonamental	interacció fonamental
interaction	interacció
interacció electromagnètica	interacció electromagnètica
interacció nuclear feble	interacció nuclear feble
interacció nuclear dèbil	interacció nuclear dèbil
interacció nuclear forta	interacció nuclear forta
interacció forta	interacció forta
interacció gravitatòria	interacció gravitatòria
continuity	continuïtat
-ity	-itat
thanks to	gràcies a
generosity	generositat
ambitious	ambiciós
mummy	mòmia
authentic	autèntic
accompany	acompanyar
pickpocket	carterista
quantify	quantificar
disinterested	desinteressat
interested	interessat
experience	experiència
generously	generosament
Latin	llatí
illiteracy	analfabetisme
specialize	especialitzar
diplomatic	diplomàtic
middle	mitjà
extremely	extremament
donation	donatiu
description	descripció
section	secció
currently	actualment
following	seguiment
advice	consell
chronological	cronològic
accuracy	exactitud
final	últim
collaboration	col·laboració
nominate	nomenar
senate	senat
parallelly	paral·lelament
respective	respectiu
respectively	respectivament
orientation	orientació
heterosexuality	heterosexualitat
bisexuality	bisexualitat
asexuality	asexualitat
pansexuality	pansexualitat
sexuality	sexualitat
Indian	dindi
operation	operació
en efecte	en efecte
sallet	celada
intelligible	intel·ligible
why	perquè
officially	oficialment
documentation	documentació
new	novetat
undoubtably	indubtablement
objective	objectiu
horizon	horitzó
event	esdeveniment
unfindable	introbable
decision	decisió
donor	donant
horned	cornut
activation	activació
definitively	definitivament
influence	influència
negotiation	negociació
feminism	feminisme
cassoulet	caçolet
unblock	desbloquejar
situation	situació
encrypt	encriptar
pyramidal	piramidal
centrism	centrisme
praetor	pretor
long cliff	cinglera
economic	econòmic
approximate	aproximatiu
bibliographic	bibliogràfic
observation	observació
request	sol·licitar
accept	acceptar
ask	demanar
authorize	autoritzar
formerly	antigament
amphibian	amfibi
permanence	permanència
truth	veritat
title	títol
before	abans
conscience	consciència
character	personatge
offer	oferir
posthumously	pòstumament
encourage	encoratjar
starting	a partir de
maintain	mantenir
wholly	íntegrament
advisor	conseller
genuine	legítim
colònia penal	colònia penal
unfinished	inacabat
finish	acabat
reference	al·lusió
delegate	delegat
folkloric	folklòric
inflict	infligir
colonialism	colonialisme
com de costum	com de costum
study	estudi
Algherese	alguerès
detail	detall
knowledge	coneixement
grammar	gramàtica
valid	vàlid
sensitization	sensibilització
-ation	-ació
content	contingut
polemic	polèmica
prop	puntal
sprite	barrufet
adversary	adversari
singer	cantaire
promise	prometre
purely	purament
openly	obertament
open	obert
unity	unitat
pro-Catalan	catalanista
only	únic
expose	exposar
devastating	devastador
jurist	jurista
combat	combatre
Madridista	madridista
Panthera leo	lleó
nobly	noblement
cellist	violoncel
atheistic	ateu
Hinduism	hinduisme
invade	envair
conquer	conquerir
subjugate	subjugar
vice president	vicepresident
skylight	claraboia
naturalism	naturalisme
dogmatism	dogmatisme
boarding house	hostal
compilation	compilació
faithfulness	fidelitat
especially	especialment
formation	formació
philologist	filòleg
ambition	ambició
abandonment	abandonament
abandonment	abandó
nonexistent	inexistent
brusque	brusc
worrying	inquietant
Catalanophile	catalanòfil
indirectly	indirectament
Oscan	osc
chyle	quil
silence	silenci
stammering	balb
grille	reixa
dance	ballar
save	aforrar
supply	fornir
cautious	caut
multiculturalism	multiculturalisme
kingdom	reialme
snout	morro
mortify	mortificar
green	verd
need	necessitar
Orthodox	ortodox
impersonal	unipersonal
defend	defendre
sea urchin	garota
persuadable	persuasible
elitist	elitista
occupant	ocupant
reign	regnat
Basque	basc
prevention	prevenció
reception	recepció
intervention	intervenció
option	opció
intention	intenció
torture	turment
cofounder	cofundador
long	llong
equator	equador
tuft	borla
thinness	primesa
documentalist	documentalista
calculated	calculat
perfumery	perfumeria
trade	comerciant
torch	teia
separation	apartament
Bengali	bengalí
obscurantism	obscurantisme
looking	mirador
certainly	segurament
wound	ferida
weak	fleuma
housing	vivenda
engraver	gravador
curry	curri
chili pepper	vitet
spread	estendre
linesman	linier
gymnast	gimnasta
columnist	columnista
intensify	intensificar
crazy	sonat
notary	notari
ovary	ovari
diverse	variat
leader	canceller
turban	turbant
ferruginous duck	roget
armed	armat
closet	armari
violet	violat
meaning	significat
attacker	atacant
near	vorer
duplicate	duplicat
question mark	interrogant
complicated	complicat
touch	tacte
honorary	honorari
roof	teulat
antiquated	antiquat
oblique	oblic
equity	equitat
hiatus	hiat
tellin	tellina
alpenrose	neret
current	vigent
counter-attack	contraatacar
explode	petar
cool	fixi
surplus	excedent
convincing	convincent
premature	prematur
circumcise	circumcidar
step	passet
supermarket	supermercat
cashier	destituir
resistant	resistent
charming	garrit
definite	definit
moo	mugit
timber	fustam
let's see	aviam
blouse	brusa
crime	delicte
stench	ferum
addicted	addicte
cedar	cedre
sulfuric	sulfuri
contradictory	contradictori
aluminium	alumini
corporeal	corpori
nexus	nexe
intact	intacte
Mayan	maia
patrician	patrici
beech marten	fagina
erect	erecte
product	producte
francium	franci
flask	cantimplora
golden	auri
long live	visca
wheat	tritici
public prosecutor	fiscalia
educated	educat
prioress	priora
crazy	tronat
recipe	recepta
tmesis	tmesi
eclipse	eclipsi
epitaph	epitafi
initiate	iniciat
start	inici
honorably	honorablement
igneous	igni
imperceptibly	imperceptiblement
improbably	improbablement
invisibly	invisiblement
inflexibly	inflexiblement
inexact	inexacte
incorrect	incorrecte
inexplicably	inexplicablement
invariably	invariablement
from	procedent
simple	senar
considerate	considerat
variably	variablement
exponential	exponencial
conspirator	conspirador
connect	connectar
choose	escollir
pick	triar
determined	determinat
delayed	retardat
add	afegir
treaty	tractat
welcome	benvingut
welcome	benvinguda
welcome	benvinguts
welcome	benvingudes
de nou	de nou
back	enrere
behind	darrere
una mica	una mica
una mica de	una mica de
little	poc
take	trigar
discourse	discurs
happy	feliç
lamb	anyell
castrate	capar
Wikipedia	Viquipèdia
plenitude	plenitud
caress	carícia
affectionate	afectuós
affection	afecció
biscuit	galeta
wake up	despertar-se
this	aquest
that	aquell
distract	distreure
waste time	entretenir-se
have fun	divertir-se
so	així
that	allò
there	allà
get	posar-se
disappear	desaparèixer
reappear	reaparèixer
inspection	inspecció
examination	examinació
check	comprovar
thief	lladre
seem	semblar
news	notícia
news	notícies
confrontation	enfrontament
shooting	tiroteig
police	policia
student	estudiant
publicity	publicitat
university	universitat
become cloudy	ennuvolar-se
worm	verm
darts	dards
happy birthday	per molts anys
congratulations	felicitats
someone	algú
any	qualsevol
no one	ningú
something	quelcom
alguna cosa	alguna cosa
someone	qualcú
qualsevol cosa	qualsevol cosa
cada un	cada un
cada u	cada u
each one	cadascú
l'un a	l'un a l'altre
posar-se vermell	posar-se vermell
turn	tornar-se
softness	suavitat
soft	suau
red	vermell
kiss	petó
kiss	petonejar
go	marxar
de fet	de fet
stay	quedar-se
worry	preocupar-se
punish	penalitzar
expect	esperar-se
cut	retallar
stick	enganxar
controlador de dispositiu	controlador de dispositiu
obstructed	encallar-se
try hard	esforçar-se
rainbow	arc de Sant Martí
purple	porpra
Wednesday	dimecres
Sunday	diumenge
week	setmana
autumn	tardor
winter	hivern
station	estació
calendari gregorià	calendari gregorià
Gregorian	gregorià
Africa	Àfrica
Antarctica	Antàrtida
Asia	Àsia
North America	Amèrica del Nord
South America	Amèrica del Sud
North America	Nord-amèrica
South America	Sud-amèrica
America	Amèrica
American	americà
electromagnetic radiation	radiació electromagnètica
radiation	radiació
electromagnetic	electromagnètic
tanner	adober
pass sentence	pronunciar-se
tomorrow	demà
radicalism	radicalisme
ara mateix	ara mateix
go off	passar-se
spot	clapa
please	si us plau
please	sisplau
please	plaure
tire	cansar-se
of course	és clar
sniper	franctirador
only	només
legume	llegum
tot plegat	tot plegat
cheek	galta
hold on	agafar-se
in agreement	disconforme
almost	gairebé
time	vegada
ally	aliat
quintal	quintar
ichor	icor
goldfinch	cadernera
deer	cérvol
sick	malalt
brochure	fullet
catalogue	catàleg
prince	príncep
wag	cuejar
verb	-ejar
purr	ronronejar
banish	desterrar
ray	raig
knee	genoll
intestines	budell
Reuben	Rubèn
Valencian	valencià
legion	legió
Czech	txec
knife	coltell
knife	ganivet
fascism	feixisme
fascist	feixista
broody hen	lloca
rod cell	bastonet
definition	definició
anadromous	anàdrom
ja que	ja que
since	des de
west	oest
southwest	sud-oest
northwest	nord-oest
northeastern	nord-oriental
southeastern	sud-oriental
southwestern	sud-occidental
northwestern	nord-occidental
punt cardinal	punt cardinal
crucifix	santcrist
treat	tractar
tractar de	tractar de
you	vosté
badlands	garrotxa
biomechanics	biomecànica
parleu anglès	parleu anglès
do you speak English	parla anglès
t'estimo	t'estimo
t'estime	t'estime
I love you	t'estim
Camp de Túria	Bétera
Horta Nord	Montcada
Camp de Túria	Serra
Camp de Túria	Nàquera
barbarian	bàrbar
herpes zoster	zòster
herpes zoster	herpes zòster
reptile	rèptil
herptile	hèrptil
Camp de Túria	Llíria
Camp de Túria	Benaguasil
Camp de Túria	Vilamarxant
lamppost	farola
I need water	necessito aigua
shortwave	ona curta
ona de ràdio	ona de ràdio
medium wave	ona mitjana
longwave	ona llarga
modulació de freqüència	modulació de freqüència
modulació de amplitud	modulació de amplitud
frequency modulation	freqüència modulada
amplitude modulation	amplitud modulada
frequency	freqüència
modulation	modulació
occupy	ocupar-se
patriarchal	patriarcal
tongue-twister	travallengua
click	clicar
witch doctor	fetiller
helix	hèlix
Llíria	llirià
Bétera	beterà
Sweden	Suècia
camel	camell
translation	traducció
England	Anglaterra
stomach	estómac
mountaineering	alpinisme
stork	cigonya
Croatia	Croàcia
angel	àngel
govern	governar
forget	oblidar
use	fer servir
per culpa de	per culpa de
falcon	falcó
flog	fustigar
signer	firmant
inverted	invertit
carrier wave	ona portadora
prayer	oració
ask oneself	preguntar-se
emit	emetre
com a molt	com a molt
com a màxim	com a màxim
maximum	màxim
railway track	via fèrria
signal	senyal
realise	adonar-se
voler dir	voler dir
as	com que
absolute superlative	-íssim
apt	apte
per fi	per fi
en fi	en fi
aid	auxili
time	migdiada
midday	migdia
become drunk	embriagar-se
must	haver de
trobar a faltar	trobar a faltar
miss	enyorar
depth	calat
next	que ve
tickles	pessigolles
husk	esbrinar
in	d'aquí a
tasty	apetitós
accustomed	acostumar-se
simple	senzill
kind	gènere
dialogue	dialogar
naturally	tanmateix
united	unir-se
sufficient	suficient
both	ambdós
remote	llunyà
contestant	concursant
pipe	conducte
light	claror
cold	constipat
artery	artèria
per ara	per ara
defect	defecte
deliberate	deliberat
passport	passaport
Canadian	canadenc
petal	pètal
cancer	càncer
video game	videojoc
syllable	síl·laba
arma de foc	arma de foc
xenon	xenó
planeta nan	planeta nan
witch	bruixa
gospel	evangeli
mausoleum	mausoleu
muscle	múscul
Costera	Xàtiva
Marina Alta	Dénia
volcano	volcà
Switzerland	Suïssa
brother	germà
Lithuania	Lituània
pencil	llapis
science	ciència
indefinite	indefinit
Valencia	Moncofa
literally	literalment
encyclopedia	enciclopèdia
mask	màscara
elect	electe
test de Rorschach	test de Rorschach
Luke	Lluc
Slavic	eslau
league	lliga
armpit	axil·la
common	comú
Simon	Simó
surname	cognom
self-criticism	autocrítica
self-critical	autocrític
dangerous	perillós
desire	desig
vortex	vòrtex
whirlpool	remolí
growing	creixent
obliging	complaent
drunk	begut
faithful	creient
vanity	cregut
