then	nu
intoxicating	madirā
gentleness	soracca
fallowness	cetokhila
 thirst	pipāsā
eating	khādana
good	cakkhussa
adorn	maṇḍeti
moral	sīlavipatti
silent	maṅkubhūta
epithet	mahāmuni
fear	tāsa
horn	siṅga
tightly	gāḷhaṃ
cut	chinna
lightning	vijju
string	sikkā
womankind	mātugāma
fisherman	bāḷisika
rib	phāsuḷī
list	uddāna
resident	āvāsika
dutiful	vattasampanna
shine	sobhati
well behaved	pesala
revolve	bhamati
support	nissaya
assent	sammannati
pointed out	anuddiṭṭha
born	jāta
regulator	senāsanapaññāpaka
sleeping	senāsana
old	purāṇa
rice	yāgu
enter	pavisati
sender	pesaka
investigation	dhammavicaya
joyful	somanassajāta
fame	siloka
untruth	mosavajja
niggardliness	kadariyatā
nest	niḍḍha
nest	nīḷa
primeval	sanantana
done	kāriya
silken	kosiya
future	samparāya
coming	āgāmin
everywhere	sabbadhi
rich	aḍḍha
rich	āḷhiya
word	girā
father	pitucchā
teach	pasāsati
play	kīḷati
casket	mañjūsā
bought	kīta
practice	ācarati
leader	vināyaka
misconduct	anācāra
diminution	hāyana
stand	abhitiṭṭhati
counsel	mantanā
rain	vuṭṭhi
cornice	vedikā
full	vepulla
answer	veyyākaraṇa
distinction	veyyattiya
difference	vemattatā
separate	pacceka
learned	sutavant
terrestrial	bhumma
namaste	อัญชะลิ
tell	sāveti
announce	anussāveti
deva	cātummahārājika
great	mahārājan
taken	laddha
plunge	ogāhati
fully	sammāsambuddha
laugh	hasati
seen	sakkhidiṭṭha
removal	vinaya
mother	mātāpitar
mātā	mātāpitā
light	pabhā
ocean	mahaṇṇava
now	adhunā
stale	parivuṭṭha
permission	okāsakamma
strong	balin
evil	pāpin
go	yāyin
returner	anāgāmin
protector	tātar
head	sīsa
external ear	kaṇṇa
tongue	jivhā
nose	nāsā
entrance	mukhadvāra
perpetually	niccaṃ
trustworthy	saddhāyika
seventh	sattama
Japan	ဂျပါန်
streak	lekhā
demon	rakkhasa
lizard	godhā
asafetida	hiṅgu
side	pakkha
waxing	sukkapakkha
go out	nikkhamati
royal	rājadūta
royal	ရာဇဒူတ
young	yuvāna
maiden	yuvatī
palace	सुरम्म
very	suramma
half-	aḍḍha-
āhuneyya	ອາຫຸເນຍຍະ
weapon	āvudha
go out	udeti
frightful	ghora
វិធិ	vidhi
chief	muninda
you	ຕວັງ
exceed	atireka
exceed	ອະຕິເລກະ
contend	abhiyujjhati
name	āḷavaka
impatient	akkhama
tame	dameti
restrained	sudanta
snake	vāḷa
bow	dhanu
for sale	keyya
frightened	bhīta
swan	haṃsa
dispassion	virāgo
wealth	vasu-
archer	vālavedhin
widow	vidhavā
wool	uṇṇā
itching	khajju
owl	ulūka
Theravada	theravādo
Theravada	เถรวาโท
Theravada	ထေရဝါဒော
assign	paññāpaka
ascetic	samaṇa gotama
peace	သမဏ
smoke	dhūma
thigh	satthi
happy	sukhin
urine	passāva
carpenter	vaḍḍhaki
order	āṇā
king	rājaputta
dung	gūtha
throw	khipati
hold	ukkhipati
sword	khagga
prosperity	iddhi
embellished	saṅkhata
stick	kaṭṭha
crooked	ဝင်္က
blame	nindā
seven	sattāha
calmed	ສັນຕະ
abandon	ວິຊະຫະຕິ
grow	rūhati
grow	ropeti
concentrate	abhiropeti
Rahula	Rāhula
mentally	andhabhūta
light	padīpa
cat	biḷāra
gun	aggināḷī
hollow	nāḷī
monkey	vānara
calf	vaccha
crab	kakkaṭaka
camp	khandhāvāra
ox	goṇa
warrior	yodha
squirrel	kalandaka
buffalo	mahiṃsa
buffalo	mahisa
image	paṭimā
statue	पटिमा
leopard	dīpin
dagger	churikā
mail	kavaca
pomegranate	dāḷima
pomegranate	dāḍima
crocodile	kumbhīla
cavalry	assasenā
elk	gokaṇṇa
fifty	paññāsa
porcupine	sallaka
coconut palm	nāḷikera
cardamom	elā
Kanhagotamaka	kaṇhagotamaka
chameleon	kakaṇṭaka
python	ajagara
musk	katthūrikā
coconut milk	khīraṃnāḷī
topaz	phussarāga
warehouse	bhaṇḍāgāra
rat snake	gharasappa
knee	jāṇu
knee	jānu
elbow	kappara
except for	ṭhapetvā
bear	bharati
speckled	phussa
move	vicarati
snake	bhujaga
praise	thuti
cry	kandati
pity	karuṇā
digging	khaṇana
lie	မုသာ
blood vessel	sirā
fireplace	aggiṭṭhāna
living	pāṇabhūta
loose	saṭhila
pull	añjati
treasure	nidhi
doubt	saṃsaya
past	purātana
bad	akkhaṇa
manhood	manussatta
