dog	chien
lineage	lignaige
shine	luyre
air	aër
kidney	roignon
diastolic	diastolicque
systolic	systolicque
chew	mascher
neighbor	voysin
suddenly	soubdainement
attach	atacher
benefactor	biensfaicteur
calibre	qualibre
receiver	recepvant
establish	establyr
wedding	nopces
domestic	domesticque
grandfather	grandpere
expenditure	despence
honorific	honorificque
generally	generalement
heroic	heroïque
memory	memoire
conjugal	coniugal
cuckold	coqu
indebted	endebté
inheritance	heritaige
assure	asceurer
assurance	asceurance
representation	repraesentation
Homeric	Homericque
Homer	Homere
ambush	embusche
artery	artere
preside	praesider
Olympic	Olympicque
cursed	mauldict
male goat	boucq
pudic	pudicque
bastard	conart
coward	couart
foretell	prognosticquer
brave	couraigeux
present	praesent
necessary	necessaire
circumference	circunference
witness	tesmoigner
communicate	communicquer
supper	soupper
hare	lievre
imperfect	imperfaict
presence	praesence
fantastic	phantasticque
angry	fasché
angelic	angelicque
Satan	Sathan
benign	bening
evil	maling
sometimes	aulcunesfoys
necessity	necessité
pointed	poinctu
become pregnant	engroisser
peut estre	peut estre
prophetic	propheticque
otherwise	aultrement
circumcision	circuncision
confirm	confermer
brevity	briefveté
dormitory	dortouoir
sneeze	esternuement
palm	paulme
eyelid	paulpiere
eyelid	paupiere
thought	pensement
omen	praesaige
appear	apparoistre
warn	praevenir
armpit	escelle
poetic	poëticque
old man	vieillart
sapphire	sapphyr
fast	ieuner
go backwards	reculler
sin	pecher
heir	heritier
predictor	prognosticqueur
escape	fuyte
study	diabolologie
truthfully	veritablement
hazardous	hazardeux
enraged	enraigé
dragon	dracon
bird	oizeau
remark	propous
consideration	consyderation
female devil	diablesse
cuckoldry	coqüage
jealousy	ialousie
jealous	ialous
theologian	theologien
wake up	esveigler
rest	repous
household	mesnaige
player	ioueur
foresee	praevoir
watch over	veigler
prey	proye
terrifying	horrificque
pudic	pudicquement
enterprise	entreprinse
vile	espoventable
revere	reverer
lightning	fouldre
eternal	eternel
eternally	eternellement
well	puiz
hyena	hyene
surprised	surprins
surprise	surprinse
yesterday	hyer
vulgar	vulguaire
jongleur	iongleur
mathematician	mathematicien
Scotsman	Escossois
author	autheur
Venetian	Venitien
judicial	iudiciaire
sincere	syncere
unpunished	impuny
guilty	coulpable
infinite	infiny
coldness	froydeur
aulcunes foys	aulcunes foys
preparation	praeparation
unknown	incongneu
unmix	demesler
si non	si non
assent	condescendre
eldest	aisné
destruction	destruiment
shine	reluyre
household management	œconomique
caliph	calife
gisarme	guisarme
reach	attaindre
baluster	balustre
curative	medicable
have again	ravoir
conjecture	coniecture
please	complaire
patrician	patricien
before	ains
Englishman	godon
execute	executer
medicinal	medicinable
presume	presumer
neighboring	circonvoisin
delay	retardement
break	desrompre
exile	essilier
entrails	nombles
let	laire
infirmity	infirmité
destroy	desconfire
graze	pasturer
piquant	picquant
pick	picque
acquaintanceship	accointance
prostitute	courtisane
mouse	sourys
gardener	iardinier
sad	melancholier
moy	moy-mesmes
Limousin	Limosin
third	troisiesme
second	deuxiesme
fifth	cinquiesme
sixth	sixiesme
seventh	septiesme
eighth	huitiesme
tenth	dixiesme
Macedonian	Macedonien
born after	puisné
displeasure	desplaisir
excess	excez
evil	meschanceté
behavior	desportement
add	adiouster
recognition	recognoissance
chest	poictrine
rip up	deschirer
stanchion	estanson
easily	ayseement
commodity	commodité
taxation	reve
symmetry	symmetrie
damn	dampner
equip	appareiller
breast	tetin
fault	coulpe
cadaverous	cadavéreux
cluck	caqueter
Castile	Castille
beer	cervoise
coward	poltron
Armenia	Armenie
overflow	desborder
terrible	penible
night	nuict
generously	genereusement
death	deces
idleness	oysiveté
idle	oysif
easily	aiseement
fertile	fertille
choke	estouffer
weaken	affoiblir
weakness	foiblesse
novelty	nouvelleté
falseness	fauceté
this one	cettuy-cy
offend	offencer
pleasantly	plaisamment
remarkable	remarcable
republic	republique
unbelievable	incroiable
protect	garentir
towards	devers
pourveu que	pourveu que
discourtesy	discourtoisie
Christianity	Christianisme
accustomed	accoustumé
pleasant	aggreable
mystery	mystere
pale	pasle
Christianity	Chrestienté
anger	fascherie
insolent	effronté
remove	descharger
possess	posseder
suspicion	soubçon
under	soubs
order	renger
treasure	thresor
equally	esgalement
Portuguese	Portugalois
defeat	desfaicte
exploit	exploict
reject	reietter
faithfully	fidelement
care	soing
January	Janvier
shell	toict
unknot	desnouer
appear	paroistre
equality	equalité
practice	practicquer
leave	quiter
lizard	laizard
toad	crapault
enough	assés
fisherman	pescheur
whip	foetter
hereditary	hereditaire
clyster	clystere
drive	duire
heavy	poisant
extremity	extremité
title	tiltre
queen	royne
drink	bruvage
extinguish	esteindre
establishment	establissement
enlarge	eslargir
predecessor	predecesseur
spend	despencer
flute	fleute
piety	pieté
satisfied	satisfaict
regurgitate	regorger
majesty	magesté
render serene	serainer
among	emmy
shining	luysant
morion	morrion
drunkenness	yvresse
melancholic	melancholique
divert	destourner
render stupid	abestir
mixture	meslange
fight	luitter
poetically	poetiquement
rhetoric	rhetorique
painting	peincture
envenom	envenimer
plausible	vraysemblable
duration	duree
unitedly	uniement
knot	neud
of which	dequoy
dislodge	desloger
familiarity	familiarité
particularly	particulierement
conscientious	conscientieux
among	parmy
begin	encommencer
disinherit	desheriter
skin	escorcher
disloyalty	desloyauté
inequality	inegalité
victor	vaincueur
acquire	acquerir
disadvantageous	desavantageux
omit	obmettre
form	fourme
evil intention	maltalent
practice	prattiquer
shelter	abry
Pole	Polonnois
separate	escarter
asperity	aspreté
light up	esclairer
blasphemer	blasphemateur
barely	guiere
foresight	prevoiance
foresee	prevoir
thus	ainsin
distance	esloignement
flatterer	flateur
puncture	picqueure
pleasure	iouyssance
below	dessoubs
safety	sauveté
genealogical	genealogique
deny	desadvouer
eternity	aeternité
refresh	refréchir
majority	pluspart
with	aveq
sponge	esponge
hatred	hayne
enjoy	iouyr
surprise	estonnement
stupid act	bestise
control	contreroller
blow	horion
needle	esguille
thicken	espessir
prayer	priere
recognizable	connoissable
enjoy	reiouyr
fall	cheute
Catholic	Catholique
rhythmic	rithmique
trial	incommodité
resonance	raisonnance
safety	garison
Portugal	Portingal
beehive	rusche
fear	redoubter
apiary	ruscher
apiary	apier
artfully	artistement
gather up	ralier
inform	emboucher
piss pot	pissepot
cheese	formage
scuffle	escarmuche
spear	javeline
yacht	iachte
flying buttress	bouteret
wasp	guespe
pick grape	grapper
strangeness	estrangeté
breach	bresche
drunkenness	yvrongnerie
get drunk	enyvrer
prevent one another	entrempescher
gaiety	gayeté
casing	estuy
defy	deffier
apprentice	apprentif
evidently	evidemment
Stoic	Stoicien
hate	hayr
nous mesmes	nous mesmes
right	droictement
fall	cheoir
naivety	naïfveté
maistre d'escole	maistre d'escole
maistres d'escole	maistres d'escole
join	ioindre
chick	oysillon
falsely	faucement
poisoning	envenimement
miscalculation	mescompte
woman	garse
perceive	appercevoir
countryside	campaigne
fainting	esvanouissement
throw	eslancer
die again	remourir
flash	esclair
oneself	soy-mesmes
necessarily	necessairement
conjecturally	coniecturalement
mark	merque
flattery	flaterie
remark	remerquer
easily	aysement
easy	aysé
devoid of	despourveu
Aristotelian	Aristotelique
recognizable	recognoissable
tolerant	espargnant
imbecility	imbecillité
lovable	aymable
constraint	contraincte
conduct	conduicte
boring	ennuieux
defect	deffaut
mastery	maistrise
scholastic	scholastique
disdain	mespris
disgusted	desgousté
goat	chevre
accustomed	accoustumance
desperately	esperduement
equipment	equippage
light up	esclaircir
perfectly	parfaictement
disorder	desreiglement
imperfect	imparfaict
malicious	malitieux
reassure	r'asseurer
vicious	vitieux
piece	enhortement
capon	chappon
presuppose	presupposer
haughty	haultain
debauchery	desbauche
Swiss	Souysse
unreasonable	desraisonnable
unpleasant	deplaisant
embalm	embausmer
token	mereau
tin	estain
disrupt	desregler
atheist	atheiste
Toulouse	Thoulouse
Pagan	Payen
in need	souffreteux
conclude	conclurre
equal	esgaler
demonstration	appertise
hearing	ouye
ladder	eschelle
remarkable	remerquable
shake	bransler
effeminate	effeminé
poison	enpoisonner
inequality	inequalité
discontent	mescontentement
sharpen	esguiser
trick	lurrer
mainly	principallement
weigh	contrepoiser
distant	esloigné
twentieth	vingtiesme
nastily	meschammant
troop	trouppe
thousandth	millieme
cherish	cherir
subscribe	soubscrire
lantern	phanal
food	fourage
stirrup	estrier
standard	estalon
work	besongne
firm up	fermir
tell	racointer
revenge	revencher
know one another	entreconnoistre
vileness	vilité
falsify	faucer
soften	amolir
Vandal	Vuandale
air	esventer
quarrel	quereler
usually	coustumierement
resistance	resistence
tost ou tard	tost ou tard
injustice	iniustice
Libya	Lybie
ruin one another	entreruyner
prolong	alonger
become young	raieunir
joint	iointure
curse	iniurier
forcefully	vifvement
get rid of	debaracer
theft	larecin
sincerity	syncerité
weakening	affoiblissement
baker	bolenger
fear	effroy
manager	mesnager
obey	obeyr
disobedience	desobeïssance
better	prevaloir
besiege	assieger
widow	vefve
widowhood	vefvage
cheek	iouë
pale	blesme
liberalness	liberalité
promise	creancer
older	envieillir
precious	pretieux
apothecary	apotiquaire
pill	pillule
lizard	lezart
link	raporter
conjecture	coniecturer
advise	desconseiller
worsening	deschet
dehorn	escorner
hollow	creuz
at least	aumoins
medicinal	medecinal
scatter	esparpiller
bark	escorce
cost	coust
work	besoinger
sinew	nerfveux
hateful	hayneux
illegitimate	illegitime
moderately	moderéement
hope	esperer
Russian	Russien
upkeep	entretenement
peel	esplucher
nostril	nazeau
joy	esiouissance
disgust	desgoust
irregular	irregulier
majority	maiorité
stretch	estirer
give in	encliner
unknot	desnouement
denounce	denunchier
chronicle	croniquier
pillage	embler
inform	infourmer
Limousin	Lymosin
reconquer	reconquerir
Spaniard	Espaignol
still	encoires
alliance	aliance
Portuguese	Portingalois
community	communaulté
Lisboner	Lissebonnois
Portuguese	portingalois
Spanish	espaignol
as	sicomme
Aquitaine	Acquitaine
florin	flourin
thank	regratier
Catalonia	Castelongne
Barcelona	Basselonne
livestock animal	bestail
act	acquiter
anger	courouchier
cause	traveillier
Gascon	gascoing
suspicion	sospechon
be	demourer
entandis que	entandis que
external door	uys
reclose	reclorre
avoid	eschever
damage	adommagier
ransom	raenchon
ransom	raenchonner
take care of	soingner
log	busche
extraction	estration
Anjou	Angou
hostage	hostaigier
treaty	traittié
Toulouse	Thoulousain
company	compaignie
safely	saulfvement
takable	prendable
dry	secq
Italy	Ytalie
Naples	Napples
freezing	geller
promise	prommesse
foresee	pourveoir
irritating	rebarber
bell tower	clochier
desire	desirier
displeasure	desplaisance
pillager	pillart
chamfron	chanffraint
heiress	heritiere
load	encharger
imagine	ymaginer
imaginative	ymaginatif
disbeliever	mescroiant
convivial	conioussable
welcome	coniouir
friendly	accointable
Languedoc	Languedoch
get to know	accointer
hate	enhayr
sixteen	seze
young man	ieuvencel
irritate	enfelonner
small pouch	boursette
really	voirement
rendre ame	rendre ame
knife	coutelet
angry	ireux
they	euls
par especial	par especial
attentive	ententif
solemn	solempnel
solemnly	solempnellement
solemnity	solempnité
clergy	clergié
psalm	pseaulme
Easter	Pasques
plainly	plainement
luck	estraine
archpriest	arceprestre
lord	captal
occupy oneself	aquitter
profit	prouffit
joyously	lyement
street cleaner	escopateur
departure	partement
annonce	nonchier
anger	courrouchier
angry	courrouchié
avenge	contrevengier
injure	mehaignier
clothe	avestir
barony	chastellerie
during	entrementes
Gascon	Gascoing
especially	especialement
experienced	usagié
Cherbourg	Chierrebourg
soon	temprement
seal	seeller
sad	melenconieux
castle owner	chastellain
arrange	arroier
faire visaige	faire visaige
provision	pourveance
heaume	heaulme
remain silent	entaire
female lover	amiette
worsening	empirement
lively	frisque
spread	espardre
unfold	desploier
vanity	beubant
bigger	greigneur
marvel	esmerveillier
deed	dymage
disappear	esvanouir
sow	truye
muzzle	musel
following	enssieuvant
hit	buchier
approach	approuchier
shout	cryer
underground area	soubsterrine
pack	trousser
departure	yssue
crossbowman	arbalestrier
stand up	redrechier
Lourdes	Lourde
deride	desrisier
sultan	souldan
subjection	subiection
subjugate	subiuguier
Hungary	Honguerie
axe	coingnie
core	noiau
encourage	enhorter
chronicle	cronique
fortunate	fortuneux
plumage	plumaige
Castilian	Castelan
promise	enconvenencier
duchy	duchié
kneel	agenouller
adultery	adoultrie
dissension	discention
profitable	prouffitable
Castilian	Casteloing
bastardy	bastardie
coat of mail	cotte de mailles
widow	vesve
pestilence	pestillence
renew	renouveller
no	nennil
combat	estour
destruction	desconfiture
terrifying	terrificque
Picardy	Piccardie
defender	deffendeur
Castilian	Castillien
over	oultre
cream	chresme
exhausted	traveillié
next to	delez
fear	cremeur
raise	desancrer
à voulenté	à voulenté
sail	singler
cart	voitture
harness	harnas
battle	armoier
comparison	comparoison
chivalry	chevallerie
remove	destabler
provide	approuvender
forage	fouragier
forager	fourageur
herald	herault
quietly	quoiement
knee	genoul
engage	hostoier
minster	moustier
nightmare	cauchemare
covetous	entallenté
herring	herenc
oat	avaine
expensive	coustable
diligent	dilligent
Muhammad	Mahommet
clothmaker	tellier
suitable	deffensable
frenzy	marmouserie
sword	espafust
pretty	iolyer
decorate	cointoier
insignia	enseignier
decoration	pareure
leaf	feulle
York	Yorch
Salisbury	Saslebery
Windsor	Windesoire
en fleur	en fleur
Buckingham	Bouquinghem
Sandwich	Zandvich
horribleness	horribleté
harass	herrier
cost	coustage
wooden post	merrien
far away	enssus
press	appuier
end	parfin
de randon	de randon
impetuously	randonneement
strike	picquier
pick	picq
break ranks	desrouter
oath	serement
plentiful	plentureus
proposition	proupos
soldier	souldoyer
captivity	captivoison
meet one another	entrencontrer
wound	navreure
Galician	gallicien
nobleman	bailly
come together	conioindre
empty	relenter
proclaim	banir
disguise	desguiser
portray	portraire
drink	boysson
zeal	zelle
engulf	sorbir
title	entituler
representative	representatif
tedious	tedieux
grand duke	grant duc
shard	esclat
confiscate	abjuger
move	desplacer
demolish	desmolir
prognosticating	prognosticatif
pejorative	marault
occur	occurrer
laxative	minoratif
repository	repositoire
much	granment
call out	heiler
cylinder	chilindre
speech	concion
wood	marrien
pipe	tuel
scare	effreer
scale	escaille
Japan	Iappon
cut-over woods	couppeiz
enrichment	enrichiment
orphrey	orfrais
number	nombrer
put out	destaindre
false	mendacieux
Turkish	Turquois
precious	precieux
woad	guede
coating	stucq
saffron	safleur
islet	islette
unknown	insceu
intertwined	intrincable
approval	approbacion
former	pristin
menu vair	menu vair
fine	mulcter
fine	mulcte
give up	relinquir
leave	delaisser
progenitor	progeniteur
predicate	predicat
Indian	Indois
plume	pennache
right	heredité
wheat	fromenter
frumenty	fromentee
coarse	frocq
banish	forbannir
mistreat	fouller
drink	forboire
push	espraindre
hand-make	manouvrer
pole	estiquette
attach	estacher
worry	esmoy
dazzle	esblouir
prune	aboscher
rough-hew	esbaucher
dispossess	despossesser
disinfect	desinfecter
entice	desbaucher
colonel	coronnel
plague	morine
departure	departie
Sunday	Dimenche
equip	enconcher
combination	combinacion
devoted	devotieux
August	Aoust
treaty	traicté
dark	caligineux
packing	pacquage
pack	pacquer
packet	pacque
symptom	sinthome
court jester	boufon
rare	boucquain
ogive	augive
atom	athome
agrarian	agrarien
style	accoustrement
prepare	acoustrer
put	enferrer
obtainment	obtenement
seek	querir
lamp	crasset
expulsive	expulsif
idle	oyseux
smash	effronter
slip	estiquet
quiddity	quiddité
diarrhea	diarrie
system	systeme
subject	subiecter
phthisic	ptisique
screen	escran
around	entour
chess	eschez
Nazarene	Nazarien
cutlet	costelette
warning	premonicion
praetor	preteur
desire	tallent
loot	gaignaige
Guinevere	Genievre
shout	hucher
here	illec
become nighttime	annuyter
evilly	mallement
crash	entrehurter
knock	entreabatre
stunned	estourdi
surprised	estonné
bloody	ensenglanté
tourney	tournoy
tourney	tournoyement
treat	haittier
despite	maugré
dishonor	deshonnourer
immorally	meffaire
poverty	povreté
hermitage	hermitaige
put up	hebergier
Arthur	Artus
Uther Pendragon	Uterpandragon
lack	deffaulte
liberate	desprisonner
wretched	mesaisé
meat	venoison
lodgings	hebergement
disloyal	desloyal
please	s'il vous plaist
misery	ennuy
qu'ilz	q̃lz
thank	remercyer
willingly	voulentiers
honor	honnourer
walk around	pausmer
vassalhood	vasselaige
yard	prael
laud	aloser
lie	mensongier
hide	mucer
palfrey	palefroy
wretched	chetif
wretched	maleureux
scratch	esgratigner
here	ceans
leopard	liepart
meaning	signifiance
day	iournee
deflower	despuceller
those	ceulx
fourteen	quartorze
liberation	delivrance
thank	mercyer
Camelot	Kaamalot
chessboard	eschiquier
grant	ottroyer
arrange	arrengier
marvel	merveiller
delighted	lyé
quickly	ysnelement
pull off	aracher
break	esquacher
Christian	crestien
non-believer	mescreant
misfortune	maleureté
gobble	transgloutir
before	iadiz
fumitory	fumeterre
nobody	nullui
cut off	detranchier
before	ainçois
equip	atourner
contempt	despit
vile	villenie
spur	esperonner
pursue	consuivir
rump	crouppe
Xenophanes	Xenophane
spine	eschine
infringe	enfraindre
portcullis	porte coulisse
attack	offendre
offender	offendeur
i	ĩ
ointment	ongnement
occasion	achoison
henceforth	desormais
scare	esmayer
unconditionally	quittement
Morgan	Morgain
nevertheless	nonpourtant
dirty	esbrouiller
yawn	baailler
household	maisnie
last night	ersoir
promise	affier
account	contreroleur
growth	croissement
right	bienfaire
think of	empenser
Germany	Allemaigne
famished	familleux
standard	estendard
very well	tresbien
very good	tresbon
renoun	renommee
knock down	abbatre
covertly	couvertement
Baudemagus	Baudemagu
sigh	souspir
word for word	mot a mot
gravely	grievement
finish	aterminer
to one's knowledge	a son escient
last	derrain
pensioner	pensionnier
push	apuyer
dishonor	deshonneur
desire one another	entredesirer
do	entrefaire
hit	entrefrapper
Bors	Boort
call	coniurer
ask one another	entredemander
while ago	pieça
daytime	aiourner
rain	plouvoir
court	justicerie
fail	descongnoistre
door	huisset
falconry	faulconnerie
insult	laidenger
unhorse	deschevaucher
misidentify	mescongnoistre
straight away	acoup
follow	enchasser
openly	appertement
election	esliçon
compel	compellir
offspring	posterité
virginity	pucellaige
destroy	desbarater
sinner	pecheur
protect	contregarder
fun	esbatement
sufficient	souffisant
this	cecy
bastard	avoutre
excrement	fyens
Mordred	Mordrec
granary	granche
set fire	esprendre
cursed	mauldit
alms	aulmosne
apostrophe	i'ay
flex	flechir
hardly	gueres
squeeze	destreindre
everyone	trestout
try	pourforcer
confusing	desvoyable
fertility	uberté
aerate	aerer
obligate	apatir
protection	garentissement
give	entredonner
cover	taye
salvage	salvaige
punish	escouiller
chill	morfondre
Scottish	escoçois
Scotsman	Escoçois
custom	souloir
reconsider	reconsiderer
fetter	empieger
stay	seiourner
jewel	ioyau
however	toutesvoies
Jerusalem	Iherusalem
Pope	Apostolle
blessing	beneisson
wise	pourveant
behavior	portement
needed	besoingnable
Turkmenistan	Turquemenie
Turkmen	Turqueman
very large	tresgrant
ringworm	rongne
combattant	combatteur
minstrel	menestrier
stem	estrave
first	primogenit
cold	morfondement
new	nouvelet
trained	stillé
strike	pousseis
verify	esprouver
scare	espoventer
scale	eschieller
beat	esbattre
uneasy	mesaisi
procreating	procreateur
stun	estourdir
wealth	pecune
stop	desister
Tartar	tartois
expensive silk cloth	tartarin
Lutheranism	Lutherisme
procession	pourcession
counter-roll	contrerole
nun	nonnain
close	voisinal
handsome	formeux
handsome	formeus
exanimate	exanimé
vainglorious	vainglorieux
cardinalship	cardinauté
besides	joint que
just as	tout ainsi que
summer	aisté
history	hystoire
feudal tenure	brenage
numerator	numerateur
quaff	carousser
stopper	estoupail
vassal	ligeauté
parsnip	pastenaille
shake	esbranler
proud	braguer
