free	gratis
criminal	sindikat
for	untuk
region	daerah
research	penelitian
inventory	inventarisasi
user	pengguna
literature	kesusasteraan
product	gudang
complete	tamam
horn	klakson
naked	telanjang
eggplant	terong
rim	velg
place	letak
Nelumbo nucifera	padma
etymology	etimologi
guardian	singa batu
traditional	gado-gado
squirrel	bajing
warung	warnet
telecommunication	telepon
abaton	abaton
Cyperus papyrus	papirus
football	bola sepak
if	jika
ada	ada udang di balik batu
material	madi
image	imaji
power	taksu
giraffe	jerapah
anjing	anjing rakun
anjing	anjing laut
mule	bagal
berang	berang-berang
binturong	binturung
water buffalo	kerbau
kelelawar	kelelawar
binatang	binatang menyusui
mouse	mencit
macan	macan dahan
babi	babi hutan
musang	musang luwak
civet	musang
rhinoceros	badak
cattle	sapi
donkey	keledai
wildcat	kucing liar
tikus	tikus got
Buru babirusa	babirusa
Wednesday	Rabu
Monday	Senin
Thursday	Kamis
Friday	Jumat
cup	cangkir
oil	minyak
spoon	sendok
infrared	inframerah
gêrgaji	gergaji
plate	piring
wire	kawat
parachute	parasut
kujang	kujang
bowl	mangkuk
butcher	tukang daging
autograph	tanda tangan
pumpkin	labu
statue	patung
stewardess	pramugari
ocean	samudra
lung	paru-paru
thunder	guntur
cauliflower	blumkol
baozi	bakpao
sister	saudari
lawyer	pengacara
ivory	gading
chain	rantai
knee	lutut
funny	lucu
nail polish	cat kuku
tobacco	tembakau
tuna	ikan tongkol
iced tea	es teh
winged bean	kecipir
air potato	gembolo
palace	keraton
profane	umpat
ransom	tebusan
wasteful	boros
supporter	pendukung
shaman	tabib
omelette	telur dadar
telur	telur goreng
oriental	wajan
butter	mentega
fried egg	telur mata sapi
others	lainnya
forest	orang hutan
stair	tangga
wise	pendeta
drawer	laci
jahat	kejahatan
grade	kelas
disease	penyakit
path	jalur
young	cewek
sakit	sakitnya
element	logam
empire	kekaisaran
fight	tarung
fight	tengkar
nurse	rawat
blizzard	halilintar
blizzard	geledek
child	budak
never	tidak pernah
legalized	resmi
-ation	-asi
hierarchy	hierarki
tourism	pariwisata
wrestle	gulat
bird's eye chili	rawit
food	masakan
sex	jenis
enough	jenuh
ripe	matang
sugar cane	gula pasir
list	daftar
green	lombok hijau
red	lombok merah
fried egg	telor ceplok
monarchist	monarkis
fat	lemak
bra	beha
anniversary	milad
angel	bidadari
image	citra
friend	sobat
auction	lelang
work	karya
grey	abu-abu
typhoon	taifun
powerful	mampu
level	tingkat
mass rapid transit	MRT
sekolah luar biasa	SLB
East Java	Surabaya
peace	damai
proof	alasan
liabilities	utang
velvet	bluderu
Indonesian	lemper
butt	popor
mirror	cermin
watermelon	semangka
swordfish	todak
destiny	takdir
masturbation	onani
easy	mudah
easy	gampang
calon	catam
monarch	datu
Java	Surakarta
responsibility	darma
product	afdruk
carton	slof
phycology	fikologi
croquette	kroket
Brahmin	brahmana
terror	teror
videocracy	videokrasi
bracelet	gelang
fifty	goban
present	hadir
ensign	alferes
red envelope	hongbao
deacon	diaken
victory	kemenangan
peninsula	semenanjung
catastrophe	katastrofe
fat	gendut
unstable	labil
sweet	jeruk manis
button	itil
company	perusahaan
flour	tepung
wool	suf
sand	ramal
olive	zaitun
rencana	RPP
enjoy	menikmati
resident	penduduk
hot spring	onsen
glacier	gletser
God	Tuhan
mutation	mutasi
finance	keuangan
Java	jatilan
vagina	memek
breast	payudara
vast	luas
wedding	pernikahan
magic	sihir
magical	bertuah
magical	tuah
cycle rickshaw	becak
indigenous	bumiputra
while	sementara
born	lahir
liver	hepar
one-way	satu arah
direction	arah
guideline	arahan
komandan	dantor
error	kesalahan
former	mantan
city	Solo
lantern	tanglung
bulge	tombol
indignant	geram
smuggler	penyelundup
alaihi salam	a.s.
belief	kepercayaan
comedian	pelawak
Carthage	Kartago
treasure	arta
Palmae	palem
active	giat
phatic	fatis
law	qanun
bribe	calui
razor blade	silet
instrument	radas
seedling	bibit
full score	partitur
penny	picis
induce	aborsi
tidy	necis
variant	varian
host	hosti
string	senar
possess	memiliki
crown	keron
male	adipati
doctoral	promovendus
grating	kisi
discount	diskon
ceiling	pagu
court	dewan
viceroy	wizurai
milkfish	bandeng
camphor	kamper
suspend	skors
world	jagat
hammerhead shark	hiu martil
provision	provisi
subsidy	subsidi
provost	provos
Sweden	Swedia
vegetable	sayuran
plant	tumbuhan
plant	tanaman
backyard	halaman
risky	riskan
academic	akademis
Egypt	Mesir
fire	pecat
retention	retensi
interest	minat
male	lekes
examination	tentamen
leadership	imamat
base	markas
drunk	mandam
trade	rengo
boat	kapal selam
whooping cough	pertusis
frog	swike
cartographer	kartografer
want	pengen
topic	topik
crème	krim
blood pressure	tensi
sap	nira
essence	hakikat
arrange	atur
crane	tsuru
you	dikau
adolescent	ABG
erosion	sabo
dumb	dungu
central	sentral
Chinese	Tionghoa
China	Tiongkok
Tiongkok	Republik Rakyat Tiongkok
Tiongkok	Republik Tiongkok
steal	maling
Jasminum sambac	melati
Mrs	puan
Jesus	Isa
care	peduli
fruit	kurma
abandoned	amburat
priapism	priapisme
antara lain	a.l.
very	banget
magazine	majalah
apology	apologi
noble	karim
hit	gasak
diplomat	internuntius
cunt	meki
caravan	kafilah
sakramen	krisma
loud	bahana
distance	antara
see	meloka
gizzard	ampela
want	pengin
return	mudik
press	tekan
particle	butir
veil	cadar
August	Agustus
kris	empu
interaction	interaksi
interaksi	interaksi dasar
gravity	gravitasi
gaya	gaya nuklir lemah
gaya	gaya nuklir kuat
gaya	gaya elektromagnetik
lemon basil	kemangi
health	prokes
rare	langka
jackfruit	nangka
front	barisan
first	pertamax
vagina	tempik
sputum	balgam
erection	ngaceng
pubic hair	jembut
laugh	ngakak
mangosteen	manggis
world	buana
ball	takoyaki
exact	persis
out of order	rusak
broom	sapu
make	buat
ancient	candi
asylum	suaka
traditional	rojak
typhoid fever	tifus
survivant	sintas
voice	suara
slave	sahaya
from	dari mana
don't	jangan
biological father	ayah kandung
cousin	sepupu
descendant	keturunan
grandfather	datuk
grandmother	nenek
grandparent	moyang
father	ayahanda
pomegranate	delima
empty	kosong
puluh	puluh ribu
ratus	ratus ribu
dua	dua belas
tiga	tiga belas
empat	empat belas
lima	lima belas
enam	enam belas
tujuh	tujuh belas
lapan	lapan belas
delapan	delapan belas
sembilan	sembilan belas
dua	dua puluh
money	ceki
neck	leher
promise	ikrar
dhole	anjing hutan
free	lepas
lapangan	lapangan terbang
wind	bayu
full	purnama
sleeping	cendera
branch	dahan
Saudi Arabia	Arab Saudi
river	bengawan
far	jauh
calf	betis
mace	gada
flow	alir
prevention	abolisi
house	panti
tooth	danta
body	tubuh
navel	pusar
ear	kuping
single	tunggal
vomit	muntah
heavenly	apsara
dew	embun
-ing	ber-
you	kau-
transitive	-kan
deed	ragam
vacant	luang
servant	kawula
existence	keadaan
dark	silam
cassowary	kasuari
upas	ipuh
carry	bawa
sapan	sepang
hadith	rawi
sun	syamsi
fertilize	benih
gomuti	ijuk
sapan	secang
bald	botak
measure	ukur
edge	ujung
madam	nyonya
Sunday	Ahad
enam	enam puluh
hit	kena
empty	habis
puluh ribu	sepuluh ribu
lift	angkat
rank	pangkat
move	alih
apa	apa-apa
upset	sensitif
squirrel	tupai
hari	tengah hari
lime	kapur
cockatoo	burung kakaktua
call	panggil
youngest	bungsu
lima puluh	lima puluh sembilan
lima	lima ribu
enam puluh	enam puluh dua
enam puluh	enam puluh tiga
correct	tepat
stupid	bodoh
moron	bahlul
plus	tambah
elder sister	encik
anak	anak mata
anak	anak panah
copulate	ayut
'umra	umrah
shop	kedai
park	kebun binatang
well	perigi
rumpled	kumal
air	air bah
haji	H.
air	air mata
Chinese	boksu
babi	babi duyung
ikan	ikan duyung
band	bebat
touch	mengenai
all	semua
ghazal	gazal
sun	syamsu
attic	loteng
trench	palung
fourth	keempat
quarter	perempat
busybody	kepo
ground	darat
floor	lantai
tent	kemah
diskette	disket
monitor lizard	biawak
egg yolk	kuning telur
guard	pandu
throw away	buang
eyelash	bulu mata
disgusted	jijik
needle	jarum
sour	masam
soul	atma
short story	cerita pendek
hospital	rumah sakit
except	kecuali
animal	satwa
brush	berus
place	tempat
chief	utama
pull	tarik
sum	bilangan
cup	cawan
hoe	cangkul
tahun	tahun cahaya
dhole	anjing ajak
mill	kilang
factory	pabrik
gold	kencana
repeat	ulang
situation	situasi
javelin	lembing
respectful	hormat
arc	arku
receive	terima
electric current	amperemeter
seed	biji
without	tanpa
campaign	kampanye
January	Januari
February	Februari
scratch	coret
iterative	pernah
sarcasm	pantun
perguruan tinggi	PTS
to	kepada
canyon	ngarai
thought	akal
smooth	lancar
consortium	konsortium
clever	pandai
bright	terang
special	khas
relay race	estafet
dot	titik
now	sekarang
dumbass	goblok
stupid	tolol
wise	bijak
wise	bijaksana
smart	bestari
bitter	pahit
apanage	apanase
youth	anak muda
word	sabda
daytime	siang
percent	peratus
sandalwood	cendana
upload	unggah
download	unduh
peaceful	sentosa
intention	niat
Japanese	sogi
base	pangkal
tension	spaning
license	izin
break	istirahat
small	tajam
kepolisian daerah	polda
milliard	miliar
building	bangunan
feces	tinja
cash	tunai
bitter gourd	peria
lettuce	selada
aggression	agresi
binding	hechting
recipe	resep
object	objek
story	cerita
fart	kentut
ear	bulir
folio	fol.
albino	bule
goal	kiper
result	pahala
crab	ketam
patient	sabar
bell	toples
company	maskapai
schedule	jadual
swear	sumpah
torrent	arus deras
colonial	kompeni
corpse	jenazah
authority	petinggi
worker	karyawan
lotus	padmasana
common	awam
professor	mahaguru
turkey	ayam belanda
ustad	ustaz
long live	dirgahayu
break	merusak
blocked	macet
cipher	sandi
amount	jumlah
government	pemerintah
comply	menurut
each	setiap
tycoon	taikun
pollution	polusi
vote	balot
chart	skema
line	garis
uang pesangon	UP
close	akrab
morale	korsa
unexpected	kecelakaan
deacon	diakon
chief	ketua
act	napas
duck	itik
meng-	absen
roll call	mengabsen
reddish	kayas
worldly	duniawi
elder brother	oppa
bad	jahat
maybe	mungkin
element	unsur
steam	kukus
quotation	sitat
Nelumbo nucifera	seroja
civilization	tamadun
muffler	knalpot
angry	marah
more	lebih
enough	cukup
promise	janji
elephant	menel
spring	musim semi
shall	wajib
capacity	kapasitet
measure	takar
peach	persik
book	almanak
laugh	tertawa
limited	terbatas
saddle	sadel
risotto	risoto
elementary	elementer
hair	janggut
fair	adil
graveyard	setra
insolent	bajingan
cake	keik
episcopate	episkopat
humidity	kelembapan
like that	begitu
drink	minuman
impious	keparat
cheap	murah
garlic	bawang putih
bedbug	kutu busuk
poverty	kemiskinan
arsehole	lubang pantat
arse	pantat
acetylene	asetilena
reject	tolak
sweat	keringat
cock	kontol
Turkey	Turki
Poland	Polandia
mechanism	karakuri
irrigation	pengairan
ceremony	seremoni
heron	kuntul
person	oknum
Indonesia	Waktu Indonesia Barat
useless	brengsek
genitalia	abaimana
rice	bihun
grand	agung
reciting	tadarus
microbat	kampret
territory	wilayah
anak	anak sundal
large	sogo
bungalow	pondok
horn	tanduk
leg	tungkai
pour	tuang
blow	tiup
caricature	karikatur
anchor	labuh
meng-	kumbah
song	tembang
meng-	apung
frozen	beku
mist	pedut
smog	asbut
really	bener
excellent	unggul
crumpled	lecek
dusty	berdebu
wallow	berlumpur
round	bulat
soft	lembut
if	apabila
hostel	losmen
Cyprus	Siprus
specialness	keistimewaan
Chinese	singkek
womb	rahim
capable	cepat
Sumatra	Sumatera
pornoaction	pornoaksi
New Zealand	Selandia Baru
find	menemukan
coffee shop	kopitiam
sheath	antok
shipowner	cincu
marsh	rawa
chemistry	kimia
Slovakia	Slowakia
lentils	adas
resident	itas
envy	dengki
spider	laba-laba
wide	angko
gourami	gurami
France	Prancis
rice	lumbung
marriage	nikah
circumcision	khitan
fable	jataka
third	ketiga
stretchy	melar
flight	hijrah
star fruit	belimbing
black coffee	kopi pahit
teaching	ajaran
microblogging	cuitan
exposure	paparan
daily	harian
picture	gambar
lychee	leci
with	bersama
neighbor	jiran
Chinese	kelenteng
monastery	wihara
word	istilah
noble	mulia
deep	lombong
unseen	hyang
whole	seluruh
estuary	batangan
characteristic	sifat
acrobatic	akrobatik
evildoer	durjana
basketball	bola basket
best friend	komplot
Donal	Donal Bebek
fifth	kelima
stingy	kikir
instant noodle	mi instan
chopping board	talenan
drunk	mabuk
dormitory	asrama
waist	pinggang
bed	ranjang
wasp	tawon
idea	pikir
sword	pedang
desert	gurun
beautiful	cantik
wheel	cakra
fine	bisai
mosquito net	kelambu
footwear	paduka
motorcycle	ojek
censorship	penyensoran
censor	penyensor
South Korea	Korea Selatan
North Korea	Korea Utara
fasting	puasa
ask	mohon
airport	bandar udara
source	sumber
investment	investasi
population	cacah jiwa
pakaian dinas lapangan	PDL
equivalence	persamaan
fidelity	kesetiaan
avenge	membalas dendam
acting	akting
clear	jernih
pennilessness	kemelaratan
decision	keputusan
boy	cowok
MSG	vetsin
schedule	jadwal
gate	gerbang
dynasty	wangsa
mayor	wali kota
regent	bupati
typewriter	mesin tulis
book	tulisan
wing	sayap
practice	praksis
fishing rod	pancing
dish	nasi campur
jade	giok
thief	pencuri
ku	apotik
flight	penerbangan
cancel	membatalkan
pull	menarik
galangal	lengkuas
Jordan	Yordania
delicious	sedap
serow	kambing hutan
ray	kirana
serene	tenteram
serenity	ketenteraman
country	negeri
bait	umpan
Papua New Guinea	Papua Nugini
broth	kuah
detainee	tahanan
intelligent	inteligen
tower	menara
kepala	ka.
blade	bilah
support	sokongan
valid	sahih
birthday	ulang tahun
anniversary	hari jadi
wild	galak
righteousness	adalat
window	natang
burn	hangus
lie	dusta
disinfectant	disinfektan
Nias	banua
kecamatan	nagari
mountain	ancala
starling	jalak
hardworking	rajin
special	spesial
engine	enjin
old	purwa
south	daksina
clothes	pakaian
train	sepur
set for life	binen
waria	binan
syllabification	pemenggalan kata
waste	ampas
briefcase	aktentas
come from	berasal
sing	nyanyi
durable	tahan
plant	kebun
clean	bersih
trade	berniaga
want	hendak
fitting	patut
want	mahu
marriage	kawin
ancient	purba
treasurer	perdana
airplane	kapal terbang
alkene	alkena
secondary	subsider
green beans	buncis
gear	persneling
form	merupakan
how many	berapa
giant	raksasa
all along	sepanjang
surgery	pembedahan
agreement	accoord
dibantu	membantu
field	lapangan
disc jockey	disjoki
martial arts	pencak silat
little spiderhunder	pijantung kecil
lemur	pukang
boundary	perbatasan
savior	juru selamat
longhouse	rumah panjang
beautiful	indah
instant messaging	Tele
corpse	mayat
red envelope	angpau
comic strip	yonkoma
return	kembali
Kshatriya	kesatria
cross	salib
intellectual	budaya
enemy	musuh
winter	musim dingin
season	musim gugur
rainy season	musim hujan
dry season	musim kemarau
face	wajah
atas dasar	a.d.
teenager	anak belasan tahun
filth	najis
watch	piket
perangkat	perangkat lunak
instrument	peranti
complex	perangkat
equipment	peralatan
equipment	perlengkapan
activate	mengaktifkan
browser	peramban
search engine	mesin pencari
search engine	mesin penelusur
update	memutakhirkan
update	memperbarui
direkam	merekam
edit	menyunting
edit	mengedit
change	mengubah
edit	suntingan
dubbing	sulih suara
firewall	tembok api
switch on	menghidupkan
put	memfungsikan
store	menyimpan
servant	peladen
stopover	singgahan
false alarm	alarm palsu
pembangkit listrik tenaga nuklir	PLTN
nuclear power plant	pembangkit listrik tenaga nuklir
power plant	pembangkit listrik
title	arya
winnow	tampi
parish	paroki
cockroach	lipeh
hari	HSS
suhur	sahur
up-to-date	mutakhir
activation	pengaktifan
activation	aktivasi
deactivate	menonaktifkan
fraudulent	palsu
turn off	mematikan
typewriter	mesin tik
tie	sambat
wrecker	perusak
stopover	persinggahan
craw	tembolok
put on	memasang
await	menunggu
exchange	percakapan
tool	perkakas
jari	jari tengah
Sanskrit	Sanskerta
ceremony	upacara
Hsu	Tsui
upah minimum	UMK
brassiere	kutang
wheat	terigu
wheat	gandum
conference	simposium
perangkat	perangkat keras
meaning	makna
bored	bosan
chameleon	bunglon
expert	eksper
give up	serah
save	simpan
laugh	menertawai
value	nilai
valuable	bernilai
rate	menilai
rating	penilaian
raise	membangun
awaken	terbangun
motion	gerak
move	bergerak
mover	penggerak
movement	pergerakan
cockatoo	kakaktua
third	kecamatan
chief executive officer	camat
chief executive officer	lurah
subdistrict	kelurahan
extortionist	pemeras
governor	gubernur
archaic	arkais
monastery	biara
England	keinggrisan
monk	wiku
done	usaha
opinion	tanggapan
hemoptysis	hemoptisis
shit	sialan
so-so	biasa saja
snake	uler
portrait	potret
interested	asyik
brigadir	briptu
end	akhir
gift	hadiah
worried	khawatir
miracle	keajaiban
perfect	sempurna
perfection	kesempurnaan
perfect	menyempurnakan
perfect	penyempurnaan
perfects	penyempurna
perfected	disempurnakan
imperfection	ketidaksempurnaan
depth	kedalaman
deeply	sedalam-dalamnya
deeply	dalam-dalam
smell	berbau
smell	membaui
smelt	terbau
smell	mencium
sputum	dahak
story	kisah
hereditary	riwayat
lebih	majemuk
immortal	mengabadi
immortalize	mengabadikan
immortalization	pengabadian
immortality	keabadian
mortality	ketidakabadian
in-	ketidak-
my God	ilahi
shoulder	pundak
skeleton	rongkong
larynx	laring
gland	kelenjar
crowded	galau
ashamed	aib
happy	bahagia
happy	berbahagia
dowry	mahar
husband	bersuami
marry	mempersuami
make	mempersuamikan
time	tadi
grammar	nahu
citation	tilang
shelter	selter
installer	pemasang
step	langkah
win	menang
blowing	bertiup
regret	menyesal
thief	panjang tangan
when in Rome, do as the Romans do	di mana bumi dipijak, di situ langit dijunjung
close	tutup
add	bertambah
bookworm	kutu buku
place	meletakkan
dessert	pembasuh mulut
sunflower	bunga matahari
congee	bubur
idiom	simpulan bahasa
victory	jaya
couple	pasang
parallelepiped	balok
East Indies	sipahi
goal	maksud
golden age	abad keemasan
Middle Ages	Abad Pertengahan
ebony	abnus
cultured	adib
better	afdal
alms	sedekah
alms	infak
abstract	abstrak
abstract	mujarad
abstract	niskala
clear	nyata
reality	kenyataan
explain	menyatakan
declaration	pernyataan
inter-	antar-
hero	pahlawan
heroism	kepahlawanan
raisin	kismis
try	coba
jump	lompat
unirrigated	ladang
pessimist	pesimis
pessimistic	pesimistis
pessimism	pesimisme
talqin	talkin
whisper	menalkinkan
imaginary	takhayul
fantasy	khayal
Indonesian	wajik
act	meraja
dominate	merajai
king	merajakan
different	berlainan
difference	kelainan
blame	melaini
differentiate	melainkan
differentiator	perlainan
have	berkelainan
color	berwarna
have	berwarna-warna
color	mewarnai
colourant	pewarna
colorisation	pewarnaan
eaten	dimakan
married	menikah
marry	menikahi
couple	menikahkan
nutrition	gizi
contain	bergizi
breathe	bernapas
respiratory	pernapasan
pregnant	hamil
impregnate	menghamili
pregnant	penghamilan
yield	hasil
have	berhasil
produce	menghasilkan
income	penghasilan
forestial	margasatwa
provide	menyuakakan
generally	biasanya
habit	kebiasaan
defeat	kekalahan
instance	umpama
instance	berumpama
similar	mengumpamai
compare	mengumpamakan
comparison	perumpamaan
autonomous	otonom
benefit	manfaat
useful	bermanfaat
utilise	memanfaatkan
utilisation	pemanfaatan
deliberately	nawaitu
fuck	bedebah
that is	yakni
possible	memungkinkan
possibility	kemungkinan
tight	ketat
strictness	keketatan
tighten	mengetatkan
tight	memperketat
roomy	longgar
wrathful	murka
angry	memurkai
wrathfulness	kemurkaan
that	bahwa
indeed	memang
duly	sememangnya
freight	angkutan
betrayal	berkhianat
betray	mengkhianati
traitor	pengkhianat
best	sadu
law	ahkam
ideology	adicita
sun	aftab
soldier	laskar
impromptu	blusukan
rhinoceros	cipan
limousine	limosin
flow	mengalir
hooked	terkait
far	aksa
reluctant	ogah
permanent resident	mukim
Seram	Laut Seram
mix	campur
trill	getar
fight	sabung
Solanum melongena	terung
flower	sekar
feel	merasa
avocado	avokad
bankrupt	bangkrut
similar	arah-arah
peel	nabet
nurse	samas
banana peel	kulit pisang
orange peel	kulit jeruk
eggshell	kulit telur
nutshell	kulit kacang
clamshell	kulit kerang
marriage	bofot
beginner	famai
stone	kapak batu
stone	rame hefa
Risa	Ica
person	anak piatu
person	anak yatim piatu
sign	alamat
word-for-word	pinjam terjemah
veterinarian	dokter hewan
hippopotamus	kuda nil
pocket money	uang saku
examination	ulangan
curfew	jam malam
malnutrition	busung lapar
quantum number	bilangan kuantum
unconfined	akuifer bebas
confined	akuifer tertekan
groundwater	air tanah
desert	sahara
automatic	otomatis
farmer	petani
as long as	selama
driver's license	surat izin mengemudi
driver's license	rebewes
enricher	pengaya
veranda	beranda
thumbnail	keluku
recipient	penerima
investigate	penyidik
initial	penyelidik
hare	terwelu
linear motion	gerak lurus
simple machine	pesawat sederhana
play	balumba
infect	tular
suspected	tersangka
criminal law	hukum pidana
default	wanprestasi
severance pay	uang pesangon
overtime	uang lembur
civil law	hukum perdata
tort	perbuatan melawan hukum
crown	mahkota
Tentara Nasional Indonesia	TNI
company	kompi
expired	kedaluwarsa
web browser	peramban web
web browser	penjelajah web
explorer	penjelajah
explore	jelajah
inmate	narapidana
convict	terpidana
correctional institution	lembaga pemasyarakatan
national park	taman nasional
kelipatan persekutuan terkecil	KPK
least common multiple	kelipatan persekutuan terkecil
greatest common divisor	faktor persekutuan terbesar
faktor persekutuan terbesar	FPB
politician	politisi
banter	kelakar
atas nama	a.n.
atas perintah	a.p.
ajun	aiptu
akta jual beli	AJB
pakaian dinas harian	PDH
avocado	alpukat
cabang	cabor
anthesis	antesis
smash	mendobrak
arsip	ADK
anggaran pendapatan dan belanja negara	APBN
anggaran pendapatan dan belanja daerah	APBD
aplikasi penarikan dana	APD
badan layanan umum	BLU
bronze	perunggu
kementerian keuangan	kemenkeu
menteri keuangan	menkeu
ministry	kementerian keuangan
minister	menteri keuangan
kementerian pendidikan dan kebudayaan	kemendikbud
ministry of education and culture	kementerian pendidikan dan kebudayaan
menteri pendidikan dan kebudayaan	mendikbud
minister of education and culture	menteri pendidikan dan kebudayaan
culture	kebudayaan
kementerian perdagangan	kemendag
menteri perdagangan	mendag
harvest	ambong
password	kata sandi
crown prince	putra mahkota
burn	membakar
hit	memukul
congratulation	tahniah
copyright	hak cipta
burst	meletus
midday	zuhur
midday	Zuhur
owner	pemilik
point	menunjuk
hear	mendengar
suffering	sengsara
fracture	sesar
countrified	kampungan
searcher	pencari
explorer	penelusur
sender	pengirim
router	penghala
router	perute
be	dikarenakan
manuscript	naskah
ketua	kajur
ketua	kaprodi
Kepolisian Negara Republik Indonesia	kapolri
kepala	kapolsek
kepala	kapolres
Kepolisian Negara Republik Indonesia	Polri
kepolisian sektor	polsek
kepolisian resor	polres
komando	kodam
panglima	pangdam
komando	kostrad
komando	kopassus
pendidikan	diklat
aquarium	akuarium
title	begawan
flute	bangsi
throne	takhta
mousedeer	pelanduk
always	selalu
woman	angkin
hall	astaka
guide	pemandu
worker	pekerja
purchase	pembeli
reed	sundari
Rejangese	kelicuk
safety	keamanan
useful	berguna
glory	kejayaan
singer	biduan
small	camca
special	istimewa
agitator	dorna
ego	diri
peanut	kacang tanah
answer	jawaban
admiral	laksamana
prohibition	larangan
use	faedah
advantageous	berfaedah
sincere	nasihat
scratch	bercalar
intensively	calar-balar
library	khizanatulkitab
default rule	hukum pelengkap
darkening	penggelapan
interlocutory decision	putusan sela
songket	sungkit
lantern	lentera
race	lomba
particle	zarah
Archaean	Arkaikum
regret	sesal
puppet	boneka
cut	golok
raincoat	jas hujan
seek	mencari
each other	saling
reciprocity	kesalingan
lima puluh	lima puluh delapan
important	penting
pray	mendoa
idiot	bakero
potential energy	energi potensial
highlighter	stabilo
tendril	sulur
West Kalimantan	Pontianak
trade	berdagang
product	dagangan
trader	pedagang
will	wasiat
through	lewat
choose	undi
drool	mengiler
urinate	kencing
diabetes mellitus	kencing manis
urinate	kencing-mengencingi
urinate	mengencingi
urination	pengencingan
urinate	terkencing
control	mengendalikan
controller	pengendali
controlled	terkendali
line	bergaris
underline	garis bawah
underline	menggarisbawahi
line	menggarisi
Yogyakarta	Sleman
West Java	Ciamis
Jambi	Kerinci
sooner	melekaskan
as soon as possible	selekas-lekasnya
extra	imbuh
affix	imbuhan
give	mengimbuh
daftar	DIPA
sultanate	Sambas
Central Java	Cilacap
test	imtihan
passion	berahi
money	biaya
financing	pembiayaan
financer	pembiaya
expense	pengeluaran
emerge	muncul
emergence	kemunculan
emergent	memunculkan
emergent	pemuncul
disgusting	menjijikkan
disgust	kejijikan
weak	ringkih
passion	gairah
Japanese	suiseki
facility	doyo
strength	kekuatan
oh my God	astaga
tabulate	menabelkan
unicorn	unikorn
governing	pemerintahan
command	perintah
attendance	kehadiran
attend	menghadiri
present	menghadirkan
absence	ketidakhadiran
jackhammer	palu godam
like	seperti
only child	anak tunggal
pigtail macaque	beruk
screw	sekrup
stadium	gelora
orange jessamine	kemuning
shallow	dangkal
famous	terkenal
sneeze	hacim
mix	gaul
anvil	landasan
drinking straw	sedotan
intersection	irisan
pengungsi	Suriah
refugee	pengungsi
Indonesian	bakso
Chinese	pangsit
MSG	micin
reform	reformasi
parent	orang tua
unify	bersatu
past tense	kala lampau
exhibit	menampilkan
display	menayangkan
spread	menyiarkan
display	tayang
pulasan	kapulasan
whistle	bersiul
fragment	mencerai-beraikan
disarray	memberantakkan
in	berantakan
abandon	meninggalkan
suspend	memetieskan
abandon	menelantarkan
mute	mendiamkan
modernize	memodernkan
walk	menelusuri
survey	memindai
survey	menatapi
look	bertatapan
study	menelaah
grapple	menggeluti
treat	mencekoki
administer	mencekokkan
in	amburadul
commingle	berbaur
rest	menumpukan
pay	menunaikan
stab	menohok
aim	menodongkan
raise	mengacungkan
poke around	mengubek-ubek
hard-line	bergaris keras
hard line	garis keras
economize	menghemat
economize	mengirit
thrifty	hemat
criticize	mengkritik
censure	mengecam
criticize	mencela
criticize	mencacat
oppose	membantah
come to the fore	mengemuka
advance	mengemukakan
propose	mengusulkan
propose	mengajukan
middle	mengetengahkan
propose	mengutarakan
erupt	letus
spelling	ejaan
thickening	kapalan
you	kowe
swing	ayun
tea ceremony	canoyu
bacterium	bakteri
appendix	apendiks
task	gakari
civic	madani
group	kawanan
cleanse	jamas
speech	pidato
heroin	putaw
santol	sentul
second	kedua
player	pemain
game	permainan
Chinese	fengsui
lie	kampai
alcoholic	ciu
son	akeo
Chinese	amoi
red wine	angciu
red	anghun
exercises	taiso
service	gongyo
military government	gunseibu
military government	gunseikan
auxiliaries	heiho
Kenpeitai	kempetai
origami	oritsuru
bamboo	takeyari
shogun	syogun
neighborhood	kumico
Japanese	pesumo
-en	meng- -kan
survey	tatap
zongzi	bacang
diocese	keuskupan
spectacles	kacamata
spectacles	cermin mata
bespectacled	berkacamata
mobile phone	ponsel
unsaturated	-ena
belt	sabuk
discard	sampah
person	penyampah
something	menyampah
sodium hydroxide	natrium hidroksida
student	pelajar
pollution	pencemaran
capitalist	cukong
bikin	mecin
rickshaw	langcia
rickshaw	langca
pinworm	kermi
clear	jelas
various	aneka
beef	sancan
pork belly	samcan
lunar calendar	imlek
laborer	romusa
clutch	kopling
guru	guru besar
subscription	abonemen
step	tampil
study	telaah
extrajudicial	petrus
religious	polisi syariah
apply	memerban
student	peserta didik
tinggi	sekolah tinggi
sue	penuntut
sue	tuntut
high school	sekolah menengah
senior high school	sekolah menengah atas
junior high school	sekolah menengah pertama
senior high school	sekolah menengah kejuruan
senior high school	sekolah menengah umum
firstborn	sulung
good	adab
king	syah
punishment	setrap
inheritor	waris
thermoset	termoset
eel	belut
radio	angkasawan
astronaut	antariksawan
bishop	uskup
child	bocah
deva	batara
beggar	pengemis
believe	percaya
square	persegi
storm	prahara
surveillance	penjagaan
authoritarian	otoriter
attack	anfal
breath	adempauze
suspend	menskors
decency	fatsun
adjustment	inpassing
spare part	onderdil
practice run	inrijden
strawberry	stroberi
switch	sakelar
applied sciences	politeknik
laboratory school	sekolah laboratorium
dasar	sekolah dasar
elementary school	sekolah rakyat
school year	tahun ajaran
Christian	Nasrani
