road	te
owner	omištai
dreamer	uništai
dream	uništada
balcony	gardalei
assembly	assamblei
jubilee	jubilei
leader	ohjandai
sender	oigendai
sower	semendai
teacher	opendai
destroyer	murendai
collector	kogodai
parrot	popugai
nape	tagarai
baptist	valatai
baptize	valatada
smother	upehtoitta
cure	tervehtoitta
convince	uskotoitta
tire	väzutoitta
introduce	tundištoitta
revive	eläbzoitta
dazzle	sogenzoitta
edit	toimitada
decorate	čomitada
deceive	manitada
train	harjoitada
keep	päivitada
sour	hapanmaid
flat	fater
appear	lagitada
brow	kulm
seagull	kajag
stallion	ubeh
hoop	vandeh
lazy	lašk
wide	leved
both	molembad
otter	sagarm
hiding	peit
cabin	pert'
rowan	pihl'
people	rahvaz
ring	rengaz
rye	rugiž
clean	puhtaz
flock	parveh
ski	suks'
raspberry	babarm
twig	varz'
grandchild	vunuk
strong	vägev
narrow	ahtaz
mother-in-law	anop
envy	kadeh
glove	kindaz
swan	joucen
grain	jüvä
string	jände
load	korm
stalk	korz
moth	kojeg
paw	käbäl
side	kül'g
gift	lahj
meagre	laih
treetop	ladv
hip	landeh
bolt	saub
pod	paug
linden	lehmuz
slippery	libed
spoon	luzik
stall	lävä
puddle	lätäk
beaver	majag
berry	marj
elk	pedr
continent	mandreh
field	tandreh
badger	mägr
sheath	hodr
cord	pagl
laughter	nagr
fist	kobr
barley	ozr
fat	izr
wheel	kezr
family	kanz
growth	kazv
ladle	kauh
javelin	keihaz
spark	kibin
memory	mušt
fist	nürk
beak	nök
late	möhä
jackdaw	näk
thorn	ogah
shoulder	oug
slave	orj
hollow	onduz
lamb	oinaz
pole	pacaz
awl	oraine
hoe	kokš
bush	penzaz
talk	pagin
frost	pakaine
beam	parz'
stairs	pordaz
piglet	porzaz
line	pird
whirl	pörde
pillow	pöluz
sail	pureh
lame	ramb
bold	rohked
brim	röun
nit	saivar'
bast	nin'
lap	sül'
saliva	sül'g
leg	sär
mosquito	säsk
eating	sönd
sharp	terav
goods	tavar
hone	tahk
dough	tahtaz
sickle	sirp
art	taideh
pole	seibaz
knot	sol'm
burr	takkiž
inspect	tarkištelda
dense	tihed
hope	toiv
turf	turbaz
bud	urb
thief	vargaz
crow	variš
foal	varz
ready	vaumiž
fresh	verez
grain	vil'l'
catch	viritada
harrow	ägez
lamb	vodnaz
slow	vitk
flexible	notked
coarse	järed
Genoa	Genui
hill	kukkaz
warmth	lämuz’
waterfall	vezilanktuz
pull	nühta
money	dengad
week	nedal’
nut	pähkim
