dog	כלב
praise	שבח
derision	קלס
Hallel	הלל
bucket	דלי
hunger	רעב
fight	נלחם
God	בס״ד
player	שחקן
עוֹרֵךְ	עורך דין
puff paste	בצק עלים
proverb	פתגם
course	קורס
kick	בעיטה
waste	בזבז
see-through	שקוף
passage	מעבר
institute	מכון
steel	פלדה
bon appetit	בתיאבון
trail	שביל
palm	כף
virus	נגיף
sister	אחות
knife	סכין
sandal	סנדל
center	מרכז
peek	הציץ
Bogota	בוגוטה
match	גפרור
belt	חגר
yet	עוד
weep	דמע
turtle	צב
stroke	פעימה
tradition	מסורת
wreck	גרוטאה
this	הזה
colleague	עמית
clarinet	קלרנית
Norway	נורווגיה
merchandise	סחורה
lift	ניטל
arms	נשק
pagan	קדש
send	שלח
complete	שלם
fox	שועל
אחרי	אחדש״ט
fenugreek	חילבה
דּוּ	דו־חי
document	פרוזבול
mighty	אדיר
name	ן׳
cheese	גבינה
fly	טס
strife	מדון
Tammuz	תמוז
greenfinch	ירקון
heal	רפא
whisper	לחש
injury	פציעה
Aristotle	אריסטו
hike	טייל
curfew	עוצר
eyelid	עפעף
wear	חבש
hint	רמז
engrave	חרת
hatred	שנאה
wall	חומה
a fortiori	עאכ״ו
crown	כתר
nonsense	חנטריש
sucker	פראייר
fewer	פחות
for	לכבוד
בר	בר מצווה
commandment	מצווה
tower	מגדל
application	הנדסה
nature	טבעי
teacher	מורה
etymology	אטימולוגיה
דֶרֶךְ	בדרך כלל
discussion	דיון
sportsman	ספורטאי
due to	בגלל
contain	הכיל
duck	ברווז
personality	אישיות
זיכרונו	זיכרונו לברכה
additional	נוסף
בַקָּשָׁה	בבקשה
lion	אריה
geometry	גאומטריה
drastic	דרסטי
Passover	ורחץ
wash	רחץ
in advance of	לפני
pullet	פרגית
maid	נערה
spring chicken	פרגיות
shock	הלם
atbash	אתב״ש
כל	פועלי כל העולם התאחדו
learn	ל־מ־ד
look	חיפש
string	חוט
date	תמר
lately	לאחרונה
minutia	דקות
fellowship	חברותא
choose	בחר
opt	החליט
just	אך
with regard to	באשר
microorganism	מיקרואורגניזם
naked	בערום
up	למעלה
iron	מגהץ
blanket	שמיכה
hare	ארנב
modem	מודם
tank	טנק
major general	אלוף
interfere	התערב
meal	ארוחה
sail	מפרש
Jerusalem	י־ם
turn	סיבוב
ellipsoid	אליפסואיד
ready	התארגן
want	רצה
drink	משקה
truck	משאית
correct	נכון
paradox	פרדוקס
חלק	חלק דיבור
speaking	דיבור
seaweed	אצה
foreign	נכרי
בֵּית	בית מלון
תאריך	תאריך פג תוקף
date	תאריך
cell	חנות
obtain	השיג
inexpensive	זול
give	מסר
uneventful	חלק
confusion	בלבול
regularly	תמיד
lion	לביא
last night	אמש
furious	זעף
magnet	מגנט
swallow	בלע
April Fools' Day	אחד באפריל
error	טעות
student	תלמיד
grind	טחן
dictatorship	דיקטטורה
constellation	מזל
jasmine	יסמין
narcissus	נרקיס
young	עלם
sum	סכום
שְׁנַת	שנת אור
flatware	סכו״ם
near	קרוב
near	בקרוב
seemingly	כנראה
hay	שחת
girth	חבק
sickness	חלי
grave	קבר
lie	שיקר
propose	הציע
Tel Aviv	ת״א
Friday	עש״ק
prayer	בהמ״ז
universe	לה״ו
peace	ע״ה
live	יב״ל
לירה	ל״י
same	אותו
fast	צום
swim	שחה
waw	וי״ו
cinnamon	קינמון
scissors	מספריים
jealous	קנא
sinner	חוטא
birthday	יומולדת
tip	טיפ
use	שימוש
shake	ניער
curl	תלתל
criticism	ביקורת
vampire	ערפד
pamper	פינק
infinite	אינסוף
inscribe	רשם
שָׂם	שם לב
impression	רושם
pipe	חליל
meeting	ישיבה
investment	השקעה
grapefruit	אשכולית
nonmilitary	אזרחי
omelette	חביתה
swan	ברבור
mean	התכוון
Urania	אוראניה
sound	תקע
female	זונה
conservative	שמרן
neutron	ניטרון
shining	נור
חַג	חג שמח
harsh	חריף
adopt	אשרר
prophet	רואה
material	מחקר
photography	צילום
where	איו
inimical	עוין
hand over	העביר
testicle	אשך
egg	ביצים
priest	כוהן
care	טיפול
healthiness	בריאות
aluminium	אלומיניום
contractor	קבלן
excommunication	חרם
item	אבזר
text	טקסט
bimbo	פרחה
backgammon	שש בש
oval	סגלגל
אֱמוּנָה	אמונה תפלה
angstrom	אנגסטרום
patience	סבלנות
brother	אחים
cat	חתולים
platonic	ידידים
money	דמים
master	בעלים
mice	עכברים
apple	תפוחים
closet	ארונות
deer	אילים
morning	בקרים
uncle	דודים
cloud	עננים
government	ממשלות
rose	ורדים
cup	כוסות
traffic	פקקים
request	בקשות
brush	מברשות
start	התחלות
בָּתֵּי	בתי כנסת
page	דפים
drum	תופים
candle	נרות
actor	שחקנים
sister	אחיות
guard	שומרים
meal	ארוחות
check	צ׳קים
study	מחקרים
eggplant	חציל
get	גט
maximum	מרב
meme	מם
recipe	מתכון
deceive	רימה
betray	בגד
compare	השווה
point	הצביע
north	צפון
them	־ם
apple	תפוח עץ
תַּפּוּחֵי	תפוחי עץ
apples	תפוחי
infection	זיהום
ask	שאל
robot	רובוט
god	אלוה
proliferate	התרבה
connect	קישר
stone	לשם
trial	משפט
דואר	דואר זבל
oar	משוט
waiter	מלצר
waitress	מלצרית
understand	הבין
foe	קם
key	קליד
dagger	פגיון
Asia	אסיה
communism	קומוניזם
screwdriver	מברג
cylinder	גליל
artichoke	ארטישוק
powder	אבקה
revenge	נקמה
top	סביבון
skyscraper	גורד שחקים
rhinoceros	קרנף
cycle	מחזור
arrogant	יהיר
sodium	נתרן
hyphen	מקף
semicolon	נקודה ופסיק
sugar	סכר
cobalt	קובלט
palladium	פלדיום
bismuth	ביסמות
slash	לוכסן
נֶשֶׁק	שביתת נשק
flood	מבול
lanthanum	לנתן
childish	ילדותי
propaganda	תעמולה
potato	תפוח אדמה
juice	מיץ
apricot	משמש
kitsch	קיטש
רוטב	רוטב סויה
glider	דאון
submarine	צוללת
teapot	תיון
teaspoon	כפית
spinach	תרד
hoe	מעדר
אֶבֶן	אבן החכמים
bud	לבלב
kishke	קישקע
crane	עגור
sponge	ספוג
foam	קצף
reveal	חשף
לקח	אחריות
climate	אקלים
structure	מסגרת
invitation	הזמנה
hyacinth	יקינתון
hajj	חג׳
gall bladder	כיס המרה
test tube	מבחנה
just	צודק
righteousness	צדק
רַעַשׁ	רעש וצלצולים
kitschy	קיטשי
scavenger	אוכל נבלות
Persian	פרסי
sand	חול
Dr	ד״ר
oligarch	אוליגרך
immunology	אימונולוגיה
insulin	אינסולין
author	מחבר
sweet potato	בטטה
on the contrary	איפכא מסתברא
breach	פורץ
challenge	אתגר
needle	מחט
pin	סיכה
colonel	קולונל
remember	נזכר
כיתת	כיתת יורים
dolphin	דולפין
אַחַר	אחר־כך
אַחַר	אחר כך
הָיְתָה	הייתה
number	מספרי
pistachio	פיסטוק
class	כיתה
shooter	יורה
advance	התקדם
justice	צ־ד־ק
bird	ציפורה
ritual	קרבן
tell	סיפר
בִּגְלַל	בגלל ש־
cook	בישל
cook	התבשל
intent	בכוונה
give	ניתן
held	אחוז
childish	אינפנטילי
garment	בגדים
sock	גרב
sock	גרבים
stocking	גרביון
stockings	גרביונים
hammer	פטיש
tyre	צמיג
thin	דק
nausea	בחילה
bedsheet	סדין
nevertheless	אעפ״כ
subtract	נכה
content	מאושר
happiness	אושר
authorize	אישר
chin	סנטר
barn owl	תנשמת
mole	חפרפרת
end	עכ״ל
disorder	בלגן
net	רשת
snare	פח
garbage can	פח אשפה
dustpan	יעה
כַּף	כף אשפה
bundle	אגודה
sifter	מסננת
dessert	קנוח
dessert	קינוח
eyelash	ריס
eyelash	ריסים
bookshop	חנות ספרים
toque	כובע גרב
body part	גיד הנשה
fly	עף
pigtail	צמה
volt	וולט
plate	צלחת
secret	סודי
nostril	נחיר
high	במה
nest	קן
misspelling	שגיאת כתיב
fortress	מבצר
telepathy	טלפתיה
balcony	גזוזטרה
egocentric	אגוצנטרי
law	משפטים
wonderful	נפלא
coconut	קוקוס
engine	מנוע
searching	חיפוש
wasp	צרעה
belt	הבטחה
vow	נדר
kite	עפיפון
plus	﬩
drop	טיפה
dog	כלבה
dancer	רקדן
coal	פחם
cantillation	׀
ash	אפר
idiom	ניב
foreigner	גר
gecko	שממית
bring out	הוציא
אִינְטֶרְנֶט	מצלמת אינטרנט
internet	אינטרנט
third	שליש
granola	גרנולה
carpenter	נגר
examination	בדיקה
soft	רך
hard	קשה
hit	לקה
generations	דורות
undershirt	גופיה
falafel	פלאפל
buffet	מזנון
branch	סניף
bowling	באולינג
whipped cream	קצפת
save	הושיע
hair-splitting	פלפול
liar	שקרן
liars	שקרנים
humble	ענותן
מַלְכַּת	מלכת אסתר
telescope	טלסקופ
clowning	ליצנות
warehouse	מחסן
Mrs.	גב׳
shower	התקלח
bulletproof vest	אפוד מגן
shield	מגן
travel	נסע
flee	נמלט
connect	התחבר
friend	ח־ב־ר
spider	עכביש
option	אופציה
church	כנסייה
era	תקופה
bakery	מאפית
pornography	פורנוגרפיה
music	מוזיקה
explode	התפוצץ
plastic	פלסטיק
shelf	מדף
condom	קונדום
AIDS	איידס
straight	הטרוסקסואלי
gay	הומוסקסואלי
heterosexuality	הטרוסקסואליות
homosexuality	הומוסקסואליות
registration	הרשמה
emigrant	יורד
emigrant	יורדת
doggy	כלבלב
Norwegian	נורווגית
loss	א־ב־ד
strength	א־ל־ם
gnosis	גנוסיס
pass	פסח
at any rate	בכל אופן
כל	כל עוד
perineum	חיץ הנקביים
foreskin	עורלה
football	כדורגל
trapezoid	טרפז
winnow	נפה
vodka	וודקה
thumb	אגודל
palace	ארמון
anus	פי הטבעת
rectum	חלחולת
rectum	רקטום
gibberish	ג׳יבריש
visage	פרצוף
explanation	הסבר
אֲדָמָה	רעידת אדמה
wool	צמר
plasma	פלזמה
syllable	הברה
כיס	כיס האשכים
scrotum	שק האשכים
electron	אלקטרון
sake	סאקה
mayonnaise	מיונז
another	דבר אחר
דְּבָרִים	דברים אחרים
magnesium	מגנזיום
phosphorus	זרחן
manganese	מנגן
barium	בריום
thulium	תוליום
thallium	תליום
thorium	תוריום
acetone	אצטון
rectangle	מלבן
two	לחם משנה
act	מערכה
קל	קל וחומר
חֲתִיכָה	חתיכה נעשית נבילה
פת	פת פלטר
dish	כלי שני
dish	כלי שלישי
dish	כלי ראשון
papyrus	פפירוס
ampere	אמפר
watt	ואט
onion	בצל
cheetah	ברדלס
turmeric	כורכום
eucalyptus	אקליפטוס
swimming	שחיה
שְׁעוׄן	שעון שמש
community	כולל
sire	הוליד
child	י־ל־ד
nation	גוי
מעות	מעות חטים
חלב	חלב ישראל
מצה	מצה עשירה
pear	אגס
nudity	עירום
concentration	ריכוז
מחנה	מחנה ריכוז
bean	שעועית
limousine	לימוזינה
dough	בצק
מקצוע	המקצוע העתיק ביותר בעולם
occupation	מקצוע
antique	עתיק
prostitution	זנות
noodle	אטריה
fun	כיף
splendor	נצח
sycamore	שקמה
basil	ריחן
return	חזר
devastation	משואה
myth	מיתוס
take down	הוריד
parasite	טפיל
tip	תשר
vitamin	ויטמין
parallelogram	מקבילית
wet	מצה שרויה
lactose	לקטוז
רוׄבֶה	רובה סער
tap	ברז
sledge	מזחלת
police	משטרה
mortar	מרגמה
fountain	מזרקה
syringe	מזרק
scarecrow	דחליל
personnel	סגל
brigand	לסטים
תִּסְמוׄנֶת	תסמונת דאון
bacteriology	בקטריולוגיה
detective	בלש
heart attack	התקף לב
porcelain	חרסינה
adolescence	גיל ההתבגרות
flamethrower	להביור
shield	תריס
בַּנְק	בנק דם
flu	שפעת
favoritism	פרוטקציה
kolkhoz	קולחוז
sheath	נדן
meat	בשר בחלב
gift	מתנות לאביונים
by	אצל
lotus	לוטוס
window	חלונות
spodik	ספודיק
forum	פורום
Nebo	נבו
shine	נגה
knock	דפק
sexuality	מיניות
urethra	שופכה
resolution	צע״ג
homeward	הביתה
עמוד	עמוד בית
album	אלבום
kill	נהרג
physiology	פיזיולוגיה
masturbation	אוננות
journalist	עיתונאי
price	מחיר
homosexuality	הומואיות
star	כיכב
promise	הבטיח
angry	התרגז
sack	שק
defective	זיין
end	נגמר
question	שאלה
tattoo	קעקע
tattoo	כתובת קעקע
brutal	ברוטלי
עַל	על רגל אחת
יֵין	יין נסך
יוֹם	יום כפור
יוֹם	יום הכפורים
יוֹם	יום הכיפורים
midnight	חצות הלילה
chess	שחמט
religion	דת
oligarchy	אוליגרכיה
tolerance	סובלנות
author	תושלב״ע
goblet drum	דרבוקה
improvement	שכלול
crossword puzzle	תשחץ
difference	הבדל
God	עמ״י עש״ו
undress	התפשט
winepress	גת
libido	ליבידו
sexual	מיני
remove	נפשט
remove	פשט
simplify	פישט
undress	הפשיט
undress	הופשט
Tower of Babel	מגדל בבל
diadem	עטרה
BC	לפנה״ס
something	משהו
someone	מישהו
tequila	טקילה
whiskey	ויסקי
bourbon	בורבון
sending	משלוח מנות
משלוחי	משלוחי מנות
sucking	מציצה
sash	אבנט
שֵׁם	שם עצם
sexy	סקסי
close	סגר
ureter	שופכן
explain	הסביר
Golan	גולן
יוֹם	יום טוב
יָמִים	ימים טובים
childlike	נאיבי
sweat	הזיע
party pooper	עוכר שמחה
niece	אחיינית
adjective	שם תואר
cookie	עוגייה
entomology	אנטומולוגיה
moth	עש
arachnophobia	ארכנופוביה
try	ניסה
ejaculation	שפיכה
available	זמין
mobile	נייד
ibex	יעל
efficient	ייעל
efficient	יועל
forget	ש־כ־ח
know	י־ד־ע
Qur'an	קוראן
Islam	אסלאם
Haredi	חרדי
chapter	ס׳
as usual	כרגיל
Israel	הארץ
force	התפוטר
force	התנודב
although	אע״פ
אַף	אף על פי
lick	ליקק
provide	סיפק
horndog	חרמן
scientific	מדעי
bother	הפריע
sexual	סקסואלי
gospel	גוספל
list	רשימה
virgin	בתול
dead	שבור
anal	אנאלי
lie down	שכב
grape	ענב
blind	עיוור
alcohol	אלכוהול
conversation	שיחה
alcohol	כוהל
wall	כותל
manuscript	כ״י
as it were	כביכול
depict	צייר
spiritual	רוחני
משגיח	משגיח רוחני
Persian	פרסית
microphone	מיקרופון
killing	קטילה
new	חדשות
found	נמצא
forgetful	שכחן
throat	גרון
terrorist	מחבל
bleed	דימם
curiosity	סקרנות
underwear	תחתונים
swollen	נפוח
cumulus	קומולוס
groin	מפשעה
buttocks	עכוז
cupid	קופידון
fast	מהיר
hurry	מיהר
motorcycle	אופנוע
used to	התרגל
regular	רגיל
emotion	רגש
green	ירוק
grammar	דקדוק
religious	דתי
Morpheus	מורפאוס
pornographic	פורנוגרפי
porn	פורנו
emotional	רגשי
prisoner	אסירה
prisoner	אסיר
answer	ענה
shave	התגלח
time	ז־מ־ן
Wiktionaries	ויקימילונים
drink	שתה
lazy	עצלן
cool	הצטנן
try	השתדל
convince	השתכנע
convince	שיכנע
attack	התנפל
gain	השמין
branch	הסתעף
preserve	השתמר
behave	התנהג
disturbance	הפרעה
become	התרוקן
become	התלכלך
argue	התווכח
histamine	היסטמין
wrinkle	התקמט
hide	התחבא
dress	התלבש
radish	צנון
phone	התקשר
tired	עיף
vacation	חופשה
forbidden	אסור
participate	השתתף
manly	גברי
act	התנכר
German Shepherd	רועה גרמני
pass away	נפטר
hide	החביא
hide	הסתיר
hide	הסתתר
loser	מפסידן
strange	מוזר
giant	ענק
giant	ענקי
signature	חתימה
monster	מפלצת
tourist	תייר
guitar	גיטרה
all	כולם
shine	זרח
ninja	נינג׳ה
fascism	פשיזם
front	קדמי
fast	תענית
kimono	קימונו
insect	חרק
tram	חשמליה
moat	חפיר
שַׁעַר	שער מתרומם
last year	אשתקד
globe	גלובוס
cage	כלוב
sweetness	מותק
psychology	פסיכולוגיה
linguistics	בלשנות
refrigerator	מקרר
dozen	תריסר
insurance	ביטוח
programmer	תוכניתן
programmer	מתכנת
program	תיכנת
blue	כחול
just now	זה עתה
category	קטגוריה
ampersand	אמפרסנד
Yiddish	יידיש
community	קהילה
Serbo-Croatian	סרבו־קרואטית
gnostic	גנוסטי
Gnosticism	גנוסטיקה
demiurge	בורא עולם
like	כמו
checkers	דמקה
performance	הצגה
recipe	רצפט
show	הראה
biometry	ביומטריה
tested	התנסה
dollar	דולר
infancy	ינקות
settlement	התנחלות
gonorrhea	זיבה
penicillin	פניצילין
as	כש־
utterance	אומר
summit	פסגה
event horizon	אופק אירועים
astrophysics	אסטרופיזיקה
קֶרַח	שוברת קרח
called for	קרוא
tempura	טמפורה
origami	אוריגמי
Armenian	ארמני
operation	ניתוח
Sofia	סופיה
parasitic	טפילי
acorn	בלוט
ראש	ראש הפין
ראשי	ראשי הפינים
investigate	חקר
perfect	מושלם
summer camp	קייטנה
חופשי	חופשי חודשי
lemon	לימון
bentsher	ברכון
grace	ברכת המזון
spelt	כוסמת
yoghurt	יוגורט
trade	מסחר
קֶרִי	קרי לילה
hydrotherapy	הידרותרפיה
noise	רעש
יַחַס	יחס אות לרעש
precedent	חסר תקדים
Fatah	פת״ח
image	צ־ל־ם
run	רץ
bring	ב־ו־א
bring	הביא
abroad	חו״ל
district	מחוז
keyboard	מקלדת
vinegar	חומץ
Ethiopian	אתיופי
basin	כיור
cracker	קרקר
widow	אלמנה
widower	אלמן
peach	אפרסק
sleeping bag	שק שינה
Hong Kong	הונג קונג
frost	כפור
niqqud	ֿ
fluency	רהיטות
citric acid	מלח לימון
utterly	הגיע עד פת לחם
acid	חומצה
לימון	חומצת לימון
box	תיבה
hospital	בית חולים
suffer	סבל
caricature	קריקטורה
Muslim	מוסלמי
cardinal	חשמן
ostrich	יען
subject	נושא
yeast	שמרים
raised	נשוא
skirt	חצאית
Scandinavian	סקנדינבי
explosion	פיצוץ
שׁוּם	שום דבר
hamburger	המבורגר
אֱגוֹז	אגוז אדמה
smog	ערפיח
traveler	נוסע
viper	צפע
taxi	מונית
כְּלִי	כלי נגינה
turnip	לפת
protein	חלבון
joke	בדיחה
skeleton	שלד
bluish	כחלחל
helmet	קסדה
utility knife	סכין יפני
בְּנֵי	בני מצוה
belated	שמועה רחוקה
rebus	רבוס
phlogiston	פלוגיסטון
May Day	אחד במאי
Naphtali	נפתלי
janitor	שרת
sunflower	חמנית
pillow	כרית
parabola	פרבולה
compassion	חמלה
biscuit	ביסקוויט
catabolism	קטבוליזם
Prof.	פרופ׳
professor	פרופסור
pleasant	מחמד
oregano	אורגנו
כַּדּוּר	כדור פורח
master	רבש״ע
napkin	מפית
plectrum	מפרט
SMS	סמס
limit	הגביל
curse	קללה
basalt	בזלת
ovum	ביצית
completely	לגמרי
intention	כ־ו־ן
demolition	הריסה
atonement	כיפור
juniper	ערער
apologize	התנצל
civilization	ציוויליזציה
dry	י־ב־ש
hermaphrodite	הרמפרודיט
dry	ייבש
dry	התייבש
coral	אלמוג
relative	קרובה
adverb	תה״פ
Tibet	טיבט
son of a whore	בן זונה
motorcycle	אופנועים
koala	קואלה
abstain	התנזר
Masorah	מסורה
test	נבדק
reduce	הפחית
efficacy	יעילות
significant	משמעותי
meaning	משמעות
open	פ־ת־ח
zebra	זברה
kangaroo	קנגורו
biology	ביולוגיה
americium	אמריציום
evident	ברור
romance	רומן
printer	מדפסת
lift	הגבהה
trauma	טראומה
kiosk	קיוסק
Morse code	קוד מורס
lichen	חזזית
citizenship	אזרחות
noble	אציל
noble	נאצל
nobility	אצולה
regards	ד״ש
yearly	שנתי
אַגַּן	אגן ים תיכון
louse	כינה
film	קולנוע
prey	טרף
chew	לעס
eternally	לעולם
appear	הופיע
ambush	מארב
ten	ארוחת עשר
cell phone	פלאפון
telephone	ט־ל־פ־ן
agreement	הסכם
Norway	שוודיה
letter	מכתב
browser	דפדפן
רֹאשׁ	ראש ממשלה
lamb	שה
gardener	גננת
style	סגנון
biker	אופנוען
court	בימ״ש
dictatorship	דמוקרטיה
Cain	קין
biologist	ביולוג
monarchy	מונרכיה
blog	בלוג
stutter	גמגום
sour	חמוץ
bonsai	בונסאי
child	בנים
visibility	ראות
mark	צ־י־ן
heat	ח־מ־ם
child	ילדים
יְמֵי	ימי הולדת
guarantee	ערבות
מגידי	מגידי שיעור
cordless	אלחוטי
tofu	טופו
peninsula	חצי אי
free	שחרר
gather	אסף
strudel	כרוכית
sorcerer	מכשף
afikomen	אפיקומן
Karaite	קראי
school year	שנת לימודים
complain	התלונן
prevent	מנע
solution	פתרון
amok	אמוק
telephone	טלפן
v	פ׳
glazier	זגג
מָה	מה עניין שמיטה אצל הר סיני
sabbatical year	שמיטה
persuasion	ש־כ־נ־ע
convince	שכנע
persuasive	משכנע
זאת	לאחר
sour	החמיץ
sour	ח־מ־ץ
Judah	יהודה
throw	ידה
convince	שוכנע
bagel	בייגל
כּוֹכְבֵי	כוכבי לכת
absurd	אבסורד
quite	מאוד
Knesset	ח״כ
assembly	כנסת
factory	מפעל
complication	סיבוך
complexity	ס־ב־ך
demonstrate	הפגין
dirty	לכלך
שְׂפַת	שפת תכנות
olive	זית
crown	קדקוד
reduce	הקטין
committee	ועדה
candidate	מועמד
define	הגדיר
bleach	הלבין
attorney	עו״ד
principal	ראשי
reform	רפורמה
אֵפֵקְט	אפקט החממה
Christmas	כריסטמס
youth	צעירה
troll	טרול
lazy	התעצל
break down	התקלקל
faint	התעלף
waste	התבזבז
cool	התקרר
warm	התחמם
stretch	התמתח
surprise	התפלא
pretzel	בייגלה
iceberg	קרחון
sip	לגם
seat	הושיב
cigarette	סיגריה
cigar	סיגר
battery	סוללה
almost	כמעט
suspect	חשוד
מַה	מה נשמע
עַל	על טעם וריח אין להתוכח
awake	ער
bishop	בישוף
progeny	צאצא
מְהִירוּת	מהירות האור
compact	קומפקטי
inverted	הפוך
קָפֶה	קפה הפוך
ichthyology	איכתיולוגיה
mother tongue	שפת אם
dairy	מחלבה
inject	הזריק
splash	התיז
insert	החדיר
rolling pin	מערוך
blower	מפוח
vestibule	מסדרון
calculator	מחשבון
laboratory	מעבדה
visit	ביקר
believe	האמין
exaggerate	הגזים
in advance	מראש
necessity	בהכרח
influence	השפעה
incitement	הסתה
sharpen	השחיז
stain	הכתים
plant	השתיל
blacken	השחיר
blush	הסמיק
regret	התחרט
taxidermy	פוחלץ
forklift	מלגזה
poison	הרעיל
ashtray	מאפרה
underground	מחתרת
accuse	האשים
surveillance	מעקב
drift	נסחף
slip	החליק
pave	סלל
forgive	סלח
broadcast	שידר
improve	שיפר
launch	שיגר
bribe	שיחד
lock	מנעול
bite	הכיש
guess	ניחש
gamble	הימר
preach	הטיף
fenugreek	חלבה
תַּחַת	שק לי בתחת
in fact	בעצם
expropriate	הפקיע
wrestle	התאגרף
encircle	כיתר
mandolin	מנדולינה
demonstrate	הדגים
spray	ריסס
surprise	הפתיע
dismantle	פירק
bay	מפרץ
mosque	מסגד
spy	ריגל
flicker	ריצד
wheelbarrow	מריצה
pluck	מרט
hover	ריחף
weld	ריתך
solder	הלחים
turn in	הסגיר
impoverish	רושש
farm	חווה
posture	תנוחה
marketing	שיווק
clone	שיבט
agree	הסכים
smell	הריח
drill	מקדחה
peanut	בוטן
meantime	בינתיים
autocracy	אוטוקרטיה
fact	עובדה
equation	משוואה
office	משרד
spark	ניצוץ
scholarship	מלגה
aircraft carrier	נושאת מטוסים
antibody	נוגדן
coat	מעיל
embezzlement	מעילה
lift	מעלית
cellar	מרתף
cuff	חפת
Hasidim	אנ״ש
לְּבַד	מלבד
ובא לציון גואל	ובלצ״ג
squirrel	סנאי
sculpt	פיסל
stool	שרפרף
flea	פרעוש
paragraph	פסקה
gossip	רכילות
compatibility	תאימות
embarrass	הביך
humiliate	השפיל
correspond	התכתב
pavement	מדרכה
cheap	הוזיל
ambrosia	אמברוסיה
Isaac	יצחק
regret	חרטה
unisex	יוניסקס
aerodynamics	אוירודינמיקה
intestine	מעי
citron	אתרוג
פִיזִיקָה	פיזיקה גרעינית
layman	הדיוט
צָהֳרַיִם	צהרים טובים
עֶרֶב	ערב טוב
therefore	אז
תּוֹדָה	תודה רבה
wish	בהצלחה
prepared	מוכן
bedsore	פצע לחץ
wound	פצע
champagne	שמפניה
return	ח־ז־ר
אֲנִי	אני לא מדבר אנגלית
אֲנִי	אני לא מדברת אנגלית
אֵין	אין בעד מה
Russian	רוסי
strawberry	תות שדה
chromosome	כרומוזום
cyclone	ציקלון
fax	פקס
past	לשעבר
nicotine	ניקוטין
piña colada	פינה קולדה
enlarge	הגדיל
extinction	הכחדה
knish	קניש
kugel	קוגל
institute	מוסד
measure	מדד
exile	גלה
put up	הקים
Obama	אובמה
עַל	על לא דבר
prevent	סיכל
narrow	צר
narrowness	צרות
Masoretic	׆
Mordecai	מרדכי
cairn	גלעד
הוֹכִיחַ	הוכיח בשלילה
squeeze theorem	כלל הסנדוויץ׳
analysis	חשבון אינפיניטסימלי
analysis	חשבון דיפרנציאלי ואינטגרלי
department	מחלקה
sandwich	סנדוויץ׳
אַנִי	אני רעב
אַנִי	אני רעבה
curtain	וילון
old	קשיש
anybody	אפ׳חד
אֲנִי	אני לא מדבר עברית
chimpanzee	שימפנזה
obstacle	מכשול
illusion	אשליה
me	לי
prep.	מ״י
pron.	מ״ג
התכנסות	התכנסות במידה שווה
חֲבָל	חבל על הזמן
gathering	מפגש
shop	סדנה
destroy	הרס
Joshua	ישו
television	טלויזיה
Jacob	יעקב
house	ביתו
invite	הזמין
-logy	־לוגיה
in spite of	למרות
pronounce	ביטא
unicycle	חד אופן
unicycle	חד־אופן
seat	הרכיב
hamburger	קציצה
dark	כהה
hat	כובע טמבל
Melchizedek	מלכי־צדק
remembered	זכור
male	זכרים
end	עכת״ד
lung	ריאה
die	וימת
Exodus	עמו
enormous	עצום
Genesis	הבה
Exodus	נתחכמה
chestnut tree	ערמון
show	מופע
solid	מוצק
mattress	מזרן
librarian	ספרן
crooked	עקום
diode	דיודה
ethanol	אתנול
מה	מה פתאם
president	נשיא
Czech	צ'כית
קַרְחוׄן	קרחון ימי
jaguar	יגואר
bus	אוטובוס
hockey	הוקי
parody	פרודיה
כֶּלֶב	כלב כנעני
separate	הבדיל
separation	הבדלה
canteen	קנטינה
separation	ב־ד־ל
per	לפי
perhaps	אפשר
preferred	מועדף
anything	כלום
גבוה	בג״ץ
court	בית משפט
cosmology	קוסמולוגיה
leader	מנהיג
hater	שנאינו
Exodus	שרי
Leviticus	אחרי
type	הקליד
hertz	הרץ
grindstone	אבן משחזת
pine nut	צנובר
reprimand	נזיפה
crazy	משוגע
together	ביחד
inside	בתוך
shofar	שופר
pen name	שם עט
חֶבֶר	חבר המדינות
never	אפפעם
tax	מס
benefit	למען
cruel	אכזרי
pain	ענתו
Exodus	ויבן
him	אתו
ritual	טקס
Jew	בנ״י
Exodus	חייהם
cult	פולחן
cult	כת
by all means	אדרבא
on the contrary	אדרבה
staff	עבדה
מ־	מילדות
midwife	מיילדת
Exodus	ילדכן
power	הספק
anonymity	אלמוניות
cannabis	קנבוס
hypocrisy	צביעות
אֱמֶת	אמת או חובה
Dead Sea	ים המלח
suffix	סופית
terminal	סופי
forgiveness	סליחה
state	מדינה
petrol	בנזין
flour	קמח
advertise	פרסם
monument	מונומנט
seamstressing	תפירה
artery	עורק
tuberculosis	שחפת
collection	אוסף
jacuzzi	ג׳קוזי
cartel	קרטל
persimmon	אפרסמון
flat tire	פנצ׳ר
centipede	נדל
unloved	שנוא
Zürich	ציריך
מֵי	מי חמצן
tomato	עגבניה
תפוח	התפוח לא נפל רחוק מהעץ
yellow	צהוב
orphan	יתום
philosopher	פילוסוף
Email	דוא״ל
Exodus	תיראן
Exodus	עשו
insomnia	נדודי שנה
discovery	תגלית
Exodus	אליהן
margin	שול
cool	סבבה
חלל	תחנת חלל
station	תחנה
matzo	מצה
Exodus	להן
Exodus	עשיתן
Egyptian	מצרית
kcal	קק״ל
Exodus	תבוא
Exodus	תבא
Exodus	יראו
