intervention	may
cucumber	xiyar
dawn	ferec
aluminium	bafûn
to	ji ... re
much	gelek
by	ji alî
direction	alî
above	li ser
for	ji bo
why	bo çi
why	çira
why	çima
why	ji ber çi
what	çi
bottom	jêr
down	ber bi jêr
towards	ber bi
therefore	ji ber vê
lower	berdan jêr
because	ji ber ko
because	jiber ku
screen saver	dîmenderparêz
screen saver	dîmenderparêza
so that	da ku
nothing	tu tişt
alive	candar
do	کرن
night	şev
translation	tercime
clay	kaxçîn
lamb	berx
river	cobar
vengeance	heyf
educated	xwenda
intellectual	ronakbîr
intellectual	rewşenbîr
beer	bîra
Sorani	soranî
ugly	kirêt
ugly	kirh
willow	bîd
Yazidi	êzdî
Russia	Rûsya
greens	pincar
capital	paytext
punishment	ceza
Greece	Yewnanistan
ravager	wêranker
discussion	gotûbêj
evening	êvar
picture	wêne
turkey	elok
absence	absans
adrenaline	adrenalîn
planner	ajanda
action	aksiyon
neteweyî	aboriya neteweyî
acronym	akronîm
allegory	alegorî
alternative	alternatîv
analogy	analojî
ambulance	ambûlans
archeology	arkeolojî
andrology	androlojî
androtomy	androtomî
anatomy	anatomî
phytotomy	fîtotomî
hysterotomy	hîsterotomî
animation	anîmasyon
attraction	atraksiyon
anatoxin	anatoksîn
antonym	antonîm
hyponym	hîponîm
toxin	toksîn
dioxin	diyoksîn
acetenyl	asetenîl
nose ring	xizêm
lotion	losyon
loyalty	loyalîte
machine	makîne
deism	deîzm
retronym	retronîm
eczema	bîrov
dear	hêja
dearness	hêjatî
hyper-	hîper-
abortionist	jiberxistinkar
abdominous	zikmezin
sereke	kolana sereke
activism	aktîvîzm
beautiful	aktîv
-ism	-îzm
wood	darik
little girl	keçik
male	kurik
girl	qîzik
girl	qîz
cocaine	kokaîn
cannabis	kanabîs
yellowfish	masîzerk
antagonism	antagonîzm
agonism	agonîzm
nationalism	nasyonalîzm
nationalist	nasyonalîst
ethnonationalism	etnonasyonalîzm
pre-	pêş-
post-	paş-
anti-	antî-
kilo-	kîlo-
half-	nîv-
eighty	heştê
bio-	biyo-
cosmo-	kozmo-
micro-	mîkro-
mini-	mînî-
maxi-	maksî-
-ist	-îst
suffix	-xane
chromatid	kromatîd
nephropathy	nefropatî
-pathy	-patî
sympathy	sempatî
story teller	çîrokbêj
story	çîrok
bacteriology	bakteriyolojî
-logy	-lojî
bacterio-	bakteriyo-
cardio-	kardiyo-
cardiology	kardiyolojî
cardiogram	kardiyogram
mesology	mezolojî
odontology	odontolojî
hydrology	hîdrolojî
hydrology	zanista avê
hydrometer	hîdrometre
hydro-	hîdro-
hydroxide	hîdroksîd
hydronium	hîdronyûm
corpse	kelex
nitrogen	nîtrojen
chlorine	klorîn
shit	rîtin
dove	kevok
soup	şorbe
pepper	îsot
penis	kîr
well	bîr
lion	şêr
frog	beq
moon	hîv
order	rêz
silver	zîv
fishbone	dasî
xwe	jiyana xwe ji dest dan
also	jî
crazy	dîn
three	bêhtirpêr
bit by bit	piço-piço
anyway	jixwe
then	nexwe
inform	agahdar kirin
destroy	tune kirin
tell of	çêr kirin
pray	dia kirin
wet	şil kirin
comment	şîrove kirin
salt	şor kirin
wake up	şiyar kirin
battle	şer kirin
comb	şe kirin
lose	winda kirin
archive	arşîv kirin
archive	arşîv
swear word	çêr
salty	şor
swing	hêlekan
mosque	mizgeft
walnut	gûz
criticism	rexne
tribe	eşîr
modern	nûjen
naked	tazî
undressed	bêcil
nakedness	tazîtî
undressedness	bêcilî
sad	xemgîn
sadness	xemgînî
curse	nifir kirin
curse	nifir
thin	zirav
holy	pîroz
congratulant	pîrozker
dizzy	gêj
dizziness	gêjî
thin down	tenik kirin
thank	spas kirin
whiten	spî kirin
greet	silav kirin
perform a salat	nimêj kirin
affirm	erê kirin
yes	erê
holiness	pîrozî
alleged	qaşo
vagina	quz
supporter	alîgir
pastegh	bastîq
raisin	mewîj
grapevine	mêw
bring up	xwedî kirin
owner	xwedî
domesticate	kedî kirin
domestic	kedî
thank you very much	gelek spas
how are you	tu çawa yî
Tuesday	sêşem
Wednesday	çarşem
available	mewcûd
Syria	Sûriye
tongs	kêlbetan
suckling	pitik
nail	bizmar
love	eşq
solicitude	inayet
speech	mentiq
herd	naxir
thirteen	sêzde
shepherd	şivan
farmer	gundî
please	xweşkirin
pleasant	xweş
happily	xweşbextane
enjoyment	xweşî
doctor	bijîşk
sometimes	carinan
sometimes	carcaran
boots	cîzme
cow	çêlek
log	êzing
dress	fîstan
wardrobe	cildank
dress up	cil li xwe kirin
cabbage	kelem
wardrobe	camedank
armistice	çekdanîn
arm	çekhilanîn
black pepper	îsota reş
Cayenne	îsota kayenê
pepper shaker	îsotdank
roost	kox
health	tendirûstî
firm	tendirûst
hygienic	tendûrustî
cannabis	kinif
exercise	hîndarî
live	jîyan
spoon	kevçî
notebook	lênûsk
martyr	şehîd
unity	yekîtî
army	leşker
gift	hediye
highway	şose
wire	têl
ditch	xendek
ditch	cihok
river	cobarî
فه‌ره‌نسا	Frensa
French	frensî
French	zimanê fransî
blue	şîn
black	reş
violet	heş
savannah	zerd
purple	binefşî
pink	پەمبە
crimson	sipsor
crimson	sorê sor
orange	torincî
orange	pirteqalî
violet	binefş
cotton	pembû
pool	şadrewan
childhood	zaroktî
poor	feqîr
mirror	awêne
mirror	neynik
faith	bawer
thought	hizir
art	hiner
carry	birên
shame	şerm
back	pişt
Wednesday	çarsem
eye	çav
handkerchief	destmal
shame	eyb
tail	dûv
key	anaxdar
sky	esman
cheap	erzan
profit	fayîde
intelligence	fehm
cup	fîncan
Saturday	şembî
tissue	şane
hell	cehnem
ice	cemed
answer	cewab
tent	çadir
pit	çal
time	wext
time	çax
meadow	çayîr
meadow	çayr
Tuesday	sêşemî
Thursday	pêncşemb
how much	çend
left	çep
wheel	çerx
handle	destî
car	erebe
horn	stirî
column	stûn
sin	guneh
Friday	înî
Sunday	yekşem
eyebrow	birû
cheese	penêr
jewel	gewher
write	nivîsandin
way	rê
carpet	feraş
pair	zoq
piece	perçe
hydrogen	hîdrojen
dense	xest
in-law	xinamî
sugar	şekir
twelve	dazde
fig	hejîr
moss	kevz
joke	henek
poor	belengaz
dung	antêx
farmhand	mişag
flag-bearer	biala
honor	şeref
thin	lawaz
prisoner	dîl
knife	şixtîk
stop	rawestîn
dendrochronology	dendrokronolojî
God	Xwedê
God	xuda
ceiling	arûk
region	herêm
quail	lûr
wash	şûştin
wash	şwîştin
village	muxtar
female	marî
tonight	îşev
kill	kuştin
cave	şikeft
meadow	mêrg
waterfall	sûl
cucumber	arû
turnip	şêlim
lime	kisl
him	wî
her	wê
hungry	birçî
umbrella	sîwan
late	dereng
mangy	gurî
official	fermî
pain	êş
permission	destûr
start	destpêk
lie	derew
bird	çûk
moment	kêlî
needle	derzî
building	avahî
security	ewlehî
traveller	rêwî
computer	kombers
brake	frên
police officer	polîs
goodbye	bi xatirê te
can	karîn
bathroom	hemam
bathroom	serşok
much	pirr
pencil	pênûs
pencil	qelem
bee	mêşhingiv
dirty	gemarî
cook	aşpêj
farmer	cotyar
baker	nanpêj
oneself	xwe
half	nîv
clause	cumle
in	di ... de
in	li ... de
about	di bareya ... de
about	di derheqê ... de
about	di warê ... de
for	di lêhê ... de
after	di pey ... de
behind	li pey
within	di hundurê ... de
inside of	hundurê
from	ji ... de
by	di ... re
through	di ... ve
from	ji ... ve
nostril	kunê difinê
him	ԝи
splinter	pîj
Mercury	Tîr
rice	birinc
inspiration	îlham
bartender	meygêr
civil war	şerê navxweyî
smile	bişkur
carnivore	goştxwer
Armenian	ermenî
altar	sêxan
Tigris	Dîcle
intermission	paydos
political	siyasî
politics	siyaset
clitoris	zîlik
herî giran	girantirîn
Danish	danîmarkî
friendship	hevalî
electricity	ceyran
which	kîjan
man	peya
Saturday	şemî
bold	cesûr
Armenian	tixa
person	nefer
dessert	şîranî
flag	bayrax
armchair	paldank
armchair	palkursî
armchair	qoltix
exile	sirgûn
food	xurek
quatrain	çarîne
most	herî
whale	neheng
whale	balîna
eagle	eylo
eagle	qertel
computer	kompûter
inhabitant	akincî
inhabitant	rûniştvan
dictionary	qamûs
ocean	okyanos
cable car	teleferîk
neutrality	bêalîtî
change	guhartin
change	guherîn
kindergarten	zarokxane
archaeologist	bastannas
computer	bilgîsayar
at last	asoxî
nursing home	aramxane
cattle	çavrî
agriculture	çandinî
culture	çand
veil	çarşev
fence	çeper
error	çewtî
pasture	çêregeh
mucus	çilm
branch	çiq
branch	çiqil
layer	çîn
meadow	çîmen
desert	çol
subject	dabaş
wisdom	aqil
fire	alav
absolutely	mitleq
traitor	mixenet
quantity	mixdar
aim	meqsed
chain	zincîr
chest	sîng
border	sînor
pail	sîtil
honeycomb	şan
headband	şar
sky	şargeh
chess	şaxmat
poet	şayîr
dawn	şebeq
city	şeher
unhappy	qezîya
mercy	qêmîş
edge	qirax
live	jîn
against	dijî
vegetables	dikak
scattered	belav
below	binîya
basis	bingeh
homeland	niştîman
lentils	nîsk
doctor	nojdar
people	xelq
harvest	xerman
stranger	xerîb
especially	nemaze
cheese	penîr
temple	perestgeh
word	peyiv
duty	peywir
relationship	peywendî
statue	peyker
ibex	pezkûvî
above	pêhel
below	pêda
together	pêkve
more	pitir
hearth	pixêrîk
cherry	qeresî
guard	qerewil
joke	qerf
castle	qesr
dates	qesp
perhaps	qey
chance	derfet
gate	dergeh
gorge	dergelî
producer	derhêner
power	desthilat
assassin	mêrkuj
north	mifriq
village	milîs
owner	milûk
appropriate	minasib
follower	mirîd
valley	mesîl
refuge	dexalet
spleen	dêdik
tail	dêl
demon	dêw
with	digel
yesterday	dihî
humanity	dinyalik
public	giştî
carrot	gizêr
manure	terş
grapes	tirî
sour	tirş
thing	tişt
riddle	tiştanok
rosary	tizbî
border	tixûb
drowsiness	xilmaş
tent	xêvet
stick	şivdar
road	şiverê
dill	şiwît
pancreas	şîlav
threshold	şîpane
dinner	şîv
plow	şûrik
special	taybetî
Yezidi	Êzidi
Euphrates	Ferat
porcelain	ferfûr
tea shop	çayxane
dragon	zîha
field	werz
development	werar
period	heyam
settlement	heyşet
Easter	hêkesor
wool	hirî
farm hand	hodax
friend	hogir
poet	hozanvan
stubble	pirêz
jineology	jineolojî
halter	hevser
billygoat	hevûrî
juniper	hevris
attempt	hewl
rung	hewq
account	neqil
price	nerx
chicken	mirîşk
apricot	mişmiş
quantity	qeder
herd	qefle
skull	qehf
skin	tîvil
festival	zêw
road	zikak
magic	efsûnî
so much	haqas
troop	alayî
summit	bandev
acceptance	qebûl
runner	bezok
pistachio	fistiq
tower	birc
behavior	reftar
neck	gerden
pharynx	gewrî
wide	fireh
crock	firaq
basket	sewî
plaster	sewax
caretaker	sexbêr
teacher	seyda
hostler	seyîs
digit	reqem
millipede	hezarpê
mathematician	jimarnas
suffix	paşbendik
binoculars	dûrbîn
wish	daxwaz
declaration	daxuyanî
dry	kizir
kerchief	çîtik
curtain	çît
mountain	çîyayî
historian	dîroknas
manuscript	destnivîs
grains	dexl
thread	dezî
sympathetic	dilşewat
awl	dirêş
thorn	dirî
right	dirust
again	dîsa
clay	dîz
hill	dîyar
pig	domiz
holiday	şahî
honor	namûs
dam	avbend
sign	nîşan
sign	îşaret
evidence	delîl
joke	pêkenok
adverb	hevalkar
pronoun	cînav
origin	jêder
continuous	berdewam
surname	paşnav
call	gazî
calling	bangkirin
needed	hewce
necessity	ihtiyac
necessity	lazimî
needy	muhtac
winner	mizafer
saboteur	xopanker
government	hikûmet
government	xuhermend
council	encumen
community	civat
conversation	suhbet
wide	berfire
masturbation	destperkî
area	navçe
hunting	şikar
boat	keştî
boat	sefîne
sail	babirk
fan	baweşînk
cool	hênik
corner	goşe
corner	qorzî
corner	qulaç
intention	mebest
ascertaining	lêpirsîn
prosecutor	dozgêr
criminal	tawankar
mare	mehîn
mountainous	çiyayî
despoliation	talankirin
division	parvekirin
majority	piranî
battalion	tabûr
town	bajarok
public	serdozger
authority	karbidest
right	dadmend
injustice	neheqî
unjust	neheq
informed	agahdar
effect	bandor
system	nîzam
speech	nutq
word	xeber
wormwood	pelîn
Icelandic	îzlendî
Chinese	çînî
Swedish	swêdî
Russian	rusî
Finnish	fînî
Norwegian	norwecî
Vietnamese	viyetnamî
Korean	koreyî
basin	kurn
holy war	cîhad
lift	asansor
American	emerîkî
Amerîka	Emerîka
hope	umêd
twenty-one	bîst û yek
whore	qehpik
high school	lîse
feet	qedûm
