how	en
one hundred	hundrað þrjátíu og fimm
one hundred	hundrað þrjátíu og sex
one hundred	hundrað þrjátíu og sjö
one hundred	hundrað þrjátíu og átta
one hundred	hundrað þrjátíu og níu
one hundred	hundrað og fjörutíu
one hundred	hundrað fjörutíu og einn
one hundred	hundrað fjörutíu og tveir
one hundred	hundrað fjörutíu og þrír
one hundred	hundrað fjörutíu og fjórir
one hundred	hundrað fjörutíu og fimm
one hundred	hundrað fjörutíu og sex
hundrað	hundrað fjörutíu og sjö
one hundred	hundrað fjörutíu og átta
one hundred	hundrað fjörutíu og níu
one hundred	hundrað og fimmtíu
motherboard	móðurborð
finger	putta
calendar	tímatal
calendar	dagatal
brick wall	múr
Adam's apple	adamsepli
translation	þýðing
conjugation	sagnbeyging
exercise	æfing
practice makes perfect	æfingin skapar meistarann
master	meistari
do you speak English	talar þú ensku
willow	víðir
pot marigold	morgunfrú
coke	kók
plough	plógur
plough	plægja
serve	þjóna
Jordan	Jórdanía
Jordan	Jórdan
philosopher's stone	viskusteinn
crown	kóróna
suit	jakkaföt
coat	síðfrakki
T-shirt	stuttermabolur
flea	fló
front	loppa
risk	áhætta
alphabet	stafróf
initial	frumstig
comparative	miðstig
numeral	töluorð
black hole	svarthol
particle	smáorð
accelerator	hraðall
particle accelerator	öreindahraðall
blood	dreyri
currency	gjaldmiðill
currency	gjaldeyrir
noisy	hávaðamaður
here	hegat
baseball	hafnabolti
baseball	hornabolti
brewery	ölgerðarhús
brewing	ölgerð
fish ball	fiskibolla
haddock	ýsa
fabricate	fabúlera
fable	fabúla
joke	djók
damn	sjitturinn
shit	andskotinn
shit	djöfullinn
helvíti	helvítis
forgive	fyrirgefa
have	fyrirgefðu mér
monk	munkahetta
eggshell	eggjaskurn
neuter	hvorugkyn
feminine	kvenkyn
masculine	karlkyn
third	þriðji
fourth	fjórði
movie	kvikmynd
wish	ósk
penguin	mörgæs
puffin	lunda
abbreviation	skammstöfun
stock-taking	debet
female	urta
minus sign	mínus
per cent	prósenta
pulse	púls
plus sign	plús
professor	prófessor
preach	predika
pendulum	pendúll
aquavit	ákavíti
commune	kommúna
communist	kommúnisti
communism	kommúnismi
communist	kommi
crocodile tears	hræsnistár
crocodile tears	krókódílstár
hypocrisy	hræsni
pretense	yfirdrepsskapur
pretense	uppgerð
hypotenuse	langhlið
clean	þrífa
pleb	plebbi
disarm	afvopna
weapon	vopn
Icelander	Íslendingur
mountaintop	kollur
trunk	stofn
tomato	tómatur
tombola	tombóla
castle	kastali
palace	höll
palace	konungshöll
castle	hallarvirki
locative case	staðarfall
tomato	tómati
brother-in-law	mágur
actor	leikari
actress	leikkona
soliloquy	einræða
soliloquy	einræða persónu
tidy	snyrting
water closet	vatnssalerni
drip	drjúpa
physiology	lífeðlisfræði
long coat	síðjakki
client	skiptavinur
client	viðskiptavinur
shopper	kaupandi
mail	brynja
onslaught	snerra
gall bladder	gallblaðra
balloon	blaðra
listen	hlusta
mean	standa fyrir
ákveðinn	ákveðinn greinir
indefinite article	óákveðinn greinir
undetermined	óákveðinn
article	greinir
cave	hellir
defibrillator	hjartastillir
bronze	brons
ink	blek
fountain pen	blekpenni
quill	fjaðurpenni
ballpoint pen	kúlupenni
waste	sóa
retardant	hemill
brake	hemla
stairwell	stigagangur
walking	gangur
dandelion	fífill
common dandelion	túnfífill
belong	tilheyra
bridegroom	brúðgumi
lying	lyginn
laser	leysir
ember	glóð
flood	flóð
yodel	jóðla
break	brjóta
proofread	prófarkalesa
psychiatrist	geðlæknir
bleed	blæða
scare	hræða
implant	græða
gizzard	fóarn
cocaine	kókaín
wheelchair	hjólastóll
fairly	all-
betri	betri er krókur en kelda
bartender	barþjónn
verbatim	orðréttur
verbatim	orðrétt
meal	máltíð
musket	framhlaðningur
barbarian	barbari
barbarian	skrælingi
barbarian	villimaður
past tense	þátíð
present tense	nútíð
singular	eintala
beautiful	fallegur
beauty	fegurð
assistance	aðstoð
poetry	ljóðlist
bioluminescence	lífljómun
eluvium	útskolun
naughty	óþekkur
silence	kyrrð
admiration	aðdáun
solitude	einsemd
smoke	smók
cigarette	fá sér smók
relaxed	afslappaður
sweet flag	kalmusrót
quill	fjaðurstafur
moist	rakur
tell	sögn
land	frón
sea	frónband
mud	gormur
Icelandic	frónskur
lament	harma
veranda	verönd
user	notandi
stig	efsta stig
Pithecanthropus	apamaður
bastard	anzvíti
answer	anz
reflexive verb	abbast
mess with	abbast upp á
ski	andri
jaw	kjálki
Adam's apple	barkakýli
sky	andlangur
god	andlangs herra
bad breath	andrammur
sleeplessness	andvaka
geometry	rúmfræði
acquired immune deficiency syndrome	eyðni
stick one's tongue out	ulla
deflower	afmeyja
dirty	óhreinn
Icelandic	íslenskur
African	afrískur
Japanese	japanskur
cross-eyed	rangeygður
rare	sjaldgæfur
knowledgeable	fróður
true	dyggur
howl	gól
skin	hams
hang	hengja
edema	bjúgur
scurvy	skyrbjúgur
Easter egg	páskaegg
Easter egg hunt	páskaeggjaleit
Sunday	páskabróðir
fasting	páskafasta
Easter cactus	páskakaktus
lamb	páskalamb
narcissus	páskalilja
Easter Sunday	páskavika
stay	páskavist
Holy Week	dymbilvika
Holy Week	kyrravika
Holy Week	dymbildagavika
fortnight	hálfur mánuður
fortnight	fjórtán dagar
northern lights	norðurljós
southern lights	suðurljós
turning point	þáttaskil
aurora	segulljós
domination	yfirráð
world	heimsyfirráð
main	aðaláhrif
corpus callosum	hvelatengsl
dough	deig
knot	hnútur
tripod	þrífótur
skateboard	hjólabretti
first person	fyrsta persóna
second person	önnur persóna
third person	þriðja persóna
string	þráður
princess	prinsipissa
kiss of peace	paxblað
crown princess	krónprinsessa
tame	temja
typical	dæmigerður
pond	pollur
bleeding	blæðing
dry	þurrka
dryer	þurrkari
thorn	þyrnir
British Isles	Bretlandseyjar
kid	kiðlingur
headache	höfuðverkur
polish	fægja
oddity	furðuhlutur
UFO	fljúgandi furðuhlutur
stretch	þenja
crochet	hekla
cutting	skurður
unicycle	einhjól
intact	graður
sexual	kynbundinn
flying	fljúgandi
tiring	þreytandi
dreamer	dreymandi
fragrant	ilmandi
pejorative	niðrandi
lonely	einmanna
such	þannig
rigid	stjarfur
sapphire	safírblár
purple	fjólublár
message	melding
bonus	bónus
hand fan	blævængur
skipping rope	sippuband
estuary	ós
tornado	hvirfilvindur
orca	háhyrningur
author	höfundur
biologist	líffræðingur
tough	töff
land	lenda
Elbe	Saxelfur
flaw	lapsus
woof	voff
underachiever	fúx
underachiever	bekkjarlalli
-ism	-ismi
physical	líkamsrækt
sports hall	íþróttahús
cock-a-doodle-doo	gaggalagú
Bacchus	Bakkus
long live	lengi lifi
swear	sverja
mind	hugi
former	fyrrverandi
chairman	formaður
you	þín
us	okkur
letter	okkar
God	ykkur
shall	ykkar
conspiracy	samsæri
conspiracy theory	samsæriskenning
her	hennar
them	þeim
their	þeirra
medicine	meðal
text	texti
poet	skáld
theologian	guðfræðingur
investigation	rannsókn
obtain	hljóta
theology	guðfræði
studies	nám
proximity	nánd
hymnal	sálmabók
brautskráði	brautskrá
Greek	gríska
mobile phone	farsími
mobile phone	GSM-sími
cell	gemsi
overrated	ofmetinn
underrated	vanmetinn
hold	gegna
younger	yngri
secondary school	latínuskóli
shame	skömm
lad	piltur
publish	gefa út
learned	lærður
party	aðili
speech	ræða
pass away	látast
spacious	rúmur
known	þekktur
position	staða
wealthy	efnaður
fostering	fóstur
abode	ból
name	nefna
later	síðar
authority	yfirvald
reconciled	sáttur
poetry	kveðskapur
say	kveðast
in lieu	í stað
also	að auki
negotiate	semja
angry	reiðast
later	seinna
value	gildi
spokesman	talsmaður
province	fylki
subset	undirflokkur
subfamily	undirætt
unit	eind
altar	altari
crown	krýna
aid	björg
nightmare	martröð
funeral	jarðarför
grave	gröf
flake	flaga
instrumental case	tækisfall
address	ávarp
address	ávarpa
shotgun	haglabyssa
protoplasm	frymi
pterygium	glæruvængur
spark	glæra
jet	þota
planet	pláneta
puma	púma
hooded crow	grákráka
inflammation	bólga
chaffinch	bókfinka
blood cell	blóðfruma
telephone	símasamband
home phone	heimasími
confide	trúa fyrir
strengthen	treysta
sauce	sósa
crime against humanity	glæpur gegn mannkyni
sauce	sósublettur
ambition	metnaður
Trojan horse	trójuhestur
cellar	kjallari
shed	hjallur
ambitious	metnaðarfullur
drunk	vínfullur
islet	hólmur
cranefly	hrossafluga
body	kroppur
yoga	jóga
rainbow	friðarbogi
army boot	herstígvél
feel	finnast
pursue	stunda
what's up	hvað er títt
frequent	tíður
ice	klaki
ice cube	ísmoli
bloodbath	blóðbað
keyboard	hnappaborð
keyboard	leturborð
button	hnappur
button	hneppa
die	drepast
neither	hvorugur
engill	engill dauðans
Michael	Mikael
rape	nauðgun
drug user	eiturlyfjanotandi
drug	eiturlyf
peningar	peningar vaxa ekki á trjám
Japanese cedar	hindartré
Japanese cedar	keisaraviður
deciduous	lauftré
conifer	barrtré
beech	beykitré
dinner table	matarborð
detailed	ítarlegur
wash	þvottur
host	hýsill
down	hýjungur
look	horfa
bad	slæmur
acorn	akarn
instalment	hefti
reciprocal	gagnkvæmur
accompaniment	undirspil
accompaniment	undirleikur
accompaniment	meðleikur
juice	djús
stress	stressa
farrier	járningamaður
shoe	járna
checkmate	mát
sunbathe	tana
boom	glymja
boom	glymur
evil	illur
mare's milk	kaplamjólk
statistics	tölfræði
textbook	kennslubók
kidney	nýra
large intestine	ristill
roundabout	hringtorg
need	þörf
heartburn	brjóstsviði
automatic	sjálfvirkur
active	virkur
labour	erfiðisvinna
solar eclipse	sólmyrkvi
lunar eclipse	tunglmyrkvi
kayak	kajak
cookie	kex
play	leikrit
hyponym	undirheiti
Andrew	Andrés
breastbone	bringubein
collarbone	viðbein
gentleman	herramaður
commandment	boðorð
boðorð	boðorðin tíu
salty	saltur
handle	hanki
unit	eining
mirage	hilling
likeness	líking
imitation	eftirlíking
conjunction	samtenging
elven	álfadrottning
main building	aðalbygging
defibrillation	hjartastilling
preposition	forsetning
explanation	skýring
spinal anaesthesia	mænudeyfing
spinal cord	mæna
abbreviation	stytting
guidance	leiðbeining
confirmation	ferming
lighting	lýsing
playwright	leikritaskáld
poet	ljóðskáld
woodwind instrument	tréblásturshljóðfæri
monastery	klaustur
reiterate	margendurtaka
reiterate	margítreka
rice paper	hríspappír
bed	beður
plan	áætlun
opinion	skoðun
coincidence	tilviljun
poisoning	eitrun
botulism	bótúlíneitrun
botulism	sperðileitrun
food poisoning	matareitrun
hematopoiesis	blóðfrumnamyndun
deathbed	banabeður
resuscitation	endurlífgun
cardiopulmonary resuscitation	hjarta-lungnalífgun
basic	grunnendurlífgun
stuffing	stoppun
stopping	stöðvun
asystole	sláttarstöðvun
dephosphorylation	affosfórun
phosphorylation	fosfórun
phosphorus	fosfór
videotape	myndband
video	vídeó
knowledge	þekking
indoctrination	innræting
division of labour	verkaskipting
pimple	bóla
anvil	steðji
degree	gráða
excessive	óhóflegur
moderate	hóflegur
moderation	hóf
Islam	Mekka
get off	fara af
sneak	lauma
fame	frægð
turkey	kalkúnn
verbatim	orð fyrir orð
rice wine	hrísgrjónavín
contemplate	hugleiða
student	nemi
student	nemandi
reader	lesandi
alive	lifandi
cairn	varða
surprised	hissa
innocence	sakleysi
echinoderm	skrápdýr
sea urchin	ígulker
lily	lilja
crinoid	sælilja
marksman	skytta
sniper	leyniskytta
starfish	sæstjarna
starfish	krossfiskur
traditional	bolludagur
song	söngur
stop	stytta upp
polar night	heimskautanótt
polar night	heimskautsnótt
night	aðfaranótt
pole	póll
main	aðal-
hobby	áhugamál
increase	fjölga
considerable	umtalsverður
congregation	söfnuður
harm	meiða
multilingual	fjöltyngdur
random	tilviljunarkenndur
lost	týndur
get lost	týnast
memory	minning
memento	minningargripur
memento	minjagripur
newsprint	dagblaðapappír
newspaper	fréttablað
Adam and Eve	Adam og Eva
be	vera fyrir
boy	stráksi
sleep with	sofa hjá
kindergarten	leikskóli
fetch	sækja
ball	bolti
atheism	trúleysi
atheism	guðleysi
toenail	tánögl
troll	gríður
magic wand	töfrasproti
blind as a bat	steinblindur
reading	lestur
cough	hósti
whooping cough	kíghósti
pathology	meinafræði
pathology	sjúkdómafræði
encephalitis	heilabólga
Albanian	albanskur
Afrikaans	afríkanskur
near	nálgast
anthropology	mannfræði
sexy	sexí
which	hvor
narrow	geil
fat	fita
pollute	menga
instrument	tæki
flora	flóra
fauna	fána
laptop computer	kjöltutölva
assassin	launmorðingi
get	launa lambið gráa
keen	skyggn
mellow	ljúfur
title	titill
vein	æð
rope	taug
strap	reim
time flies	tíminn flýgur
ball bearing	kúlulega
useless	ónýtur
ecosystem	vistkerfi
Jew	gyðingur
Jew	júði
masterpiece	meistaraverk
pancake	pönnukaka
bomb	sprengja
watch out	passa sig
grey whale	sandlægja
on the phone	í símanum
gleam	blik
indubitable	efalaus
number	fjöldi
spring	vortími
infinity	óendanleiki
warmth	varmi
sweat	sviti
antecedent	aðdragandi
plasma	blóðvökvi
Latin	vökvi
water	vökva
pain	sársauki
radiance	ljómi
loneliness	einmanaleiki
Black Death	svartidauði
convalescence	afturbati
apple juice	eplasafi
business hours	opnunartími
soccer	knattspyrna
gorgeous	gullfallegur
percussion instrument	slagverkshljóðfæri
percussion	slagverk
reykingar	reykingar bannaðar
wine	vín
bonsai	dvergtré
someone	e-r
thou	þúbróðir
not	eigi
serve	uppgjöf
isotope	samsæta
knife	kuti
section	laski
put on	fara í
bilingual	tvítyngdur
monolingual	eintyngdur
trilingual	þrítyngdur
respected	mætur
defeat	sigra
redness	roði
fishskin	roð
fidgeting	ið
opium	ópíum
such	slíkur
cone	keila
form	mynda
raise	reisa
strength	styrkur
west	vestra
lanthanum	lantan
tantalum	tantal
astatine	astat
platform	pallur
arsenic	arsen
decimetre	desimetri
skyld	skyldur
intimate	náinn
hey	heyrðu
handbag	veski
jackdaw	dvergkráka
af hverju	af hverju í fjandanum
meet	mæta
peach tree	ferskjutré
enemy	óvinur
af hverju	af hverju ekki
truth	sannleikur
noble	göfugur
hvar	hvar í fjandanum
finally	loksins
hvernig	hvernig í fjandanum
hvað	hvað í fjandanum
trousers	buxur
circumstances	kringumstæður
silly	asnalegur
home	heimili
container	hylki
pin	pinni
ginger	engifer
homosexuality	samkynhneigð
barrel	kvartil
flapping	blak
ber	ber er hver að baki, nema sér bróður eigi
syfjaði	syfja
stir	hræra
improve	bæta
etude	etýða
play	spila
play	spila á
go on	halda áfram
go on	haltu áfram
wizard	galdramaður
magic	galdur
wizard	töframaður
stubbornness	þrjóska
sketch	rissa
Scandinavia	Helga
bother	plaga
nær	nær dauða en lífi
run	hlaup
sphere	kúla
bullet	byssukúla
adversary	andstæðingur
take part	taka þátt
man	manneskja
disturbance	truflun
countenance	láta viðgangast
whittle	tálga
whittle	skera út
postmodernism	póstmódernismi
makeup	farði
vase	blómavasi
keel	kjölur
mean	eiga við
writings	skrif
battle	bardagi
from	undan
go down	ganga undir
operation	aðgerð
notorious	illræmdur
notorious	alræmdur
fire	funi
coat hanger	herðatré
pascal	paskal
prodigal	hóflaus
innocent	saklaus
-less	-laus
repay	endurgreiða
re-	endur-
happen	gerast
long time ago	endur fyrir löngu
occasionally	endur og sinnum
monster	skrímsli
multiple	margfaldur
components	margþættur
paint	penta
Brussels sprout	rósakál
brawl	áflog
mushroom	sveppur
pubic hair	skapahár
rape	nauðga
rapist	nauðgari
de-	af-
shamble	skjögra
remark	ummæli
remark	athugasemd
recommend	mæla með
mineralogy	steindafræði
black	blámaður
black	svertingi
reputation	mannorð
reputation	orðstír
call	hringja í
respiration	öndun
hyperventilation	oföndun
hypoventilation	vanöndun
irregular	óreglulegur
regular	reglulegur
possible	hugsanlegur
magnificent	stórfenglegur
odd	furðulegur
deviant	afbrigðilegur
bizarre	afkáralegur
awful	agalegur
considerable	allverulegur
general	almennilegur
cordial	alúðlegur
common	alþýðlegur
antisocial	andfélagslegur
headbutt	skalla
fan	vifta
cheetah	blettatígur
pedal	pedall
the	-inn
definiteness	-ið
letter	sendibréf
medicine	læknisfræði
Dutch	hollenskur
throw	tollera
phoenix	fönix
character	karakter
Kazakhstan	Kasakstan
sense	skynja
boundary	skil
Swedish	sænskur
Czech	tékkneska
clean	dubba
loafer	drjóli
cock	göndull
animal	dýrslegur
piss	hland
urine	þvag
maid	þjónustustúlka
bloom	blómstra
thumb	þumalfingur
Basque	baskneska
Arabic	arabíska
science	vísindi
linguistics	málvísindi
tíð	núliðin tíð
sow	sýr
bend	beyging
iron	straujárn
penis	getnaðarlimur
falcon	fálki
palladium	palladín
pharmacist	apótekari
marrow	mergur
baboon	bavíani
ambulance	sjúkrabifreið
boar	villisvín
wild boar	villigöltur
boar	göltur
zither	sítar
imaginary number	þvertala
meeting	samkoma
object	andlag
amphibian	froskdýr
chase	elta
zombie	uppvakningur
shield	skjöldur
shelter	skýla
protect	vernda
algorithm	reiknirit
set theory	mengjafræði
imperialism	heimsvaldastefna
halo	geislabaugur
tenacious	minnisgóður
toothbrush	tannbursti
rom	erum
are	eruð
always	sífellt
male	nafni
Russian Federation	Rússneska ríkjasambandið
horticulture	garðyrkjufræði
gardening	garðyrkja
scholarly	fræðilegur
raven	krummi
synonym	samheiti
quarter	fjórðungur
euro	evra
fruit	aldin
Spanish	spænskur
Portuguese	portúgalska
Greek	grískur
money	ríkidæmi
Finnish	finnskur
cowardly	huglaus
address	adressa
trachea	barki
mass murder	fjöldamorð
present	núverandi
chop	kjaftur
feel up	káfa
mouse	tölvumús
emphatic	ramm-
spank	rassa
horde	legíó
luxury	lúxus
wave	bára
single	stakur
oxymoron	refhvörf
suffix	-hlaðningur
mother tongue	móðurmál
barrel	tunna
tame	tamur
top hat	pípuhattur
headgear	höfuðbúnaður
equipment	búnaður
fundamentalism	bókstafstrú
consecrate	vígja
beaten	þeyttur
emulsion	þeyta
whipped cream	þeyttur rjómi
whip	þeyta rjóma
fold	brjóta saman
make way	brjóta sér leið
make way	ryðja sér leið
brjóta	brjóta af sér
criminal	glæpamaður
ponder	brjóta heilann
break	brjótast
break out	brjótast út
break in	brjótast inn
bored	leiðast
get into	leiðast út í
hold hands	haldast í hendur
liar	lygari
why	akkuru
miracle	kraftaverk
infinitive particle	nafnháttarmerki
knit	prjóna
copula	tengisögn
adverb	tíðaratviksorð
adverb of place	staðaratviksorð
adverb	háttaratviksorð
question	spurnaratviksorð
adverb	áhersluatviksorð
gesture	látbragð
mime	látbragðsleikur
appendix	botnlangi
appendix	botnlangatota
appendicitis	botnlangabólga
appendectomy	botnlanganám
appendectomy	botnlangaskurður
glutinous	límkenndur
glue	lím
porn	klám
glue	líma
pay	borga sig
pay	borga út í hönd
pay	borga á milli
me	mínlegur
reject	hafna
avenge	hefna
take revenge	hefna sín á
obey	hlýða
listen	hlýða á
accept	þiggja
accept	þiggja að gjöf
equation	jafna
ring	baugur
wrap	sveipa
attempt	freista
citizen	borgari
Internet	alnet
quick	kvika
roll	þruma
spank	rassskella
expect	ætlast
collect	rukka
braid	flétta
dry	þerra
lock	læsa
shoemaker	skómakari
smith	smiður
shoemaker	skósmiður
pass	skarð
-ist	-isti
faggot	hommatittur
Hungarian	ungverska
owe	skulda
hit	ljósta
harm	skaði
buttermilk	áfir
fuck	serða
masturbate	fróa sér
masturbation	sjálfsfróun
manicure	handsnyrting
pedicure	fótsnyrting
ejaculation	sáðlát
sure	sikker
Romanian	rúmenska
shake	skaka
turtle dove	turtildúfa
spice	krydda
vacuum	lofttæmi
stuff	stoppa
joule	júl
Róm	allir vegir liggja til Rómar
planet	reikistjarna
national anthem	þjóðsöngur
blowjob	tott
insect	padda
racism	rasismi
hit back	svara í sömu mynt
carried	berast
ask	biðjast
printer	prentari
precipitation	úrkoma
0th	0.
1st	1.
2nd	2.
3rd	3.
4th	4.
5th	5.
6th	6.
7th	7.
8th	8.
9th	9.
10th	10.
11th	11.
12th	12.
13th	13.
leprosy	holdsveiki
sandstorm	sandstormur
sandstorm	sandbylur
Sumerian	súmerska
shape	sníða
slice	sneið
slice	sneiða
fuel	eldsneyti
score	skora
touch	snerta
rhinoceros	nashyrningur
til	til vopna
destroy	eyða
completely	gjörsamlega
nonsense	vitleysa
þú	þú og hvaða her
killjoy	gleðispillir
hinder	hindra
Tasmania	Tasmanía
head	aðalskrifstofa
copy	afrit
slither	skríða
kneel down	krjúpa
vote	kjósa
election	kosning
will	munu
elixir	elixír
pillow lava	bólstraberg
pattern	mynstur
teacher's pet	kennarasleikja
total	algjör
saunter	labb
away	brott
tub	ker
human	menni
Hindi	hindí
gloss paint	lakk
relative	ættingi
jam	sulta
flap	tota
load	lesta
suddenly	skyndilega
neighbour	nágranni
o'clock	klukkan
poem	Lilja
pinch	klípa
embrace	faðma
gone	farinn
cold	kuldi
nip	nepja
rag	drusla
jalopy	bíldrusla
thirteenth	þrettándi
spank	flengja
dorsal fin	bakuggi
fin	uggi
imprison	fangelsa
confine	loka inni
chapter	kafli
lisp	smámæli
lisp	vera smámæltur
in a nutshell	í hnotskurn
illness	sýki
green woodpecker	grænspæta
marten	mörður
leap year	hlaupár
hop	hopp
beam	geisli
mill	mylla
alchemist	gullgerðarmaður
pharaoh	faraó
boyfriend	kærasti
girlfriend	kærasta
send	biðja að heilsa
nightingale	næturgali
biology	líffræði
flu	flensa
debilitate	veikja
acid	sýra
acidity	sýrustig
municipality	sveitarfélag
through	í gegnum
jot	skrifa hjá sér
niður	punkta
niður	hripa
ekki	ég skil ekki
dare	voga
want	langa í
for example	til dæmis
vera skotin í	vera skotinn í
pirate	kussari
pirate	sjóræningi
you	ertu
risk	hætta á
rude	dónalegur
-ly	-legur
harm	skaða
splinter	flís
gimme	gemmér
lantern	lukt
cue	kjuði
take	taka strætó
foreign language	útlenska
til	til hamingju
til hamingju	til hamingju með daginn
Member of Parliament	þingmaður
gladden	gleðja
biological	líffræðilegur
diversity	fjölbreytni
biodiversity	líffræðileg fjölbreytni
cross-	þver-
consist	samanstanda af
melody	laglína
thrice	þrisvar
twice	tvisvar
sound	hljómur
note	nóta
wimp	aumingi
thread	spjallþráður
talk	spjall
grade school	grunnskóli
dermatology	húðsjúkdómafræði
-logy	-fræði
mynd	Venn-mynd
multiply	sinnuma
multiply	margfalda
times	sinnum
divide	deila með
mynd	Vennmynd
lime	kalk
lick	sleikja
French kiss	sleikur
fence	girða
responsibility	ábyrgð
responsible	ábyrgur
bloody	blóðugur
poop	kúka
fastidious	matvandur
ekki	ekki lengur
lengi	megi lengi lifa
eucalyptus	tröllatré
ogre	tröll
breadcrumbs	brauðmylsna
wallow	velta
crumbs	mylsna
apple tree	eplatré
one o'clock	klukkan eitt
two o'clock	klukkan tvö
three o'clock	klukkan þrjú
four o'clock	klukkan fjögur
five o'clock	klukkan fimm
six o'clock	klukkan sex
seven o'clock	klukkan sjö
eight o'clock	klukkan átta
nine o'clock	klukkan níu
ten o'clock	klukkan tíu
eleven o'clock	klukkan ellefu
twelve o'clock	klukkan tólf
obscene	klámfenginn
mocha	mokka
Phrygian	frýgískur
Dorian	dórískur
sonata	sónata
sonata form	sónötuform
disgusting	ógeð
disgusting	ógeðslegur
exceptionally	óvenjulega
coward	skræfa
discussion	umræða
lesbian	lessa
belt	lindi
fireplace	arinn
chimney	skorsteinn
chimney	strompur
conveyor belt	færiband
dove	dúfa
battery	rafhlaða
battery	batterí
glitter	glitra
sober	edrú
restraining order	nálgunarbann
to pieces	í sundur
glib	tungulipur
adroit	lipur
instep	rist
this morning	í morgun
reflexive pronoun	sér
saunter	göngutúr
entertain	skemmta
ná	ná sér í
sofa	sofa yfir sig
case	aukafall
spit	hráki
saliva	munnvatn
drooling	slef
loosen	leysa
plaintiff	stefnandi
congenital	meðfæddur
fædd	fæddur
respect	virða
virða	virða fyrir sér
seem	virðast
light	birta
startled	bregða
variable	breyta
entist	endast
hysterectomy	legnám
lengthen	lengja
handful	handfylli
fill	seðja
sabre	sveðja
likely	sennilegur
likely	líklegur
feebleness	linka
wet	bleyta
strangle	kyrkja
secret	leyndarmál
secrecy	leynd
brander	brandari
world record	heimsmet
great auk	geirfugl
dim-witted	sljór
four hundred	fjögur hundruð
fimm	fimm hundruð
sex	sex hundruð
sjö	sjö hundruð
átta	átta hundruð
níu	níu hundruð
for	handa
step by step	skref fyrir skref
step	skref
child prodigy	undrabarn
mimic	hermikráka
crucify	krossfesta
crucifixion	krossfesting
symphony orchestra	sinfóníuhljómsveit
fire hydrant	brunahani
comb	kambur
reel in	draga inn
false	falskur
faint	líða yfir
suffered	líðast
later	á eftir
past	framhjá
affair	halda framhjá
gush	geysa
alga	þörungur
aesthetics	fagurfræði
Freyr	Yngvi
talkative	málglaður
Jupiter	Júpíter
reindeer	hreindýr
molar	jaxl
dodo	dúdúfugl
chronological	annáll
squander	kasta á glæ
customer	kaupunautur
kiss	kyssast
kiss	kyssa á hönd
kiss	kyssilegur
she	hón
light	kveikja
paint	málning
sheep	sauður
sheep	sauðkind
sword	blóðormur
sheet anchor	aðalakkeri
manor	aðalból
noble	aðalborinn
troop	aðalfylking
high seas	aðalhaf
full rhyme	aðalhending
rhyme	rím
perfect	aðalhendur
church	aðalkirkja
chiefly	aðallega
chief	aðalmerki
chief	aðalritning
main	aðalskáli
trunk	aðaltré
chandelier	ljósakróna
pipe	rör
akkuru	akkuru ekki
fresh	nýsnævi
new-	ný-
new	ný
Paschal cycle	páskaöld
Easter	páskahelgi
Easter Sunday	páskadagur
Easter	páskafriður
keeping	páskahald
hollow	holfenni
shower	naddél
stud	naddur
onion	laukur
gimlet	nafarsrauf
by name	að nafni
nafn	í nafni
title	nafnbót
bedmate	legunautur
Thermopylae	Laugaskarð
chief	höfuð-
capital	höfuðborg
handball	handbolti
lithium	litín
americium	ameríkín
well	jæja
eignarfornafn	afturbeygt eignarfornafn
presentation	afhending
car	bifreið
fire brigade	slökkvilið
lesbian	lesbía
Mongolian	mongólska
hippopotamus	flóðhestur
conversation	samtal
bamboo	bambus
hide	fela sig
include	fela í sér
blitzkrieg	leifturstríð
flash	leiftur
gush	blóðbogi
bowstring	bogastrengur
like	líka við
vel	vel á minnst
remember	minnast
depart	láta lífið
mention	minnast á
ten	tugur
three	þrennur
grace	tign
three	þrenna
two	tvennur
koma	koma sér undan
pair	tvenna
page	blaðsíða
coat of arms	skjaldarmerki
laser	leysigeisli
modestly	með kurt og pí
elevator music	lyftutónlist
dream	dreyma
crowd	þyrping
chewing gum	tyggigúmmí
nomad	hirðingi
acquit	sýkna
upstart	uppskafningur
lollipop	sleikipinni
lollipop	sleikjó
wavelength	bylgjulengd
disgustingly	ógeðslega
reluctant	tregur
fern	burkni
thesaurus	samheitaorðabók
meatball	kjötbolla
stern	skutur
coin	slá mynt
idealist	hugsjónamaður
honour	heiðra
die	andast
rime	héla
herring	síld
motor	hreyfill
lizard	eðla
dinosaur	risaeðla
English Channel	Ermarsund
house sparrow	gráspör
offense	afbrot
nostalgia	nostalgía
nostalgia	fortíðarþrá
past	fortíð
lecture	segja til syndanna
predict	segja fyrir
give	segja til
lay off	segja upp
ræða	óbein ræða
indirect	óbeinn
sagðist	segjast
deponent verb	aflagssögn
deponent verb	deponenssögn
active voice	germynd
passive voice	þolmynd
middle voice	miðmynd
hold	haldast
middle voice verb	miðmyndarsögn
make love	elskast
available	fást
fail	bregðast
offer	bjóðast
með	með lögum skal land byggja
extinct	deyja út
deyja	deyja fyrir hendi
disintegrate	eyðast
corrode	tæra
disintegrate	tærast
grow	gróa
decade	áratugur
bumper	stuðari
glove compartment	hanskahólf
handbrake turn	handbremsubeygja
handbrake	handbremsa
brake	bremsa
tape measure	málband
main verb	aðalsögn
auxiliary verb	hjálparsögn
auxiliary verb	hjálparsagnorð
freedom	frelsishetja
freedom	frelsi
monocle	einglyrni
