now	nu
midwife	Popkjemutta
popcorn	Poppkorn
mistletoe	Kusskjriekje
envelope	Kwarkj
mercury	Kwickselwa
spittle	Kwoakjs
double chin	Kwoda
sofa	Kwotsch
beetle	Kjniepa
practical joke	Kjnifkje
hymn	Kjoakjenleet
cemetery	Graufhoff
cemetery	Frädhoff
grasshopper	Grausshoppa
lawnmower	Graussmaschien
thermometer	Grodglauss
coarseness	Groffheit
grandma	Groosma
grandpa	Groospa
granddaughter	Grootdochta
grandfather	Grootfoda
brother	Brooda
sister	Sesta
father-in-law	Schwiavoda
mother-in-law	Schwiamutta
son-in-law	Schwiasän
daughter-in-law	Schwiadochta
callus	Schwiel
hedgehog	Schwienhunt
difficulty	Schwierichkjeit
quickness	Schwindichkjeit
brother-in-law	Schwoaga
chestnut	Kostaunt
ado	Kracheel
neat	krakjt
wreath	Krauns
cramp	Kraump
varicose vein	Kraumpoda
crane	Kraunkje
crank	Krenkj
honeydew	Kreschaunkje
currant	Krint
crocodile	Kruckedell
garret	Dakstow
rafter	Dakspoa
thankful	dankboa
Thanksgiving	Dankfast
thank	Dankopfa
date	Dautel
monument	Denkjmol
memoir	Denkjschreft
sanity	Denkjvemieejen
average	Derchschnett
colander	Derchschlach
December	Dezamba
November	Nowamba
September	Septamba
October	Oktooba
calendar	Kalenda
date	Dotem
timetable	Tietplon
askew	winjsch
dirty	schmutzich
row	Rieej
manifest	Lodzadel
praise	Loff
balloon	Loftblos
air pressure	Loftdruck
air gun	Loftflint
air conditioning	Loftkjeelunk
air pump	Loftpomp
trachea	Loftrua
airplane	Loftschepp
propeller	Loftschruw
mirage	Loftspieejel
airport	Loftstazion
reluctant	looj
ragged	lunsich
baggy	lempich
lark	Leewoakj
vindictive	racheewent
raw	reiw
tall tale	Ress
recipe	Rezapt
river	Riefa
hoarfrost	Riep
plentiful	riew
stowaway	Reisendoop
passport	Reispauss
government	Rejierunk
occasion	Rekjs
religion	Reljoon
republic	Republikj
restaurant	Restaraunt
receipt	Ressiet
revolver	Rewolwa
rhubarb	Ruboaba
ruffian	Ruchull
roomy	rumich
Russia	Russlaunt
lounge	Rustow
weekly	wäakjlich
waist	Weest
incense	Weiruak
wisdom tooth	Weisheitstän
turban	Wekjelduak
welcome	Welkom
willing	wellich
whimper	Wempa
wish	Wensch
toilet paper	Weschpapia
certain	wess
irrigation	Wessrunk
scale	Wichtschol
Christmas tree	Wienachtsboom
Christmas carol	Wienachtsleet
Santa Claus	Wienachtsmaun
Christmas Eve	Wienachtsowent
index finger	Wiesfinja
prey	Wiltfank
granny knot	Wiewaknoppen
wilderness	Wiltniss
diaper	Winjel
corner	Winkjel
protractor	Winkjelmäta
season	Joarestiet
tannery	Joawarie
yes-man	Jo-brooda
handle	Jräp
pasture	Jräs
terrible	jräsich
funny	lajchrich
furry	falich
lousy	velust
lousy	lusich
lovable	leeftolich
folly	Domheit
idiot	Dommajon
yokel	Dommabua
dump truck	Domptrock
domino	Domieno
obsequious	dommbleed
objectionable	wadalich
weather forecast	Wadaberecht
watchtower	Wachttorm
pacifist	Wäaloosa
hoe	Weedhak
orphanage	Weisenheim
continent	Weltdeel
worldliness	Weltlichkjeit
catfish	Weltz
width	Wied
existence	Wiedakomen
dictionary	Wieedabuak
vocabulary	Wieedaschauz
cradle	Wieej
cradle song	Wieejeleet
hardy	hoatlich
hardiness	Hoatlichkjeit
heart attack	Hoatschlach
heifer	Hocklinkj
hawk	Hofkje
longshoreman	Howenoabeida
attorney	Ofkot
potter	Leemstrikja
nanny	Kjinjamutta
legislator	Jesazjäwa
soldier	Armeejung
joy	Häaj
pike	Häakj
hamstring	Hakesän
slaughterhouse	Schlachthus
sleigh	Schläden
nape	Schlafitje
shaky	schlakrich
tall	Schlaks
dandelion	Schlangenbloom
wrench	Schlätel
cowslip	Schlätelbloom
keyhole	Schlätelloch
locksmith	Schlätelschmett
mud	Schlaum
limp	schlaup
sloe	Schlee
veil	Schleia
sling	Schleida
scum	Schlekj
sore	Schlems
slit	Schlerz
clumsy	Schlenkjafoot
pout	Schlepkje
slime	Schliem
grindstone	Schliepsteen
skim milk	Schliesamalkj
skating rink	Schlietschoobon
contraband	Schlikjhaundel
buddy	Schlockat
haphazard	schlodonsich
pyjama	Schlopkjleet
sleepless	schloplooss
sloppy	schlopmetzich
lazy	Schlosäwendoot
sleeve	Schlufsel
safety pin	Schlutspald
shell	Schluw
evening	Owent
dinner	Owentkost
Lord's Supper	Owentmol
olive	Oliew
olive tree	Oliewenboom
olive oil	Olieweneelj
tourniquet	Ombinjsel
surroundings	Omjäajent
impossibility	Ommäajlichkjeit
geranium	Ommeraunje
uncomfortable	ommaklich
impossible	ommäajlich
inhumane	ommenschlich
impractical	omstendich
polite	heeflich
secret	heemlich
hypocritical	heichlich
handy	hendich
sky-high	himmelhuach
hairy	hoarich
hard-hearted	hoathoatich
stubborn	hoatnakich
skinny	hollrigjich
hopeless	hopnungslooss
hopeful	hopnungsvoll
famous	huachberiemt
educated	huachjelieet
haughty	huachnäsich
bumpy	humplich
evil	iebel
serious	ieeboa
icy	iesich
ice-cold	iesskolt
uppity	ippich
crisp	jalsta
moldy	bepilzt
busy	beschafticht
smart	beschläpen
circumcised	beschnäden
limited	beschrenkjt
unconscious	besennungslooss
special	besonda
drunk	besopen
worried	besorcht
ordained	bestädicht
permanent	bestendich
armed	bewaufnet
conversant	bewaundat
habitable	bewonboa
grumpy	brumlich
grouchy	brumsch
pot-bellied	buckich
similar	dämänlich
thirsty	darschtich
useless	daugeniksich
useful	deenstboa
memorable	denkjwieet
wizened	dennbakich
intricate	derchjehäakjat
soaked	derchjenat
transparent	derchsechtich
dizzy	dieslich
clear	dietlich
devilish	diewlisch
ambiguous	dobbeldiedent
stillborn	dootjebuaren
misshapen	draljedreit
third	dredda
triple	dreefach
imminent	dreiwent
dry	drieech
urgent	drinjent
drinkable	drinkjboa
portable	droagboa
pregnant	droagent
chubby	druglich
helter-skelter	droslich
enduring	duarhauft
pessimistic	dunkelsiedich
simple	eefach
oily	eeljich
complacent	eendoontich
solitary	eensiedlich
monosyllabic	eensilbich
one-eyed	eenuagich
ugly	eizhich
egotistical	ekjich
electric	ellektrisch
electronic	ellektronisch
elderly	ellerachtich
narrow	enj
canned	enjekaunt
salted	enjesolten
fearful	enjstlich
merciful	erboarmlich
infected	enzint
dismayed	entstalt
insane	errsennich
fallible	fälboa
false	faulsch
firm	faust
confirmed	faustjelajcht
feverish	feebrich
palpable	feelboa
fifth	fefta
hostile	fientlich
flaming	flaument
shaky	flautrich
flaccid	flebrich
pink	fleeschfoawich
carnivorous	fleeschfrätent
tasteless	fleiw
rapid	flinkj
fluid	flissent
driveable	foaboa
done	foadich
funny	sposich
fearless	forchtlooss
fearsome	forchtsom
peaceful	frädlich
pert	frajch
strange	framd
happy	freelich
stupid	frekjt
fresh	fresch
friendly	frintlich
questionable	froaglich
rotten	frosich
frosty	frostich
fruitful	fruchtboa
fruitless	fruchtlooss
naughty	goaschtrich
gruesome	grausom
godless	gottlooss
grassy	graussich
gray	greiw
gray-haired	greiwhoarich
tiny	grennauzje
marvellous	groosoatich
boastful	grootfrätich
uppity	grootsch
helpless	halplooss
glorious	harlich
first	ieescht
firstborn	ieeschtjebuarna
serious	iernst
interesting	intressaunt
curious	nieschierich
naked	noaktich
newborn	niejebuaren
contemptible	niedatrajchtich
neighbourly	nobalich
prosperous	noppjebuat
enough	nuach
northern	nuadna
useful	nutzboa
useless	nutzlooss
cuddly	nuzhlich
unemployed	oabeitslooss
unpleasant	onaunjenäm
boundless	onbeschrenkjt
rash	onbesonnen
unworried	onbesorcht
uncircumcised	onbeschnäden
unrefined	onbeschläpen
uneducated	onbelieet
unloved	onbeleeft
reckless	onbekjemmat
unknown	onbekaunt
incomprehensible	onbejrieplich
vague	onbestemt
unreliable	onbestendich
unpunished	onbestroft
uninhabited	onbewont
unthinkable	ondenkjboa
impractical	ondeenlich
inexperienced	onerfoaren
insensitive	onemfintlich
extramarital	onehelich
unfriendly	onfrintlich
impolite	onheeflich
incurable	onheelboa
unholy	onheilich
uneasy	onheimlich
impatient	onjeduldich
uninvited	onjefroacht
disobedient	onjehuarsom
invalid	onjeltich
unenviable	onjenstich
unjust	onjerajcht
illegal	onjesazlich
unappreciated	onjeschazt
ungainly	onjeschekjt
unschooled	onjeschoolt
undisturbed	onjestieet
unlucky	onjlekjlich
unbelievable	onjleeflich
unclear	onkloa
messy	onkrakjt
discouraged	onmootich
immoral	onmoralisch
unnecessary	onneedich
disorderly	onordentlich
unsuitable	onpaussent
invisible	onsechtboa
nonsensical	onsennich
immortal	onstoaflich
well-behaved	ontlich
dissatisfied	ontofräd
untrue	ontru
imperishable	onvejenkjlich
unchangeable	onve'endalich
unreasonable	onveninftich
unabashed	onveschämt
old-fashioned	ooltmoodsch
unlocked	opjeschloten
pushy	oppdrenjent
excited	oppjebrocht
conspicuous	oppfaulent
prophetic	profeetisch
scowling	prunsch
boastful	puchsch
hunchbacked	pucklich
untidy	pukjrich
flimsy	pukrich
powdery	pulwrich
chubby-cheeked	pustbakich
rainy	räajnisch
naysayer	Dreikopp
tricycle	Dreeroda
lathe	Dreibenkj
revolving door	Dreidäa
turnstile	Dreipuat
turntable	Dreischiew
driveshaft	Dreiwscheft
printshop	Drekjarie
drop	Drepp
drought	Drieejetiet
motive	Drief
triplet	Drillinkj
suspenders	Droagbaunt
dragon	Droak
screen	Drotfensta
screen door	Drotdäa
misprint	Druckfäla
clog	Kloff
clamour	Klommua
coyote	Kajote
excrement	Kak
cocoa	Kakau
calcium	Kaltsium
carburetor	Karbaräta
lime	Kaulkj
limestone	Kaulkjsteen
comb	Kaum
pitcher	Kaunkje
pulpit	Kaunsel
capsule	Kaupsel
till	Kauss
doorknob	Däarenknoop
doorframe	Däarenrämen
doorjamb	Däarenjerecht
doorstop	Däastett
doily	Dakjskje
dachshund	Dakshunt
good-for-nothing	Daugeniks
craze	Daumel
steam engine	Daumpkjätel
attention	Achtunk
gasoline	Gasolien
gasket	Gaskett
fork	Gaufel
gallstone	Gaulesteen
jaundice	Gaulsucht
gooseflesh	Gaunsefleesch
gander	Gaunta
street urchin	Gaussenbenjel
debtor	Schildna
shield	Schilt
fate	Schikjsol
plate	Schiew
coward	Schietstremp
pretender	Schienheilja
diarrhea	Schietarie
turtle	Schiltkjrät
helmet	Schiltmetz
coat of mail	Schiltkjleet
shieldbearer	Schiltdroaga
pork	Schinkjefleesch
bigamist	Schinkjeschwoaga
moldy	schemlich
swear word	Schempwuat
disgraceful	schentlich
creator	Schepfa
shipwreck	Scheppbruch
creation	Schepfunk
shipwright	Scheppbumeista
spatula	Scheppelkje
tiller	Scheppstia
wall	Schetzel
sandpaper	Schiapapia
sheen	Schien
sledgehammer	Schläaja
fisticuffs	Schläajarie
blow	Schlach
candle	Taulchlicht
waist	Taulj
pine	Taun
pine tree	Taunenboom
aunt	Taunte
teaspoon	Teeläpel
magic	Teewa
evener	Teiw
telephone	Tellefoon
telegram	Tellegraum
carpenter	Temmamaun
tetanus	Tettanus
zoo	Tiabood
zoo	Tiagoaden
zoology	Tiakonst
proof	Tieekjniss
tenth	Tieendel
typhus	Tiefuss
tough	toag
soft	saunft
scratch	Schraum
writing	Schreft
scroll	Schreftroll
author	Schreftstala
step	Schrett
typewriter	Schriewmaschien
writing paper	Schriewpapia
writing desk	Schriewdesch
copybook	Schriewbuak
shotgun	Schrootflint
currycomb	Schrop
slant	Schrozinj
vise	Schruwkjlam
adjustable wrench	Schruwschlätel
screwdriver	Schruwendreia
desk	Schuflod
blinder	Schuklaup
shelter	Schulinj
shoulder blade	Schullablaut
epaulette	Schullastekj
promissory note	Schultbewiess
remorse	Schultjefeel
whisk	Schumkloppa
sparkling wine	Schumwien
trash	Schunt
garbage dump	Schuntaka
sudden	Schups
cobbler	Schusta
guardian angel	Schutzenjel
Schwäaren	Schwäa
pimple	Pekjel
pussy willow	Pelzkota
furrier	Pelzneia
portrait	Petrett
horsetrader	Pieetshendla
horsepower	Pieetskrauft
horserace	Pieetsreess
peanut	Pienat
pizza	Pieza
pick-up truck	Pikjopp
picnic	Piknick
pilgrimage	Piljareis
Pentecost	Pinjstdach
weakling	Pirkjs
drizzle	Plaudaräajen
grapefruit	Pommelmooss
mailman	Postbe'aumta
prairie	Präarie
priest	Priesta
private school	Priewautschool
tutor	Priewautliera
prophecy	Profeetie
test	Proow
test tube	Proowglauss
laboratory	Proowkoma
probationer	Proowlinkj
trial	Proowtiet
propane	Propän
cradle	Prosch
plug	Propsel
wig	Pruck
cudgel	Pruntel
psychiatrist	Psiekiata
ado	Puhu
stumblebum	Pultafoot
bridal shower	Pulta'owent
powder	Pulwa
fart	Pup
die	Wirfel
whirlpool	Wirbelstroom
tornado	Wirbelstorm
effectiveness	Wirkjunk
entrepreneur	Wirtschofta
mishmash	Wirwoa
knowledge	Wissenschoft
scientist	Wissenschoftla
weather	Witrunk
egg white	Wits
wit	Witsichkjeit
white bread	Wittbroot
weather report	Wittrungsberecht
work	Woakj
workbench	Woakjdesch
workday	Woakjeldach
workshop	Woakjstow
hot water bottle	Woambuddel
invoice	Woaräakjnunk
propaganda	Woawunk
calf	Wod
waffle	Wofel
waffle iron	Wofeliesa
election	Wol
sweater	Woljak
cloudburst	Wolkjenbruch
skyscraper	Wolkjenkrauza
handrail	Wolm
franchise	Wolrajcht
madness	Wonsenn
living room	Wonstow
residence	Wonunk
vase	Wos
sausagemaker	Worschtstoppa
wasp	Willebie
mourning dove	Willeduw
windmill	Wintmäl
dust devil	Wintkjriesel
chickenpox	Wintpock
windpipe	Wintrua
windstorm	Wintstorm
swivel	Woawel
will-o'-the-wisp	Woselicht
viaduct	Wotabrigj
waterfall	Wotafaul
shoreline	Wotakaunt
watercooler	Wotakjeela
water table	Wotaloag
waterhole	Wotaloch
crust	Ieedkjarscht
generation	Jennerazion
murmuring	Jemurr
luggage	Jepak
court	Jerecht
lawsuit	Jerechtsstriet
prevention	Väabieejunk
model	Väabilt
privilege	Väadeel
presentation	Väadrach
occurence	Väafaul
curtain	Väahank
front yard	Väahoff
foreskin	Väahut
front porch	Väaleew
guardian	Väaminda
guardianship	Väamindaschoft
intent	Väanämen
ambition	Väanämungsjeist
preface	Väaräd
providence	Väarot
storm window	Väasauzfensta
suggestion	Väaschlach
foretaste	Väaschmak
credit	Väaschoss
care	Väasecht
chairman	Väasetta
prefix	Väasilb
prelude	Väaspell
vestibule	Väatus
forefather	Väavoda
vacation	Vakassion
glutton	Välfros
contempt	Ve'achtunk
ramification	Ve'astunk
infatuation	Veblindunk
privacy	Veborjenheit
criminal	Vebräakja
crime	Vebräakjen
damnation	Vedaumniss
seducer	Vefiera
seduction	Vefierunk
persecutor	Vefolja
persecution	Vefoljunk
past	Vegonenheit
circumstances	Veheltniss
trial	Vehia
elm	Reesta
robber	Reiba
maple	Zockaboom
card	Koat
card game	Koatenspell
mare	Kobbel
filly	Kobbelfalm
cocoon	Kockun
suitcase	Koffa
puppet	Aumpelmaun
blackbird	Aumsel
office	Aumt
worshipper	Aunbäda
indication	Aundiedunk
seizure	Aunfaul
memento	Aunjedenkj
accusation	Aunkloag
prosecutor	Aunkloagsveträda
arrival	Aunkunft
fire alarm	Aunmalda
acceptance	Aunnom
ordinance	Aunordnunk
stimulant	Aunreizmeddel
populace	Bevelkjarunk
motion	Bewäajunk
proof	Bewiess
inhabitant	Bewona
irrigation	Bewotrunk
awareness	Bewustheit
contribution	Biedrach
marsupial	Biedeltia
bookshelf	Bieekjabrat
glove compartment	Bielod
aftertaste	Bieschmak
postscript	Bieschreft
sundog	Biesonn
almost	afens
almost	knaup
everywhere	aulawäajen
alone	auleen
gradually	aulmälich
so	aulsoo
differently	aundasch
gently	behutsom
little by little	bessawiess
bitterly	bettalich
downhill	boajauf
uphill	boajopp
soon	boolt
partly	deelwiess
usually	derchwajch
thoroughly	dichtich
this time	ditmol
once upon a time	donnemol
sideways	dwäa
considerably	däaje
continually	eegol
once	eenmol
sometimes	eenjemol
somewhat	eenjemoten
eternally	eewichlich
for free	emsonst
apart	enaunda
in the way	emwäaj
from time to time	enjawiess
finally	entlich
never	nienich
right away	fuaz
not at all	goanich
mainly	hauptsechlich
hither	häa
afterwards	hinjahäa
anytime	irjentwanea
anywhere	irjentwua
ever	jeemols
last night	jistrenowent
every time	jiedatsmol
in any case	jeedenfauls
just now	jrod
recently	kjirzlich
never	kjeenmol
compulsively	liedenschoftlich
next time	näakjstemol
approximately	onjefäa
reluctantly	onnood
suddenly	onverhofs
aloud	oppludes
last year	tojoa
twice	tweemol
in between	tweschenenn
apart	uteneen
in vain	vejäfs
perhaps	veleicht
tonight	venowent
beforehand	verut
spontaneously	veselfst
whenever	wanemma
whatever	wautemma
wisely	weislich
willingly	wellens
from now on	wiedahans
wherever	wua'emma
certainly	zwoasch
overnight	äwanacht
nowhere	noanich
nothing	nuscht
homeward	nohus
tremendously	onjehea
sticky	bakrich
manageable	bandich
bossy	baussich
stubborn	baulstierich
nostalgic	bangrich
extra	äwaschossich
questionable	bedenkjlich
depressed	bedrekj
depressing	bedrekjent
mortifying	bedoodjent
worried	beduat
impressive	be'endrucksvoll
gifted	begoft
helpful	behelplich
handicapped	behindat
greedy	bejierich
limited	bejrenst
gracious	bejnodjent
bedraggled	bekjwiemt
insulting	beleidjent
educational	belierungswieet
furnished	bemeebelt
noticeable	bemoakjboa
overdressed	bemummelt
famous	beriemt
sooty	beroomt
possessed	besäten
damaged	beschädicht
threadbare	beschieet
delirious	biesta
pale	blauss
bluish	bleiwlich
shiny	blenkjrich
bloody	bloodrich
anemic	blootoam
muddy	blottich
barefoot	boaft
hilly	boajich
generous	boarmherzich
ill-natured	booshauft
uncouth	bollboarich
happy	schaftich
spotted	schakjich
shameful	schaundboa
shameful	schaundhauft
sweet-smelling	scheenrikjent
delicious	scheenschmakjent
scaly	scheepich
shaggy	scheibich
stylish	schekjlich
fearful	schietrich
taxpayer	Takstola
shore	Eewa
practice	Eewunk
harvest	Eifst
exam	Eksamen
tanner	Ladajoawa
picky	Lakjatän
landscape	Launtschoft
ridge	Launtrigjen
surveyor	Launtmäta
marshal	Launtsrot
dolt	Laups
sow	Säaj
sail	Säajel
sailboat	Säajelboot
mast	Säajelpost
blessing	Säajen
sow thistle	Säajenkool
sickle	Säakjel
Sabbath	Sabat
Sadducee	Saduzäa
sect	Sakjt
sackful	Sakvoll
sackcloth	Sakzeich
harness	Säl
mustard	Sampkrut
mustard plaster	Sampplosta
mustard seed	Sampkuarn
scythe	Sans
sixth	Sastel
satin	Satien
juice	Sauft
juiciness	Sauftichkjeit
sand	Saunt
sand dune	Sauntdien
quicksand	Sauntloch
sandpaper	Sauntpapia
sauce	Sauss
sieve	Säw
seventh	Säwendel
razor	Schäamassa
chess	Shach
chessboard	Schachbrat
trade	Schacha
chocolate	Schaklitz
gully	Schälran
saucer	Schatel
dipper	Schapkje
hedge	Schauns
leap year	Schaultjoa
shadow	Schauten
overhang	Schautendak
treasurer	Schauzmeista
stepstool	Schebbalkje
shed	Schedd
pillowcase	Scheddinj
partition	Scheedunk
outspoken	Scheefpans
student	Scheela
beauty	Scheenheit
ammunition	Scheetich
firearm	Scheetjewäa
gunpowder	Scheetpulwa
barrel	Scheetrua
shaft	Scheft
check	Schekj
errand boy	Schekjbenjel
condition	Schekjsol
reed	Schelp
iris	Schelplelje
brook	Schelsel
salamander	Äajdakjs
salamander	Äajdakjsel
furlong	Achtelmiel
cornerstone	Akjsteen
anarchist	Anarkjist
appetite	Apetiet
trigger	Aufdrekja
abortion	Aufdrief
garbage	Auffaul
garbage	Aufgank
pear tree	Bäarenboom
bedding	Badinj
bedspread	Badspreed
sideburn	Bakenboat
bakery	Bakjarie
baking powder	Bakpulwa
banker	Bankia
bank	Banktala
bazaar	Bassoa
bit	Bät
tapeworm	Bauntworm
boss	Bauss
participation	Bedeeljunk
thought	Bedenkjen
need	Bederfniss
portent	Bediedunk
enforcement	Bedwinjunk
baseball	Beesbaul
satisfaction	Befrädjunk
begonia	Begonje
incantation	Behakjsunk
origin	Häakunft
hawthorn berry	Hachelbäa
barbed wire	Hacheldrot
wizard	Hajksenmeista
picket fence	Hakjentun
witchcraft	Hakjsenkonst
hallelujah	Haleluja
helper	Halpa
shirt sleeve	Hamdsmeiw
cufflink	Hamdsmeiwknoop
outdoor	Hieskje
heater	Hieter
observatory	Himmelfarnrua
Kingdom of Heaven	Himmelrikj
hindrance	Hindaniss
axle	Auss
asthma	Austma
leftovers	Äwabliefsel
monotony	Äwadreessichkjeit
frustration	Äwadrissichkjeit
glut	Äwafluss
superstition	Äwagloowen
supremacy	Äwahaunt
idea	Äwalaj
excess	Äwamot
undertaking	Äwanämen
ambition	Äwanämungsjeist
enterprise	Äwanämunk
surprise	Äwarauschunk
equality	Äwareenheit
overcoat	Äwarock
translator	Äwasata
translation	Äwasatunk
overshoe	Äwaschoo
caption	Äwaschreft
flood	Äwaschwamunk
overseer	Äwasechta
transgression	Äwaträdunk
conviction	Äwazeijunk
brake	Brams
brake pad	Bräkschoo
brake	Bräk
toboggan	Bratschlätje
fire	Braunt
arsonist	Brauntsata
brandy	Brauntwien
unruly	Brech
brotherly love	Breedaleew
correspondence	Breefwakjsel
optician	Brellenhendla
lens	Brellenglauss
heating oil	Brenneelj
heartburn	Brennendesood
bridegroom	Briegaum
roast beef	Rintsbroden
dangerous	roakboa
reddish	rodlich
nation	Rikj
Rikj	rikj
