good	on
quiet	ixil
bed	oheratu
carpenter	zurgin
why	zergatik
beehive	erlauntza
apiary	erlategi
beekeeper	erlezain
beekeeping	erlezaintza
carpentry	zurgintza
love	maite izan
intransitive	nor nori
stage	taulada
clumsy	egur
modifier	nor nork
modifier	nor nori nork
broom	erratza
anger	haserre
pocket	sakela
ivy	huntz
ivy	huntz arrunt
common	arrunt
tadpole	zapaburu
cleaner	garbitzaile
popcorn	krispeta
sports center	kiroldegi
many	asko
notebook	koaderno
autumn	larrazken
spring	primadera
lamb	bildots
arrogance	urguilu
liar	gezurti
chew	murtxikatu
bertso	bertsolari
song	bertso
go down	jautsi
gazte	ixil-ixila
switch on	piztu
stethoscope	estetoskopio
kneecap	belaunburu
cockroach	labezomorro
whooping cough	kukutxeztul
motherhood	amatasun
partial derivative	deribatu partzial
raw	gordin
piggy bank	itsulapiko
boil	irakin
astrophysicist	astrofisikari
Antarctica	Antartika
green	orlegi
bakery	okindegi
carpenter	arotz
harat-	hara-
thigh	izter
sandwich	otarteko
hara-	harat-
carrion	haratustel
rotten	ustel
tractor	traktore
anyone	inor
community	erkidego
market	azoka
Galician	galiziar
corner	izkina
find	aurkitu
walnut	intxaur
weasel	satandre
shrew	satitsu
eyelid	betazal
Basque Country	Euskal Herria
marriage	ezkontza
sexual orientation	orientazio sexual
orientation	orientazio
sexual orientation	sexu-joera
tendency	joera
civil union	batasun zibil
domestic partnership	izatezko bikote
real	izatezko
civil war	gerra zibil
civil rights	eskubide zibilak
civil	eskubide zibil
right	eskubide
association	elkartasun
agreement	itun
charcoal	egur-ikatz
joie de vivre	bizipoz
shirt	alkandora
garbanzo	garbantzu
poet	olerkari
teach	irakatsi
gorri	gorriak ikusi
cob	artaburu
noetherian	noetherdar
warthog	fakokero
Lipschitzian	lipschitzar
veterinarian	albaitari
secret	sekretu
road	errepide
Chakavian	txakaviera
yolk	gorringo
treasure	altxor
step by step	ttaka-ttaka
Carlist	karlistada
Carlist	karlistaldi
Serbo-Croatian	serbokroaziera
time will tell	gero gerokoak
throat	zintzur
throat	eztarri
poem	olerki
poetry	olerkaritza
last	iraun
know	ezagutu
do	jardun
draw	adoste
coronavirus	koronabirus
bacteriophage	bakteriofago
splitting field	deskonposizio gorputz
splitting field	banatze gorputz
distribute	banatu
abertzale	herriko taberna
picture	irudi
fight	iharduki
show	erakutsi
leave	utzi
send	igorri
Macaronesia	Makaronesia
vampire	banpiro
Jugoslaviako	Jugoslaviako Errepublika Federal Sozialista
you're welcome	ez horregatik
gull	antxeta
comb	eskubila
evil	gaizto
witch	sorgin
thanks	mila esker
belt	gerriko
Castile	Gaztela
Sciurus vulgaris	katagorri arrunt
carpentry	aroztegi
carpentry	zurgindegi
charcoal	landare-ikatz
coal	ikatz
gully	zulogune
blind spot	gune itsu
intermittently	guneka
intermittently	tarteka
next to	-ondo
double	bikoitz
threefold	hirukoitz
fourfold	laukoitz
fivefold	boskoitz
sixfold	seikoitz
sevenfold	zazpikoitz
eightfold	zortzikoitz
eighth	zortziren
seventh	zazpiren
fifth	bosten
fourth	laurden
eighth	zortzigarren
seventh	zazpigarren
sixth	seigarren
fifth	bosgarren
fourth	laugarren
second	bigarren
zeroth	zerogarren
third	hirugarren
thirteen	hamairu
easy	erraz
sumac	zumake
sting	ziztatu
archipelago	uhartedi
archipelago	artxipelago
container	ontzi
fridge	hozkailu
cycle path	bidegorri
cattle	abere
trash TV	telezabor
absolutive case	baitako
absolutive case	baitara
absolutive case	baitatik
pimple	oilaur
fault	erru
absolutive case	aldera
genitive case	aldetik
hunting	ehiza
Mediterranean sea holly	kardu urdin
raspberry	mugurdi
fan	-zale
guard	-zain
maker	-gile
haver	-dun
fake	-aizun
substitute	-orde
resuscitate	berpiztu
vomit	botaka egin
vomit	pota bota
friendship	adiskidetasun
favour	mesede
hinge	gontz
bilberry	ahabia
power	ahal
Spanish	erdara
capable	gai izan
bell	txirrin
wheel	arroda
alder	haltz
boar	ordots
morning star	artizar
harvest	uzta
horse	zamari
trousers	galtzak
skeleton	hezurdura
ossuary	hezurtegi
scissors	aiztur
dinner	afaldu
lunch	barazkari
testicle	barrabil
seal	zigilu
brain	burumuin
foundation	oinarri
prostitute	emagaldu
headache	burukomin
pink	gorrimotel
scarlet fever	gorrimin
naked	larrugorri
unmarried	ezkongabe
sky	ortzi
sky blue	oztin
write	eskribitu
scab	zolda
bran	zahi
eye socket	betzulo
poison	pozoi
poisonous	pozoidun
poisonous	pozoitsu
toxicity	pozoitasun
poisoning	pozoidura
poison	pozoitu
mosquito	eltxo
west	mendebal
east	ekialde
west	sartalde
east	sortalde
extraterrestrial	estralurtar
reference	erreferentzia
Devil	deabru
Aatxe	Etsai
enemy	etsai
fog	laino
northwest	ipar-mendebal
northwest	ipar-sartalde
northeast	ipar-ekialde
northeast	ipar-sortalde
southwest	hego-mendebal
southwest	hego-sartalde
southeast	hego-ekialde
southeast	hego-sortalde
intelligence	adimen
specifically	espresuki
onion	uñhu
blast furnace	labe garai
funnel	onil
box tree	ezpel
siderurgy	burdingintza
-urgy	-gintza
bullfighting	tauromakia
plantain	zainbelar
elbow	ukondu
shoulder	sorbalda
boastful	fanfarroi
vein	zainurdin
artery	zaingorri
nerve	zaintzuri
olive tree	olibondo
breast	ugatz
forehead	boronde
seal	itsas txakur
bishop	apezpiku
pregnant	umedun
UFO	OHE
object	objektu
resources	gauza izan
unknown	ezezagun
daughter-in-law	errain
giant	erraldoi
fear	beldur
shame	ahalke
shadow	itzal
foxglove	kuku-porru
leek	porru
take out	atera
sleeve	mahuka
genitive case	azpian
genitive case	atzean
rear	atze
anus	ipurtzulo
thigh	azpi
subtitle	azpititulu
sub-	azpi-
title	titulu
vine	aihen
old	-zar
bad	txar
salamander	uhandre
funnel	inbutu
PPE	NBE
truffle	boilur
peak	gailur
fingernail	azazkal
wind farm	haize-parke
oppressed	zapaldu
oppression	zapalkeria
oppression	zapalketa
oppression	zapalkuntza
affluent	ibaiadar
flow	ibairatu
flow	itsasoratu
lower	ibaibarren
higher	ibaiburu
riverbank	ibaiertz
border	ertz
parting	ilertz
brother-in-law	koinatu
sister-in-law	koinata
parent-in-law	ginarreba
angel	aingeru
angel	gotzon
steal	lapurtu
thief	lapur
thief	ohoin
magpie	lapurtxori
rob	lapurreta
son	lapurkume
-ling	-kume
calf	txahal
son of a bitch	putakume
adverb	aditzondo
wearing	jakadun
before	lehendabizi
except	izan ezik
B.C.	K.a.
planning	plangintza
information	informazio
let’s go	goazen
quail	galeper
grafting	txerto
good luck	zorion
congratulations	zorionak
clink	txin-txin
holly	gorosti
sale	salmenta
knight	zaldun
toll	bidesari
go out	irten
be born	jaio
messenger	mezulari
messenger	mezularitza
Selenite	ilargitar
fog	lanbro
cradle	sehaska
fox	azeri-zulo
horsetail	azeri-buztan
old hand	azeri zahar
fox	azeriki
meadow foxtail	azeri-belar
hound	azeri-txakur
flying fox	azeri hegalari
sun shower	azeri-bataio
sun shower	azeri-ezkontza
fox	azeritegi
baptism	bataio
crane	garabi
Lent	Garizuma
rake	lauhortz
rake	hiruhortz
rake	bostortz
spoon	goilara
than	baino
drill	daratulu
drill	zulagailu
pierce	zulatu
similarity	berdintasun
same	berdin
difference	desberdintasun
difference	ezberdintasun
-ness	-tasun
beauty	edertasun
length	luzetasun
refrain	errepika
different	desberdin
different	ezberdin
if and only if	baldin eta soilik baldin
just	soilik
last	azken
champion	txapeldun
lingerie	lentzeria
fetishism	fetitxismo
dickslap	zakilkada
infatuation	maitemin
mine	meatze
fungus	onddo
marry	ezkondu
they	eurak
they	eurok
together	neure buruarekin
by heart	buruz
someone	norbait
anyone	edonor
anything	edozer
something	zerbait
coast	itsasalde
adnominal	izenlagun
introductory	atariko
dead loss	atariko haize
txakoli	txakolin
waist	gerri
sibling	senide
foolish	makito
immigrant	maketo
law	zuzenbide
juridical	zuzenbidezko
constitutional	zuzenbidezko estatu
state	estatu
slope	aldapa
stream	erreka
trifle	txatxarkeria
chaplain	omonier
