1	౧
year	రక్తాక్షి
year	రాక్షస
year	రుధిరోద్గారి
year	రౌద్రి
year	వికారి
year	వికృతి
year	విభవ
enemy	విరోధి
year	విరోధికృతు
year	విళంబి
year	శుక్ల
year	శుభకృతు
year	శోభకృతు
consummation	శోభనము
year	శ్రీముఖ
year	సర్వజిత్తు
year	సర్వధారి
year	సాధారణ
year	సిద్ధార్థి
year	సౌమ్య
year	స్వభాను
year	హేవిళంబి
Telugu	శ్రా
ligature	వై
Telugu	ర్గ
Telugu	ద్ర
Telugu	ష్య
Telugu	జ్యే
letter	యే
letter	యె
letter	చై
letter	చి
letter	చు
letter	చూ
marriage	పెండ్లి
marriage	వివాహము
polygyny	బహుభార్యాత్వము
bridegroom	పెండ్లికొడుకు
bride	పెండ్లికూతురు
son	కొడుకు
ఉన్నది వక కూతురు, వూరెల్లా అల్లుండ్లు	కూతురు
bridegroom	పెండ్లికుమారుడు
bride	పెండ్లికుమార్తె
daughter	కుమార్తె
pot	పెండ్లికుండలు
walk	పెండ్లినడక
doll's house	బొమ్మరిల్లు
boon	వరము
Telugu	మ్మ
Telugu	ల్లు
ligature	లు
ligature	కూ
mother	మాతృదేవత
God	దేవత
rice	దంపుడుబియ్యము
short	హ్రస్వము
husk	బియ్యము
sago	సగ్గుబియ్యము
నాకు	నాకు తెలుసు
I don't know	నాకు తెలియదు
lick	నాకు
grit	నూక
meal	నూకలకూడు
proverb	నానుడి
husk	ధాన్యము
bran	తవుడునూనె
rice	తండులము
beard	గడ్డము
hair	వెంట్రుక
water	కుడితి
bucket	బొక్కెన
malted	ఉప్పుడు బియ్యము
suicide	ఆత్మహత్య
murder	హత్య
rape	మానభంగము
murderer	హంతకుడు
murderess	హంతకురాలు
nation	అంతర్జాతీయ
citric acid	సిట్రిక్ ఆమ్లం
property	ఆస్తి
acid	ఆమ్లము
acid rain	ఆమ్ల వర్షం
unsaturated fatty acid	అసంతృప్త కొవ్వు ఆమ్లం
saturated fatty acid	సంతృప్త కొవ్వు ఆమ్లం
Telugu	వ్వు
stupidity	జడత్వము
inert gas	జడవాయువు
Telugu	ప్త
Telugu	మ్ల
Uma	ఉమ
director	దర్శకుడు
producer	నిర్మాత
actor	నటుడు
actress	నటి
artist	కళాకారుడు
singer	గాయకుడు
krait	కట్లపాము
hardness	కఠినత్వము
nation	జాతీయ
laboratory	ప్రయోగశాల
bedroom	పడకగది
room	గది
bathroom	స్నానాలగది
classroom	తరగతిగది
class	తరగతి
darkroom	చీకటిగది
abortion	కట్టుక
Telugu	స్నా
my	నా
ligature	ఠి
Telugu	ట్ల
kitchen	వంటగది
cooking	వంట
earthworm	వానపాము
go in one ear and out the other	ఒక చెవితో విని మరో చెవితో వదిలెయ్యడం
right	కుడి
distant	ఎడమ
eye	కడకన్ను
threshold	కడప
lynchpin	కడచీల
last	కడపటి
umbrella	ఛత్రము
experiment	ప్రయోగము
test	పరీక్ష
blood test	రక్తపరీక్ష
blood	రక్త
blood relation	రక్తసంబంధము
blood bank	రక్తనిధి
blood donor	రక్తదాత
bad blood	చెడురక్తము
bloodstream	రక్త ప్రవాహము
blood	రక్తదానము
gift	దానము
blood pressure	రక్తపోటు
giver	దాత
letter	దా
blood cell	రక్తకణము
particle	కణము
meter	మీటరు
millimeter	మిల్లీమీటరు
centimetre	సెంటీమీటరు
decimetre	డెసీమీటరు
kilometre	కిలోమీటరు
decametre	డెకామీటరు
litre	లీటరు
millilitre	మిల్లీలీటరు
decilitre	డెసీలీటరు
decalitre	డెకాలీటరు
kilolitre	కిలోలీటరు
centilitre	సెంటీలీటరు
singing	గానము
singer	గాయకురాలు
singer	గాయని
veena	వీణ
flute	వేణువు
mridangam	మృదంగం
tabla	తబలా
ghatam	ఘటం
sarangi	సారంగి
tambura	తంబుర
harmonium	హార్మోనియం
gram	గ్రాము
kilogram	కిలోగ్రాము
milligram	మిల్లీగ్రాము
centigram	సెంటీగ్రాము
decigram	డెసీగ్రాము
decagram	డెకాగ్రాము
microgram	మైక్రోగ్రాము
microlitre	మైక్రోలీటరు
micrometre	మైక్రోమీటరు
pulse	పప్పుధాన్యము
green gram	పెసలు
stamen	కేసరము
stigma	కీలాగ్రము
style	కీలము
stoma	పత్రరంధ్రము
hole	రంధ్రము
wood	దారువు
phloem	పోషక కణజాలము
tissue	కణజాలము
cell	కణ
net	వల
sieve	జల్లెడ
Telugu	ల్లె
letter	లె
matchstick	అగ్గిపుల్ల
fire	అగ్గి
swing	ఊయల
concentration	గాఢమైన
concentration	గాఢత
cortex	వల్కలము
coverslip	మూత అద్దము
mirror	అద్దము
Telugu	ద్ద
index	సూచిక
intensity	తీవ్రత
sap	రసము
ginger	శొంఠి
Chittoor	చిత్తూరు
citizen	పౌరుడు
subspecies	ఉపజాతి
genus	ప్రజాతి
subfamily	ఉపకుటుంబము
subclass	ఉపతరగతి
division	విభాగము
tribe	తెగ
Bhupathiraju	భూపతిరాజు
surname	ఉప్పలపాటి
surname	పూసపాటి
surname	బైర్రాజు
surname	మంతెన
kshatriyas	కనుమూరి
surname	దాట్ల
kshatriyas	అల్లూరి
god	కుంభాభిషేకము
earth	కుంభిని
basil	తులసి
pup	కుక్కపిల్ల
dog	కుక్క
bitch	ఆడకుక్క
mushroom	కుక్కగొడుగు
fungus	శిలీంధ్రం
stomach	కుక్షి
hamlet	కుగ్రామము
baby	పిల్ల
barking dogs seldom bite	అరిచే కుక్క కరవదు
male	మగకుక్క
male	మగ
female	ఆడ
horseshoe	గుర్రపునాడా
horse	అశ్వము
catfish	పిల్లిచేప
civet	పునుగుపిల్లి
lioness	సివంగి
Wikipedia	వికీపీడియా
encyclopedia	విజ్ఞానసర్వస్వం
imperishable	అక్షయ
year	ఆనంద
year	ఈశ్వర
year	కాళయుక్తి
year	కీలక
angry	క్రోధన
year	క్రోధి
year	ఖర
year	చిత్రభాను
year	తారణ
year	దుర్మతి
year	దుర్ముఖి
Brahma	ధాత
year	నల
year	పరాభవ
year	ప్రజోత్పత్తి
year	ప్లవంగ
year	భావ
year	విక్రమ
year	విశ్వావసు
year	వృష
year	వ్యయ
year	శార్వరి
gladdener	నర్మద
Godavari	గోదావరి
Kaveri	కావేరి
Brahmaputra	బ్రహ్మపుత్ర
Tungabhadra	తుంగభద్ర
dog	శునకము
you can't teach an old dog new tricks	కుక్కతోక వంకర తీయలేము
tail	కుక్కతోక
tail	తోక
dog	కుక్కకాటు
bite	కాటు
doglike	కుక్కలాగా
ligature	లా
tail	వాలము
ligature	వా
East Godavari	తూర్పు గోదావరి
West Godavari	పశ్చిమ గోదావరి
fulcrum	ఆధారము
Nagavali	నాగావళి
Mahanadi	మహానది
old age	వృద్ధాప్యము
old man	వృద్ధుడు
old woman	వృద్ధురాలు
old age	వృద్ధ
increase	వృద్ధి
one	ఒంటి
camelopard	ఒంటెపులి
ostrich	ఒంటెకోడి
one	ఒక
some	ఒకానొక
one man	ఒకడు
one woman	ఒకతె
father	జనయిత
civet	జవ్వాది
hibiscus	జపాపుష్పము
hound	జాగిలము
horoscope	జాతకము
grace	జాను
graceful	జానుతెలుగు
fisherman	జాలికుడు
Jahnu	జాహ్నవి
father	కన్నయ్య
eyeball	కనుగుడ్డు
pupil	కనుపాప
pair	కన్నుదోయి
eyesight	కంటిచూపు
sleep	కపటనిద్ర
Shiva	కపర్ది
cheek	కపోలము
brass	కపిలోహము
wood apple	కపిత్థము
elephant apple	వెలగ
monkey	కపి
Shiva	కపాలి
camphor	కర్పూరము
Telugu	ర్పూ
covering	కప్పు
Kamala	కమల
Brahma	కమలాసనుడు
branch	కమ్మ
beam	కమ్మి
brook	కయ్య
salt	ఉప్పుకయ్య
salt water	ఉప్పునీరు
water	జలము
combat	కయ్యము
myrobalan	కరక
fruit	కరక్కాయ
Telugu	క్కా
Telugu	ప్పు
palm	కరతలము
hand	కరదీపము
oleander	కరవీరము
sword	కరవాలము
backbone	కరాళము
elephant	కరి
elephant	కరిణి
curry tree	కరివేపాకు
action	కర్మ
transitive verb	కర్మణిక్రియ
intransitive verb	అకర్మక్రియ
toenail	కాలిగోరు
hotch-potch	కలగూర
aloe	కలబంద
meeting	కలయిక
bud	కలిక
collector	కలెక్టరు
Vishnu	కల్కి
Telugu	ల్కి
belly	ఉదరము
joint	కణుపు
plank	కత్తిపీట
joint	అంసము
untimeliness	అకాలము
necessity	అక్కర
sorrow	అక్కసము
breast	అక్కు
crime	అక్రమము
latitude	అక్షాంశము
eye	అక్షి
eyeball	అక్షిగోళము
pupil	అక్షితార
eyebrow	అక్షిభ్రువము
eyelash	అక్షిపక్ష్మము
whole	అఖండము
Parvathi	అగజాత
house	అగారము
South India	రెడ్డి
hero	హంవీరుడు
swan	హంసిక
sun	హంసుడు
Brahma	హంసవాహనుడు
human rights	మానవ హక్కులు
killing	హననము
end	అంతము
Vishnu	హయగ్రీవుడు
Vishnu	హరి
yellow	హరిచందనము
basil	హరిప్రియ
plant	పాదం
footprint	పాదముద్ర
footwear	పాదరక్షలు
pedestrian	పాదచారి
Brahma	పాదజుడు
tree	పాదపము
westerner	పాశ్చాత్యుడు
synonym	ప్రతిపదము
sugar	చక్కెర
jungle	జంగిల్
Singh	సింగ్
rice	అన్నము
shoulder	భుజము
sole	అట్ట
noise	అల్లరి
plough	అరక
cross	అడ్డము
laughter	అట్టహాసము
minister	అమాత్యుడు
minister	మంత్రి
prime minister	ప్రధానమంత్రి
chief	ముఖ్యమంత్రి
midwife	మంత్రసాని
woman	మగువ
engineer	యంత్రకారుడు
minister	సచివుడు
leaf	పత్రం
betel leaf	తమలపాకు
father	అబ్బ
horse	ఘోటకము
mare	ఘోటిక
ligature	ఘో
ligature	ఘే
loud	ఘోష
nose	ఘ్రాణము
ingenious	చతుర
four	చత్వారము
spy	చారుడు
bean	చిక్కుడు
pod	చిక్కుడుకాయ
sprout	చిగురు
leaf	చిగురాకు
firework	చిచ్చుబుడ్డి
Paul	పాల్
tilak	తిలకము
little	చిట్టి
flame	చిచ్చు
family planning	కుటుంబ నియంత్రణ
wife	అసతి
fiction	కట్టుకథ
bad	చెడు
bad	చెడ్డ
good	మంచిచెడ్డలు
badness	చెడ్డతనము
termite	చెద
termite	చెదపురుగు
footwear	చెప్పు
insect	ఆరుద్రపురుగు
silkworm	పట్టుపురుగు
abode	ఆవాసము
insect	ఇంద్రగోపము
cicada	ఈలపురుగు
hairy	కంబళిపురుగు
worm	పురుగు
miser	పిసినారి
sandals	పాదుకలు
dung	పేడపురుగు
cockroach	బరిణపురుగు
firefly	మిణుగురుపురుగు
snuff	ముక్కుపొడి
spider	సాలెపురుగు
maternal grandfather	మాతామహుడు
younger brother	తమ్ముడు
wife	ఆలుమగలు
adoption	దత్తత
adopted	దత్తపుత్రుడు
man	మగడు
grandfather	తాత
brothers	అన్నదమ్ములు
sisters	అక్కాచెల్లెలు
mother	కన్నమ్మ
maternal grandmother	అమ్మమ్మ
ex-wife	మాజీ-భార్య
ex-husband	మాజీ-భర్త
twins	కవలలు
mother	వియ్యంకురాలు
kitchen	వంటలక్క
cook	వంటవాడు
face	అధోముఖము
downcast	అధోముఖుడు
mode	ఆదితాళము
ace	ఆసు
harmony	ఏకతాళము
game	ఓమనగుంటలు
snake	గడ్డిపాము
grass	గడ్డి
parrot	చిలకపచ్చ
parakeet	రామచిలక
roll	చుట్ట
smoking	ధూమపానము
adopted	దత్తపుత్రిక
son-in-law	తోడల్లుడు
paternal grandmother	నాన్నమ్మ
master	పతి
wife	పత్ని
chaste	పతివ్రత
father	పిత
grandmother	పితామహి
ancestors	పితరులు
fidelity	పాతివ్రత్యము
respect	పతిభక్తి
heroine	నాయిక
leader	నాయకుడు
chief	నాయుడు
father	నాయన
paternal grandmother	నాయనమ్మ
wedlock	దాంపత్యము
lifetime	జీవితకాలము
man	జంపతులు
wife	జాయ
ex-	మాజీ-
verse	ద్విపద
goddess	అమ్మవారు
committee	కమిటీ
cannabis	గంజాయి
kanjira	కంజీర
squirrel	ఉడుత
squirrel	ఉడుతభక్తి
wave	ఊర్మి
six	షడూర్ములు
generation	తరము
forehead	నొసలు
fostering	పెంపు
reared	పెంపుడు
fold	వలి
wife	సవతి
stepson	సవతికొడుకు
stepmother	సవతితల్లి
quarrel	సవతిపోరు
monkey	వలీముఖము
newt	తలకప్ప
hair	తలవెండ్రుకలు
Telugu	వ్వె
ligature	వె
ligature	వి
ligature	వూ
ligature	వే
letter	నీ
rising	లగ్నము
breast	చన్ను
breastmilk	చనుబాలు
mother	కుటుంబిని
Earth	భూమి
Earth	ధాత్రి
Earth	పుడమి
Earth	ధరణి
Mercury	బుధుడు
Venus	శుక్రుడు
Jupiter	గురుడు
Saturday	శనివారము
baba	బాబా
letter	బా
seasoning	తాలింపు
tobacco	పొగాకు
cigar	పొగచుట్ట
kinship	చుట్టరికము
kin	చుట్టము
Cuttack	కటకము
fiber	పట్టు
milk	పాల
female	పెట్ట
bitch	పెట్టకుక్క
great	మహా
relation	బాంధవుడు
translation	భాషాంతరము
Mahabharata	మహాభారతము
spider	ఈగపులి
male	పోతుటీగ
evil eye	దిష్టి
importing	దిగుమతి
exporting	ఎగుమతి
underside	దిగువ
upside	ఎగువ
metre	తేటగీతి
transparency	తేట
pure	అచ్చతెలుగు
touch	తాకు
sight	దృష్టి
native language	దేశభాష
inhabitant	దేశస్థుడు
king	దేశాధిపతి
custom	దేశాచారము
fork	పంగ
fork	పంగనామము
woman	పాలిండ్లు
Luffa acutangula	బీర
Luffa acutangula	బీరకాయ
vegetable	శాకము
word	సమాసము
silk	పట్టుచీర
illusion	భ్రమ
carpenter bee	భ్రమరము
forest	అడవి
camel	మహాగ్రీవి
valley	లోవ
feast for the eyes	కన్నులవిందు
sprinkling	సంప్రోక్షణము
relation	సంబంధము
delight	సంబరము
production	సంభవము
present	సంభావన
discourse	సంభాషణ
passion	సంభ్రమము
combined	సంయుక్తము
double letter	సంయుక్తాక్షరము
protection	సంరక్షణ
conference	సంవాదము
doubt	సంశయము
whole	సకలము
friend	సఖి
ligature	ఖి
letter	ఖ
friend	సఖుడు
horse	సకిలింత
average	సగటు
average	సరాసరి
half	సగము
living	సజీవము
strength	సత్తువ
choultry	సత్రము
Satyabhama	సత్రాజిత్తు
house	సదనము
assembly	సదస్సు
sound	సద్దు
chickpea	సెనగలు
proximity	సన్నిధానము
honour	సన్మానము
seven	సప్తాశ్వుడు
fruitful	సఫలము
soap	సబ్బు
convocation	సభ
community	సమాజము
grave	సమాధి
meeting	సమావేశము
equalization	సమీకరణము
nearness	సమీపము
multitude	సముదాయము
crowd	సమూహము
consent	సమ్మతి
pond	సరము
reptile	సరీసృపము
pond	సరోజిని
snake	సర్పము
water	సలిలము
throb	సలుపు
produce	సస్యము
ratiocination	సాంఖ్యము
complete	సాంగము
Shiva	సాంబశివుడు
similarity	సాటి
mouse	మూషకము
bull	ఎద్దు
prisoner	ఖైదీ
ligature	ఖై
ligature	ఖొ
ligature	ఖె
letter	గె
letter	గే
letter	గై
letter	గొ
letter	గౌ
short	పొట్టి
shortness	పొట్టితనము
limit	హద్దు
antelope	హరిణము
doe	హరిణి
green	హరితము
turmeric	హరిద్ర
Shiva	హరుడు
Kailasa	హరాద్రి
mansion	హర్మ్యము
elephant	హస్తిని
Telugu	స్తి
letter	తి
letter	తా
letter	తు
letter	తూ
letter	తొ
letter	ది
letter	దు
letter	దె
letter	దొ
hall	హాలు
letter	దీ
letter	దే
deity	దైవము
letter	దై
letter	దో
letter	నే
letter	నై
letter	నొ
letter	నో
letter	పొ
letter	తె
letter	తే
letter	తై
letter	బి
ligature	ఖా
share	అంశము
water	అంబువు
Parvati	అంబిక
sea	అంభోధి
scales	కాటా
scales	త్రాసు
word	ఏకాక్షరము
aspirated	ఒత్తక్షరము
contraction	క్లుప్తాక్షరము
engraving	శిలాక్షరము
page	పుట
brief	క్లుప్తము
Durga	శివాణి
head	శీర్షము
ligature	కం
asana	శీర్షాసనము
chair	కుర్చీ
Telugu	ర్చీ
ligature	ఫి
letter	బీ
letter	బు
letter	బూ
letter	బె
letter	బే
letter	బై
letter	బొ
letter	భి
letter	భు
ligature	భూ
meal	భోజనము
letter	లి
letter	లీ
letter	లై
letter	లొ
ligature	లో
ligature	థి
letter	ధి
letter	ధు
letter	మె
letter	మొ
letter	మో
letter	రై
letter	రొ
letter	రో
100	౧౦౦
300	౩౦౦
800	ఎనమన్నూరు
eighty	ఎనుబది
lack	ఎద్దడి
buffalo	ఎనుము
buffalo	ఎనుపోతు
lovebird	ప్రేమపక్షి
dear	ప్రియము
Krishna	భాగవతము
sea	కడలి
Lakshmi	కడలికూతురు
last time	కడసారి
water	కడుగు
division	భాగహారము
partner	భాగస్వామి
ripen	పండించు
lime	నిమ్మ
lemon	నిమ్మపండు
Bryonia	దొండ
snake	కొండచిలువ
monkey	కొండముచ్చు
monkey	వానరము
feast	కనుము
grandmother	అవ్వ
Telugu	వ్వ
throat	గొంతునొప్పి
Telugu	డ్లు
cowgirl position	పురుషాయితము
sex position	రతిభంగిమ
sexual intercourse	సురతము
woman	శంఖిని
college	కళాశాల
university	విశ్వవిద్యాలయము
conch	శంఖపాణి
woman	చిత్రిణి
Yama	చిత్రగుప్తుడు
Lakshmi	పద్మాలయ
girl	కుమారి
mint	టంకశాల
printing	ముద్రాక్షరశాల
hundred thousand	నూరువేలు
ten	పది లక్షలు
symptom	లక్షణము
mahwa tree	ఇప్ప
mahwa tree	ఇప్పచెట్టు
Madhuca longifolia	మధూకము
income	ఆదాయము
expenditure	వ్యయము
fruit	తొన
Asura	అసురుడు
evening	అసురసంధ్య
evening	సాయంకాలము
South Pole	అసురధ్రువము
Parvati	గిరిజ
hill	గిరి
mouse	గిరిక
axe	పరశువు
tamarind	చింతకాయ
lump	గడ్డ
wick	వత్తి
paper	కాగితము
coconut	బొండము
cock	పుంజు
country	సీమ
phthisis	క్షయ
hunting	వేట
pit	గుంట
dumb	మూగ
wave	కడలు
whistle	ఈల
all the best	శుభాకాంక్షలు
desire	కాంక్ష
foreword	ముందుమాట
word	మాట
slander	నింద
kathakali	కథాకళి
Kuchipudi	కూచిపూడి
Bharatanatyam	భరతనాట్యం
kathak	కథక్
swimming pool	ఈతకొలను
date	ఈతపండు
date	ఈతకల్లు
swimming	ఎదురీత
charmingly	ముద్దుగా
twilight	సంధ్య
prayer	సంధ్యావందనము
Ganges	త్రివేణి
mace	గద
Tamil Nadu	నీలగిరి
letter	అం
womb	యోనిజులు
daughter	తనయ
son	తనయుడు
Shiva	శివలింగము
lemongrass	నిమ్మగడ్డి
laugh	నవ్వు
small	చిరు
laughter	హాసము
smile	దరహాసము
hole	బొక్క
Hyaenidae	గాడిదపులి
Equus asinus	గాడిద
ass	గార్దభము
softness	నయగారము
Telugu	క్ష్మా
Telugu	క్ష్మ
woman	స్త్రీత్వము
pin money	స్త్రీధనము
woman	స్త్రీరత్నము
adultery	ఱంకు
pouring	శ్చ్యోతము
wish	స్పృహ
recollection	స్మృతి
Telugu	హ్రీ
Parvathi	హైమవతి
weapon	అస్త్రము
woman	అభిసారిక
woman	ప్రోషితభర్తృక
woman	కలహాంతరిత
woman	విప్రలబ్ధ
woman	విరహోత్కంఠిత
woman	స్వాధీన భర్తృక
five	పంచపాండవులు
Brahmas	నవబ్రహ్మలు
separation	విరహము
separation	విరహాగ్ని
woman	విరహిణి
Sun	సూర్యచంద్రులు
Sun	సూర్యుడు
Sun	సూర్య
Moon	చంద్ర
stone	శిల
fossil	శిలాజము
prostitute	వేశ్య
prostitute	వెలయాలు
price	వెల
sweet	బూంది
woman	కులట
profession	వృత్తి
bubble	బుడ్డ
salutation	దండము
churning	కవ్వము
honey	అధరమధువు
nectar	అధరామృతము
haunches	జఘనము
woman	లలన
Shiva	లలాటాక్షుడు
infant	చంటిపాప
infant	బిడ్డ
boy	బిడ్డడు
eye	కను
cloth	గుడ్డ
law	న్యాయమూర్తి
attorney	న్యాయవాది
law	న్యాయమైన
box	బరిణ
eater	భోక్త
yoke	పూజు
seasoning	పోపు
spice	తాలింపు ద్రవ్యము
right-hand	దక్షిణము
bone	ఎముకరంగు
Ranganatha	రంగడు
unanimity	ఐకమత్యము
United Nations	ఐక్యరాజ్యసమితి
elephant	ఐరావతము
purchase	క్రయము
turning	క్రాంతి
butt	క్రుమ్ము
cruelty	క్రూరము
eye	క్రేగన్ను
side	క్రేవ
new	క్రొత్త
song	పాట
post	టపా
borax	వెలిగారము
outside	వెలి
sort	రకము
good	మంచిరకము
hand	చేయి
earring	చెవిపోగు
jewel	నగ
Parvathi	నగజ
earthquake	భూకంపము
bracelet	కడియము
ring	ఉంగరము
ring finger	ఉంగరపు వేలు
ring finger	అనామిక
finger	వ్రేలు
thousand	వేయి
Telugu	వ్రే
fruit	దొండకాయ
fruit	దొండపండు
fruit	వంగపండు
brinjal	పచ్చడి వంకాయ
chutney	వంకాయ పచ్చడి
chayote	బెంగుళూరు వంకాయ
tooth	దంతము
silence	మౌనము
hermit	మౌని
pearl	మౌక్తికము
stupidity	మౌర్ఖ్యము
goddess	ముత్యాలు
syren	మోహిని
male	మగది
manliness	మగతనము
Telugu	ర్ఖ్య
mango	మాగాయ
Yama	యముడు
diamond	వజ్రము
poor	పేద
fall	పడు
drink	త్రాగు
hear	విను
put	పెట్టు
tie	కట్టు
blow	కొట్టు
see	చూడు
shut	మూయు
climb	ఎక్కు
read	చదువు
call	పిలువు
fly	ఎగురు
shout	అరుచు
open	తెరచు
waste	పాడు
weep	ఏడ్చు
eat	తిను
nominative case	ప్రథమా విభక్తి
objective case	ద్వితీయా విభక్తి
instrumental case	తృతీయా విభక్తి
dative case	చతుర్థీ విభక్తి
ablative case	పంచమీ విభక్తి
possessive case	షష్ఠీ విభక్తి
seventh	సప్తమీ విభక్తి
three	త్రి
staff	త్రిదండము
Shiva	త్రినేత్రుడు
three	త్రిఫలము
instrument	పరికరము
respiration	ఊపిరి
grammatical case	విభక్తి
initial	ప్రథమము
second	ద్వితీయము
third	తృతీయము
fourth	చతుర్థము
fifth	పంచమము
seventh	సప్తమము
eighth	అష్టమము
ninth	నవమము
tenth	దశమము
ligature	ము
ligature	మూ
knee	మోకాలు
ligature	మౌ
African elephant	ఆఫ్రికా ఏనుగు
old	పాతపట్నము
mine	గని
night	రేయి
woman	మహిళ
kitten	పిల్లిపిల్ల
child	పిల్లవాడు
girl	బాలిక
small	చిన్న
woman	ఆడది
skin	తోలు
horn	కొమ్ము
feather	ఈక
mouth	మూతి
tongue	నాలుక
heart	గుండె
leg	కాలు
wing	రెక్క
dry cough	పొడిదగ్గు
entrail	పేగు
bile	కాలేయము
hepatic vein	కాలేయపుసిర
bile	పైత్యరసము
gall bladder	పిత్తాశయము
vomit	కక్కు
suck	చీకు
drink	తాగు
drunkard	తాగుబోతు
see	చూచు
think	ఆలోచించు
die	చచ్చు
kill	చంపు
custard apple	రామాఫలము
succumb	లొంగు
worldliness	లౌక్యము
cage	బోను
Buddhism	బౌద్ధమతము
Buddhists	బౌద్ధులు
dharma	బౌద్ధధర్మము
sugar candy	ఖాండవము
line	గీత
strength	ఘాటు
trumpeting	ఘీంకారము
Bhima	ఘటోత్కచుడు
friction	ఘర్షణ
ligature	ఘా
ligature	ఘీ
ligature	డె
ligature	డే
ligature	ఢి
distance	దూరము
Khan	ఖాన్
ligature	ఖో
money	డబ్బు
shield	డాలు
ligature	డా
bushes	డొంక
ligature	డొ
vomiting	డోకు
ligature	డో
ligature	దూ
side	దెస
ambassadorship	దౌత్యము
ligature	దౌ
ligature	ధా
scorn	ధిక్కారము
stream	ధుని
courage	ధైర్యము
ligature	ధై
southwest	నైఋతి
southeast	ఆగ్నేయము
northeast	ఈశాన్యము
northwest	వాయవ్యము
west	పశ్చిమము
Tibet	టిబెట్
inoculation	టీకా
ligature	టై
ligature	యు
ligature	యూ
urea	యూరియా
mechanics	యాంత్రికశాస్త్రము
posture	భంగిమ
binding	బంధము
sound	రతిధ్వని
sound	ధ్వని
sex position	రతిబంధము
five	రతిపంచకము
five	పంచకము
sexual intercourse	రతితస్కరుడు
husband	రతిగురుడు
vagina	రతికుహరము
cavity	కుహరము
sexual intercourse	రతికర్మ
sound	రతికూజితము
cooing	కూజితము
thief	తస్కరుడు
laugh	నవ్వించు
take	కొను
steal	దొంగిలించు
pound	దంచు
pierce	గుచ్చు
descend	దిగు
count	లెక్కించు
open	విప్పు
increase	పెంచు
read	చదివించు
cry	ఏడిపించు
feed	తినిపించు
read out	వినిపించు
running	పరుగు
decrease	తగ్గించు
sunstone	సూర్యకాంతము
Tadorna ferruginea	చక్రవాకము
woman	పావని
woman	రూపవతి
woman	మానవతి
cooking oil	వనస్పతి
woman	కనకాంగి
woman	కీరవాణి
moral	నీతి
Brihaspati	వాచస్పతి
enter	దూరు
hide	దాగు
hide	దాచు
burn	మండు
curse	తిట్టు
fall off	రాలు
Rama	రామకోటి
sleep	నిద్రించు
proud	గర్వించు
roar	గర్జించు
angry	కోపించు
piece	ముక్క
tear	చిరుగు
news	వర్తమానము
news	వార్త
newspaper	వార్తాపత్రిక
messenger	వార్తావహుడు
good news	శుభవార్త
auspiciousness	శుభము
goodnight	శుభరాత్రి
nightdress	రాత్రిదుస్తులు
sky	ఆకాశము
you	నువ్వు
he	అతను
he	వాడు
who	ఎవరు
what	ఏమిటి
where	ఎక్కడ
when	ఎప్పుడు
how	ఎలా
it	అది
she	ఇది
many	చాలా
some	కొన్ని
belly	పొట్ట
no	కాదు
entire	మొత్తము
foot	అడుగు
coral	పగడము
precious stone	రత్నము
nine	నవరత్నములు
favourite	ఇష్టమైన
difficult	కష్టమైన
sweet	మధురమైన
wish	ఇష్టము
wish	కోరిక
grief	శోకము
sorrow	అశోకుడు
grief	దుఃఖము
happiness	సుఖదుఃఖాలు
sorrow	అశోకము
bulletwood	పొగడ
praise	పొగడు
praise	పొగడ్త
Solanum nigrum	కామంచి
grass	కసవు
straw	వరిగడ్డి
grass	గడ్డిపరక
eighth	పరక
eunuch	షండుడు
hermaphrodite	పేడి
eunuch	నపుంసకుడు
coward	పిరికి
gazelle	పిరికిమెకము
leopard	చిరుత
girl	చిన్నది
boy	చిన్నవాడు
elder	పెద్దవాడు
large	గొప్ప
side	పక్క
spear	పక్కలో బల్లెము
spear	బల్లెము
spear	ఈటె
lady	సాని
earth	క్షమ
seed	చింతపిక్క
calf	పిక్క
blow	దెబ్బ
knob	గుబ్బ
nipple	కుచాగ్రము
chest	వక్షము
breast	వక్షోజము
breast	రొమ్ము
buttock	నితంబము
Shiva	పింగజటుడు
adultress	ఱంకుముండ
literally	ముండ
adultery	ఱంకాట
paramour	ఱంకుమగడు
adulterer	ఱంకుబోతు
slide	జారు
courier	జాంఘికుడు
hesitate	జంకు
sinner	పాపి
sin	పాపము
sail	చీరచాప
lie	బొంకు
liar	బొంకులాడి
liar	బొంకులాడు
duty	ధర్మము
lonely	శూన్యము
life	మృతి
death	చావు
death	మరణము
killing	మారణము
district	నెల్లూరు
Kurnool	కర్నూలు
Joshua	జాషువా
Adam	ఆడమ్
Elizabeth	ఎలిజబెత్
Mary	మేరీ
James	జేమ్స్
Benjamin	బెంజమిన్
Philip	ఫిలిప్
Charles	చార్లెస్
Telugu	ల్లూ
Vali	వాలి
Brown	బ్రౌన్
Menaka	మైనాకుడు
Rambha	రంభ
Urvashi	ఊర్వశి
apsara	ఘృతాచి
Kausalya	కౌసల్య
Rāma	అయోధ్య
eleventh	ఏకాదశి
third	తదియ
fourth	చవితి
eighth	అష్టమి
sixth	షష్ఠి
fourteenth	చతుర్దశి
full moon	పౌర్ణమి
Vishnu	అచ్యుతుడు
Agastya	అగస్త్యుడు
Banasura	బాణాసురుడు
Bharata	భరతుడు
Nakula	నకులుడు
seven	సప్త
seven	సప్తస్వరాలు
