floor	cat
suitcase	geamantan
pension	pensie
boarding house	pensiune
vaccinotherapy	vaccinoterapie
box	bax
insect	insectă
antenna	antenă
cell	celulă
yogi	yoghin
valkyrie	walkirie
buttocks	șezut
acephaly	acefalie
Varuzhan	Varujan
beardless	imberb
preliminary contract	precontract
maxilla	maxilar
wail	bocet
copperplate printing	calcotipie
dressing	costumare
chromophotography	cromofotografie
institution	instituire
translucent	translucid
presbyter	prezbiter
ziggurat	zigurat
aspic	piftie
robbery	jaf
brandy	rachiu
abortion	avort
silliness	imbecilitate
tapestry-maker	tapiser
prostitute	prostitua
assonant	asonant
godfather	cumătru
vaginismus	vaginism
tenth	zecime
proboscidean	proboscidian
flag	flamură
flag	drapel
flute	flaur
preexisting	preexistent
baa	behăi
baa	bălăi
serodiagnosis	serodiagnostic
participle	participiu
alembic	alambic
alexandrine	alexandrin
vermicelli	fidea
antifreeze	antigel
artificer	artificier
asepsis	asepsie
obovate	oboval
bagpipe	cimpoi
bigotry	bigoterie
biplane	biplan
stone	pietroi
patent	breveta
sectarian	sectant
ham	cabotin
healing	cicatrizant
canoeist	canotier
caravanner	caravanier
cardoon	cardon
carmine	carmin
beetle	coleopter
titter	chicot
diminutive	diminutival
mimicry	mimetism
concubine	concubin
possessor	posesor
nearest	proxim
logopedist	logoped
priority	întâietate
gentleness	blajinătate
wholeness	deplinătate
exiguity	puținătate
coward	poltron
sympathize	simpatiza
distributor	delco
coauthor	coautor
bibliographer	bibliograf
refer	referi
pollute	polua
death	deces
factorize	factoriza
factorization	factorizare
modelization	modelizare
stepson	fiastru
grape	auă
hidden	pitit
scarifier	scarificator
moment	clipă
blink	clipi
knock	ciocni
pick	târnăcop
hat	cipilică
overbake	răscoace
gaffe	gafa
raid	razie
Cerberus	cerber
microbial	microbian
analgesic	antalgic
astronautical	cosmonautic
plumbic	saturnin
pleonaste	pleonast
son	mezin
discharged	externat
extramarital	extraconjugal
invoice	facturier
gull	goeland
heliacal	heliac
exogenous	exogen
festival	festivalier
siliceous	silicios
sorter	trior
slab	lespede
Whitsuntide	Rusalii
banality	poncif
clearing	poiană
dyschromatopsia	discromatopsie
tram driver	vatman
favor	favoare
Monégasque	monegasc
boor	mitocan
Islamize	islamiza
Islamization	islamizare
chip	ciopli
churl	bădăran
blow	buciuma
circus	circar
discomfort	inconfort
pimp	proxenet
grieve	îndurera
cystic	cistic
vicariate	vicariat
on an empty stomach	à jeun
careless	nepăsător
lamasery	lamaserie
Levantine	levantin
lexicology	lexicologie
lift attendant	liftier
rummage	scormoni
peerage	pairie
whim	moft
microclimate	microclimat
whim	bâzdâc
lebede negre	lebede negre
monoplane	monoplan
narcolepsy	narcolepsie
bowtie	papion
novitiate	noviciat
foul	ordurier
lax	laxist
Patagonian	patagon
pearl	perlier
swing	pivota
protectorate	protectorat
saw	ferăstrău
sawdust	rumeguș
amazonite	amazonit
contractualism	contractualism
indigestible	indigest
sew	înfira
life	viager
psalmody	psalmodie
chant	psalmodia
adamantine	adamantin
corundum	corindon
misunderstanding	quiproquo
second	secund
subspecies	subspecie
cautery	cauter
calciuria	calciurie
apricot	zarzără
tragacanth	adragant
opacify	opacifia
tulip	lalea
Gordian	gordian
exobiology	exobiologie
monocrystal	monocristal
evil	samcă
coccidia	coccidie
solidified	solidificat
sauté	sote
whirlwind	vântoasă
conjecture	conjectura
hurricane	vijelie
fairy	iele
rush	iureș
owe	datora
idiotize	idiotiza
stupidification	idiotizare
frying pan	tigaie
pot	cratiță
antimony	antimoniu
stroboscopy	stroboscopie
Chilean	chilian
neological	neologic
galvanoplasty	galvanoplastie
stereotype	stereotip
ovoid	ovoidal
arrange	aranja
cashew	anacard
vermilion	vermillon
radiochemistry	radiochimie
antisepsis	antisepsie
where	iuo
gastrotomy	gastrotomie
orphan	orfelin
old	mator
sweep	mătura
agrochemistry	agrochimie
microchemistry	microchimie
insane asylum	balamuc
mental hospital	ospiciu
bier	targă
plateau	plai
expensive	scumpi
cheapen	ieftini
osteological	osteologic
hexahedron	hexaedru
reconvert	reconverti
reconverted	reconvertit
pensioner	pensionar
madman	bezmetic
wake up	dezmetici
trouble	sminti
queen bee	matcă
amino alcohol	aminoalcool
recopy	recopia
paleobiological	paleobiologic
rectorate	rectorat
naphthalene	naftalen
albuminuria	albuminurie
wool	lânar
replant	replanta
brag	făli
proud	mândri
glorify	slăvi
pride	fală
great	măreț
stepmother	mașteră
stepmother	mamă vitregă
conclusive	definitiv
princess	prințesă
planetarium	planetariu
watermelon	lubeniță
watermelon	pepene verde
lure	momeală
bait	nadă
retreat	retrage
count	contabiliza
accounting	contabilizare
agglutination	aglutinare
moon landing	alunizare
education	educație
ruddy	rubicond
fiancée	logodnică
fiancé	logodnic
engagement	logodnă
computus	comput
cosmochemistry	cosmochimie
meandering	meandric
reproduce	prăsi
breeding	prăsilă
radiogalaxy	radiogalaxie
yoke	înjuga
unyoke	dejuga
shake	zgudui
sheepskin waistcoat	cojoc
skinner	cojocar
intersect	intersecta
pocket	jeb
trillion	trilion
sollywood	santal
correct	corect
string	sfoară
enzooty	enzootie
kettle	ceainic
undershirt	maiou
thrust	vârî
shady	umbratic
addlebrained	zevzec
silly	neghiob
lock	încuietoare
lock	buclă
lock	cârlionț
padlock	lacăt
labia	labie
latch	clanță
derision	batjocură
password	parolă
mastiff	dulău
flattery	flaterie
sinology	sinologie
custom	vamă
pale	palid
pulmonary tuberculosis	oftică
consumptive	oftica
tuberculosis	tuberculoză
pulmonary tuberculosis	ftizie
forester	pădurar
devil	naiba
whack	pocni
commission	însărcina
pregnant woman	gravidă
potbellied	borțos
hope	nădejde
hope	nădăjdui
gambling establishment	tripou
cross-country	cros
father	taică
sour cherry	vișină
dress	înfărma
precipice	prăpastie
advance	spori
tonic	tonifiant
four-star petrol	supercarburant
toucan	tucan
swallow	rândunea
martin	lăstun
agglutinant	aglutinant
agglutinate	aglutinat
frozen	congelat
growl	mârâi
helmsman	timonier
thoron	toron
ambiguous	ambiguu
propellant	propergol
bend	strâmba
buttock	fesă
referee	arbitru
superfluous	superfluu
masked	travestit
serve	șerbi
trotter	trotteur
cyclops	ciclop
above	deasupra
sign	iscăli
caliphate	califat
darken	întunereca
hypermetropic	hipermetrop
handkerchief	batistă
prescribed	prescris
proscribed	proscris
retranscribed	retranscris
placenta	placentă
somersault	tumbă
roll	rostogoli
mound	movilă
lustful	lubric
cellarman	cantinier
catalepsy	catalepsie
energetic	energic
spitting	scuipat
crippled	schilod
ugly	aschimodie
japanware	japon
suckling	sugaci
mortifying	mortifiant
cherry plum	corcoduș
cherry plum	corcodușă
bran	tărâțe
tile	țiglă
wonderful	mirific
philosophize	filozofa
gunner	tunar
nucleus	nucleu
cretonne	creton
weed	buruiană
escalope	escalop
rigid	țeapăn
flowering ash	urm
flowering ash	mojdrean
contradictory	contradictoriu
enmity	inimiciție
enmity	inamiciție
sail	velă
diphthongize	diftonga
pericardial	pericardic
sirocco	siroco
vibrio	vibrion
dipodic	dipod
flatten	turti
ebony	ebenin
mistress	stăpână
Syrian	sirian
cellar	beci
sociological	sociologic
extend	extinde
fried	prăjit
doughnut	gogoașă
sturdy	zdravăn
endoplasmic	endoplasmatic
defeated	învins
noise	vuiet
talk	grăi
Mugil cephalus	laban
cried	plâns
she	dânsa
she	dumneaei
he	dumnealui
they	dumnealor
pass through	străbate
happen	împătra
at a loss	sfecli
disillusion	dezamăgi
disillusioned	dezamăgit
fiddle	scripcă
boil	clocoti
unlearn	dezvăța
dialect	grai
language	limbaj
take back	relua
use	întrebuința
band	fâșie
swaddle	înfășa
band	fâșioară
stag beetle	cerbar
stag beetle	răgace
wadding	vată
capillary	capilar
chick	puișor
hen	puică
child	copilaș
couple	cuplu
pie	vărzare
extract	extrage
adorn	împodobi
mussel	midie
biscuit	pesmet
arable	arător
ploughman	plugar
arable	arabil
ploughing	arătură
plough	plugări
breeze	adiere
breeze	aură
waver	pregeta
waver	șovăi
hesitate	ezita
torrent	puhoi
torrent	torent
flood	inundație
fig	smochin
scale	cântar
weigh	cântări
cockroach	libarcă
pass	perinda
gas cooker	aragaz
new moon	lună nouă
click beetle	elaterid
envenom	învenina
poison	toapsec
poison	otravă
poison	otrăvi
poisonous	otrăvitor
poison	topseca
distress	mâhni
jugulation	jugulare
fogbank	pâclă
make fun of	batjocori
quiver	tolbă
throat	gâtlej
scare	înfricoșa
peaceful	pașnic
deep	afund
depth	adâncime
black	arap
black	negresă
infuriate	înfuria
anger	mânia
Greek	grecoaică
boiling	fiertură
drawl	tărăgăna
delay	amâna
prolong	prelungi
stepson	fiu vitreg
refuse	refuza
wither	ofili
withered	ofilit
flame	flamă
remove	depărta
estrange	îndepărta
slow down	încetini
ewe lamb	mioriță
lamb	mior
ferment	dospi
yeast	drojdie
lonely	retras
lonely	singuratic
bald	pleșuv
groan	scânci
conversation	convorbire
unchain	dezlănțui
yoke	fiulare
back	spetează
creep	târî
sole	pingeli
sole	pingea
pastern	chișiță
winter	iernatic
sulfide	sulfură
gem	nestemată
precious	nestimat
valuable	valoros
priceless	neprețuit
inestimable	inestimabil
cooper	dogar
imputation	imputație
scolding	împutăciune
dispute	dispută
reproach	reproș
recover	întrema
burden	povară
give up	dezbăra
bacciferous	bacifer
lyrical	liric
take shape	înfiripa
donkey	asină
donkey	măgăriță
hail	grindină
hail	grindina
Nucifraga caryocatactes	alunar
cloth	tindeche
pole	stinghie
peppermint	izmă
rod	ștează
Tatar	tătar
swelling	ghindură
tonsil	amigdală
swollen	ghinduros
glandulous	glandulos
gland	glandă
hens	găinar
strike	trăsni
incite	învita
together	laolaltă
noose	balț
blotchy	pătat
learned	cărturar
learned	învățat
great-grandson	strănepot
great-granddaughter	strănepoată
quantity	cantitate
drill	burghiu
drill	sfredel
crumple	cocoloși
woolen mantle	sarică
doll	păpușă
larva	larvă
nymph	nimfă
marionette	marionetă
ill	piază
rarely	rareori
stern	pupă
string	înșira
unleavened bread	pască
rest	meriza
indispensable	indispensabil
underwear	izmene
bosom friend	fârtat
noose	ștreang
council	consiliu
convention	convenție
quantity	sumă
contrary	contrar
oppose	opune
limb	membru
goddaughter	fină
renew	înnoi
sauce	mujdei
song	cântecel
complementary	complementar
enormity	enormitate
parachute	parașută
stupid person	fraier
monophyllous	monofil
invasion	invazie
criterion	criteriu
fencer	scrimer
creation	creație
clothes	boarfă
prostitute	prostituată
forgiveness	lăsăciune
divorce	divorț
divorce	divorța
separation	despărțire
wild animal	sălbăticiune
wildness	sălbăticie
ruin	paragină
admiration	admirație
attraction	atracție
illumination	luminăciune
illumination	iluminație
swelling	umflăciune
fraud	înșelăciune
foundation	fundație
base	bază
necessary	necesar
bow	plecăciune
fabulous	fabulos
freckle	pistrui
wire	drot
civilization	civilizație
digestion	digestie
flea market	talcioc
so-and-so	cutare
come on	haide
-ity	-ătate
finish	isprăvi
double bassoon	contrafagot
census	cens
restorer	restaurator
cesspool	cloacă
coward	laș
millennium	mileniu
caliph	calif
whipped cream	frișcă
Carpathians	Carpați
sofa	canapea
tool	unealtă
vehicle	vehicul
slipper	papuc
urbanistic	urbanistic
reconfigure	reconfigura
Guaraní	guarani
successor	urmaș
protean	proteic
mead	hidromel
hymen	himen
foulard	fular
acne	acnee
caenogenetic	cenogenetic
fall in love	îndrăgosti
mystical	mistic
tease	tachina
untilled	nearat
wrist	încheietura mâinii
executioner	hoher
mă	scuzați-mă
joc	joc de rol
Etruscan	etrusc
spawn	icre
metacarpus	metacarp
piezoceramic	piezoceramic
superfluid	suprafluid
wedding ring	verighetă
intensive	intensiv
nakedness	goliciune
oxidative	oxidativ
diner	birt
metastable	metastabil
damaged	paradit
aerogenic	aerogen
self-portrait	autoportret
federation	federație
harass	speti
almandine	almandin
limbă vecină	limbă vecină
neighbor	vecină
uncomplicated	necomplicat
disqualify	descalifica
disqualification	descalificare
contribute	cotiza
sir	efendi
Latvian woman	letonă
female Maltese	malteză
anaerobic	anaerob
stupid	nerod
ganglial	ganglionar
mooring	amarare
commercialize	comercializa
marketing	comercializare
eternize	eterniza
perpetuation	eternizare
make-up	fardare
remark	remarca
summarize	rezuma
summary	rezumare
rolling	rulare
caw	crau
prizewinning pupil	premiant
numismatist	numismat
lottery ticket	loz
redia	redie
hidden	dosit
mu-metal	mumetal
pantograph	pantograf
toluene	toluen
ribosome	ribozom
melanoma	melanom
artillery	artilerie
sensor	senzor
chrysotherapy	crisoterapie
granulitis	granulie
miliary	miliar
Zulu	zulus
colourless	incolor
siege	asediu
anglicise	angliciza
ostracize	ostraciza
chemise	furou
bouffant	bufant
emasculate	emascula
intimidated	intimidat
guarantee	garanta
dissident	disident
servile	supus
preposed	antepus
mackerel	cherci
insufficient	insuficient
ammoniacal	amoniacal
immobilize	imobiliza
remand	deferi
intracellular	intracelular
recreation	agrement
sedimentary	sedimentar
buccal	bucal
immerse	imersa
reconstitute	reconstitui
solubilize	solubiliza
extracellular	extracelular
mineralize	mineraliza
thiol	tiol
eucalyptol	eucaliptol
ozonize	ozoniza
polymerize	polimeriza
appropriate	apropria
defective goods	brac
capitalize	capitaliza
attest	atesta
collegial	colegial
dismiss	concedia
holder	detentor
commemorate	comemora
hallelujah	aleluia
garage	garaj
immoral	imoral
sweetener	edulcorant
mobilize	mobiliza
presumed	presupus
process	procedeu
regulatory	regulamentar
rehabilitate	reabilita
sub-system	subsistem
impel	impulsiona
excretory	excretor
halogenate	halogena
metabolize	metaboliza
evolve	evolua
septuplet	septolet
curl	friza
hairy	flocos
vitrify	vitrifica
pesticide	pesticid
multicellular	multicelular
volatilize	volatiliza
vulcanize	vulcaniza
redefine	redefini
magnetize	magnetiza
alluvial	aluvial
disregard	desconsidera
ambergris	ambră
avens	cerențel
cyclotron	ciclotron
ethyl	etil
propyl	propil
hybridize	hibridiza
speculate	agiota
marquess	marchiz
cottage	bordei
calligraph	caligrafia
scrape	râcâi
tomb	cavou
decomposed	descompus
Semitology	semitologie
macadamize	macadamiza
immaterial	imaterial
review	redija
tango	tangou
veranda	verandă
glue	clei
innovate	inova
accuse	acuza
cucumber	cucumăr
salutary	salutar
rudimentary	rudimentar
Hindu	hindus
wardrobe	garderob
semiological	semiologic
polygonal	poligonal
servile	servil
intermediate	intermediar
mechanize	mecaniza
revitalize	revitaliza
ping-pong	ping-pongist
guesswork	ghicit
meet	întâmpina
remove	înlătura
neotectonics	neotectonic
popularizing	popularizator
lactogenic	lactogen
canonize	canoniza
cesspool	hazna
craft	meșteșug
craftsman	meșteșugar
craftsman	meseriaș
profession	profesiune
occupation	ocupație
coppersmith	căldărar
funnel	pâlnie
redundant	disponibiliza
note	notă
infecție cu transmitere sexuală	ITS
tetanus	antitetanic
Ph.D. student	doctorand
log	buștean
iodometry	iodometrie
biomass	biomasă
hex key	inbus
treaty	tratat
venerologist	venerolog
capital letter	verzal
moribund	muribund
volleyball	volei
tambour	tambur
nauseous	grețos
enhancer	exhaustor
treatment	tratament
favorite	cirac
muton	muton
chair	jeț
burrow	vizuină
regulation	regulament
blue	azura
Catholic	catolic
scholastic	scolastic
harmonious	armonios
arrest	aresta
cruelty	cruzie
bomb	bombă
concurrent	concurent
reason	rezon
tired	ostenit
consequence	consecvență
consequence	consecință
consequent	consecvent
heron	stârc
prattle	trăncăni
desire	deșidera
cabotage ship	cabotier
granodiorite	granodiorit
myoclonia	mioclonie
interpreter	tălmaci
greyhound	ogar
harmonization	armonizare
mechanization	mecanizare
disarray	debandadă
confusion	zăpăceală
hut	cocioabă
harvest	recoltă
wallet	portofel
ugly	nașpa
livid	vâlced
disease	gălbează
wager	prinsoare
bet	rămășag
bet	vierșun
stiffen	înverșuna
shear	tușina
Jesus Christ	Iisus Hristos
boudoir	budoar
guard	pază
backbite	bârfi
vulgarity	vulgaritate
collapse	prăbuși
thief	hoțoman
spawn	plodi
geobotanical	geobotanic
injurious	injurios
ablepharia	ablefarie
acromicria	acromicrie
ampelography	ampelografie
self-diagnose	autodiagnostica
narrow runway near	strungă
cancerophobia	cancerofobie
hit	berbeci
corectopia	corectopie
coprolalia	coprolalie
erythrophobia	ereutofobie
runology	runologie
traumatologist	traumatolog
troubadour	trubadur
theosopher	teozof
printer	tipograf
selachian	selacian
mysophobia	misofobie
monophobia	monofobie
agroindustrial	agroindustrial
cheer	veseli
score	scor
oppressor	opresor
paleoecological	paleoecologic
knock	ciocăni
trout	păstrăv
viewer	telespectator
Mediterranean	mediteranean
transit	tranzit
topophobia	topofobie
trichotomy	tricotomie
source	sursă
nickname	poreclă
lady	chera
angioma	angiom
granuloma	granulom
fulminate	fulminat
anastigmatic	anastigmat
monocle	monoclu
seller	geambaș
brook	gârlă
dealer	sfârnar
ardor	patimă
suffer	pătimi
bolide	bolid
deluge	diluviu
unpopular	impopular
garnet	grena
homeopathy	homeopatie
homeopath	homeopat
corrupt	corupt
astray	destrăbăla
clip	pensă
tweezers	pensetă
boring	plicticos
defeat	suvoalbe
bureau	birou
agency	agenție
pocketknife	briceag
mixture	maglavais
term	soroc
cream	crem
anonymity	anonimat
attentive	atent
satyr	satir
multidimensional	pluridimensional
basset	baset
Latinity	latinitate
Irish	irlandez
rack	rastel
machine	uzina
combination	combinație
join	împreuna
part	dezbina
turboprop	turbopropulsor
die	mierli
quadrille	cadril
bundle	balot
vase	vază
painful	dururos
smoking	afumare
Ligurian	ligur
perpetuity	perpetuitate
incense	tămâie
flatter	linguși
flattery	lingușire
marriage	matrimoniu
experience	experiență
cadence	cadență
decency	cădință
convenience	conveniență
decency	decență
wind	întortochea
trivialize	banaliza
pollinate	poleniza
remedy	remediu
tricycle	triciclu
operated	operat
disgust	silă
violence	violență
feather-brained	aiurit
petrification	petrificare
Saint Peter	Sfântul Petru
suffix	-escu
priest	popă
Saint George	Sfântul Gheorghe
swamp	mlaștină
hound's tongue	otrățel
brandy	vinars
skyscraper	zgârie-nori
vaudeville	vodevil
lesion	leziune
occasion	ocazie
felicitation	urăciune
third	terț
ram	terțiu
digamma	digama
perishing	pierire
edge	barbur
edge	ascuțiș
edge	tăiș
apogee	apogeu
boot	tureatcă
drunken	băut
drunken	îmbătat
booze-up	băută
growl	mâr
rustle	șușui
apologize	apologiza
boycott	boicota
forgiveness	iertăciune
miracle	miracol
lewd	afemeiat
stereophotography	stereofotografie
behavioral	comportamental
griffin	grifon
eagle	pajură
eastern imperial eagle	zgripțor
organ	orgă
lungwort	plămânărică
mulberry	dudă
switchman	macagiu
remix	remixare
wart	negel
corncockle	neghină
photomicroscopy	fotomicroscopie
Pharisee	fariseu
coral	corai
entity	entitate
progeria	progerie
millibar	milibar
Ashkenazi	Așkenazi
firing pin	percutor
let alone	darămite
Jewish	evreiesc
orogeny	orogenie
hemophilia	hemofilie
award	decerna
theodolite	teodolit
judicial	judiciar
judicious	judicios
standardize	standardiza
shine	lustru
dekatron	decatron
comedo	comedon
white woman	albă
hatch	cloci
triumph	triumf
ancillary	ancilar
guttural	gutural
wig	perucă
hairstyle	coafură
hairstyle	frizură
haircut	freză
esteem	stimă
extraordinary	extraordinar
butcher	măcelări
unhurt	indemn
oyster farmer	ostreicultor
now	acuși
stupidity	prostie
draw	desena
animated cartoon	desen animat
shepherd	mielar
hypertrophic	hipertrofie
immunize	imuniza
multiglandular	pluriglandular
Russophile	rusofil
dad	tătic
Montenegro	Muntenegru
thoughts	gânduri
rows	rânduri
couple	cupla
store	stoca
corkscrew	tirbușon
masks	măști
landscape	peisaj
painful	penibil
confessor	confesor
stinking	pucios
discount	reducere de preț
Elijah	Ilie
mocked	hulit
rocket	rachetă
booklet	cărticică
orthogonal	ortogonal
stopper	stoper
sawmill	gater
harpsichord	harpsicord
flattened	turtit
partitioning	compartimentare
take	luare
impudence	măgărie
cocaine addiction	cocainism
democratize	democratiza
differ	diferi
dynamize	dinamiza
double	dubla
exhale	exala
focus	focaliza
mimic	mimetiza
mummify	mumifica
odorize	odoriza
panel	panou
prohibit	prohibi
pigmentary	pigmentar
double	dublu
determinative	determinativ
trumpeter	trompetist
plebeian	plebeu
polynomial	polinomial
Chechen	cecen
boustrophedon	bustrofedon
karst	carst
indigenous	indigen
agglomeration	aglomerare
waterproof	impermeabiliza
waterproofing	impermeabilizare
verbalization	verbalizare
polemize	polemiza
medievalist	medievist
defeatist	defetist
focalization	focalizare
dynamicization	dinamizare
monitor	monitoriza
monitoring	monitorizare
responsibilize	responsabiliza
caricature	caricaturiza
cartooning	caricaturizare
universalize	universaliza
rigging	trucare
excuse	pretexta
annihilation	anihilare
animalize	animaliza
animalization	animalizare
laryngeal	laringal
Nogai	nogai
obole	obol
antimalarial	antipaludic
antihalo	antihalo
Zambian	zambian
Tanzanian	tanzanian
pamphleteer	pamfletist
kilometer	kilometru
worry	îngrijora
Kiribatian	kiribatian
Indian	indian
Nigerian	nigerian
Tahitian	tahitian
Toltec	toltec
wizard	farmazon
Trinidadian	trinidadian
Tunisian	tunisian
Udmurt	udmurt
Comorian	comorian
European	european
Niuean	niuean
primary key	cheie primară
foreign key	cheie străină
software engineering	inginerie software
migraine	migrenă
decaffeinated	decafeinizat
physiotherapist	fizioterapeut
anti-imperialist	antiimperialist
domestication	domesticire
technologist	tehnolog
vinyl	vinil
seraph	serafim
Philippines	Filipine
rhinoceros	rinocer
syncline	sinclinal
predicate	predicat
Galerida cristata	ciocârlan
gallows	spânzurătoare
pheromone	feromon
print	tipar
elk	plotun
sedge	rogoz
supervisor	supervizor
megaphone	megafon
sleep	nani
subscription	abonament
box	cimișir
artificialism	artificialism
achromatize	acromatiza
anthropomorphize	antropomorfiza
immigrate	imigra
innocent	inocenta
tension	tensiona
politicize	politiza
uniformize	uniformiza
popularize	vulgariza
recalculate	recalcula
reconfirm	reconfirma
comfort	reconforta
reconvene	reconvoca
redate	redata
regularize	regulariza
regurgitate	regurgita
renege	renega
pygmy	pigmeu
spectrography	spectrografie
fire extinguisher	extinctor
USSR	УРСС
innocent	inocent
theremin	termenvox
litigious	litigios
conciliation	conciliere
excoriation	excoriere
exfoliation	exfoliere
expiation	expiere
mediation	mediere
recreation	recreere
repudiation	repudiere
spoliation	spoliere
hearing	audiere
cession	cedare
dispatch	expediere
compression	comprimare
conception	concepere
confusion	confundare
awarding	decernare
depression	deprimare
digestion	digerare
elusion	eludare
erosion	erodare
escape	evadare
platinous	platinos
blast	explodare
prestigious	prestigios
printing	imprimare
prodigious	prodigios
ingestion	ingerare
insertion	inserare
invasion	invadare
stoloniferous	stolonifer
perception	percepere
prostitution	prostituare
reflection	reflectare
repression	reprimare
retrocession	retrocedare
cessation	sistare
succession	succedare
suspension	suspendare
vomiting	vomare
swelling	bubos
laboratory	laborator
pilgrim	peregrin
transducer	transductor
achylia	achilie
camomile	mușețel
get	dobândi
odorous	mirositor
dioxide	dioxid
adynamia	adinamie
aerophilately	aerofilatelie
piemaker	plăcintar
afebrile	afebril
predict	agura
adenoma	adenom
atheroma	aterom
fibroma	fibrom
glioma	gliom
lipoma	lipom
papilloma	papilom
teratoma	teratom
pemphigus	pemfigus
hemiplegia	hemiplegie
diplegia	diplegie
apraxia	apraxie
Bengal	bengal
type	tipări
algia	algie
almah	almee
anaplasty	anaplastie
angelolatry	angelolatrie
remove	desculța
hemangioma	hemangiom
mite	acarian
glottal	glotal
dampen	aburi
jubilee	jubileu
minute hand	minutar
Thailand	Thailanda
Italy	Republica Italiană
New Zealand	Noua Zeelandă
apitherapy	apiterapie
apogamy	apogamie
futurologist	futurolog
emerald	smarald
hematuria	hematurie
wreath	rotocol
ambling	buiestru
recipe	rețetă
slang	argotic
keloid	cheloid
accompany	însoți
stuff	îmbuiba
stuff	îndopa
archbishop	arhiepiscop
metropolitan	mitropolit
shell	gheura
plowshare	brăzdar
furrow	brăzda
telephone number	număr de telefon
atomic number	număr atomic
diarrhea	cufuri
diarrhea	diaree
chum salmon	keta
cracked	trăsnit
thoughtless	nesocotit
saddle bow	oblânc
arteriectomy	arteriectomie
arthrography	artrografie
airy	aeros
aleuronate	aleuronat
pincushion	perniță
motoring	automobilism
limonite	limonit
no problem	nu-i nimic
sylviculturist	silvicultor
reflect	răsfrânge
reflect	oglindi
break	cufrânge
influence	înrâuri
influence	influența
riverside	riveran
raven	corbiu
brick	cărămiziu
blood-red	sângeriu
blackish	negricios
blackness	negreală
greenish	verzui
blackish	negriu
yellowish	gălbiu
bluish	albăstriu
bluish	albăstrui
warble fly	streche
Christ's thorn	păliur
banquet	banchet
degrading	degradant
frame	încadra
frame	înrăma
frame	ramă
frame	cadru
triathlon	triatlon
athrepsia	atrepsie
requiem	parasts
believed	crezut
bearded	bărbos
shaving	bărbierit
barber	bărbier
refresh	împrospăta
renew	reînnoi
enliven	înviora
repeated return	urdinare
burial	comând
meal	praznic
soldier	honved
Christian	creștinesc
ginger	ghimber
calm	îmbuna
cruelty	cruzime
uncooked	necopt
common kestrel	vindereu
kestrel	vânturel
genius	geniu
crown	încununa
lowlander	câmpean
mountaineer	muntean
field	câmpenesc
rural	țărănesc
zoning	zonare
orchard	prunărie
far	îndepărtat
chat	taifas
pair	împerechea
calorizer	calorizator
epigone	epigon
jury	juriu
urethroscopy	uretroscopie
toothpick	scobitoare
picture	poză
attitude	atitudine
held	ținut
attitude	ținută
territory	teritoriu
floare la ureche	floare la ureche
brotherliness	frăție
fraternize	înfrăți
beechwood	făget
maker	făcător
benefactor	binefăcător
malefactor	răufăcător
omnivore	omnivor
bon appétit	poftă bună
blood clot	cheag sangvin
blood clot	cheag de sânge
goats	căpresc
cyperus	căprișor
hazel	căprui
coffee	cafeniu
shelter	căprăreață
turner	strungar
gap	strungăreață
plane	rindea
plane	fățui
plane	fățuitor
smooth	netezi
Australian	australian
dental	dentar
coat hanger	umeraș
nanomelia	nanomelie
necrotomy	necrotomie
nephrography	nefrografie
immortal	nemuritor
mortal	muritor
man-eater	antropofag
parallel	paralel
agriculture	agricultură
carpenter	dulgher
darnel	sălbăție
discord	zâzanie
mustached	mustăcios
twinge	junghi
dagger	jungher
dagger	pumnal
nape	junghietură
victim	victimă
stable	grajd
stable	stăuină
cowherd	văcăriță
cattle	văcăreață
shelter	văcărie
herd	cireadă
neurectomy	nevrectomie
neuropathy	nevropatie
ageing	îmbătrânire
aged	îmbătrânit
thing	vechitură
old	străvechi
rag	zdreanță
darn	cârpitură
Bulgarian	șcheau
centimetre	centimetru
nomography	nomografie
cool	răcori
tourism	turism
department	departament
chest	pieptos
vest	pieptar
motion	moțiune
relieve	ușura
humaneness	omenie
childhood	copilărie
babyhood	pruncie
polyglot	poliglot
crocodile	crocodil
artichoke	anghinare
house	gospodărie
marriage	căsnicie
domestic	casnic
ophiolatry	ofiolatrie
oligocythemia	oligocitemie
farm	crescătorie
onychia	onichie
unbaptized	nebotezat
Epiphany	Bobotează
monster	neom
veracious	veridic
Atlantic	atlantic
smoke	fumuriu
inflate	înfumura
strut one's stuff	împăuna
found	întemeia
blue whale	balenă albastră
humpback whale	balenă cu cocoașă
monotreme	monotrem
monotreme	monotremă
bifurcation	furcătură
pitchfork	furcea
rowlock	furchet
bifurcate	înfurci
wild boar	porc mistreț
carriage	dric
peak	pisc
prow	proră
live	viețui
amazed	uluit
fertile	fertil
Plexiglas	plexiglas
organogeny	organogenie
oronymy	oronimie
amphibious	amfibiu
amphibian	batracian
salamander	salamandră
salmon	somon
perch	biban
grey mullet	chefal
cyclostome	ciclostom
sea horse	căluț de mare
common shrew	chițcan
squeak	chițăi
panther	panteră
ostealgia	ostealgie
ovariotomy	ovariotomie
carapace	țestos
tortoise	țestoasă
yacht	iaht
wisent	zimbru
evening	însera
nightfall	înserare
night	înnopta
sulfate	sulfat
monotheist	monoteist
rue	virnanț
walrus	morsă
sperm whale	cașalot
serous	seric
swarm	viermui
bustle	forfoti
testimony	mărturie
flour	înfăina
mildew	făinare
yellow	îngălbeni
