perquisite	gratis
spontaneously	samorzutnie
beat	napierdalać
absorb	absorbować
money	pieniężny
own goal	samozaoranie
color blindness	daltonizm
explain	tłumaczyć jak krowie na rowie
Java	Jawa
active	aktywny
hybrid	żubroń
annul	anulować
chase	gonić
Vistula	wiślany
sok	marchewkowy
marsupial	torbacz
trumpeter	trębacz
distract	rozproszyć
distract	rozpraszać
compile	kompilować
compile	skompilować
gaffe	przypał
kennel	psiarnia
scoundrel	psubrat
wstrząs mózg	wstrząs mózgu
injection	zastrzyk
sex up	wylaszczyć
cargo van	dostawczak
reform school	poprawczak
prison yard	spacerniak
fad	krzyk mody
foundation	fundacja
study	gabinet
staff	redakcja
Slavic studies	slawistyczny
storm	sztorm
highlighter	zakreślacz
fountain pen	wieczne pióro
nib	stalówka
ołówek automatyczny	ołówek automatyczny
stylus	rysik
alpine chough	wieszczyk
coelenterate	jamochłon
cnidarian	parzydełkowiec
protozoan	pierwotniak
slime mold	śluzowiec
do it yourself	majsterkowanie
DIY	majsterkować
flatworm	płaziniec
cnidocyte	parzydełko
promotion	promocja
dugout	czółno
kitten	kociątko
ratchet	terkotka
swimmer	pływak
Facebook fan page	funpag
funny	lolcontent
dope	domieszkować
stir	mieszać
give birth	rodzić
bearing	łożysko
fuse	bezpiecznik
burden	obciążenie
akceleracja	akcelerometr
airspeed indicator	prędkościomierz
Ho Chi Minh City	Sajgon
commotion	sajgon
whim	zachcianka
discriminate	dyskryminować
discern	rozróżniać
discern	rozróżnić
disunite	poróżnić
very	wielce
slime	maź
inside	wnętrze
home decoration	wnętrzarski
fistula	przetoka
boast	chełpić
milling machine	frezarka
seam	szew
stitch	ścieg
plateau	płaskowyż
graf spójny	graf spójny
przeszukiwanie wszerz	przeszukiwanie wszerz
spanning tree	drzewo rozpinające
fuck	poruchać
newspaper	gadzinówka
nie mój cyrk	nie mój cyrk, nie moje małpy
melanoma	czerniak
vine	pnącze
miscarry	poronić
poorly thought out	poroniony
psoriasis	łuszczyca
journal	dziennik
carburetor	gaźnik
clash cymbal	czynel
headline	nagłówek
head	głowica
bandit	zbójca
defraud	wyłudzić
defraud	wyłudzać
reinforced concrete	żelazobeton
reinforced concrete	żelbetowy
mish-mash	groch z kapustą
trial and error	metoda prób i błędów
engraving	rycina
booklet	broszura
scale model	makieta
outdo	uprzedzić
carnivore	mięsożerca
herbivore	roślinożerca
omnivorous	wszystkożerny
insectivorous	owadożerny
sen zimowy	sen zimowy
outdo	uprzedzać
blow	dąć
read habitually	czytywać
feast	wyżerka
miser	sknera
video game adaptation	egranizacja
film adaptation	ekranizacja
leadership	przywództwo
stoned	naćpany
limousine	limuzyna
acanna	waćpan
nobility	waszmość
riot	zamieszki
jeśli nie wiadomo	jeśli nie wiadomo, o co chodzi, to chodzi o pieniądze
skepticism	sceptycyzm
decorative motif	dekor
hack	niedorzecznik
crumple	gnieść
International Phonetic Alphabet	międzynarodowy alfabet fonetyczny
streak	smuga
archeological investigation	wykopalisko
parvenu	parweniusz
brew	warka
overhead line	trakcyjny
sexual	kosmaty
collection	kolekcja
alcoholic	alkoholiczka
witch-hunt	polowanie na czarownice
hefty	wałówka
appetite comes with eating	apetyt rośnie w miarę jedzenia
hop	kicać
lagomorph	zajęczak
theft	okazja czyni złodzieja
heart	pikawa
heart	pikawka
kredyt hipoteczny	kredyt hipoteczny
payday loan	chwilówka
installment loan	kredyt
kredyt walutowy	kredyt walutowy
kredyt frankowy	kredyt frankowy
mortgage	frankowicz
vaulting	woltyżerka
PM	priv
evangelist	kaznodzieja
madman	szaleniec
ostentatious	ostentacyjny
ostentatiously	ostentacyjnie
don't look a gift horse in the mouth	darowanemu koniowi nie zagląda się w zęby
unmusical	słoń na ucho nadepnął
forge	fałszować
forge	sfałszować
counterfeit	fałszywka
knockoff	podróbka
adapter	rozgałęźnik
głuchy jak pień	głuchy jak pień
ślepy jak kret	ślepy jak kret
blissful	błogi
lush	bujny
enjambment	przerzutnia
immunity	immunitet
Jehovah's Witness	jehowiec
school	dyrekcja
occur	występować
nastąpić na odcisk	nastąpić na odcisk
hit the gas	gaz do dechy
pański	pańskie oko konia tuczy
maternity ward	porodówka
atheist	ateusz
drivel	wypociny
insinuate	insynuować
insinuate	zainsynuować
antagonise	antagonizować
antagonise	zantagonizować
hysteresis	histereza
Le Chatelier's principle	reguła przekory
legal person	osoba prawna
clearing	przesieka
sack	złupić
sack	łupić
apostle	apostoł
unfilial	wyrodny
Polish diaspora	polonijny
campsite	kemping
unlucky	pechowiec
moggy	dachowiec
bracelet	bransoletka
bracelet	bransoleta
table saw	krajzega
plane	hebel
sludge	szlam
courtyard	dziedziniec
Hail Mary	zdrowaśka
slap	klepać
moose	klępa
author	autorski
arête	grań
rainwater	deszczówka
board game	planszówka
big cheese	gruba ryba
na święty nigdy	na święty nigdy
live meat animal	żywiec
Poland	Żywiec
filthy rich	burżuj
denatured alcohol	denaturat
unexpected	wyskoczyć jak filip z konopi
duży fiat	duży fiat
mały fiat	mały fiat
obsession	obsesja
obsessive	obsesyjny
bum	żul
obsessively	obsesyjnie
unfavorable	niekorzystny
nowhere	znikąd
angle grinder	diaks
lose one's mind	ocipieć
matter	na punkcie
violence	piąchopiryna
misplaced	diabeł nakrył ogonem
diabeł ogon	diabeł ogonem nakrył
cover	nakryć
po grób	po grób
ecstasy tablet	grochy
flip side	druga strona medalu
money	kokosy
bowstring	cięciwa
kurgan	kurhan
bend	zagiąć
bend	zaginać
lascivious	frywolny
score	zaruchać
jak tam	jak tam
poverty	zausz firmę
bloodbath	rozpierducha
cinder	zgliszcze
steal	ukraść
krowa	krowa, która dużo ryczy, mało mleka daje
the dogs bark, but the caravan goes on	psy szczekają, karawana jedzie dalej
the dogs bark, but the caravan goes on	psy szczekają, karawana idzie dalej
impertinence	hardość
pompous	górnolotny
Bellis	stokrotka
Vistula	Targówek
trade fair	targi
suwak logarytmiczny	suwak logarytmiczny
stack	sterta
polyline	łamana
persistent	ciągły
vomit	wymiociny
prąd zmienny	prąd zmienny
prąd stały	prąd stały
invite	zaprosić
inhumation	pochówek
łykać jak pelikan	łykać jak pelikan
log	kłoda
martensite	martenzyt
flux	topnik
solder	lutować
soldering iron	lutownica
disgrace	zakała
sacrifice	ofiarować
anorexia	jadłowstręt
anorexia nervosa	anoreksja
nobility	waść
quickly	na szybkości
mock	śmieszkować
funny	śmieszek
useful	przydatny
expert witness	biegły
wasted	napruty
couple	sprzęgać
czerwona fala	czerwona fala
crap	barachło
virtuous	zacny
perfect is the enemy of good	lepsze jest wrogiem dobrego
big wig	ważniak
passion	zajawka
breasts	mieć czym oddychać
stamen	pręcik
ship	korab
chaff	plewa
nail	hufnal
nobility	mość
gazillion	pierdylion
sad	smutać
believer	wyznawca
elliptical	orbitrek
post	słupek
never mind	pal go sześć
per	na setkę
one hundred	setka
fake	lipny
shitstorm	gównoburza
kręcić lody	kręcić lody
cool story bro	a świstak siedzi i zawija je w te sreberka
tinfoil	sreberko
misty	mglisty
vodka	gorzałka
vodka	gorzelnia
energy	animusz
bottle cap	zakrętka
lime	wapno
gore	bóść
anti-vaccinationist	proepidemik
anti-vaccinationist	antyszczepionkowiec
authoritarianism	zamordyzm
nowhere dense	nigdziegęsty
dzień sznur	dzień sznura
would-be	niedoszły
journeyman	czeladnik
plug	wtyczka
lens cap	dekielek
student headwear	dekiel
pincers	obcęgi
combination pliers	kombinerki
authoritarian	zamordystyczny
authoritarianism	autorytaryzm
shingles	półpasiec
hemp	konopia
bowl	czara
tomato, tomato	jak zwał, tak zwał
sticky	lepki
pin	wyprowadzenie
gorge	parów
upland	wyż
put all one's eggs in one basket	postawić wszystko na jedną kartę
put all one's eggs in one basket	stawiać wszystko na jedną kartę
bed	wyro
bed	wyrko
any	dowolny
bet the farm	dać sobie rękę uciąć
give it a rest	dać spokój
dammit	w mordę jeża
bimbo	karyna
world's oldest profession	najstarszy zawód świata
fortochka	lufcik
thrill	dreszcz
death adder	zdradnica
deciduous	liściasty
superb parrot	barabanda
hangover	kacenjamer
starch	skrobia
consideration	wzgląd
twig	rózga
boardwalk	deptak
she-wolf	wadera
silly	głuptas
puppy	szczeniak
bogeyman	czarny lud
hutch	królikarnia
baldie	łysol
zwitterion	zwitterjon
zwitterion	jon obojnaczy
sailing ship	kliper
steak	befsztyk
aragonite	aragonit
what goes up must come down	raz na wozie, raz pod wozem
gook	wietnamiec
murderer	rezun
wallet	pugilares
West	Zachód
cast	czarować
rival	rywal
vision	wizja
cultivation	uprawa
critical	krytyczny
different	odmienny
edition	edycja
sunbed	leżak
registration	rejestracja
fraud	przekręt
chandelier	kandelabr
self	jaźń
foliate	liściowy
loose	luźny
shining	lustrzany
interstellar	międzygwiezdny
jam	konfitura
sharpener	ostrzałka
gift	darowizna
display	wyświetlać
experiment	eksperymentować
explore	badać
content	treść
strap	szelka
notification	powiadomienie
imitation	imitacja
splinter	drzazga
Sudeten	sudecki
marvellous	cudny
haunted	nawiedzony
go crazy	szaleć
faithfulness	wierność
criminality	przestępczość
defeat	klęska
piston	tłok
placekicker	kopacz
currycomb	zgrzebło
always	zawżdy
newcomer	przybysz
Janissary	janczar
hairshirt	włosienica
castaway	rozbitek
appear	pojawiać
appear	pojawić
nematode	nicień
today's	dzisiejszy
divinity	boskość
brightness	blask
whisper	szept
vampire	upiór
brittle	kruchy
Cieszyn	cieszyński
success	fuks
Katowice	katowicki
Bytom	bytomski
Mikołów	mikołowski
stir	bełtać
Zabrze	zabrzański
Mysłowice	mysłowicki
Poland	Mysłowice
Zakopane	zakopiański
Poland	Zakopane
Opole	opolski
Chorzów	chorzowski
Świętochłowice	świętochłowicki
Poland	Racibórz
Rybnik	rybnicki
comfrey	żywokost
Racibórz	raciborski
Gliwice	gliwicki
notary	notariusz
Bielsko-Biała	bielsko-bialski
flow	cieknąć
Częstochowa	częstochowski
Jasna Góra	jasnogórski
Ostrawa	ostrawski
Piła	pilski
Niepokalanów	niepokalanowski
Eucharist	eucharystia
eucharistic	eucharystyczny
lively	żywotny
peg	czop
prawdziwy	prawdziwych przyjaciół poznaje się w biedzie
berry	borówka
indeclinable	Antas
tinge	odcień
painting en plein air	plener
harvest	plon
Kurpie	Kurp
Fusarium wilt	fuzarioza
pen drive	pendrive
plower	oracz
canonize	kanonizować
fortress	twierdza
indeclinable	Cierkosz
indeclinable	Cierkos
sea cucumber	strzykwa
antibody	przeciwciało
light	światłość
vanity	marność
Judas Iscariot	Judasz
dog	Azor
German	poniemiecki
thanks	dzięks
sandbox	piaskownica
audition	przesłuchanie
victory	wiktoria
womanizer	pies na baby
freezing cold	zimno jak w psiarni
archdiocese	Gniezno
annelid	pierścienica
indeclinable	Rok
both	oboje
Jablunkov	Jabłonków
harsh	bezwzględny
-lite	-lit
walk	spacerować
hieroglyph	hieroglif
topographer	topograf
prey	żer
Poland	Wadowice
avoid	wymiksować
adstratum	adstrat
indeclinable	Wacław
flap	klapa
tear	śloza
vorpal	migbłystalny
anthropocentrism	antropocentryzm
diminutive	Janko
reflect	odbijać
reflect	odbić
cow	krasula
activity	działalność
witch	jędza
cannon	działko
bright	żarówiasty
lynching	lincz
tu quoque	a u was Murzynów biją
forsooth	zaiste
verily	zaiście
New Year	Nowy Rok
ultraconservative Catholic	ojciec dyrektor
wildly exaggerated	obiecywać złote góry
singer	wokalista
indeclinable	Tusk
bundle	tłumok
nanosecond	nanosekunda
flow	ciec
thicket	gęstwa
swarm	mrowie
benefit	korzystać
megalomaniac	megaloman
fall asleep	usnąć
lure	wabić
strain	cedzić
sit down	usiąść
scamper	mknąć
spurt	bluzgać
wooden bucket	bednia
fear	bojaźń
salad	ćwikła
plait	pleść
spin	prząść
draw	czerpać
buzz	brzęczeć
wail	kwilić
soil	brukać
clover	dzięcielina
wale	dęga
heal	goić
contain	zawrzeć
sober	cucić
smell	wonieć
panties	gacie
heat	grzać
killed	ginąć
guard	strzec
shear	strzyc
shake	trząść
rub	trzeć
hide	kryć
dig	ryć
cling	lgnąć
wilt	więdnąć
turn sour	kisnąć
freeze	ziębnąć
dry	schnąć
cool	stygnąć
glide	sunąć
be famous	słynąć
pass	minąć
spit	splunąć
jump	skoczyć
throw	mieść
reach	sięgnąć
spasm	skurcz
draw	garnąć
banner	chorągiew
ride	jeździć
thousand zloty	patyk
hunger	łaknąć
snowdrift	zaspa
excessive	nadmierny
relief	ulga
snare	sidło
doe	łania
tibia	piszczel
knife	nożyk
pennant	proporzec
pontificate	mądrzyć
wise	zmądrzeć
go out	gasnąć
swell	puchnąć
freeze	mrozić
bite	kąsać
piss	szczać
lash out	wierzgnąć
back	grzbiet
gudgeon	kiełb
incense	kadzidło
hummock	kępina
pimple	krosta
cowlick	kosmyk
fount	krynica
caw	krakać
gyrfalcon	krzeczot
round	krągły
stocky	krępy
slice of bread	kromka
weaving frame	krosno
raise dust	kurzyć
syphilis	kiła
boil	kipieć
scold	łajać
traipse	łazić
loins	lędźwie
paste	lepić
ploughshare	lemiesz
thicket	łoza
lay out	łożyć
hull	łuskać
decorticate	łuszczyć
kneel down	klękać
in vino veritas	w winie prawda
embers	perzyna
auger	świder
sink	grzęznąć
thunder	grzmieć
lose	gubić
hubbub	gwar
membrane	błona
err	błądzić
drum	bębnić
tree hollow	barć
fade	blaknąć
large pasture	błonie
log	bierwiono
swell	obrzęknąć
rave	bredzić
dawnlight	brzask
wade	brodzić
raw	surowy
cool	studzić
catch up	ścignąć
spin	snuć
stink	śmierdzieć
sniff	siąknąć
plant	sadzić
reach	sięgać
sleeping place	spanie
put on	założyć
die	mrzeć
kill slowly in a cruel way	morzyć
stir	mącić
grow	róść
botfly	giez
opinion	widzimisię
evolutionism	kreacjonizm
well-kept	chędogi
attack	szturm
indeclinable	Okazaki
little boy	chłopczyk
midterm exam	kolokwium
Christmas	gody
puff up	nadymać
summer	latem
seem	jawić
lamb	baranek
lustful	wyuzdany
na dwa bat	na dwa baty
icterine warbler	zaganiacz
delight	frajda
sheep	baś
snow groomer	ratrak
lame	chromy
stramineous	płowy
periosteum	okostna
muddy	błotnisty
pour in	wlewać
broke	spłukany
seraphic	seraficki
seraphic	seraficzny
perish	zginąć
criticism	wytyk
cast	odlew
horseshoe	podkówka
accordionist	akordeonista
accordionist	akordeonistka
ambassadress	ambasadorka
Sejm	posłanka
Member of Parliament	parlamentarzystka
Member of Parliament	parlamentarzysta
sailing	żeglowanie
sailor	żeglarka
acrobat	akrobatka
activist	aktywistka
activist	działaczka
examine thoroughly	przyjrzeć
cravat	krawatka
vixen	liszka
apparently	najwyraźniej
child	dzieciak
stream pool	ploso
beseech	błagać
run away	odbiegać
expert	fachura
province	prowincja
tuber	bulwa
bulbil	bulwka
opposite	naprzeciwko
heresy	herezja
phonetician	fonetyczka
kropla	kropla, która przelała czarę
chalice	kielich
excuse	wymówka
antler	poroże
die	wykitować
preservative	konserwant
crib lizard	gówniak
vaseline	wazelina
hostess	gospodyni
breathe	ziać
critter	futrzak
nautilus	łodzik
cuttlefish	mątwa
life	żywot
haste	pośpiech
shoot	strzelić
lust	żądza
Isaiah	Izajasz
Zechariah	Zachariasz
lift	dźwignąć
lift	dźwigać
vessel	łagiew
burn	żec
burn	gorzeć
remain	pozostawać
remain	pozostać
lie	łeż
canonization	kanonizacja
beatification	beatyfikacja
press	tłoczyć
habit	nawyk
chop	rąbać
prick	kłuć
lead	wodzić
hew	ciosać
smoulder	tleć
lug	targać
thaw	tajać
hide	taić
cuddle	tulić
gain weight	tyć
fattened	tuczny
stout	tęgi
against	wobec
hold	dzierżyć
claimant	pretendent
call	zwać
rock	chwiać
emerge	wychynąć
bend	zakręt
początek	pochodzenie
gill	skrzele
smear	mazać
tantalize	mamić
allure	nęcić
rule	władać
estate	włość
drill	wiercić
drill bit	wiertło
play	gąść
sulk	dąsać
crawl	pełzać
jess	pęto
rush	pędzić
squeak	piszczeć
climb	piąć
rope	powróz
skid	płoza
dust	pył
smell	wąchać
pit	wądół
comedo	wągier
chug	sapać
stammer	jąkać
gluttony	łakomstwo
greedy	łakomy
smoke	wędzić
warp	osnowa
greedy	łasy
eager	żądny
best man	drużba
turf	darń
surprise	dziwić
unstitch	pruć
unstitch	próć
make	czynić
wither	czeznąć
incense	kadzić
soak	moczyć
spool	motać
pass by	mijać
carp	karpi
soften	mięknąć
wave	machać
disgust	mierzić
blink	migać
vanish	niknąć
aboveground	nać
digest	trawić
hang	wisieć
get used	przywyknąć
mainstay	ostoja
discovered	odkryty
knead	miesić
lifelessness	martwota
miserable	marny
anvil	kowadło
come out	wyjrzeć
walk	pochodzić
trifle	drobiazg
particle	drobina
crumble	drobić
crochet	dziergać
irritate	jątrzyć
bauble	cacko
she-devil	diablica
flowerpot	donica
kneading trough	dzieża
warp	paczyć
drag	włóczyć
singe	smalić
finger	parst
thimble	naparstek
overthrow	obalić
drag	ciągać
squander	szastać
stripe	pręga
ribbon	wstęga
weapon	oręż
armed	orężny
pickaxe	oskard
farmer	rataj
romp	hasać
romp	broić
craze	szał
firestriker	krzesiwo
spur	ostroga
club	maczuga
gawk	gamoń
clumsy person	gamajda
spot	cętka
temptation	pokusa
tempter	kusiciel
sniff	węszyć
delude	łudzić
jostle	trącić
drip	kapać
repent	kajać
colostrum	młodziwo
knot	sęk
milkmaid	dojarka
milch	dojny
creditor	wierzyciel
microfilm	mikrofilm
jewel	klejnot
hot water bottle	termofor
morning	ranek
lair	barłóg
cieśla	ciosła
hurry	śpieszyć
delouse	iskać
seize	jąć
disorder	rozstrój
knit	dziać
remainder	ostatek
express bus	pospieszny
skein	motek
spool	szpula
reel	kołowrotek
windlass	kołowrót
circle	grono
bushing	tuleja
helix	ślimacznica
helix	helisa
swirl	wirować
insult	obelga
myriad	bezlik
skipping rope	skakanka
scooter	hulajnoga
believer	wierzący
chrism	krzyżmo
short-tempered	piekielnik
deceased	zmarły
perfume	pachnidło
indeclinable	Juras
glow	poświata
bedroom	jebadło
turbid	mętny
disturber	mąciciel
get stuck	więznąć
unspun fibre	kądziel
spinnable	przędny
yarn	przędziwo
shroud	całun
bind together	spinać
fastener	spinka
chill	ziąb
chill	ziębić
edema	obrzęk
swelling	opuchlizna
shed	ronić
rich person	bogacz
bearded man	brodacz
horned	rogaty
padlock	kłódka
wise	mądrzeć
boot	obuć
down payment	wkład własny
advance	zaliczka
late	świętej pamięci
broiler chicken	brojler
threat	groźba
spade	rydel
lure	wabik
vat	stągiew
belch	buchać
colander	cedzak
colander	cedzidło
know thyself	poznaj samego siebie
burin	rylec
corncockle	kąkol
sower	siewca
sowing	siejba
seed	nasiono
seeder	siewnik
reaper	żniwiarz
reaper	żeniec
mowing	kośba
mowing time	sianokosy
collapse	runąć
move	ruszyć
horizon	widnokrąg
horizon	nieboskłon
sly	chytry
cunning	chytrość
mow	kosić
snath	kosisko
swath	pokos
reaps crops	kosiarz
donkey foal	oślę
she-ass	oślica
donkey meat	oślina
fango	borowina
accuse	skarżyć
grumble	sarkać
supervisor	nadzorca
overview	przegląd
oversee	nadzorować
personification	kostucha
headquarters	siedziba
peek	zerkać
seat	siedzenie
torment	dręczyć
numb	drętwy
blow one's nose	smarkać
grunt	charkać
sputter	parskać
slam	trzaskać
callow	smarkaty
bother	trapić
draw	dobyć
stifle	dławić
field	ściernisko
weather loach	piskorz
travel	pąć
sic	szczuć
call	zew
mamić	omam
rump	kuper
startle	płoszyć
panic	popłoch
smear campaign	nagonka
stem	trzon
stone	pestka
distill	sączyć
exterminate	trzebić
roll	toczyć
stalk	badyl
rusty	rdzawy
ruddy	rumiany
fair	rusy
saffron milk cap	rydz
wicket	furtka
span	przęsło
gap	szczerba
growl	warczeć
creak	skrzypieć
Low Countries	Niderlandy
bottom	spód
hollow	drążyć
pike	dzida
database	baza danych
soldier	żołd
Siemianowice Śląskie	siemianowicki
cope	radzić sobie
roar	ryczeć
gnome	skrzat
typically	typowo
libertarianism	libertarianizm
all cats are grey in the dark	w nocy wszystkie koty są czarne
spy	szpiegować
master	włodarz
knifemaker	nożownik
seed	zalążek
couple	sprząc
gładki	wiotchy
atlas	atlant
binder	powrósło
black ice	gołoledź
tuft	kłak
wisp	wiecheć
shred	strzęp
spectre	widmo
bow	łęk
village	wioska
flabby	wiotki
indeclinable	Krefft
bristles	szczecina
Earthling	Ziemianin
dugout	ziemianka
earthly	ziemski
demand	popyt
supply	podaż
indecision	rozterka
defect	usterka
jut	sterczeć
smegma	mastka
stud	ćwiek
stand	stoisko
stall	stragan
hub	piasta
frogman	płetwonurek
Setaria italica	mohar
subdivision	osiedle
ice ax	czekan
indeclinable	Babis
basket	koszyk
tile-stove setter	zdun
heir	dziedzic
ancestress	przodkini
front	przód
childbed	połóg
concubine	nałożnica
cunt	piczka
shrink	kurczyć
fool	kiep
attestation	atest
time	wrzemię
provider	żywiciel
scout	harcerz
gosling	gąsię
peg	kołek
winnowing fan	wiejadło
lime	limonkowy
flogging	chłosta
cul-de-sac	ślepy zaułek
bicycle kick	przewrotka
crafty	cwany
daremnik	daremny
two-faced	dwulicowy
sawmill	tartak
invention	wynalazek
silence	milczenie
poor thing pauper	biedak
divine	wróżyć
divination	wróżba
cut	rzezać
squire	giermek
spray	pryskać
silence is golden	milczenie jest złotem
bust	popiersie
sorcerer	czarnoksiężnik
powerful	sążny
extreme	jebutny
nude	cielisty
pixelation	pikseloza
landscape painting	landszaft
news	nowina
speech is silver, silence is golden	mowa jest srebrem, a milczenie złotem
curlew	kulig
roast	prażyć
cripple	kaleka
pannier	sakwa
easy come, easy go	łatwo przyszło, łatwo poszło
clothes don't make the man	nie szata zdobi człowieka
włosy	tycjanowski
goldish	złotorudy
surplice	komża
surplice	komeżka
altar girl	ministrantka
feeding ground	żerowisko
dungeon	ciemnica
rebellious	krnąbrny
crud	tandeta
crappy	tandetny
homo	homo niewiadomo
recon	zwiad
announcement	zapowiedź
prophecy	przepowiednia
visible	widomy
niche	wnęka
rye	reż
clay pot	trzop
unity	jedność
voyage	wojaż
Dantesque	dantejski
indeclinable	Kizior
tribute	danina
sit down	siąść
clean up	oporządzić
fart	bździć
pluck	skubać
den	legowisko
mediator	rozjemca
truce	rozejm
Poland	Skoczów
twelve-year-old	dwunastoletni
capacity	pojemność
small	drobny
revile	lżyć
leader	rynna
eagle	orlica
eaglet	orlę
bush	kierz
watch	wachta
last year	łoni
torch	łuczywo
similarity	podobieństwo
corner	osaczyć
generous	szczodry
wine	winiacz
slivovitz	śliwowica
mojito	modżajto
rotten wood	próchno
fossil	skamielina
Polish rabble	polactwo
fatherhood	ojcostwo
anti-choicer	zygotarianin
assassination	sekta smoleńska
piece of cake	łatwizna
scream	wrzask
whine	smęcić
poor	biedota
poor thing	biedactwo
kitten	kiciuś
dugout	dłubanka
exile	wygnanie
fuckable	ruchable
taunt	nie strasz, bo się zesrasz
remorse	moralniak
snitch	kablować
stray	przybłęda
defective law	bubel prawny
parity	parytet
patrician	patrycjusz
Juno	Junona
homemaker	kura domowa
shorty	knypek
shoddily	na odwal się
emotionless	beznamiętny
unbiased	bezstronny
commune	Lądek
bandit	rozbójnik
thug	rzezimieszek
fruit spread	powidło
breathalyzer	alkomat
arrestee	aresztant
perky	dziarski
alleged	rzekomy
półtorak	półtorak
dish	tłukno
saying	powiedzenie
threshing floor	klepisko
indeclinable	Gottlieb
loop	pętelka
shepherd	juhas
Karpaty	bacówka
look	baczyć
Białystok	białostocki
meeting	posiedzenie
poaching	kłusownictwo
shaped charge	ładunek kumulacyjny
trinitrotoluene	trotyl
cultivar	antonówka
comparison website	porównywarka
godless	bezbożnik
explosive	materiał wybuchowy
primer	spłonka
ammunition	amunicja
ugly	brzydula
woodcut	drzeworyt
linocut	linoryt
tip of the iceberg	wierzchołek góry lodowej
pour down the drain	wyrzucić w błoto
summit	wierzchołek
scoundrel	szubrawca
loser	spierdolina
slut	dupodajka
cocksucker	lodziara
feminazi	feminazistka
cake	zakalec
modesty	skromność
bender	balanga
warranty	rękojmia
courtyard	podwórze
courtyard	podwórko
halfdead	półżywy
diaphragm	przepona
snowshoe	rakieta śnieżna
distant	odległy
contortion	wygibas
loser	spierdon
weakling	suchoklates
goodness	dobroć
caress	pieścić
formerly	dawniej
bay window	wykusz
introduce	przedstawiać
clove	ząbek
censer	kadzielnica
wafelek	wafelki
wafel	wafelek
library	książnica
collection	księgozbiór
bookseller	księgarz
anthropoid	małpolud
gate	wierzeje
burgher	mieszczanin
fair	jarmark
wild	dziko
dog collar	obroża
rickets	krzywica
curvature	krzywizna
princess	księżna
abbess	ksieni
rafter	krokiew
doorkeeper	odźwierny
present	obecny
beechmast	bukiew
carpet	kobierzec
barrel	lufa
spectator	widz
specter	widziadło
diminutive	Przemek
musk	piżmo
crossbowman	kusznik
crossbow	samostrzał
playpen	kojec
fertility	płodność
ammunition	strzeliwo
rough	przaśny
brook	strumyk
sacrificial	ofiarny
nomad	koczownik
vagrant	włóczęga
lynching	samosąd
wipe	wycierać
squeeze	ściskać
swell	pęcznieć
ripper	rozpruwacz
samara	skrzydlak
lionfish	skrzydlica
pterygium	skrzydlik
pattern	wzorzec
cooling coil	chłodnica
walk-in freezer	chłodnia
coulter	radlica
frail	rachityczny
depth	głębia
babbitt	filister
hearth	palenisko
blowtorch	palnik
combustible	palny
pestle	tłuczek
mattock	graca
riveter	nitownica
hatchet	toporek
straightener	prostownica
scraper	skrobak
scrape	skrobać
pliers	szczypce
chive	szczypior
pinch	szczypta
pinch	szczypać
beer brewer	piwowar
paintbrush	pędzel
recruit	werbować
recruitment	werbunek
recruiter	werbownik
stroll	przechadzka
anchor plate	kotew
barefoot	bosak
Armillaria	opieńka
vault	sklepienie
sceptre	berło
prayer book	modlitewnik
trident	trójząb
tomb	grobowiec
gravestone	nagrobek
bury	grześć
counterfeit	podrabiać
extortion	haracz
rotate	obracać
vengeful	mściwy
avenge	mścić
vengefulness	mściwość
stab	dźgać
heart	serduszko
pericardium	osierdzie
chutney	gąszcz
memorable	pamiętny
apple does not fall far from the tree	niedaleko pada jabłko od jabłoni
dawn	dnieć
scrap	skrawek
cutter	krojczy
transmitter	nadajnik
ally	aliant
confer	nadawać
soap dish	mydelniczka
soap	mydlić
support	wspornik
wringer	wyżymaczka
assistance	wsparcie
breeding	chów
breed	hodować
lithiasis	kamica
quarry	kamieniołom
stoneware	kamionka
stony	kamienisty
sheet	płachta
leprechaun	krasnoludek
large	drągal
purchase	kupno
acquisition	nabycie
acquire	nabywać
purchaser	nabywca
frame	oprawiać
binding	oprawa
torturer	oprawca
decrease	ubywać
decrease	ubytek
limpet	skałoczep
rocky	skalisty
rock	skalny
tight	szczelny
bid farewell	żegnać
bedding	ściółka
bedding	pościel
stroboscope	stroboskop
carriage	karoca
head	sołtys
weirdo	dziwak
freak	dziwadło
botcher	fuszer
generator	prądotwórczy
fence	ogradzać
gardener	ogrodniczka
hypersalivation	ślinotok
bond	spajać
binder	spoiwo
weld	spawać
welding machine	spawarka
sew-on badge	naszywka
sew on	naszywać
indeclinable	Dudek
indeclinable	Sobkowicz
indeclinable	Kamczyk
Wróblewski	Wróblewska
indeclinable	Matysik
indeclinable	Dereń
Paliński	Palińska
indeclinable	Antończyk
Pakulski	Pakulska
indeclinable	Konsek
indeclinable	Mazurek
indeclinable	Daleszczyk
indeclinable	Balcerzak
Wiankowski	Wiankowska
Siwiński	Siwińska
still waters run deep	cicha woda brzegi rwie
Duckburg	Kaczogród
Duckburgian	kaczogrodzki
wart	brodawka
wart	kurzajka
shipping	żegluga
Purgatory	czyściec
harness	zaprzęgać
tangle	plątać
tousle	czochrać
holder	posiadacz
estate	posiadłość
hydrocephalus	wodogłowie
providence	opatrzność
forethought	przezorność
dressing	opatrunek
ligament	więzadło
bundle	wiązka
doormat	popychadło
guide bar	wodzidło
drive	spędzić
alien	obcokrajowiec
