encyclopedia	encyclopaedia
abbey	aibey
Berwickshire	Aibey St Bathans
tantrum	tirrivee
strike	whank
tree	plaek
granary	girnel
portmanteau	pockmanty
roughness	rochness
food	scaff
auk	tammy-norie
spendthrift	wastegood
game	neivie-nick-nack
upset	coup the cran
stealthily	stowlins
sloe	slae
gills	Hawick gill
since	sinsyne
stolen	stown
scorch	scouther
branch	grayn
insipid	saurless
cudgel	kebbie
notorious	notour
vagrant	rinabout
selkie	selkie fowk
sibling	sutchkin
spout	stroup
striped	pirnie
sloven	hachel
room	scouth
blessed	seelie
wheeze	whaisle
sparge	spairge
male	silkie man
female	selkie-wife
Northern Ireland	Norlin Airlann
snatch	claught
laughing stock	outspeckle
death throe	deid-thraw
thank	bethankit
flicker	flichter
bankrupt	dyvour
elder	bourtree
graceful	gracefu
shrink	gizzen
precocious	auld-farrant
buy	coff
faith	haith
drop	meldrop
excellent	brammer
mulled wine	plottie
slant	sklent
Devil	Hornie
twist	thraw
anybody	anycunt
somebody	somecunt
give one's all	gie it laldy
tag	menchie
jellyfish	clunkertonie
whose	quhose
hired	sallie
eleven	eleiven
witchcraft	witcherie
weed	weid
nibble	moop
worn out	traiket
wheedle	cuittle
mightn't	michtna
madness	widdrim
search	sairch
cross-examine	backspeir
rabble	raible
holding	haddin
portly	gaucie
girl	queynie
daisy	cockalowrie
commotion	upsteer
tyrant	eeraster
premonition	foregeng
peevish	freksit
forgot	firyat
proper	kirsen
favour	obleegement
somewhere	somegate
fortnight	foartnicht
condition	pliskie
loup	louping-on stane
deranged	skivie
brotherhood	britherheid
dry	histie
trick	shavie
similar	seemilar
Aberdeenshire	Aiberdeenshire
access	aiccess
accessible	aiccessible
accession	aiccession
additional	aiccessor
ah	aich
ear	aiker
8th	8t
shadow	shedda
Thursday	Thorsday
drench	drouk
flight	flaught
scroggy	scroggie
hoarse	hairse
drop	drappie
unlucky	mischanter
oatmeal	white-hass
flagstone	plainstanes
crazy	doilt
barm	barmie
draggle	trachle
dirty	trachly
plunge	breenge
uproar	brainyell
darling	dautie
obstinate	thraward
acorn	aicorn
forehead	foreheid
recount	recoont
equal	eeksie-peeksie
weeping	murnin
visit	veesit
vacuum	vawcum
surety	soverty
upward	upwart
fist	neive
idle	clish-clash
translate	owerset
goods	troggin
brooklime	water-purpie
fool	hafflin
brevet	abreviat
miracle	meericle
forward roll	wilkies
plentiful	routh
forfeit	keltie
fable	fabill
stable	steeble
liberty	leeberty
conspicuous	leckerstane
cold	caulders
hilly	hillie
whooping cough	kinkhoast
ridgeling	riglan
A	A'd
erf	airf
Edinburgh	Auld Reekie
horsedealer	horse-couper
guilty	gilteous
dwelling	bydand
solder	sowther
character	chairacter
tatter	tavers
magic	weirdrie
world-famous	ert-kent
herring	traith
above	abufe
trouble	pilget
arrow	flane
hae	hae ane's ain tae dae
backwards	backlins
childhood	bairnheid
cemetery	seemetry
precentor	lettergae
grassy	gressy
unfriend	unfrend
brimstone	brunstane
tuppence	tippence
pound	poond
lowland	lalland
awmry	awmrie
screech	scriech
sup	sowp
plow	pleuch
pony	powny
goldspink	gowdspink
hen	yearock
once	yinst
yokel	yochel
coagulate	yirn
whine	yirm
yourself	yoursel
yourself	thysel
napkin	naipkin
talebearer	talepyet
bib	daidly
Irish	Eeirish
abthanery	abthainrie
sward	swaird
moorcock	muircock
moorfowl	muirfowl
jelly	jeely
neither	naither
neighbour	neebor
neighbour	neebour
neighbour	neepour
farm	fairm
mother-in-law	gudemother
father-in-law	gudefather
brother-in-law	gudebrother
foolish	gowkit
proud	paughty
heirship	heirskip
parrot	papingo
youthhead	youthheid
weakly	waikly
widow	weedow
within	inower
windlestraw	winnelstrae
ant	mooratoog
cackle	caickle
drain	cundie
maimed	mankit
young	gytling
James	Peem
become	becoom
behind	behint
as well	alsweill
ne'er-do-well	ne'er-do-weel
crowfoot	crawtae
drown	droun
wrinkle	wrunkle
midnight	midnicht
ghostly	ghaistly
thistle	thristle
wolf	wouf
goodness	gudeness
contemporary	yamal
herself	hersell
ended	aantaan
alphabet	A-B-ABS
wherefore	wharfrae
behind	aback o'
weakly	abble
board	A B brod
undisturbed	abee
tasteless	wairsh
ward	waird
eagerness	aaberness
knot	aber knot
wisp	abertet
although	abiet
ability	abilty
perhaps	yibbles
going	aboot-gaain
veering	aboot-kast
brairded	abraird
garments	abuilyiements
garments	boulyiements
thresh	awber
bargain	abuit
overhead	abuinheid
weakling	akamy
forward	forritsome
shelter	abield
over	a-bosy
whimper	nyurl
winsome	hellisom
thirst	drooth
untidy	kyufset
holding	abowing
spavined	spavied
cross-grained	abstrakalous
anyone	ilka ane
cure	aber heart cake
all right	a'richt
