foot	pie
manipulate	manipuliar
twist	endolcar
untwist	desendolcar
liver	fégadu
guy	paisanu
on the one hand	per un llau
Lastres	Llastres
Langreo	Llangréu
once upon a time	ello foi una vegada
group	grupín
kid	chavalín
Spanishize	acastellanar
fly	esnalar
tear	llárima
concert	conciertu
commemorative	conmemorativu
magnetism	magnetismu
magnetic	magnéticu
grandfather	güelu
grandmother	güela
grandfathers	güelos
grandmothers	güeles
granddaughters	ñetes
grandsons	ñetos
granddaughters	nietes
great-granddaughters	bisnietes
great-grandson	bisnietu
great-granddaughters	bisñetes
great-grandsons	bisñetos
great-grandmother	bisgüela
great-grandmothers	bisgüeles
great-grandfathers	bisgüelos
great-grandfather	bisgüelu
cousin	primu
godfather	padrín
nephew	sobrín
relation	rellación
literary	lliterariu
pictorial	pictóricu
sculptural	escultóricu
matter	asuntu
Canary Islander	canariu
Togo	Togu
Djibouti	Xibuti
Lesotho	Lesothu
Vatican	Vaticanu
your	vuesu
Rioxa	La Rioxa
trunk	tueru
ramp	rampla
boat	barcu
bubble	burbuya
noisy	ruidosu
New Mexico	Nuevu Méxicu
nationality	nacionalidá
sovereign	soberanu
monk	monxu
fixed	fixu
vow	votu
buy	mercar
require	riquir
fancy	naguar
crack	francer
anyway	sicasí
imperative	imperativu
preterite	pretéritu
pluperfect	pluscuamperfeutu
indicative	indicativu
subjunctive	suxuntivu
gerund	xerundiu
infinitive	infinitivu
participle	participiu
Estaos Xuníos d'América	EXA
wheat	trigu
tobacco	tabacu
lead	plomu
manganese	manganesu
cork	corchu
close	zarrar
bark	corteya
technology	teunoloxía
end	cabu
boat	llancha
lock	pesllera
Sella	Seya
fasten	suxetar
mill	molín
implement	preséu
toad	sapu
establishment	establecimientu
receive	acoyer
clean	llimpiu
dirty	puercu
cart	carru
scrub	estazar
drawing	dibuxu
paint	dibuxar
cold	perfríu
white	perblancu
silly	tontu
stun	atontecer
legislature	llexislatura
John	Xuan
Matthew	Matéu
Luke	Llucas
Peter	Pedru
Jesus Christ	Xesucristu
Joshua	Xosué
publish	espublizar
go up	xubir
güelga	güelga xeneral
general	xeneral
strike	güelga
cider	espicha
stepson	fiastru
lame	coxu
monastic	monacal
strike	fuelga
following	siguimientu
traffic	tráficu
sentence	condergar
totally	dafechu
day	xornada
explain	esplicar
explode	esplotar
short	curtiu
knee	rodiya
thick	gruesu
heavy	pesáu
long	llargu
kid	guaḥe
forest	viesca
seed	semiente
bone	güesu
egg	güevu
chest	pechu
breathe	alendar
turn	voltiar
full	enllenu
round	redondu
humid	húmedu
dry	secu
louse	pioyu
monkfish	pixín
Cantabrian	cantábricu
Atlantic	atlánticu
ocean	océanu
conger	cóngaru
goby	pixapu
pollock	ferrete
European pilchard	parrocha
dentex	dentón
Mediterranean	mediterraneu
Atlantic Ocean	Océanu Atlánticu
Pacific Ocean	Océanu Pacificu
Indian Ocean	Océanu Índicu
then	ehí
thin	delgáu
spouse	esposu
worm	guxán
back	llombu
fear	amedranar
fear	medrana
hit	golpiar
scratch	esgatuñar
push	emburriar
fill up	hinchir
fog	borrina
stew	pote asturianu
clam	amasuela
pancake	frixuelu
fabades	fabades asturianes
gulf	golfu
tip	postreru
spread	estender
characteristic	carauterística
baptism	bautismu
administer	alministrar
lemon	llimón
angry	enfadáu
sin	pecáu
only	namái
steep	pindiu
abstract	astrautu
trade union	sindicatu
scandium	escandiu
chromium	cromu
cobalt	cobaltu
germanium	xermaniu
arsenic	arsénicu
bromine	bromu
krypton	criptón
strontium	estronciu
yttrium	itriu
zirconium	circoniu
molybdenum	molibdenu
technetium	tecneciu
tin	estañu
antimony	antimoniu
tellurium	teluriu
iodine	yodu
tantalum	tántalu
tungsten	volframiu
platinum	platín
mercury	mercuriu
bismuth	bismutu
astatine	astatu
lanthanum	lantanu
praseodymium	praseodimiu
neodymium	neodimu
promethium	prometiu
ytterbium	iterbiu
lutetium	luteciu
einsteinium	einsteniu
mendelevium	mendeleviu
lawrencium	laurenciu
skeleton	esqueletu
muscle	músculu
biological	biolóxicu
bee	abeya
mosquito	mosquitu
hippopotamus	hipopótamu
clean	llimpiar
historic	históricu
councillor	conseyeru
diesel	galipote
light	llixeru
helicopter	helicópteru
heptagonal	heptágonu
hexahedron	hexaedru
hexagon	hexágonu
rectangle	rectángulu
circle	círculu
parallelogram	paralelogramu
convulsion	convulsión
hemisphere	hemisferiu
size	tamañu
dinosaur	dinosauriu
political	políticu
spherical	esféricu
characteristic	carauterísticu
secret	secretu
Armenian	armeniu
silo	silu
planetary	planetariu
practice	prauticar
bald	calvu
smile	sonrir
microscope	microscopiu
microscopic	microscópicu
optician	ópticu
drunk	borrachu
small	perpequeñu
catch up	algamar
age	edá
per	pembaxo
down	embaxo
since	desque
brown	pardu
darkness	escuridá
philosophical	filosóficu
obvious	obviu
thought	pensamientu
calendar	calendariu
radioactive	radioactivu
meteor	meteoru
phenomenon	fenómenu
extraordinary	estraordinariu
ordinary	ordinariu
atmospheric	atmosféricu
incorrect	incorreutu
arbitrary	arbitrariu
legal	llegal
atomic	atómicu
subatomic	subatómicu
danger	peligru
dangerous	peligrosu
loyal	lleal
disloyal	deslleal
ant	formigón
polyhedric	poliédricu
compact	compautu
biologist	biólogu
psychological	sicolóxicu
psychologist	sicólogu
Delhi	Nueva Delhi
method	métodu
Olympic	olímpicu
sporting	deportivu
BC	edC
often	davezu
mistake	equivocu
period	periodu
due to	pola mor de
although	magar que
start	entamu
both	dambos
next	viniente
cycling	ciclismu
mountaineering	montañismu
milk	llecheru
milkmaid	llechera
plant	llantar
medalist	medayista
medal	medaya
gym	ximnasiu
thirtieth	trixésimu
yesterday	ayeri
triumph	trunfu
as	yá que
awful	pésimu
still	tovía
team	equipu
Serbian	serbiu
podium	podiu
feat	fazaña
admit	almitir
open up	arricar
linguistic	llingüísticu
dance	baillar
department	departamentu
nervous	nerviosu
nervous system	sistema nerviosu
nerve	nerviu
circulatory	circulatoriu
digestive	dixestivu
warn	alvertir
danger	apeligrar
year	anguaño
ready	puestu
percentage	porcentaxe
cost	costu
strange	estrañar
limit	llimitar
steel	aceru
client	veceru
flock	rebañu
sistemes	sistemes operativos
lead	dirixir
stage	escenariu
quintet	quintetu
deaf	sordu
ambiguous	ambiguu
ambiguity	ambigüedá
call	llamáu
nenguna	nengunu
goodbye	despidir
decree	decretu
them	-yos
en	nesi
superfluous	superfluu
toxic	tóxicu
poisonous	venenosu
religious	relixosu
advantageous	ventayosu
advantage	ventaya
scientific	científicu
journalistic	periodísticu
Flemish	flamencu
penguin	pingüín
encyclopedic	enciclopédicu
geologist	xeólogu
geological	xeolóxicu
Mexican	mexicanu
unicorn	unicorniu
ogre	ogru
centaur	centauru
cyclops	cíclope
griffin	grifu
harpy	harpía
pegasus	pegasu
satyr	sátiru
imaginary	imaxinariu
exist	esistir
firearm	arma de fueu
armes	armes de fueu
deaf-mute	sordomudu
telescope	telescopiu
telescopic	telescópicu
geometric	xeométricu
pentagon	pentágonu
triangle	triángulu
polygon	polígonu
castle	castiellu
astronomer	astrónomu
astronomical	astronómicu
equinox	equinocciu
piano	pianu
navel	embeligru
oesophagus	esófagu
stomach	estómagu
pharynx	farinxe
larynx	larinxe
respiratory	respiratoriu
towel	toballa
biographical	biográficu
lizard	llagartesa
telephone	teléfonu
ethnic	étnicu
unjust	inxustu
cruelty	crueldá
geographic	xeográficu
geographer	xeógrafu
acid	ácidu
sour	agriu
subjective	suxetivu
judge	xulgar
subject	suxetu
sure	ciertu
true	verdaderu
concave	cóncavu
concavity	concavidá
convex	convexu
convexity	convexidá
imperfect	imperfeutu
imperfection	imperfeición
perfection	perfeición
homage	homenaxe
pilgrimage	pelegrinaxe
dialect	dialeutu
lachrymal	llarimal
archer	arqueru
soldier	soldáu
wheelchair	siella de ruedes
sielles	sielles de ruedes
electric chair	siella llétrica
sielles	sielles llétriques
architect	arquiteutu
architecture	arquiteutura
intelligent	intelixente
enigmatic	enigmáticu
mysterious	misteriosu
explanation	esplicación
mystery	misteriu
miraculous	milagrosu
miracle	milagru
cage	xaula
technological	teunolóxicu
monster	monstruu
monstrous	monstruosu
yoke	xugu
unite	aunir
crush	mayar
rye	centén
rye	centenu
hollow	güecu
couple	pareya
head	cabezu
nucleus	nucleu
attachment	atadura
adjust	ciñir
chapel	capiella
one	ún
teito	teitu
above	enriba
brick	lladriyu
in a row	en cadena
successively	socesivamente
successive	socesivu
fit	encaxar
submission	sometimientu
manual	manuable
handle	manexar
labour	llabor
dumb	maderu
die	dadu
swelling	hinchón
detriment	perxuiciu
disgust	disgustu
bulge	bultu
infection	infeición
making	fechu
result	resultáu
unfavourable	desfavoratible
influence	influyir
influence	influyencia
faculty	facultá
effort	esfuerciu
effort	esforciar
photographic	fotográficu
photographer	fotógrafu
biographer	biógrafu
whole	enteru
intact	intautu
complete	completu
incomplete	incompletu
mallet	mazu
syringe	xeringa
lunar	llunar
octopus	pulpu
mollusc	moluscu
fantastic	fantásticu
ghost	pantasma
direct object	complementu direutu
indirect object	complementu indireutu
direct	direutu
indirect	indireutu
style	estilu
straight	reutu
surround	arrodiar
kneel	arrodiyar
transmit	tresmitir
illness	enfermedá
sick	enfermu
damaging	dañible
damage	dañu
behavior	comportamientu
desire	deséu
leprosy	llepra
contagious	contaxosu
golden	roxu
redness	roxura
racket	xaréu
virtue	virtú
damage	perxudicar
read	lleer
red	encarnáu
language	llinguaxe
concept	conceutu
mathematician	matemáticu
por aciu	aciu
through	per aciu
because of	por aciu
keyboard	tecláu
eyelid	párpagu
eyebrow	ceya
kidney	reñón
circus	circu
lamp	llámpara
belief	creyencia
bladder	vexiga
membranous	membranosu
ichthyology	ictioloxía
ichthyological	ictiolóxicu
ichthyologist	ictiólogu
contradictory	contradictoriu
no one	naide
armistice	armisticiu
aggressive	agresivu
archaeological	arqueolóxicu
archaeologist	arqueólogu
archaeology	arqueoloxía
Andorran	andorranu
Australian	australianu
Ukrainian	ucranianu
Colombian	colombianu
strange	estrañu
microorganism	microorganismu
semicircle	semicírculu
favorite	favoritu
nest	nieru
shield	escudu
fist	puñu
Cuban	cubanu
Bolivian	bolivianu
lion	lleón
complaint	quexa
drastic	drásticu
immediate	inmediatu
orange	anaranxáu
orange	naranxa
barren	ermu
challenge	retu
challenge	desafíu
meadow	prau
pasture	pradería
accomplishment	cumplimientu
regional	rexonal
choose	escoyer
on the other hand	per otru llau
judicial	xudicial
torch	llinterna
later	llueu
hasta	hasta llueu
inimical	enemigu
credible	creyible
incredible	increyible
doubt	dulda
hearing	oyíu
local	llocal
medicine	melecina
injection	inyeición
explore	esplorar
explorer	esplorador
for example	por exemplu
examine	esaminar
explosion	esplotación
strategic	estratéxicu
individual	individuu
immaterial	inmaterial
change	cambéu
never	enxamás
snow	nevicar
dwarf	nanu
dwarfism	nanismu
necessary	necesariu
necessity	necesidá
business	negociu
walnut	nozal
chestnut	castañal
criterion	criteriu
judge	xuez
judgement	xuiciu
select	seleicionar
intelligence	intelixencia
existence	esistencia
annoy	cafiar
self	autogobiernu
principality	principáu
border	llendar
border	llende
statute	estatutu
anthem	himnu
enjoy	gociar
spread	esparder
stepdaughter	fiastra
stepfather	padrastru
stepson	andáu
stepbrother	hermanastru
father-in-law	suegru
meanwhile	mientres
below	debaxo
saucepan	cazu
box	caxada
resemble	asemeyar
cob	panoya
smooth	llisu
humpback	xibarte
filter	filtriar
being	xéneru
curved	curvu
roof	teyáu
fix	iguar
clarify	aclariar
insert	inxertar
suffrage	sufraxu
procedure	procedimientu
thirtieth	trentenu
exclusive	esclusivu
ask	entrugar
active	activu
Argentinian	arxentín
lick	llambedura
duty	enfotu
Asturianism	asturianismu
resurgence	resurdimientu
kingdom	reinu
Asturian	astur
rabbit	conexu
escape	fuxida
hurriedly	apriesa
support	apoyu
clean	llimpieza
watch over	vixilar
chemical	químicu
cement	cementu
saving	aforru
saver	aforrador
health	sanidá
vanity	vanidá
sanctity	santidá
salinity	salinidá
hammer	martiellu
sale	rebaxa
lower	rebaxar
quarter	acuartiar
transfer	tresferir
cent	céntimu
hundredth	centésimu
powerful	poderosu
black hole	furacu negru
card	tarxeta
credit card	tarxeta de creitu
tarxetes	tarxetes de creitu
gardener	xardineru
Chilean	chilenu
free	lliberar
librarian	bibliotecariu
volcanic	volcánicu
begin	empecipiar
begin	emprimar
begin	aniciar
start	comienzu
start	empiezu
beginning	aniciu
jump	blincu
jump	blincar
comb	peñe
comb	peñar
defeat	vencimientu
victorious	victoriosu
triumphant	trunfante
phallic	fálicu
doll	moñeca
stubborn	neciu
disobedient	desobediente
surgical	quirúrxicu
surgeon	ciruxanu
surgery	ciruxía
fight	guerriar
fighting	guerreru
ignorant	inorante
ignorant	inorar
knot	nuedar
unknot	desanuedar
sniff	esneldar
grating	rexa
prepuce	prepuciu
millennium	mileniu
nail	clavu
trans-	tres-
scab	postiella
society	sociedá
poll	sondéu
unknown	incógnita
party	partíu
background	segundu planu
sink	afondar
viability	viabilidá
negative	negativu
dim	anubrir
bar	chigre
extraterrestrial	estraterrestre
crocodile	cocodrilu
weakness	debilidá
palace	palaciu
ankle	todiyu
university	universidá
Philippines	Filipines
philological	filolóxicu
philologist	filólogu
philology	filoloxía
hydrocarbon	hidrocarburu
atlas	atles
Christmas	Navidá
wise men	Reis Magos
Christianity	cristianismu
greenish	verdosu
end	caberu
death anniversary	cabudañu
last	últimu
near	averar
take away	desaverar
knock down	valtar
bar	chigreru
tendency	vezu
practice	práutica
lunch	xinta
lunch	xintar
sail	xina
meteorite	meteoritu
darling	queríu
vacuum cleaner	aspirador
improvement	ameyoramientu
organism	organismu
head	cabezaleru
look	güeyada
contact lens	lentilla
silky	sedosu
unexplainable	inesplicable
document	documentu
connotative	connotativu
siege	asediu
responsibility	responsabilidá
upset	alteriar
shark	escualu
typewriter	máquina d'escribir
symbol	símbolu
transcription	trescripción
liturgical	llitúrxicu
phonetic	fonéticu
remove	alloñar
legalization	llegalización
still	entá
lend	emprestar
monastic	monásticu
psychiatric	siquiátricu
deadly	mortíferu
travel	percorrer
dark	escurecer
friendship	amistá
fight	llucha
unity	unidá
safety	seguridá
lazy eye	riesgu
grayish	grisosu
grayish	agrisáu
allergic	alérxicu
allergy	alerxa
cuttlefish	xibia
traffic light	semáforu
transport	tresportar
transportable	tresportable
harvest	collecha
harvest	acollechar
urinate	mexar
wasp	aviespa
loan	empréstamu
punch	puñetazu
civil servant	funcionariu
refuse	refugar
exploration	esploración
theoretical	teóricu
search	buscu
colour blind	daltónicu
color blindness	daltonismu
harmful	dañosu
goddess	diosa
forefather	antepasáu
belch	rutiar
weak	cenciellu
cider	culín
rigid	ríxidu
agree	pautar
satiate	fartar
respond	retrucar
adopt	afiar
shiver	respigar
correction	correición
cylindrical	cilíndricu
grab	ferrar
poverty	probeza
desire	arranar
drink	beberaxu
drink	bébora
gulp	bocaráu
cognac	coñá
tea	ferviatu
liquor	llicor
sip	paparáu
soft drink	refrescu
dry	secañosu
thirst	secañu
thirsty	sedientu
champagne	xampán
juice	zume
juice	zusmiu
hunger	afamiar
feast	andorgar
mouthful	bocáu
nibble	comicar
choke	atragantar
nibble	esmordigañar
hungry	famientu
greedy	fartón
feast	fartura
hungry	golar
decontamination	descontaminación
shipyard	astilleru
memory	acordanza
stand	atril
own	propiu
gastric	gástricu
jugular	xugular
famous	famosu
cinematograph	cinematógrafu
advance	adelantu
suitable	afayadizu
expansion	espansión
all at once	darréu
anyway	de toes formas
at the same time	al empar
chapter	capítulu
post-war	posguerra
quagmire	llamuerga
mixture	entemez
mix	entemecer
illuminate	allumar
offer	ufiertar
businessman	empresariu
gradually	dapoco
build	construyir
rapidly	aína
violent	violentu
nudism	nudismu
dough	pastia
stuff	fartucar
La Mancha	manchegu
feldspar	feldespatu
find	alcontrar
scratch	tascar
before	enantes
clever	llistu
half	mitá
normality	normalidá
differentiate	dixebrar
mixture	mecedura
directly	direutamente
León	Lleón
Leonese	lleonés
suddenly	de sópitu
progressive	progresivu
due to	por mor de
birth	nacencia
then	entós
transform	tresformar
transformation	tresformación
exact	exautu
exactly	exautamente
almost	cuasique
find	afayar
place	allugar
region	rexón
listen	escuchu
in abundance	a esgaya
soak	moyar
dry	ensugar
dust	polvu
fire	llume
wet	llentu
blind	ciegu
oath	xuru
swear	xurar
party	folixa
party	folixeru
strike	rescamplar
pea	arbeyu
vegetable garden	güerta
pod	caxín
grime	roña
Mirandese	mirandés
microbiology	microbioloxía
suborder	suborde
traveller	viaxeru
cool	frescu
coastal	llitoral
average	promediu
extreme	estremu
annually	añalmente
Oviedan	uvieín
chess	axedrez
pastor	pastor alemán
failure	fracasu
joy	allegría
care	cuidáu
shit	coñu
anger	enfadu
enmity	enemistá
devil	diañu
disrespect	burllase
mocker	burllón
rib	costiella
spine	espinazu
punishment	castigu
impure	impuru
vehicle	vehículu
stick	baqueta
whistle	xiblatu
whistle	xiblar
whistle	xiblida
whistle	xiblíu
pelican	pelícanu
experimental	esperimental
offer	ufierta
tool	presea
methodology	metodoloxía
favourable	prestamosu
ideal	amañosu
delles	dellos
project	proyeutu
line	llinia
championship	campeonatu
bag	fuelle
naiad	náyade
video	vidiu
early	prexubilación
retirement	xubilación
census	padrón
population	poblacional
sun	asoleyar
institute	institutu
municipal	conceyil
clear	espeyar
mirror	espeyu
percentage	porcentax
Castile	Castiella
lock	pesllar
lock	piesllu
unlock	despesllar
parliamentary	parllamentariu
parliament	parlamentu
spy	ḥispiar
hic	ḥi
ha	ḥe
stem	retueyu
camel	camellu
sand	areña
sleep	sueñu
town	pueblu
seed	pebilla
chicken	pollu
lightning	rellámpagu
goose	gansu
deer	ciervu
deer	venáu
how are you	cómo tas
what is your name	cómo te llames
dove	palombu
carrot	cenahoria
doctor	médicu
Egypt	Exiptu
snail	cascoxu
roof	techu
parrot	papagayu
crow	cuervu
chin	barbadiella
drizzle	orbayar
drizzle	orbayu
look	esclucar
foolish	babayu
pencil sharpener	tajalápiz
reserve	acutar
grass	pación
nap	pigazu
shoulder	hombru
narrow	estrenchu
belly	banduyu
head	tiesta
sharp	afiláu
you	vosotres
gorse	toxu
drizzle	orpín
add	enantar
address with the informal T-form	tutiar
Abkhaz	abxasu
affect	afeutar
keep	caltener
canyon	canga
chrysalis	crisálida
clown	payasu
conjugate	conxugar
crab	cangrexu
daze	ablucar
dot	puntu
hell	infiernu
human	humanu
frozen	xeláu
leather	cueru
legend	lleenda
legendary	llexendariu
move	treslladar
nose	ñarra
still	quietu
rat	aguarón
ring	aniellu
sense	sentíu
snout	focicu
crush	españar
rare	raru
spoon	cuyar
square	cuadráu
square	cuadru
spear	llanza
socialism	socialismu
songbook	cancioneru
solitary	solitariu
slip	esnidiar
slip	esñidiar
slip	esnidión
slippery	esnidiu
midnight	medianueche
Christmas Eve	nuechebona
New Year's Eve	nuechevieya
perhaps	quiciabes
perhaps	quiciás
Lithuanian	lituanu
knife	cuchiellu
red fox	raposu
son-in-law	xenral
daughter-in-law	xenra
interjection	interxeición
funnel	embudu
kilogram	quilogramu
litre	llitru
centimetre	centímetru
my	míu
massage	masaxe
masseur	masaxista
millimetre	milímetru
millilitre	milillitru
bilingual	billingüe
breakfast	almuerzu
number	numberar
rub	resfregar
beautiful	guapu
beautiful	formosu
banana	plátanu
banana	bananu
flow	fluxu
Happy New Year	feliz añu nuevu
back	traseru
monolingual	monollingüe
monolingual	multillingüe
milligram	miligramu
legible	lleíble
cucumber	pepinu
variety	variedá
pillow	almuhada
flax	llinu
weaving	texíu
aqueduct	acueductu
dolphin	toliña
dolphin	llofín
cabbage	repollu
neighbour	vecín
cemetery	cementeriu
I don't understand	nun entiendo
hate	odiu
do you speak English	fales inglés
useful	sirvir
rainbow	arcu la vieya
rainbow	arcu de iris
rainbow	arcu iris
rainbow	arcu pintáu
Merry Christmas	feliz navidá
you	usté
transparent	tresparente
tourism	turismu
throat	gargüelu
touristic	turísticu
thigh	muslu
temple	vidaya
testicle	testículu
supermarket	supermercáu
steer	afalar
slug	llimiagu
sherry	xerez
sailor	marineru
robin	raitán
peach	piescu
fur	llanuxu
hairy	peludu
hay	ḥenu
universe	universu
widowed	viudu
otter	llóndriga
lentil	llenteya
devil	diablu
dew	rociu
handkerchief	pañuelu
lamb	corderu
broom	barredoriu
fir	abetu
pen	bolígrafu
hedgehog	rezcayeru
cherry	cerezal
cushion	coxín
porcupine	escurpín
porcupine	gochuspín
willow	salgueru
eggplant	berenxena
earthquake	terremotu
woodpecker	picatueru
open	abiertu
spectacles	antegüeyos
clay	arciella
youth	xuventú
badger	texón
badger	melandru
image	imaxen
beetle	escarabayu
partridge	pámpana
plum	cirigüeyu
plum	ñisu
plum	cirolal
plum	ciroleru
plum	nisal
farmer	granxeru
farmer	granxera
eyelash	pistaña
direction	direición
new year	añu nuevu
fridge	ñevera
wild boar	xabalín
wild boar	verracu
wild boar	verriacu
uterus	úteru
fear	atarrecer
dragonfly	cortanarices
dragonfly	cortañarices
evil	malváu
how much	cuántu
quail	cogorniz
quail	parpagayera
peanut	cacagüesa
peanut	cacagüés
tea	fervinchu
full	llenu
pepper	pimientu
hail	pedrisca
hail	granizu
thunder	troníu
thunder	tronada
thunder	truenu
thunder	renuberu
thunder	tronabríu
orphan	güérfanu
slave	esclavu
shoemaker	zapateru
shore	oriella
shade	solombra
shame	vergoña
tile	teya
de	Camín de Santiago
de	Edá de Bronce
de	Edá de Piedra
de	Mar de Xapón
a	a sangre frío
hazelnut	ablanal
al	al contrariu
alfabetu	alfabetu llatinu
algodón	algodón de zucre
food	alimenticiu
lessen	amenorgar
announcement	anunciu
añu	añu lluz
Atropa belladonna	belladona
belles	belles artes
bonos	bonos díes
calcañu	calcañu d'Aquiles
shell	cascu
caxa	caxa fuerte
cero	cero absolutu
chocolate	chicolateru
collect	coleicionar
contented	contentu
sharp	cuciu
de	de fechu
democracia	democracia participativa
break	descansu
worthy	dignu
choice	eleición
en	en cuanto a
en	en teoría
gray	canoxu
ferre	ferre palomberu
tool	aperiu
break	frayar
francés	francés antiguu
fusu	fusu horariu
fueyu	fueyu prietu
furacu	furacu prietu
hole	fueyu
graphic	gráficu
guerra	guerra fría
güeyu	güeyu por güeyu
abuse	abusu
left	izquierdu
llibru	llibru de testu
llingua	llingua materna
teacher	maestru
mar	mar Bermeya
tire	neumáticu
númberu	númberu romanu
nun	nun sé
nun	nun falo inglés
pexe	pexe espada
puntu	puntu y coma
por	por cientu
great	prestosu
pronome	pronome rellativu
what is that	qué ye eso
grumpy	repunu
rich	ricu
knee	rodiella
north	septentrión
drought	sequedá
ser	ser humanu
meaning	significáu
sin	sin embargu
sistema	sistema circulatoriu
parasol	sombriya
sustancia	sustancia gris
Texan	texanu
sleeplessness	velea
Venezuelan	venezolanu
jug	xarrón
xunta	xunta xeneral
ye	ye dicir
zoological	zoolóxicu
angelfish	ánxel
true thrush	ñerbatu
true thrush	nerbatu
unique	únicu
skim	deburar
Asturias	casadiella
gram	gramu
chalet	xalé
sole	llinguáu
round	arredondiáu
unlucky	abegosu
naughty	revolvín
change	camudar
prank	trastada
damage	estropiar
fidgety	bullindiegu
strengthen	sofitar
dust	povisa
ashtray	poviseru
freeze	conxelar
credit	creitu
grip	agarradera
beak	picu
bunch	ramu
temple	tenllera
face	rostru
rodent	royedor
Asturian	asturfalante
lexicographic	lexicográficu
bishop	obispu
budget	presupuestu
burial	entierru
catfish	siluru
cheek	mexella
toothpick	paliyu
colourless	incoloru
chef	cocineru
corrode	corroyer
dandruff	faílla
demon	demoniu
diary	diariu
distract	distrayer
erotic	eróticu
far	llexos
fire	fuegu
whimsical	antoxadiegu
fancy	antoxu
flock	atayu
flounder	soyu
fragile	fráxil
frog	xaronca
godson	afiáu
good evening	bones tardes
graveyard	campusantu
grumpy	rungón
guest	güéspede
holly	acebu
incense	inciensu
jaw	calláxina
jellyfish	marmoca
jellyfish	aguamala
jellyfish	veleru
jellyfish	celentereu
Jew	xudíu
lettuce	llechuga
novel	novedosu
oath	xuramentu
pilgrim	pelegrín
plow	aráu
player	xugador
drone	dron
projectile	proyeutil
reindeer	renu
shout	gritu
state	estáu
vegetable garden	güertu
omelette	tortiella
frown	ceñu
lock	candar
breastbone	esternón
Corsican	corsu
apple tree	mazanal
apple	mazanu
cross	altravesar
separate	estremar
normativize	normativizar
suggestion	suxerencia
often	dacuando
generate	xenerar
respect	respetu
perfectly	perfeutamente
admissible	almisible
record	constanza
contact	contautu
Guyana	Guayana
Azerbaijan	Azerbayán
yew	texu
legally	llegalmente
adjacent	axacente
hockey	ḥoquei
feast	fartucón
suffix	sufixar
proverb	proverbiu
puppy	perrín
cub	cachorru
accordion	acordión
bearded	barbudu
beggar	méndigu
bless	bendicir
bookseller	llibreru
corpse	cadabre
corpse	cadávere
celibate	celibatu
single	célibe
chastity	castidá
consulate	consuláu
cook	cocedor
coup	golpe d'estáu
here	cusu
pact	pactu
leek	puerru
justifiable	xustificable
injury	mancadura
hard disc	discu duru
disc	discu
gum	enxiva
gum	xenxiva
gound	llagaña
extinguisher	estintor
commerce	comerciu
pacific	pacíficu
Asturias	xiringüelu
move	xiringar
charge	truñar
Bangladesh	Bangladex
memory	recuerdu
sticky	pegañosu
anthropological	antropolóxicu
knowledge	conocimientu
complementary	complementariu
heart	corazu
town	fiesta de prau
party	festexu
party	festexar
carry out	llevar a cabu
happen	asoceder
reason	motivu
meeting	alcuentru
start	escomenzar
compangu	acompangar
enjoy	esfrutar
funny	risonderu
locality	llocalidá
next	próximu
coach	xarré
symmetrical	simétricu
exception	esceición
hopscotch	cascayu
altitude	altor
Asturias	amagüestu
flay	esfollar
chanter	punteru
abusive	abusivu
agnostic	agnósticu
xabaz	xabaz
pasture	braña
dress	cuchar
flight	vuelu
lead	mandu
nowhere	nenyures
woodpecker	picachu
argument	alderique
-idá	-dá
youth	mocedá
splash	chiscar
think	camentar
seat	asientu
Basque	vascuenciu
Basque	vascuencia
Basque	eusquéricu
shorten	embrivir
worth	valir
lousy	pioyosu
ambitious	ambiciosu
different	distintu
ambitious	escandalosu
wild	salvaxe
chant	coriar
beat up	afrellar
unblock	desbloquiar
block	bloquiar
legislative	llexislativu
American	americanu
Korean	coreanu
North Korean	norcoreanu
regime	réxime
secretary	secretariu
espionage	espionaxe
severe	severu
brotherhood	hermandá
work	furrular
collaborate	collaborar
project	proyectu
contribute	contribuyir
template	plantía
experiment	esperimentar
recommendation	encamientu
reduction	amenorgamientu
-ment	-mientu
support	sofitu
every day	a diario
walnut	ñozal
tic-tac-toe	cruciyón
slowly	selino
collection	poemariu
loaf	fogaza
Malay	malayu
count	cuentu
civil union	xunión civil
union	xunión
Sorbus	mostayo
epistemology	epistemoloxía
signpost	n'ast
dung	cuchu
massive	masivu
chickpea	garbanzu
slingshot	flonda
cloth	pañu
Paraguay	Paraguái
Uruguay	Uruguái
San Marino	San Marín
Monaco	Mónacu
Tunisia	Tunicia
Congo	Congu
link	enllaz
sanctuary	santuariu
ash tree	fresnu
farmland	llabrantíu
farming	llabra
farm	llabrar
Graeco-	Plutarcu
cider	sidreru
beginning	principiu
blink	chisgar
common bean	fréjol
visibility	visibilidá
invisibility	invisibilidá
professionalism	profesionalidá
mobility	movilidá
automatic	automáticu
specific	específicu
irresponsibility	irresponsabilidá
prestigious	prestixosu
etymological	etimolóxicu
statistician	estadísticu
abortion	albuertu
aquarium	acuariu
emblematic	emblemáticu
filthy	gochada
Asturias	Picu Urriellu
your	tuyu
methodical	metódicu
close	apurrir
semantic	semánticu
thematic	temáticu
scythe	gadañu
knife	cuchiella
shiver	aterecer
refusal	refugu
free	llibrar
freeing	llibradura
simplicity	cenciellez
kindling	estiella
firewood	lleña
apart	apartáu
drizzle	llovicar
drizzle	llovisquiar
tile	teyar
retile	reteyar
break	frañer
quail	parpayuela
