but	en
slice	skífa
widely	víða
lower	lægja
mercy	líkn
stifled	þrunginn
brooch	sylgja
brown	jarpr
Norse warrior	úlfhéðinn
shirt	serkr
draft animal	eykr
good	serka
fringe	trǫf
kelp	þari
rorqual	reyðarhvalr
rorqual	reyðr
innovation	nýjung
useful	nýtr
womb	vǫmb
moist	vǫkr
polynya	vǫk
gut	gǫrn
wrath	gremi
shake	dyja
battle	guðr
girdle	gyrðill
boar	gǫltr
screech	skrækja
arm	vápna
defeat	ófǫr
strength	þróttr
part	hlutr
mind	munr
journey	fǫr
come to	bytna
pit	pyttr
very	drjúgr
glory	tírr
woof	veptr
weave	vríða
thin	kvintr
dwarf	dyrgja
deep water	djúp
nature	eðli
opening	gluggr
sow	gyltr
boar	galti
piglet	gríss
calf	kalfr
boat	nǫkkvi
skull	hauss
groin	hrœrar
bear	hrammr
wrist	hreifi
ell	ǫln
eyelash	augabrá
eyeball	augasteinn
eye socket	augastaðr
sphere	bǫllr
rectum	endaþarmr
hair	haddr
ear	hlust
body	líkamr
body	líkhami
body	líkhamr
farmer	búandi
share	jafnaðr
your	yðarr
splint	spjalk
Skírnir	Skírnir
bedew	dǫgg
Estuary	òos
arch	klókr
belong	-lingr
thaw	þeyr
birch	bjǫrk
birchen	birkinn
birchen	birki-
birchwood	birkiviðr
bare	berbeinn
barefoot	berfœttr
mare	fylmerr
wave	uðr
wayfarer	brautingi
wayfarer	vegfarandi
way	vegferill
traveller	farandi
horse	fákr
worship	fágan
cultivator	fágandi
cultivator	fágari
worshipper	fáganarmaðr
Faroese	færeyskr
maned	faxaðr
mane	fǫxóttr
legislation	lagaskipan
improvement	lǫgrétta
girdle	gjǫrð
gird	gyrða
fenced field	gerði
fencing	gerðing
means enough	bjargaurar
payday	auradagr
standard	auralag
worldly luck	auralán
squandering	auralógan
payment	auralykt
scarcity	auraskortr
receipt	aurataka
tax	landaurar
legal money	lǫgeyrir
medium	verðaurar
value	búfjáreyrir
article	kaupeyrir
choice things	koseyrir
movable property	lausaeyrir
fine	sakeyrir
fine	sakareyrir
helpless	úmagi
money	úmagaeyrir
main army	meginherr
main power	landsmegin
leaving off	aflát
unlawfully	aflagliga
digression	afganga
day	afgǫngudagr
surplus	afgangr
constipation	abbindi
yeast	jǫstr
sword	mækir
judgement seat	dómarasæti
doomsday	dómsdagr
doomsday	dómadagr
tormentor	kveljari
day	affaradagr
carriage	burðr
intensive	afburðar
superiority	afburðr
outstanding man	afarmenni
choice	kostr
hard terms	afarkostr
fair term	afarkostalaust
pile	kǫstr
heap	kǫs
cost	kostnaðr
choice	kjǫr
work	ǫnn
contradictory testimony	andvitni
elsewhere	annarstaðar
strange	annarligr
strange	annarsligr
agricultural implements	annboð
cessation	annfriðr
anguish	angist
sorrow	angran
friendly	samligr
toilsome	annsamligr
bull	apli
jaw-bone	kjalki
ass	asnahǫfuð
jaw-bone	asnakjalki
occurrence	atburðr
eventless	atburðalauss
deep water close	atdjúp
deep close	atdjúpr
finding	fundr
proceeding	atfǫr
court	atfararþing
sentence	atfarardómr
aid	dugnaðr
assistance	atdugnaðr
egging	eggjan
egging on	ateggjan
egging on	áeggjan
anchor	atkeri
poor fellow	armingi
pitiful	armligr
partition	arfskipti
inheritor	arftaki
inheritor	arftakari
receiving	arftaka
cession	arfsal
heir	arfsalsmaðr
man	arftǫkukarl
inheritor	arftǫkumaðr
sum paid	arfkaup
fraud	arfskot
wielder	valdr
sovereign	allvaldr
sovereign	allvaldskonungr
utterly heathen	alheiðinn
attention	athyggja
acceptable	atgengiligr
attention	athugi
attentive	athugasamligr
attentive	athugasamr
attentively	athugasamliga
worthy	athugaverðr
devout person	athugamaðr
halberd	atgeirr
look	augnalag
disease	augnamein
full	eyjóttr
eye	eygr
islander	eyjamaðr
killer	banamaðr
sacrificing	blótan
heathen worshipper	blótmaðr
heathen worshipper	blótnaðr
compulsion	nauðung
someone	nauðungarmaðr
husband	nauðmaðr
election	biskupskør
election	kosningr
election	biskupskosning
episcopal	biskupligr
Allhallowmas	allraheilagramessa
Allhallowmas	allraheilagramessudagr
raven	korpr
sea	lǫgr
net laid	lǫgn
steady	stǫðugr
-y	-ugr
known	kunnigr
-y	-igr
bloody	blóðugr
ready	ferðugr
greedy	gráðugr
noble	gǫfugr
worship	gǫfga
worshipping	gǫfgan
worshipper	gǫfgari
way	gǫng
fierce	atall
chief	fylkir
draw up	fylkja
likely	vænn
generous	gjǫfull
guilty	sekr
grand	vegligr
easterly	eystri
southerly	syðri
northerly	nyrðri
inner	innri
later	hindri
aftermost	eptri
northerly	norðarri
north	norðan
outer	ýtri
lower	neðri
messenger	árr
errand	erendi
spindle	snælda
north-west	útnorðr
shovelling out	útmokstr
pool	veisa
dear	ljúfr
sorcerer	seiðberandi
heir	erfingi
kenning	Alfǫðr
Bokmål	norðrœnn
bedfellow	beðja
athwart	þverr
rolling	velting
chew	tyggva
spruce	grǫn
unload	hrjóða
drifted	fjúka
redden	rjóða
forbid	fyrirbjóða
rivet	hnjóða
strike	hníta
weld together	hnita
sneeze	hneri
cut	rísta
maple	hlynr
can	kná
maple	mǫpurr
maple	mǫsurr
elm	almr
bird cherry	heggr
aspen	ǫsp
enemy	fjándi
wood grouse	þiðurr
grove	lundr
privy	kamarr
attic	lopt
thaw	þiðna
Frank	frakkar
king	frakkakonungr
spear	frakka
Dane	danir
Swede	svíar
Sogn	sygnir
inhabitant	egðir
Irish	írar
inhabitant	háleygr
Irish	írskr
Irish tongue	írska
Norse	norrœna
German	þýðverskr
German	þýðverska
Englishman	englismaðr
block	dytta
poor beggar	stafkarl
edge	þinull
resinous fir tree	þinurr
prince	þengill
drought	þurka
codling	þyrsklingr
in heat	yxna
wonder	undr
wish	ýskja
wroth	gramr
pericardium	gollurr
adulterer	hórr
loaf	hleifr
link	hlekkr
holiday	helgr
temptation	freistni
Hebrew language	ebreska
Hebraic	ebreskr
bedew	dǫggva
thin board	brík
brook	lœkr
lever	vǫg
feathered	fiðraðr
plumage	fiðri
feathered	fjaðraðr
babble	fleipa
babble	fleipra
babble	fleipr
flitch	flikki
floor	flórr
din	dynr
gust	kylr
deep place	hylr
flower	flúr
trunk	bolr
deathblow	banahǫgg
thrust	banalag
prisoner	bandingi
bolster	beðr
prince	þjóðann
you	þínsligr
bondage	þján
thighbone	þjóleggr
serve	þéna
service	þjónkan
service	þjónan
servant	þénari
service	þénasta
unleavened	þjarfr
thawed	þiðinn
icebound	þíðr
thaw	þíðna
need	þǫrf
helping	þurfsamr
need	þurft
in need	þurftugr
useful	þurftuligr
want	þarfa
urine	þarfagangr
needful	þarfna
need	þarfnan
useful	þarfr
thickness	þykkleikr
need	þǫrfgi
bondmaid	þý
cause	œxla
frightener	œgir
rose fish	ǫgr
worse for drink	ǫlvaðr
Ash Wednesday	ǫskudagr
baked	ǫskubakaðr
degenerate person	ǫkvisi
degenerate person	aukvisi
altogether	ǫllungis
vehicle	eyki
tatter	tǫturr
tattered	tǫtrugr
loss	tǫpun
twice	tysvar
third	þriði
-fold	-faldr
twofold	tvífaldr
double	tvífalda
double breadth	tvíbreiðr
gleam	dagblik
easily upset	valtr
experience	reynd
each thing	hvatki
what then	hvattá
what is	hvaz
man	norðmaðr
Frisian	frískr
feel	þukla
ointment	smyrsl
pipe	trumba
Scania	Skáney
gruff	rámr
voice	rǫdd
fate	ørlǫg
poor	fátœkr
fox	refr
ability	atgørvi
hat	hǫttr
chink	brestr
chip	spánn
bottom	grunnr
digging	grǫptr
twig	kvistr
marten	mǫrðr
mowing	sláttr
son	sunr
skin	svǫrðr
sponge	svǫppr
ward	vǫrðr
whale	vǫgn
full	vǫkóttr
wet	vǫkna
moisture	vǫkva
moisture	vǫkvi
wolfish	ylfskr
hymn	ymni
sovereign queen	yfirdróttning
archangel	yfirengill
vanquish	yfirvinna
overcome	yfirkoma
supervision	yfirsjón
seal	ørkn
horse	drasill
buckle	hagldir
request	bœn
bird	hreiðr
Midgard	Jǫrmungandr
jaw	kjaptr
riding	jóreið
cloud	jóreykr
traveller	jórsalafari
travel	jórsalaferð
man	seggr
weregeld	þegngildi
leadership	hertogadómr
duchy	hertogadœmi
title	hertoganafn
earl	jarlborinn
earl	jarlsdóttir
earl	jarlsnafn
condition	-dómr
earldom	jarldómr
dignity	biskupsdómr
bishop	biskupsdóttir
archiepiscopal	erkibiskupligr
deacon	djákn
archdeacon	erkidjákn
archpriest	erkiprestr
glutton	etari
consuming	etall
edible	ætr
gluttony	ætni
brim	barð
beat	lýja
duel	einvígi
calf	kalfi
shorn	reyfi
drag	strita
disgrace	læging
berth	lægi
reek	eimr
ember	eimyrja
unkind	ǫfugr
fulfilment	efnd
alder	elrir
answer	andsvar
ski	ǫndurr
apple tree	apaldr
island	eyland
loose rumour	kvittr
Bifrost	Bifrǫst
trick	slœgð
kindness	mildi
they	ᚦᛅᚢ
maggot	maðkr
maggoty	maðka
maggots	maðkfullr
lean	magrligr
man	karlmaðr
manly	karlmannligr
baker	bakstrkona
woman	kvennmaðr
woman	kvennmannligr
witch	galdrakona
housemaid	heimakona
female beast	kvenndýr
kirtle	kvennkyrtill
womanly	kvennligr
wifeless	konulauss
wife	kván
wooing	kvánbœnir
marriage	kvæning
marry	kvánga
pregnant	kviðugr
juror	kviðmaðr
millstone	kvernsteinn
eye	kvernarauga
metre	kviðuháttr
ditty	kviðlingr
blow	kylfuhǫgg
blow	hǫgg
marketplace	kaupangr
Jute	jótar
flat	flatr
quicken	kvikna
living creature	kvikvendi
ewe	dilkfé
sucking lamb	dilkr
ewe	dilkær
hang	digull
composition	diktan
deafness	deyfð
deafness	deyfi
even term	jafnkominn
equally broad	jafnbreiðr
equal birth	jafnborinn
equinox	jafndœgri
-ness	-ð
sold	seldr
fame	orðstírr
anything	hvatvetna
some	einnhverr
round	umhverfis
outside	fyrir útan
in between	í milli
heavenly	himneskr
which	hvárr
either	hvárgi
wheresoever	hvargi
neither	hvárki
each	hvárrtveggi
each	hvárrtveggja
from without	útan
here	heðra
fighting condition	vígr
no man	manngi
furnish	viðan
costly	mætr
dispenser	mjǫtuðr
heiti	mjǫtviðr
battle	orrosta
Hafrsfjord	Hafrsfjǫrðr
push	dyttr
original	upphafligr
ill-prepared	vanbúinn
seen	sénn
difficult	vansénn
weakness	vanmegin
tempering	tempran
inmoderation	vantempran
jut	skaga
beauty	fegrð
stem	stafn
stump	stúfr
fewness	fæð
furtherance	farnaðr
furtherance	fǫrnuðr
clearsighted	gløggr
stingy	hnøggr
egg yolk	rauða
wise	horskr
loving	kærligr
cemetery	kirkjugarðr
goatling	kiðlingr
chicken	kjúklingr
exchange	býti
supper	náttverðr
letter	bókstafr
grassy hollow	hvammr
high seat	hásæti
noisy	hávaðamaðr
boastful	hávaðamikill
boisterous	hávaðasamr
primeval cow	Auðhumbla
easy	makr
meet	makligr
fitly	makliga
desert	makligleikr
deservedly	eptir makligleikum
marble	marmari
doubt	grunr
fruit	ávǫxtr
morning	myrginn
pea	ertr
sharpen	hvessa
fire	hyrr
day	hvíldardagr
relay horse	hvíldarhestr
restless	hvíldarlauss
rested	hvíldr
press	þryngva
straiten	þrøngva
strait	þrøngving
strait	þrønging
strait	þrøngsl
recognizer	kennandi
trumpeter	trumbari
lay	leikmannligr
lay	leikligr
scurrility	leikaraskapr
pulley	leikandi
narrowness	þrǫngleikr
heaviness	þungleikr
dryness	þurrleikr
kind	þýðr
attachment	þýðleikr
swift	ǫrr
liberality	ǫrleikr
security	øruggleikr
misery	aumleikr
misery	aumligleikr
eagerness	ákafleikr
trick	áleikr
child's play	barnaleikr
child's play	barnleikr
bitterness	beiskleikr
bitterness	bitrleikr
brightness	bjartleikr
crookedness	bjúgleikr
softness	blautleikr
blindness	blindleikr
friendliness	blíðleikr
broadness	breiðleikr
infirmity	breyskleikr
brotherhood	bróðurleikr
dance	dansleikr
deadness	dauðleikr
slothfulness	daufleikr
bigness	digrleikr
boldness	djarfleikr
depth	djúpleikr
faithfulness	dyggleikr
dearness	dýrleikr
familiarity	dælleikr
familiarity	dælligleikr
duskiness	døkkleikr
doubtfulness	efanleikr
quality	eiginnleikr
unity	einleikr
eternity	eilífleikr
beauty	fagrleikr
joyfulness	feginleikr
fatness	feitleikr
friendliness	félagleikr
nimbleness	fimleikr
fleetness	fljótleikr
swiftness	fráleikr
personal beauty	friðleikr
friendliness	fríðleikr
knowledge	fróðleik
liberty	frjalsleikr
valour	frœknleikr
ability	fœrleikr
sagacity	gløggleikr
abundance	gnógleikr
goodness	góðleikr
slenderness	grannleikr
malice	gráleikr
fierceness	greypleikr
savageness	grimmleikr
greenness	grœnleikr
worshipfulness	gǫfugleikr
skill	hagleikr
hardness	harðleikr
highness	háleikr
slipperiness	hálleikr
hoarse	háss
hoary	hárr
holiness	heilagleikr
health	heilleikr
opportunity	hentleikr
opportunity	hentugleikr
game of war	hildileikr
swordplay	hjǫrleikr
silence	hljóðleikr
knowledge	horskleikr
prowess	hraustleikr
cleanliness	hreinleikr
good health	hressleikr
refresh	hressa
cleansing	hreinsan
purgatory	hreinsanareldr
howling	hrinr
ring	hringr
bellringing	hringing
affliction	hryggleikr
sharpness	hvassleikr
alacrity	hvatleikr
whiteness	hvítleikr
heaviness	hǫfugleikr
playing	hǫrpuleikr
iron	ísarn
battle	ísarnleikr
fighting match	kappleikr
playing	knattleikr
prowess	knáleikr
ailing	krankleikr
knowledge	kunnleikr
tranquility	kyrrleikr
calmness	kyrra
friendly terms	kærleikr
cleverness	kœnleikr
looseness	lausleikr
lightness	léttleikr
lenity	linleikr
littleness	lítilleikr
brightness	ljósleikr
ugliness	ljótleikr
greatness	mikilleikr
mildness	mildleikr
quickness	næmleikr
awfulness	ógurleikr
show	prúðleikr
power	ríkleikr
ripeness	roskinleikr
briskness	rǫskleikr
verity	sannleikr
soreness	sárleikr
purity	skírleikr
splendour	skrautleikr
relationship	skuldleikr
eyesight	skygnleikr
relationship	skyldugleikr
brightness	skærleikr
scathefulness	skœðleikr
dullness	sljóleikr
slyness	slœgleikr
quickness	snarleikr
roughness	snarpleikr
bassoon	básún
lur	lúðr
clear	skírr
strength	sterkleikr
greatness	stórleikr
strength	strangleikr
stringed instrument	strengleikr
fighter	stríðsmaðr
strong	stríðr
vehemence	stríðleikr
aversion	styggleikr
strength	styrkleikr
steadfastness	stǫðugleikr
sourness	súrleikr
sweetness	sœtleikr
noble birth	tiginleikr
popularity	tíðleikr
faithfulness	trúleikr
faithfulness	tryggleikr
faithfulness	trúligleikr
faithful	trúligr
bravery	vaskleikr
weakness	veikleikr
merit	verðleikr
wise	vitr
wise man	vitringr
wisdom	vitrleikr
wise man	vitrleiksmaðr
width	víðleikr
knowledge	vísleikr
bodily beauty	vænleikr
rest	værleikr
power	vǫldugleikr
various	ýmiss
fickleness	ýmisleikr
perseverance	þráleikr
far	vítt
clever	vizkr
leader	vísi
leader	vísir
leaky	lekaðr
lacking	lakr
shellfish	skelfiskr
shiver	skjalfa
handful	kreppingr
body	kroppr
strait	krappr
murmur	kretta
willing	viljugr
swollen	sollinn
dead	soltinn
possession	eignaðr
fitted	fenginn
fallen	fallinn
pregnant	aukinn
tearful	grátinn
deep	djúpari
deep	dýpri
younger	œri
new	nýrri
increase	miklan
mouth	mynni
less	minnr
first	fyrstr
mouth	óss
mouth	ósmynni
memory	minnigr
mouldy	myglugr
cry out	œpa
oftener	optarr
oftenest	optast
frequent	optligr
often	optliga
sharp	beittr
request	beiðsla
request	beiðing
unwilling	beiddr
person ask	beizlumaðr
person ask	beiðslumaðr
bit	bitull
bit	bitill
bitted	bitlaðr
young girl	meyla
taciturn	þǫgull
taciturn	þagall
running	gǫngull
treacherous	svikall
rambling	fǫrull
icicle	jǫkull
drifting	jakafǫr
icy water	jǫklavatn
cover	jǫklaðr
walking	gangr
ice drift	jǫklagangr
ice-cold	jǫkulkaldr
ice water	jǫkulvatn
enticement	teyging
seventh	sjaundi
sixth	sétti
eleventh	ellifti
eleventh	ellipti
fifteen	fimtán
seventeen	sjautján
eighteen	áttján
twenty	tvítján
twentieth	tuttugundi
twentieth	tvítjándi
twentieth	tuttugti
thirty	þrír tigir
forty	fjórir tigir
fifty	fimm tigir
fifty	fimtigir
fifty	fimmtigir
sixty	sex tigir
seventy	sjau tigir
eighty	átta tigir
fifty	fimtigi
fifty	fimmtigi
sixty	sextigi
seventy	sjautigi
eighty	áttatigi
forty	fjórutigi
thirty	þrjátigi
believer	trúari
believing	trúaðr
trust	trúnaðr
oath	trúnaðareiðr
confidante	trúnaðarkona
confidant	trúnaðarmaðr
little trough	trygill
porridge	grautr
porridge trough	grautartrygill
porridge pot	grautarketill
porridge trough	grautartrog
greed	gráðr
entire	graðr
grey stone	grásteinn
whisper	hvísl
whisper	hvískr
whew	hviss
whirlwind	hvirfilvindr
circle	hvirfingr
circle	hvirfing
drinking bout	hvirfingsdrykkja
sorcery	taufr
sorcery	taufrar
enchant	taufra
holding	taumalag
drawn	toginn
pitchfork	tjúga
destroyer	tjúgari
strap	tygill
lead	teyma
hand	afhendr
put aside	afleggja
envy	ǫfund
dear	ástigr
placed	staddr
stone base	steðjasteinn
anvil	steðjanef
tvaug	tvau
seller	seljandi
seller	seljari
unwise	úvíss
not	ú-
unborn	úalinn
straight	úbeinn
fickle	brigðr
right	brigði
right	brigð
unchanged	úbrigðr
war	úfriðr
peacefully	úfriðarlaust
enemy	úfriðarmaðr
unpeaceful	úfriðligr
ugly	úfríðr
ugliness	úfríðleikr
yield	frær
fertilize	frjóva
infertile	úfrjór
infertile	úfrær
fertile	frjósamr
brand	brandr
spring	brunnr
spring	bruðr
show	skarta
boaster	skartari
district	herað
brewed	brugginn
brave	frakkr
hale	heilbrigðr
dale	dœld
stride	skrefa
feast	seljumannamessa
us	okkr
beerwort	virtr
quail	hvika
lady	frouva
flour	mjǫl
Isle of Man	Mǫn
Byzantine Greek	grikkr
stave-rhyme	dróttkvætt
trapdoor	hlemmr
acceptable	tœkr
Pleiades	sjaustirni
something	nǫkkut
puppy	hvelpr
hill	klettr
moth	mǫlr
rib	rǫng
pale	bleikr
haunting	aptrganga
heard	heyrðr
small ferry	eikja
limp	haltr
warrior	rekkr
pole	staurr
hunger	sultr
shape	skepja
weever	fjǫrsungr
numerous	fjǫlgr
multitude	fjǫldi
multitude	fjǫld
much	fjǫl-
provided	birgr
eager	sýsl
cudgel	keppr
die	verpill
-y	-agr
prone	rassragr
truly holy	sannheilagr
holy	úheilagr
shy	styggr
weary	mœða
cunt	fuð
hiccough	hixta
hiccough	hixti
grinding	meldr
crown	hjarsi
ninety	nírœðr
roller	hlunnr
longing	óðfúss
offering	offr
active	hvatr
poet	siklingr
dash	þysja
agreeable	þekkr
baking	bakstr
grandchild	barnabǫrn
ache	verkr
roar	remja
fence	hagfella
bloody	dreyrugr
friendship	vinskapr
left	lifna
otter	otr
rope	slakr
bold	djarfr
twilight	skúmi
stooping	lútr
eager	fíkjast
eighty	áttrœðr
carve	telgja
axle	ǫxull
axletree	ǫxultré
snuff	skarsl
headcloth	veipr
greasy	smjǫrugr
bereave	sneyða
bare	snauðr
slip	smeygja
kenning	Herjann
fir tree	þella
true	stǫrr
yesterday	gjár
goddess	ásynja
beaker	bikarr
pale	fǫlna
lymegrass	melr
poor	rýrr
bodily defects	ǫrkyml
stir	þvara
hazel	hasl
valued	gildr
Norns	Urðr
Norns	Verðandi
mankind	alda bǫrn
Wayland	Vǫlundr
men	ýtar
restless	úkyrr
breathless	andalauss
beer	mungát
shrill	hvellr
valkyrie	Hlǫkk
Christ	Kristr
stubborn	ballr
Geat	Gautr
she-wolf	ylfa
leader	Aldafǫðr
old	aldinn
Carpathian Mountains	Harvaðafjǫll
yet	þeygi
withered	visinn
ør	yðr
seemly	sœmr
most	flestr
bottommost	neztr
northernmost	nyrztr
northernmost	nørztr
northernmost	nørdst
southernmost	synstr
outermost	ýztr
frighten	œgja
since	sízt
tree	baðmr
fit	hentr
edge	rǫnd
part	þremjar
sage	þulr
innocent	sykn
innocence	sykna
working	virkr
mutter	gnyðja
lull	svefja
rush	snyðja
mar	skeðja
pick	bleðja
trample	treðja
shred	trefja
board	þilja
smother	kvefja
dissuade	letja
lap	metja
murmur	krytja
unproductive	krysja
split	flysja
never	ævagi
envy	ǫfunda
with great difficulty	við trauð ok nauð
reluctant	trauðr
scarcely	trautt
scarcely	trauðla
scarcely	trauðliga
Swedish	svenskr
honour	sœmd
dulse	sǫl
swill	sollr
dizzy	svimra
moderator	stillir
overbearing	ofsi
somewhat	nǫkkuru
ridge	mœnir
mane	mǫn
men	gotnar
wooden pin	sneis
Hordaland	hǫrðar
animal	diūʀ
der	iðʀ
offer	buð
meet	mǿta
mark	nóti
costly	kostall
meal eat	dagverðr
men	virðar
woman	baugrygr
merciful	eirsamr
man	hǫldr
hanging	Hangi
sea	fyllr
prince	jǫfurr
damager	stríðir
heavy	hǫfugr
lady	svanni
born	-kundr
terrifying	Yggr
battlefield	ᚢᛁᛐᚢᚭᚴᛁ
byrnie	brynjalfr
snake	linnr
troll	flagð
year	-vetr
twelve year	tolfvetr
surrender	ganga á hǫnd
judge	dǿma
proof	dǿmi
judging	dǿming
terrible	ǿgr
mad	ǿrr
fate	urðr
herd	hjǫrð
jötunn	Þrívaldi
