someone	a-
there	ńláahdi
thousand	mííl
thousand	tʼááłáhádí mííl
tʼóó bílaʼ dijool	tʼóó bílaʼ dijool
łáaʼii góneʼ yéigo daʼahijoogą́ą́ʼ	łáaʼii góneʼ yéigo daʼahijoogą́ą́ʼ
diligently	yéigo
terror	yééʼ
Monday	Damį́įgo Biiskání
Saturday	Yiską́ Damį́įgo
Tuesday	Naakijį́ Ndaʼanish
Wednesday	Tágíjį́ Ndaʼanish
Thursday	Dį́ʼíjį́ Ndaʼanish
Friday	Ndaʼiiníísh
Sunday	damóo
week	damį́įgo
months	náhidizídígíí
bumblebee	tsísʼnátsoh
yellow	łitsooí
tonight	díítłʼééʼ
offspring	biyázhí
tsinsitą́ dikʼą́	tsinsitą́ dikʼą́
mile	tsinsitą́
inch	asdzoh
náhásdzo hayázhí dikʼą́	náhásdzo hayázhí dikʼą́
adéesʼeez dikʼą́	adéesʼeez dikʼą́
tʼáá aaníí	tʼáá aaníí
really	tsʼídá
on me	shąąh
to me	shaa
in me	shiiʼ
to him	yaa
within me	shiyiʼdi
inside	biyiʼdi
computer	béésh nitsékeesí
computer	béésh tʼáá bí nitsékeesígíí
yáʼátʼééh iʼííʼą́	yáʼátʼééh iʼííʼą́
sunset	iʼííʼą́
tʼáá bí	tʼáá bí
sunset	iʼííʼą́ągo
surface	bikáaʼjįʼ
picture	aheeskidígíí
yáʼátʼééh abíní	yáʼátʼééh abíní
morning	abíní
here	kǫ́ǫ́
pot	ásaaʼ
baby	awééʼ
éí biniinaa	éí biniinaa
reason	éí naa
plastic	tó doo bináká nílíní
through	bináká
pottery	łeetsʼaaʼ
cup	bee adlání
esteem	ílį́įnii
away	bitsʼą́ą́ʼ
away	nihitsʼą́ą́ʼ
toward	bichʼįʼ
OK	yaʼ
tʼáá íiyisíí ahéheeʼ	tʼáá íiyisíí ahéheeʼ
tʼáá íiyisíí	tʼáá íiyisíí
toward	nichʼįʼ
toward	shichʼįʼ
in front of	áchʼą́ą́h
tʼah dooda	tʼah dooda
not yet	tʼahdoo
no	dooda
veteran	siláołtsooí nilį́į́ ńtʼę́ʼę́ę
one	ńtʼę́ʼę́ę
farthest	aláahdi
cradleboard	awéétsʼáál
in	yiyiʼ
in vain	chʼééh
girl	atʼééd
hark	geʼ
friendship	kʼé
end	nidahoneesʼą́ą́dę́ę́ʼ
long ago	ałkʼidą́ą́ʼ
to us	nihaa
maiden	chʼikę́ę́h
body	atsʼíís
point	yitahjiʼ
point	bitahjiʼ
clearly	ííshją́ą́
truth	tʼááʼaaníinii
life	iiná
berry	didzé
berry	dzidzé
blueberry	dzidzé łikaní dootłʼizhígíí
date	hashkʼaan dijéʼé
papaya	hashkʼaan dootłʼizhí
how are you	haʼátʼíísh baa naniná
haaʼíílá ńtʼé	haaʼíílá ńtʼé
fog	áhí
tsʼídá háadi da	tsʼídá háadi da
Christmas	Késhmish
gopher	naʼazísí
Merry Christmas	Nizhónígo Késhmish Daʼdoohłeeł
as far as	-jįʼ
no trespassing	doo kóneʼ naʼadáa da
here inside	kóneʼ
side	-jí
here	kóneʼé
Merry Christmas and a Happy New Year	laanaa yáʼátʼéehgo Késhmish, nił hózhǫ́ǫgo chʼídoohah
wishing	laanaa
maternal grandfather	acheii
toward	áchʼįʼ
intestine	achʼííʼ
yesterday	adą́ą́dą́ą́ʼ
simultaneously	tʼáá ahą́ą́h
ahił haneʼ	ahił haneʼ
leg	ajáád
tip	álátah
following	ałkééʼ
center	ałnį́į́ʼ
separate	ałʼąą
Navajo	Naaltsoos Ayiilaa
amá sání	amá sání
paternal grandfather	análí
hoopoe	ǫǫbǫʼii
tónteel zhį́ʼii	tónteel zhį́ʼii
cardinal	tááʼyaʼniiltʼóshii
golden eagle	atsátsoh
sparrow	tsídiiłbáhí
blue jay	joogii
goshawk	giníłbáhí
nighthawk	biizhii
swallow	táshchozhii
Bactrian camel	ghą́ą́ʼnaakiskʼidii
back	bíígháán
another	łahgo
once	łah
wolverine	niłchiis
magpie	ąąʼąʼii
bluebird	dólii
bluebird	dóliiłchííʼ
Japanese marten	dlǫ́ʼiiłtsooí
weasel	dlǫ́ʼii
náhookǫsdę́ę́ʼ dlǫ́ʼii	náhookǫsdę́ę́ʼ dlǫ́ʼii
turn over	náhookǫs
south	shádiʼááh
rise	haʼaʼaah
west	eʼeʼaah
Happy New Year	Nizhónígo Nináánááhai Dooleeł
armpit	achʼáayah
north	náhookǫsdę́ę́ʼ
beyond	yilááh
stoat	dlǫ́ʼiiłgaii
south	shádiʼááhdę́ę́ʼ
will be	dooleeł
dóó	naaghá
Náátsʼósí bichʼiyąʼ	Náátsʼósí bichʼiyąʼ
food	bichʼiyąʼ
eyebrow	anátʼéézh
number	ánéeltʼeʼ
yes	aooʼ
woman	asdzání
representative	ásizį́
leaf	atʼąąʼ
body	atah
tail	atseeʼ
sledgehammer	bee atsidítsoh
hair	atsiiʼ
head	atsiitsʼiin
egg	ayęęzhii
esophagus	azágí
saliva	azhééʼ
father	azhéʼé
voice	azhí
war	baaʼ
gossip	aseezį́
fearful	báhádzidii
X-ray generator	beeʼaghádaʼdildlaadí
X-ray	agháʼdeeldlaad
go	-bąs
uncle	abízhí
cornmeal mush	taaʼniil
morning	abínídą́ą́ʼ
ashkiiké	ashkii
long	nineez
kǫʼ naʼałbąąsii	kǫʼ naʼałbąąsii
driver	naʼałbąąsii
last night	tłʼéédą́ą́ʼ
many	łą́ągo
elk	dzééh
longer	áníłnééz
bigger	alááh
tʼáá ákwíí jį́	tʼáá ákwíí jį́
tʼáá ákwíí	tʼáá ákwíí
there	ákwíí
father	ataaʼ
forehead	átááʼ
bump	hadzííyá
then	índa
prayer	sodizin
side by side	ałhąąh
in	-kʼehjí
American Civil War	bilagáana tʼáá biʼałkʼiijééʼ
goodbye	hágoóneeʼ
newspaper	haneʼ binaaltsoos
many thanks	ahéheeʼ nitsaago
diligently	yéego
plantlike	chʼilgo
algae	tátłʼid
algae	tátłʼidgo
sky	yágo
fifteen	gíinsi
chʼilgo dootłʼizh	chʼilgo dootłʼizh
tátłʼidgo dootłʼizh	tátłʼidgo dootłʼizh
yágo dootłʼizh	yágo dootłʼizh
brown	dibéłchíʼí
orange	łichxíʼí
yéego łitso	yéego łitso
orange	łitsxo
again	nááná
really	-x-
yellow	yiitsóóh
cephalopod	łóóʼ bigaan dahólónígíí
ground	łeeh
graveyard	łeeh dahoʼdiiʼníiłgi
green	diitłʼíísh
come here	hágo
said	yidííniid
nurse	azeeʼ neiikáhí
Dinékʼehjí doo diistsʼaʼ da	Dinékʼehjí doo diistsʼaʼ da
Navajo	Dinékʼehjí
Navajo	Dinékʼehgo
accordance	kʼehgo
white man	Bilagáanakʼehgo
English	Bilagáanakʼehjí
two-spirit	nádleehé
Dinétah	Sisnaajiní
Four Corners	Dinétah
dootłʼizhii	Tsoodził
diichiłí	Dookʼoʼoosłííd
Dinétah	Dibé Nitsaa
New Mexico	Dził Náʼoodiłii
first	áłtsé
Dinétah	Naatsisʼáán
díkwíí łą́	díkwíí łą́
łichííʼ	éísh
no	ndagaʼ
white	łigai
black	łizhin
white	yiigááh
being happy	hózhǫ́ǫgo
slippery	nahateeł
meaning	óolyé
iron	yidiłhį́į́h
black	yiijį́į́h
still	tʼahdii
giant	yéʼiitsoh
gods	yéʼii
account	biniinaa
times	áłahjįʼ
there	ákweʼé
doo ákweʼé	doo ákweʼé
under	biyaa
down	góyaa
tʼáadoo hodinaʼí	tʼáadoo hodinaʼí
finally	wónáásdóó
outdoors	tłʼóóʼgóó
outdoors	tłʼóóʼ-
thus	ákótʼéego
children	áłchíní
tracks	nabikééʼ
snowing	ńchííl
hand	álaʼ
may	daatsʼí
yes	ouuʼ
against	yikʼijįʼ
áádóó bikʼijįʼ	áádóó bikʼijįʼ
football	jooł yitalí
we	nihí
armpit	achʼáháyah
eyelash	anádiz
way	bichʼą́ą́h
wool	bighaaʼ
profession	binahaghaʼ
leader	binantʼaʼí
among	bitahgi
among	bitah
from	bitsʼą́ą́dę́ę́ʼ
tail	bitseeʼ
hair	bitsiiʼ
brain	bitsiighąąʼ
young	biyáázh
amphibian	biyáázh tsʼǫʼasánígíí
tadpole	tsʼǫʼasánii
tractor	chidí naaʼnaʼí
evil	chʼį́įdii
damn	chʼį́įdiitahgóó
user	choyoołʼįįhí
spring	dą
beverage	daadlánígíí
war	daʼahijoogą́ą́ʼ
combat	ahigą́
graze	daʼałchozhígíí
dah naaʼeeł	dah naaʼeeł
exist	dahólónígíí
sheep	dibé bighaaʼ
spherical	dijool
sour	díkʼǫ́ǫ́zh
popping	dildǫʼ
instrument	dilní
dark	diłhił
pink	dinilchííʼ
glitter	disxǫs
Bible	Diyin God Bizaad
mold	dláád
west	eʼeʼaahjí
Facebook	naaltsoos biniiʼ
face	aniiʼ
bridge	naʼníʼá
across	haʼnaa
across	tséʼnaa
muskox wool	hakʼaz ayání bighaaʼ
kin	hakʼéí
yes	haoh
sneeze	hátsʼíhyaa
carefully	hazhóʼógo
softly	hazhóóʼógo
carefully	hazhóʼó
baa haneʼ hazhóʼó	baa haneʼ hazhóʼó
quiet	hodéezyéél
exists	hólónígíí
pretty	hózhóní
visible	yitʼį́
thunder	iiʼniʼ
jádí nátʼoh	jádí nátʼoh
kudu	jádítsoh
arrow	kʼaaʼ
quiver	kʼaaʼ biziiz
Philippines	Kéyah Dańlíinii
bąąh ádingo	bąąh ádingo
none	ádingo
darkly	diłhiłgo
land	kéyahígíí
toe	akézhoozh
potsherd	kitsʼiil
here	kǫ́ǫ́ʼ
let	leʼ
ambulance	diné atítʼįįhgo bee naagéhé
I love you	ayóóʼánííníshʼní
right	ákótʼé
sleeping	ałhosh
ashes	łeeshchʼih
corn	łeeʼshibéézh
colt	łéʼéyázhí
greyhound	łééchąąłgaii
blackly	łizhingo
Oozéí bizaad	Oozéí bizaad
battery	chidí bijéí
my name is	yinishyé
wááshindoon bikin	wááshindoon bikin
called	wolyé
turtle	tsisteeł
back	tʼąąʼ
tʼáá hó	tʼáá hó
corn pollen	tádídíín
water strider	táłkááʼ dilwoʼí
táłtłʼááh chʼosh	táłtłʼááh chʼosh
cucumber	taʼneeskʼání áłtsʼóózígíí
pygmy hippopotamus	tééhoołtsódiichilí
táłtłʼááh chʼosh ntsxaaígíí	táłtłʼááh chʼosh ntsxaaígíí
táłtłʼááh chʼoshtsoh bideeneezí	táłtłʼááh chʼoshtsoh bideeneezí
táłtłʼááh chʼoshtsoh bideeteelí	táłtłʼááh chʼoshtsoh bideeteelí
tłʼízí bighaaʼ	tłʼízí bighaaʼ
angora goat	tłʼízíʼilí
outside	tłʼóoʼdi
tó łichxíʼí	tó łichxíʼí
soda pop	tó łikaní
river	tooh nílíní
osprey	táłkááʼ naalzheehí
tsé dootłʼizh	tsé dootłʼizh
housefly	tséʼédǫ́ʼii
áłtsé góneʼ yéigo daʼahijoogą́ą́ʼ	áłtsé góneʼ yéigo daʼahijoogą́ą́ʼ
bottom	táłtłʼááhdi
violet	tsédédééh
Indian paintbrush	dahiitį́hídą́ą́ʼtsoh
tłʼééʼ yiigáhii	tłʼééʼ yiigáhii
stump	tsehégod
pole	tsin ííʼáii
tsin naabąąs yázhí	tsin naabąąs yázhí
flute	tsʼisǫ́ǫ́s tsinígíí
slim	-tsʼósí
narrow	áłtsʼózí
wide	niteel
horseshoe	názhah
azeeʼ hókániitsoh	azeeʼ hókániitsoh
year	yihah
New York State	Nííyóó Hahoodzo
New York State	Kin Yótʼááh Deezʼá Hahoodzo
advertisement	óʼoolkąąh
what time is it	díkwíígóó oolkił
what time	díkwíígóó oolkiłgo
impermeable	tánéígis
orange	łitsxooí
shá bitłʼóól	shá bitłʼóól
rope	bitłʼóól
shá bítłʼájiiłchiiʼ	shá bítłʼájiiłchiiʼ
sunshine	shą́ą́ʼ
sunshine	shą́ąʼjiʼ
over me	sháátis
south	shádiʼááhjí
people	shidineʼé
brother	sikʼis
my	shi-
soldier	siláołtsooí
jeep	siláołtsooí bichidí
please	tʼáá shǫǫdí
please	tʼáá shxǫǫdí
naʼashjéʼii bitłʼóól	naʼashjéʼii bitłʼóól
all right	wehee
heaven	wótʼááh
catfish	dághaałóóʼ
jiinishbaah	joobaah
yellow	yiyiiłtsóóh
jiilgéésh	jiilgéésh
Mexican	naakaii
twice	naakidi
colugo	naalkʼįhiitsoh
orator	naatʼááh
war chief	hashkééjí naatʼááh
warrior	hashké
Nevada	Naʼazhǫǫsh hahoodzo
hop	nahachaʼ
raining	nahałtin
restore	náhádleeh
Earth	nahasdzáánígíí
month	náhidizííd
north side	náhookǫsjí
question	naʼídíkid
ńdíshchííʼ bigaan	ńdíshchííʼ bigaan
for you	nihá
limit	nihoolʼá
inflammable gas	níłchʼi łikoní
rain	níłtsą́
round	nímaz
year	nináháhááh
big	nitsxaa
mongoose	dlǫ́ʼii yił aheełtʼéhígíí
I love you	ayóóʼánóshʼní
hurt	yizéés
lie	siʼą́
common purslane	tséghániłchʼi
red	yiyiiłchííh
ripen	nitʼą́
locate	sitą́
shitah honeezgai	shitah honeezgai
through	shitah
dikos shidoolnaʼ	dikos shidoolnaʼ
shitah honiigai	shitah honiigai
striped	noodǫ́ǫ́z
tó wónaanídę́ę́ʼ dlǫ́ʼii	tó wónaanídę́ę́ʼ dlǫ́ʼii
other side	wónaanídę́ę́ʼ
white	yiyiiłgááh
well	yáʼátʼéehgo
way	yichʼą́ą́h
sweet	łikan
locate	shijool
locate	siłtsooz
locate	sinil
locate	siką́
just	ʼáh
ʼáh tsʼííd	ʼáh tsʼííd
leaf insect	atʼąąʼ nahalinii
locate	siyį́
locate	sitłééʼ
emigrating	iinééh
tʼáá hó ájítʼéego tʼéiyá	tʼáá hó ájítʼéego tʼéiyá
popcorn	naadą́ą́ʼ dilchxoshí
soda pop	tó dilchxoshí
locate	siziid
náʼoolkiłí tʼááłáʼí ahééʼílkid bee náás ninádajiiłkeed	náʼoolkiłí tʼááłáʼí ahééʼílkid bee náás ninádajiiłkeed
hour	ahééʼílkid
doo	yinízin
shíká	nízin
dampen	néíshoh
old	haatih
Tanzania	Tʼanzanííya
Diné bizaad baa	ółtaʼ
hermaphrodite	nádleeh
neeznáá dah yíjihí	neeznáá dah yíjihí
card game	dáʼákaʼ
quiet	diiłheeł
our	danihi-
gray	yiyiiłbááh
dáʼákaz bitooʼ	dáʼákaz bitooʼ
cornstalk	dáʼákaz
juice	bitooʼ
dashing	iisááł
áshłaa	íílééh
black	yiyiishį́į́h
few	tʼáá díkwíí
other	łaʼígíí
thick	áníłtsááz
small	áłtsʼíísí
narrow	áłtsʼóózí
thin	áłtʼą́ą́ʼígo
wife	hweʼesdzáán
root	bikétłʼóól
bark	bitáshtʼóózh
flower	chʼil látah hózhóón
hide	akágí
ear	ajaaʼ
fingernail	áláshgaan
neck	akʼos
back	anághah
breast bone	ayid
Earth	nahosdzáán
road	daʼnitiingóó
new	ániidí
full	hadéébįįd
cold	sikʼaz
cold	deeskʼaaz
bad	doo yáʼátʼéeh da
chin bąąh	chin bąąh
straight	kʼézdon
sharp	deení
doo deení da	doo deení da
smooth	dilkǫǫh
cloth	naakʼaʼatʼą́hí
tsah bee náʼálkadí	tsah bee náʼálkadí
finger	álánééz
navel	atsʼééʼ
sick	daatsaah
tsʼííh niidóóh	tsʼííh niidóóh
door	dáádílkał
name	bízhiʼ
if	ládą́ą́ʼ
burning	diltłiʼ
sew	náʼálkad
naalkidgo bee bééhoʼdílzin	naalkidgo bee bééhoʼdílzin
green	yidiiłtłʼíísh
Ethiopia	Iithiyópya
information	nibéédahwiizįįhgo
second	áłtsʼíísígo
second	tsį́įłgo yilkiłígíí
back-to-back	ghąąjįʼ
cowboy	akałii
Przewalski's horse	łį́į́ʼ ałchiní
aleeh	ałeeh
in front	shitsijįʼ
behind	shikéédę́ę́ʼ
behind	shikééʼ
for	shíká
around	shinaagóó
above	bideiijígo
above	bideiidę́ęʼgo
above	shideiigi
Good Friday	Ndaʼiiníísh Yáʼátʼéehii
Good Friday	Jesus Biʼdiisxínę́ędą́ą́ʼ Bééhániih
past	-dą́ą́ʼ
back then	-ę́ę
tsékʼi naʼazólii	tsékʼi naʼazólii
tangled	ałtaaneesdiz
husky	áníldííl
Easter	Jesus Daaztsą́ą́dę́ę́ʼ Náádiidzáhígíí Bééhániih
possible	bihónéedząąh
tracks	bikééʼ
chʼíiníłʼaʼ	chʼííłʼá
stupid	diigis
hot	deesdoi
people	kin yaaʼáanii
people	hashtłʼishnii
people	hónágháahnii
people	tó díchʼíiʼnii
tó áhání	tó áhání
Western Apache	Dziłghą́ʼí
near	áhání
far	nízah
dense	díłchʼil
right	nishʼnáájígo
left	nishtłʼajígo
right	doo ákótʼée da
wet	ditłééʼ
wet	hoditłééʼ
dry	hóółtseii
dry	yíłtseii
lukewarm	sizílí
warm	honeezílí
hot	díchʼííʼ
interest	ínáóltąʼí
afterward	akéeʼdi
middle	ííłnííʼ
midsummer	shį́ʼííłnííʼ
paid	nahalyé
midnight	tłʼéʼííłnííʼ
middle	ííłníiʼjįʼ
quiet	déesxéél
maternal grandmother	amásání
cold	diłkʼáás
Earth Day	Nahasdzáán Baa Hą́ą́hwiindzin Bá Hazʼą́
sovereignty	akʼídádéestʼį́į́ʼ
law	bee hazʼáanii
stagger	didzééh
this	gaʼ
grandchildren	bitsóóké
maternal grandchild	atsóí
shoe game	késhjééʼ
place nearby	nahjį’
powwow	atsʼos bee alzhishí
feather	atsʼos
warm	hoozdo
despite	tʼáá ákótʼée ndi
cold	hoozkʼaz
celebrate	hanidááh
alive	hiná
indicator stick	bee aditsxįłí
Saturday	Yiską́ Damóo
Saturday	Damóo yázhí
learn	íhoołʼaah
limp	iʼniłdih
Mother's Day	Amá Bééhániih
against	binahjįʼ
oh dear	yáadilá óolyé
standing	kʼédǫǫh
fountain	tó háálį́įgo bá hazʼą́
flows	háálį́
space	hazʼą́
water fountain	tó háálínígi
maple	sóól dichʼíizhii
chʼilátah hózhóón	chʼilátah hózhóón
dust devil	náátsʼǫ́ʼoołdísii
that direction	níléíjí
solar eclipse	jóhonaaʼéí daaztsą́
phonograph	béésh hataałí
béésh náʼiiláhí	béésh náʼiiláhí
beyond	shilááh
The Star-Spangled Banner	Dah Naatʼaʼí Sǫʼ bił Sinil
jay	dilzhę́ʼii
pinyon jay	tsʼání
scrub jay	tsʼánídílzhiʼí
Memorial Day	Siláołtsooí Bigáál Dah Nídahidiitʼįʼígíí Béédahaniih
tsétah tłʼízí	tsétah tłʼízí
back then	hą́ądą́ą́ʼ
remembered	bééhániih
obtuse angle	ałhiʼdiidzo
planet	jóhonaaʼéí yináádáłígíí
Venus	Biinis
Mars	Máaz
Ceres	Séwes
Jupiter	Jíbitoo
Saturn	Séetin
Uranus	Yoowéinis
Neptune	Néʼtoon
Pluto	Tłóotoo
Haumea	Haʼooméya
Makemake	Maakiimaakii
kéyah yádiłhił biiʼ hólónígíí	kéyah yádiłhił biiʼ hólónígíí
heavens	yádiłhił
sandstone	tsé dizéígíí
lunar eclipse	ooljééʼ daaztsą́
n	ń
rhubarb	jiłtʼoʼí
heavy	nidaaz
ancestor	bizází
ancestor	azází
enemy	anaaʼí
Anasazi	anaasází
grinding stone	tsédaashjééʼ
soot	jeełid
shattered home	kitsʼiilí
drink	adlą́
eat	ayą́
bite	adiłhash
spit	jidizhah
blow	doochʼih
blow	deeyol
laugh	yidloh
know	hashniih
wherever	naagháagi
think	neeshtʼááʼ
smell	honishchin
Father's Day	Azhéʼé Bééhániih
trial	naʼalkaah
abalone shell	diichiłí
jóhonaaʼéí tʼą́ą́ʼ ńdeesdzą́	jóhonaaʼéí tʼą́ą́ʼ ńdeesdzą́
shį́įgo shá ninádááh	shį́įgo shá ninádááh
far	nízaad
sun travel	níʼdítʼááh
apricot	dzidzétsoh díkʼǫ́ǫzhii
peach	dzidzétsoh
Texas	Téʼsiz hahoodzo
bull rider	dóola bił naalgeedígíí
Perdicinae	naaʼahóóhaiłbáhí
rodeo clown	hastiin łą́ átʼínígíí
rodeo	ahóóhai
pick-up man	bił ńdaʼalgeedgo náyiiláhígíí
cold	neezkʼaz
rodeo	łį́į́ʼ tʼáá dilkǫǫhgo naalgeedígíí
saddle	łį́į́ʼ bikʼídahaznilgo naalgeedígíí
team roping	béégashii ałtsʼą́ą́ʼ wódleehígíí
away	ałtsʼą́ą́ʼ
calf roping	béégashii yáázh wódleehígíí
bull riding	dóola naalgeedígíí
tóshjeeh binaago łį́į́ʼ náádadiilwoʼígíí	tóshjeeh binaago łį́į́ʼ náádadiilwoʼígíí
around	binaa
around	binaago
wicker water bottle	tóshjeeh
steer wrestling	béégashii bikʼos náágisgo neheʼníłígíí
rodeo	béégashii yáázh tʼóó yisdlohígíí
hand	bílaʼ
piki	tséʼástʼéí
odor	halchin
locate	naazhjool
locate	naazʼą́
schoolchild	áłchíní ółtaʼígíí
afraid	náldzid
locate	naaztłééʼ
taut	nídon
locate	naastsooz
inquiry	naʼídíłkid
locate	naazką́
locate	naaztą́
Kéyah Dańlíinii bikáaʼgi kéédahatʼínígíí bizaad	Kéyah Dańlíinii bikáaʼgi kéédahatʼínígíí bizaad
inhabitant	kééhatʼínígíí
North Macedonia	Masedóonya
fireworks	naaltsoos dildoní
month	yiziłígíí
day	yoołkááł
tsétah gah	tsétah gah
gangsta	chʼah digizii
gangsta	tłʼaajįʼééʼ ndaazí
prisoner	awáalyaaí
jail	awáalya
doctor	azeeʼííłʼíní
many	tʼóó ahayóí
alfalfa	tłʼoh waaʼí
learn	yíhoołʼaah
fluffy	hainiłchaad
dream	naʼiidzeeł
hard	nantłʼah
toy	daanéʼé
woman	asdzáán
locate	naazyį́
month	nídízííd
locate	naazhjaaʼ
glucometer	áshįįh łikan bee bídaʼneelʼąąhígíí
peace chief	hózhǫ́ǫ́jí naatʼááh
chʼosh nahachagii	chʼosh nahachagii
striped hyena	tééh łééchąąʼí noodǫ́zígíí
tsinlátah mąʼii	tsinlátah mąʼii
azeeʼ ndootʼeezhí	azeeʼ ndootʼeezhí
Ute	Nóódaʼí
ragworm	táłtłʼááh chʼoshyog
łeeyiʼ chʼosh bikágí ntłʼizí	łeeyiʼ chʼosh bikágí ntłʼizí
hide	bikágí
jádítsoh bideeʼ shiyishígíí	jádítsoh bideeʼ shiyishígíí
gahjaaʼí bitseeneezígíí	gahjaaʼí bitseeneezígíí
nipple cactus	kʼaabizhii
kingbird	chʼiyíítʼogii
snipefish	dáánézí
northern snakehead	tłʼiishtsiiʼí
hirola	jádí binááʼ dį́įʼii
witchgrass	tłʼohdaʼaghálii
pennycress	nááʼnoodǫ́ǫzii
junco	dilchʼóshii
caecilian	łeeyiʼ chʼoshtsoh binááʼ hólónígíí
fallow deer	bįįh łikizhígíí
Kiowa	Káawa
hammerkop	tsiikʼánii
dobsonfly	aniłtʼániitsoh
ceanothus	chʼįdą́ą́ʼ
hosh aditsahii	hosh aditsahii
American bittern	yáhashjool
chʼilátah atsʼos	chʼilátah atsʼos
Atlas moth	iichʼąhii ntsxaaígíí
ostseʼ yiltʼąąʼí	ostseʼ yiltʼąąʼí
tsinyaa tłʼoh	tsinyaa tłʼoh
skunkweed	naʼashjéʼiidą́ą́ʼ
oriole	choozhghalii
prickly pear	hosh niteelí
boxthorn	haashchʼéʼédą́ą́ʼ
silverfish	łeʼesoołii
tééh jádítsoh	tééh jádítsoh
ratite	tsídii doo ndaatʼáʼii
rhinoceros beetle	chéłchaaʼtsoh
palm thief	atʼaʼ yiltʼąąʼí yąąh dah sidáhígíí
dowitcher	tábąąsdísíłbáí
golden pheasant	Náátsʼózídę́ę́ʼ tsiiłtsooí
retriever	łééchąąʼí bił nidaʼazheehígíí
camel spider	zahalchíʼii
wóláchííʼ yildeełíchilí	wóláchííʼ yildeełíchilí
tsinlátah nahatʼeʼiitsoh	tsinlátah nahatʼeʼiitsoh
Federated States of Micronesia	Eʼeʼaahjí Tónteel bikáaʼgi Kéyah Yázhí dah Ndaaʼeełgo Ałhidadiidzooígíí
Pacific Ocean	Eʼeʼaahjí tónteel
naʼatsʼǫǫsí bijaaʼntsxaaígíí	naʼatsʼǫǫsí bijaaʼntsxaaígíí
potato beetle	nímasii yiyání
scissorbill	yaadaaʼnézí
táłtłʼááh naatʼáʼii	táłtłʼááh naatʼáʼii
fun	tʼáá ádzaagóó
water monitor	tiníléítsoh naʼałkǫ́ʼígíí
Oregon grape	chéchʼil ntłʼizí yiltʼąąʼí
banded mongoose	dlǫ́ʼii yił aheełtʼéhii noodǫ́zígíí
pufferfish	niicháadii
Americas	Kéyah dah siʼánígíí
diving petrel	níyol yiiʼ naʼałkǫ́ʼígíí
swim	naʼałkǫ́ǫ́ʼ
caddis fly	iichʼąhiitsʼósí
buttonquail	tłʼohtah díłdánii yił aheełtʼéhii
grass	tłʼohtah
jacamar	tsídii disxǫsígíí
Barbary sheep	Naakaii Łizhiní Bikéyahdę́ę́ʼ tsétah dibé
tsétah dibé	tsétah dibé
rocks	tsétah
beard moss	tsįdláád
tó wónaanídę́ę́ʼ náshdóí	tó wónaanídę́ę́ʼ náshdóí
quoll	mósí bizaʼazis hólóní
lugworm	tábąąhgi łeeyiʼ chʼosh
codetalker	Diné bizaad yee naazbaaʼígíí
that	yígíí
into	biih
man alive	yáadilá
God	Diyin Ayóó Átʼéii
is	átʼéii
God	Diyin God
clawed frog	chʼał bikéshgaan hólóní
tree shrew	tó wónaanídę́ę́ʼ hazéí bíchį́į́hnézí
tó wónaanídę́ę́ʼ dlǫ́ʼiiłkizhii	tó wónaanídę́ę́ʼ dlǫ́ʼiiłkizhii
corn smut	dą́ʼáchaan
táłtłʼááh kʼaaʼ	táłtłʼááh kʼaaʼ
Java cat	hodíłchʼilgi dlǫ́ʼiitsoh
dense	hodíłchʼil
łeeyiʼ nahakʼízii	łeeyiʼ nahakʼízii
cricket	nahakʼízii
wótááhgóó ałnááʼáłtʼahí	wótááhgóó ałnááʼáłtʼahí
sego	áłchínídą́ą́ʼ
leaf beetle	tádídíín yiyání
lungfish	łóóʼ ńdídzihígíí
horned lizard	naʼashǫ́ʼii dichʼízhii
pacarana	ghą́ą́ʼnoodǫ́ǫzii
hatinídę́ę́ʼ tsídiiłgaii	hatinídę́ę́ʼ tsídiiłgaii
feather star	gaantsʼósí
naaʼołí yiltʼąąʼí	naaʼołí yiltʼąąʼí
vinegaroon	séigoʼ bitseeʼ áłtsʼózígíí
moonrat	łéʼétsoh diwozhí
South American sea lion	Shádiʼááhdę́ę́ʼ tábąąstííntsoh
springhare	Naakaii Łizhiní Bikéyahdę́ę́ʼ nahatʼeʼii
pyrrhuloxia	tááʼyaʼniiltʼóshiiłbáhígíí
glycosuria	łizh áshįįhłikan tʼéiyá
spider wasp	jáád neishoodí
phlox	tsídiidą́ą́ʼ
sabellid	atʼaʼ éljołí nahalinígíí
kowari	łéʼétsoh bizaʼazis hólóní
pocket	azaʼazis
hoatzin	tsídiiłchxoní
tsintah bįįhchilí	tsintah bįįhchilí
grey alder	kʼish
ichneumon wasp	jáád neishoodítsʼóóz
crested screamer	zééjíjinii
boatbill	daateel
łóóʼtʼą́hí atsiniltłʼish ííłʼínígíí	łóóʼtʼą́hí atsiniltłʼish ííłʼínígíí
mint	tólchiin
Andean cat	Shádiʼááhdę́ę́ʼ tsétah mósí ałchinígíí
wild	ałchin
quetzal	biʼééʼ dootłʼizhgo disxǫsígíí
snout beetle	tséyooʼáałii
death camas	áłtsínítsoh
níłchʼi naalkidí	níłchʼi naalkidí
łóóʼ adishishí	łóóʼ adishishí
spiderwort	áłchínítsoh
veery	kʼaiʼbisii
dzidzé ditʼódí	dzidzé ditʼódí
brown hyena	tééh łééchąąʼí ditsʼozígíí
cheat grass	yéʼiibeʼetsʼos
