house	Haus
ventilate	belëften
instruct	beléieren
light up	beliichten
reward	belounen
rob	beluxen
criticise	bemängelen
notice	bemierken
sample	bemusteren
disadvantage	benodeelegen
inform	benoriichtegen
use	benotzen
worry	beonrouegen
plant	beplanzen
authorise	berechtegen
consider	berécksichtegen
enrich	bereecheren
travel	bereesen
regret	bereien
touch	beréieren
smell	berichen
report	beriichten
calm	berouegen
stain	besabbelen
occupy	beschäftegen
attest	bescheinegen
accuse	beschëllegen
coat	beschichten
damage	beschiedegen
shield	beschiermen
confiscate	beschlagnahmen
decide	beschléissen
cut	beschnëppelen
label	beschrëften
diddle	beschummelen
discuss	beschwätzen
swear	beschwieren
possess	besëtzen
populate	besidelen
seal	besigelen
confirm	bestätegen
sprinkle	bestëbsen
tax	besteieren
determine	bestëmmen
rob	bestielen
get	besuergen
touch	betaaschten
emphasise	betounen
consider	betruechten
swab	betuppen
observe	beuechten
judge	beuerteelen
enrich	beräicheren
evaluate	bewäerten
shadow	Schiet
water	bewässeren
move	beweegen
grant	bewëllegen
inhabit	bewunnen
enchant	bezauberen
tame	bezeemen
testify	bezeien
doubt	bezweiwelen
overcome	bezwéngen
calculate	calculéieren
calm	calméieren
camouflage	camoufléieren
camp	campéieren
wrestle	catchen
cede	cedéieren
comprehend	cernéieren
certify	certifiéieren
change	changéieren
number	chiffréieren
scar	cicatriséieren
encode	codéieren
cohabit	cohabitéieren
haircut	coifféieren
coincide	coincidéieren
include	comportéieren
concern	concernéieren
reconcile	conciliéieren
condemn	condamnéieren
connect	connectéieren
consider	consideréieren
note	consignéieren
cooperate	cooperéieren
coordinate	coordinéieren
correct	corrigéieren
cover	couvréieren
darken	däischteren
smoke	dämpen
crush	dätschen
dance	danzen
date	datéieren
dive	dauchen
last	daueren
unpack	deballéieren
debate	debattéieren
deforest	deboiséieren
decide	decidéieren
thicken	décksen
baptise	deefen
divide	deelen
defile	defiléieren
define	definéieren
deflower	defloréieren
release	degagéieren
season	degustéieren
interpret	deiten
tolerate	dëllen
steam	dëmpen
serve	déngen
desert	desertéieren
diagnose	diagnostizéieren
talk	dialogéieren
bend	diebelen
address	dierzen
defame	diffaméieren
differentiate	differenzéieren
aim	diichten
flip	diksen
dictate	diktéieren
hassle	dirängelen
direct	dirigéieren
discuss	diskutéieren
dispute	disputéieren
distill	distilléieren
discipline	disziplinéieren
diverge	divergéieren
diversify	diversifizéieren
divide	dividéieren
doze	dösen
document	dokumentéieren
day	doléineren
tame	domestikéieren
dominate	dominéieren
dose	doséieren
endow	dotéieren
jostle	drängelen
water	dränken
flirt	draguéieren
drain	drainéieren
dramatise	dramatiséieren
drape	drapéieren
turn	drechselen
dream	dreemen
penetrate	dréngen
drip	drëpsen
train	dresséieren
dribble	dribbelen
dawdle	driibsen
drug	drogéieren
choke	drosselen
crumple	druddelen
drink	duuschten
unblock	deblockéieren
discharge	dechargéieren
decipher	dechiffréieren
discourage	decouragéieren
disfavour	defavoriséieren
deform	deforméieren
degenerate	degeneréieren
decant	dekantéieren
declare	deklaréieren
downgrade	deklasséieren
decline	deklinéieren
decode	dekodéieren
discolour	dekoloréieren
decompress	dekompriméieren
decorate	dekoréieren
delegate	delegéieren
deliberate	deliberéieren
dislodge	delogéieren
demarcate	demarkéieren
start	demarréieren
unmask	demaskéieren
deny	dementéieren
resign	demissionéieren
demobilise	demobiliséieren
demolish	demoléieren
demonstrate	demonstréieren
dismantle	demontéieren
demoralise	demoraliséieren
denature	denaturéieren
denigrate	denigréieren
denounce	denunzéieren
help out	depannéieren
exceed	depasséieren
depilate	depiléieren
deposit	deponéieren
deport	deportéieren
depress	depriméieren
disturb	derangéieren
decelerate	desacceleréieren
deactivate	desaktivéieren
disapprove	desapprouvéieren
discriminate	desavantagéieren
desensitise	desensibiliséieren
designate	designéieren
disinfect	desinfizéieren
detach	detachéieren
detect	detektéieren
devalue	devaluéieren
develop	developpéieren
deviate	deviéieren
decentralise	dezentraliséieren
discredit	diskreditéieren
discriminate	diskriminéieren
exchange	echangéieren
suppurate	eeteren
equalise	egaliséieren
honour	éieren
ejaculate	ejakuléieren
elaborate	elaboréieren
electrify	elektrifizéieren
electrocute	elektrocutéieren
email	emailen
emigrate	emigréieren
annoy	emmerdéieren
receive	empfänken
recommend	empfielen
frame	encadréieren
encourage	encouragéieren
end	endegen
indoctrinate	endoktrinéieren
envisage	envisagéieren
equip	equipéieren
erode	erodéieren
escalade	eskaladéieren
escort	eskortéieren
estimate	estiméieren
calibrate	etalonnéieren
nationalise	etatiséieren
evacuate	evakuéieren
evaluate	evaluéieren
evolve	evoluéieren
evoke	evoquéieren
exaggerate	exageréieren
examine	examinéieren
excite	excitéieren
excuse	excuséieren
execute	exekutéieren
exhume	exhuméieren
demand	exigéieren
exile	exiléieren
exist	existéieren
excommunicate	exkommunizéieren
exorcise	exorzéieren
expatriate	expatriéieren
send	expediéieren
experiment	experimentéieren
explain	explizéieren
explode	explodéieren
exploit	exploitéieren
export	exportéieren
expose	exposéieren
expropriate	expropriéieren
pester	exteren
exterminate	exterminéieren
surround	ëmstellen
undermine	ënnerhillegen
underpin	ënnermaueren
teach	ënnerriichten
underestimate	ënnerschätzen
examine	ënnersichen
suppose	ënnerstellen
support	ënnerstëtzen
underline	ënnersträichen
tunnel	ënnertunnelen
register	enregistréieren
lack	entbieren
dechlorinate	entchloren
kidnap	entféieren
fly	entfléien
slip	entglëtschen
decalcify	entkalleken
exonerate	entlaaschten
incapacitate	entmëndegen
fall asleep	entnäipen
snatch	enträissen
defuse	entschäerfen
excuse	entschëllegen
compensate	entschiedegen
unveil	entschleieren
make up one's mind	entschléissen
decipher	entschlësselen
depopulate	entvëlkeren
decontaminate	entgëften
dehydrate	entwässeren
develop	entwéckelen
design	entwerfen
get away	entwëschen
wean	entwinnen
slip	entwutschen
recall	erënneren
without	ouni
wing	Flillek
wing	Fliicht
wing	Fligel
sun	Sonn
feather	Plomm
horn	Har
star	Stär
rain	Reen
snow	Schnéi
fog	Niwwel
lake	Séi
dust	Stëbs
earth	Buedem
pepper	Peffer
cloud	Wollek
street	Strooss
motorway	Autobunn
great	grouss
small	kleng
long	laang
short	kuerz
broad	breet
narrow	schmuel
narrow	enk
thick	déck
thin	dënn
heavy	schwéier
happiness	Gléck
happy	glécklech
sad	trauereg
human	Mënsch
under	ënner
music	Musek
musician	Museker
grasp	erfaassen
scare	erféieren
fill	erfëllen
freeze	erfréieren
refresh	erfrëschen
require	erfuerderen
learn	erfueren
explore	erfuerschen
delight	ergätzen
swindle	ergauneren
sieze	ergräifen
negotiate	erhandelen
starve	erhéngeren
hope	erhoffen
release	erléisen
illuminate	erliichten
authorise	ermächtegen
exhort	ermahnen
make	erméiglechen
encourage	ermonteren
renew	erneieren
humiliate	erniddregen
nourish	ernieren
sober up	erniichteren
reach	erreechen
shoot	erschéissen
appear	erschéngen
catch	erwëschen
strangle	erwiergen
fast	faaschten
fabricate	fabrizéieren
dither	fackelen
fan	fächelen
fear	fäerten
wander	fändelen
triangle	Dräieck
quadrilateral	Véiereck
pentagon	Fënnefeck
bleak	Aalbes
worker	Aarbechter
unemployed	aarbechtslos
axe	Aaxt
jealousy	Abgascht
damaged	abiméiert
illusion	Abildung
burglary	Abroch
intentional	absichtlech
purchase	Acquisitioun
adaptation	Adaptatioun
grass snake	Adder
noble	adeleg
adequate	adequat
nut	Noss
monkey nut	Afennoss
walnut	Hackernoss
cockerel	Hunn
eagle	Aadler
conceited	agebilt
confession	Ageständnes
zeal	Äifer
zealous	äifereg
polar bear	Äisbier
icy	äiseg
ice-cold	äiskal
nape	Akaul
fanaticize	fanatiséieren
fantasize	fantaséieren
stuff	farcéieren
fart	faschten
fascinate	faszinéieren
roam	fatzen
rot	faulen
favour	favoriséieren
fuck	fécken
federate	federéieren
absent	feelen
celebrate	feieren
lead	féieren
fever	féiweren
felicitate	felicitéieren
fill	fëllen
smoke	fëmmen
fiddle	féngeren
fish	fëschen
feel	fillen
filter	filteren
drizzle	fiselen
fixate	fixéieren
flicker	flackeren
slam	flätschen
stroll	flanéieren
flatter	flattéieren
stain	flecken
repair	flécken
sinn	fléien
flow	fléissen
flicker	flimmeren
speed	flitzen
fib	flunkeren
slide	flutschen
annoy	fochsen
trade	focken
follow	follegen
tack	fooschen
force	forcéieren
format	formatéieren
form	forméieren
formulate	formuléieren
photograph	fotograféieren
photocopy	fotokopéieren
grout	fouen
rest	foussen
fiddle	fréckelen
court	freien
freeze	fréieren
eat	frupsen
frustrate	frustréieren
gesticulate	fuchtelen
cheat	fuddelen
delirious	fuebelen
demand	fuerderen
research	fuerschen
fart	fuerzen
mimic	fuschen
function	funktionéieren
yawn	gaapsen
cackle	gackeren
whip	gäisselen
stingy	gäizen
rein	gängelen
gallop	galoppéieren
guarantee	garantéieren
garnish	garnéieren
hack	garrelen
joke	gecksen
haunt	geeschteren
play	geien
pour	géissen
succeed	geléngen
embarrass	genéieren
enjoy	genéissen
generalise	generaliséieren
grant	gënnen
manage	geréieren
happen	geschéien
strangle	gierksen
salivate	gladderen
prosper	glécken
covet	glëschten
glide	glëtschen
structure	glidderen
glow	glousen
rub out	gomméieren
govern	gouvernéieren
reach	gräifen
crunch	grätschen
granulate	granuléieren
grumpy	granzen
grill	gratinéieren
congratulate	gratuléieren
fear	graulen
engrave	gravéieren
greet	gréissen
found	grënnen
shower	Dusch
young	jonk
alert	aläert
introduction	Aleedung
alliterative	aliteréiert
everyday	Alldag
daily	alldeeglech
in any case	allefalls
everywhere	allenenn
firstly	alleréischt
however	allerdéngs
all	allerlee
general	allgemeng
generality	Allgemengheet
allocation	Allocatioun
allusion	Allusioun
nightmare	Alpdram
ambiguity	Ambiguitéit
ambitious	éiergäizeg
ambitious	ambitiéis
term	Amtszäit
anachronistic	anachronistesch
anarchistic	anarchistesch
on the one hand	engersäits
on the other hand	anerersäits
elsewhere	anerwäerts
wool	Woll
so-called	angeblech
angst	Angscht
sober	eniichter
animation	Animatioun
animosity	Animositéit
annotation	Annotatioun
anonymity	Anonymitéit
vivid	anschaulech
decent	anstänneg
tonight	hënt
hurry	Hetz
expensive	deier
pay	bezuelen
pet	Hausdéier
season	Joreszäit
spring	Fréijoer
autumn	Hierscht
winter	Wanter
drug dealer	Drogendealer
knight	Sprénger
bishop	Leefer
tower	Tuerm
resin	Haarz
chop	hachéieren
gasp	hächelen
harden	häerden
hang	hänken
tease	hänselen
fondle	hätschelen
artistic	artistesch
ashtray	Äschebecher
Cinderella	Äschepuddel
second	Sekonn
minute	Minutt
hour	Stonn
number	Zuel
blackbird	Märel
magpie	Kréi
sparrow	Mësch
chaffinch	Poufank
sort	Zort
crow	Kueb
quail	Wuechtel
robin	Routbrëschtchen
partridge	Feldhong
gull	Méiw
swallow	Schmuebel
swallow	Schmuelef
wren	Zwirkinnek
tit	Mees
starling	Spréif
tuna	Thon
salmon	Saumon
shark	Haifësch
trout	Frell
tench	Schlei
pike	Hiecht
sea horse	Séipäerdchen
turtle	Deckelsmouk
sheep	Schof
weasel	Wisel
seal	Séihond
raccoon	Wäschbier
giraffe	Giraff
reindeer	Rendéier
guinea pig	Mierschwéngchen
mole	Maulef
molehill	Maulefskoup
football	Foussball
pair	Puer
free	fräi
fearful	baang
barefooted	baarbes
barbel	Baarf
merciful	baarmhäerzeg
mercy	Baarmhäerzegkeet
hawthorn	Bottel
fallow	Brooch
steam	Damp
sin	Sënd
art	Konscht
boot	Stiwwel
brooch	Brosch
drop	Drëps
handcart	Jabel
male	männlech
female	weiblech
neuter	sächlech
objective	sachlech
completed	absolvéiert
hunger	héngeren
broom	Biesem
hanger	Bigel
ticket	Billjee
lead	Bläi
aphid	Blatlaus
look	Bléck
shy	bléid
injury	Bless
lad	Borscht
strange	bosseg
fine	Bouss
hydrogen	Waasserstoff
carbon	Kuelestoff
nitrogen	Stéckstoff
sulfur	Schwiefel
nickel	Néckel
zinc	Zénk
silver	Sëlwer
tin	Zënn
mercury	Quecksëlwer
roof	Daach
roofer	Daachdecker
skylight	Daachliicht
light	Liicht
idiot	Dabo
often	dacks
baptism	Daf
deafness	Dafheet
adjective	-heet
your	däin
clear	däitlech
slab	Dalle
thorn	Dar
hedgehog	Däreldéier
exhausted	dätsch
debate	Debatt
why	firwat
how much	wéi vill
poster	Affiche
affinity	Affinitéit
furnished	ageriicht
invasion	Amarsch
seldom	seelen
ambition	Ambitioun
moment	Ament
oak	Eech
excuse me	entschëllegt
see	gesinn
recognise	agesinn
seem	ausgesinn
see	erëmgesinn
pick up	ofgesinn
watch	ugesinn
foresee	virgesinn
menace	dreeën
lay down	leeën
insert	aleeën
pave	paweeën
alliance	Bond
kiss	këssen
superhero	Superheld
root	Wuerzel
rope	Seel
nasty	knaschteg
dirty	dreckeg
soft	mëll
mild	duuss
paper	Pabeier
club	Veräin
first	éischt
third	drëtt
fourth	véiert
fifth	fënneft
sixth	sechst
seventh	siwent
ninth	néngt
tenth	zéngt
eleventh	eeleft
twelfth	zwieleft
thirteenth	dräizéngt
fourteenth	véierzéngt
fifteenth	fofzéngt
sixteenth	siechzéngt
seventeenth	siwwenzéngt
eighteenth	uechtzéngt
nineteenth	nonzéngt
twentieth	zwanzegst
last	lescht
fireman	Pompjee
fire engine	Pompjeesgefier
vehicle	Gefier
police	Police
siren	Sireen
difference	Ënnerscheed
price	Präis
prison	Prisong
envious	neidesch
juicy	säfteg
key	Schlëssel
keyhole	Schlëssellach
ladder	Leeder
lantern	Lanter
earwax	Ouereschmalz
late	spéit
laugh	Laach
laughable	lächerlech
washing	Wäsch
lawful	gesetzlech
lawyer	Affekot
leap year	Schaltjoer
lemonade	Limonad
lesbian	lesbesch
lesbian	Lesb
light blue	hellblo
not	kengem
not	kenger
dative case	kengen
you	Dir
you	Iech
always	ëmmer
something	eppes
bucket	Eemer
market	Maart
postage stamp	Timber
bathtub	Buedbidden
cloth	Duch
bath	Buedduch
tablecloth	Dëschelduch
hand towel	Handduch
room	Zëmmer
bathroom	Buedzëmmer
home	doheem
dining room	Iesszëmmer
washbasin	Lavabo
coat stand	Mantelbriet
wave	Well
microwave	Mikrowell
living room	Stuff
carpet	Teppech
above	uewen
oven	Uewen
nest	Nascht
broken	futti
ring	Rank
shop	Buttek
school	Schoul
university	Universitéit
way	Wee
striped	gesträift
pharmacy	Apdikt
dress	Kleed
only	nëmmen
approximate	ongeféier
pullover	Plower
dress	Rack
ribbon	Schlapp
people	Leit
bell	Schell
terrace	Terrass
stair	Trap
together	zesummen
healthy	gesond
cotton	Kotteng
pearl	Pärel
handbag	Posch
chocolate spread	Schockelasbotter
silk	Seid
slave	Sklav
weather	Wieder
acceleration	Acceleratioun
accumulation	Accumulatioun
accusation	Accusatioun
accusation	Beschëllegung
adaptation	Upassung
administration	Administratioun
affiliation	Affiliatioun
affirmation	Affirmatioun
agglomeration	Agglomeratioun
application	Applikatioun
association	Associatioun
authorisation	Autorisatioun
aviation	Aviatioun
collaboration	Collaboratioun
confirmation	Confirmatioun
connection	Connectioun
absolution	Absolutioun
consultation	Consultatioun
conversation	Conversatioun
convocation	Convocatioun
subscription	Cotisatioun
declaration	Deklaratioun
medal	Medail
decoration	Dekoratioun
delegation	Delegatioun
demonstration	Demonstratioun
deportation	Deportatioun
destination	Destinatioun
deviation	Deviatioun
discrimination	Diskriminatioun
discrimination	Diskriminéierung
education	Educatioun
elaboration	Elaboratioun
elimination	Eliminatioun
emigration	Emigratioun
estimation	Estimatioun
evacuation	Evakuation
exploitation	Exploitatioun
fascination	Faszinatioun
federation	Federatioun
foundation	Fondatioun
formation	Formatioun
formulation	Formuléierung
frustration	Frust
generation	Generatioun
gravitation	Gravitatioun
hallucination	Halluzinatioun
illustration	Illustratioun
cheap	bëlleg
imitation	Imitatioun
immigration	Immigratioun
immigration	Awanderung
improvisation	Improvisatioun
inauguration	Inauguratioun
inauguration	Aweiung
initiation	Aféierung
initiation	Initiatioun
innovation	Innovatioun
inspiration	Inspiratioun
installation	Installatioun
integration	Integratioun
invitation	Invitatioun
you	iech
typewriter	Schreifmaschinn
old-fashioned	almoudesch
up-to-date	neimoudesch
giant	Ris
skirt	Jupe
witch	Hex
parent	Elteren
tart	Taart
salad	Zalot
pen	Stëft
pencil	Bläistëft
true	wouer
high	héich
hard	haart
boring	langweileg
middle	mëttel
means	Mëttel
furniture	Miwwel
low	niddereg
sauerkraut	Sauermous
spotted	getëppelt
marriage	Hochzäit
air	Loft
pope	Poopst
doll	Popp
swimming pool	Schwämm
vinegar	Esseg
noodle	Nuddel
rice	Räis
fried egg	Spigelee
oil	Ueleg
sauce	Zooss
sausage	Zoossiss
vegetable	Geméis
chef	Kach
thirsty	duuschtereg
hungry	hongereg
napkin	Zervéit
deep	déif
thief	Déif
morning	moies
midday	mëttes
at night	nuets
Monday	méindes
Tuesday	dënschdes
Wednesday	mëttwochs
Thursday	donneschdes
Friday	freides
Saturday	samschdes
Sunday	sonndes
guest	Gaascht
afternoon	Nomëtteg
afternoon	nomëttes
question	Fro
tender	zaart
hot-headed	hëtzeg
heat	Hëtzt
yeast	Hief
hilly	hiwweleg
piece	Stéck
branch	Aascht
wasp	Harespel
pedestrian	Foussgänger
binding	Aband
trough	Trach
examination	Examen
fresh	frësch
hospital	Spidol
public holiday	Feierdag
envelope	Enveloppe
scissors	Schéier
attic	Späicher
melon	Meloun
watermelon	Waassermeloun
train	Zuch
definite	bestëmmt
indefinite	onbestëmmt
plan	Plang
roller skate	Rollschong
lane	Bunn
railway	Eisebunn
tap	Krunn
crown	Kroun
game	Wëld
banknote	Geldschäin
surprise	Iwwerraschung
noise	Kaméidi
village	Duerf
pram	Kutsch
schoolyard	Schoulhaff
sister-in-law	Schwéiesch
area	Fläch
finished	fäerdeg
home	Heem
twenty-two	zweeanzwanzeg
twenty-three	dräianzwanzeg
twenty-four	véieranzwanzeg
twenty-five	fënnefanzwanzeg
twenty-six	sechsanzwanzeg
twenty-seven	siwenanzwanzeg
twenty-eight	aachtanzwanzeg
twenty-nine	nénganzwanzeg
thirty-one	eenandrësseg
thirty-two	zweeandrësseg
thirty-three	dräiandrësseg
thirty-four	véierandrësseg
thirty-five	fënnefandrësseg
thirty-six	sechsandrësseg
thirty-seven	siwenandrësseg
thirty-eight	aachtandrësseg
thirty-nine	néngandrësseg
forty-one	eenavéierzeg
forty-two	zweeavéierzeg
forty-three	dräiavéierzeg
forty-four	véieravéierzeg
forty-five	fënnefavéierzeg
forty-six	sechsavéierzeg
forty-seven	siwenavéierzeg
forty-eight	aachtavéierzeg
forty-nine	néngavéierzeg
brake	Brems
handbrake	Handbrems
seat	Sëtz
million	Millioun
billion	Milliard
billion	Billioun
quadrillion	Billiard
trillion	Trillioun
ball	Bal
confession	Beicht
religious	reliéis
parson	Paschtouer
priest	Priister
egg	Héngeree
ovary	Eeërstack
template	Schabloun
clitoris	Gäipmännchen
vulva	Scheedenagank
promise	Verspriechen
promise	verspriechen
night	Hënt
pride	Houfert
plane	Huwwel
hydraulic	hydraulesch
hysterical	hysteresch
idealistic	idealistesch
idiotic	idiotesch
hereditary	ierflech
in use	gebräichlech
unused	ongebräichlech
appetizing	appetitlech
unappetizing	onappetitlech
unmerciful	onbaarmhäerzeg
mercilessness	Onbaarmhäerzegkeet
leash	Léngt
length	Längt
drawer	Tirang
thickness	Déckt
piglet	Fierkel
favourite	Fiffi
clever	fiffeg
spruce	Fiicht
humid	fiicht
felt-tip pen	Filzstëft
felt	Feuter
highlighter	Markéierstëft
marker	Marqueur
request	Ufro
my	menger
your	dengem
your	denger
your	dengen
taste	Geschmaach
salty	salzeg
clubs	Kräizer
cross	Kräiz
rue	Raut
hearts	Häerzer
spades	Schëppen
spade	Schëpp
playing card	Spillkaart
early	fréi
manger	Krëpp
crib	Krëppchen
bran	Krësch
crutch	Krätsch
cry	Kreesch
war	Krich
corn	Kréiena
currant	Kréischel
crayfish	Kriibs
virgin	Jongfra
son	Jong
scorpion	Skorpioun
arachnid	Spannendéier
archer	Schëtz
ibex	Steebock
water carrier	Waassermann
random	zoufälleg
crime	Krimi
stuff	Krom
crooked	kromm
hook	Krop
rapid	flénk
shotgun	Flënt
liquid	flësseg
episode	Folleg
taxi driver	Taxichauffeur
driver	Chauffer
chauffeur	chaufféieren
box tree	Pällem
thistle	Dëschtel
club	Klëppel
wormwood	Batteralzem
mugwort	Alzem
sacristan	Koschter
handle	hantéieren
hurry	haselen
breathe	hauchen
howl	haulen
hawk	hauséieren
pant	hechelen
heap	heefen
crochet	heekelen
heal	heelen
stroke	heemelen
called	heeschen
heeschen	housch
heeschen	houschs
heeschen	houscht
heeschen	houschen
heeschen	héisch
heeschen	héischs
heeschen	héischen
heeschen	héischt
hear	héieren
increase	héijen
hinder	hënneren
heat	hëtzen
hiccup	hicken
lift	hiewen
homologate	homologéieren
hop	hoppelen
hospitalise	hospitaliséieren
prostitute	Houer
cough	houschten
squat	huppen
plane	huwwelen
hypnotise	hypnotiséieren
stay	bleiwen
colour	fierwen
tan	gierwen
believe	gleewen
grueft	gruewen
inherit	ierwen
identify	identifizéieren
annoy	iergeren
ignore	ignoréieren
illustrate	illustréieren
brutality	Brutalitéit
immigrate	immigréieren
immigrate	awanderen
quetsch	Quetsch
steal	stielen
live	wunnen
approve	approuvéieren
discharge	entbannen
crumb	Grimmel
capable	fäeg
ability	Fäegkeet
word	Wuert
sentence	Saz
over	iwwer
against	géint
particularly	besonnesch
moment	Abléck
present	ablécklech
April fool	Abrëllsgeck
particularly	absënns
abusive	abusiv
transfer	Abzebild
delivery	Accouchement
axle	Achs
adoption	Adoptioun
sacrifice	Affer
offertory	Afferstack
floor	Stack
influence	Afloss
preserved	Agemaachtes
snowed in	ageschneit
ice age	Äiszäit
time	Zäit
income	Akommes
meticulous	akribesch
stain	beezen
marinate	abeezen
expiate	béissen
lose	abéissen
deposit	abezuelen
imagine	abilden
sew	bitzen
teach	bäibréngen
kill	ëmbréngen
accommodate	ënnerbréngen
under-	ënner-
bring in	erabréngen
out of	eraus
break in	abriechen
contact	Ëmgang
colloquial	Ëmgangssprooch
colloquial	ëmgangssproochlech
dig	buddelen
bury	abuddelen
check in	anchecken
stock up	andecken
divide up	andeelen
push	drécken
printer	Drécker
push in	andrécken
turn	dréien
screw	andréien
collect	andreiwen
irrupt	andréngen
carry	droen
record	androen
restrict	anengen
capture	faassen
border	afaassen
different	anescht
fact	Angab
change	Ännerung
antenna	Antenn
antiquity	Antiquitéit
anti-Semitic	antisemitesch
somewhere	anzwousch
unusual	apaart
apathetic	apathesch
instead of	amplaz
apostolic	apostolesch
apple tree	Äppelbam
apple pie	Äppeltaart
apple turnover	Äppeltäsch
watercolour	Aquarell
arbitrator	Arbitter
aromatic	aromatesch
commitment	Asaz
judgement	Aschätzung
ash	Äsch
ace	Äss
soon	geschwënn
equal	gläich
otherwise	soss
authentic	authentesch
automatic	automatesch
authority	Autoritéit
tyre	Pneu
motor	Autoscourse
scene	Zeen
ripe	zeideg
line	Zeil
cell	Zell
celery	Zelleri
raw	réi
roe deer	Réi
insert	Bäilag
condolences	Bäileed
banker	Banquier
barbaric	barbaresch
split	Bascht
crack	baschten
farm	Bauerenhaff
dilapidated	baufälleg
outside	baussen
outside	baussent
outer	baussenzeg
baby	Bëbee
strong	staark
weak	schwaach
regular	regelméisseg
irregular	onregelméisseg
wild	wëll
willing	wëlleg
confused	konfus
sporty	sportlech
brave	daper
courageous	couragéiert
top	Dapp
worry	Suerg
worried	besuergt
calm	roueg
quiet	Rou
cloudy	wollekeg
blessed	séileg
foggy	niwweleg
fun	Spaass
funny	spaasseg
joke	spaassen
comic	komesch
close	schmeier
patient	gedëlleg
impatient	ongedëlleg
snappish	bësseg
bad	uerg
organ	Uergel
naivety	Naivitéit
clever	gescheit
ugly	gräisslech
depth	Déift
round	ronn
inhabitant	Awunner
straight	riicht
left	lénks
quadrilateral	véiereckeg
dark	donkel
darkness	Däischtert
darkness	Donkelheet
dry	dréchen
wet	naass
person	Persoun
law	Droit
clean	propper
term	Begrëff
grip	Grëff
pitchfork	Mëschtgreef
foreign	auslännesch
correction	Korrektioun
girl	Meedchen
partially	deelweis
rich	räich
far	wäit
puny	krappeg
slight	kleesper
blindly	blannemännches
doubt	Zweiwel
skinny	gouereg
pot	Dëppen
load	Laascht
unhappy	onglécklech
malicious	béisaarteg
unhealthy	ongesond
distrustful	mësstrauesch
crafty	fuusseg
overwhelmed	accabléiert
energetic	energesch
melancholic	melancholesch
abbreviation	Ofkierzung
honest	éierlech
wooden	hëlzen
enthusiasm	Begeeschterung
battle	Schluecht
battlefield	Schluechtfeld
slaughterhouse	Schluechthaus
shower	Schluet
smith	Schmadd
forge	Schmëdd
accommodation	Ënnerdaach
drink	Gedrénks
counter	Comptoir
reward	Belounung
remark	Bemierkung
profit	Benefice
user	Benotzer
petrol	Bensin
obsessed	benzeg
wavelength	Wellelängt
wavenumber	Wellenzuel
mechanics	Mechanik
classic	klassesch
wax	Wuess
whey	Wässeg
password	Passwuert
fast	séier
toothbrush	Zännbiischt
umbrella	Prabbeli
shampoo	Shampoing
provisional	provisoresch
soap	Seef
toilet paper	Toilettëpabeier
toothpaste	Zännseef
moon	Mound
build on	bäibauen
screw	Schrauf
tighten	bäidréien
contribute	bäidroen
screwdriver	Tournevis
file	Fichier
greeting	Begréissung
funeral	Begriefnes
claim	Behaaptung
handicapped	behënnert
handicap	Behënnerung
behaviour	Behuelen
behave	behuelen
confessional	Beichtstull
bag	Beidel
load	Belaaschtung
annoyance	Belästegung
insult	Beleidegung
popular	beléift
exposure	Beliichtung
worrying	beonrouegend
contact	Beréierung
gladly	gär
possessed	besiess
keep	bäihalen
crash	bäikéieren
settle	bäileeën
lie	bäileien
ingratiate	bäischmieren
bury	bäisetzen
contribute	bäisteieren
stand by	bäistoen
thunder	donneren
bite	Bëss
know-it-all	Besserwësser
stock	Bestand
component	Bestanddeel
stable	bestänneg
current	Stroum
change	Wiessel
catch	fänken
capture	afänken
occur	afalen
mill	Millen
introduce	aféieren
bottle	afëllen
winemaker	Wënzer
grease	afetten
dye	afierwen
throw	geheien
pour	agéissen
integrate	aglidderen
sink	agoen
intervene	agräifen
manure	Mëscht
knock	anhaen
mallet	Schlo
beginning	ufanks
hang	anhänken
death	Doud
crossword	Kräizwuerträtsel
caterpillar	Raup
spaceship	Raumschëff
reaction	Reaktioun
rebellion	Rebellioun
reception	Receptioun
reality	Realitéit
realisation	Realisatioun
dowry	Dott
relapse	Réckfall
heron	Räer
gadwall	Schnadderint
whistle	Päif
tobacco	Tubak
snuff	Schnauftubak
teal	Wanterint
wigeon	Päifint
red-crested pochard	Krounenint
common pochard	Tafelint
kestrel	Kréchel
peewit	Piwitsch
plover	Wakeleefer
pebble	Wak
common snipe	Bekassinn
redshank	Routpatt
barn owl	Tureil
nightjar	Fléimouk
slater	Leeëndecker
kingfisher	Äisvull
hoopoe	Mitock
woodpecker	Spiecht
jackdaw	Steekueb
rook	Hierschtkueb
raven	Ramm
blue tit	Blomees
great tit	Schielmees
crested tit	Hauwemees
bonnet	Hauf
coal tit	Dännemees
marsh tit	Gromees
willow	Weid
willow tit	Weidemees
long-tailed tit	Schwanzmees
chiffchaff	Zillzapp
swamp	Supp
waxwing	Peschtvull
plague	Pescht
heel	Feescht
thrush	Dréischel
size	Gréisst
redwing	Routdréischel
flycatcher	Méckefänkert
nightingale	Nuechtegailchen
whinchat	Brongbrëschtchen
bluethroat	Blobrëschtchen
redstart	Routschwanz
dunnock	Heckestéisser
middle	Mëtt
forename	Virnumm
pipit	Piipsert
tree pipit	Bampiipsert
meadow pipit	Wisepiipsert
meadow	Wiss
water pipit	Waasserpiipsert
white wagtail	Panewippchen
grey wagtail	Wanterpanewippchen
bullfinch	Pillo
peacock	Pohunn
