approbatur	A
farsightedness	kaukokatseisuus
cavalcade	kavalkadi
cavitation	kavitaatio
fishing permit	kalastuslupa
basis cranii	kallonpohja
Cambrian	kambri
Cambrian period	kambrikausi
Cambrian	kambrikautinen
Cambrian	kambrinen
ostrich	kamelikurki
fetter	kammitsa
horribly	kammottavasti
horribleness	kammottavuus
stiffly	kankeasti
stiffness	kankeus
universal joint	kardaani
universal joint	nivelakseli
bear meat	karhunliha
cartographic	kartografinen
conic projection	kartioprojektio
atlas	karttakirja
pork neck	kassler
kassler	kasleri
bulla	plombi
antiplatelet	antitromboottinen
egg on one's face	tahrata maineensa
Livonia	Liivinmaa
Livonian	liiviläinen
trajectory	kehityskaari
ring road	kehätie
rock	keikutella
artificial life	keinoelämä
artificial heart	keinosydän
artificial insemination	keinosiemennys
artificialness	keinotekoisuus
catering	keitraus
inventiveness	kekseliäisyys
stick	kepakko
centurion	kenturio
ceramic material	keraami
middle age	keski-ikä
middle-aged	keski-ikäinen
middle-aged	keski-ikäistyä
central reservation	keskikaista
middle-sized	keskisuuri
case	keskusyksikkö
permanent color	kestoväri
permanent	kestovärjäys
taming	kesyttäminen
untamed	kesyttämätön
untamed	kesytön
promiscuous	kevytkenkäinen
laggard	kuhnus
laggard	nuhjus
laggard	vitkastelija
wuss	lullukka
kick-off	alkupotku
inhibitor	estäjä
inhibition	estymä
rock music	jytä
dent	kuopake
radiological	radiologinen
thermometer	lämpömittari
fission bomb	fissiopommi
mesocarp	mesokarppi
pericarp	perikarppi
endocarp	endokarppi
huggable	halattava
in good time	hyvissä ajoin
chiral	kiraalinen
chirality	kiraalisuus
press conference	lehdistötilaisuus
bundle	nyytti
bundle	nyssykkä
squat	pönäkkä
tundra	paljakka
involuntary	vastentahtoinen
at least	sentään
afterwards	jälkeenpäin
haughty	koppava
overdress	ylipukeutua
-ologist	-ologi
type system	tyyppijärjestelmä
charge	veloittaa
toe socks	varvassukat
toe sock	varvassukka
unallied	liittoutumaton
unbaptized	kastamaton
uninspected	katsastamaton
inefficient	aikaansaamaton
facelift	kasvojenkohotus
assonance	assonanssi
chromophotography	kromofotografia
cumulation	kumuloituminen
curator	kuraattori
in demand	kurantti
magnetic levitation	magneettinen levitaatio
lumen	luumen
magnetooptics	magneto-optiikka
metacriticism	metakritiikki
moon boot	moonbootsit
motivated	motivoitu
nervosity	nervositeetti
neotropical	neotrooppinen
selector	selektori
semiautomatic	semiautomaattinen
cyclo-	syklo-
oersted	örsted
short	vähänläntä
blind	umpisilmä
moan	kaikertaa
brave	kempi
maple	vaaher
professional sports	ammattilaisurheilu
triglyceride	triglyseridi
polyglot	kielitaituri
shadow play	varjoteatteri
handsomeness	komeus
stand back	katsoa vierestä
team sport	joukkueurheilu
contact sport	kontaktiurheilu
gavotte	gavotti
geometrician	geometrikko
glucose	rypälesokeri
glycose	glykoosi
Gnostic	gnostinen
gratin	gratiini
grenadine	grenadiini
jadeite	jadeiitti
horsehair worm	jouhimato
hairshirt	jouhipaita
footstool	jalkajakkara
piston engine	mäntämoottori
royal family	kuningasperhe
safe sex	turvaseksi
shiso	veripeippi
plaster of Paris	kipsilaasti
paper cut	paperihaava
sex life	sukupuolielämä
Brown	Brownin liike
incompressible	puristumaton
homotopic	homotooppinen
menses	kuukautisvuoto
storyboard	kuvakäsikirjoitus
elf	tallitonttu
tetchily	ärtyisästi
Christmas card	joulukortti
fraternity	osakunta
fastidious	nirsoilla
poison dart frog	nuolimyrkkysammakko
ectopic pregnancy	kohdunulkoinen raskaus
ectopic	ektooppinen
ectopic	virhesijaintinen
ectopic	virhepaikkainen
oh dear	voi ei
out-of-body experience	kehostapoistumiskokemus
withdrawal	irtautuminen
good Lord	herranjestas
nonkilling	tappamattomuus
as usual	kuten tavallista
train of thought	ajatuskulku
watersport	vesiurheilu
extinguished	sammunut
trimming	oksinta
golden	tuhannen taalan
pinscher	pinseri
butchershop	lihakauppa
polygenetic	polygeneettinen
monogenetic	monogeneettinen
Ewe	ewet
kysymys on siitä	kysymys on siitä, että
TV guide	TV-opas
to thine own self be true	ole rehellinen itsellesi
futsal	salijalkapallo
flattery	mairea
own goal	aasinpotku
gulp	ahmaisu
hedgerow	aidanne
hedge	pensasaita
causing	aiheutus
timing	aikautus
sudden change	ailahdus
shift	ailahtelu
stroke	aironveto
barking	aisaus
fence	aidanvieri
blackout	ajatuskatko
swelling	ajettuma
draft reindeer	ajoporo
actualization	aktualisointi
subparagraph	alakohta
fold-down	alaslaskettava
drop	alenema
pass	alitus
root	alkujuuri
year	alkuvuosi
alkyd paint	alkydimaali
rookie time	alokasaika
regional minister	alueministeri
earning	ansainta
hesitation	arastelu
noncourageous	arkala
commonplace	arkipäiväisyys
infections	aseptiikka
hobbyist	askartelija
stepper	askellin
stepper	stepperi
stepper	askelluslaite
associative law	assosiaatiolaki
astrakhan fur coat	astrakaaniturkki
solar collector	aurinkokaha
solar collector	aurinkokerääjä
opening	avautuma
art rental shop	artoteekki
art rental shop	taidelainaamo
discount store	alennushalli
discount store	alehalli
discount store	alennustavaratalo
cannelloni	kanneloni
front	bulvaani
decoy	houkutuslintu
lifetime	elämänaika
staff officer	esikuntaupseeri
advance	etuanti
animal fossil	eläinfossiili
zoogeography	eläinmaantiede
zoological museum	eläinmuseo
recovery	elpyminen
primarily	ensisijaisesti
assistantship	assistentuuri
temperamental	oikutteleva
inferiority	alemmuus
inferiority	alempiarvoisuus
fingerbreadth	sormenleveys
combo	kombo
at all	yhtään
bedside table	yöpöytä
night	yöuni
night train	yöjuna
night guard	yövahti
night shift	yövuoro
herbal tea	yrttitee
business	yritystoiminta
radiation	radiaatio
radiometry	radiometria
rationality	rationaliteetti
trotter	ravuri
neigh	hirnahdella
knock	kolkutella
exocrine gland	avorauhanen
exocrine gland	eksokriininen rauhanen
exocrine	eksokriininen
autonomic nervous system	autonominen hermosto
enteritis	enteriitti
respiratory tract	hengitystie
glomerulus	hiussuonikeränen
shea	voipuu
caudate nucleus	häntätumake
hypospadias	hypospadia
cleft of venus	häpyrako
hypodermis	ihonalaiskerros
hypodermis	subkutis
lymphatic tissue	imukudos
shea butter	karitevoi
iridocyclitis	iridosykliitti
armpit fart	kainalopieru
keratoconus	kartiopullistuma
hair follicle	karvatuppi
claudication	katkokävely
dura mater	kovakalvo
teratogenesis	teratogeneesi
lipogram	lipogrammi
ambigram	ambigrammi
supercomputer	supertietokone
supersonic	supersooninen
superstring theory	supersäieteoria
supertanker	supertankkeri
superpower	supervalta
superstar	supertähti
superfluid	supraneste
surfer	surffaaja
surfboard	surffilauta
Simon says	kapteeni käskee
king of the hill	kukkulan kuningas
rubber duck	kylpyankka
capture the flag	lipunryöstö
pangram	pangrammi
paper doll	paperinukke
converse	päinvastainen
pedestal fan	jalkatuuletin
bathrobe	kylpytakki
mass media	joukkotiedotusvälineet
anyone	kuka tahansa
civil engineer	rakennusinsinööri
phrase book	tulkkisanakirja
phrase book	fraasisanakirja
kaikki muu	kaikki muut
ei kukaan muu	ei kukaan muu
ei kuka	ei kukaan
masterwork	mestarinäyte
bass clef	bassoavain
sun-dried	aurinkokuivattu
year in, year out	vuodesta toiseen
happy medium	kultainen keskitie
Raynaud's disease	Raynaud’n oireyhtymä
very	peräti
cloth	housukangas
jacquard	jakardikangas
haircloth	jouhikangas
flex fabric	joustokangas
piece	julistekangas
boreal pine forest	jäkäläkangas
herringbone patterned cloth	kalanruotokangas
worsted	kampalankakangas
canvas	kanavakangas
carded fabric	karstalankakangas
heathland	karukkokangas
fabric	kesäkangas
buckram	kovikekangas
rubber cloth	kumikangas
precut piece	kuponkikangas
fabric	kuviokangas
construction fabric	maarakennuskangas
awning fabric	markiisikangas
gauze	metallikangas
knitted fabric	neulekangas
nap cloth	nukkakangas
stitch bonded fabric	ommelkangas
quilted fabric	ontelokangas
plush	plyysikangas
fabric	pukukangas
cotton	pumpulikangas
sailcloth	purjekangas
toweling	pyyhekangas
toweling	pyyheliinakangas
fabric	päälliskangas
blended fabric	sekoitekangas
sieve cloth	siiviläkangas
decoration textile	sisustuskangas
emery cloth	smirgelikangas
emery paper	smirgelipaperi
plush	teddykangas
quilted cloth	tikkikangas
fabric	toppakangas
buckram	tukikangas
forest	turvekangas
zephyr	tuulikangas
upholstery fabric	verhoilukangas
upholstery	verhoilu
curtain fabric	verhokangas
fishnet	verkkokangas
waffle cloth	vohvelikangas
harpoon cannon	harppuunatykki
extremity	ääriraja
recording studio	äänittämö
voting age	äänioikeusikäraja
overtime	yliaika
profusion	ylenpalttisuus
rascal	villikko
cool	vilpas
bloody wound	verihaava
dwell on	vatvoa
bramble	vatukka
alert	virkku
barn	karjasuoja
hang	killua
ryegrass	luste
master	maakari
simian	apinamainen
annosum root rot	maannousema
direct debit	suoraveloitus
Wilson's disease	Wilsonin tauti
e-waste	elektroniikkaromu
spraddle	haarakäynti
bicycle kick	saksipotku
scissors crossover	puolenvaihtovaihde
olisi parasta	olisi parasta
nothing	ei mikään
ei missään	ei missään
never	ei milloinkaan
significant	merkitsevä
pick one's nose	kaivaa nenäänsä
promise	lupautua
operating time	toiminta-aika
living conditions	elinolot
ethos	eetos
decline	alamäki
downhill	myötämäki
downhill	myötämaa
highland	ylämaa
climb	vastamäki
climb	vastamaa
abscess	märkile
splinter	säpäle
slash	viillos
person	autotermiitti
skinning	nylky
paged	-sivuinen
symptomless	oireeton
symptomatic	oireellinen
operational	operatiivinen
instructive	opettavainen
teaching skill	opetustaito
school	opinahjo
living	opintotuki
student dormitory	opiskelija-asuntola
mentor	oppi-isä
tourist map	opaskartta
aetiology	syyoppi
gild the lily	kruusata
paint	maalailla
root canal	juurikanava
voyeurism	tirkistely
peek	tirkistellä
-logical	-loginen
-gen	-geeni
fog light	sumuvalo
evidence	todistusaineisto
billboard	mainostaulu
skinning	nylkeminen
terminative	-nni
rhythmic gymnastics	rytminen voimistelu
level crossing	tasoristeys
botanical	kasviopillinen
monetary	rahallinen
monetary	monetaarinen
biogeography	eliömaantiede
organ donor	elintenluovuttaja
organ donor	elimenluovuttaja
organ donation	elintenluovutus
-cyte	-syytti
-logist	-logi
-nomy	-nomi
urbanization	urbanisoituminen
gaga	hulluna
same-sex	samasukupuolinen
-type	-typia
fistfight	rysy
lean	nojautua
lecherous	irstailla
fare	jaksella
divide	jaksotella
prank	jekkuilla
speculate	jossitella
follow	mukailla
fight	nahistella
laggard	nahjustella
nibble	nakerrella
click	naksahdella
click	naksautella
click	naksutella
knock	nakutella
catch	nappailla
grate	narskahdella
munch	natustella
tipple	naukkailla
snap	niksahdella
limp	nilkutella
insubordinate	niskoitella
sway	notkutella
conform	noudatella
nod off	nuokahdella
droop	nuukahdella
skimp	nuukailla
pack	pakkailla
contemptibly	sikailla
dip	uitella
yelp	ulvahdella
thud	jymähdellä
thud	jymäytellä
thunder	jyrähdellä
pound	jyskytellä
structure	jäsennellä
stand on ceremony	jäykistellä
lie around	nyhjäillä
stay	pysytellä
plead	pyydellä
praise	ylistellä
swagger	ylvästellä
try	yritellä
cough	yskiskellä
marvel	äimistellä
wonder	ällistellä
redden	punehtua
thicken	puuroutua
fiercely	roikua
halt	seisahtua
rush	suoltua
straighten	suortua
realize	todentua
one-sided	yksipuolistua
become sturdy	järeytyä
become	järkiperäistyä
form	jäsentyä
resign	jättäytyä
boil	keittyä
fall over	kellistyä
turn bleak	kelmentyä
wind	keriytyä
negative	kielteistyä
curl up	kipristyä
tart	kirpeytyä
curl	kähertyä
hang about	kärkkyä
slump	köyristyä
irritated	leipääntyä
wave	leyhyä
near	likentyä
squeeze	likistyä
squeeze oneself	likistäytyä
jam	lyöttyä
westernize	läntistyä
flap	läpsyä
shake	löllyä
joint	niveltyä
jiggle	nytkyä
fluff	pörhistyä
snapping	räpsyä
wing	siivittyä
immerse	syventyä
bonk	tärskyä
fade	virttyä
lonely	yksinäistyä
promote	ylentyä
get cranky	äkämystyä
get cranky	äkääntyä
intellectual	älyllistyä
irritated	ärsyttyä
slow down	jarruuntua
come	juontua
sullen	juroutua
bark	kaarnoittua
formal	kaavoittua
reflect	kajastua
crank	kampeutua
become narrow	kapeutua
roughen	karhentua
rough	karheutua
barren	karuuntua
become hairy	karvoittua
dip	kastautua
grow together	kasvettua
plant	kasvittua
creaming	kermoittua
curl	kihartua
get	kiihkoutua
bunch up	kimppuuntua
stiffen	kipsaantua
screech	kirskua
office	konttoristua
get angry	korpeentua
crooked	kouruuntua
concave	kovertua
acknowledge	kuittautua
golden	kultautua
become	kuontua
bumpy	kuoppaantua
convex	kupertua
incarcerate	kureutua
stretch	kurottua
bud	kuroutua
image	kuvantua
furrow	juomu
creamer	kermakannu
bush	pehko
käydä käsi	käydä käsiksi
possibly	kenties
possibly	kukaties
bagful	laukullinen
easily	leikiten
bellow	mylväisy
burner	polttaja
daytime	päiväsaikaan
ajaa takaa	ajaa takaa
wretch	ressukka
back	selälleen
hugely	valtavasti
flap	vipattaa
flap	väpättää
wildfire	maastopalo
MEP	meppi
classified advertisement	rivi-ilmoitus
to whom it may concern	vastaanottajalle
dragonfly	korento
shelter	ensisuoja
know-how	taitotieto
poor thing	rassu
herbalism	herbalismi
cretonne	kretonki
glutton	loppasuu
gourmet	herkkusuu
glutton	syömäri
hindsight	jälkiviisaus
Japanese giant salamander	japaninjättisalamanteri
tired	väsyksissä
online store	nettikauppa
supermarket	marketti
augment	augmentti
vicious	paheellinen
otitis	korvatulehdus
soil type	maalaji
pedal	pedaali
rhythm	poljento
footpath	kinttupolku
pedal car	polkuauto
aviator	pilotti
autopilot	autopilotti
at the risk of	uhalla
Abrahamic	abrahamilainen
intercultural	kulttuurienvälinen
body shop	peltikorjaamo
Chinese Taipei	Kiinan Taipei
passer	passari
keycode	näppäinkoodi
keycode	avainkoodi
working week	työviikko
moonraker	kuupurje
shoeless	kengätön
saltine	voileipäkeksi
gravelike	hautamainen
Internationale	Kansainvälinen
multiplicand	kerrottava
rubber band	kuminauha
rubber band	kumilenkki
peeler	kuorimaveitsi
corrugated plate	aaltolevy
soil separate	maalajite
Glagolitic	glagoliittinen
stylobate	stylobaatti
autopilot	automaattiohjaus
skate on thin ice	liikkua heikoilla jäillä
suuri harppaus	suuri harppaus
kiosk	grillikioski
leveled	tasoittua
breadboard	leikkuulauta
unrifled	rihlaton
smoothbore	sileäputkinen
rifled	rihlattu
kopi luwak	näätäkahvi
erinaceous	siilimäinen
interior decoration	sisustus
interior design	sisustussuunnittelu
bearberry	sianmarja
pour oil on troubled waters	valaa öljyä laineille
sianpuolukka	pahapuolukka
sianpuolukka	pirunpuolukka
china shop	posliinikauppa
column inch	palstamillimetri
lose face	menettää kasvonsa
filigree	filigraani
nor	liioin
rough	tappura
suitably	sopivasti
aluminum foil	talousfolio
hot dog	hotsi
whoosh	suhahdus
tic-tac-toe	ristinolla
tic-tac-toe	jätkänšakki
grid paper	ruutupaperi
log-log paper	logaritmipaperi
semi-log paper	puolilogaritmipaperi
millimeter paper	millimetripaperi
stop	pysähdysaika
operating time	käyttöaika
probability paper	todennäköisyyspaperi
community	yhteisyys
battleship	laivastopeli
swear	vannonta
defect	tekovika
witted	-älyinen
half glove	kynsikäs
half glove	puolisormikas
half-	puoli-
binge drinking	ryyppääminen
hypernatremic	hypernatreeminen
mash	muusata
marketing campaign	markkinointikampanja
ihminen päättää	ihminen päättää, Jumala säätää
man in the moon	kuu-ukko
centre of buoyancy	nostepiste
piste	miekkailualue
traveller's cheque	matkasekki
magnesiochromite	magnesiokromiitti
macadamia nut	macadamiapähkinä
acromion	olkalisäke
alarmedly	hädissään
shovelful	lapiollinen
ebony	eebenpuinen
capitalist	kuponginleikkaaja
patronymic	Klemetti
water turbine	vesiturbiini
syphilis	kuppatauti
syphilitic	kuppatautinen
syphilitic	kuppainen
top	yläosa
cannonball	kanuunankuula
meowing	naukuna
multi-	moni-
parempi pyy pivossa kuin kymmenen oksalla	parempi pyy pivossa kuin kymmenen oksalla
pocketknife	linkkari
thicket	vitikko
worsted	kampalanka
worsted	kampalankainen
boathouse	venevaja
boat shoe	purjehduskenkä
houseboat	asuntoalus
Turing machine	Turingin kone
metaphorize	vertauskuvallistaa
overage	yli-ikäistyä
publication	kustanne
Virgin Mary	Neitsyt Maria
biradiate	kaksipiikkinen
woolly mammoth	villamammutti
woolly mammoth	villakarvamammutti
soil	sotata
pig	sottapytty
predominantly female	naisvaltainen
green-collar	viherkaulus
lexicology	sanasto-oppi
thinking aloud	ääneenajattelu
last hour	viime tingassa
Stockholmer	tukholmalainen
fracas	rytäkkä
Stockholm	tukholmalaisittain
by the	-ittain
tailgate	perälauta
I don't know	en tiedä
how much	kuinka paljon
where is the toilet	missä on vessa
microelectromechanical	mikroelektromekaaninen
topping	päällinen
carded yarn	karstalanka
add fuel to the fire	kaataa bensaa liekkeihin
propellant	ponnekaasu
sawlike	sahamainen
Sundanese	sunda
nonexperimental	ei-kokeellinen
overpraise	ylimainostaa
practically	käytännöllisesti katsoen
go too far	pitkälle
hermetically sealed	umpio
tongue kiss	kielisuudelma
gastight	kaasutiivis
algid	kylmettynyt
user-friendly	käyttäjäystävällinen
vault	holvautua
pilot project	pilottiprojekti
anal-retentive	anaalis-retentiivinen
homograph	homografi
nontraditional	epäperinteinen
light	köykäinen
lightweight	kevytrakenteinen
facet	fasetti
self-portrait	omakuva
half-staff	puolitanko
half-staff	suruliputus
creak	natina
shark	haikala
rocky	heiluva
hair lotion	hiusvesi
pietism	pietismi
guarantor	takaaja
unsmooth operation	takkuilu
flag	liputus
forging plant	takomo
tarpon	tarponi
teleportation	teleportti
surfactant	tensidi
among	joukossa
edge	syrjä
downhill	alamäkeä
downhill	alamäkeen
downhill	alamäessä
movable	liikuteltava
compartment	lokero
wedgewise	kiilamaisesti
bell-shaped	kellomainen
breadcrumb	korppujauho
ironing board	silityslauta
springboard	ponnahduslauta
agglutinative	agglutinatiivinen
agglutinative	agglutinoiva
glued	liimattu
-scope	-skooppi
yotta-	jotta-
zetta-	tsetta-
hecto-	hehto-
deci-	desi-
centi-	sentti-
zepto-	tsepto-
yocto-	jokto-
LAN	paikallisverkko
vegetable bouillon cube	kasvisliemikuutio
lastly	lopuksi
market maker	markkinatakaaja
Aussie rules	aussifutis
seedy	huonokuntoinen
enfant terrible	kauhukakara
mitä tulee	mitä tulee
patchwork quilt	tilkkutäkki
rubbing strip	törmäyslista
fall in	riviin järjesty
crotonic acid	krotonihappo
slanted edge	luiska
blasted stone	louhe
industrial espionage	teollisuusvakoilu
Ukrainian Soviet Socialist Republic	Ukrainan sosialistinen neuvostotasavalta
Telugu	telugu
percentage	prosenttiosuus
shower cap	suihkumyssy
Nathanael	Natanael
dog tag	bling-bling
penalty shootout	rangaistuspotkukilpailu
percentage	prosenttimääräinen
percentage	prosentuaalinen
percentile	persentiili
bilious	sappipitoinen
bilious	sapekas
pregnant	raskaaksi
failure rate	vikatiheys
failure rate	vikautuvuus
leading	pää-äänenkannattaja
organ	äänenkannattaja
principal tenant	päävuokralainen
seminal work	perusteos
mainstream	valtavirta
main	pääesikunta
head shop steward	pääluottamusmies
top	päällys
pearl	päärly
indecisive	päättämätön
final stop	päätepysäkki
final stop	päättäri
headache	pääkipu
headache	päänkivistys
mental calculation	päässälasku
head play	pääpeli
head player	pääpelaaja
baldness	kaljuus
sternocleidomastoid muscle	päännyökkääjälihas
idée fixe	päähänpiintymä
private motoring	yksityisautoilu
deacon	diakoni
cranium	pääluu
headrest	päänoja
pepo	kurkkukasvi
opera glasses	teatterikiikari
prime meridian	nollameridiaani
mook	mäntti
Greenwich Mean Time	Greenwichin aika
sexual	sukupuolinen
hemlock	hemlokki
cowbane	keiso
fool's cap	narrinhattu
allative case	-lle
nod	päännyökkäys
any way	mitenkään
mainshock	pääjäristys
foreshock	esijäristys
aftershock	jälkijäristys
-seen	-siin
lacustrine	lakustrinen
mainstage	päänäyttämö
main fire station	pääpaloasema
main line	päärata
general ledger	pääkirja
match	stemmata
lodestone	luonnonmagneetti
candy	kompiainen
potentate	potentaatti
potentate	mahtimies
geocentric	maakeskeinen
head support	pääntuki
potential	potentsiaali
potential mood	konsessiivi
indicative mood	tositapa
conjunctive mood	konjunktiivi
imperative mood	käskytapa
potential mood	mahtotapa
employment	työllisyys
deathbed	kuolinvuode
surcharge	lisämaksu
broad-leaved	leveälehtinen
hardware acceleration	rautakiihdytys
thoroughly	perusteellisesti
kicksled	potkukelkka
educated guess	valistunut arvaus
rolling resistance	vierimiskitka
cryptic crossword	piilosana
acrobat	tasapainotaiteilija
domestic dispute	perheriita
Agnus Dei	Jumalan Karitsa
vestibular	vestibulaarinen
main library	pääkirjasto
hapless	kovaonninen
unfortunate	epäonninen
good	kampe
grapnel	naara-ankkuri
eddy	akanvirta
nobleness	jalous
coprophagy	koprofagia
electioneering	vaalikampanja
foot job	jalkaseksi
laggard	nahjus
wimp	lallus
herb	ryyti
meantime	sillä välin
newly fallen in love	vastarakastunut
drunkard	spuge
wave	vilkutella
Zumba	zumbata
comb	pääkampa
cranium	pääkoppa
nervous	hermoilla
gourmandism	herkuttelu
chicken soup	kanakeitto
barefoot	avojaloin
pole dance	tankotanssi
the shoemaker's children go barefoot	suutarin lapsilla ei ole kenkiä
present continuous	kestopreesens
iatrophobia	iatrofobia
measly	vaivainen
stiletto heel	stilettikorko
labiaplasty	labioplastia
ex	eksä
condyloma	visvasyylä
condyloma	kondylooma
vegetable oil	kasvisöljy
boy next door	naapurinpoika
girl next door	naapurintyttö
maternity leave	äitiysvapaa
parental leave	vanhempainvapaa
folkway	kansanviisaus
cut off one's nose to spite one's face	sattua omaan nilkkaan
parametric	parametrinen
not at all	ei lainkaan
next door	naapurissa
recollect	palauttaa mieleensä
asterism	asterismi
Gaza Strip	Gazan kaista
lumberyard	lautatarha
lumberyard	puutavaraliike
Altay	Altai
national day	kansallispäivä
national holiday	kansallinen vapaapäivä
first-person	minä-muotoinen
second-person	sinä-muotoinen
third-person	hän-muotoinen
slam	läimäyttää
stunned	pökerryksissä
nympho	nymfo
fork in the road	tienhaara
muut esille tulevat asiat	muut esille tulevat asiat
AOB	META
away game	vieraspeli
away game	vierasottelu
home game	kotipeli
home game	kotiottelu
bumpy	kuoppainen
hammer and sickle	sirppi ja vasara
away with the fairies	muissa maailmoissa
cornstarch	maissitärkkelys
Eurovision laulukilpailu	Euroviisut
scar	jättää arpi
song	viisu
flick off	näyttää keskisormea
open neckline	avokaulainen
oneself	itselleen
hemline	helmalinja
helma	helman korkeus
view	elämänkatsomus
biathlon	ampumahiihto
press oneself	painautua
event	pahennus
deodorize	deodoroida
limited partnership	kommandiittiyhtiö
concavo-convex	koverankupera
simony	simonia
medical history	hoitohistoria
benzocaine	benzokaiini
natural phenomenon	luonnonilmiö
narcolepsy	nukahtelusairaus
windscreen washer	pissapoika
smoke	suitsuttaa
cortical	kortikaalinen
subcortical	aivokuorenalainen
subcortical	subkortikaalinen
adrenocortical	adrenokortikaalinen
adrenal cortex	lisämunuaiskuori
thalamocortical	talamokortikaalinen
ovoviviparous	ovovivipaarinen
ovoviviparity	ovovivipaarisuus
shocked	pöyristyä
tenfold	kymmenkertaisesti
garage	autotalli
en puhu	en puhu
pimping	tuunaus
pimp up	tuunata
Caesar salad	caesarsalaatti
chicken burger	kanahampurilainen
fishburger	kalahampurilainen
baconburger	pekonihampurilainen
veggie burger	kasvishampurilainen
go to bed	nukkumaan
mennä nukkumaan	mennä nukkumaan
put to sleep	laittaa nukkumaan
previously	ennestään
en	enkun
storage hut	niliaitta
niliaitta	patsasaitta
personification	Suomi-neito
somewhere around	liepeille
from somewhere around	liepeiltä
somewhere around	liepeillä
approximately	palttiarallaa
slowly	hiljalleen
pipe dream	pilvilinna
wet dream	märkä uni
sleeping sickness	unitauti
slither	luikerrella
put back	luimistaa
densitometer	densitometri
pack	sulloutua
mishap	kommellus
blissfully unaware	autuaan tietämätön
DVD	DVD-soitin
itse kukin	itsekukin
instructively	opettavaisesti
pram	lastenvaunut
to-do list	muistilista
stroller	lastenrattaat
treatise	tutkielma
bird of ill omen	pahanilmanlintu
thorn in the flesh	piikki lihassa
US dollar	Yhdysvaltain dollari
exhausted	uuvuksissa
swollen	paisuksissa
to exhaustion	uuvuksiin
ticket booth	lippukoppi
napiform	naurismainen
public opinion	yleinen mielipide
kiuas	heittää löylyä
prostatic	prostaattinen
prostatic	eturauhasen
prostatectomy	prostatektomia
mayday	hätäkutsu
grits	ryyni
ei savua ilman tulta	ei savua ilman tulta
funnel cake	tippaleipä
living	elin-
sour cherry	hapankirsikka
davit	taavetti
artisticness	taiteellisuus
vapor content	höyrypitoisuus
checklist	tarkastuslista
ice yacht	jääpursi
severity	vakavuus
last minute	viime hetki
last minute	viime hetken
overseas Chinese	ulkokiinalainen
lost	kadoksissa
flat-chested	lattarintainen
tap dance	stepata
nonfoaming	vaahtoamaton
foaming	vaahtoava
froth	vaahdoke
occupational	työperäinen
relative	takakohtainen
relative pronoun	takakohtainen asemo
language lab	kielilaboratorio
skylab	avaruuslaboratorio
choanoflagellate	kaulussiimaeliö
flagellate	siimaeliö
storage vessel	säilytysastia
storage device	tallennusväline
storage organ	varastoelin
continuously	solkenaan
geoscience	geotiede
hair	haituva
vaikka kuinka mones	vaikka kuinka mones
consumer price index	kuluttajahintaindeksi
producer price index	tuottajahintaindeksi
deicide	jumalanmurha
attempted murder	murhayritys
apart	harallaan
apart	haralleen
consumer good	kulutustavara
swollen	turvoksissa
swell	turvottaa
cross-section	halkileikkaus
in tune	vireessä
drop by	pistäytyä
leap	harppailla
basic element	perusosa
Pearson's long-clawed shrew	pearsoninpäästäinen
modifier	määriteosa
quantize	kvantittaa
theosophic	teosofinen
children's home	lastenkoti
cervix	kohdunkaula
permanently	pysyvästi
windward	tuulenpuoleinen
lurk	luurata
baffled	ymmällään
outsmart	päihittää
every	välein
fundamental interaction	perusvuorovaikutus
orienteering	suunnistaa
accessory	lisävaruste
pentatonic	viisisävelinen
pentatonic	pentatoninen
Greco-Roman	kreikkalais-roomalainen
pitää seuraa	pitää seuraa
ultimate	perimmäinen
rowing boat	savolaismallinen
long-lasting	pitkäikäinen
granary	vilja-aitta
free trade	vapaakauppa
free trade area	vapaakauppa-alue
horizontal position	pitkällään
move	liikauttaa
on top	ylleen
copyright symbol	tekijänoikeusmerkki
creeper	villiviini
insofar as	siinä määrin kuin
minun täytyy mennä	minun täytyy mennä
all-out	kaikki pelissä
all-round	laaja-alainen
all-round	monitaitoinen
while away	viettää aikaansa
bee-eater	mehiläissyöjä
truck	kuormuri
back seat	takaistuin
front seat	etuistuin
bustle	hääräillä
while away	lokoilla
fly	lennellä
title	kaupunkikonserni
grass script	kursiivikirjoitus
Victory Day	voitonpäivä
fish farming	kalankasvatus
carnivalesque	karnevalistinen
minority government	vähemmistöhallitus
neat-freak	puhtausintoilija
fail	mennä myttyyn
side effect	sivuvaikutus
business trip	liikematka
eloquence	kaunopuheisuus
bland	mitäänsanomaton
amphibian	amfibi
zero coupon bond	nollakuponkilaina
front yard	etupiha
workaholic	työnarkomaaninen
pogo stick	hyppykeppi
baking tray	uunipelti
baking tray	paistopelti
baking tray	pullapelti
snow-blind	lumisokea
bobtailed	töpöhäntäinen
baker's dozen	piruntusina
skilling	killinki
lay claim	vaatia itselleen
bad-mannered	huonotapainen
fabled	tarunhohtoinen
ball pit	pallomeri
pillowcase	tyynynpäällinen
silicon steel	piiteräs
supplement	täydennys
handmade	käsintehty
handwriting	käsinkirjoitus
stuck	jumissa
plinth	kivijalka
want	mieliteko
nearly	likipitäen
master	-niekka
character	kirjoitusmerkki
dim-witted	vähäjärkinen
kick-off	avauspotku
bottom sheet	aluslakana
top sheet	päällyslakana
bedcover	päiväpeite
bedding	vuodevaatteet
eiderdown	untuvatäkki
asswipe	paskapaperi
