deir siad	abraid
sprite	sprid
crook	bachall
priesthood	sagartóireacht
worldly	saolta
lewd	graosta
lewdness	graostacht
gloomy	duairc
snowiness	snechtamhla
walking	sráideacht
sharp	srónach
counterfoil	comhdhuille
acquisition	éadáil
profit	gnóthachan
barmbrack	bairín breac
loaf	bairín
loaf	builín
leafy	duilleach
bior fiacla	bior fiacla
sourdough	taos géar
taos fiacla	taos fiacla
float	bioróg
common horsetail	broimín
Amanach	Amanaigh
Amish	Amanach
shaving brush	scuab bhearrtha
flas fiacla	flas fiacla
scuab fiacla	scuab fiacla
Valentine's Day	Lá San Vailintín
graven	greanta
grit	grean
engraving	greanadh
graver	bior greanta
bior oighir	bior oighir
razor	rásúr
wire	sreang mhiotail
metal	miotal
rásúr sábháilte	rásúr sábháilte
safe	sábháilte
save	sábháil
scuab fiacla leictreach	scuab fiacla leictreach
electric	leictreach
lann rásúir	lann rásúir
sobal bearrtha	sobal bearrtha
scáthán bearrtha	scáthán bearrtha
foam	sobal
clip	bearr
skimmed	bearrtha
baring	lomadh
corned beef	mairteoil shaillte
earraí bearrtha	earraí bearrtha
spitroast	bior-róst
roast	róst
skillet	scilléad
saucepan	sáspan
razor clam	scian mhara
razor shell	scianbhreallach
protuberant	breallach
octopus	ochtapas
squid	scuid
squid	máthair shúigh
horsetail	eireaball capaill
stem	eireaball
tail	eireaball cóiméid
eireaball capaill coiteann	eireaball capaill coiteann
eireaball capaill mór	eireaball capaill mór
eireaball capaill uisce	eireaball capaill uisce
horsetail	scuab eich
variegated horsetail	scuab eich bhreac
field horsetail	scuab eich ghoirt
scuab eich uisce	scuab eich uisce
shade horsetail	scuab eich mhóinéir
marsh horsetail	scuab eich chorraigh
wood horsetail	scuab eich choille
meadow	móinéar
common	coiteann
curry paste	leafaos curaí
curry powder	púdar curaí
powder	púdar
powder	púdráil
paste	leafaos
Síne	Sín
Chinese	Sínis
prison	príosún
prisoner	príosúnach
Mancunian	Manchanach
Liverpudlian	Learphollach
sharp edge	faobhar
Czechoslovakian	Seicslóvacach
Slovakian	Slóvacach
peaceful	suaimhneach
peace	suaimhneas
weave	fí
Caledonia	Caladóin
eggplant	ubhthoradh
relief	faoiseamh
optic	optach
optics	optaic
courage	misneach
profit	tairbhe
companion	guaillí
companionship	guaillíocht
Maori	Maorach
Maori	Maorais
shirt	léine
parsimony	barainn
foster child	daltán
slate	slinn
water polo	póló uisce
semiconductor	leathsheoltóir
yellowish	scothbhuí
reddish	scothdhearg
pinkish	scoth-bhándearg
pinkish	scothphinc
pink	pinc
greenish	scothghlas
bluish	scothghorm
grayish	scothliath
purplish	scothchorcra
subcutaneous	fo-chraicneach
bifoliate	dédhuilleach
twayblade	dédhuilleog
calm	ciúine
red grouse	cearc fhraoigh
moorcock	coileach fraoigh
Commonwealth of Nations	Comhlathas Briotanach
Commonwealth of Nations	Comhlathas Briotanach na Náisiún
commonwealth	comhlathas
Lord's Prayer	Paidir an Tiarna
quinine	quinín
Corsaice	Corsaic
Corsican	Corsacach
Corsican	Corsaicis
overcurious	ainfhiosrach
constrained	srianta
dilemma	aincheist
evil deed	ainbheart
definite article	Ó
devil	diabhal
ignorant	aineolach
ignorance	aineolas
coefficient	comhéifeacht
force	éifeacht
nihilist	nihilí
nihilistic	nihilíoch
subway	íosbhealach
least	íos-
subpolar	fopholach
subway	fobhealach
rifle	raidhfil
injustice	aincheart
skerry	sceir
tiny	bídeach
slender	ain-
emperor	impire
empire	impireacht
imperial	impiriúil
outline	imlíne
configuration	imchruth
outline	imlínigh
parallel	comhthreomhar
cause	imdhearg
buttock	másach
blasphemy	diamhasla
blaspheme	blaisféim
dark	doilbhir
gloomy	gruama
déan trácht	déan trácht
déan cíoradh	déan cíoradh
discuss	cuir faoi chaibidil
combing	cíoradh
chapter	caibidil
discussion	mionphlé
small change	mionairgead
small	mion-
retail	miondíol
retailer	miondíoltóir
retailing	miondíoltóireacht
haberdashery	mionéadach
haberdashery	mionearraí
bite	miotaigh
minaret	miontúr
small talk	mionchaint
mince	mionfheoil
smile	miongháire
shred	mionghearr
asteroidal	astaróideach
asteroid	mionphláinéad
account	miontuairisc
likeness	samhail
model	mionsamhail
fearful	imeaglach
discussion	plé
prohibition	toirmeasc
insult	masla
information	tuairisc
amount	cuntas
point	ponc
full stop	lánstad
accountant	cuntasóir
valid contract	sochar
capital gain	gnóthachan caipitiúil
capital	caipitiúil
capital	caipiteal
abundance	iomad
painful	pianmhar
painkiller	pianmhúchán
anguish	pianpháis
penal servitude	pianseirbhís
punitive	pianúil
passion	páis
peaca	peaca an tsinsir
showily	péacógach
sinful	peacúil
snug	seascair
landlocked	talamhiata
closed	iata
dig	talmhaigh
tambourine	tambóirín
holy	naofa
holiness	naofacht
hallow	naomhaigh
sanctification	naomhú
canonize	naomhainmnigh
slur	aithis
profanity	naomhaithis
hagiography	naomhsheanchas
holy	beannaithe
high street	mórshráid
baby grand	mion-mhórphianó
homophonic	aonséiseach
melody	séis
shoot	buinne
seadadh roimh am	seadadh roimh am
roimh am	roimh am
unripe	anabaí
Buddhism	Búdachas
Bhúda	Búda
Theravada	Teireaváda
buddha	búda
Buddhist	Búdaíoch
koan	cóán
Dalai Lama	Dalaí Láma
Buddha-nature	Nádúr an Bhúda
is Búdaí mé	is Búdaí mé
nirvana	nirbheána
soft	leamh
ornithologist	éaneolaí
ornithology	éaneolaíocht
biofeedback	bith-aiseolas
bioaccumulation	bithbhailiú
accumulation	bailiú
gather	cruinnigh
bacon	bagún
fly	cuileog
queen mother	ríonmháthair
pósann siad	pósaid
syncopated music	snagcheol
rock	rac-cheol
duiker	dícear
addax	adacs
antelope	antalóp
antalóp	antalóp saigeach
capybara	capabára
dormouse	luch chodlamáin
dormouse	dallóg fhéir
flying squirrel	iora eitilte
iora eitilte Sibéarach	iora eitilte Sibéarach
gcúig céadfaí	cúig céadfaí
sense	céadfa
cohabitation	aontíos
minute	nóiméad
minute	bomaite
unicorn	aonbheannach
only son	aonmhac
unicolored	aondathach
monotheistic	aondiach
monotheistic	aondiachúil
monotheism	aondiachas
collectivism	aonseilbh
monotone	aonton
homeostasis	aonstádas
monosyllabic	aonsiollach
monotonous	aontonach
one-eyed	aonsúileach
syllabic	siollach
uniaxial	aon-aiseach
unipolar	aonpholach
unilateral	aontaobhach
homocentric	aonlárnach
monolingual	aonteangach
mononuclear	aon-núicléach
uniform	aonfhoirmeach
uniform	aonghnéitheach
monogamous	aonchéileach
monomial	aontéarmach
homeostatic	aonstádach
monomolecular	aonmhóilíneach
monomolecular	monamóilíneach
monobasic	aonbhunata
primary	bunata
unicellular	aoncheallach
univocal	aonchiallach
univocity	aonchiallacht
monosemy	aonchiallachas
homogeneous	aonchineálach
univalent	aonfhiúsach
unisexual	aonghnéasach
unidirectional	aontreoch
single	aondrongach
only begotten child	aonghin
nursery school	naíscoil
infant	naí
infant	naí-
homogeneity	aonchineálacht
monophonic	monafónach
monophonic	aonfhónach
simplex	aonphléacs
simplex	aonphléacsach
solo	aonréad
solo	aonréadach
equal height	comh-airde
unison	aoncheol
oneness	aontacht
homeothermic	aonteasach
monotonicity	aontonacht
celibacy	aontumha
celibate	aontumhach
celibate	gan phósadh
unisonal	aonsonach
monocline	aonchlaonas
monoclinal	aonchlaonasach
monochord	aonchorda
monochord	monachorda
monodentate	aondéadach
monopositive	aondeimhneach
monoclimax	aon-fhorchéim
single-cut	aonghearrtha
single	aonghuthach
monoideism	aonidéachas
monomineralic	aonmhianrúil
monoglaciation	aonoighriú
single	aonphointeach
single-layer	aonsraithe
single-use	aonúsáide
uniformitarianism	aonfhoirmeachas
uniformity	aonfhoirmeacht
mononucleate	aon-núicléatach
one-off	aonuaire
unidimensionality	aondiminsiúnacht
unimodal	aonmhódúil
monofunctional	aonfheidhmeach
uniformity	aonghnéitheacht
monogenic	aonghineach
univariate	aonathráid
univariate	aonathráideach
homophony	aonséis
uniserial	aonsrathach
-genic	-gineach
beaked	gobach
single	aonarach
singularity	aonaracht
single	aonarán
alone	aonaránach
solitariness	aonaránacht
modal	módúil
mainland	mórthír
census	móráireamh
broadsheet	mórbhileog
big-boned	mórchnámhach
wholesale	mórdhíol
gross negligence	mórfhaillí
great gross	mórghrósa
greatness	mórintinn
book	mórleabhar
open sea	mórmhuir
continent	mór-roinn
monostable	aonchobhsaí
univalve	aonchomhlach
unicasting	aonchraolachán
unicasting	aonchraoladh
monothematic	aontéamach
monothematic	monaitéamach
unanimity	aontoilíocht
one-dimensional	aontoiseach
monometric	aontroitheach
major axis	mór-ais
ledger	mórleabhar cuntas
high-minded	mórintinneach
continental	mór-roinneach
trifle	traidhfil
magnanimity	móraigeantacht
endpaper	bileog cheangail
handout	bileog eolais
handout	bileoigín
magnanimous	móraigeanta
mineralogist	mianreolaí
mineralogy	mianreolaíocht
big-bellied	mórbholgach
musical	ceoldráma
grand opera	mór-cheoldráma
big-heartedness	mórchroí
big-hearted	mórchroíoch
coarse-cut	mórghearrtha
loud	mórghuthach
high steward	mórmhaor
host	mórshlua
big-nosed	mórshrónach
expectation	mórshúil
gaudy	mórthaibhseach
major term	mórthéarma
display	mórthaispeántas
swath	sraith
mineral	mianra
mineral	mianrach
handout	bileog fhaisnéise
information	faisnéis
advertisement	fógrán
handout	glacán bileog
assembly	mórdháil
magniloquent	mórfhoclach
enough	mórdhóthain
enough	dóthain
wholesaler	mórdhíoltóir
major key	mórghléas
molecular	móilíneach
minor key	mionghléas
molecule	móilín
sod	mórfhód
fallow	fódbhán
sod	faoi fhód
deep	fódmhar
climax	forchéim
power	mórchumhachtach
power	mórchumhacht
power	cumhacht
valuable	mórluachach
merit	mórluaíocht
reward	luaíocht
speedboat	luasbhád
neglect	faillí
renowned	mórcháiliúil
circuit	mórthimpeall
objective	réadlionsa
stargazer	réadóir
stylesheet	bileog stíle
stylesheet	stílbhileog
style	stíl
broadcasting	craoladh
broadcasting	craolachán
use	úsáid
procession	mórshiúl
crumbs	bruscar
taxi	tacsaí
thing	réadán
real number	réaduimhir
observatory	réadlann
real	réadach
real	réadaigh
real	réadúil
bileog ama	bileog ama
sheet music	bileog cheoil
datasheet	bileog shonraí
data	sonraí
eye patch	bileog shúile
worksheet	bileog oibre
worksheet	bileog shaothair
labour	saothar
scoresheet	bileog na scór
big-headed	mórcheannach
bigmouthed	mórbhéalach
road	mórbhóthar
road	mórbhealach
medallion	mórbhonn
sheet anchor	mórancaire
abundant	mórbhainniúil
Adar	Adár
Tishrei	Tisrí
Kislev	Cisléiv
Nisan	Níosán
Sivan	Síveán
pride	móráil
addition	aguisín
seven people	mórsheisear
septuplet	seachtrín
great circle	mórchiorcal
self-important	mórchúiseach
self-importance	mórchúis
clothes	mórthomhas
frequentation	mórghnáth
mighty	mórghníomhach
intimate	gnátha
repute	mórchlúiteach
repute	clúiteach
mórchóir	ar an mórchóir
landmass	mórchríoch
great deal	mórchuid
X-ray	X-gha
X-ray	X-ghathú
xenon	xeanón
xylo-	xili-
xanthophyll	xantaifill
X-ray radiation	X-radaíocht
X-ray	X-ghathach
speed	mórluas
Abib	Áibíb
care	cúram
careful	cúramach
early	mórluath
major premise	mórleagan
goodness	mórmhaitheas
large-scale	mórscála
courage	mórmhisneach
appetite	mórshách
high spirits	mórmheanma
esteemed	mórmheasúil
swearing	mórmhionnach
xylan	xiolán
xylose	xileos
xylene	xiléin
xylem	xiléim
xylulose	xilealós
xerosere	xéiriséir
xerophyte	xéirifít
xanthene	xaintéin
xanthine	xaintin
xanthine	xaintín
xanthein	xantaein
xenolith	xéinilit
xeroderma	xéirideirme
icing	oighriú
glaciation	oighriúchán
cupboard	prios
way	treo
goodness	maitheas
moderate	cáiliúlacht
celebrated	cáiliúil
estimable	measúil
qualify	cáiligh
goodwill	cáilmheas
attributive	cáilíochta
quality	cáilíocht
qualifying	cáilitheach
lens	lionsa
gleaning	tacar
spiritedness	aigeantacht
natural	aigeanta
certain	deimhneach
swearing	mionnach
gross	grósa
will	toiligh
count	áireamh
count	áirigh
variate	athráid
cantata	cantáid
stable	cobhsaí
firmness	cobhsaíocht
alley	caolsráid
stabilize	cobhsaigh
stabilizer	cobhsaitheoir
stabilization	cobhsú
leaf	comhla
valvular	comhlach
hook	corrán
handout	dáileán
photonasty	fótanastacht
lingua franca	francbhéarla
voltaic	voltach
photovoltaic	fótavoltach
photoengraving	fótaighreanadóireacht
photosynthetic	fótaisintéiseach
photomicrography	fótaimicreagrafaíocht
phototactic	fótaluadrach
photoengraver	fótaighreanadóir
photosynthesis	fótaisintéis
synthesis	sintéis
phototaxis	fótaluadar
tropism	trópacht
phototropic	fótatrópach
phototropism	fótatrópacht
photomicrograph	fótaimicreagraf
notice	fógra
form	foirm
business	gnó
busy	gnóthach
active	gníomhach
kind	gné
term	téarma
theme	téama
mind	meanma
demonstration	taispeántas
phototype	fótachló
hard	crua
photochemistry	fótaiceimic
photosensitive	fótamhothálach
phototherapy	fótaiteiripe
photometer	fótaiméadar
photoelectric	fótaileictreach
photoelectric cell	fótaichill
photogenic	fótaigineach
photostat	fótastat
-lysis	-alú
photolysis	fótalú
photoperiodism	fótathréimhseacht
photosphere	fótaisféar
photoconductor	fótaisheolaí
sphere	sféar
sphericity	sféarúlacht
photogravure	fótaghrábháil
engrave	grábháil
photogrammetry	fótagramaíocht
phototelegraphy	fótaiteileagrafaíocht
telegraphy	teileagrafaíocht
telegraph	teileagraf
photogrammetry	fótagraiméadracht
photochemical	fótaiceimiceach
photomagnetism	fótamaighnéadas
photochromism	fótacrómachas
photojournalism	fóta-iriseoireacht
photocopier	fótachóipire
photocopier	gléas fótachóipeála
photocopy	fótachóipeáil
photocopier	fótachóipeálaí
photodiode	fótaidhé-óid
photojournalist	fóta-iriseoir
photosensor	fótabhraiteoir
photoemission	fóta-astú
photoresist	fótafhriotaí
photoresist	fótaifhriotán
photoionisation	fóta-ianúchán
photovoltaics	fótavoltachas
photo finish	fótaichríoch
photomontage	fótamontáis
photomosaic	fótamósáic
photolyase	fótaláis
photomultiplier	fóta-iolróir
acute accent	síneadh fada
stringed	sreangach
bloodshot eye	sreangshúil
photochromic	fótacrómach
photophosphorylation	fótafosfairiliú
photoreceptor	fótaghabhdóir
photogram	fótagram
photogeology	fótaigeolaíocht
photodisintegration	fóta-dhíscaoileadh
photoshoot	fótaisheisiún
photorealistic	fótairéalaíoch
photorelief	fótairilíf
photomap	fótamapa
photomap	fótailéarscáil
photometry	fótaiméadracht
photolithography	fótailiteagrafaíocht
photoelectron	fótaileictreon
photoelasticity	fótaileaisteachas
journalist	iriseoir
magazine	irisleabhar
journalism	iriseoireacht
map	léarscáil
photoconductivity	fótaisheoltacht
phototypography	fótachlóghrafaíocht
phototypesetting	fótachlóchuradóireacht
photoclinometer	fótachlaonmhéadar
photocathode	fótacatóid
photofit	fótashamhail
photocurrent	fótashruth
phototransistor	fótathrasraitheoir
photoemissive	fótastaíoch
photoproduct	fótatháirge
phototrophic	fótatrófach
mass transit	olliompar
phototransformation	fóta-trasfhoirmiú
montage	montáiste
four noble truths	ceithre fhírinne thriathacha
receptor	gabhdóir
electron	leictreon
electronic	leictreonach
disintegration	díscaoileadh
elasticity	leaisteachas
elastic	leaisteach
sensor	braiteoir
resist	friotaigh
resist	friotán
chemistry	ceimic
chemical	ceimiceach
ionization	ianúchán
phosphorylation	fosfairiliúchán
phosphorylation	fosfairiliú
ionization	ianú
ionize	ianaigh
mosaic	mósáic
relief	rilíf
product	táirge
geology	geolaíocht
lithography	liteagrafaíocht
archaeologist	seandálaí
archaeology	seandálaíocht
magnet	maighnéad
magnetism	maighnéadas
inhumanity	mídhaonnacht
inhuman	mídhaonna
lordly	triathach
emission	astú
emission	astaíocht
emission	astúchán
entrails	abach
abbacy	abacht
grianstad	grianstad an tsamhraidh
grianstad	grianstad an gheimhridh
solstice	grianstad
almond	almóinn
cathode	catóid
cathodic	catóideach
font	cló
tent	cló gona
print	clóbhuail
typesetting	clóchur
typesetter	clóchuradóir
typesetting	clóchuradóireacht
sensitive	mothálach
sensitiveness	mothálacht
chequebook	seicleabhar
conductivity	seoltacht
clinometer	claonmhéadar
realistic	réalaíoch
transformation	trasfhoirmiú
transform	trasfhoirmigh
transistor	trasraitheoir
period	tréimhse
clóigh le	clóigh le
typewriter	clóscríobhán
typist	clóscríobhaí
typographer	clóghrafóir
typography	clóghrafaíocht
typographical	clóghrafach
type metal	clómhiotal
printing press	clóphreas
printing	cló-inneall
printing works	clólann
printing paper	clópháipéar
compose	cló-eagraigh
composition	cló-eagar
compositor	cló-eagraí
line	clólíne
typescript	clóscríbhinn
typewriting	clóscríbhneoireacht
type	clóscríobh
handwriting	lámhscríbhneoireacht
organize	eagraigh
organizer	eagraí
written document	scríbhinn
writing	scríbhneoireacht
writer	scríbhneoir
booklet	leabhrán
imam	iomám
adult	fásta
police officer	garda síochána
police	Garda Síochána
peace	síocháin
leaba	leaba agus bricfeasta
teach leaba agus bricfeasta	teach leaba agus bricfeasta
Bulgarian	Bulgáiris
Bulgáire	Bulgáir
Czech	Seicis
Dutch	Ísiltíris
Dutch	Ollainnis
Ollainne	Ollainn
Latvian	Laitvis
Lithuanian	Liotuáinis
Maltese	Máltais
Portuguese	Portaingéilis
Romanian	Rómáinis
síocháin dó	síocháin dó
Republic of Malta	Poblacht Mhálta
Republic of Latvia	Poblacht na Laitvia
Maltese	Máltach
pleader	aighne
Swedish	Sualainnis
Sualainne	Sualainn
Swedish	Sualannach
Sualainne	Ríocht na Sualainne
Chinese	Síneach
People's Republic of China	Daon-Phoblacht na Síne
Republic of China	Poblacht na Síne
folk	daon-
republican	poblachtach
republicanism	poblachtachas
republican	poblachtánach
Republic of Poland	Poblacht na Polainne
Cóiré Thuaidh	Cóiré Thuaidh
Cóiré Theas	Cóiré Theas
Republic of Korea	Poblacht na Cóiré
Democratic People's Republic of Korea	Daon-Phoblacht Dhaonlathach na Cóiré
Latvian	Laitviach
Lithuanian	Liotuánach
federation	feidearálacht
Laitvia	Laitvia
Liotuáine	Liotuáin
Republic of Lithuania	Poblacht na Liotuáine
confederation	cónaidhm
people's republic	daon-phoblacht
archer	boghdóir
archer	saighdeoir
archery	boghdóireacht
archery	saighdeoireacht
soldier	saighdiúir
Cóiré	Cóiré
federalism	feidearálachas
federal	feidearálach
parliament	Oireachtas
Ireland	Seanad Éireann
bog-myrtle	raideog
oileán mara	oileán mara
traffic island	oileán tráchta
islander	oileánach
archipelago	oileánrach
Albáine	Albáin
Albáine	Poblacht na hAlbáine
Albanian	Albánach
Afganastáine	Afganastáin
Afganastáine	Poblacht Ioslamach na hAfganastáine
Afghan	Afganastánach
Islam	Ioslam
Mohammedan	Mahamadach
Muslim	Moslamach
Muhammad	Mahamad
aunt	aintín
guardian angel	aingeal coimhdeachta
aingeal	aingeal an uabhair
Afrikaans	Afracáinis
Cyrillic	Coireallach
Universal Declaration of Human Rights	Dearbhú Uilechoiteann um Chearta an Duine
Nagorno-Karabakh Republic	Poblacht na Nagarna-Carabaice
Airméine	Poblacht na hAirméine
Breataine Móire	Ríocht Aontaithe na Breataine Móire agus Thuaisceart Éireann
hÚcráine	Úcráin
Ukrainian	Úcráinis
Ukrainian	Úcránach
unite	aontaigh
united	aontaithe
foot soldier	saighdiúir coise
general	comhchoiteann
general	uilechoiteann
arch	stua
Kyrgyz Republic	Poblacht na Cirgise
Cirgeastáine	Cirgeastáin
Kyrgyz	Cirgeasach
Kyrgyz	Cirgisis
Vatacáine	Vatacáin
Vatican	Vatacánach
Vatican	Vatacáine
atheistic	aindiach
atheism	aindiachas
atheist	aindiachaí
Rómáine	Rómáin
what	cad é
blade	bléid
Judaism	Giúdachas
Jewish	Giúdach
climb	dreap
wretched	donóg
unfortunate	donasach
wretch	donaisín
badness	donacht
condition	donagar
worse	donaigh
wretch	donaire
unfortunate	donán
Seirbia	Seirbia
Republic of Serbia	Poblacht na Seirbia
Serbian	Seirbiach
Serbian	Seirbis
Portuguese Republic	Poblacht na Portaingéile
Portaingéile	Portaingéil
Portuguese	Portaingéalach
State of Israel	Stát Iosrael
Land of Israel	Tír Iosrael
sheqel	seiceal
Israeli	Iosraelach
Israelite	Iosraeilíteach
Holy Land	Tír Bheannaithe
Alban	Ríocht na hAlban
Macadóine	Macadóin
Moldóive	Moldóiv
Republic of Moldova	Poblacht na Moldóive
Slovene	Slóivéinis
Slóivéine	Slóivéin
Slovak	Slóvaicis
Slóvaice	Slóvaic
Montenegro	Montainéagró
Montenegrin	Montainéagróch
Yiddish	Giúdais
Banglaidéise	Banglaidéis
People's Republic of Bangladesh	Daon-Phoblacht na Banglaidéise
Bulgarian	Bulgárach
Aibítre Idirnáisiúnta Foghraíochta	Aibítir Idirnáisiúnta Foghraíochta
phonetics	foghraíocht
international	idirnáisiúnta
alphabet	aibítir
Hebrew	Eabhrais
Glagolitic	Glagalach
Illyrian	Illireach
Ailgéire	Ailgéir
Aetóipe	Aetóip
Airgintíne	Poblacht na hAirgintíne
Airgintíne	Airgintín
Ailgéire	Daon-Phoblacht Dhaonlathach na hAilgéire
Aetóipe	Poblacht Dhaonlathach Chónaidhme na hAetóipe
autocratic	uathlathach
autocracy	uathlathas
Ailgéire	Cathair na hAilgéire
shell	sligeach
idiolect	idióileict
idiolect	urlabhra aonair
idiolect	canúint aonair
alphabetical	aibítreach
Jesus Christ	Íosa Críost
banns	fógraí
Slovak Republic	Poblacht na Slóvaice
Republic of Bulgaria	Poblacht na Bulgáire
Republic of Slovenia	Poblacht na Slóivéine
Slovene	Slóivéanach
polyphase	ilphasach
polyphase	polaphasach
vineyard	fíonghort
alcoholic	alcólach
participating	páirteach
alcohol	alcól
Slavic	Slavach
usually	de ghnáth
vermouth	fíon mormónta
Bangladeshi	Banglaidéiseach
Macedonian	Macadónach
Algerian	Ailgéarach
Argentinian	Airgintíneach
Ethiopian	Aetópach
Macedonian	Macadóinis
Slavonic	Slavais
Slavonic	Slavónach
sandbank	oitir
Macadóine	Iar-Phoblacht Iúgslavach na Macadóine
Macadóine	Poblacht Iar-Iúgslavach na Macadóine
Yugoslav	Iúgslavach
Iúgslaive	Iúgslaiv
bliss	aoibhneas
twite	gleoiseach sléibhe
alder	fearnóg
alderfly	cuil fhearnóige
green alder	fearnóg ghlas
fearnóg liath	fearnóg liath
fly	cuil
fly	bréagchuil
false teeth	fiacla bréige
extent	feadh
delightful	aoibhinn
omnipotence	uilechumhacht
omnipotent	uilechumhachtach
omniscient	uilefheasach
omniscience	uilefhios
canned laughter	gáire bréige
communal	pobalda
browning	donnú
brown	donnaigh
every	gach uile
dildo	bod bréige
article	airteagal
commission	coimisiún
assertion	dearbhú
affirm	dearbhaigh
laying	leagan
thin	tanaí
faculty	urlabhra
speech	labhra
December	Mí na Nollag
little bag	máilín
powerful	cumhachtach
ancestral	sinnseardha
vine	fíniúin
vine	fíniúnach
pride	uabhar
grip	greim
bearded	féasógach
voltage	voltas
Afrikaner	Afracánach
scarecrow	fear falsa
dysphoria	diosfóiria
lie	éitheach
untruth	neamhfhírinne
scarecrow	fear bréige
pseudonym	ainm bréige
feint	céim bhréige
malingering	tinneas bréige
part	páirt-
false ideology	idé-eolaíocht bhréige
teddy bear	béirín bréige
part	deighil
part	dealaigh
divorce	colscaradh
Messiah	Meisias
ideology	idé-eolaíocht
artificial	saorga
Davidic	Dáivíoch
David	Dáiví
Star of David	Réalta Dháiví
two-edged	défhaobhrach
out of the way	cúl le faobhar
sharp	faobhrach
Aaronic	Árónach
Aaron	Árón
important	tábhachtach
pet	peata
participating	rannpháirteach
wormwood	mormónta
part	páirt
accompaniment	coimhdeacht
either	ach oiread
undertaker	adhlacóir
aftergrowth	athfhás
obligation	oibleagáid
work	oibrigh
in front of	ar aghaidh
heat	adhall
Bealarúise	Bealarúis
knot	fadhb
mortal sin	peaca marfach
warren	coinicéar
bear	béirín
present	beirín
bear	béar
bear market	béarmhargadh
polar bear	béar bán
béar gréine	béar gréine
ialtóg	ialtóg na meas
béar dubh Meiriceánach	béar dubh Meiriceánach
béar dubh Áiseach	béar dubh Áiseach
béar donn	béar donn
vampire	vaimpír
deamhan fola	deamhan fola
vesper bat	ialtóg choiteann
caribou	carabú
doe	eilit
fia buí	fia buí
fia odhar	fia odhar
reindeer	réinfhia
red deer	fia rua
fia earrbhán	fia earrbhán
white	earrbhán
bilingual	dátheangach
brat	dailtín
impudent	dailtíneach
impudence	dailtíneacht
human being	daon
bilingualism	dátheangachas
American	Meiriceánach
wreck	raiceáil
wreck	raic
beleaguerment	léigear
fluorine	fluairín
folkway	daon-nós
tango	tangó
eel	eascann
fawn	osbhuí
petty	suarachán
pettiness	suarachas
substantial	substaintiúil
substantial	substainteach
substance	substaint
rush	tapaigh
quick	tapúil
kangaroo	cangarú
Singaporean	Singeapórach
Oileán Filipíneach	Oileáin Fhilipíneacha
Filipino	Filipíneach
Oileán Filipíneach	Poblacht na nOileán Filipíneach
Afraice Theas	Afraic Theas
Afraice Theas	Poblacht na hAfraice Theas
Araibe Sádaí	Araib Shádach
Araibe Sádaí	Ríocht na hAraibe Sádaí
Araibe Sádaí	Araibe Sádaí
Sultanate of Oman	Sabhdánacht Óman
sultanate	sabhdánacht
Principality of Andorra	Prionsacht Andóra
Andorran	Andórach
Republic of Vanuatu	Poblacht Vanuatú
Vanuatu	Vanuatú
Lesotho	Leosóta
Ungáire	Ungáir
fax	facsáil
forgiveness	maithiúnas
pardon	pardún
eastern grey kangaroo	cangarú glas oirthearach
cangarú crainn	cangarú crainn
cangarú rua	cangarú rua
kangaroo court	cúirt bhradach
cangarú francaigh	cangarú francaigh
western grey kangaroo	cangarú glas iartharach
wallaby	valbaí
rock wallaby	valbaí carraige
hare-wallaby	valbaí giorria
valbaí giorria bandach	valbaí giorria bandach
banded	bandach
womanliness	bandacht
wombat	vombat
nail-tail wallaby	valbaí sporearrach
bandicoot	bandacút
koala	cóála
thylacine	tílicín
Tasmanian wolf	faolchú na Tasmáine
bilby	bilbí
lesser bilby	bilbí beag
greater bilby	bilbí mór
New Zealand	Nua-Shéalannach
Séalainne	Séalainn
cuscus	cuscas
diabhal Tasmánach	diabhal Tasmánach
opossum	apasam
possum	pasam
East Timor	Tíomór Thoir
Democratic Republic of East Timor	Poblacht Dhaonlathach Thíomór Thoir
Lesotho	Leosótach
Kingdom of Lesotho	Ríocht Leosóta
Tasmanian	Tasmánach
Eiritré	Stát na hEiritré
Ísiltíre	Ríocht na hÍsiltíre
low-lying country	ísiltír
Ungáire	Poblacht na hUngáire
Eastóine	Poblacht na hEastóine
Asarbaiseáine	Poblacht na hAsarbaiseáine
French Republic	Poblacht na Fraince
Republic of Finland	Poblacht na Fionlainne
Republic of Iceland	Poblacht na hÍoslainne
Islamic Republic of Pakistan	Poblacht Ioslamach na Pacastáine
Tansáine	Poblacht Aontaithe na Tansáine
priestly	sagartúil
neglect	failligh
negligent	faillitheoir
neglectfulness	faillitheacht
negligent	faillitheach
neglect	failléan
Republic of Namibia	Poblacht na Namaibe
Nigéire	Poblacht Chónaidhme na Nigéire
hare	giorria
eyebright	soilse na súl
eyebright	glanrosc
Basque	Bascach
folk village	daonbhaile
folk village	daon-sráidbhaile
folk life	daonearraí
public park	daonpháirc
amber	ómra
amber	ómrach
thieving	bradach
court	cúirt
Téaváine	Téaváin
above-mentioned	thuasluaite
mention	luaigh
dahlia	dáilia
synonymous	comhchiallach
synonymy	comhchiallachas
beryllium	beirilliam
sodium	sóidiam
Ladino	Laidínis
remainder	iarsma
museum	iarsmalann
museum	músaem
customary	nósmhar
Icelandic	Íoslainnis
Icelandic	Íoslannach
western	iartharach
front	oirthearach
orientalism	oirthearachas
western	iartharán
customary	nósúil
customariness	nósmhaireacht
customariness	nósúlacht
gooseberry	spíonán
kiwi	cíobhaí
Libyan	Libiach
