paint	cat
Kota Kinabalu	Jesselton
Nyonya	nyonya
god	ديوا
goddess	dewi
goddess	ديوي
laugh	gelak
se	sa-
single	توڠݢل
Sunday	Ahad
dua ribu	dua ribu
satu ribu	satu ribu
satu ratus	satu ratus
dua ratus	dua ratus
tiga ratus	tiga ratus
telu ratus	telu ratus
empat ratus	empat ratus
lima ratus	lima ratus
enam ratus	enam ratus
tujuh ratus	tujuh ratus
pitu ratus	pitu ratus
lapan ratus	lapan ratus
sembilan ratus	sembilan ratus
tiga puluh	tiga puluh
telu puluh	telu puluh
empat puluh	empat puluh
lima puluh	lima puluh
enam puluh	enam puluh
tujuh puluh	tujuh puluh
pitu puluh	pitu puluh
lapan puluh	lapan puluh
sembilan puluh	sembilan puluh
incur	kena
dua puluh satu	dua puluh satu
dua puluh dua	dua puluh dua
dua puluh tiga	dua puluh tiga
dua puluh telu	dua puluh telu
dua puluh empat	dua puluh empat
dua puluh lima	dua puluh lima
dua puluh enam	dua puluh enam
dua puluh tujuh	dua puluh tujuh
dua puluh pitu	dua puluh pitu
dua puluh lapan	dua puluh lapan
dua puluh sembilan	dua puluh sembilan
pomegranate	دليما
ساتو ڤولوه	ساتو ڤولوه
sepuluh satu	sepuluh satu
satu puluh satu	satu puluh satu
sepuluh dua	sepuluh dua
satu puluh dua	satu puluh dua
sepuluh tiga	sepuluh tiga
sepuluh telu	sepuluh telu
satu puluh tiga	satu puluh tiga
satu puluh telu	satu puluh telu
sembilan likur	sembilan likur
lapan likur	lapan likur
enam likur	enam likur
lima likur	lima likur
empat likur	empat likur
dua likur	dua likur
satu likur	satu likur
tujuh likur	tujuh likur
pitu likur	pitu likur
tiga likur	tiga likur
telu likur	telu likur
sepuluh empat	sepuluh empat
satu puluh empat	satu puluh empat
sepuluh enam	sepuluh enam
satu puluh enam	satu puluh enam
sepuluh sembilan	sepuluh sembilan
satu puluh sembilan	satu puluh sembilan
sepuluh lapan	sepuluh lapan
sepuluh lapan	satu puluh lapan
sepuluh delapan	sepuluh delapan
satu puluh delapan	satu puluh delapan
sepuluh lima	sepuluh lima
satu puluh lima	satu puluh lima
sepuluh tujuh	sepuluh tujuh
satu puluh tujuh	satu puluh tujuh
sepuluh pitu	sepuluh pitu
satu puluh pitu	satu puluh pitu
part-time	sambilan
finish	habis
dog	کويوق
dog	انجيڠ
north	اوتارا
anjing serigala Rusia	anjing serigala Rusia
satu juta	satu juta
satu puluh ribu	satu puluh ribu
satu ratus ribu	satu ratus ribu
satu puluh juta	satu puluh juta
satu ratus juta	satu ratus juta
ribu juta	ribu juta
satu bilion	satu bilion
satu ribu juta	satu ribu juta
satu trilion	satu trilion
lift	angkat
rank	pangkat
move	alih
gallium	galium
squirrel	tupai
squirrel	توڤاي
squirrel	باجيڠ
worry	risau
worry	ريساو
marble	ݢولي
tengah hari	tengah hari
تڠه هاري	تڠه هاري
noon	tengari
noon	تڠاري
afternoon	ڤتڠ
annual	tahunan
annual	تاهونن
de-	nyah-
curly	pepuah
casuarina	ارو
casuarina	چمارا
crooked	لوق
dust	هابوق
ash	ابو
drive away	هالاو
river	الور
float	ambang
float	امبڠ
deliver	hantar
deliver	هنتر
fetid	hanyir
fetid	هاڽير
roof	اتڤ
roof	bumbung
roof	بومبوڠ
quiet	senyap
quiet	ديام
quiet	سڽڤ
musang turun	musang turun
lime	kapur
cockatoo	burung kakaktua
gambier	gambir
resin	salang
can	بوليه
animal	بيناتڠ
bald	بوتق
brain	اوتق
brain	بنق
call	panggil
call	ڤڠݢيل
lastborn	bongsu
lastborn	بوڠسو
lapan ribu	lapan ribu
lapan puluh satu	lapan puluh satu
lapan puluh dua	lapan puluh dua
lapan puluh tiga	lapan puluh tiga
lapan puluh empat	lapan puluh empat
lapan puluh lima	lapan puluh lima
lapan puluh enam	lapan puluh enam
lapan puluh tujuh	lapan puluh tujuh
lapan puluh lapan	lapan puluh lapan
lapan puluh sembilan	lapan puluh sembilan
seribu seratus	seribu seratus
sebelas ribu	sebelas ribu
seratus sepuluh	seratus sepuluh
seribu lima ratus	seribu lima ratus
seribu lapan ratus	seribu lapan ratus
lima puluh satu	lima puluh satu
lima puluh dua	lima puluh dua
lima puluh tiga	lima puluh tiga
lima puluh empat	lima puluh empat
lima puluh lima	lima puluh lima
lima puluh enam	lima puluh enam
lima puluh tujuh	lima puluh tujuh
lima puluh lapan	lima puluh lapan
lima puluh sembilan	lima puluh sembilan
lima ribu	lima ribu
empat puluh satu	empat puluh satu
empat puluh dua	empat puluh dua
empat puluh tiga	empat puluh tiga
empat puluh empat	empat puluh empat
empat puluh lima	empat puluh lima
empat puluh enam	empat puluh enam
empat puluh tujuh	empat puluh tujuh
empat puluh lapan	empat puluh lapan
empat puluh sembilan	empat puluh sembilan
empat ribu	empat ribu
seribu empat ratus	seribu empat ratus
setengah dozen	setengah dozen
sembilan ribu	sembilan ribu
sembilan ribu sembilan ratus sembilan puluh sembilan	sembilan ribu sembilan ratus sembilan puluh sembilan
sembilan puluh satu	sembilan puluh satu
sembilan puluh dua	sembilan puluh dua
sembilan puluh tiga	sembilan puluh tiga
sembilan puluh empat	sembilan puluh empat
sembilan puluh lima	sembilan puluh lima
sembilan puluh enam	sembilan puluh enam
sembilan puluh tujuh	sembilan puluh tujuh
sembilan puluh lapan	sembilan puluh lapan
sembilan puluh sembilan	sembilan puluh sembilan
seratus satu	seratus satu
seratus dua	seratus dua
seratus tiga	seratus tiga
seratus empat	seratus empat
seratus lima	seratus lima
seratus enam	seratus enam
seratus tujuh	seratus tujuh
seratus lapan	seratus lapan
seratus sembilan	seratus sembilan
seribu tujuh ratus	seribu tujuh ratus
tujuh ribu	tujuh ribu
tujuh ratus lima puluh	tujuh ratus lima puluh
tujuh puluh satu	tujuh puluh satu
tujuh puluh dua	tujuh puluh dua
tujuh puluh tiga	tujuh puluh tiga
tujuh puluh empat	tujuh puluh empat
tujuh puluh lima	tujuh puluh lima
tujuh puluh enam	tujuh puluh enam
tujuh puluh tujuh	tujuh puluh tujuh
tujuh puluh lapan	tujuh puluh lapan
tujuh puluh sembilan	tujuh puluh sembilan
enam puluh satu	enam puluh satu
enam puluh dua	enam puluh dua
enam puluh tiga	enam puluh tiga
enam puluh empat	enam puluh empat
enam puluh lima	enam puluh lima
enam puluh enam	enam puluh enam
enam puluh tujuh	enam puluh tujuh
enam puluh lapan	enam puluh lapan
enam puluh sembilan	enam puluh sembilan
tiga puluh satu	tiga puluh satu
tiga puluh dua	tiga puluh dua
tiga puluh tiga	tiga puluh tiga
tiga puluh empat	tiga puluh empat
tiga puluh lima	tiga puluh lima
tiga puluh enam	tiga puluh enam
tiga puluh tujuh	tiga puluh tujuh
tiga puluh lapan	tiga puluh lapan
tiga puluh sembilan	tiga puluh sembilan
tiga ribu	tiga ribu
enam ribu	enam ribu
seribu dua ratus	seribu dua ratus
seribu tiga ratus	seribu tiga ratus
seribu enam ratus	seribu enam ratus
seribu sembilan ratus	seribu sembilan ratus
seribu satu	seribu satu
seratus dua puluh	seratus dua puluh
seratus tiga puluh	seratus tiga puluh
seratus empat puluh	seratus empat puluh
seratus lima puluh	seratus lima puluh
seratus enam puluh	seratus enam puluh
seratus tujuh puluh	seratus tujuh puluh
seratus lapan puluh	seratus lapan puluh
seratus sembilan puluh	seratus sembilan puluh
dua ribu satu	dua ribu satu
dua ribu seratus	dua ribu seratus
dua ribu dua ratus	dua ribu dua ratus
dua ribu tiga ratus	dua ribu tiga ratus
dua ribu empat ratus	dua ribu empat ratus
dua ribu lima ratus	dua ribu lima ratus
dua ribu enam ratus	dua ribu enam ratus
dua ribu tujuh ratus	dua ribu tujuh ratus
dua ribu lapan ratus	dua ribu lapan ratus
dua ribu sembilan ratus	dua ribu sembilan ratus
Muharram	Muharam
grey	kelabu
accurate	tepat
neglectful	cuai
neglectful	lalai
strange	ganjil
strange	pelik
tak organik	tak organik
bankrupt	bangkrap
bankrupt	muflis
stupid	bodoh
mule	baghal
stupid	bahlul
stupid	bengap
stupid	bingung
stupid	bongak
stupid	congong
polled	dogol
stupid	dongok
add	tambah
puluh bilion	puluh bilion
ratus bilion	ratus bilion
puluh trilion	puluh trilion
ratus trilion	ratus trilion
puluh kuadrilion	puluh kuadrilion
ratus kuadrilion	ratus kuadrilion
rhythm	rentak
lima ratus tiga puluh dua	lima ratus tiga puluh dua
satu ribu satu	satu ribu satu
satu ribu seratus	satu ribu seratus
ساتو راتوس	ساتو راتوس
ساتو ريبو	ساتو ريبو
so that	سوڤايا
I	اکو
I	داکو
I	کو-
me	-کو
Klang	Kelang
mister	encik
anak mata	anak mata
anak panah	anak panah
copulate	ayut
ڤولوه ريبو	ڤولوه ريبو
dua juta	dua juta
tiga juta	tiga juta
empat juta	empat juta
lima juta	lima juta
enam juta	enam juta
tujuh juta	tujuh juta
lapan juta	lapan juta
sembilan juta	sembilan juta
راتوس ريبو	راتوس ريبو
ڤولوه جوتا	ڤولوه جوتا
راتوس جوتا	راتوس جوتا
ريبو جوتا	ريبو جوتا
ڤولوه بيليون	ڤولوه بيليون
راتوس بيليون	راتوس بيليون
ڤولوه تريليون	ڤولوه تريليون
راتوس تريليون	راتوس تريليون
ڤولوه کوادريليون	ڤولوه کوادريليون
راتوس کوينتيليون	راتوس کوادريليون
سمبيلن ريبو سمبيلن راتوس سمبيلن ڤولوه سمبيلن	سمبيلن ريبو سمبيلن راتوس سمبيلن ڤولوه سمبيلن
mana	mana-mana
bila	bila-bila
اڤ٢	اڤ٢
مان٢	مان٢
سياڤا٢	سياڤا٢
سياڤا	سسياڤا
بيلا٢	بيلا٢
'umra	umrah
grandchild	چوچو
great-grandchild	چيچيت
great-great-grandchild	ڤيوت
great-great-great-grandchild	اونيڠ٢
great-great-great-great-grandchild	انته٢
great-great-great-great-great-grandchild	اونڠ-انيڠ
donkey	keldai
donkey	himar
disc	cakera
shop	kedai
fork	garpu
kambing bebiri	kambing bebiri
zoo	kebun binatang
taman haiwan	taman haiwan
mango	pauh
guess	agak
ouch	ادوه
invite	اجق
root	اکر
well	perigi
move	اليه
floodwater	air bah
انق ڤانه	انق ڤانه
gamelan	ݢميلن
bamboo	بمبو
bamboo	بولوه
resin	دامر
resin	سالڠ
dugong	دويوڠ
babi duyung	babi duyung
ikan duyung	ikan duyung
ايکن دويوڠ	ايکن دويوڠ
بابي دويوڠ	بابي دويوڠ
village	کامڤوڠ
cassowary	کاسواري
eat	ماکن
fly	تربڠ
beetle	کومبڠ
thud	debak
thud	دبق
thud	lebak
thud	لبق
shoot	تيمبق
band	bebat
band	ببت
pinch	چوبيت
about	تنتڠ
about	darihal
about	دريحال
about	mengenai
about	مڠناءي
berkaitan dengan	berkaitan dengan
برکاءيتن دڠن	برکاءيتن دڠن
berkenaan dengan	berkenaan dengan
برکناءن دڠن	برکناءن دڠن
all	semua
all	سموا
be	براد
lanthanum	lantanum
mister	انچيق
rabbit	ارنب
donkey	کلداي
sun	ماتاهاري
sun	منتاري
sun	راوي
window	tingkap
window	تيڠکڤ
window	جنديلا
attic	loteng
attic	لوتيڠ
stair	تڠݢ
channel	saluran
channel	سالورن
door	ڤينتو
door	lawang
Philippine eagle	Burung Lang Monyet
fourth	keempat
fourth	کأمڤت
-th	ک-
quarter	perempat
quarter	ڤرامڤت
wind	بايو
wind	ڤاوان
lift	اڠکت
what	اڤ
satisfied	ڤواس
arrange	اتور
abacus	اباکوس
well	ڤريݢي
field	padang
field	ڤادڠ
تق تاهو مناري دکاتاکن لنتاي جوڠکڠ-جوڠکيت	تق تاهو مناري دکاتاکن لنتاي جوڠکڠ-جوڠکيت
tak tahu menari dikatakan lantai jongkang-jongket	tak tahu menari dikatakan lantai jongkang-jongket
تق تاهو مناري دکاتاکن تانه تيڠݢي رنده	تق تاهو مناري دکاتاکن تانه تيڠݢي رنده
tak tahu menari dikatakan tanah tinggi rendah	tak tahu menari dikatakan tanah tinggi rendah
تق تاهو مڠاڽم ڤندن دسالهکن	تق تاهو مڠاڽم ڤندن دسالهکن
tak tahu menganyam pandan disalahkan	tak tahu menganyam pandan disalahkan
current	اروس
spray	sembur
spray	سمبور
week	ميڠݢو
Monday	Isnin
Monday	اثنين
Tuesday	ثلاث
Wednesday	رابو
Thursday	خميس
Friday	جمعة
Saturday	سبت
second	دتيق
minute	مينيت
cloud	ميݢ
copulate	ايوت
Daniel	Danial
Daniel	دانيال
David	Daud
dainty	ايو
tidak organik	tidak organik
organic	organik
handsome	باݢوس
coffee	کوڤي
lightning	کيلت
dew	امبون
rainbow	ڤلاڠي
land	darat
land	دارت
anthill	busut
anthill	بوسوت
shrimp	اودڠ
wet	باسه
hatch	تتس
Rumi	رومي
spur	تاجي
cockscomb	balung
cockscomb	بالوڠ
belly	ڤروت
blood cockle	kerang
cockle	کرڠ
fly	لالت
cabin	بيليق
floor	lantai
floor	لنتاي
fire	ڤاواک
fire	nyalaan
fire	ڽالاءن
leech	lintah
leech	لينته
mosquito	ڽاموق
silverfish	gegat
silverfish	ݢݢت
sandfly	اݢس
clam	kepah
clam	کڤه
squid	sotong
squid	سوتوڠ
sea turtle	ڤڽو
blowfish	بونتل
fish	ايکن
panther	هاريماو
tiger	ماچن
bat	کللاور
snake	اولر
porcupine	لندق
برڠ	برڠ٢
monitor lizard	biawak
monitor lizard	بياوق
eagle	helang
eagle	هلڠ
crow	ݢاݢق
bird	مانوق
gizzard	hempedal
gizzard	همڤدل
flank	rusuk
flank	روسوق
mussel	kupang
thigh	ڤها
nape	tengkuk
nape	تڠکوق
sneeze	bersin
sneeze	برسين
cheek	ڤيڤي
crosseyed	juling
crosseyed	جوليڠ
full	kenyang
replete	کڽڠ
hungry	لاڤر
eyebrow	کنيڠ
bark	gonggong
bark	ݢوڠݢوڠ
kuning telur	kuning telur
کونيڠ تلور	کونيڠ تلور
skink	bengkarung
skink	بڠکاروڠ
caterpillar	بلونچس
caterpillar	ulat bulu
caterpillar	اولت بولو
god	هياڠ
god	hiang
bile	hempedu
bile	همڤدو
become ash	mengabu
say ouch	mengaduh
archive	arkib
island	نوسا
moon	بولن
him	-ڽ
tortoise	کورا٢
بابي هوتن	بابي هوتن
discard	buang
fat	gemuk
fat	ݢموق
lung	ڤارو٢
body	توبوه
deaf	تولي
eyelash	bulu mata
eyelash	بولو مات
anak merah	anak merah
انق ميره	انق ميره
disgusting	jijik
disgusting	جيجيق
needle	jarum
needle	جاروم
sour	masam
absorber	penyerap
absorptive	berdaya serap
absorptive	absorptif
network	rangkaian
network	jaringan
zat lemas	zat lemas
microscope	teropong halus
liquid	cecair
short story	cerpen
short story	cerita pendek
kindergarten	tadika
kindergarten	tabika
band	kugiran
average	purata
rumah sakit	rumah sakit
kaji tugas organ	kaji tugas organ
goose	اڠسا
flood	بنجير
except	kecuali
batu kawi	batu kawi
chromium	kromium
zat kapur	zat kapur
zat pembakar	zat pembakar
phosphorus	fosforus
sulfur	بليرڠ
sulfur	سولفور
timah sari	timah sari
zinc	ayan
palladium	paladium
silver	ارݢينتوم
sugar	ݢولا
sugar	ساکر
ocean	لاءوتن
ocean	jeladeri
ocean	جلادري
ocean	samudera
ocean	سݢارا
Pacific Ocean	Lautan Teduh
Pacific Ocean	Lautan Pasifik
animal	satwa
animal	ستوا
leaf	ڤاترا
brush	berus
sand	ڤاسير
sand	رامل
hill	بوکيت
tin	stanum
tin	ستانوم
tin	تيمه
tin	timah
place	tempat
main	utama
pull	tarik
tomorrow	ايسوق
day after tomorrow	لوسا
day after day after tomorrow	langkat
day after day after tomorrow	لڠکت
day after day after tomorrow	tulat
day after day after tomorrow	تولت
naked	تلنجڠ
sound	bunyi
sound	بوڽي
number	bilangan
number	بيلڠن
run	لاري
cup	چاڠکير
cup	cawan
cup	چاون
hoe	cangkul
hoe	چڠکول
bench	بڠکو
basket	bakul
basket	باکول
smoke	اسڤ
matter	jirim
matter	جيريم
infrasound	infrabunyi
infrasound	اينفرابوڽي
tahun cahaya	tahun cahaya
تاهون چهاي	تاهون چهاي
wheel	رودا
towel	tuala
towel	توالا
tank	tangki
tank	تڠکي
tellurium	telurium
انجيڠ هوتن	انجيڠ هوتن
stray dog	anjing ajak
stray dog	انجيڠ اجق
stray dog	anjing geladak
stray dog	انجيڠ ݢلادق
anjing arau	anjing arau
انجيڠ اراو	انجيڠ اراو
anjing koreng	anjing koreng
انجيڠ کوريڠ	انجيڠ کوريڠ
anjing kumbang	anjing kumbang
انجيڠ کومبڠ	انجيڠ کومبڠ
انجيڠ لوتوڠ	انجيڠ لوتوڠ
anjing ladang	anjing ladang
انجيڠ لادڠ	انجيڠ لادڠ
factory	kilang
factory	pabrik
nenek moyang	nenek moyang
ancestor	leluhur
emak saudara	emak saudara
امق ساودارا	امق ساودارا
مق چيق	مق چيق
aunt	تنتى
television	تيليۏيشن
technique	تيکنيک
lever	توءيل
train	ترين
train	kereta api
king	داتو
steam	واڤ
grey hair	uban
grey hair	اوبن
انق ليده	انق ليده
history	sejarah
from	daripada
تيمه ساري	تيمه ساري
zinc	ايان
zinc	زيڠک
mother	امق
mother	اينا
delegate	utus
delegate	اوتوس
carry	usung
carry	اوسوڠ
drive away	اوسير
guess	اݢق
ytterbium	iterbium
gold	kencana
gold	امس
mercury	رقسا
mercury	merkuri
mercury	مرکوري
ڤيرق چرݢس	ڤيرق چرݢس
perak cergas	perak cergas
lead	timbel
lead	تيمبل
lead	ڤلومبوم
timah hitam	timah hitam
تيمه هيتم	تيمه هيتم
timah wurung	timah wurung
تيمه ووروڠ	تيمه ووروڠ
bismuth	بيسموت
astatine	astatin
francium	fransium
americium	amerisium
curium	kurium
lawrencium	lawrensium
rutherfordium	ruterfordium
copernicium	kopernisium
disturb	usik
disturb	اوسيق
absorb	serap
absorb	سرڤ
suck	هيسڤ
repeat	ulang
repeat	اولڠ
moss	لوموت
Cassia alata	gelenggang
Cassia alata	ݢليڠݢڠ
daun kupang	daun kupang
داءون کوڤڠ	داءون کوڤڠ
daun kurap	daun kurap
داءون کورڤ	داءون کورڤ
climbing perch	ڤويو
zinc oxide	zink oksida
calamine	kalamin
zinc chromate	zink kromat
zink klorida	zink klorida
zink karbonat	zink karbonat
zink hidroksida	zink hidroksida
zink fosfida	zink fosfida
brass	loyang
brass	لويڠ
brass	kuningan
brass	کونيڠن
tembaga kuning	tembaga kuning
تمباݢ کونيڠ	تمباݢ کونيڠ
revolution	revolusi
situation	situasi
lineage	ذوريت
Venus	زهره
xylophone	زيلوفون
de-	ڽه-
تريما کاسيه	تريما کاسيه
thank you	kamsia
thank you	کمسيا
thanks	kamsiah
lipstick	gincu
lipstick	lipstik
first	pertama
harimau kumbang	harimau kumbang
هاريماو کومبڠ	هاريماو کومبڠ
harimau peturun	harimau peturun
هاريماو ڤتورون	هاريماو ڤتورون
harimau dahan	harimau dahan
هاريماو داهن	هاريماو داهن
clouded leopard	harimau akar
clouded leopard	هاريماو اکر
harimau bintang	harimau bintang
هاريماو بينتڠ	هاريماو بينتڠ
tiger	harimau belang
هاريماو بلڠ	هاريماو بلڠ
tiger	harimau dandi
هاريماو دندي	هاريماو دندي
tiger	harimau loreng
هاريماو لوريڠ	هاريماو لوريڠ
tiger	harimau terung kasau
هاريماو تروڠ کاساو	هاريماو تروڠ کاساو
jaguar	جاݢوار
tiger	macan loreng
ماچن لوريڠ	ماچن لوريڠ
ماچن توتول	ماچن توتول
macan tutul	macan tutul
tiger	pak belang
ڤق بلڠ	ڤق بلڠ
but	تتاڤي
javelin	lembing
hydrogen	هيدروݢن
lithium	ليتيوم
beryllium	بيريليوم
carbon	کربون
pus	نانه
checkmate	syahmat
checkmate	شهمت
west	بارت
west	کولون
west	maghrib
salary	ݢاجي
salary	ujrah
salary	اجره
Latin	Rumawi
article	makalah
article	rencana
fox	rubah
fox	روبه
civet	موسڠ
dingo	ديڠو
jackal	جاکل
rubah artik	rubah artik
روبه ارتيک	روبه ارتيک
coyote	koyote
coyote	کويوتي
puma	ڤوما
cougar	kugar
cougar	کوݢر
انق انجيڠ	انق انجيڠ
انق اسو	انق اسو
انجيڠ بتينا	انجيڠ بتينا
اسو بتينا	اسو بتينا
داݢيڠ انجيڠ	داݢيڠ انجيڠ
داݢيڠ اسو	داݢيڠ اسو
انجيڠ جنتن	انجيڠ جنتن
اسو جنتن	اسو جنتن
رومه انجيڠ	رومه انجيڠ
رومه اسو	رومه اسو
never	تيدق ڤرنه
tidak akan	tidak akan
تيدق اکن	تيدق اکن
tak akan	tak akan
تق اکن	تق اکن
act	اکتا
wolf	zib
wolf	ذيب
skateboard	papan luncur
ڤاڤن لونچور	ڤاڤن لونچور
seal	سيل
anjing langsat	anjing langsat
انجيڠ لڠست	انجيڠ لڠست
anjing nibung	anjing nibung
انجيڠ نيبوڠ	انجيڠ نيبوڠ
anjing pandan	anjing pandan
انجيڠ ڤندن	انجيڠ ڤندن
anjing penghidu	anjing penghidu
انجيڠ ڤڠهيدو	انجيڠ ڤڠهيدو
انجيڠ ڤوليس	انجيڠ ڤوليس
anjing polis	anjing polis
anjing sabun	anjing sabun
انجيڠ سابون	انجيڠ سابون
انجيڠ سوکوم	انجيڠ سوکوم
anjing sokom	anjing sokom
anjing serigala	anjing serigala
انجيڠ سريݢالا	انجيڠ سريݢالا
بسي ڤوتيه	بسي ڤوتيه
besi putih	besi putih
silver	fidah
hidrogen peroksida	hidrogen peroksida
hidrogen klorida	hidrogen klorida
hidrogen karbonat	hidrogen karbonat
ion hidrogen	ion hidrogen
ikatan hidrogen	ikatan hidrogen
bom hidrogen	bom hidrogen
elektrod hidrogen piawai	elektrod hidrogen piawai
natrium hidrogen karbonat	natrium hidrogen karbonat
natrium bikarbonat	natrium bikarbonat
soda penaik	soda penaik
oxyhydrogen	oksihidrogen
receive	terima
cheetah	citah
cheetah	چيته
panda merah	panda merah
ڤندا ميره	ڤندا ميره
binturong	بنتوروڠ
موسڠ تورون	موسڠ تورون
binturong	تنتورون
pisang benang	pisang benang
ڤيسڠ بنڠ	ڤيسڠ بنڠ
pisang manila	pisang manila
ڤيسڠ مانيلا	ڤيسڠ مانيلا
pisang tali	pisang tali
ڤيسڠ تالي	ڤيسڠ تالي
abaca	اباک
abalone	ابالوني
geisha	geisya
geisha	ݢيئيشا
seed	biji
without	سوندر
without	تنڤا
without	tanpa
tidak ber-	tidak ber-
تيدق بر-	تيدق بر-
tidak ada	tidak ada
تيدق اد	تيدق اد
campaign	کيمڤين
campaign	kempen
campaign	kampanye
zygote	زيݢوت
ovulation	ڤڠوۏومن
ovulation	pengovuman
انجيڠ ڤمبورو	انجيڠ ڤمبورو
year	تاهون
January	Januari
February	Februari
April	اڤريل
July	جولاي
August	Ogos
August	اوݢوس
September	سيڤتيمبر
October	اوکتوبر
November	نوۏيمبر
December	Disember
December	ديسيمبر
rambutan	رامبوتن
green	akhdar
grey	کلابو
ابو	ابو٢
grey	pirau
grey	ڤيراو
tungsten	توڠستن
tungsten	وولفرم
kelabu asap	kelabu asap
کلابو اسڤ	کلابو اسڤ
to	kepada
canyon	ngarai
canyon	ڠاراي
canyon	کنيون
ivory	ݢاديڠ
blue	بيرو
blue	ڤاءول
blue	نيلا
blue	بلاو
blue	belau
بيرو لاڠيت	بيرو لاڠيت
biru langit	biru langit
nila	nilakandi
نيلا	نيلاکندي
biru merak	biru merak
بيرو مرق	بيرو مرق
biru nila	biru nila
بيرو نيلا	بيرو نيلا
black	bolong
black	بولوڠ
black	لڠکيڠ
black	langking
thought	akal
smooth	lancar
workshop	woksyop
badge	lencana
grammar	tatabahasa
truck	trak
heaven	syurga
fertile	subur
clever	pandai
bright	terang
infertile	mandul
barren	tandus
nitrogen	نيتروݢن
ذات لمس	ذات لمس
oxygen	اوکسيݢن
ذات ڤمباکر	ذات ڤمباکر
fluorine	فلورين
sodium	نتريوم
magnesium	مݢنيسيوم
aluminium	الومينيوم
silicon	سيليکون
phosphorus	فوسفوروس
chlorine	کلورين
argon	ارݢون
chair	kerusi
obscene	lucah
trickery	pilin
special	khas
period	tempoh
dot	titik
ignorant	jahil
now	sekarang
stupid	tongong
stupid	tolol
clown	badut
wise	bijak
wise	bijaksana
smart	bestari
stupid	sementung
useless	tak guna
carry	kendong
earring	subang
bitter	pahit
copulate	kongkek
Cambodia	Kemboja
skilful	cekap
anak sulung	anak sulung
انق سولوڠ	انق سولوڠ
anak angah	anak angah
انق اڠه	انق اڠه
انق الڠ	انق الڠ
anak alang	anak alang
anak pandak	anak pandak
انق ڤندق	انق ڤندق
انق ڤنجڠ	انق ڤنجڠ
anak panjang	anak panjang
anak putih	anak putih
انق ڤوتيه	انق ڤوتيه
anak hitam	anak hitam
انق هيتم	انق هيتم
anak muda	anak muda
انق مودا	انق مودا
word	sabda
thought	dendam
avenge	balas dendam
desire	idam
daytime	siang
last night	semalam
day before yesterday	kelmarin
very	sungguh
mouse	tetikus
emblem	lambang
company	syarikat
percent	peratus
location	lokasi
planet	cakerawala
sandalwood	cendana
blind pig	babi buta
blind	buta tuli
slingshot	lastik
download	muat turun
upload	muat naik
fit	muat
skeleton	rangka
prince	pangeran
peaceful	sentosa
gem	permata
emerald	zamrud
sapphire	nilam
intention	niat
imperative	imperatif
kaji alam hayat	kaji alam hayat
کاجي عالم حيات	کاجي عالم حيات
ecology	ايکولوݢي
kaji alam haiwan	kaji alam haiwan
zooecology	zooekologi
کاجي عالم حيوان	کاجي عالم حيوان
zooecology	زوايکولوݢي
synecology	sinekologi
synecology	سينيکولوݢي
bioecology	bioekologi
kaji angkasa	kaji angkasa
کاجي اڠکاس	کاجي اڠکاس
aerology	aerologi
aerology	ايرولوݢي
kaji bahasa	kaji bahasa
کاجي بهاس	کاجي بهاس
philology	فيلولوݢي
base	pangkal
staff	kakitangan
lebuh raya	lebuh raya
لبوه راي	لبوه راي
raid	serbu
permission	izin
building	bangunan
post	turus
cash	tunai
tofu	tauhu
project	projek
chimney	serombong
story	cerita
distance	jarak
hadith	hadis
stone	rejam
PLC	Bhd.
ownership	ketuanan
kite	layang-layang
reward	pahala
crab	ketam
wide	lebar
patient	sabar
ore	bijih
chopstick	penyepit
chevrotain	kancil
quick-witted	cerdik
smile	senyum
knowledge	ilmu
problem	masalah
wasp	tebuan
only	sahaja
nature	semula jadi
dissimilarity	beza
table	jadual
swear	sumpah
mind	minda
company	kompeni
corpse	jenazah
bite-sized cake	kuih
borrow	pinjam
wife	isteri
manager	pengurus
news	khabar
artisan	karyawan
millionaire	jutawan
ice cream	aiskrim
public	awam
queen	permaisuri
grandmaster	mahaguru
wool	wul
turkey	ayam belanda
ustad	ustaz
national	nasional
long live	dirgahayu
real property	hartanah
Borneo	Melanau
sum	jumlah
government	pemerintah
every	setiap
five principle	Pancasila
mortar	Lesung
blind	bular
grime	puyan
link	pautan
motorcycle	motosikal
lizard	cicak
ceiling	siling
chief	ketua
duck	itik
rooster	jaguh
champion	juara
angle	zawiat
absent	absen
raisin	zabib
letter	warkah
wife	zaujah
date	tamar
tree	syajarat
recreational drug	dadah
patient	derana
hellish	jahanam
pirate	lanun
bad	jahat
confection	gula-gula
maybe	mungkin
element	unsur
Hijri	Syawal
heel	tumit
lady-in-waiting	dayang
Olympiad	olimpiad
honest	jujur
deep-fry	goreng jeluk
boil	didih
steamed	kukus
pan-fry	goreng tohor
stir-fry	goreng kilas
buxom	montok
civilization	tamadun
lane	lorong
angry	marah
continue	teruskan
more	lebih
enough	cukup
tax	cukai
space	angkasa
screen	dinding
budget	bajet
exhaust	ekzos
answer	jawapan
storm	ribut
isthmus	segenting
eggplant	terung ungu
treason	derhaka
spinning top	gasing
promise	janji
riot	kerusuhan
lock	ibu kunci
long live	daulat
laugh	tertawa
that	bahawa
limited	terbatas
pharmacy	farmasi
beard	janggut
fair	adil
toad	katak puru
humidity	kelembapan
very	begitu
avenue	lebuh
drink	minuman
