code,name
did,didi
dif,dieri
dig,chidigo
dig,digo
dih,kumiai
dii,dimbo
dij,dai
dik,southwestern dink
dil,dilli
dim,dim
din,dink
dio,dibo
dip,northeastern dink
diq,dimli (individual language)
dir,dirim
dis,dimas
dit,dirari
diu,dirik
div,dhivehi
div,divehi
div,maldivi
diw,northwestern dink
dix,dixon reef
diy,diuw
diz,di
dja,djadjawurr
djb,djinb
djc,dar daju daj
djd,djamindj
dje,zarm
djf,dj
dji,dji
djj,djeebb
djk,businenge tongo
djk,eastern maroon creo
djm,jamsay dogo
djn,dj
djo,jangk
djr,djambarrpuy
dju,kaprim
djw,djawi
dka,dakpakh
dkk,dakk
dkr,kuij
dks,southeastern dink
dkx,mazagway
dlg,do
dlk,dahalik
dlm,dalmati
dln,darlo
dma,dum
dmb,mombo dogo
dmc,gavak
dmd,madhi madhi
dme,dugwor
dmg,upper kinabat
dmk,domaaki
dml,dameli
dmm,dam
dmo,kemedz
dmr,east damar
dms,dampelas
dmu,dub
dmu,tebi
dmv,dumpas
dmw,mudburr
dmx,dem
dmy,demt
dmy,sowari
dna,upper grand valley dani
dnd,daond
dne,ndend
dng,d
dni,lower grand valley dani
dnj,d
dnk,dengk
dnn,dzùùngoo
dno,ndrulo
dno,northern lend
dnr,danar
dnt,mid grand valley dani
dnu,d
dnv,d
dnw,western dani
dny,dení
doa,dom
dob,dob
doc,northern do
doe,do
dof,dom
doh,do
doi,dogri (macrolanguage)
dok,dondo
dol,doso
don,toura (papua new guinea)
doo,dongo
dop,lukp
doq,dominican sign
dor,dori'o
dos,dogosé
dot,dass
dov,domb
dow,doyayo
dox,buss
doy,dompo
doz,dorz
dpp,papar
drb,dair
drc,minderico
drd,darmiy
dre,dolpo
drg,rungus
dri,c'
drl,paakantyi
drn,west damar
dro,daro-matu m
drq,dur
drr,dororo
drs,gedeo
drt,drents
dru,rukai
dry,darai
dsb,lower sorbi
dse,dutch sign
dsh,daasanach
dsi,dis
dsl,danish sign
dsn,dusner
dso,desiy
dsq,tadaksahak
dta,daur
dtb,labuk-kinabatangan kadaz
dtd,ditidaht
dth,adithinngithigh
dti,ana tinga dogo
dtk,tene kan dogo
dtm,tomo kan dogo
dtn,daatsʼíi
dto,tommo so dogo
dtp,central dus
dtp,kadazan dus
dtr,lotud
dts,toro so dogo
dtt,toro tegu dogo
dtu,tebul ure dogo
dty,dotyali
dua,d
dub,dubli
duc,d
dud,hun-saar
due,umiray dumaget agt
duf,drub
duf,dumb
dug,chidurum
dug,durum
duh,dungra bhi
dui,dum
duk,uyajitay
dul,alabat island agt
dum,middle dutch (ca. 1050-1350)
dun,dusun deyah
duo,dupaninan agt
dup,duano
duq,dusun m
dur,dii
dus,dumi
duu,dr
duv,duv
duw,dusun wit
dux,duungoom
duy,dicamay agt
duz,duli-gey
dva,d
dwa,diri
dwr,dawro
dws,dutton world speedwords
dwu,dhuw
dww,dawaw
dwy,dhuway
dwz,dewas rai
dya,dy
dyb,dyaberdyaber
dyd,dy
dyg,villa viciosa agt
dyi,djimini senoufo
dym,yanda dom dogo
dyn,dyangadi
dyo,jola-fonyi
dyu,dy
dyy,dyaabugay
dza,tunz
dze,djiwarli
dzg,daz
dzl,dzalakh
dzn,dzando
dzo,dzongkh
eaa,karenggap
ebg,ebugh
ebk,eastern bontok
ebo,teke-ebo
ebr,ebrié
ebu,emb
ebu,kiemb
ecr,eteocret
ecs,ecuadorian sign
ecy,eteocypriot
eee,e language|
efa,efai
efe,ef
efi,efik
egl,emili
ego,eggo
egy,egyptian (ancient)
ehu,eh
eip,eipomek
eit,eitiep
eiv,askop
eja,ejamat
eka,ekajuk
ekc,eastern karnic
eke,ekit
ekg,ekari
eki,eki
ekk,standard estoni
ekl,ko
ekl,kol (bangladesh)
ekm,elip
eko,koti
ekp,ekpey
ekr,yac
eky,eastern kayah
ele,elepi
elh,el hugeirat
eli,ndi
elk,elkei
ell,modern greek (1453-)
elm,elem
elo,el molo
elx,elamit
ema,emai-iuleha-or
emb,embaloh
eme,emerillo
emg,eastern meoh
emi,mussau-emir
emk,eastern maninkak
emm,mamuliq
emn,em
emp,northern emberá
ems,pacific gulf yupik
emu,eastern muri
emw,emplawas
emx,erromintx
emy,epigraphic may
ena,apali
enb,markweet
end,end
enf,forest enets
eng,english
enh,tundra enets
enl,enlhet
enm,middle english (1100-1500)
enn,engenni
eno,enggano
enr,emem
enr,emum
env,enwan (edu state)
enw,enwan (akwa ibom state)
enx,enxet
eot,beti (côte d'ivoire)
epi,epi
epo,esperanto
era,erav
erg,si
erh,eruw
eri,o
erk,south efat
ero,horp
err,err
ers,ers
ert,eritai
erw,erokwanas
ese,ese ejj
esg,aheri gondi
esh,eshtehardi
esi,north alaskan inupiat
esk,northwest alaska inupiat
esl,egypt sign
esm,esum
esn,salvadoran sign
eso,estonian sign
esq,ess
ess,central siberian yupik
est,estoni
esu,central yupik
esy,eskay
etb,etebi
etc,etchemi
eth,ethiopian sign
etn,eton (vanuatu)
eto,eton (cameroon)
etr,edolo
ets,yekh
ett,etrusc
etu,ejagham
etx,et
etz,semimi
eus,basq
eve,ev
evh,uvbi
evn,evenki
ewe,ew
ewo,ewondo
ext,extremadur
eya,eyak
eyo,keiyo
eza,ez
eze,uzekw
faa,fas
fab,fa d'amb
fad,wagi
faf,fagani
fag,fino
fah,baissa fali
fai,faiwo
faj,fait
fak,fang (cameroon)
fal,south fali
fam,fam
fan,fang (equatorial guinea)
fao,faroes
fap,paloor
far,fatalek
fas,persi
fat,fanti
fau,fay
fax,f
fay,southwestern fars
faz,northwestern fars
fbl,west albay biko
fcs,quebec sign
fer,fero
ffi,foia foi
ffm,maasina fulfuld
fgr,fongoro
fia,nobii
fie,fyer
fij,fiji
fil,filipino
fil,pilipino
fin,finnish
fip,fip
fir,fir
fit,tornedalen finnish
fiw,fiw
fkk,kirya-konzə
fkv,kven finnish
fla,kalispel-pend d'orei
flh,fo
fli,fali
fll,north fali
fln,flinders island
flr,fuliir
fly,flaait
fly,tsotsit
fmp,fe'fe'
fmu,far western muri
fnb,fanbak
fng,fanagalo
fni,fani
fod,foodo
foi,foi
fom,fom
fon,fo
for,for
fos,siray
fpe,fernando po creole english
fqs,fas
fra,french
frc,cajun french
frd,fordat
frk,frankish
frm,middle french (ca. 1400-1600)
fro,old french (842-ca. 1400)
frp,arpit
frp,francoprovenç
frq,forak
frr,northern frisi
frs,eastern frisi
frt,forts
fry,western frisi
fse,finnish sign
fsl,french sign
fss,finlandssvenskt teckenspråk
fss,finland-swedish sign
fss,suomenruotsalainen viittomakieli
fub,adamawa fulfuld
fuc,pulaar
fud,east fut
fue,borgu fulfuld
fuf,pular
fuh,western niger fulfuld
fui,bagirmi fulfuld
fuj,ko
ful,fulah
fum,fum
fun,fulniô
fuq,central-eastern niger fulfuld
fur,friuli
fut,futuna-aniw
fuu,fur
fuv,nigerian fulfuld
fuy,fuy
fvr,fur
fwa,fwâi
fwe,fw
gab,gabri
gac,mixed great andamanes
gad,gadd
gae,guareq
gaf,gend
gag,gagauz
gah,alekano
gai,borei
gaj,gadsup
gak,gamkonor
gal,galo
gam,kandawo
gan,gan chines
gao,gants
gaq,gata'
gar,galey
gas,adiwasi garasi
gat,kenati
gau,mudhili gadab
gaw,nobonob
gax,borana-arsi-guji oromo
gay,gayo
gaz,west central oromo
gba,gbaya (central african republic)
gbb,kaytety
gbd,karadjeri
gbe,niksek
gbf,gaikundi
gbg,gbanziri
gbh,defi gb
gbj,bodo gadab
gbk,gaddi
gbl,gamit
gbm,garhwali
gbn,mo'd
gbo,northern grebo
gbp,gbaya-bossango
gbq,gbaya-bozoum
gbr,gbagyi
gbs,gbesi gb
gbu,gagad
gbv,gb
gbw,gabi-gabi
gbx,eastern xwla gb
gby,gbari
gbz,zoroastrian dari
gcc,mali
gcd,ganggalid
gce,galic
gcf,guadeloupean creole french
gcl,grenadian creole english
gcn,gai
gcr,guianese creole french
gct,colonia tovar germ
gda,gade lohar
gdb,pottangi ollar gadab
gdc,gugu badh
gdd,gedaged
gde,gud
gdf,guduf-gav
gdg,ga'd
gdh,gadjeraw
gdi,gundi
gdj,gurdjar
gdk,gad
gdl,dirash
gdn,umanakai
gdo,ghodoberi
gdq,mehri
gdr,wipi
gds,ghandruk sign
gdt,kungardutyi
gdu,gud
gdx,godwari
gea,gerum
geb,kir
gec,gboloo grebo
ged,gad
geh,hutterisch
geh,hutterite germ
gei,geb
gek,ywom
gel,ut-ma'i
geq,gem
ges,geser-gorom
gev,eviy
gew,ger
gex,garr
gey,eny
gez,geez
gfk,patpatar
gft,gafat
gga,gao
ggb,gbii
ggd,gugadj
gge,gurago
ggg,gur
ggk,kungarakany
ggt,git
ggu,gb
ggw,gogod
gha,ghadamès
ghc,hiberno-scottish gaelic
ghe,southern gh
ghh,northern gh
ghk,geko kar
ghl,ghulf
ghn,ghano
gho,ghomar
ghr,gher
ghs,guhu-sam
ght,kuk
ght,kutang gh
gia,kitj
gib,gibanaw
gic,gai
gid,gidar
gie,gaɓogbo
gie,guébi
gig,goari
gih,githab
gil,gilbertes
gim,gimi (eastern highlands)
gin,hinukh
gip,gimi (west new britain)
giq,green gelao
gir,red gelao
gis,north gizi
git,gitxs
giu,mulao
giw,white gelao
gix,gilim
giy,giy
giz,south gizi
gji,geji
gjk,kachi koli
gjm,gunditjmar
gjn,gonj
gjr,gurindji krio
gju,gujari
gka,guy
gkd,magɨ (madang province)
gke,ndai
gkn,gokana_language|gok
gko,kok-nar
gkp,guinea kp
gku,ǂungk
gla,gaelic
gla,scottish gaelic
glc,bon
gld,nanai
gle,irish
glg,galici
glh,northwest pashai
glh,northwest pashayi
gli,guliguli
glj,gula iro
glk,gilaki
gll,garlali
glo,galamb
glr,glaro-twabo
glu,gula (chad)
glv,manx
glw,glavd
gma,gamber
gmb,gula'
gmd,mághdì
gmg,magɨyi
gmh,middle high german (ca. 1050-1500)
gml,middle low germ
gmm,gbaya-mbodomo
gmn,gimnim
gmu,gum
gmv,gamo
gmx,magom
gmy,mycenaean greek
gmz,mgbolizhi
gna,kaans
gnb,gangt
gnc,guanch
gnd,zulgo-gemzek
gng,ngangam
gnh,ler
gni,gooniyandi
gnk,ǁ
gnm,ginum
gnn,gumatj
gno,northern gondi
gnr,gureng gur
gnt,guntai
gnw,western bolivian guaraní
gnz,ganzi
goa,guro
gob,playero
goc,gorakor
god,godié
goe,gongduk
gof,gof
gog,gogo
goh,old high german (ca. 750-1050)
goi,gobasi
goj,gow
gok,gowli
gol,go
gom,goan konkani
gon,gondi
goo,gone d
gop,yeretuar
goq,gorap
gor,gorontalo
gos,gronings
got,gothic
gou,gavar
gow,gorow
gox,gob
goy,goundo
goz,gozarkhani
gpa,gupa-abaw
gpe,ghanaian pidgin english
gpn,taiap
gqa,ga'and
gqi,guiqio
gqn,guana (brazil)
gqr,gor
gqu,q
gra,rajput garasi
grb,grebo
grc,ancient greek (to 1453)
grd,guruntum-mbaar
grg,madi
grh,gbiri-nir
gri,ghari
grj,southern grebo
grm,kota marudu talant
grn,guarani
gro,grom
grq,gorov
grr,taznatit
grs,gresi
grt,garo
gru,kist
grv,central grebo
grw,gwed
grx,guriaso
gry,barclayville grebo
grz,guramalum
gse,ghanaian sign
gsg,german sign
gsl,gusilay
gsm,guatemalan sign
gsn,gus
gsn,nem
gso,southwest gbay
gsp,wasembo
gss,greek sign
gsw,alemannic
gsw,alsati
gsw,swiss germ
gta,guató
gtu,aghu-thar
gua,shiki
gub,guajajár
guc,way
gud,yocoboué did
gue,gurinji
guf,gupapuy
gug,paraguayan guaraní
guh,guahibo
gui,eastern bolivian guaraní
guj,gujarati
guk,gumuz
gul,sea island creole english
gum,guambiano
gun,mbyá guaraní
guo,guayabero
gup,gunwi
guq,aché
gur,farefar
gus,guinean sign
gut,maléku jaík
guu,yanomamö
gux,gourmanchém
guz,ekegusii
guz,gusii
gva,guana (paraguay)
gvc,guanano
gve,duwet
gvf,goli
gvj,guajá
gvl,gulay
gvm,gurm
gvn,kuku-yalanji
gvo,gavião do jiparaná
gvp,pará gavião
gvr,gur
gvs,gumaw
gvy,guyani
gwa,mbato
gwb,gw
gwc,kalami
gwd,gawwad
gwe,gweno
gwf,gowro
gwg,moo
gwi,gwichʼi
gwj,ǀgwi
gwm,awngthim
gwn,gwandar
gwr,gwer
gwt,gawar-bati
gwu,guwam
gww,kwini
gxx,wè souther
gya,northwest gbay
gyb,garus
gyd,kayardild
gye,gyem
gyf,gungab
gyg,gbayi
gyi,gy
gyl,gayi
gym,ngäber
gyn,guyanese creole english
gyo,gyalsumdo
gyr,guaray
gyy,guny
gza,ganz
gzi,gazi
haa,h
hab,hanoi sign
hac,gurani
had,hatam
hae,eastern oromo
haf,haiphong sign
hag,h
hah,haho
hai,haid
haj,hajo
hak,hakka chines
hal,h
ham,hew
han,hangaz
hao,hakö
hap,hup
haq,h
har,harari
has,hais
hat,haiti
hat,haitian creo
hau,haus
hav,hav
haw,hawaii
hax,southern haid
hay,hay
haz,hazaragi
hba,hamb
hbb,hub
hbn,heib
hbo,ancient hebrew
hbs,serbo-croati
hbu,hab
hca,andaman creole hindi
hch,huicho
hdn,northern haid
hds,honduras sign
hdy,hadiyy
hea,northern qiandong miao
heb,hebrew
hed,herdé
heg,helo
heh,heh
hei,heiltsuk
hem,hemb
her,herero
hgm,haiǁom
hgw,haigwai
hhi,hoia hoi
hhr,kerak
hhy,hoyahoy
hia,lam
hib,hibito
hid,hidats
hif,fiji hindi
hig,kamw
hih,pamos
hii,hinduri
hij,hijuk
hik,seit-kaitet
hil,hiligayno
hin,hindi
hio,tso
hir,himarimã
hit,hittit
hiw,hiw
hix,hixkaryá
hji,haji
hka,kah
hke,hund
hkk,hunjara-kaina k
hkn,mel-khaonh
hks,heung kong sau y
hks,hong kong sign
hla,hali
hlb,halbi
hld,halang do
hle,hlers
hlt,matu chi
hlu,hieroglyphic luwi
hma,southern mashan hmo
hma,southern mashan miao
hmb,humburi senni songhay
hmc,central huishui hmo
hmc,central huishui miao
hmd,a-hmaos
hmd,da-hua miao
hmd,large flowery miao
hme,eastern huishui hmo
hme,eastern huishui miao
hmf,hmong do
hmg,southwestern guiyang hmo
hmh,southwestern huishui hmo
hmh,southwestern huishui miao
hmi,northern huishui hmo
hmi,northern huishui miao
hmj,geji
hmk,maek
hml,luopohe hmo
hml,luopohe miao
hmm,central mashan hmo
hmm,central mashan miao
hmn,hmo
hmn,mo
hmo,hiri mot
hmp,northern mashan hmo
hmp,northern mashan miao
hmq,eastern qiandong miao
hmr,hmar
hms,southern qiandong miao
hmt,hamtai
hmu,hamap
hmv,hmong dô
hmw,western mashan hmo
hmw,western mashan miao
hmy,southern guiyang hmo
hmy,southern guiyang miao
hmz,hmong sh
hmz,sinicized miao
hna,mina (cameroon)
hnd,southern hindko
hne,chhattisgarhi
hnh,ǁani
hni,hani
hnj,hmong nj
hnj,mong
hnj,mong nj
hnn,hanunoo
hno,northern hindko
hns,caribbean hindustani
hnu,h
hoa,hoav
hob,mari (madang province)
hoc,ho
hod,holm
hoe,horom
hoh,hobyót
hoi,holikachuk
hoj,hadothi
hoj,haroti
hol,ho
hom,hom
hoo,holoholo
hop,hopi
hor,horo
hos,ho chi minh city sign
hot,hot
hot,malê
hov,hovo
how,honi
hoy,holiy
hoz,hozo
hpo,hpo
hps,hawai'i pidgin sign
hps,hawai'i sign language (hsl)
hra,hrangkho
hrc,niwer mi
hre,hr
hrk,haruk
hrm,horned miao
hro,haroi
hrp,nhirrpi
hrt,hértevi
hru,hruso
hrv,croati
hrw,warwar feni
hrx,hunsrik
hrz,harzani
hsb,upper sorbi
hsh,hungarian sign
hsl,hausa sign
hsn,xiang chines
hss,harsusi
hti,hoti
hto,minica huitoto
hts,hadz
htu,hit
htx,middle hittit
hub,huambis
huc,ǂh
hud,h
hue,san francisco del mar huav
huf,hum
hug,huachipaeri
huh,huillich
hui,huli
huj,northern guiyang hmo
huj,northern guiyang miao
huk,h
hul,h
hum,h
hun,hungari
huo,h
hup,hup
huq,tsat
hur,halkomelem
hus,huastec
hut,hum
huu,murui huitoto
huv,san mateo del mar huav
huw,hukumi
hux,nüpode huitoto
huy,hulaulá
huz,hunzib
hvc,haitian vodoun culture
hve,san dionisio del mar huav
hvk,havek
hvn,sab
hvv,santa maría del mar huav
hwa,wané
hwc,hawai'i creole english
hwc,hawai'i pidgi
hwo,hw
hya,hy
hye,armeni
hyw,western armeni
iai,iaai
ian,iatm
iar,purari
iba,ib
ibb,ibibio
ibd,iwaidj
ibe,akpes
ibg,ib
ibh,bih
ibl,ibaloi
ibm,agoi
ibn,ibino
ibo,igbo
ibr,ibuoro
ibu,ib
iby,ibani
ica,ede ic
ich,etkyw
icl,icelandic sign
icr,islander creole english
ida,idakho-isukha-tiriki
ida,luidakho-luisukha-lutirichi
idb,indo-portugues
idc,ajiy
idc,ido
idd,ede idac
ide,ider
idi,idi
ido,ido
idr,indri
ids,ides
idt,idaté
idu,idom
ifa,amganad ifugao
ifb,ayangan ifugao
ifb,batad ifugao
ife,ifè
iff,ifo
ifk,tuwali ifugao
ifm,teke-fuum
ifu,mayoyao ifugao
ify,keley-i kallah
igb,ebir
ige,iged
igg,i
igl,i
igm,kanggap
ign,ignaciano
igo,iseb
igs,intergloss
igw,igw
ihb,iha based pidgi
ihi,ihievb
ihp,ih
ihw,bidhaw
iii,nuos
iii,sichuan yi
iin,thii
ijc,izo
ije,biseni
ijj,ede ij
ijn,kalabari
ijs,southeast ijo
ike,eastern canadian inuktitut
iki,iko
ikk,ik
ikl,ik
iko,olulumo-ikom
ikp,ikpeshi
ikr,ikar
iks,inuit sign
ikt,inuinnaqt
ikt,western canadian inuktitut
iku,inuktitut
ikv,iku-gora-ankw
ikw,ikwer
ikx,ik
ikz,ikiz
ila,ile ap
ilb,i
ile,interli
ile,occident
ilg,garig-ilgar
ili,ili turki
ilk,ilongot
ilm,iranun (malaysia)
ilo,iloko
ilp,iranun (philippines)
ils,international si
ilu,ili'
ilv,i
ima,mala malasar
imi,anamgur
iml,miluk
imn,imond
imo,imbo
imr,imroi
ims,marsi
imy,mily
ina,interlingua (international auxiliary language association)
inb,i
ind,indonesi
ing,degexit'
inh,ingush
inj,jungle i
inl,indonesian sign
inm,mi
inn,isinai
ino,inoke-yat
inp,iñapari
ins,indian sign
int,inth
inz,ineseño
ior,inor
iou,tuma-irum
iow,iowa-oto
ipi,ipili
ipk,inupiaq
ipo,ipiko
iqu,iquito
iqw,ikwo
ire,iresim
irh,irarut
iri,irigw
iri,rigw
irk,iraqw
irn,irántx
irr,ir
iru,ir
irx,kamber
iry,iray
isa,isabi
isc,isconah
isd,is
ise,italian sign
isg,irish sign
ish,es
isi,nkem-nkum
isk,ishkashimi
isl,icelandic
ism,masimasi
isn,isanz
iso,isoko
isr,israeli sign
ist,istriot
isu,isu (menchum division)
ita,itali
itb,binongan it
itd,southern tid
ite,it
iti,inlaod it
itk,judeo-itali
itl,itelm
itm,itu mbon uzo
ito,itonam
itr,iteri
its,isekiri
itt,maeng it
itv,itawit
itw,ito
itx,itik
ity,moyadan it
itz,itzá
ium,iu mi
ivb,ibat
ivv,ivat
iwk,i-wak
iwm,iwam
iwo,iwur
iws,sepik iwam
ixc,ixcatec
ixl,ixi
iya,iyay
iyo,mesak
iyx,yaka (congo)
izh,ingri
izr,izer
izz,izii
jaa,jamamadí
jab,hyam
jac,jakalteko
jac,popti'
jad,jahank
jae,yabem
jaf,jar
jah,jah hut
jaj,zazao
jak,jak
jal,yalahat
jam,jamaican creole english
jan,jandai
jao,yanyuw
jaq,yaqay
jas,new caledonian javanes
jat,jakati
jau,yaur
jav,javanes
jax,jambi malay
jay,yan-nh
jaz,jaw
jbe,judeo-berber
jbi,badjiri
jbj,arandai
jbk,barikew
jbn,nafusi
jbo,lojb
jbr,jofotek-bromny
jbt,jabutí
jbu,jukun takum
jbw,yawijibay
jcs,jamaican country sign
jct,krymchak
jda,jad
jdg,jadgali
jdt,judeo-tat
jeb,jebero
jee,jer
jeh,jeh
jei,yei
jek,jeri kuo
jel,yelmek
jen,dz
jer,jer
jet,manem
jeu,jonkor bourmatagui
jgb,ngb
jge,judeo-georgi
jgk,gwak
jgo,ngomb
jhi,jehai
jhs,jhankot sign
jia,ji
jib,jib
jic,to
jid,b
jie,jilb
jig,djingili
jih,shangzhai
jih,stodsd
jii,jiidd
jil,jilim
jim,jimi (cameroon)
jio,jiamao
jiq,guanyinqiao
jiq,lavr
jit,jit
jiu,youle jinuo
jiv,shuar
jiy,buyuan jinuo
jje,jejueo
jjr,bank
jka,kaer
jkm,mobwa kar
jko,kubo
jkp,paku kar
jkr,koro (india)
jku,labir
jle,ngi
jls,jamaican sign
jma,dim
jmb,zumb
jmc,macham
jmd,yamd
jmi,jimi (nigeria)
jml,jumli
jmn,makuri
jmr,kamar
jms,mashi (nigeria)
jmw,mouwas
jmx,western juxtlahuaca mixtec
jna,jangsh
jnd,jandavr
jng,yangm
jni,janji
jnj,yems
jnl,rawat
jns,jaunsari
job,job
jod,wojenak
jog,jogi
jor,jorá
jos,jordanian sign
jow,jow
jpa,jewish palestinian aramaic
jpn,japanes
jpr,judeo-persi
jqr,jaqar
jra,jarai
jrb,judeo-arabic
jrr,jir
jrt,jorto
jru,japrerí
jsl,japanese sign
jua,júm
jub,w
juc,jurch
jud,worodougo
juh,hõ
jui,ngadjuri
juk,wap
jul,jir
jum,jumjum
jun,j
juo,jib
jup,hupdë
jur,jurú
jus,jumla sign
jut,jutish
juu,j
juw,wãph
juy,juray
jvd,javindo
jvn,caribbean javanes
jwi,jwira-pepes
jya,jiaro
jye,judeo-yemeni arabic
jyy,jay
kaa,kara-kalpak
kab,kaby
kac,jingpho
kac,kachi
kad,adar
kae,ket
kaf,katso
kag,kajam
kah,kara (central african republic)
kai,karekar
kaj,jj
kak,kalanguy
kak,kayapa kallah
kal,greenlandic
kal,kalaallisut
kam,kamba (kenya)
kan,kannad
kao,xaasongaxango
kap,bezht
kaq,capanah
kas,kashmiri
kat,georgi
kau,kanuri
kav,katukí
kaw,kawi
kax,kao
kay,kamayurá
kaz,kazakh
kba,kalarko
kbb,kaxuiâ
kbc,kadiwé
kbd,kabardi
kbe,kanj
kbg,khamb
kbh,camsá
kbi,kapti
kbj,kari
kbk,grass koiari
kbl,kanemb
kbm,iw
kbn,kare (central african republic)
kbo,keliko
kbp,kabiyè
kbq,kamano
kbr,kaf
kbs,kand
kbt,abadi
kbu,kabutr
kbv,dera (indonesia)
kbw,kaiep
kbx,ap m
kby,manga kanuri
kbz,duhw
kca,khanty
kcb,kawach
kcc,lubi
kcd,ngkâlmpw kanum
kce,kaivi
kcf,uk
kcg,tyap
kch,vono
kci,kamant
kcj,kobi
kck,k
kcl,k
kcl,kela (papua new guinea)
kcm,gula (central african republic)
kcn,nubi
kco,kinalak
kcp,k
kcq,kamo
kcr,kat
kcs,koenoem
kct,kai
kcu,kami (tanzania)
kcv,ket
kcw,kabwari
kcx,kachama-ganj
kcy,korandj
kcz,konongo
kda,worimi
kdc,kut
kdd,yankunytjatjar
kde,makond
kdf,mamusi
kdg,seb
kdh,tem
kdi,kumam
kdj,karamojo
kdk,kwényi
kdk,numèè
kdl,tsikimb
kdm,kagom
kdn,kund
kdp,kaningdon-nindem
kdq,koch
kdr,karaim
kdt,kuy
kdu,kadar
kdw,koneraw
kdx,kam
kdy,keder
kdy,keijar
kdz,kwaj
kea,kabuverdi
keb,kélé
kec,kei
ked,kerew
kee,eastern keres
kef,kpessi
keg,tes
keh,keak
kei,kei
kej,kadar
kek,kekchí
kel,kela (democratic republic of congo)
kem,kemak
ken,keny
keo,kakw
kep,kaikadi
keq,kamar
ker,ker
kes,kugbo
ket,ket
keu,akeb
kev,kanikkar
kew,west kew
kex,kuk
key,kupi
kez,kuk
kfa,kodav
kfb,northwestern kolami
kfc,konda-dor
kfd,korra kor
kfe,kota (india)
kff,koy
kfg,kudiy
kfh,kurichiy
kfi,kannada kurumb
kfj,kemieh
kfk,kinnauri
kfl,k
kfm,khunsari
kfn,kuk
kfo,koro (côte d'ivoire)
kfp,korw
kfq,kork
kfr,kachhi
kfr,kutchi
kfs,bilaspuri
kft,kanjari
kfu,katkari
kfv,kurmukar
kfw,kharam
kfx,kullu pahari
kfy,kumaoni
kfz,koromfé
kga,koy
kgb,kaw
kge,komeri
kgf,kub
kgg,kusund
kgi,selangor sign
kgj,gamale kham
kgk,kaiwá
kgl,kunggari
kgm,karipú
kgn,karingani
kgo,krongo
kgp,kai
kgq,kamoro
kgr,ab
kgs,kumbainggar
kgt,somyev
kgu,kobo
kgv,karas
kgw,karon dori
kgx,kamar
kgy,kyer
kha,khasi
khb,lü
khc,tukang besi north
khd,bädi kanum
khe,korowai
khf,kh
khg,khams tibet
khh,keh
khj,kuturmi
khk,halh mongoli
khl,lusi
khm,central khmer
khm,khmer
khn,khandesi
kho,khotanes
kho,sak
khp,kapauri
khp,kapori
khq,koyra chiini songhay
khr,khari
khs,kas
kht,khamti
khu,nkhumbi
khv,khvarshi
khw,khowar
khx,k
khy,kele (democratic republic of congo)
khz,keapar
kia,kim
kib,koalib
kic,kickapoo
kid,koshi
kie,kibet
kif,eastern parbate kham
kig,kimaam
kig,kimaghim
kih,kilmeri
kii,kitsai
kij,kilivi
kik,gikuy
kik,kikuy
kil,kariy
kim,karagas
kin,kinyarwand
kio,kiow
kip,sheshi kham
kiq,kosad
kiq,kosar
kir,kirghiz
kir,kyrgyz
kis,kis
kit,agob
kiu,kirmanjki (individual language)
kiv,kimb
kiw,northeast kiwai
kix,khiamniungan
kiy,kirikiri
kiz,kisi
kja,mlap
kjb,kanjob
kjb,q'anjob'
kjc,coastal konjo
kjd,southern kiwai
kje,kisar
kjf,khalaj
kjg,khm
kjh,khakas
kji,zab
kjj,khinalugh
kjk,highland konjo
kjl,western parbate kham
kjm,khá
kjn,kunj
kjo,harijan kinnauri
kjp,pwo eastern kar
kjq,western keres
kjr,kurud
kjs,east kew
kjt,phrae pwo kar
kju,kashay
kjv,kaikavian literary
kjx,ramop
kjy,erav
kjz,bumthangkh
kka,kakand
kkb,kweris
kkc,odood
kkd,kinuk
kke,kakab
kkf,kalaktang monp
kkg,mabaka valley kali
kkh,khü
kki,k
kkj,kako
kkk,kokot
kkl,kosarek y
kkm,kio
kkn,kon k
kko,karko
kkp,guguber
kkq,kaik
kkr,kir-balar
kks,giiwo
kkt,koi
kku,tumi
kkv,k
kkw,teke-kukuy
kkx,kohi
kky,guguyimidjir
kkz,kask
kla,klamath-modoc
klb,kiliw
klc,kolbi
kld,gamilaraay
kle,kulung (nepal)
klf,kendej
klg,tagakaulo
klh,weliki
kli,kalump
klj,turkic khalaj
klk,kono (nigeria)
kll,kagan k
klm,migum
kln,kalenji
klo,kapy
klp,kamas
klq,rum
klr,khali
kls,kalash
klt,nuk
klu,klao
klv,maskelynes
klw,lind
klw,tado
klx,koluwaw
kly,kalao
klz,kabo
kma,konni
kmb,kimbund
kmc,southern do
kmd,majukayang kali
kme,bako
kmf,kare (papua new guinea)
kmg,kât
kmh,kalam
kmi,kami (nigeria)
kmj,kumarbhag pahari
kmk,limos kali
kml,tanudan kali
kmm,kom (india)
kmn,awtuw
kmo,kwom
kmp,gimm
kmq,kwam
kmr,northern kurdish
kms,kamas
kmt,kemtuik
kmu,kanit
kmv,karipúna creole french
kmw,komo (democratic republic of congo)
kmx,wabod
kmy,kom
kmz,khorasani turkish
kna,dera (nigeria)
knb,lubuagan kali
knc,central kanuri
knd,kond
kne,kankanaey
knf,mankany
kng,koongo
kni,kanufi
knj,western kanjob
knk,kuranko
knl,keninj
knm,kanamarí
knn,konkani (individual language)
kno,kono (sierra leone)
knp,kwanj
knq,kintaq
